seed,target,level,regime,neighborhood,n,random_top1_hit_rate,contains_joint_good
0,4,1,S0_full_support,epoch_pm20,5,0.2,1
0,5,0,S0_full_support,pm1,2,1.0,1
0,5,0,S0_full_support,pm2,3,1.0,1
0,5,0,S0_full_support,pm3,4,1.0,1
0,5,0,S0_full_support,same_joint_good_cluster,9,1.0,1
0,5,0,S0_full_support,epoch_pm20,2,1.0,1
0,5,1,S0_full_support,pm1,3,0.0,0
0,5,1,S0_full_support,pm2,5,0.0,0
0,5,1,S0_full_support,pm3,7,0.0,0
0,5,1,S0_full_support,same_joint_good_cluster,2,0.5,1
0,5,1,S0_full_support,epoch_pm20,4,0.0,0
0,6,0,S0_full_support,pm1,2,0.0,0
0,6,0,S0_full_support,pm2,3,0.0,0
0,6,0,S0_full_support,pm3,4,0.0,0
0,6,0,S0_full_support,same_joint_good_cluster,2,0.5,1
0,6,0,S0_full_support,epoch_pm20,3,0.0,0
0,6,1,S0_full_support,pm1,2,0.0,0
0,6,1,S0_full_support,pm2,3,0.3333333333333333,1
0,6,1,S0_full_support,pm3,4,0.25,1
0,6,1,S0_full_support,same_joint_good_cluster,2,0.5,1
0,6,1,S0_full_support,epoch_pm20,3,0.3333333333333333,1
0,7,0,S0_full_support,pm1,3,0.3333333333333333,1
0,7,0,S0_full_support,pm2,5,0.2,1
0,7,0,S0_full_support,pm3,6,0.3333333333333333,1
0,7,0,S0_full_support,same_joint_good_cluster,1,1.0,1
0,7,0,S0_full_support,epoch_pm20,6,0.3333333333333333,1
0,7,1,S0_full_support,pm1,3,0.0,0
0,7,1,S0_full_support,pm2,5,0.0,0
0,7,1,S0_full_support,pm3,7,0.0,0
0,7,1,S0_full_support,same_joint_good_cluster,2,0.5,1
0,7,1,S0_full_support,epoch_pm20,5,0.0,0
0,8,0,S0_full_support,pm1,3,0.6666666666666666,1
0,8,0,S0_full_support,pm2,5,0.8,1
0,8,0,S0_full_support,pm3,6,0.8333333333333334,1
0,8,0,S0_full_support,same_joint_good_cluster,7,1.0,1
0,8,0,S0_full_support,epoch_pm20,6,0.8333333333333334,1
0,8,1,S0_full_support,pm1,3,1.0,1
0,8,1,S0_full_support,pm2,5,0.8,1
0,8,1,S0_full_support,pm3,6,0.8333333333333334,1
0,8,1,S0_full_support,same_joint_good_cluster,6,1.0,1
0,8,1,S0_full_support,epoch_pm20,3,1.0,1
0,9,0,S0_full_support,pm1,3,0.0,0
0,9,0,S0_full_support,pm2,5,0.0,0
0,9,0,S0_full_support,pm3,7,0.0,0
0,9,0,S0_full_support,same_joint_good_cluster,2,0.5,1
0,9,0,S0_full_support,epoch_pm20,6,0.0,0
0,9,1,S0_full_support,pm1,3,0.3333333333333333,1
0,9,1,S0_full_support,pm2,5,0.4,1
0,9,1,S0_full_support,pm3,7,0.42857142857142855,1
0,9,1,S0_full_support,same_joint_good_cluster,6,0.8333333333333334,1
0,9,1,S0_full_support,epoch_pm20,5,0.6,1
1,1,0,S0_full_support,pm1,3,1.0,1
1,1,0,S0_full_support,pm2,5,0.8,1
1,1,0,S0_full_support,pm3,7,0.8571428571428571,1
1,1,0,S0_full_support,same_joint_good_cluster,23,1.0,1
1,1,0,S0_full_support,epoch_pm20,7,0.8571428571428571,1
1,1,1,S0_full_support,pm1,3,0.0,0
1,1,1,S0_full_support,pm2,4,0.0,0
1,1,1,S0_full_support,pm3,5,0.0,0
1,1,1,S0_full_support,same_joint_good_cluster,2,0.5,1
1,1,1,S0_full_support,epoch_pm20,2,0.0,0
1,2,0,S0_full_support,pm1,3,0.0,0
1,2,0,S0_full_support,pm2,5,0.0,0
1,2,0,S0_full_support,pm3,7,0.0,0
1,2,0,S0_full_support,same_joint_good_cluster,2,0.5,1
1,2,0,S0_full_support,epoch_pm20,6,0.0,0
1,2,1,S0_full_support,pm1,3,0.0,0
1,2,1,S0_full_support,pm2,5,0.0,0
1,2,1,S0_full_support,pm3,6,0.0,0
1,2,1,S0_full_support,same_joint_good_cluster,2,0.5,1
1,2,1,S0_full_support,epoch_pm20,7,0.0,0
1,3,0,S0_full_support,pm1,3,0.3333333333333333,1
1,3,0,S0_full_support,pm2,5,0.2,1
1,3,0,S0_full_support,pm3,7,0.2857142857142857,1
1,3,0,S0_full_support,same_joint_good_cluster,1,1.0,1
1,3,0,S0_full_support,epoch_pm20,5,0.2,1
1,3,1,S0_full_support,pm1,3,0.0,0
1,3,1,S0_full_support,pm2,5,0.0,0
1,3,1,S0_full_support,pm3,7,0.0,0
1,3,1,S0_full_support,same_joint_good_cluster,3,0.6666666666666666,1
1,3,1,S0_full_support,epoch_pm20,6,0.0,0
1,4,0,S0_full_support,pm1,2,1.0,1
1,4,0,S0_full_support,pm2,3,1.0,1
1,4,0,S0_full_support,pm3,4,1.0,1
1,4,0,S0_full_support,same_joint_good_cluster,17,1.0,1
1,4,0,S0_full_support,epoch_pm20,3,1.0,1
1,4,1,S0_full_support,pm1,3,1.0,1
1,4,1,S0_full_support,pm2,4,1.0,1
1,4,1,S0_full_support,pm3,5,0.8,1
1,4,1,S0_full_support,same_joint_good_cluster,4,1.0,1
1,4,1,S0_full_support,epoch_pm20,3,1.0,1
1,5,0,S0_full_support,pm1,3,0.6666666666666666,1
1,5,0,S0_full_support,pm2,5,0.6,1
1,5,0,S0_full_support,pm3,7,0.42857142857142855,1
1,5,0,S0_full_support,same_joint_good_cluster,3,1.0,1
1,5,0,S0_full_support,epoch_pm20,8,0.5,1
1,5,1,S0_full_support,pm1,3,0.0,0
1,5,1,S0_full_support,pm2,4,0.0,0
1,5,1,S0_full_support,pm3,5,0.0,0
1,5,1,S0_full_support,same_joint_good_cluster,3,0.6666666666666666,1
1,5,1,S0_full_support,epoch_pm20,3,0.0,0
1,6,0,S0_full_support,pm1,3,1.0,1
1,6,0,S0_full_support,pm2,5,1.0,1
1,6,0,S0_full_support,pm3,6,1.0,1
1,6,0,S0_full_support,same_joint_good_cluster,21,1.0,1
1,6,0,S0_full_support,epoch_pm20,5,1.0,1
1,6,1,S0_full_support,pm1,3,1.0,1
1,6,1,S0_full_support,pm2,5,0.8,1
1,6,1,S0_full_support,pm3,7,0.8571428571428571,1
1,6,1,S0_full_support,same_joint_good_cluster,6,1.0,1
1,6,1,S0_full_support,epoch_pm20,4,1.0,1
1,7,0,S0_full_support,pm1,3,0.0,0
1,7,0,S0_full_support,pm2,5,0.0,0
1,7,0,S0_full_support,pm3,7,0.0,0
1,7,0,S0_full_support,same_joint_good_cluster,3,0.6666666666666666,1
1,7,0,S0_full_support,epoch_pm20,4,0.0,0
1,7,1,S0_full_support,pm1,3,0.0,0
1,7,1,S0_full_support,pm2,5,0.4,1
1,7,1,S0_full_support,pm3,7,0.2857142857142857,1
1,7,1,S0_full_support,same_joint_good_cluster,2,0.5,1
1,7,1,S0_full_support,epoch_pm20,4,0.25,1
1,8,0,S0_full_support,pm1,3,0.3333333333333333,1
1,8,0,S0_full_support,pm2,5,0.6,1
1,8,0,S0_full_support,pm3,7,0.7142857142857143,1
1,8,0,S0_full_support,same_joint_good_cluster,4,0.75,1
1,8,0,S0_full_support,epoch_pm20,6,0.6666666666666666,1
1,8,1,S0_full_support,pm1,2,0.0,0
1,8,1,S0_full_support,pm2,3,0.0,0
1,8,1,S0_full_support,pm3,4,0.0,0
1,8,1,S0_full_support,same_joint_good_cluster,2,0.5,1
1,8,1,S0_full_support,epoch_pm20,4,0.0,0
1,9,0,S0_full_support,pm1,3,1.0,1
1,9,0,S0_full_support,pm2,5,1.0,1
1,9,0,S0_full_support,pm3,6,1.0,1
1,9,0,S0_full_support,same_joint_good_cluster,22,1.0,1
1,9,0,S0_full_support,epoch_pm20,4,1.0,1
1,9,1,S0_full_support,pm1,3,0.6666666666666666,1
1,9,1,S0_full_support,pm2,5,0.6,1
1,9,1,S0_full_support,pm3,7,0.5714285714285714,1
1,9,1,S0_full_support,same_joint_good_cluster,6,1.0,1
1,9,1,S0_full_support,epoch_pm20,3,0.6666666666666666,1
2,1,0,S0_full_support,pm1,3,1.0,1
2,1,0,S0_full_support,pm2,5,1.0,1
2,1,0,S0_full_support,pm3,7,1.0,1
2,1,0,S0_full_support,same_joint_good_cluster,17,1.0,1
2,1,0,S0_full_support,epoch_pm20,5,1.0,1
2,1,1,S0_full_support,pm1,3,0.0,0
2,1,1,S0_full_support,pm2,4,0.0,0
2,1,1,S0_full_support,pm3,5,0.0,0
2,1,1,S0_full_support,same_joint_good_cluster,6,0.8333333333333334,1
2,1,1,S0_full_support,epoch_pm20,5,0.0,0
2,2,0,S0_full_support,pm1,3,0.6666666666666666,1
2,2,0,S0_full_support,pm2,5,0.8,1
2,2,0,S0_full_support,pm3,7,0.5714285714285714,1
2,2,0,S0_full_support,same_joint_good_cluster,3,1.0,1
2,2,0,S0_full_support,epoch_pm20,6,0.6666666666666666,1
2,2,1,S0_full_support,pm1,2,0.5,1
2,2,1,S0_full_support,pm2,3,0.3333333333333333,1
2,2,1,S0_full_support,pm3,4,0.25,1
2,2,1,S0_full_support,same_joint_good_cluster,2,0.5,1
2,2,1,S0_full_support,epoch_pm20,4,0.25,1
2,3,0,S0_full_support,pm1,3,0.3333333333333333,1
2,3,0,S0_full_support,pm2,5,0.2,1
2,3,0,S0_full_support,pm3,7,0.2857142857142857,1
2,3,0,S0_full_support,same_joint_good_cluster,2,0.5,1
2,3,0,S0_full_support,epoch_pm20,4,0.25,1
2,3,1,S0_full_support,pm1,3,0.0,0
2,3,1,S0_full_support,pm2,5,0.2,1
2,3,1,S0_full_support,pm3,7,0.14285714285714285,1
2,3,1,S0_full_support,same_joint_good_cluster,2,0.5,1
2,3,1,S0_full_support,epoch_pm20,4,0.0,0
2,4,0,S0_full_support,pm1,3,1.0,1
2,4,0,S0_full_support,pm2,5,1.0,1
2,4,0,S0_full_support,pm3,7,1.0,1
2,4,0,S0_full_support,same_joint_good_cluster,26,1.0,1
2,4,0,S0_full_support,epoch_pm20,9,1.0,1
2,4,1,S0_full_support,pm1,3,1.0,1
2,4,1,S0_full_support,pm2,5,1.0,1
2,4,1,S0_full_support,pm3,7,1.0,1
2,4,1,S0_full_support,same_joint_good_cluster,20,1.0,1
2,4,1,S0_full_support,epoch_pm20,3,1.0,1
2,5,0,S0_full_support,pm1,3,0.0,0
2,5,0,S0_full_support,pm2,5,0.0,0
2,5,0,S0_full_support,pm3,7,0.0,0
2,5,0,S0_full_support,same_joint_good_cluster,1,0.0,0
2,5,0,S0_full_support,epoch_pm20,6,0.0,0
2,5,1,S0_full_support,pm1,3,0.0,0
2,5,1,S0_full_support,pm2,5,0.0,0
2,5,1,S0_full_support,pm3,7,0.0,0
2,5,1,S0_full_support,same_joint_good_cluster,1,0.0,0
2,5,1,S0_full_support,epoch_pm20,5,0.0,0
2,6,0,S0_full_support,pm1,3,0.0,0
2,6,0,S0_full_support,pm2,4,0.0,0
2,6,0,S0_full_support,pm3,5,0.0,0
2,6,0,S0_full_support,same_joint_good_cluster,2,0.5,1
2,6,0,S0_full_support,epoch_pm20,6,0.0,0
2,6,1,S0_full_support,pm1,3,1.0,1
2,6,1,S0_full_support,pm2,5,1.0,1
2,6,1,S0_full_support,pm3,7,0.8571428571428571,1
2,6,1,S0_full_support,same_joint_good_cluster,13,1.0,1
2,6,1,S0_full_support,epoch_pm20,4,1.0,1
2,7,0,S0_full_support,pm1,2,0.0,0
2,7,0,S0_full_support,pm2,3,0.0,0
2,7,0,S0_full_support,pm3,4,0.25,1
2,7,0,S0_full_support,same_joint_good_cluster,8,0.875,1
2,7,0,S0_full_support,epoch_pm20,3,0.0,0
2,7,1,S0_full_support,pm1,3,0.6666666666666666,1
2,7,1,S0_full_support,pm2,5,0.8,1
2,7,1,S0_full_support,pm3,7,0.7142857142857143,1
2,7,1,S0_full_support,same_joint_good_cluster,7,0.8571428571428571,1
2,7,1,S0_full_support,epoch_pm20,6,0.6666666666666666,1
2,8,0,S0_full_support,pm1,3,0.0,0
2,8,0,S0_full_support,pm2,5,0.0,0
2,8,0,S0_full_support,pm3,7,0.0,0
2,8,0,S0_full_support,same_joint_good_cluster,2,0.5,1
2,8,0,S0_full_support,epoch_pm20,8,0.125,1
2,8,1,S0_full_support,pm1,2,0.5,1
2,8,1,S0_full_support,pm2,3,0.3333333333333333,1
2,8,1,S0_full_support,pm3,4,0.25,1
2,8,1,S0_full_support,same_joint_good_cluster,1,1.0,1
2,8,1,S0_full_support,epoch_pm20,3,0.3333333333333333,1
2,9,0,S0_full_support,pm1,3,0.3333333333333333,1
2,9,0,S0_full_support,pm2,5,0.4,1
2,9,0,S0_full_support,pm3,6,0.3333333333333333,1
2,9,0,S0_full_support,same_joint_good_cluster,1,1.0,1
2,9,0,S0_full_support,epoch_pm20,5,0.4,1
2,9,1,S0_full_support,pm1,2,1.0,1
2,9,1,S0_full_support,pm2,3,1.0,1
2,9,1,S0_full_support,pm3,4,1.0,1
2,9,1,S0_full_support,same_joint_good_cluster,24,1.0,1
2,9,1,S0_full_support,epoch_pm20,5,1.0,1
0,1,0,S2_rare_cells,pm1,3,0.0,0
0,1,0,S2_rare_cells,pm2,5,0.0,0
0,1,0,S2_rare_cells,pm3,7,0.0,0
0,1,0,S2_rare_cells,same_joint_good_cluster,2,0.5,1
0,1,0,S2_rare_cells,epoch_pm20,5,0.0,0
0,1,1,S2_rare_cells,pm1,3,0.6666666666666666,1
0,1,1,S2_rare_cells,pm2,5,0.4,1
0,1,1,S2_rare_cells,pm3,7,0.2857142857142857,1
0,1,1,S2_rare_cells,same_joint_good_cluster,2,1.0,1
0,1,1,S2_rare_cells,epoch_pm20,4,0.5,1
0,2,0,S2_rare_cells,pm1,3,0.6666666666666666,1
0,2,0,S2_rare_cells,pm2,5,0.6,1
0,2,0,S2_rare_cells,pm3,6,0.5,1
0,2,0,S2_rare_cells,same_joint_good_cluster,3,1.0,1
0,2,0,S2_rare_cells,epoch_pm20,4,0.75,1
0,2,1,S2_rare_cells,pm1,2,0.5,1
0,2,1,S2_rare_cells,pm2,3,0.3333333333333333,1
0,2,1,S2_rare_cells,pm3,4,0.25,1
0,2,1,S2_rare_cells,same_joint_good_cluster,2,0.5,1
0,2,1,S2_rare_cells,epoch_pm20,4,0.25,1
0,3,0,S2_rare_cells,pm1,2,0.5,1
0,3,0,S2_rare_cells,pm2,3,0.3333333333333333,1
0,3,0,S2_rare_cells,pm3,4,0.25,1
0,3,0,S2_rare_cells,same_joint_good_cluster,2,0.5,1
0,3,0,S2_rare_cells,epoch_pm20,2,0.5,1
0,3,1,S2_rare_cells,pm1,3,0.0,0
0,3,1,S2_rare_cells,pm2,5,0.0,0
0,3,1,S2_rare_cells,pm3,7,0.0,0
0,3,1,S2_rare_cells,same_joint_good_cluster,1,0.0,0
0,3,1,S2_rare_cells,epoch_pm20,5,0.0,0
0,4,0,S2_rare_cells,pm1,3,1.0,1
0,4,0,S2_rare_cells,pm2,5,1.0,1
0,4,0,S2_rare_cells,pm3,6,1.0,1
0,4,0,S2_rare_cells,same_joint_good_cluster,8,1.0,1
0,4,0,S2_rare_cells,epoch_pm20,3,1.0,1
0,4,1,S2_rare_cells,pm1,3,0.0,0
0,4,1,S2_rare_cells,pm2,5,0.2,1
0,4,1,S2_rare_cells,pm3,6,0.3333333333333333,1
0,4,1,S2_rare_cells,same_joint_good_cluster,5,0.8,1
0,4,1,S2_rare_cells,epoch_pm20,5,0.2,1
0,5,0,S2_rare_cells,pm1,2,1.0,1
0,5,0,S2_rare_cells,pm2,3,1.0,1
0,5,0,S2_rare_cells,pm3,4,1.0,1
0,5,0,S2_rare_cells,same_joint_good_cluster,9,1.0,1
0,5,0,S2_rare_cells,epoch_pm20,2,1.0,1
0,5,1,S2_rare_cells,pm1,3,0.0,0
0,5,1,S2_rare_cells,pm2,5,0.0,0
0,5,1,S2_rare_cells,pm3,7,0.0,0
0,5,1,S2_rare_cells,same_joint_good_cluster,2,0.5,1
0,5,1,S2_rare_cells,epoch_pm20,4,0.0,0
0,6,0,S2_rare_cells,pm1,2,0.0,0
0,6,0,S2_rare_cells,pm2,3,0.0,0
0,6,0,S2_rare_cells,pm3,4,0.0,0
0,6,0,S2_rare_cells,same_joint_good_cluster,2,0.5,1
0,6,0,S2_rare_cells,epoch_pm20,3,0.0,0
0,6,1,S2_rare_cells,pm1,2,0.0,0
0,6,1,S2_rare_cells,pm2,3,0.3333333333333333,1
0,6,1,S2_rare_cells,pm3,4,0.25,1
0,6,1,S2_rare_cells,same_joint_good_cluster,2,0.5,1
0,6,1,S2_rare_cells,epoch_pm20,3,0.3333333333333333,1
0,7,0,S2_rare_cells,pm1,3,0.3333333333333333,1
0,7,0,S2_rare_cells,pm2,5,0.2,1
0,7,0,S2_rare_cells,pm3,6,0.3333333333333333,1
0,7,0,S2_rare_cells,same_joint_good_cluster,1,1.0,1
0,7,0,S2_rare_cells,epoch_pm20,6,0.3333333333333333,1
0,7,1,S2_rare_cells,pm1,3,0.0,0
0,7,1,S2_rare_cells,pm2,5,0.0,0
0,7,1,S2_rare_cells,pm3,7,0.0,0
0,7,1,S2_rare_cells,same_joint_good_cluster,2,0.5,1
0,7,1,S2_rare_cells,epoch_pm20,5,0.0,0
0,8,0,S2_rare_cells,pm1,3,0.6666666666666666,1
0,8,0,S2_rare_cells,pm2,5,0.8,1
0,8,0,S2_rare_cells,pm3,6,0.8333333333333334,1
0,8,0,S2_rare_cells,same_joint_good_cluster,7,1.0,1
0,8,0,S2_rare_cells,epoch_pm20,6,0.8333333333333334,1
0,8,1,S2_rare_cells,pm1,3,1.0,1
0,8,1,S2_rare_cells,pm2,5,0.8,1
0,8,1,S2_rare_cells,pm3,6,0.8333333333333334,1
0,8,1,S2_rare_cells,same_joint_good_cluster,6,1.0,1
0,8,1,S2_rare_cells,epoch_pm20,3,1.0,1
0,9,0,S2_rare_cells,pm1,3,0.0,0
0,9,0,S2_rare_cells,pm2,5,0.0,0
0,9,0,S2_rare_cells,pm3,7,0.0,0
0,9,0,S2_rare_cells,same_joint_good_cluster,2,0.5,1
0,9,0,S2_rare_cells,epoch_pm20,6,0.0,0
0,9,1,S2_rare_cells,pm1,3,0.3333333333333333,1
0,9,1,S2_rare_cells,pm2,5,0.4,1
0,9,1,S2_rare_cells,pm3,7,0.42857142857142855,1
0,9,1,S2_rare_cells,same_joint_good_cluster,6,0.8333333333333334,1
0,9,1,S2_rare_cells,epoch_pm20,5,0.6,1
1,1,0,S2_rare_cells,pm1,3,1.0,1
1,1,0,S2_rare_cells,pm2,5,0.8,1
1,1,0,S2_rare_cells,pm3,7,0.8571428571428571,1
1,1,0,S2_rare_cells,same_joint_good_cluster,23,1.0,1
1,1,0,S2_rare_cells,epoch_pm20,7,0.8571428571428571,1
1,1,1,S2_rare_cells,pm1,3,0.0,0
1,1,1,S2_rare_cells,pm2,4,0.0,0
1,1,1,S2_rare_cells,pm3,5,0.0,0
1,1,1,S2_rare_cells,same_joint_good_cluster,2,0.5,1
1,1,1,S2_rare_cells,epoch_pm20,2,0.0,0
1,2,0,S2_rare_cells,pm1,3,0.0,0
1,2,0,S2_rare_cells,pm2,5,0.0,0
1,2,0,S2_rare_cells,pm3,7,0.0,0
1,2,0,S2_rare_cells,same_joint_good_cluster,2,0.5,1
1,2,0,S2_rare_cells,epoch_pm20,6,0.0,0
1,2,1,S2_rare_cells,pm1,3,0.0,0
1,2,1,S2_rare_cells,pm2,5,0.0,0
1,2,1,S2_rare_cells,pm3,6,0.0,0
1,2,1,S2_rare_cells,same_joint_good_cluster,2,0.5,1
1,2,1,S2_rare_cells,epoch_pm20,7,0.0,0
1,3,0,S2_rare_cells,pm1,3,0.3333333333333333,1
1,3,0,S2_rare_cells,pm2,5,0.2,1
1,3,0,S2_rare_cells,pm3,7,0.2857142857142857,1
1,3,0,S2_rare_cells,same_joint_good_cluster,1,1.0,1
1,3,0,S2_rare_cells,epoch_pm20,5,0.2,1
1,3,1,S2_rare_cells,pm1,3,0.0,0
1,3,1,S2_rare_cells,pm2,5,0.0,0
1,3,1,S2_rare_cells,pm3,7,0.0,0
1,3,1,S2_rare_cells,same_joint_good_cluster,3,0.6666666666666666,1
1,3,1,S2_rare_cells,epoch_pm20,6,0.0,0
1,4,0,S2_rare_cells,pm1,2,1.0,1
1,4,0,S2_rare_cells,pm2,3,1.0,1
1,4,0,S2_rare_cells,pm3,4,1.0,1
1,4,0,S2_rare_cells,same_joint_good_cluster,17,1.0,1
1,4,0,S2_rare_cells,epoch_pm20,3,1.0,1
1,4,1,S2_rare_cells,pm1,3,1.0,1
1,4,1,S2_rare_cells,pm2,4,1.0,1
1,4,1,S2_rare_cells,pm3,5,0.8,1
1,4,1,S2_rare_cells,same_joint_good_cluster,4,1.0,1
1,4,1,S2_rare_cells,epoch_pm20,3,1.0,1
1,5,0,S2_rare_cells,pm1,3,0.6666666666666666,1
1,5,0,S2_rare_cells,pm2,5,0.6,1
1,5,0,S2_rare_cells,pm3,7,0.42857142857142855,1
1,5,0,S2_rare_cells,same_joint_good_cluster,3,1.0,1
1,5,0,S2_rare_cells,epoch_pm20,8,0.5,1
1,5,1,S2_rare_cells,pm1,3,0.0,0
1,5,1,S2_rare_cells,pm2,4,0.0,0
1,5,1,S2_rare_cells,pm3,5,0.0,0
1,5,1,S2_rare_cells,same_joint_good_cluster,3,0.6666666666666666,1
1,5,1,S2_rare_cells,epoch_pm20,3,0.0,0
1,6,0,S2_rare_cells,pm1,3,1.0,1
1,6,0,S2_rare_cells,pm2,5,1.0,1
1,6,0,S2_rare_cells,pm3,6,1.0,1
1,6,0,S2_rare_cells,same_joint_good_cluster,21,1.0,1
1,6,0,S2_rare_cells,epoch_pm20,5,1.0,1
1,6,1,S2_rare_cells,pm1,3,1.0,1
1,6,1,S2_rare_cells,pm2,5,0.8,1
1,6,1,S2_rare_cells,pm3,7,0.8571428571428571,1
1,6,1,S2_rare_cells,same_joint_good_cluster,6,1.0,1
1,6,1,S2_rare_cells,epoch_pm20,4,1.0,1
1,7,0,S2_rare_cells,pm1,3,0.0,0
1,7,0,S2_rare_cells,pm2,5,0.0,0
1,7,0,S2_rare_cells,pm3,7,0.0,0
1,7,0,S2_rare_cells,same_joint_good_cluster,3,0.6666666666666666,1
1,7,0,S2_rare_cells,epoch_pm20,4,0.0,0
1,7,1,S2_rare_cells,pm1,3,0.0,0
1,7,1,S2_rare_cells,pm2,5,0.4,1
1,7,1,S2_rare_cells,pm3,7,0.2857142857142857,1
1,7,1,S2_rare_cells,same_joint_good_cluster,2,0.5,1
1,7,1,S2_rare_cells,epoch_pm20,4,0.25,1
1,8,0,S2_rare_cells,pm1,3,0.3333333333333333,1
1,8,0,S2_rare_cells,pm2,5,0.6,1
1,8,0,S2_rare_cells,pm3,7,0.7142857142857143,1
1,8,0,S2_rare_cells,same_joint_good_cluster,4,0.75,1
1,8,0,S2_rare_cells,epoch_pm20,6,0.6666666666666666,1
1,8,1,S2_rare_cells,pm1,2,0.0,0
1,8,1,S2_rare_cells,pm2,3,0.0,0
1,8,1,S2_rare_cells,pm3,4,0.0,0
1,8,1,S2_rare_cells,same_joint_good_cluster,2,0.5,1
1,8,1,S2_rare_cells,epoch_pm20,4,0.0,0
1,9,0,S2_rare_cells,pm1,3,1.0,1
1,9,0,S2_rare_cells,pm2,5,1.0,1
1,9,0,S2_rare_cells,pm3,6,1.0,1
1,9,0,S2_rare_cells,same_joint_good_cluster,22,1.0,1
1,9,0,S2_rare_cells,epoch_pm20,4,1.0,1
1,9,1,S2_rare_cells,pm1,3,0.6666666666666666,1
1,9,1,S2_rare_cells,pm2,5,0.6,1
1,9,1,S2_rare_cells,pm3,7,0.5714285714285714,1
1,9,1,S2_rare_cells,same_joint_good_cluster,6,1.0,1
1,9,1,S2_rare_cells,epoch_pm20,3,0.6666666666666666,1
2,1,0,S2_rare_cells,pm1,3,1.0,1
2,1,0,S2_rare_cells,pm2,5,1.0,1
2,1,0,S2_rare_cells,pm3,7,1.0,1
2,1,0,S2_rare_cells,same_joint_good_cluster,17,1.0,1
2,1,0,S2_rare_cells,epoch_pm20,5,1.0,1
2,1,1,S2_rare_cells,pm1,3,0.0,0
2,1,1,S2_rare_cells,pm2,4,0.0,0
2,1,1,S2_rare_cells,pm3,5,0.0,0
2,1,1,S2_rare_cells,same_joint_good_cluster,6,0.8333333333333334,1
2,1,1,S2_rare_cells,epoch_pm20,5,0.0,0
2,2,0,S2_rare_cells,pm1,3,0.6666666666666666,1
2,2,0,S2_rare_cells,pm2,5,0.8,1
2,2,0,S2_rare_cells,pm3,7,0.5714285714285714,1
2,2,0,S2_rare_cells,same_joint_good_cluster,3,1.0,1
2,2,0,S2_rare_cells,epoch_pm20,6,0.6666666666666666,1
2,2,1,S2_rare_cells,pm1,2,0.5,1
2,2,1,S2_rare_cells,pm2,3,0.3333333333333333,1
2,2,1,S2_rare_cells,pm3,4,0.25,1
2,2,1,S2_rare_cells,same_joint_good_cluster,2,0.5,1
2,2,1,S2_rare_cells,epoch_pm20,4,0.25,1
2,3,0,S2_rare_cells,pm1,3,0.3333333333333333,1
2,3,0,S2_rare_cells,pm2,5,0.2,1
2,3,0,S2_rare_cells,pm3,7,0.2857142857142857,1
2,3,0,S2_rare_cells,same_joint_good_cluster,2,0.5,1
2,3,0,S2_rare_cells,epoch_pm20,4,0.25,1
2,3,1,S2_rare_cells,pm1,3,0.0,0
2,3,1,S2_rare_cells,pm2,5,0.2,1
2,3,1,S2_rare_cells,pm3,7,0.14285714285714285,1
2,3,1,S2_rare_cells,same_joint_good_cluster,2,0.5,1
