seed,target,level,regime,plateau_size,plateau_fraction,plateau_joint_good_rate,plateau_contains_joint_good,selected_joint_good,selected_rank_within_plateau,local_score_range_pm3
2,4,1,S2_rare_cells,1,0.05,1.0,1,1,1,0.20504342464964387
2,5,0,S2_rare_cells,2,0.09090909090909091,0.0,0,0,2,0.09358415826345834
2,5,1,S2_rare_cells,3,0.12,0.0,0,0,2,0.15607629204013063
2,6,0,S2_rare_cells,2,0.08695652173913043,0.0,0,0,2,0.17167236213783021
2,6,1,S2_rare_cells,5,0.25,1.0,1,1,3,0.17786253226060028
2,7,0,S2_rare_cells,2,0.09523809523809523,0.5,1,0,1,0.11678268627552502
2,7,1,S2_rare_cells,2,0.08695652173913043,0.5,1,0,1,0.12286740576028432
2,8,0,S2_rare_cells,3,0.13043478260869565,0.0,0,0,2,0.1394929749684971
2,8,1,S2_rare_cells,3,0.16666666666666666,0.6666666666666666,1,1,3,0.06536917958924582
2,9,0,S2_rare_cells,4,0.16666666666666666,0.25,1,1,3,0.20319475004890478
2,9,1,S2_rare_cells,18,0.6,0.9444444444444444,1,1,15,0.003986646168401664
0,1,0,S3_nonestimable_cells,2,0.1,0.0,0,0,2,0.15133504455355073
0,1,1,S3_nonestimable_cells,5,0.25,0.6,1,1,2,0.2812698991741269
0,2,0,S3_nonestimable_cells,8,0.2962962962962963,0.375,1,1,3,0.20083363214575217
0,2,1,S3_nonestimable_cells,2,0.07142857142857142,0.0,0,0,1,0.2020075134113845
0,3,0,S3_nonestimable_cells,2,0.08695652173913043,0.0,0,0,1,0.16914789408354092
0,3,1,S3_nonestimable_cells,1,0.04,0.0,0,0,1,0.17473561230383472
0,4,0,S3_nonestimable_cells,3,0.125,0.3333333333333333,1,1,3,0.111065357663786
0,4,1,S3_nonestimable_cells,5,0.1388888888888889,0.2,1,0,2,0.10265220830684071
0,5,0,S3_nonestimable_cells,2,0.1,0.5,1,1,1,0.2167084391645068
0,5,1,S3_nonestimable_cells,3,0.13636363636363635,0.0,0,0,3,0.21559411175124632
0,6,0,S3_nonestimable_cells,3,0.13636363636363635,0.0,0,0,2,0.20011214124805438
0,6,1,S3_nonestimable_cells,1,0.047619047619047616,0.0,0,0,1,0.20154746503265164
0,7,0,S3_nonestimable_cells,3,0.14285714285714285,0.6666666666666666,1,1,1,0.45603679787461787
0,7,1,S3_nonestimable_cells,3,0.125,0.0,0,0,1,0.3782976840401008
0,8,0,S3_nonestimable_cells,1,0.05,1.0,1,1,1,0.41532614117656336
0,8,1,S3_nonestimable_cells,3,0.125,0.3333333333333333,1,1,2,0.1888904045223695
0,9,0,S3_nonestimable_cells,2,0.08333333333333333,0.0,0,0,1,0.3433925355424767
0,9,1,S3_nonestimable_cells,1,0.05263157894736842,0.0,0,0,1,0.214398860611191
1,1,0,S3_nonestimable_cells,1,0.03571428571428571,1.0,1,1,1,0.21318431999084228
1,1,1,S3_nonestimable_cells,2,0.1111111111111111,0.0,0,0,1,0.08440679409344559
1,2,0,S3_nonestimable_cells,1,0.043478260869565216,0.0,0,0,1,0.18752422711591576
1,2,1,S3_nonestimable_cells,1,0.034482758620689655,0.0,0,0,1,0.31549677742585835
1,3,0,S3_nonestimable_cells,4,0.14285714285714285,0.5,1,1,4,0.2583883296920233
1,3,1,S3_nonestimable_cells,4,0.2,0.25,1,0,1,0.19861395496994216
1,4,0,S3_nonestimable_cells,5,0.2777777777777778,1.0,1,1,4,0.12370789299000634
1,4,1,S3_nonestimable_cells,2,0.08333333333333333,1.0,1,1,1,0.08089771041750521
1,5,0,S3_nonestimable_cells,1,0.05555555555555555,1.0,1,1,1,0.4240768680340991
1,5,1,S3_nonestimable_cells,1,0.05263157894736842,0.0,0,0,1,0.23922684369409808
1,6,0,S3_nonestimable_cells,1,0.047619047619047616,1.0,1,1,1,0.23605070517181054
1,6,1,S3_nonestimable_cells,2,0.08,0.5,1,1,1,0.21068031321654218
1,7,0,S3_nonestimable_cells,2,0.07692307692307693,0.0,0,0,2,0.3310372225769452
1,7,1,S3_nonestimable_cells,6,0.2857142857142857,0.16666666666666666,1,0,4,0.3259910590701114
1,8,0,S3_nonestimable_cells,4,0.17391304347826086,0.0,0,0,3,0.17049898509287037
1,8,1,S3_nonestimable_cells,2,0.09090909090909091,0.0,0,0,2,0.2059458383758429
1,9,0,S3_nonestimable_cells,1,0.045454545454545456,1.0,1,1,1,0.23296737336681095
1,9,1,S3_nonestimable_cells,2,0.1,1.0,1,1,2,0.2905184122883569
2,1,0,S3_nonestimable_cells,5,0.23809523809523808,1.0,1,1,3,0.22480526762252395
2,1,1,S3_nonestimable_cells,3,0.1111111111111111,0.3333333333333333,1,0,3,0.20984016862242644
2,2,0,S3_nonestimable_cells,7,0.2692307692307692,0.14285714285714285,1,1,4,0.26146526153943994
2,2,1,S3_nonestimable_cells,2,0.06060606060606061,0.0,0,0,1,0.1447048418119537
2,3,0,S3_nonestimable_cells,3,0.13636363636363635,0.0,0,0,2,0.38952077324759965
2,3,1,S3_nonestimable_cells,2,0.058823529411764705,0.0,0,0,2,0.33960916770922944
2,4,0,S3_nonestimable_cells,15,0.4838709677419355,1.0,1,1,10,0.005571427522607211
2,4,1,S3_nonestimable_cells,2,0.1,1.0,1,1,2,0.21728147244005136
2,5,0,S3_nonestimable_cells,2,0.09090909090909091,0.0,0,0,2,0.09846714212021503
2,5,1,S3_nonestimable_cells,1,0.04,0.0,0,0,1,0.16718132868057944
2,6,0,S3_nonestimable_cells,4,0.17391304347826086,0.25,1,0,4,0.2246892742618768
2,6,1,S3_nonestimable_cells,2,0.1,1.0,1,1,2,0.23880061503232447
2,7,0,S3_nonestimable_cells,1,0.047619047619047616,0.0,0,0,1,0.0877184328236158
2,7,1,S3_nonestimable_cells,3,0.13043478260869565,0.6666666666666666,1,0,3,0.21015562024560785
2,8,0,S3_nonestimable_cells,3,0.13043478260869565,0.0,0,0,3,0.15164383357178668
2,8,1,S3_nonestimable_cells,3,0.16666666666666666,0.6666666666666666,1,1,3,0.06685518127581702
2,9,0,S3_nonestimable_cells,1,0.041666666666666664,1.0,1,1,1,0.22113577077524862
2,9,1,S3_nonestimable_cells,16,0.5333333333333333,1.0,1,1,15,0.004362047966308957
