seed,target,level,regime,n,joint_good_rate,n_good_runs,mean_good_run_length,median_good_run_length,transition_count,transition_rate,selected_boundary_distance,selected_joint_good
0,5,0,S2_rare_cells,20,0.55,3,3.6666666666666665,1.0,4,0.21052631578947367,8.0,1
0,5,1,S2_rare_cells,22,0.045454545454545456,1,1.0,1.0,2,0.09523809523809523,11.0,0
0,6,0,S2_rare_cells,22,0.09090909090909091,2,1.0,1.0,4,0.19047619047619047,12.0,0
0,6,1,S2_rare_cells,21,0.09523809523809523,2,1.0,1.0,4,0.2,1.0,0
0,7,0,S2_rare_cells,21,0.42857142857142855,7,1.2857142857142858,1.0,13,0.65,0.0,1
0,7,1,S2_rare_cells,24,0.25,2,3.0,3.0,3,0.13043478260869565,4.0,0
0,8,0,S2_rare_cells,20,0.65,6,2.1666666666666665,1.0,10,0.5263157894736842,0.0,1
0,8,1,S2_rare_cells,24,0.6666666666666666,5,3.2,1.0,9,0.391304347826087,1.0,1
0,9,0,S2_rare_cells,24,0.3333333333333333,3,2.6666666666666665,1.0,6,0.2608695652173913,4.0,0
0,9,1,S2_rare_cells,19,0.5263157894736842,4,2.5,2.0,8,0.4444444444444444,0.0,0
1,1,0,S2_rare_cells,28,0.9642857142857143,2,13.5,13.5,2,0.07407407407407407,1.0,1
1,1,1,S2_rare_cells,18,0.2222222222222222,2,2.0,2.0,4,0.23529411764705882,3.0,0
1,2,0,S2_rare_cells,23,0.13043478260869565,3,1.0,1.0,5,0.22727272727272727,8.0,0
1,2,1,S2_rare_cells,29,0.6551724137931034,3,6.333333333333333,1.0,5,0.17857142857142858,4.0,0
1,3,0,S2_rare_cells,28,0.25,4,1.75,1.5,8,0.2962962962962963,0.0,1
1,3,1,S2_rare_cells,20,0.1,1,2.0,2.0,1,0.05263157894736842,9.0,0
1,4,0,S2_rare_cells,18,0.9444444444444444,1,17.0,17.0,1,0.058823529411764705,16.0,1
1,4,1,S2_rare_cells,24,0.5416666666666666,5,2.6,1.0,9,0.391304347826087,2.0,1
1,5,0,S2_rare_cells,18,0.2777777777777778,3,1.6666666666666667,1.0,6,0.35294117647058826,0.0,1
1,5,1,S2_rare_cells,19,0.10526315789473684,1,2.0,2.0,2,0.1111111111111111,10.0,0
1,6,0,S2_rare_cells,21,1.0,1,21.0,21.0,0,0.0,,1
1,6,1,S2_rare_cells,25,0.92,3,7.666666666666667,6.0,4,0.16666666666666666,1.0,1
1,7,0,S2_rare_cells,26,0.2692307692307692,5,1.4,1.0,9,0.36,7.0,0
1,7,1,S2_rare_cells,21,0.5238095238095238,7,1.5714285714285714,1.0,13,0.65,1.0,0
1,8,0,S2_rare_cells,23,0.5652173913043478,5,2.6,2.0,8,0.36363636363636365,0.0,0
1,8,1,S2_rare_cells,22,0.045454545454545456,1,1.0,1.0,2,0.09523809523809523,7.0,0
1,9,0,S2_rare_cells,22,1.0,1,22.0,22.0,0,0.0,,1
1,9,1,S2_rare_cells,20,0.7,4,3.5,3.5,6,0.3157894736842105,0.0,1
2,1,0,S2_rare_cells,21,0.9047619047619048,3,6.333333333333333,1.0,4,0.2,10.0,1
2,1,1,S2_rare_cells,27,0.18518518518518517,1,5.0,5.0,2,0.07692307692307693,6.0,0
2,2,0,S2_rare_cells,26,0.23076923076923078,4,1.5,1.0,7,0.28,0.0,1
2,2,1,S2_rare_cells,33,0.030303030303030304,1,1.0,1.0,2,0.0625,0.0,0
2,3,0,S2_rare_cells,22,0.5454545454545454,8,1.5,1.0,14,0.6666666666666666,0.0,0
2,3,1,S2_rare_cells,34,0.029411764705882353,1,1.0,1.0,2,0.06060606060606061,1.0,0
2,4,0,S2_rare_cells,31,0.9354838709677419,2,14.5,14.5,3,0.1,18.0,1
2,4,1,S2_rare_cells,20,1.0,1,20.0,20.0,0,0.0,,1
2,5,0,S2_rare_cells,22,0.0,0,0.0,0.0,0,0.0,,0
2,5,1,S2_rare_cells,25,0.0,0,0.0,0.0,0,0.0,,0
2,6,0,S2_rare_cells,23,0.2608695652173913,3,2.0,1.0,6,0.2727272727272727,5.0,0
2,6,1,S2_rare_cells,20,0.9,3,6.0,4.0,4,0.21052631578947367,2.0,1
2,7,0,S2_rare_cells,21,0.42857142857142855,3,3.0,1.0,6,0.3,2.0,0
2,7,1,S2_rare_cells,23,0.7391304347826086,5,3.4,3.0,9,0.4090909090909091,0.0,0
2,8,0,S2_rare_cells,23,0.08695652173913043,2,1.0,1.0,4,0.18181818181818182,3.0,0
2,8,1,S2_rare_cells,18,0.2222222222222222,4,1.0,1.0,7,0.4117647058823529,0.0,1
2,9,0,S2_rare_cells,24,0.375,4,2.25,1.5,8,0.34782608695652173,0.0,1
2,9,1,S2_rare_cells,30,0.9,3,9.0,2.0,4,0.13793103448275862,23.0,1
0,1,0,S3_nonestimable_cells,20,0.05,1,1.0,1.0,2,0.10526315789473684,6.0,0
0,1,1,S3_nonestimable_cells,20,0.25,4,1.25,1.0,7,0.3684210526315789,0.0,1
0,2,0,S3_nonestimable_cells,27,0.5185185185185185,2,7.0,7.0,3,0.11538461538461539,0.0,1
0,2,1,S3_nonestimable_cells,28,0.2857142857142857,2,4.0,4.0,4,0.14814814814814814,0.0,0
0,3,0,S3_nonestimable_cells,23,0.7391304347826086,2,8.5,8.5,3,0.13636363636363635,0.0,0
0,3,1,S3_nonestimable_cells,25,0.0,0,0.0,0.0,0,0.0,,0
0,4,0,S3_nonestimable_cells,24,0.625,5,3.0,1.0,9,0.391304347826087,5.0,1
0,4,1,S3_nonestimable_cells,36,0.1111111111111111,1,4.0,4.0,2,0.05714285714285714,1.0,0
0,5,0,S3_nonestimable_cells,20,0.55,3,3.6666666666666665,1.0,4,0.21052631578947367,8.0,1
0,5,1,S3_nonestimable_cells,22,0.045454545454545456,1,1.0,1.0,2,0.09523809523809523,11.0,0
0,6,0,S3_nonestimable_cells,22,0.09090909090909091,2,1.0,1.0,4,0.19047619047619047,12.0,0
0,6,1,S3_nonestimable_cells,21,0.09523809523809523,2,1.0,1.0,4,0.2,1.0,0
0,7,0,S3_nonestimable_cells,21,0.42857142857142855,7,1.2857142857142858,1.0,13,0.65,0.0,1
0,7,1,S3_nonestimable_cells,24,0.25,2,3.0,3.0,3,0.13043478260869565,4.0,0
0,8,0,S3_nonestimable_cells,20,0.65,6,2.1666666666666665,1.0,10,0.5263157894736842,0.0,1
0,8,1,S3_nonestimable_cells,24,0.6666666666666666,5,3.2,1.0,9,0.391304347826087,1.0,1
0,9,0,S3_nonestimable_cells,24,0.3333333333333333,3,2.6666666666666665,1.0,6,0.2608695652173913,4.0,0
0,9,1,S3_nonestimable_cells,19,0.5263157894736842,4,2.5,2.0,8,0.4444444444444444,0.0,0
1,1,0,S3_nonestimable_cells,28,0.9642857142857143,2,13.5,13.5,2,0.07407407407407407,1.0,1
1,1,1,S3_nonestimable_cells,18,0.2222222222222222,2,2.0,2.0,4,0.23529411764705882,3.0,0
1,2,0,S3_nonestimable_cells,23,0.13043478260869565,3,1.0,1.0,5,0.22727272727272727,8.0,0
1,2,1,S3_nonestimable_cells,29,0.6551724137931034,3,6.333333333333333,1.0,5,0.17857142857142858,4.0,0
1,3,0,S3_nonestimable_cells,28,0.25,4,1.75,1.5,8,0.2962962962962963,0.0,1
1,3,1,S3_nonestimable_cells,20,0.1,1,2.0,2.0,1,0.05263157894736842,9.0,0
1,4,0,S3_nonestimable_cells,18,0.9444444444444444,1,17.0,17.0,1,0.058823529411764705,16.0,1
1,4,1,S3_nonestimable_cells,24,0.5416666666666666,5,2.6,1.0,9,0.391304347826087,2.0,1
1,5,0,S3_nonestimable_cells,18,0.2777777777777778,3,1.6666666666666667,1.0,6,0.35294117647058826,0.0,1
1,5,1,S3_nonestimable_cells,19,0.10526315789473684,1,2.0,2.0,2,0.1111111111111111,10.0,0
1,6,0,S3_nonestimable_cells,21,1.0,1,21.0,21.0,0,0.0,,1
1,6,1,S3_nonestimable_cells,25,0.92,3,7.666666666666667,6.0,4,0.16666666666666666,1.0,1
1,7,0,S3_nonestimable_cells,26,0.2692307692307692,5,1.4,1.0,9,0.36,7.0,0
1,7,1,S3_nonestimable_cells,21,0.5238095238095238,7,1.5714285714285714,1.0,13,0.65,1.0,0
1,8,0,S3_nonestimable_cells,23,0.5652173913043478,5,2.6,2.0,8,0.36363636363636365,0.0,0
1,8,1,S3_nonestimable_cells,22,0.045454545454545456,1,1.0,1.0,2,0.09523809523809523,7.0,0
1,9,0,S3_nonestimable_cells,22,1.0,1,22.0,22.0,0,0.0,,1
1,9,1,S3_nonestimable_cells,20,0.7,4,3.5,3.5,6,0.3157894736842105,0.0,1
2,1,0,S3_nonestimable_cells,21,0.9047619047619048,3,6.333333333333333,1.0,4,0.2,10.0,1
2,1,1,S3_nonestimable_cells,27,0.18518518518518517,1,5.0,5.0,2,0.07692307692307693,6.0,0
2,2,0,S3_nonestimable_cells,26,0.23076923076923078,4,1.5,1.0,7,0.28,0.0,1
2,2,1,S3_nonestimable_cells,33,0.030303030303030304,1,1.0,1.0,2,0.0625,0.0,0
2,3,0,S3_nonestimable_cells,22,0.5454545454545454,8,1.5,1.0,14,0.6666666666666666,0.0,0
2,3,1,S3_nonestimable_cells,34,0.029411764705882353,1,1.0,1.0,2,0.06060606060606061,1.0,0
2,4,0,S3_nonestimable_cells,31,0.9354838709677419,2,14.5,14.5,3,0.1,18.0,1
2,4,1,S3_nonestimable_cells,20,1.0,1,20.0,20.0,0,0.0,,1
2,5,0,S3_nonestimable_cells,22,0.0,0,0.0,0.0,0,0.0,,0
2,5,1,S3_nonestimable_cells,25,0.0,0,0.0,0.0,0,0.0,,0
2,6,0,S3_nonestimable_cells,23,0.2608695652173913,3,2.0,1.0,6,0.2727272727272727,5.0,0
2,6,1,S3_nonestimable_cells,20,0.9,3,6.0,4.0,4,0.21052631578947367,2.0,1
2,7,0,S3_nonestimable_cells,21,0.42857142857142855,3,3.0,1.0,6,0.3,2.0,0
2,7,1,S3_nonestimable_cells,23,0.7391304347826086,5,3.4,3.0,9,0.4090909090909091,0.0,0
2,8,0,S3_nonestimable_cells,23,0.08695652173913043,2,1.0,1.0,4,0.18181818181818182,3.0,0
2,8,1,S3_nonestimable_cells,18,0.2222222222222222,4,1.0,1.0,7,0.4117647058823529,0.0,1
2,9,0,S3_nonestimable_cells,24,0.375,4,2.25,1.5,8,0.34782608695652173,0.0,1
2,9,1,S3_nonestimable_cells,30,0.9,3,9.0,2.0,4,0.13793103448275862,23.0,1
