dataset,confirmation_interface_id,interface_variant,catalog_subjects,eligible_interface_subjects,catalog_channels,catalog_classes,catalog_trials_per_class,catalog_sampling_rate_Hz,catalog_sessions,catalog_runs,documented_min_total_trials_per_subject,event_interval_seconds,event_labels,native_exact_left_right_MI,healthy_adults_only,prior_project_target_science,prior_project_target_or_label_access_certifiably_absent,historical_access_evidence,canonical_nondeduplicated_cohort,public_license,loader_source_path,loader_source_sha256,metadata_url,loader_determinism_audit,published_performance_used,selected_for_C86H_engineering,decision_reason
Schirrmeister2017,Schirrmeister2017,canonical_default,14,14,128,4,120,500,1,2,NOT_DEEP_AUDITED_AFTER_TASK_GATE,4.0,CATALOG_CLASS_GATE_ONLY,0,0,0,1,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,NOT_DEEP_AUDITED_AFTER_TASK_GATE,CATALOG_TASK_GATE_ONLY,NOT_APPLICABLE_AFTER_EARLY_GATE,NOT_APPLICABLE_OR_REGISTRY_ONLY,EARLY_TASK_GATE,0,0,NOT_NATIVE_EXACT_BINARY_LEFT_RIGHT_MI
Ofner2017,Ofner2017,canonical_default,15,15,61,7,60,512,1,10,NOT_DEEP_AUDITED_AFTER_TASK_GATE,3.0,CATALOG_CLASS_GATE_ONLY,0,0,0,1,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,NOT_DEEP_AUDITED_AFTER_TASK_GATE,CATALOG_TASK_GATE_ONLY,NOT_APPLICABLE_AFTER_EARLY_GATE,NOT_APPLICABLE_OR_REGISTRY_ONLY,EARLY_TASK_GATE,0,0,NOT_NATIVE_EXACT_BINARY_LEFT_RIGHT_MI
PhysionetMI,PhysionetMI,canonical_default,109,109,64,4,23,160,1,1,NOT_DEEP_AUDITED_AFTER_TASK_GATE,3.0,CATALOG_CLASS_GATE_ONLY,0,0,1,0,C84F_C84S_C85_COMMITTED_TARGET_SCIENCE,1,NOT_DEEP_AUDITED_AFTER_TASK_GATE,CATALOG_TASK_GATE_ONLY,NOT_APPLICABLE_AFTER_EARLY_GATE,NOT_APPLICABLE_OR_REGISTRY_ONLY,EARLY_TASK_GATE,0,0,PRIOR_TARGET_SCIENCE
Shin2017A,Shin2017A,canonical_default,29,29,30,2,30,200,3,1,60,10.0,left_hand|right_hand,1,1,0,1,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,GPL-3.0_acceptance_required,/home/infres/yinwang/anaconda3/envs/c84c-eeg2025-v3-exact/lib/python3.13/site-packages/moabb/datasets/bbci_eeg_fnirs.py,07c4e2f1abef64c8f4cd11716dd15dc93e0bdabf6bb55f34938f841d32a5d8d6,NOT_APPLICABLE_OR_REGISTRY_ONLY,SOURCE_IDENTITY_BOUND_NO_DATA_OPEN,0,0,GUARANTEED_TRIAL_SUPPORT_BELOW_80
Shin2017B,Shin2017B,canonical_default,29,29,30,2,30,200,3,1,60,10.0,subtraction|rest,0,1,0,1,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,GPL-3.0_acceptance_required,/home/infres/yinwang/anaconda3/envs/c84c-eeg2025-v3-exact/lib/python3.13/site-packages/moabb/datasets/bbci_eeg_fnirs.py,07c4e2f1abef64c8f4cd11716dd15dc93e0bdabf6bb55f34938f841d32a5d8d6,NOT_APPLICABLE_OR_REGISTRY_ONLY,SOURCE_IDENTITY_BOUND_NO_DATA_OPEN,0,0,NOT_NATIVE_EXACT_BINARY_LEFT_RIGHT_MI
Weibo2014,Weibo2014,canonical_default,10,10,60,7,80,200,1,1,NOT_DEEP_AUDITED_AFTER_TASK_GATE,4.0,CATALOG_CLASS_GATE_ONLY,0,0,0,1,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,NOT_DEEP_AUDITED_AFTER_TASK_GATE,CATALOG_TASK_GATE_ONLY,NOT_APPLICABLE_AFTER_EARLY_GATE,NOT_APPLICABLE_OR_REGISTRY_ONLY,EARLY_TASK_GATE,0,0,NOT_NATIVE_EXACT_BINARY_LEFT_RIGHT_MI
Zhou2016,Zhou2016,canonical_default,4,4,14,3,160,250,3,2,NOT_DEEP_AUDITED_AFTER_TASK_GATE,5.0,CATALOG_CLASS_GATE_ONLY,0,0,0,1,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,NOT_DEEP_AUDITED_AFTER_TASK_GATE,CATALOG_TASK_GATE_ONLY,NOT_APPLICABLE_AFTER_EARLY_GATE,NOT_APPLICABLE_OR_REGISTRY_ONLY,EARLY_TASK_GATE,0,0,NOT_NATIVE_EXACT_BINARY_LEFT_RIGHT_MI
Stieger2021,Stieger2021,canonical_default,62,62,64,4,450,1000,7 or 11,1,NOT_DEEP_AUDITED_AFTER_TASK_GATE,3.0,CATALOG_CLASS_GATE_ONLY,0,0,0,1,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,NOT_DEEP_AUDITED_AFTER_TASK_GATE,CATALOG_TASK_GATE_ONLY,NOT_APPLICABLE_AFTER_EARLY_GATE,NOT_APPLICABLE_OR_REGISTRY_ONLY,EARLY_TASK_GATE,0,0,NOT_NATIVE_EXACT_BINARY_LEFT_RIGHT_MI
Liu2024,Liu2024,canonical_default,50,50,29,2,20,500,1,1,40,4.0,left_hand|right_hand,1,0,0,1,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,CC-BY-4.0,/home/infres/yinwang/anaconda3/envs/c84c-eeg2025-v3-exact/lib/python3.13/site-packages/moabb/datasets/liu2024.py,10d704c42fa5bb4e0dcc15e022ee0f88721ec65797a7d90fa3ae5db4a2d13945,NOT_APPLICABLE_OR_REGISTRY_ONLY,SOURCE_IDENTITY_BOUND_NO_DATA_OPEN,0,0,POPULATION_NOT_HEALTHY_ONLY
Beetl2021_A,Beetl2021_A,canonical_default,4,4,63,4,224,500,1,1,NOT_DEEP_AUDITED_AFTER_TASK_GATE,4.0,CATALOG_CLASS_GATE_ONLY,0,0,0,1,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,NOT_DEEP_AUDITED_AFTER_TASK_GATE,CATALOG_TASK_GATE_ONLY,NOT_APPLICABLE_AFTER_EARLY_GATE,NOT_APPLICABLE_OR_REGISTRY_ONLY,EARLY_TASK_GATE,0,0,NOT_NATIVE_EXACT_BINARY_LEFT_RIGHT_MI
Beetl2021_B,Beetl2021_B,canonical_default,2,2,32,4,160,200,1,1,NOT_DEEP_AUDITED_AFTER_TASK_GATE,4.0,CATALOG_CLASS_GATE_ONLY,0,0,0,1,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,NOT_DEEP_AUDITED_AFTER_TASK_GATE,CATALOG_TASK_GATE_ONLY,NOT_APPLICABLE_AFTER_EARLY_GATE,NOT_APPLICABLE_OR_REGISTRY_ONLY,EARLY_TASK_GATE,0,0,NOT_NATIVE_EXACT_BINARY_LEFT_RIGHT_MI
Dreyer2023A,Dreyer2023A,canonical_default,60,60,27,2,20,512,1,6,240,5.0,left_hand|right_hand,1,1,0,0,archive/lpc-cmi-failed/notes/preprocessing_decision.md,0,CC-BY-4.0,/home/infres/yinwang/anaconda3/envs/c84c-eeg2025-v3-exact/lib/python3.13/site-packages/moabb/datasets/dreyer2023.py,cc513f043b74ceae9b5e472ed5549ac596c8508e3775ed7c80d4e3b2688e0047,NOT_APPLICABLE_OR_REGISTRY_ONLY,SOURCE_IDENTITY_BOUND_NO_DATA_OPEN,0,0,HISTORICAL_TARGET_ACCESS_NOT_CERTIFIABLY_ABSENT
Dreyer2023B,Dreyer2023B,canonical_default,21,21,27,2,20,512,1,6,240,5.0,left_hand|right_hand,1,1,0,0,archive/lpc-cmi-failed/notes/preprocessing_decision.md,0,CC-BY-4.0,/home/infres/yinwang/anaconda3/envs/c84c-eeg2025-v3-exact/lib/python3.13/site-packages/moabb/datasets/dreyer2023.py,cc513f043b74ceae9b5e472ed5549ac596c8508e3775ed7c80d4e3b2688e0047,NOT_APPLICABLE_OR_REGISTRY_ONLY,SOURCE_IDENTITY_BOUND_NO_DATA_OPEN,0,0,HISTORICAL_TARGET_ACCESS_NOT_CERTIFIABLY_ABSENT
Dreyer2023C,Dreyer2023C,canonical_default,6,6,27,2,20,512,1,6,240,5.0,left_hand|right_hand,1,1,0,0,archive/lpc-cmi-failed/notes/preprocessing_decision.md,0,CC-BY-4.0,/home/infres/yinwang/anaconda3/envs/c84c-eeg2025-v3-exact/lib/python3.13/site-packages/moabb/datasets/dreyer2023.py,cc513f043b74ceae9b5e472ed5549ac596c8508e3775ed7c80d4e3b2688e0047,NOT_APPLICABLE_OR_REGISTRY_ONLY,SOURCE_IDENTITY_BOUND_NO_DATA_OPEN,0,0,HISTORICAL_TARGET_ACCESS_NOT_CERTIFIABLY_ABSENT
Dreyer2023,Dreyer2023,canonical_default,87,87,27,2,20,512,1,6,240,5.0,left_hand|right_hand,1,1,0,0,archive/lpc-cmi-failed/notes/preprocessing_decision.md,1,CC-BY-4.0,/home/infres/yinwang/anaconda3/envs/c84c-eeg2025-v3-exact/lib/python3.13/site-packages/moabb/datasets/dreyer2023.py,cc513f043b74ceae9b5e472ed5549ac596c8508e3775ed7c80d4e3b2688e0047,https://zenodo.org/records/8089820,SOURCE_IDENTITY_BOUND_NO_DATA_OPEN,0,0,HISTORICAL_TARGET_ACCESS_NOT_CERTIFIABLY_ABSENT
BNCI2020_001,BNCI2020_001,canonical_default,15,15,varies (11-64),3,80,256,3,4,NOT_DEEP_AUDITED_AFTER_TASK_GATE,5.0,CATALOG_CLASS_GATE_ONLY,0,0,0,1,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,NOT_DEEP_AUDITED_AFTER_TASK_GATE,CATALOG_TASK_GATE_ONLY,NOT_APPLICABLE_AFTER_EARLY_GATE,NOT_APPLICABLE_OR_REGISTRY_ONLY,EARLY_TASK_GATE,0,0,NOT_NATIVE_EXACT_BINARY_LEFT_RIGHT_MI
BNCI2022_001,BNCI2022_001,canonical_default,13,13,67,4,varies,256,1,1,NOT_DEEP_AUDITED_AFTER_TASK_GATE,90.0,CATALOG_CLASS_GATE_ONLY,0,0,0,1,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,NOT_DEEP_AUDITED_AFTER_TASK_GATE,CATALOG_TASK_GATE_ONLY,NOT_APPLICABLE_AFTER_EARLY_GATE,NOT_APPLICABLE_OR_REGISTRY_ONLY,EARLY_TASK_GATE,0,0,NOT_NATIVE_EXACT_BINARY_LEFT_RIGHT_MI
BNCI2024_001,BNCI2024_001,canonical_default,20,20,64,10,varies,512,1,1,NOT_DEEP_AUDITED_AFTER_TASK_GATE,3.0,CATALOG_CLASS_GATE_ONLY,0,0,0,1,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,NOT_DEEP_AUDITED_AFTER_TASK_GATE,CATALOG_TASK_GATE_ONLY,NOT_APPLICABLE_AFTER_EARLY_GATE,NOT_APPLICABLE_OR_REGISTRY_ONLY,EARLY_TASK_GATE,0,0,NOT_NATIVE_EXACT_BINARY_LEFT_RIGHT_MI
BNCI2025_001,BNCI2025_001,canonical_default,20,20,64,16,varies,500,1,1,NOT_DEEP_AUDITED_AFTER_TASK_GATE,4.0,CATALOG_CLASS_GATE_ONLY,0,0,0,1,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,NOT_DEEP_AUDITED_AFTER_TASK_GATE,CATALOG_TASK_GATE_ONLY,NOT_APPLICABLE_AFTER_EARLY_GATE,NOT_APPLICABLE_OR_REGISTRY_ONLY,EARLY_TASK_GATE,0,0,NOT_NATIVE_EXACT_BINARY_LEFT_RIGHT_MI
BNCI2025_002,BNCI2025_002,canonical_default,20,20,64,3,varies,200,3,1,NOT_DEEP_AUDITED_AFTER_TASK_GATE,8.0,CATALOG_CLASS_GATE_ONLY,0,0,0,1,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,NOT_DEEP_AUDITED_AFTER_TASK_GATE,CATALOG_TASK_GATE_ONLY,NOT_APPLICABLE_AFTER_EARLY_GATE,NOT_APPLICABLE_OR_REGISTRY_ONLY,EARLY_TASK_GATE,0,0,NOT_NATIVE_EXACT_BINARY_LEFT_RIGHT_MI
BNCI2019_001,BNCI2019_001,canonical_default,10,10,64,5,varies,256,1,9,NOT_DEEP_AUDITED_AFTER_TASK_GATE,3.0,CATALOG_CLASS_GATE_ONLY,0,0,0,1,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,NOT_DEEP_AUDITED_AFTER_TASK_GATE,CATALOG_TASK_GATE_ONLY,NOT_APPLICABLE_AFTER_EARLY_GATE,NOT_APPLICABLE_OR_REGISTRY_ONLY,EARLY_TASK_GATE,0,0,NOT_NATIVE_EXACT_BINARY_LEFT_RIGHT_MI
Tavakolan2017,Tavakolan2017,canonical_default,12,12,32,3,20,1000,4,1,NOT_DEEP_AUDITED_AFTER_TASK_GATE,3.0,CATALOG_CLASS_GATE_ONLY,0,0,0,1,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,NOT_DEEP_AUDITED_AFTER_TASK_GATE,CATALOG_TASK_GATE_ONLY,NOT_APPLICABLE_AFTER_EARLY_GATE,NOT_APPLICABLE_OR_REGISTRY_ONLY,EARLY_TASK_GATE,0,0,NOT_NATIVE_EXACT_BINARY_LEFT_RIGHT_MI
Zhang2017,Zhang2017,canonical_default,12,12,17,10,30,1000,1,15,NOT_DEEP_AUDITED_AFTER_TASK_GATE,4.0,CATALOG_CLASS_GATE_ONLY,0,0,0,1,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,NOT_DEEP_AUDITED_AFTER_TASK_GATE,CATALOG_TASK_GATE_ONLY,NOT_APPLICABLE_AFTER_EARLY_GATE,NOT_APPLICABLE_OR_REGISTRY_ONLY,EARLY_TASK_GATE,0,0,NOT_NATIVE_EXACT_BINARY_LEFT_RIGHT_MI
Kaya2018,Kaya2018,canonical_default,7,7,19,3,80,200,3,1,NOT_DEEP_AUDITED_AFTER_TASK_GATE,1.0,CATALOG_CLASS_GATE_ONLY,0,0,0,1,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,NOT_DEEP_AUDITED_AFTER_TASK_GATE,CATALOG_TASK_GATE_ONLY,NOT_APPLICABLE_AFTER_EARLY_GATE,NOT_APPLICABLE_OR_REGISTRY_ONLY,EARLY_TASK_GATE,0,0,NOT_NATIVE_EXACT_BINARY_LEFT_RIGHT_MI
Kumar2024,Kumar2024,canonical_default,18,18,22,2,varies,512,6,varies,400,5.0,left_hand|right_hand,1,1,0,1,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,CC-BY-4.0,/home/infres/yinwang/anaconda3/envs/c84c-eeg2025-v3-exact/lib/python3.13/site-packages/moabb/datasets/kumar2024.py,b06d387564032456eb44c2bc24787d09fab4d5be3ae5d755b0178e190c07989d,https://zenodo.org/records/10694880,SOURCE_IDENTITY_BOUND_NO_DATA_OPEN,0,1,ELIGIBLE_ALL_RULES_PASS
Rozado2015,Rozado2015,canonical_default,30,30,32,2,25,512,1,2,50,6.0,left_hand|rest,0,1,0,1,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,CC0-1.0,/home/infres/yinwang/anaconda3/envs/c84c-eeg2025-v3-exact/lib/python3.13/site-packages/moabb/datasets/rozado2015.py,4d29e846dabb0fd93ae718cd72bd36625d78c4dcbb45d128a70c87499ba764b8,NOT_APPLICABLE_OR_REGISTRY_ONLY,SOURCE_IDENTITY_BOUND_NO_DATA_OPEN,0,0,NOT_NATIVE_EXACT_BINARY_LEFT_RIGHT_MI
Brandl2020,Brandl2020,canonical_default,16,16,63,2,36,1000,1,7,504,4.5,left_hand|right_hand,1,1,0,1,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,CC-BY-NC-ND-4.0,/home/infres/yinwang/anaconda3/envs/c84c-eeg2025-v3-exact/lib/python3.13/site-packages/moabb/datasets/brandl2020.py,313c912ac42ea89d0a176a7baa972330067b6ca559cdef81acde074757416edd,https://doi.org/10.3389/fnins.2020.566147,SOURCE_IDENTITY_BOUND_NO_DATA_OPEN,0,1,ELIGIBLE_ALL_RULES_PASS
Ma2020,Ma2020,canonical_default,25,25,62,2,300,200,15,1,600,4.0,right_hand|right_elbow,0,1,0,1,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,CC-BY-4.0,/home/infres/yinwang/anaconda3/envs/c84c-eeg2025-v3-exact/lib/python3.13/site-packages/moabb/datasets/ma2020.py,3cfa3657a00bc45bde75c0e27d1c9cf721c94f63fc956ca113f75c2581a16778,NOT_APPLICABLE_OR_REGISTRY_ONLY,SOURCE_IDENTITY_BOUND_NO_DATA_OPEN,0,0,NOT_NATIVE_EXACT_BINARY_LEFT_RIGHT_MI
Wairagkar2018,Wairagkar2018,canonical_default,14,14,19,3,40,1024,1,1,NOT_DEEP_AUDITED_AFTER_TASK_GATE,6.0,CATALOG_CLASS_GATE_ONLY,0,0,0,1,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,NOT_DEEP_AUDITED_AFTER_TASK_GATE,CATALOG_TASK_GATE_ONLY,NOT_APPLICABLE_AFTER_EARLY_GATE,NOT_APPLICABLE_OR_REGISTRY_ONLY,EARLY_TASK_GATE,0,0,NOT_NATIVE_EXACT_BINARY_LEFT_RIGHT_MI
Zhou2020,Zhou2020,canonical_default,20,20,26,4,60,500,7,6,NOT_DEEP_AUDITED_AFTER_TASK_GATE,5.0,CATALOG_CLASS_GATE_ONLY,0,0,0,1,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,NOT_DEEP_AUDITED_AFTER_TASK_GATE,CATALOG_TASK_GATE_ONLY,NOT_APPLICABLE_AFTER_EARLY_GATE,NOT_APPLICABLE_OR_REGISTRY_ONLY,EARLY_TASK_GATE,0,0,NOT_NATIVE_EXACT_BINARY_LEFT_RIGHT_MI
Wu2020,Wu2020,canonical_default,6,6,132,2,varies,1000,1,varies,160,4.0,left_hand|right_hand,1,1,0,1,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,CC-BY-4.0,/home/infres/yinwang/anaconda3/envs/c84c-eeg2025-v3-exact/lib/python3.13/site-packages/moabb/datasets/wu2020.py,6a98a8e3d3118d97d586f64dbcc1ff4cb98f55d6c544c3e92583d2b7aac4579b,NOT_APPLICABLE_OR_REGISTRY_ONLY,SOURCE_IDENTITY_BOUND_NO_DATA_OPEN,0,0,SUBJECT_COUNT_BELOW_12
Jeong2020,Jeong2020,canonical_default,25,25,60,11,50,2500,3,3,NOT_DEEP_AUDITED_AFTER_TASK_GATE,4.0,CATALOG_CLASS_GATE_ONLY,0,0,0,1,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,NOT_DEEP_AUDITED_AFTER_TASK_GATE,CATALOG_TASK_GATE_ONLY,NOT_APPLICABLE_AFTER_EARLY_GATE,NOT_APPLICABLE_OR_REGISTRY_ONLY,EARLY_TASK_GATE,0,0,NOT_NATIVE_EXACT_BINARY_LEFT_RIGHT_MI
Yang2025,Yang2025_2C,paradigm_type=2C;subjects=1..51,62,51,59,3,100,1000,3,1,600,4.0,left_hand|right_hand,1,1,0,1,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,CC-BY-4.0,/home/infres/yinwang/anaconda3/envs/c84c-eeg2025-v3-exact/lib/python3.13/site-packages/moabb/datasets/yang2025.py,b6a1ea3ee0e415a43d6a4dc04c0d798160b9e740efedd08cf4fd82b35c35220f,https://plus.figshare.com/articles/dataset/22671172,SOURCE_IDENTITY_BOUND_NO_DATA_OPEN,0,1,ELIGIBLE_ALL_RULES_PASS
Forenzo2023,Forenzo2023,canonical_default,25,25,64,2,varies,1000,5,3,75,60.0,left_hand|right_hand,1,1,0,1,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,CC-BY-4.0,/home/infres/yinwang/anaconda3/envs/c84c-eeg2025-v3-exact/lib/python3.13/site-packages/moabb/datasets/forenzo2023.py,0dfd71bf23c64ff17ea9c9d3d2aca6f6691a12e462255f798b2988034a92c771,NOT_APPLICABLE_OR_REGISTRY_ONLY,SOURCE_IDENTITY_BOUND_NO_DATA_OPEN,0,0,GUARANTEED_TRIAL_SUPPORT_BELOW_80
TrianaGuzman2024,TrianaGuzman2024,canonical_default,32,32,17,4,varies,250,1,1,NOT_DEEP_AUDITED_AFTER_TASK_GATE,15.0,CATALOG_CLASS_GATE_ONLY,0,0,0,1,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,NOT_DEEP_AUDITED_AFTER_TASK_GATE,CATALOG_TASK_GATE_ONLY,NOT_APPLICABLE_AFTER_EARLY_GATE,NOT_APPLICABLE_OR_REGISTRY_ONLY,EARLY_TASK_GATE,0,0,NOT_NATIVE_EXACT_BINARY_LEFT_RIGHT_MI
Chang2025,Chang2025,canonical_default,28,28,59,3,40,1000,4,1,NOT_DEEP_AUDITED_AFTER_TASK_GATE,6.0,CATALOG_CLASS_GATE_ONLY,0,0,0,1,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,NOT_DEEP_AUDITED_AFTER_TASK_GATE,CATALOG_TASK_GATE_ONLY,NOT_APPLICABLE_AFTER_EARLY_GATE,NOT_APPLICABLE_OR_REGISTRY_ONLY,EARLY_TASK_GATE,0,0,NOT_NATIVE_EXACT_BINARY_LEFT_RIGHT_MI
