dataset,confirmation_interface_id,committed_target_science,committed_access_evidence,evidence_path,untouched_access_certified,C86P_EEG_open,C86P_label_open,C86P_download,future_preaccess_replay_required
Zhang2017,Zhang2017,0,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,0,0,0,1
Kaya2018,Kaya2018,0,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,0,0,0,1
Kumar2024,Kumar2024,0,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,0,0,0,1
Rozado2015,Rozado2015,0,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,0,0,0,1
Brandl2020,Brandl2020,0,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,0,0,0,1
Ma2020,Ma2020,0,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,0,0,0,1
Wairagkar2018,Wairagkar2018,0,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,0,0,0,1
Zhou2020,Zhou2020,0,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,0,0,0,1
Wu2020,Wu2020,0,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,0,0,0,1
Jeong2020,Jeong2020,0,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,0,0,0,1
Yang2025,Yang2025_2C,0,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,0,0,0,1
Forenzo2023,Forenzo2023,0,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,0,0,0,1
TrianaGuzman2024,TrianaGuzman2024,0,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,0,0,0,1
Chang2025,Chang2025,0,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,0,0,0,1
GuttmannFlury2025_ME,GuttmannFlury2025_ME,0,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,0,0,0,1
GuttmannFlury2025_MI,GuttmannFlury2025_MI,0,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,0,0,0,1
HefmiIch2025,HefmiIch2025,0,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,0,0,0,1
Yi2025,Yi2025,0,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,0,0,0,1
Gao2026,Gao2026,0,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,0,0,0,1
Zuo2025,Zuo2025,0,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,0,0,0,1
Liu2025,Liu2025,0,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,0,0,0,1
