dataset,target_subject,token_seed,is_dev,alpha,is_alpha_star,k,lam,bacc_orig,bacc_injected,induced_harm,E0_recovery,E4_inj_bacc,E4_cln_bacc,E4_raw_rec,E4_netted_rec,E1_inj_bacc,E1_cln_bacc,E1_raw_rec,E1_netted_rec,E2_netted_rec,E3_inj_bacc,E3_cln_bacc,E3_netted_rec,ERASE_inj_bacc,ERASE_cln_bacc,ERASE_netted_rec
BNCI2014_001,1,20260708,False,2.0,False,1,0.5,0.4045,0.2674,0.1372,1.0,0.3056,0.4201,0.2785,0.1646,0.2604,0.4062,-0.0506,-0.0633,0.2911,0.2639,0.408,-0.0506,0.2517,0.3073,0.5949
BNCI2014_001,1,20260709,False,0.5,False,4,0.5,0.4045,0.3368,0.0677,1.0,0.3872,0.4201,0.7436,0.5128,0.3663,0.4184,0.4359,0.2308,0.3333,0.3299,0.4062,-0.1282,0.3455,0.3594,0.7949
BNCI2014_001,1,20260709,False,1.0,False,4,0.5,0.4045,0.2812,0.1233,1.0,0.3576,0.4201,0.6197,0.493,0.3194,0.4167,0.3099,0.2113,0.3099,0.2882,0.4062,0.0423,0.3056,0.3472,0.662
BNCI2014_001,1,20260709,False,1.5,True,4,0.5,0.4045,0.2587,0.1458,1.0,0.3247,0.4201,0.4524,0.3452,0.2934,0.4149,0.2381,0.1667,0.2976,0.2604,0.4045,0.0119,0.276,0.3385,0.5714
BNCI2014_001,1,20260709,False,2.0,False,4,0.5,0.4045,0.2309,0.1736,1.0,0.3056,0.4201,0.43,0.34,0.2622,0.4132,0.18,0.13,0.35,0.224,0.4062,-0.05,0.2517,0.3472,0.45
BNCI2014_001,2,0,True,0.5,False,1,1.0,0.283,0.2708,0.0122,1.0,0.2691,0.2691,-0.1429,1.0,0.2552,0.2674,-1.2857,0.0,0.4286,0.2674,0.2778,0.1429,0.2656,0.2795,-0.1429
BNCI2014_001,2,0,True,1.0,False,1,1.0,0.283,0.25,0.033,1.0,0.2691,0.2691,0.5789,1.0,0.2465,0.2483,-0.1053,0.9474,1.1053,0.2465,0.2795,-0.0,0.2517,0.2604,0.7368
BNCI2014_001,2,0,True,1.5,True,1,1.0,0.283,0.2413,0.0417,1.0,0.2691,0.2691,0.6667,1.0,0.2413,0.25,0.0,0.7917,1.0833,0.2639,0.2691,0.875,0.2431,0.2517,0.7917
BNCI2014_001,2,0,True,2.0,False,1,1.0,0.283,0.2535,0.0295,1.0,0.2691,0.2691,0.5294,1.0,0.2483,0.25,-0.1765,0.9412,1.2353,0.2535,0.2812,0.0588,0.2292,0.2517,0.2353
BNCI2014_001,2,20260707,False,0.5,False,4,1.0,0.283,0.2726,0.0104,1.0,0.2691,0.2691,-0.3333,1.0,0.2708,0.2795,-0.1667,0.1667,1.0,0.2778,0.2812,0.6667,0.2934,0.283,2.0
BNCI2014_001,2,20260707,False,1.0,True,4,1.0,0.283,0.2795,0.0035,1.0,0.2691,0.2691,-3.0,1.0,0.276,0.2743,-1.0,1.5,3.0,0.2812,0.2778,2.0,0.2847,0.2812,2.0
BNCI2014_001,2,20260707,False,1.5,False,4,1.0,0.283,0.283,0.0,,0.2691,0.2691,,,0.2778,0.283,,,,0.2778,0.283,,0.2743,0.2778,
BNCI2014_001,2,20260707,False,2.0,False,4,1.0,0.283,0.2812,0.0017,1.0,0.2691,0.2691,-7.0,1.0,0.2656,0.276,-9.0,-5.0,-1.0,0.2778,0.2812,-1.0,0.2587,0.2795,-11.0
BNCI2014_001,2,20260708,False,0.5,False,4,1.0,0.283,0.276,0.0069,1.0,0.2691,0.2691,-1.0,1.0,0.2743,0.2743,-0.25,1.0,1.25,0.2778,0.2778,1.0,0.2795,0.276,1.5
BNCI2014_001,2,20260708,False,1.0,False,4,1.0,0.283,0.2847,-0.0017,1.0,0.2691,0.2691,9.0,1.0,0.2691,0.2708,9.0,2.0,1.0,0.2795,0.2813,2.0,0.2812,0.2778,-1.0
BNCI2014_001,2,20260708,False,1.5,True,4,1.0,0.283,0.2778,0.0052,1.0,0.2691,0.2691,-1.6667,1.0,0.2656,0.2708,-2.3333,0.0,0.3333,0.2569,0.2743,-2.3333,0.2674,0.2656,1.3333
BNCI2014_001,2,20260708,False,2.0,False,4,1.0,0.283,0.2587,0.0243,1.0,0.2691,0.2691,0.4286,1.0,0.2726,0.2726,0.5714,1.0,0.9286,0.2622,0.2743,0.5,0.2656,0.2726,0.7143
BNCI2014_001,2,20260709,False,0.5,False,2,0.5,0.283,0.2535,0.0295,1.0,0.2795,0.2812,0.8824,0.9412,0.276,0.2812,0.7647,0.8235,0.8235,0.2587,0.283,0.1765,0.2708,0.283,0.5882
BNCI2014_001,2,20260709,False,1.0,True,2,0.5,0.283,0.2587,0.0243,1.0,0.2674,0.2812,0.3571,0.4286,0.2604,0.2778,0.0714,0.2857,0.2143,0.2587,0.2812,0.0714,0.2483,0.2639,0.3571
BNCI2014_001,2,20260709,False,1.5,False,2,0.5,0.283,0.2569,0.026,1.0,0.2674,0.2812,0.4,0.4667,0.2604,0.2569,0.1333,1.1333,1.2667,0.2569,0.2847,-0.0667,0.2622,0.2674,0.8
BNCI2014_001,2,20260709,False,2.0,False,2,0.5,0.283,0.2587,0.0243,1.0,0.2552,0.2812,-0.1429,-0.0714,0.2535,0.2639,-0.2143,0.5714,0.1429,0.2587,0.276,0.2857,0.25,0.2622,0.5
BNCI2014_001,3,0,True,0.5,False,4,1.0,0.4826,0.4931,-0.0104,1.0,0.4653,0.4653,2.6667,1.0,0.4931,0.474,-0.0,-0.8333,-0.5,0.4948,0.4792,-0.5,0.4427,0.4444,1.1667
BNCI2014_001,3,0,True,1.0,True,4,1.0,0.4826,0.5104,-0.0278,1.0,0.4653,0.4653,1.625,1.0,0.5087,0.4757,0.0625,-0.1875,-0.6875,0.4965,0.4792,0.375,0.4444,0.4358,0.6875
BNCI2014_001,3,0,True,1.5,False,4,1.0,0.4826,0.5278,-0.0451,1.0,0.4653,0.4653,1.3846,1.0,0.5139,0.4722,0.3077,0.0769,0.0385,0.5278,0.4844,0.0385,0.4392,0.4201,0.5769
BNCI2014_001,3,0,True,2.0,False,4,1.0,0.4826,0.5278,-0.0451,1.0,0.4653,0.4653,1.3846,1.0,0.5312,0.4722,-0.0769,-0.3077,0.1923,0.5278,0.4792,-0.0769,0.4306,0.4062,0.4615
BNCI2014_001,3,20260707,False,0.5,False,1,0.5,0.4826,0.4722,0.0104,1.0,0.467,0.4774,-0.5,-0.0,0.4566,0.4688,-1.5,-0.1667,0.5,0.4722,0.4826,0.0,0.4566,0.467,0.0
BNCI2014_001,3,20260707,False,1.0,False,1,0.5,0.4826,0.4566,0.026,1.0,0.4653,0.4774,0.3333,0.5333,0.4549,0.4705,-0.0667,0.4,-0.1333,0.4549,0.4809,-0.0,0.4375,0.4705,-0.2667
BNCI2014_001,3,20260707,False,1.5,True,1,0.5,0.4826,0.4149,0.0677,1.0,0.4531,0.4774,0.5641,0.641,0.4253,0.4705,0.1538,0.3333,0.3846,0.4132,0.4774,0.0513,0.4253,0.4688,0.359
BNCI2014_001,3,20260707,False,2.0,False,1,0.5,0.4826,0.3889,0.0937,1.0,0.4271,0.4774,0.4074,0.463,0.401,0.4705,0.1296,0.2593,0.3704,0.3889,0.4809,0.0185,0.408,0.4688,0.3519
BNCI2014_001,3,20260708,False,0.5,False,1,0.5,0.4826,0.5035,-0.0208,1.0,0.4774,0.4774,1.25,1.0,0.4792,0.4688,1.1667,0.5,-0.0,0.5087,0.4809,-0.3333,0.467,0.4583,0.5833
BNCI2014_001,3,20260708,False,1.0,True,1,0.5,0.4826,0.5052,-0.0226,1.0,0.4792,0.4774,1.1538,0.9231,0.5017,0.4722,0.1538,-0.3077,-0.2308,0.5139,0.4844,-0.3077,0.474,0.4653,0.6154
BNCI2014_001,3,20260708,False,1.5,False,1,0.5,0.4826,0.4878,-0.0052,1.0,0.4965,0.4774,-1.6667,-2.6667,0.5226,0.4722,-6.6667,-8.6667,-0.6667,0.4878,0.4809,-0.3333,0.4757,0.467,-0.6667
BNCI2014_001,3,20260708,False,2.0,False,1,0.5,0.4826,0.4878,-0.0052,1.0,0.5017,0.4774,-2.6667,-3.6667,0.5052,0.4722,-3.3333,-5.3333,2.6667,0.4861,0.4809,-0.0,0.474,0.4757,1.3333
BNCI2014_001,3,20260709,False,0.5,False,4,1.0,0.4826,0.4983,-0.0156,1.0,0.4653,0.4653,2.1111,1.0,0.4688,0.4688,1.8889,1.0,1.3333,0.4931,0.4792,0.1111,0.4132,0.408,0.6667
BNCI2014_001,3,20260709,False,1.0,True,4,1.0,0.4826,0.5156,-0.033,1.0,0.4653,0.4653,1.5263,1.0,0.4757,0.467,1.2105,0.7368,0.9474,0.5156,0.4757,-0.2105,0.408,0.4045,0.8947
BNCI2014_001,3,20260709,False,1.5,False,4,1.0,0.4826,0.526,-0.0434,1.0,0.4653,0.4653,1.4,1.0,0.4896,0.4757,0.84,0.68,0.96,0.526,0.4774,-0.12,0.4115,0.4028,0.8
BNCI2014_001,3,20260709,False,2.0,False,4,1.0,0.4826,0.5295,-0.0469,1.0,0.4653,0.4653,1.3704,1.0,0.4931,0.4757,0.7778,0.6296,0.8519,0.5365,0.4774,-0.2593,0.441,0.4062,0.2593
BNCI2014_001,4,0,True,0.5,False,1,1.0,0.3472,0.3368,0.0104,1.0,0.3281,0.3281,-0.8333,1.0,0.3247,0.3264,-1.1667,0.8333,1.5,0.3351,0.3455,0.0,0.3403,0.3403,1.0
BNCI2014_001,4,0,True,1.0,True,1,1.0,0.3472,0.3333,0.0139,1.0,0.3281,0.3281,-0.375,1.0,0.3281,0.3351,-0.375,0.5,1.125,0.3264,0.3524,-0.875,0.3455,0.3316,2.0
BNCI2014_001,4,0,True,1.5,False,1,1.0,0.3472,0.2795,0.0677,1.0,0.3281,0.3281,0.7179,1.0,0.3212,0.3281,0.6154,0.8974,1.0769,0.2812,0.3472,0.0256,0.3142,0.3142,1.0
BNCI2014_001,4,0,True,2.0,False,1,1.0,0.3472,0.2656,0.0816,1.0,0.3281,0.3281,0.766,1.0,0.3229,0.342,0.7021,0.766,1.1489,0.2639,0.3472,-0.0213,0.3003,0.3316,0.617
BNCI2014_001,4,20260707,False,0.5,False,2,0.5,0.3472,0.3455,0.0017,1.0,0.3507,0.3455,3.0,4.0,0.349,0.3385,2.0,7.0,1.0,0.349,0.3507,0.0,0.3264,0.3455,-10.0
BNCI2014_001,4,20260707,False,1.0,False,2,0.5,0.3472,0.3056,0.0417,1.0,0.3351,0.3455,0.7083,0.75,0.3108,0.3507,0.125,0.0417,-0.0,0.3108,0.3507,0.0417,0.2917,0.3594,-0.625
BNCI2014_001,4,20260707,False,1.5,True,2,0.5,0.3472,0.2743,0.0729,1.0,0.3333,0.3455,0.8095,0.8333,0.2691,0.3576,-0.0714,-0.2143,0.0238,0.2812,0.3576,-0.0476,0.2569,0.3455,-0.2143
BNCI2014_001,4,20260707,False,2.0,False,2,0.5,0.3472,0.2517,0.0955,1.0,0.3125,0.3455,0.6364,0.6545,0.25,0.3646,-0.0182,-0.2,0.1818,0.2535,0.3524,-0.0364,0.2465,0.3507,-0.0909
BNCI2014_001,4,20260708,False,0.5,False,4,1.0,0.3472,0.3368,0.0104,1.0,0.3281,0.3281,-0.8333,1.0,0.3333,0.3403,-0.3333,0.3333,1.1667,0.3351,0.349,-0.3333,0.3646,0.3628,1.1667
BNCI2014_001,4,20260708,False,1.0,False,4,1.0,0.3472,0.3281,0.0191,1.0,0.3281,0.3281,0.0,1.0,0.3438,0.3507,0.8182,0.6364,0.8182,0.3333,0.3524,0.0,0.3299,0.3611,-0.6364
BNCI2014_001,4,20260708,False,1.5,True,4,1.0,0.3472,0.3003,0.0469,1.0,0.3281,0.3281,0.5926,1.0,0.3455,0.3472,0.963,0.963,1.2963,0.3212,0.3559,0.2593,0.2969,0.3524,-0.1852
BNCI2014_001,4,20260708,False,2.0,False,4,1.0,0.3472,0.2847,0.0625,1.0,0.3281,0.3281,0.6944,1.0,0.3524,0.3559,1.0833,0.9444,1.3056,0.2778,0.3472,-0.1111,0.2847,0.3455,0.0278
BNCI2014_001,4,20260709,False,0.5,False,4,0.5,0.3472,0.3542,-0.0069,1.0,0.3368,0.3455,2.5,2.25,0.3385,0.349,2.25,2.5,2.25,0.3524,0.3628,2.5,0.3403,0.3229,-1.5
BNCI2014_001,4,20260709,False,1.0,False,4,0.5,0.3472,0.3542,-0.0069,1.0,0.3438,0.3455,1.5,1.25,0.3299,0.349,3.5,3.75,4.25,0.3472,0.3438,0.5,0.2986,0.3281,5.25
BNCI2014_001,4,20260709,False,1.5,True,4,0.5,0.3472,0.3194,0.0278,1.0,0.3368,0.3455,0.625,0.6875,0.3021,0.3472,-0.625,-0.625,-0.5625,0.3247,0.349,0.125,0.2778,0.3299,-0.875
BNCI2014_001,4,20260709,False,2.0,False,4,0.5,0.3472,0.2969,0.0503,1.0,0.3038,0.3455,0.1379,0.1724,0.2882,0.3507,-0.1724,-0.2414,0.0,0.309,0.3559,0.069,0.2708,0.3264,-0.1034
BNCI2014_001,5,0,True,0.5,False,2,0.5,0.2535,0.2569,-0.0035,1.0,0.2691,0.2674,-3.5,0.5,0.2587,0.2622,-0.5,2.0,1.0,0.2604,0.2535,-1.0,0.276,0.276,1.0
BNCI2014_001,5,0,True,1.0,True,2,0.5,0.2535,0.2587,-0.0052,1.0,0.2639,0.2674,-1.0,1.6667,0.2656,0.2656,-1.3333,1.0,1.3333,0.2569,0.25,-0.3333,0.2656,0.2674,1.3333
BNCI2014_001,5,0,True,1.5,False,2,0.5,0.2535,0.2552,-0.0017,1.0,0.2622,0.2674,-4.0,4.0,0.2674,0.2604,-7.0,-3.0,-2.0,0.2552,0.2604,4.0,0.2622,0.2622,1.0
BNCI2014_001,5,0,True,2.0,False,2,0.5,0.2535,0.2552,-0.0017,1.0,0.2604,0.2674,-3.0,5.0,0.2691,0.2535,-8.0,-8.0,2.0,0.2552,0.2604,4.0,0.2674,0.2674,1.0
BNCI2014_001,5,20260707,False,0.5,False,1,0.5,0.2535,0.25,0.0035,1.0,0.2639,0.2674,4.0,0.0,0.2639,0.2604,4.0,2.0,2.0,0.2483,0.2535,-0.5,0.2778,0.2795,0.5
BNCI2014_001,5,20260707,False,1.0,False,1,0.5,0.2535,0.2448,0.0087,1.0,0.2587,0.2674,1.6,-0.0,0.2517,0.2639,0.8,-0.4,0.4,0.2448,0.2569,-0.4,0.2743,0.276,0.8
BNCI2014_001,5,20260707,False,1.5,True,1,0.5,0.2535,0.2431,0.0104,1.0,0.2569,0.2674,1.3333,0.0,0.2535,0.2656,1.0,-0.1667,-0.3333,0.2431,0.2569,-0.3333,0.2743,0.2812,0.3333
BNCI2014_001,5,20260707,False,2.0,False,1,0.5,0.2535,0.2396,0.0139,1.0,0.2587,0.2674,1.375,0.375,0.2587,0.2639,1.375,0.625,0.125,0.2413,0.2535,0.125,0.2465,0.2622,-0.125
BNCI2014_001,5,20260708,False,0.5,False,4,1.0,0.2535,0.2587,-0.0052,1.0,0.276,0.276,-3.3333,1.0,0.2726,0.2656,-2.6667,-0.3333,-0.3333,0.2569,0.25,-0.3333,0.2795,0.2743,-0.0
BNCI2014_001,5,20260708,False,1.0,True,4,1.0,0.2535,0.2604,-0.0069,1.0,0.276,0.276,-2.25,1.0,0.2795,0.2656,-2.75,-1.0,-0.75,0.2569,0.2656,2.25,0.2656,0.2656,1.0
BNCI2014_001,5,20260708,False,1.5,False,4,1.0,0.2535,0.2552,-0.0017,1.0,0.276,0.276,-12.0,1.0,0.2882,0.2743,-19.0,-7.0,-5.0,0.2535,0.2465,-3.0,0.2743,0.2587,-8.0
BNCI2014_001,5,20260708,False,2.0,False,4,1.0,0.2535,0.2517,0.0017,1.0,0.276,0.276,14.0,1.0,0.2917,0.2743,23.0,11.0,6.0,0.2569,0.2552,2.0,0.2622,0.2604,2.0
BNCI2014_001,5,20260709,False,0.5,False,1,0.5,0.2535,0.2604,-0.0069,1.0,0.2604,0.2674,0.0,2.0,0.2639,0.2674,-0.5,1.5,1.0,0.2587,0.2517,0.0,0.2604,0.2691,2.25
BNCI2014_001,5,20260709,False,1.0,False,1,0.5,0.2535,0.2674,-0.0139,1.0,0.2691,0.2674,-0.125,0.875,0.2639,0.2639,0.25,1.0,1.0,0.2656,0.2535,0.125,0.2691,0.2622,0.5
BNCI2014_001,5,20260709,False,1.5,True,1,0.5,0.2535,0.2622,-0.0087,1.0,0.2691,0.2674,-0.8,0.8,0.2604,0.2587,0.2,0.8,0.6,0.2604,0.2552,0.4,0.2639,0.2726,2.0
BNCI2014_001,5,20260709,False,2.0,False,1,0.5,0.2535,0.2535,0.0,,0.2691,0.2674,,,0.2604,0.2587,,,,0.2552,0.2569,,0.2622,0.2691,
BNCI2014_001,6,0,True,0.5,False,4,0.5,0.2865,0.2847,0.0017,1.0,0.3003,0.2986,9.0,2.0,0.2986,0.2969,8.0,2.0,1.0,0.2847,0.2882,-1.0,0.2743,0.2691,4.0
BNCI2014_001,6,0,True,1.0,False,4,0.5,0.2865,0.2951,-0.0087,1.0,0.2986,0.2986,-0.4,1.0,0.3003,0.2986,-0.6,0.8,1.6,0.2899,0.2847,0.4,0.2639,0.2743,2.2
BNCI2014_001,6,0,True,1.5,True,4,0.5,0.2865,0.2934,-0.0069,1.0,0.3021,0.2986,-1.25,0.5,0.2917,0.3038,0.25,2.75,1.25,0.2934,0.2899,0.5,0.2587,0.2622,1.5
BNCI2014_001,6,0,True,2.0,False,4,0.5,0.2865,0.2882,-0.0017,1.0,0.3056,0.2986,-10.0,-3.0,0.2986,0.3038,-6.0,4.0,-2.0,0.2882,0.2882,1.0,0.2535,0.2604,5.0
BNCI2014_001,6,20260707,False,0.5,False,4,0.5,0.2865,0.2778,0.0087,1.0,0.3056,0.2986,3.2,1.8,0.2899,0.2951,1.4,0.4,0.6,0.2795,0.2847,0.4,0.2726,0.283,-0.2
BNCI2014_001,6,20260707,False,1.0,True,4,0.5,0.2865,0.2778,0.0087,1.0,0.2986,0.2986,2.4,1.0,0.2865,0.3003,1.0,-0.6,1.0,0.2795,0.2865,0.2,0.2656,0.2691,0.6
BNCI2014_001,6,20260707,False,1.5,False,4,0.5,0.2865,0.2708,0.0156,1.0,0.3003,0.2986,1.8889,1.1111,0.2865,0.3038,1.0,-0.1111,-0.0,0.2778,0.2917,0.1111,0.2656,0.2587,1.4444
BNCI2014_001,6,20260707,False,2.0,False,4,0.5,0.2865,0.276,0.0104,1.0,0.2882,0.2986,1.1667,0.0,0.2795,0.3038,0.3333,-1.3333,-0.5,0.2726,0.2865,-0.3333,0.2535,0.2639,-0.0
BNCI2014_001,6,20260708,False,0.5,False,4,0.5,0.2865,0.276,0.0104,1.0,0.3056,0.2986,2.8333,1.6667,0.2934,0.2986,1.6667,0.5,0.3333,0.2743,0.2882,-0.3333,0.2726,0.2726,1.0
BNCI2014_001,6,20260708,False,1.0,False,4,0.5,0.2865,0.276,0.0104,1.0,0.2969,0.2986,2.0,0.8333,0.2882,0.2969,1.1667,0.1667,0.0,0.283,0.2882,0.5,0.2517,0.2483,1.3333
BNCI2014_001,6,20260708,False,1.5,True,4,0.5,0.2865,0.2743,0.0122,1.0,0.2917,0.2986,1.4286,0.4286,0.2865,0.2969,1.0,0.1429,-0.1429,0.276,0.2882,-0.0,0.2396,0.2431,0.7143
BNCI2014_001,6,20260708,False,2.0,False,4,0.5,0.2865,0.2778,0.0087,1.0,0.2899,0.2986,1.4,-0.0,0.283,0.2986,0.6,-0.8,-1.0,0.2743,0.2865,-0.4,0.2396,0.2448,0.4
BNCI2014_001,6,20260709,False,0.5,False,2,0.5,0.2865,0.2778,0.0087,1.0,0.3038,0.2986,3.0,1.6,0.2917,0.2934,1.6,0.8,0.8,0.276,0.2882,-0.4,0.2726,0.2865,-0.6
BNCI2014_001,6,20260709,False,1.0,True,2,0.5,0.2865,0.2795,0.0069,1.0,0.3038,0.2986,3.5,1.75,0.2882,0.2899,1.25,0.75,0.5,0.2812,0.2882,0.0,0.2656,0.2882,-2.25
BNCI2014_001,6,20260709,False,1.5,False,2,0.5,0.2865,0.2743,0.0122,1.0,0.3003,0.2986,2.1429,1.1429,0.2812,0.3003,0.5714,-0.5714,-0.1429,0.2795,0.2865,0.4286,0.2517,0.2604,0.2857
BNCI2014_001,6,20260709,False,2.0,False,2,0.5,0.2865,0.2708,0.0156,1.0,0.2986,0.2986,1.7778,1.0,0.2726,0.2951,0.1111,-0.4444,-0.4444,0.2743,0.2865,0.2222,0.2465,0.2517,0.6667
BNCI2014_001,7,0,True,0.5,False,2,1.0,0.2587,0.2604,-0.0017,1.0,0.2778,0.2778,-10.0,1.0,0.2656,0.2674,-3.0,2.0,3.0,0.2622,0.2587,-1.0,0.2743,0.276,2.0
BNCI2014_001,7,0,True,1.0,True,2,1.0,0.2587,0.2778,-0.0191,1.0,0.2778,0.2778,-0.0,1.0,0.2708,0.2726,0.3636,1.0909,0.3636,0.2726,0.2587,0.2727,0.2587,0.2726,1.7273
BNCI2014_001,7,0,True,1.5,False,2,1.0,0.2587,0.2639,-0.0052,1.0,0.2778,0.2778,-2.6667,1.0,0.2639,0.2691,-0.0,2.0,3.6667,0.2726,0.2604,-1.3333,0.2396,0.2656,6.0
BNCI2014_001,7,0,True,2.0,False,2,1.0,0.2587,0.2517,0.0069,1.0,0.2778,0.2778,3.75,1.0,0.2604,0.2708,1.25,-0.5,-5.25,0.2535,0.2569,0.5,0.2465,0.2691,-2.25
BNCI2014_001,7,20260707,False,0.5,False,4,1.0,0.2587,0.2674,-0.0087,1.0,0.2778,0.2778,-1.2,1.0,0.276,0.2656,-1.0,-0.2,-1.0,0.2674,0.2587,-0.0,0.2674,0.2691,1.2
BNCI2014_001,7,20260707,False,1.0,True,4,1.0,0.2587,0.2708,-0.0122,1.0,0.2778,0.2778,-0.5714,1.0,0.2743,0.2691,-0.2857,0.5714,1.5714,0.2708,0.2604,0.1429,0.2812,0.2674,-0.1429
BNCI2014_001,7,20260707,False,1.5,False,4,1.0,0.2587,0.2691,-0.0104,1.0,0.2778,0.2778,-0.8333,1.0,0.2656,0.2691,0.3333,1.3333,1.0,0.2674,0.2656,0.8333,0.2569,0.2778,3.0
BNCI2014_001,7,20260707,False,2.0,False,4,1.0,0.2587,0.2517,0.0069,1.0,0.2778,0.2778,3.75,1.0,0.2795,0.2691,4.0,2.5,0.25,0.25,0.2674,-1.5,0.2552,0.2726,-1.5
BNCI2014_001,7,20260708,False,0.5,False,1,1.0,0.2587,0.2656,-0.0069,1.0,0.2778,0.2778,-1.75,1.0,0.2639,0.2639,0.25,1.0,0.5,0.2656,0.2604,0.25,0.2951,0.2674,-3.0
BNCI2014_001,7,20260708,False,1.0,True,1,1.0,0.2587,0.2483,0.0104,1.0,0.2778,0.2778,2.8333,1.0,0.2639,0.2639,1.5,1.0,0.0,0.2483,0.2639,-0.5,0.2795,0.2639,2.5
BNCI2014_001,7,20260708,False,1.5,False,1,1.0,0.2587,0.2517,0.0069,1.0,0.2778,0.2778,3.75,1.0,0.2708,0.2622,2.75,2.25,1.0,0.2535,0.2587,0.25,0.2726,0.2587,3.0
BNCI2014_001,7,20260708,False,2.0,False,1,1.0,0.2587,0.2378,0.0208,1.0,0.2778,0.2778,1.9167,1.0,0.2726,0.2674,1.6667,1.25,-0.3333,0.2413,0.2587,0.1667,0.2674,0.2569,1.5
BNCI2014_001,7,20260709,False,0.5,False,4,1.0,0.2587,0.2691,-0.0104,1.0,0.2778,0.2778,-0.8333,1.0,0.2708,0.2726,-0.1667,1.1667,1.3333,0.2622,0.2604,0.8333,0.2708,0.2726,1.1667
BNCI2014_001,7,20260709,False,1.0,True,4,1.0,0.2587,0.2587,0.0,,0.2778,0.2778,,,0.2691,0.2708,,,,0.2569,0.2569,,0.2674,0.276,
BNCI2014_001,7,20260709,False,1.5,False,4,1.0,0.2587,0.25,0.0087,1.0,0.2778,0.2778,3.2,1.0,0.2656,0.276,1.8,-0.2,0.4,0.25,0.2569,0.2,0.2639,0.2865,-1.6
BNCI2014_001,7,20260709,False,2.0,False,4,1.0,0.2587,0.2448,0.0139,1.0,0.2778,0.2778,2.375,1.0,0.2674,0.2743,1.625,0.5,-0.375,0.2483,0.2691,-0.5,0.2691,0.2778,0.375
BNCI2014_001,8,0,True,0.5,False,1,0.5,0.4965,0.5,-0.0035,1.0,0.5243,0.5226,-7.0,0.5,0.5208,0.5243,-6.0,2.0,1.5,0.5035,0.5,-0.0,0.4688,0.4809,4.5
