dataset,target_subject,token_seed,thr,shift_a0.5,shift_a1.0,shift_a1.5,shift_a2.0,alpha_star
BNCI2015_001,5,0,0.6372,0.3984,0.8184,1.2417,1.6534,1.0
BNCI2015_001,5,20260707,0.6372,0.2338,0.5922,1.0671,1.6195,1.5
BNCI2015_001,5,20260708,0.6372,0.4246,0.8925,1.3606,1.8008,1.0
BNCI2015_001,5,20260709,0.6372,0.3406,0.7431,1.1863,1.6409,1.0
BNCI2015_001,6,0,1.1581,0.6627,1.3171,1.9489,2.5573,1.0
BNCI2015_001,6,20260707,1.1581,0.6688,1.2738,1.8042,2.269,1.0
BNCI2015_001,6,20260708,1.1581,0.5555,0.9355,1.1712,1.296,1.5
BNCI2015_001,6,20260709,1.1581,0.571,1.1118,1.6188,2.0912,1.5
BNCI2015_001,7,0,0.729,0.422,0.7787,1.0839,1.3549,1.0
BNCI2015_001,7,20260707,0.729,0.2466,0.6939,1.3233,2.0426,1.5
BNCI2015_001,7,20260708,0.729,0.3868,0.8713,1.4125,1.9635,1.0
BNCI2015_001,7,20260709,0.729,0.1569,0.323,0.5516,0.8281,2.0
BNCI2015_001,8,0,0.2917,0.1578,0.3115,0.4613,0.6081,1.0
BNCI2015_001,8,20260707,0.2917,0.1243,0.2517,0.3841,0.5228,1.5
BNCI2015_001,8,20260708,0.2917,0.1733,0.357,0.5497,0.7496,1.0
BNCI2015_001,8,20260709,0.2917,0.1592,0.3069,0.4444,0.5734,1.0
BNCI2015_001,9,0,1.2353,0.4962,0.8913,1.2117,1.4823,2.0
BNCI2015_001,9,20260707,1.2353,0.6488,1.3588,2.1019,2.8562,1.0
BNCI2015_001,9,20260708,1.2353,0.5055,0.8472,1.0808,1.2651,2.0
BNCI2015_001,9,20260709,1.2353,0.7552,1.4048,1.9343,2.3675,1.0
