pair_key,seed,target,level,selected_order,better_order,better_candidate_id,p0_pass_required,better_ucl_recovered,better_point,better_ucl,better_percentile_ucl,better_n_bootstrap,better_candidate_draw_count,better_invalid_draw_rate,runtime_seconds,recovery_status,target_labels_loaded_for_replay
0|9|1|12|13,0,9,1,12,13,s0_t009_l001_S0_full_support_o013,1,1,0.8874721465331173,1.2751149257232832,0.7461248085803778,200,200,0.0,37.13088607788086,exact_replay_from_phase_a_store,0
1|1|0|6|5,1,1,0,6,5,s1_t001_l000_S0_full_support_o005,1,1,1.403762174436289,1.651926565508737,1.3068662537888902,200,200,0.0,86.40153217315674,exact_replay_from_phase_a_store,0
1|1|1|16|15,1,1,1,16,15,s1_t001_l001_S0_full_support_o015,1,1,1.1009618390836946,1.4181414430483006,1.001974721000835,200,200,0.0,92.75767064094543,exact_replay_from_phase_a_store,0
1|2|0|18|17,1,2,0,18,17,s1_t002_l000_S0_full_support_o017,1,1,0.9692250534256242,1.2949288312323142,0.8620794386758159,200,200,0.0,37.574268102645874,exact_replay_from_phase_a_store,0
1|2|1|2|1,1,2,1,2,1,s1_t002_l001_S0_full_support_o001,1,1,1.172174652744605,1.3820764701024517,1.140174256079038,200,200,0.0,67.37527513504028,exact_replay_from_phase_a_store,0
1|3|0|8|11,1,3,0,8,11,s1_t003_l000_S0_full_support_o011,1,1,1.26898620819707,1.5566282183361455,1.1594342868368752,200,200,0.0,84.71697187423706,exact_replay_from_phase_a_store,0
1|3|1|11|3,1,3,1,11,3,s1_t003_l001_S0_full_support_o003,1,1,1.2247938573795585,1.402227848849082,1.1885588236819018,200,200,0.0,24.866227388381958,exact_replay_from_phase_a_store,0
1|5|1|17|16,1,5,1,17,16,s1_t005_l001_S0_full_support_o016,1,1,1.073615103245778,1.3868677319963345,0.9662937096453755,200,200,0.0,32.55742144584656,exact_replay_from_phase_a_store,0
1|6|0|18|17,1,6,0,18,17,s1_t006_l000_S0_full_support_o017,1,1,1.0572426279284124,1.4611763419482644,0.9571241446923434,200,200,0.0,87.17314386367798,exact_replay_from_phase_a_store,0
1|6|1|6|5,1,6,1,6,5,s1_t006_l001_S0_full_support_o005,1,1,1.2354336480166408,1.512640602852471,1.1889445791379167,200,200,0.0,83.44327735900879,exact_replay_from_phase_a_store,0
1|7|1|15|14,1,7,1,15,14,s1_t007_l001_S0_full_support_o014,1,1,1.0292999897068538,1.3337185615474212,0.9470989483954637,200,200,0.0,26.061538219451904,exact_replay_from_phase_a_store,0
1|8|0|15|14,1,8,0,15,14,s1_t008_l000_S0_full_support_o014,1,1,0.87000183731591,1.3365579749363967,0.7213683459513003,200,200,0.0,107.17601227760315,exact_replay_from_phase_a_store,0
1|8|1|21|20,1,8,1,21,20,s1_t008_l001_S0_full_support_o020,1,1,1.1098728685441155,1.4244646255187523,1.0040392125072453,200,200,0.0,27.7774395942688,exact_replay_from_phase_a_store,0
1|9|1|14|16,1,9,1,14,16,s1_t009_l001_S0_full_support_o016,1,1,1.0960530108776572,1.398064988844128,1.0090883098287637,200,200,0.0,91.5704414844513,exact_replay_from_phase_a_store,0
2|1|1|1|0,2,1,1,1,0,s2_t001_l001_S0_full_support_o000,1,1,1.4111121047486932,1.617460880064582,1.3560235448313622,200,200,0.0,77.27358508110046,exact_replay_from_phase_a_store,0
2|2|1|0|1,2,2,1,0,1,s2_t002_l001_S0_full_support_o001,1,1,1.2316695975570517,1.4538573646408552,1.1893449651127226,200,200,0.0,24.636422872543335,exact_replay_from_phase_a_store,0
2|3|0|15|16,2,3,0,15,16,s2_t003_l000_S0_full_support_o016,1,1,0.8676575826796558,1.3450241633852729,0.6933342395916714,200,200,0.0,125.19459915161133,exact_replay_from_phase_a_store,0
2|3|1|5|4,2,3,1,5,4,s2_t003_l001_S0_full_support_o004,1,1,1.2325901344357453,1.4762860480631645,1.1579396013319578,200,200,0.0,82.44761061668396,exact_replay_from_phase_a_store,0
2|4|0|23|21,2,4,0,23,21,s2_t004_l000_S0_full_support_o021,1,1,1.1388925657837978,1.4629507371709436,1.021862069392061,200,200,0.0,32.8463659286499,exact_replay_from_phase_a_store,0
2|4|1|14|12,2,4,1,14,12,s2_t004_l001_S0_full_support_o012,1,1,1.0551391987452514,1.4340300374355743,0.9311035776751027,200,200,0.0,40.781535148620605,exact_replay_from_phase_a_store,0
2|5|0|17|15,2,5,0,17,15,s2_t005_l000_S0_full_support_o015,1,1,1.1199990599474914,1.5065388511493607,0.9875199695029676,200,200,0.0,110.22915959358215,exact_replay_from_phase_a_store,0
2|6|0|21|20,2,6,0,21,20,s2_t006_l000_S0_full_support_o020,1,1,0.9597525951108405,1.3385881598419356,0.843751899615394,200,200,0.0,81.71029615402222,exact_replay_from_phase_a_store,0
2|7|0|20|18,2,7,0,20,18,s2_t007_l000_S0_full_support_o018,1,1,1.0420246891643659,1.4022854481734304,0.9663889166133992,200,200,0.0,29.256010055541992,exact_replay_from_phase_a_store,0
2|7|1|19|18,2,7,1,19,18,s2_t007_l001_S0_full_support_o018,1,1,1.047404781729621,1.3782405722824815,0.9554041488967394,200,200,0.0,22.265393018722534,exact_replay_from_phase_a_store,0
2|8|0|10|11,2,8,0,10,11,s2_t008_l000_S0_full_support_o011,1,1,1.0464789631427869,1.3878502383522724,0.9273113437233325,200,200,0.0,28.188400268554688,exact_replay_from_phase_a_store,0
2|9|1|29|23,2,9,1,29,23,s2_t009_l001_S0_full_support_o023,1,1,1.1595233237610352,1.3757946153171354,1.1276185695401078,200,200,0.0,66.50687050819397,exact_replay_from_phase_a_store,0
