dataset,backbone,seed,fold,alpha,env,intervention,task_drop,domain_gain,n_env,tgt_bacc_full,tgt_bacc_eras,skip,fail
Lee2019_MI,EEGNet,0,1,0.5,augmentation_shift,tp_leace,0.00019076688286912002,0.4024528301886793,8,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,0.5,augmentation_shift,alpha_leace,-0.0003774036876470488,0.0,8,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,0.5,augmentation_shift,random_k,0.0,0.0,8,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,0.5,augmentation_shift,oracle_nuisance_DIAGNOSTIC,0.007792531650995915,0.48226415094339625,8,0.745,0.7849999999999999,,
Lee2019_MI,EEGNet,0,1,0.5,random,identity,0.0,0.0,3,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,0.5,random,leace,0.00666445066614596,0.49584905660377354,3,0.745,0.78,,
Lee2019_MI,EEGNet,0,1,0.5,random,rlace,0.01550659181825842,0.3905660377358491,3,0.745,0.8,,
Lee2019_MI,EEGNet,0,1,0.5,random,tos_vd,0.0,0.0,3,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,0.5,random,tp_leace,0.00019076688286912002,0.4024528301886793,3,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,0.5,random,alpha_leace,-0.0003774036876470488,0.0,3,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,0.5,random,random_k,0.0,0.0,3,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,0.5,random,oracle_nuisance_DIAGNOSTIC,0.007792531650995915,0.48226415094339625,3,0.745,0.7849999999999999,,
Lee2019_MI,EEGNet,0,1,1.0,subject,identity,0.0,0.0,53,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,1.0,subject,leace,0.0077801414167221195,0.49584905660377354,53,0.745,0.78,,
Lee2019_MI,EEGNet,0,1,1.0,subject,rlace,0.01850517092897841,0.26584905660377356,53,0.745,0.795,,
Lee2019_MI,EEGNet,0,1,1.0,subject,tos_vd,0.0,0.0,53,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,1.0,subject,tp_leace,-0.00019076688286912002,0.39924528301886797,53,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,1.0,subject,alpha_leace,0.0,0.0,53,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,1.0,subject,random_k,0.0,0.0,53,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,1.0,subject,oracle_nuisance_DIAGNOSTIC,0.008717455518702955,0.48226415094339625,53,0.745,0.7849999999999999,,
Lee2019_MI,EEGNet,0,1,1.0,oracle,identity,0.0,0.0,3,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,1.0,oracle,leace,0.0077801414167221195,0.49584905660377354,3,0.745,0.78,,
Lee2019_MI,EEGNet,0,1,1.0,oracle,rlace,0.01850517092897841,0.26584905660377356,3,0.745,0.795,,
Lee2019_MI,EEGNet,0,1,1.0,oracle,tos_vd,0.0,0.0,3,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,1.0,oracle,tp_leace,-0.00019076688286912002,0.39924528301886797,3,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,1.0,oracle,alpha_leace,0.0,0.0,3,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,1.0,oracle,random_k,0.0,0.0,3,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,1.0,oracle,oracle_nuisance_DIAGNOSTIC,0.008717455518702955,0.48226415094339625,3,0.745,0.7849999999999999,,
Lee2019_MI,EEGNet,0,1,1.0,covariance_cluster,identity,0.0,0.0,8,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,1.0,covariance_cluster,leace,0.0077801414167221195,0.49584905660377354,8,0.745,0.78,,
Lee2019_MI,EEGNet,0,1,1.0,covariance_cluster,rlace,0.01850517092897841,0.26584905660377356,8,0.745,0.795,,
Lee2019_MI,EEGNet,0,1,1.0,covariance_cluster,tos_vd,0.0,0.0,8,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,1.0,covariance_cluster,tp_leace,-0.00019076688286912002,0.39924528301886797,8,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,1.0,covariance_cluster,alpha_leace,0.0,0.0,8,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,1.0,covariance_cluster,random_k,0.0,0.0,8,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,1.0,covariance_cluster,oracle_nuisance_DIAGNOSTIC,0.008717455518702955,0.48226415094339625,8,0.745,0.7849999999999999,,
Lee2019_MI,EEGNet,0,1,1.0,margin_cluster,identity,0.0,0.0,8,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,1.0,margin_cluster,leace,0.0077801414167221195,0.49584905660377354,8,0.745,0.78,,
Lee2019_MI,EEGNet,0,1,1.0,margin_cluster,rlace,0.01850517092897841,0.26584905660377356,8,0.745,0.795,,
Lee2019_MI,EEGNet,0,1,1.0,margin_cluster,tos_vd,0.0,0.0,8,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,1.0,margin_cluster,tp_leace,-0.00019076688286912002,0.39924528301886797,8,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,1.0,margin_cluster,alpha_leace,0.0,0.0,8,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,1.0,margin_cluster,random_k,0.0,0.0,8,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,1.0,margin_cluster,oracle_nuisance_DIAGNOSTIC,0.008717455518702955,0.48226415094339625,8,0.745,0.7849999999999999,,
Lee2019_MI,EEGNet,0,1,1.0,augmentation_shift,identity,0.0,0.0,8,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,1.0,augmentation_shift,leace,0.0077801414167221195,0.49584905660377354,8,0.745,0.78,,
Lee2019_MI,EEGNet,0,1,1.0,augmentation_shift,rlace,0.01850517092897841,0.26584905660377356,8,0.745,0.795,,
Lee2019_MI,EEGNet,0,1,1.0,augmentation_shift,tos_vd,0.0,0.0,8,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,1.0,augmentation_shift,tp_leace,-0.00019076688286912002,0.39924528301886797,8,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,1.0,augmentation_shift,alpha_leace,0.0,0.0,8,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,1.0,augmentation_shift,random_k,0.0,0.0,8,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,1.0,augmentation_shift,oracle_nuisance_DIAGNOSTIC,0.008717455518702955,0.48226415094339625,8,0.745,0.7849999999999999,,
Lee2019_MI,EEGNet,0,1,1.0,random,identity,0.0,0.0,3,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,1.0,random,leace,0.0077801414167221195,0.49584905660377354,3,0.745,0.78,,
Lee2019_MI,EEGNet,0,1,1.0,random,rlace,0.01850517092897841,0.26584905660377356,3,0.745,0.795,,
Lee2019_MI,EEGNet,0,1,1.0,random,tos_vd,0.0,0.0,3,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,1.0,random,tp_leace,-0.00019076688286912002,0.39924528301886797,3,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,1.0,random,alpha_leace,0.0,0.0,3,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,1.0,random,random_k,0.0,0.0,3,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,1.0,random,oracle_nuisance_DIAGNOSTIC,0.008717455518702955,0.48226415094339625,3,0.745,0.7849999999999999,,
Lee2019_MI,EEGNet,0,1,2.0,subject,identity,0.0,0.0,53,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,2.0,subject,leace,0.007394477572892688,0.49584905660377354,53,0.745,0.78,,
Lee2019_MI,EEGNet,0,1,2.0,subject,rlace,0.010571433332208335,0.0573584905660377,53,0.745,0.765,,
Lee2019_MI,EEGNet,0,1,2.0,subject,tos_vd,0.0,0.0,53,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,2.0,subject,tp_leace,-0.00019076688286912002,0.3984905660377358,53,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,2.0,subject,alpha_leace,0.0,0.0,53,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,2.0,subject,random_k,0.0,0.0,53,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,2.0,subject,oracle_nuisance_DIAGNOSTIC,0.008331791674873523,0.48226415094339625,53,0.745,0.7849999999999999,,
Lee2019_MI,EEGNet,0,1,2.0,oracle,identity,0.0,0.0,3,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,2.0,oracle,leace,0.007394477572892688,0.49584905660377354,3,0.745,0.78,,
Lee2019_MI,EEGNet,0,1,2.0,oracle,rlace,0.010571433332208335,0.0573584905660377,3,0.745,0.765,,
Lee2019_MI,EEGNet,0,1,2.0,oracle,tos_vd,0.0,0.0,3,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,2.0,oracle,tp_leace,-0.00019076688286912002,0.3984905660377358,3,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,2.0,oracle,alpha_leace,0.0,0.0,3,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,2.0,oracle,random_k,0.0,0.0,3,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,2.0,oracle,oracle_nuisance_DIAGNOSTIC,0.008331791674873523,0.48226415094339625,3,0.745,0.7849999999999999,,
Lee2019_MI,EEGNet,0,1,2.0,covariance_cluster,identity,0.0,0.0,8,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,2.0,covariance_cluster,leace,0.007394477572892688,0.49584905660377354,8,0.745,0.78,,
Lee2019_MI,EEGNet,0,1,2.0,covariance_cluster,rlace,0.010571433332208335,0.0573584905660377,8,0.745,0.765,,
Lee2019_MI,EEGNet,0,1,2.0,covariance_cluster,tos_vd,0.0,0.0,8,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,2.0,covariance_cluster,tp_leace,-0.00019076688286912002,0.3984905660377358,8,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,2.0,covariance_cluster,alpha_leace,0.0,0.0,8,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,2.0,covariance_cluster,random_k,0.0,0.0,8,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,2.0,covariance_cluster,oracle_nuisance_DIAGNOSTIC,0.008331791674873523,0.48226415094339625,8,0.745,0.7849999999999999,,
Lee2019_MI,EEGNet,0,1,2.0,margin_cluster,identity,0.0,0.0,8,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,2.0,margin_cluster,leace,0.007394477572892688,0.49584905660377354,8,0.745,0.78,,
Lee2019_MI,EEGNet,0,1,2.0,margin_cluster,rlace,0.010571433332208335,0.0573584905660377,8,0.745,0.765,,
Lee2019_MI,EEGNet,0,1,2.0,margin_cluster,tos_vd,0.0,0.0,8,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,2.0,margin_cluster,tp_leace,-0.00019076688286912002,0.3984905660377358,8,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,2.0,margin_cluster,alpha_leace,0.0,0.0,8,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,2.0,margin_cluster,random_k,0.0,0.0,8,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,2.0,margin_cluster,oracle_nuisance_DIAGNOSTIC,0.008331791674873523,0.48226415094339625,8,0.745,0.7849999999999999,,
Lee2019_MI,EEGNet,0,1,2.0,augmentation_shift,identity,0.0,0.0,8,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,2.0,augmentation_shift,leace,0.007394477572892688,0.49584905660377354,8,0.745,0.78,,
Lee2019_MI,EEGNet,0,1,2.0,augmentation_shift,rlace,0.010571433332208335,0.0573584905660377,8,0.745,0.765,,
Lee2019_MI,EEGNet,0,1,2.0,augmentation_shift,tos_vd,0.0,0.0,8,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,2.0,augmentation_shift,tp_leace,-0.00019076688286912002,0.3984905660377358,8,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,2.0,augmentation_shift,alpha_leace,0.0,0.0,8,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,2.0,augmentation_shift,random_k,0.0,0.0,8,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,2.0,augmentation_shift,oracle_nuisance_DIAGNOSTIC,0.008331791674873523,0.48226415094339625,8,0.745,0.7849999999999999,,
Lee2019_MI,EEGNet,0,1,2.0,random,identity,0.0,0.0,3,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,2.0,random,leace,0.007394477572892688,0.49584905660377354,3,0.745,0.78,,
Lee2019_MI,EEGNet,0,1,2.0,random,rlace,0.010571433332208335,0.0573584905660377,3,0.745,0.765,,
Lee2019_MI,EEGNet,0,1,2.0,random,tos_vd,0.0,0.0,3,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,2.0,random,tp_leace,-0.00019076688286912002,0.3984905660377358,3,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,2.0,random,alpha_leace,0.0,0.0,3,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,2.0,random,random_k,0.0,0.0,3,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,2.0,random,oracle_nuisance_DIAGNOSTIC,0.008331791674873523,0.48226415094339625,3,0.745,0.7849999999999999,,
Lee2019_MI,EEGNet,0,2,0.5,subject,identity,0.0,0.0,53,0.63,0.63,,
Lee2019_MI,EEGNet,0,2,0.5,subject,leace,0.004487884960672206,0.49264150943396223,53,0.63,0.675,,
Lee2019_MI,EEGNet,0,2,0.5,subject,rlace,0.013541979967006679,0.42283018867924527,53,0.63,0.7150000000000001,,
Lee2019_MI,EEGNet,0,2,0.5,subject,tos_vd,0.0,0.0,53,0.63,0.63,,
Lee2019_MI,EEGNet,0,2,0.5,subject,tp_leace,-0.00019025875190248343,0.3239622641509434,53,0.63,0.63,,
Lee2019_MI,EEGNet,0,2,0.5,subject,alpha_leace,0.0003711184936063816,0.0,53,0.63,0.63,,
Lee2019_MI,EEGNet,0,2,0.5,subject,random_k,0.0,0.0,53,0.63,0.63,,
Lee2019_MI,EEGNet,0,2,0.5,subject,oracle_nuisance_DIAGNOSTIC,0.0018524594646323056,0.48867924528301887,53,0.63,0.6499999999999999,,
Lee2019_MI,EEGNet,0,2,0.5,oracle,identity,0.0,0.0,3,0.63,0.63,,
Lee2019_MI,EEGNet,0,2,0.5,oracle,leace,0.004487884960672206,0.49264150943396223,3,0.63,0.675,,
Lee2019_MI,EEGNet,0,2,0.5,oracle,rlace,0.013541979967006679,0.42283018867924527,3,0.63,0.7150000000000001,,
Lee2019_MI,EEGNet,0,2,0.5,oracle,tos_vd,0.0,0.0,3,0.63,0.63,,
Lee2019_MI,EEGNet,0,2,0.5,oracle,tp_leace,-0.00019025875190248343,0.3239622641509434,3,0.63,0.63,,
Lee2019_MI,EEGNet,0,2,0.5,oracle,alpha_leace,0.0003711184936063816,0.0,3,0.63,0.63,,
Lee2019_MI,EEGNet,0,2,0.5,oracle,random_k,0.0,0.0,3,0.63,0.63,,
Lee2019_MI,EEGNet,0,2,0.5,oracle,oracle_nuisance_DIAGNOSTIC,0.0018524594646323056,0.48867924528301887,3,0.63,0.6499999999999999,,
Lee2019_MI,EEGNet,0,2,0.5,covariance_cluster,identity,0.0,0.0,8,0.63,0.63,,
Lee2019_MI,EEGNet,0,2,0.5,covariance_cluster,leace,0.004487884960672206,0.49264150943396223,8,0.63,0.675,,
Lee2019_MI,EEGNet,0,2,0.5,covariance_cluster,rlace,0.013541979967006679,0.42283018867924527,8,0.63,0.7150000000000001,,
Lee2019_MI,EEGNet,0,2,0.5,covariance_cluster,tos_vd,0.0,0.0,8,0.63,0.63,,
Lee2019_MI,EEGNet,0,2,0.5,covariance_cluster,tp_leace,-0.00019025875190248343,0.3239622641509434,8,0.63,0.63,,
Lee2019_MI,EEGNet,0,2,0.5,covariance_cluster,alpha_leace,0.0003711184936063816,0.0,8,0.63,0.63,,
Lee2019_MI,EEGNet,0,2,0.5,covariance_cluster,random_k,0.0,0.0,8,0.63,0.63,,
Lee2019_MI,EEGNet,0,2,0.5,covariance_cluster,oracle_nuisance_DIAGNOSTIC,0.0018524594646323056,0.48867924528301887,8,0.63,0.6499999999999999,,
Lee2019_MI,EEGNet,0,2,0.5,margin_cluster,identity,0.0,0.0,8,0.63,0.63,,
Lee2019_MI,EEGNet,0,2,0.5,margin_cluster,leace,0.004487884960672206,0.49264150943396223,8,0.63,0.675,,
Lee2019_MI,EEGNet,0,2,0.5,margin_cluster,rlace,0.013541979967006679,0.42283018867924527,8,0.63,0.7150000000000001,,
Lee2019_MI,EEGNet,0,2,0.5,margin_cluster,tos_vd,0.0,0.0,8,0.63,0.63,,
Lee2019_MI,EEGNet,0,2,0.5,margin_cluster,tp_leace,-0.00019025875190248343,0.3239622641509434,8,0.63,0.63,,
Lee2019_MI,EEGNet,0,2,0.5,margin_cluster,alpha_leace,0.0003711184936063816,0.0,8,0.63,0.63,,
Lee2019_MI,EEGNet,0,2,0.5,margin_cluster,random_k,0.0,0.0,8,0.63,0.63,,
Lee2019_MI,EEGNet,0,2,0.5,margin_cluster,oracle_nuisance_DIAGNOSTIC,0.0018524594646323056,0.48867924528301887,8,0.63,0.6499999999999999,,
Lee2019_MI,EEGNet,0,2,0.5,augmentation_shift,identity,0.0,0.0,8,0.63,0.63,,
Lee2019_MI,EEGNet,0,2,0.5,augmentation_shift,leace,0.004487884960672206,0.49264150943396223,8,0.63,0.675,,
Lee2019_MI,EEGNet,0,2,0.5,augmentation_shift,rlace,0.013541979967006679,0.42283018867924527,8,0.63,0.7150000000000001,,
Lee2019_MI,EEGNet,0,2,0.5,augmentation_shift,tos_vd,0.0,0.0,8,0.63,0.63,,
Lee2019_MI,EEGNet,0,2,0.5,augmentation_shift,tp_leace,-0.00019025875190248343,0.3239622641509434,8,0.63,0.63,,
Lee2019_MI,EEGNet,0,2,0.5,augmentation_shift,alpha_leace,0.0003711184936063816,0.0,8,0.63,0.63,,
Lee2019_MI,EEGNet,0,2,0.5,augmentation_shift,random_k,0.0,0.0,8,0.63,0.63,,
Lee2019_MI,EEGNet,0,2,0.5,augmentation_shift,oracle_nuisance_DIAGNOSTIC,0.0018524594646323056,0.48867924528301887,8,0.63,0.6499999999999999,,
Lee2019_MI,EEGNet,0,2,0.5,random,identity,0.0,0.0,3,0.63,0.63,,
Lee2019_MI,EEGNet,0,2,0.5,random,leace,0.004487884960672206,0.49264150943396223,3,0.63,0.675,,
Lee2019_MI,EEGNet,0,2,0.5,random,rlace,0.013541979967006679,0.42283018867924527,3,0.63,0.7150000000000001,,
Lee2019_MI,EEGNet,0,2,0.5,random,tos_vd,0.0,0.0,3,0.63,0.63,,
Lee2019_MI,EEGNet,0,2,0.5,random,tp_leace,-0.00019025875190248343,0.3239622641509434,3,0.63,0.63,,
Lee2019_MI,EEGNet,0,2,0.5,random,alpha_leace,0.0003711184936063816,0.0,3,0.63,0.63,,
Lee2019_MI,EEGNet,0,2,0.5,random,random_k,0.0,0.0,3,0.63,0.63,,
Lee2019_MI,EEGNet,0,2,0.5,random,oracle_nuisance_DIAGNOSTIC,0.0018524594646323056,0.48867924528301887,3,0.63,0.6499999999999999,,
Lee2019_MI,EEGNet,0,2,1.0,subject,identity,0.0,0.0,53,0.63,0.63,,
Lee2019_MI,EEGNet,0,2,1.0,subject,leace,0.0063685414559011555,0.49264150943396223,53,0.63,0.675,,
Lee2019_MI,EEGNet,0,2,1.0,subject,rlace,0.015962082683947276,0.2867924528301887,53,0.63,0.71,,
Lee2019_MI,EEGNet,0,2,1.0,subject,tos_vd,0.0,0.0,53,0.63,0.63,,
Lee2019_MI,EEGNet,0,2,1.0,subject,tp_leace,0.00018712574850310304,0.3179245283018868,53,0.63,0.63,,
Lee2019_MI,EEGNet,0,2,1.0,subject,alpha_leace,0.0005645102489086895,0.0,53,0.63,0.63,,
Lee2019_MI,EEGNet,0,2,1.0,subject,random_k,0.0,0.0,53,0.63,0.63,,
Lee2019_MI,EEGNet,0,2,1.0,subject,oracle_nuisance_DIAGNOSTIC,0.0027880882071473767,0.48867924528301887,53,0.63,0.6499999999999999,,
Lee2019_MI,EEGNet,0,2,1.0,oracle,identity,0.0,0.0,3,0.63,0.63,,
Lee2019_MI,EEGNet,0,2,1.0,oracle,leace,0.0063685414559011555,0.49264150943396223,3,0.63,0.675,,
Lee2019_MI,EEGNet,0,2,1.0,oracle,rlace,0.015962082683947276,0.2867924528301887,3,0.63,0.71,,
Lee2019_MI,EEGNet,0,2,1.0,oracle,tos_vd,0.0,0.0,3,0.63,0.63,,
Lee2019_MI,EEGNet,0,2,1.0,oracle,tp_leace,0.00018712574850310304,0.3179245283018868,3,0.63,0.63,,
Lee2019_MI,EEGNet,0,2,1.0,oracle,alpha_leace,0.0005645102489086895,0.0,3,0.63,0.63,,
Lee2019_MI,EEGNet,0,2,1.0,oracle,random_k,0.0,0.0,3,0.63,0.63,,
Lee2019_MI,EEGNet,0,2,1.0,oracle,oracle_nuisance_DIAGNOSTIC,0.0027880882071473767,0.48867924528301887,3,0.63,0.6499999999999999,,
Lee2019_MI,EEGNet,0,2,1.0,covariance_cluster,identity,0.0,0.0,8,0.63,0.63,,
Lee2019_MI,EEGNet,0,2,1.0,covariance_cluster,leace,0.0063685414559011555,0.49264150943396223,8,0.63,0.675,,
Lee2019_MI,EEGNet,0,2,1.0,covariance_cluster,rlace,0.015962082683947276,0.2867924528301887,8,0.63,0.71,,
Lee2019_MI,EEGNet,0,2,1.0,covariance_cluster,tos_vd,0.0,0.0,8,0.63,0.63,,
Lee2019_MI,EEGNet,0,2,1.0,covariance_cluster,tp_leace,0.00018712574850310304,0.3179245283018868,8,0.63,0.63,,
Lee2019_MI,EEGNet,0,2,1.0,covariance_cluster,alpha_leace,0.0005645102489086895,0.0,8,0.63,0.63,,
Lee2019_MI,EEGNet,0,2,1.0,covariance_cluster,random_k,0.0,0.0,8,0.63,0.63,,
Lee2019_MI,EEGNet,0,2,1.0,covariance_cluster,oracle_nuisance_DIAGNOSTIC,0.0027880882071473767,0.48867924528301887,8,0.63,0.6499999999999999,,
Lee2019_MI,EEGNet,0,2,1.0,margin_cluster,identity,0.0,0.0,8,0.63,0.63,,
Lee2019_MI,EEGNet,0,2,1.0,margin_cluster,leace,0.0063685414559011555,0.49264150943396223,8,0.63,0.675,,
Lee2019_MI,EEGNet,0,2,1.0,margin_cluster,rlace,0.015962082683947276,0.2867924528301887,8,0.63,0.71,,
Lee2019_MI,EEGNet,0,2,1.0,margin_cluster,tos_vd,0.0,0.0,8,0.63,0.63,,
Lee2019_MI,EEGNet,0,2,1.0,margin_cluster,tp_leace,0.00018712574850310304,0.3179245283018868,8,0.63,0.63,,
Lee2019_MI,EEGNet,0,2,1.0,margin_cluster,alpha_leace,0.0005645102489086895,0.0,8,0.63,0.63,,
Lee2019_MI,EEGNet,0,2,1.0,margin_cluster,random_k,0.0,0.0,8,0.63,0.63,,
Lee2019_MI,EEGNet,0,2,1.0,margin_cluster,oracle_nuisance_DIAGNOSTIC,0.0027880882071473767,0.48867924528301887,8,0.63,0.6499999999999999,,
Lee2019_MI,EEGNet,0,2,1.0,augmentation_shift,identity,0.0,0.0,8,0.63,0.63,,
