tag,omitted_test_subject,baseline_kappa,subject_erased_kappa,subject_delta_kappa,null_delta_kappa_mean,subject_minus_null_kappa,empirical_one_sided_p
H500_s1,8,0.5177328739856988,0.4862497776721725,0.031483096313526304,0.01040791311734517,0.021075183196181135,0.024875621890547265
H500_s1,9,0.5377053572413704,0.5173672743742116,0.02033808286715877,0.012383634100002983,0.007954448767155786,0.21393034825870647
H500_s1,10,0.5404812238083873,0.5095631383551753,0.030918085453211952,0.009649580778473502,0.02126850467473845,0.05472636815920398
H1000_s0,1,0.5674634815620948,0.5215444845722967,0.04591899698979807,0.006539542090995608,0.03937945489880246,0.004975124378109453
H1000_s0,2,0.5959347099507397,0.5495000782353497,0.046434631715389973,0.006759597707437186,0.03967503400795279,0.004975124378109453
H1000_s0,3,0.6079210056111966,0.5626620382859586,0.04525896732523793,0.007698237401082387,0.037560729924155545,0.004975124378109453
H1000_s0,4,0.5903606278708767,0.5564395146837912,0.03392111318708557,0.005748448205668295,0.028172664981417277,0.009950248756218905
H1000_s0,5,0.569735738676252,0.527166080200103,0.04256965847614902,0.006321399141050285,0.03624825933509873,0.004975124378109453
H1000_s0,6,0.6062367292309673,0.579481626063588,0.02675510316737928,0.008486895195284167,0.018268207972095114,0.029850746268656716
H1000_s0,7,0.5696236292973385,0.5306887285913787,0.03893490070595973,0.005593125641250858,0.033341775064708874,0.014925373134328358
H1000_s0,8,0.5605621535396667,0.5169378697004599,0.0436242838392068,0.008261950219333009,0.035362333619873794,0.004975124378109453
H1000_s0,9,0.606586559139821,0.577254465313038,0.029332093826782923,0.006855397730204824,0.0224766960965781,0.009950248756218905
H1000_s0,10,0.5769628488436392,0.5368164289033117,0.04014641994032753,0.005549944395408,0.03459647554491953,0.004975124378109453
H1000_s1,1,0.6117098460321803,0.5904083093306194,0.021301536701560875,0.011438192864354983,0.009863343837205892,0.12935323383084577
H1000_s1,2,0.6431841043182089,0.619959741353275,0.02322436296493391,0.011264986706733855,0.011959376258200054,0.1044776119402985
H1000_s1,3,0.6267200283364698,0.6059708661418702,0.020749162194599546,0.009988833352955613,0.010760328841643933,0.0945273631840796
H1000_s1,4,0.6287134250007457,0.6116780213089696,0.01703540369177603,0.010895944577635026,0.006139459114141004,0.24875621890547264
H1000_s1,5,0.614353817232093,0.5900490708824657,0.024304746349627315,0.01187138532242069,0.012433361027206625,0.09950248756218906
H1000_s1,6,0.6400005667165399,0.6362688826773517,0.003731684039188221,0.011844454758081165,-0.008112770718892943,0.8159203980099502
H1000_s1,7,0.6150052144649154,0.5995551686162814,0.015450045848633964,0.00962606238548761,0.005823983463146354,0.263681592039801
H1000_s1,8,0.6109323966354272,0.5864892164833972,0.024443180152029953,0.012324620997073179,0.012118559154956774,0.0945273631840796
H1000_s1,9,0.6428426682038211,0.6099078276746537,0.0329348405291674,0.014182003659827776,0.018752836869339623,0.014925373134328358
H1000_s1,10,0.6213814188568834,0.6038831643807541,0.017498254476129294,0.006456514146094723,0.01104174033003457,0.1044776119402985
H2000_s0,1,0.5960093577028889,0.5610497328426812,0.03495962486020765,0.00945502043497104,0.02550460442523661,0.009950248756218905
H2000_s0,2,0.6374840701471771,0.5990120068961852,0.03847206325099195,0.009348651600746449,0.0291234116502455,0.004975124378109453
H2000_s0,3,0.6149942818844156,0.58844626437824,0.026548017506175636,0.008488771589447008,0.01805924591672863,0.024875621890547265
H2000_s0,4,0.6162679341701185,0.5917137389209204,0.024554195249198107,0.008298788197340187,0.01625540705185792,0.04477611940298507
H2000_s0,5,0.5969130228745756,0.570531783021929,0.02638123985264662,0.007156911866735565,0.019224327985911057,0.04477611940298507
H2000_s0,6,0.625508834175371,0.6131655129305282,0.01234332124484272,0.008236312171222105,0.004107009073620615,0.31840796019900497
H2000_s0,7,0.5953797556882524,0.5659231642920692,0.029456591396183174,0.008416264811681886,0.021040326584501286,0.029850746268656716
H2000_s0,8,0.5857064214800587,0.5527353615024524,0.0329710599776063,0.008903839340937246,0.02406722063666905,0.024875621890547265
H2000_s0,9,0.6148846377650279,0.5914639934328824,0.023420644332145524,0.00828019384036531,0.015140450491780214,0.06965174129353234
H2000_s0,10,0.6066278188320089,0.5832866711023235,0.02334114772968543,0.007442971376960388,0.015898176352725044,0.0845771144278607
H2000_s1,1,0.6200363795147262,0.576145980299014,0.04389039921571225,0.0098130941728377,0.03407730504287455,0.009950248756218905
H2000_s1,2,0.6604762758143776,0.6045318495504355,0.05594442626394214,0.01069364450573608,0.04525078175820606,0.004975124378109453
H2000_s1,3,0.6473570264084415,0.6118090877495301,0.03554793865891137,0.010682423345308991,0.024865515313602378,0.014925373134328358
H2000_s1,4,0.6433340770681778,0.6014889894341258,0.041845087634052036,0.008380054421682326,0.03346503321236971,0.009950248756218905
H2000_s1,5,0.6291414834793649,0.5900703217901888,0.039071161689176126,0.00905812600204307,0.030013035687133056,0.009950248756218905
H2000_s1,6,0.6462283765482022,0.6182217894106082,0.028006587137593963,0.009972013661206532,0.01803457347638743,0.05472636815920398
H2000_s1,7,0.6334348462585445,0.588513029922107,0.04492181633643755,0.009788488310066575,0.03513332802637097,0.009950248756218905
H2000_s1,8,0.6114497862358337,0.5640813312548665,0.0473684549809672,0.010517428032106632,0.03685102694886057,0.009950248756218905
H2000_s1,9,0.6474255092303547,0.6058911450600982,0.041534364170256466,0.010929366643826368,0.030604997526430096,0.009950248756218905
H2000_s1,10,0.6370076971857065,0.5939856399415708,0.04302205724413566,0.007572396376016155,0.0354496608681195,0.009950248756218905
