feature_set,path,kernel,bandwidth_factor,statistic,level,association,group_count,positive_group_fraction,status
strict_source_G2_Wz,strict_source,rbf,1.0,centered_hsic,within_target_x_trajectory,0.522614891886799,54,1.0,
strict_source_G2_Wz,strict_source,rbf,1.0,centered_hsic,within_regime,0.01637676373720466,1,1.0,
strict_source_G2_Wz,strict_source,rbf,1.0,centered_hsic,trajectory_template,0.06404445965721796,6,1.0,
strict_source_G2_Wz,strict_source,rbf,1.0,centered_hsic,cross_regime_transfer,nan,1,nan,unavailable_single_regime
strict_source_G2_Wz,strict_source,rbf,2.0,normalized_alignment,pooled,-0.004764010757654021,1,0.0,
strict_source_G2_Wz,strict_source,rbf,2.0,normalized_alignment,within_target,-0.039027440543444765,9,0.0,
strict_source_G2_Wz,strict_source,rbf,2.0,normalized_alignment,within_target_x_trajectory,-0.38979819388083414,54,0.0,
strict_source_G2_Wz,strict_source,rbf,2.0,normalized_alignment,within_regime,-0.004764010757654021,1,0.0,
strict_source_G2_Wz,strict_source,rbf,2.0,normalized_alignment,trajectory_template,-0.028766794176918752,6,0.0,
strict_source_G2_Wz,strict_source,rbf,2.0,normalized_alignment,cross_regime_transfer,nan,1,nan,unavailable_single_regime
strict_source_G2_Wz,strict_source,rbf,2.0,centered_hsic,pooled,0.008019718646292895,1,1.0,
strict_source_G2_Wz,strict_source,rbf,2.0,centered_hsic,within_target,0.13513904399784152,9,1.0,
strict_source_G2_Wz,strict_source,rbf,2.0,centered_hsic,within_target_x_trajectory,0.4986741796102549,54,1.0,
strict_source_G2_Wz,strict_source,rbf,2.0,centered_hsic,within_regime,0.008019718646292895,1,1.0,
strict_source_G2_Wz,strict_source,rbf,2.0,centered_hsic,trajectory_template,0.05229362505439378,6,1.0,
strict_source_G2_Wz,strict_source,rbf,2.0,centered_hsic,cross_regime_transfer,nan,1,nan,unavailable_single_regime
strict_source_G2_Wz,strict_source,laplacian,0.5,normalized_alignment,pooled,-0.0004257827779027366,1,0.0,
strict_source_G2_Wz,strict_source,laplacian,0.5,normalized_alignment,within_target,0.004596404004086075,9,0.3333333333333333,
strict_source_G2_Wz,strict_source,laplacian,0.5,normalized_alignment,within_target_x_trajectory,-0.326212809291211,54,0.07407407407407407,
strict_source_G2_Wz,strict_source,laplacian,0.5,normalized_alignment,within_regime,-0.0004257827779027366,1,0.0,
strict_source_G2_Wz,strict_source,laplacian,0.5,normalized_alignment,trajectory_template,-0.025691206379478183,6,0.0,
strict_source_G2_Wz,strict_source,laplacian,0.5,normalized_alignment,cross_regime_transfer,nan,1,nan,unavailable_single_regime
strict_source_G2_Wz,strict_source,laplacian,0.5,centered_hsic,pooled,0.04361758363497802,1,1.0,
strict_source_G2_Wz,strict_source,laplacian,0.5,centered_hsic,within_target,0.2252107258507961,9,1.0,
strict_source_G2_Wz,strict_source,laplacian,0.5,centered_hsic,within_target_x_trajectory,0.5794862015325544,54,1.0,
strict_source_G2_Wz,strict_source,laplacian,0.5,centered_hsic,within_regime,0.04361758363497802,1,1.0,
strict_source_G2_Wz,strict_source,laplacian,0.5,centered_hsic,trajectory_template,0.13863823281214516,6,1.0,
strict_source_G2_Wz,strict_source,laplacian,0.5,centered_hsic,cross_regime_transfer,nan,1,nan,unavailable_single_regime
strict_source_G2_Wz,strict_source,laplacian,1.0,normalized_alignment,pooled,-0.0028866159705721425,1,0.0,
strict_source_G2_Wz,strict_source,laplacian,1.0,normalized_alignment,within_target,-0.019175716072980763,9,0.3333333333333333,
strict_source_G2_Wz,strict_source,laplacian,1.0,normalized_alignment,within_target_x_trajectory,-0.3662773466893495,54,0.0,
strict_source_G2_Wz,strict_source,laplacian,1.0,normalized_alignment,within_regime,-0.0028866159705721425,1,0.0,
strict_source_G2_Wz,strict_source,laplacian,1.0,normalized_alignment,trajectory_template,-0.02817364362143297,6,0.0,
strict_source_G2_Wz,strict_source,laplacian,1.0,normalized_alignment,cross_regime_transfer,nan,1,nan,unavailable_single_regime
strict_source_G2_Wz,strict_source,laplacian,1.0,centered_hsic,pooled,0.03112627220467044,1,1.0,
strict_source_G2_Wz,strict_source,laplacian,1.0,centered_hsic,within_target,0.21497619644538263,9,1.0,
strict_source_G2_Wz,strict_source,laplacian,1.0,centered_hsic,within_target_x_trajectory,0.5730247785017438,54,1.0,
strict_source_G2_Wz,strict_source,laplacian,1.0,centered_hsic,within_regime,0.03112627220467044,1,1.0,
strict_source_G2_Wz,strict_source,laplacian,1.0,centered_hsic,trajectory_template,0.11400844477641954,6,1.0,
strict_source_G2_Wz,strict_source,laplacian,1.0,centered_hsic,cross_regime_transfer,nan,1,nan,unavailable_single_regime
strict_source_G2_Wz,strict_source,laplacian,2.0,normalized_alignment,pooled,-0.004062284860164881,1,0.0,
strict_source_G2_Wz,strict_source,laplacian,2.0,normalized_alignment,within_target,-0.03238432319220081,9,0.0,
strict_source_G2_Wz,strict_source,laplacian,2.0,normalized_alignment,within_target_x_trajectory,-0.3831683590492524,54,0.0,
strict_source_G2_Wz,strict_source,laplacian,2.0,normalized_alignment,within_regime,-0.004062284860164881,1,0.0,
strict_source_G2_Wz,strict_source,laplacian,2.0,normalized_alignment,trajectory_template,-0.028906797965411127,6,0.0,
strict_source_G2_Wz,strict_source,laplacian,2.0,normalized_alignment,cross_regime_transfer,nan,1,nan,unavailable_single_regime
strict_source_G2_Wz,strict_source,laplacian,2.0,centered_hsic,pooled,0.02421872063394447,1,1.0,
strict_source_G2_Wz,strict_source,laplacian,2.0,centered_hsic,within_target,0.20151068004260683,9,1.0,
strict_source_G2_Wz,strict_source,laplacian,2.0,centered_hsic,within_target_x_trajectory,0.565646921892815,54,1.0,
strict_source_G2_Wz,strict_source,laplacian,2.0,centered_hsic,within_regime,0.02421872063394447,1,1.0,
strict_source_G2_Wz,strict_source,laplacian,2.0,centered_hsic,trajectory_template,0.09854964415394453,6,1.0,
strict_source_G2_Wz,strict_source,laplacian,2.0,centered_hsic,cross_regime_transfer,nan,1,nan,unavailable_single_regime
strict_source_G3_architecture,strict_source,rbf,0.5,normalized_alignment,pooled,0.00951836397748296,1,1.0,
strict_source_G3_architecture,strict_source,rbf,0.5,normalized_alignment,within_target,0.026598398925171643,9,0.6666666666666666,
strict_source_G3_architecture,strict_source,rbf,0.5,normalized_alignment,within_target_x_trajectory,-0.25610190588377857,54,0.1111111111111111,
strict_source_G3_architecture,strict_source,rbf,0.5,normalized_alignment,within_regime,0.00951836397748296,1,1.0,
strict_source_G3_architecture,strict_source,rbf,0.5,normalized_alignment,trajectory_template,-0.0007508133407720906,6,0.3333333333333333,
strict_source_G3_architecture,strict_source,rbf,0.5,normalized_alignment,cross_regime_transfer,nan,1,nan,unavailable_single_regime
strict_source_G3_architecture,strict_source,rbf,0.5,centered_hsic,pooled,0.05051261363231875,1,1.0,
strict_source_G3_architecture,strict_source,rbf,0.5,centered_hsic,within_target,0.22783673515706848,9,1.0,
strict_source_G3_architecture,strict_source,rbf,0.5,centered_hsic,within_target_x_trajectory,0.5796581025973369,54,1.0,
strict_source_G3_architecture,strict_source,rbf,0.5,centered_hsic,within_regime,0.05051261363231875,1,1.0,
strict_source_G3_architecture,strict_source,rbf,0.5,centered_hsic,trajectory_template,0.14780307354251196,6,1.0,
strict_source_G3_architecture,strict_source,rbf,0.5,centered_hsic,cross_regime_transfer,nan,1,nan,unavailable_single_regime
strict_source_G3_architecture,strict_source,rbf,1.0,normalized_alignment,pooled,-7.516352152895171e-05,1,0.0,
strict_source_G3_architecture,strict_source,rbf,1.0,normalized_alignment,within_target,-0.019270739869074585,9,0.1111111111111111,
strict_source_G3_architecture,strict_source,rbf,1.0,normalized_alignment,within_target_x_trajectory,-0.36565946391938514,54,0.0,
strict_source_G3_architecture,strict_source,rbf,1.0,normalized_alignment,within_regime,-7.516352152895171e-05,1,0.0,
strict_source_G3_architecture,strict_source,rbf,1.0,normalized_alignment,trajectory_template,-0.022983017824269522,6,0.0,
strict_source_G3_architecture,strict_source,rbf,1.0,normalized_alignment,cross_regime_transfer,nan,1,nan,unavailable_single_regime
strict_source_G3_architecture,strict_source,rbf,1.0,centered_hsic,pooled,0.038648161597095235,1,1.0,
strict_source_G3_architecture,strict_source,rbf,1.0,centered_hsic,within_target,0.21352387443206486,9,1.0,
strict_source_G3_architecture,strict_source,rbf,1.0,centered_hsic,within_target_x_trajectory,0.5649305771959803,54,1.0,
strict_source_G3_architecture,strict_source,rbf,1.0,centered_hsic,within_regime,0.038648161597095235,1,1.0,
strict_source_G3_architecture,strict_source,rbf,1.0,centered_hsic,trajectory_template,0.10520873315136779,6,1.0,
strict_source_G3_architecture,strict_source,rbf,1.0,centered_hsic,cross_regime_transfer,nan,1,nan,unavailable_single_regime
strict_source_G3_architecture,strict_source,rbf,2.0,normalized_alignment,pooled,-0.003431364221419833,1,0.0,
strict_source_G3_architecture,strict_source,rbf,2.0,normalized_alignment,within_target,-0.03805246505150031,9,0.0,
strict_source_G3_architecture,strict_source,rbf,2.0,normalized_alignment,within_target_x_trajectory,-0.38883898823081353,54,0.0,
strict_source_G3_architecture,strict_source,rbf,2.0,normalized_alignment,within_regime,-0.003431364221419833,1,0.0,
strict_source_G3_architecture,strict_source,rbf,2.0,normalized_alignment,trajectory_template,-0.02783641179220524,6,0.0,
strict_source_G3_architecture,strict_source,rbf,2.0,normalized_alignment,cross_regime_transfer,nan,1,nan,unavailable_single_regime
strict_source_G3_architecture,strict_source,rbf,2.0,centered_hsic,pooled,0.03533493576617956,1,1.0,
strict_source_G3_architecture,strict_source,rbf,2.0,centered_hsic,within_target,0.2015693448435698,9,1.0,
strict_source_G3_architecture,strict_source,rbf,2.0,centered_hsic,within_target_x_trajectory,0.5555344696232578,54,1.0,
strict_source_G3_architecture,strict_source,rbf,2.0,centered_hsic,within_regime,0.03533493576617956,1,1.0,
strict_source_G3_architecture,strict_source,rbf,2.0,centered_hsic,trajectory_template,0.08891089898140753,6,1.0,
strict_source_G3_architecture,strict_source,rbf,2.0,centered_hsic,cross_regime_transfer,nan,1,nan,unavailable_single_regime
strict_source_G3_architecture,strict_source,laplacian,0.5,normalized_alignment,pooled,0.0054644183864269195,1,1.0,
strict_source_G3_architecture,strict_source,laplacian,0.5,normalized_alignment,within_target,0.005681759356964285,9,0.4444444444444444,
strict_source_G3_architecture,strict_source,laplacian,0.5,normalized_alignment,within_target_x_trajectory,-0.3210903026959559,54,0.037037037037037035,
strict_source_G3_architecture,strict_source,laplacian,0.5,normalized_alignment,within_regime,0.0054644183864269195,1,1.0,
strict_source_G3_architecture,strict_source,laplacian,0.5,normalized_alignment,trajectory_template,-0.010742997022716257,6,0.16666666666666666,
strict_source_G3_architecture,strict_source,laplacian,0.5,normalized_alignment,cross_regime_transfer,nan,1,nan,unavailable_single_regime
strict_source_G3_architecture,strict_source,laplacian,0.5,centered_hsic,pooled,0.06478035914915513,1,1.0,
strict_source_G3_architecture,strict_source,laplacian,0.5,centered_hsic,within_target,0.23350426574960745,9,1.0,
strict_source_G3_architecture,strict_source,laplacian,0.5,centered_hsic,within_target_x_trajectory,0.583890107080361,54,1.0,
strict_source_G3_architecture,strict_source,laplacian,0.5,centered_hsic,within_regime,0.06478035914915513,1,1.0,
strict_source_G3_architecture,strict_source,laplacian,0.5,centered_hsic,trajectory_template,0.16789704362836666,6,1.0,
strict_source_G3_architecture,strict_source,laplacian,0.5,centered_hsic,cross_regime_transfer,nan,1,nan,unavailable_single_regime
strict_source_G3_architecture,strict_source,laplacian,1.0,normalized_alignment,pooled,0.000499514314825077,1,1.0,
strict_source_G3_architecture,strict_source,laplacian,1.0,normalized_alignment,within_target,-0.017939453073164358,9,0.3333333333333333,
strict_source_G3_architecture,strict_source,laplacian,1.0,normalized_alignment,within_target_x_trajectory,-0.36323186308231276,54,0.0,
strict_source_G3_architecture,strict_source,laplacian,1.0,normalized_alignment,within_regime,0.000499514314825077,1,1.0,
strict_source_G3_architecture,strict_source,laplacian,1.0,normalized_alignment,trajectory_template,-0.02117277435641542,6,0.0,
strict_source_G3_architecture,strict_source,laplacian,1.0,normalized_alignment,cross_regime_transfer,nan,1,nan,unavailable_single_regime
strict_source_G3_architecture,strict_source,laplacian,1.0,centered_hsic,pooled,0.055081387185104067,1,1.0,
strict_source_G3_architecture,strict_source,laplacian,1.0,centered_hsic,within_target,0.2366296713087747,9,1.0,
strict_source_G3_architecture,strict_source,laplacian,1.0,centered_hsic,within_target_x_trajectory,0.5845109270605545,54,1.0,
strict_source_G3_architecture,strict_source,laplacian,1.0,centered_hsic,within_regime,0.055081387185104067,1,1.0,
strict_source_G3_architecture,strict_source,laplacian,1.0,centered_hsic,trajectory_template,0.15319696212298137,6,1.0,
strict_source_G3_architecture,strict_source,laplacian,1.0,centered_hsic,cross_regime_transfer,nan,1,nan,unavailable_single_regime
strict_source_G3_architecture,strict_source,laplacian,2.0,normalized_alignment,pooled,-0.002103650353288039,1,0.0,
strict_source_G3_architecture,strict_source,laplacian,2.0,normalized_alignment,within_target,-0.03125955717702606,9,0.0,
strict_source_G3_architecture,strict_source,laplacian,2.0,normalized_alignment,within_target_x_trajectory,-0.38097055247478473,54,0.0,
strict_source_G3_architecture,strict_source,laplacian,2.0,normalized_alignment,within_regime,-0.002103650353288039,1,0.0,
strict_source_G3_architecture,strict_source,laplacian,2.0,normalized_alignment,trajectory_template,-0.02560686149070064,6,0.0,
strict_source_G3_architecture,strict_source,laplacian,2.0,normalized_alignment,cross_regime_transfer,nan,1,nan,unavailable_single_regime
strict_source_G3_architecture,strict_source,laplacian,2.0,centered_hsic,pooled,0.04990523234350317,1,1.0,
strict_source_G3_architecture,strict_source,laplacian,2.0,centered_hsic,within_target,0.2342714798376901,9,1.0,
strict_source_G3_architecture,strict_source,laplacian,2.0,centered_hsic,within_target_x_trajectory,0.5832549448316252,54,1.0,
strict_source_G3_architecture,strict_source,laplacian,2.0,centered_hsic,within_regime,0.04990523234350317,1,1.0,
strict_source_G3_architecture,strict_source,laplacian,2.0,centered_hsic,trajectory_template,0.1410574661522532,6,1.0,
strict_source_G3_architecture,strict_source,laplacian,2.0,centered_hsic,cross_regime_transfer,nan,1,nan,unavailable_single_regime
strict_source_G4_coordinates,strict_source,rbf,0.5,normalized_alignment,pooled,-0.0038872056217598245,1,0.0,
strict_source_G4_coordinates,strict_source,rbf,0.5,normalized_alignment,within_target,-0.017041885186973214,9,0.2222222222222222,
strict_source_G4_coordinates,strict_source,rbf,0.5,normalized_alignment,within_target_x_trajectory,-0.302019981808978,54,0.07407407407407407,
strict_source_G4_coordinates,strict_source,rbf,0.5,normalized_alignment,within_regime,-0.0038872056217598245,1,0.0,
strict_source_G4_coordinates,strict_source,rbf,0.5,normalized_alignment,trajectory_template,-0.013593114667864822,6,0.16666666666666666,
strict_source_G4_coordinates,strict_source,rbf,0.5,normalized_alignment,cross_regime_transfer,nan,1,nan,unavailable_single_regime
strict_source_G4_coordinates,strict_source,rbf,0.5,centered_hsic,pooled,0.025684735312555808,1,1.0,
strict_source_G4_coordinates,strict_source,rbf,0.5,centered_hsic,within_target,0.17450549984041536,9,1.0,
strict_source_G4_coordinates,strict_source,rbf,0.5,centered_hsic,within_target_x_trajectory,0.5631987713151991,54,1.0,
strict_source_G4_coordinates,strict_source,rbf,0.5,centered_hsic,within_regime,0.025684735312555808,1,1.0,
strict_source_G4_coordinates,strict_source,rbf,0.5,centered_hsic,trajectory_template,0.12598757685193823,6,1.0,
strict_source_G4_coordinates,strict_source,rbf,0.5,centered_hsic,cross_regime_transfer,nan,1,nan,unavailable_single_regime
strict_source_G4_coordinates,strict_source,rbf,1.0,normalized_alignment,pooled,-0.005044013944083741,1,0.0,
strict_source_G4_coordinates,strict_source,rbf,1.0,normalized_alignment,within_target,-0.04105233536224053,9,0.0,
strict_source_G4_coordinates,strict_source,rbf,1.0,normalized_alignment,within_target_x_trajectory,-0.3821645259757228,54,0.0,
strict_source_G4_coordinates,strict_source,rbf,1.0,normalized_alignment,within_regime,-0.005044013944083741,1,0.0,
strict_source_G4_coordinates,strict_source,rbf,1.0,normalized_alignment,trajectory_template,-0.026406939603245083,6,0.0,
strict_source_G4_coordinates,strict_source,rbf,1.0,normalized_alignment,cross_regime_transfer,nan,1,nan,unavailable_single_regime
strict_source_G4_coordinates,strict_source,rbf,1.0,centered_hsic,pooled,0.013718497829644396,1,1.0,
strict_source_G4_coordinates,strict_source,rbf,1.0,centered_hsic,within_target,0.12797736541624793,9,1.0,
strict_source_G4_coordinates,strict_source,rbf,1.0,centered_hsic,within_target_x_trajectory,0.5361963662683933,54,1.0,
strict_source_G4_coordinates,strict_source,rbf,1.0,centered_hsic,within_regime,0.013718497829644396,1,1.0,
strict_source_G4_coordinates,strict_source,rbf,1.0,centered_hsic,trajectory_template,0.09032237180415402,6,1.0,
strict_source_G4_coordinates,strict_source,rbf,1.0,centered_hsic,cross_regime_transfer,nan,1,nan,unavailable_single_regime
strict_source_G4_coordinates,strict_source,rbf,2.0,normalized_alignment,pooled,-0.0048935793760094765,1,0.0,
strict_source_G4_coordinates,strict_source,rbf,2.0,normalized_alignment,within_target,-0.04460204609134926,9,0.0,
strict_source_G4_coordinates,strict_source,rbf,2.0,normalized_alignment,within_target_x_trajectory,-0.3931986967698347,54,0.0,
strict_source_G4_coordinates,strict_source,rbf,2.0,normalized_alignment,within_regime,-0.0048935793760094765,1,0.0,
strict_source_G4_coordinates,strict_source,rbf,2.0,normalized_alignment,trajectory_template,-0.028636264671614176,6,0.0,
strict_source_G4_coordinates,strict_source,rbf,2.0,normalized_alignment,cross_regime_transfer,nan,1,nan,unavailable_single_regime
strict_source_G4_coordinates,strict_source,rbf,2.0,centered_hsic,pooled,0.008920103635897382,1,1.0,
strict_source_G4_coordinates,strict_source,rbf,2.0,centered_hsic,within_target,0.10211599981995832,9,1.0,
strict_source_G4_coordinates,strict_source,rbf,2.0,centered_hsic,within_target_x_trajectory,0.5217628849931127,54,1.0,
strict_source_G4_coordinates,strict_source,rbf,2.0,centered_hsic,within_regime,0.008920103635897382,1,1.0,
strict_source_G4_coordinates,strict_source,rbf,2.0,centered_hsic,trajectory_template,0.07639747856357047,6,1.0,
strict_source_G4_coordinates,strict_source,rbf,2.0,centered_hsic,cross_regime_transfer,nan,1,nan,unavailable_single_regime
strict_source_G4_coordinates,strict_source,laplacian,0.5,normalized_alignment,pooled,-0.004149618713556737,1,0.0,
strict_source_G4_coordinates,strict_source,laplacian,0.5,normalized_alignment,within_target,-0.028750320697500758,9,0.2222222222222222,
strict_source_G4_coordinates,strict_source,laplacian,0.5,normalized_alignment,within_target_x_trajectory,-0.3532503497717904,54,0.018518518518518517,
strict_source_G4_coordinates,strict_source,laplacian,0.5,normalized_alignment,within_regime,-0.004149618713556737,1,0.0,
strict_source_G4_coordinates,strict_source,laplacian,0.5,normalized_alignment,trajectory_template,-0.01805479492401738,6,0.16666666666666666,
strict_source_G4_coordinates,strict_source,laplacian,0.5,normalized_alignment,cross_regime_transfer,nan,1,nan,unavailable_single_regime
strict_source_G4_coordinates,strict_source,laplacian,0.5,centered_hsic,pooled,0.04378184300447232,1,1.0,
strict_source_G4_coordinates,strict_source,laplacian,0.5,centered_hsic,within_target,0.1988718343109138,9,1.0,
strict_source_G4_coordinates,strict_source,laplacian,0.5,centered_hsic,within_target_x_trajectory,0.5745856391650845,54,1.0,
strict_source_G4_coordinates,strict_source,laplacian,0.5,centered_hsic,within_regime,0.04378184300447232,1,1.0,
strict_source_G4_coordinates,strict_source,laplacian,0.5,centered_hsic,trajectory_template,0.15643674289086396,6,1.0,
strict_source_G4_coordinates,strict_source,laplacian,0.5,centered_hsic,cross_regime_transfer,nan,1,nan,unavailable_single_regime
strict_source_G4_coordinates,strict_source,laplacian,1.0,normalized_alignment,pooled,-0.004831001835987711,1,0.0,
strict_source_G4_coordinates,strict_source,laplacian,1.0,normalized_alignment,within_target,-0.038933557080365895,9,0.0,
strict_source_G4_coordinates,strict_source,laplacian,1.0,normalized_alignment,within_target_x_trajectory,-0.3810872107464032,54,0.0,
strict_source_G4_coordinates,strict_source,laplacian,1.0,normalized_alignment,within_regime,-0.004831001835987711,1,0.0,
strict_source_G4_coordinates,strict_source,laplacian,1.0,normalized_alignment,trajectory_template,-0.025060692872171723,6,0.0,
strict_source_G4_coordinates,strict_source,laplacian,1.0,normalized_alignment,cross_regime_transfer,nan,1,nan,unavailable_single_regime
strict_source_G4_coordinates,strict_source,laplacian,1.0,centered_hsic,pooled,0.03171039091415365,1,1.0,
strict_source_G4_coordinates,strict_source,laplacian,1.0,centered_hsic,within_target,0.1827478983346244,9,1.0,
strict_source_G4_coordinates,strict_source,laplacian,1.0,centered_hsic,within_target_x_trajectory,0.5698534486972755,54,1.0,
strict_source_G4_coordinates,strict_source,laplacian,1.0,centered_hsic,within_regime,0.03171039091415365,1,1.0,
strict_source_G4_coordinates,strict_source,laplacian,1.0,centered_hsic,trajectory_template,0.1392037422647679,6,1.0,
strict_source_G4_coordinates,strict_source,laplacian,1.0,centered_hsic,cross_regime_transfer,nan,1,nan,unavailable_single_regime
strict_source_G4_coordinates,strict_source,laplacian,2.0,normalized_alignment,pooled,-0.004885686377903491,1,0.0,
strict_source_G4_coordinates,strict_source,laplacian,2.0,normalized_alignment,within_target,-0.04273124456125503,9,0.0,
strict_source_G4_coordinates,strict_source,laplacian,2.0,normalized_alignment,within_target_x_trajectory,-0.39011567681371695,54,0.0,
strict_source_G4_coordinates,strict_source,laplacian,2.0,normalized_alignment,within_regime,-0.004885686377903491,1,0.0,
strict_source_G4_coordinates,strict_source,laplacian,2.0,normalized_alignment,trajectory_template,-0.0275498261998295,6,0.0,
strict_source_G4_coordinates,strict_source,laplacian,2.0,normalized_alignment,cross_regime_transfer,nan,1,nan,unavailable_single_regime
strict_source_G4_coordinates,strict_source,laplacian,2.0,centered_hsic,pooled,0.025493279137218907,1,1.0,
strict_source_G4_coordinates,strict_source,laplacian,2.0,centered_hsic,within_target,0.1691739914821361,9,1.0,
strict_source_G4_coordinates,strict_source,laplacian,2.0,centered_hsic,within_target_x_trajectory,0.565120070702856,54,1.0,
strict_source_G4_coordinates,strict_source,laplacian,2.0,centered_hsic,within_regime,0.025493279137218907,1,1.0,
strict_source_G4_coordinates,strict_source,laplacian,2.0,centered_hsic,trajectory_template,0.12696289139838726,6,1.0,
strict_source_G4_coordinates,strict_source,laplacian,2.0,centered_hsic,cross_regime_transfer,nan,1,nan,unavailable_single_regime
target_unlabeled_G2_Wz,target_unlabeled,rbf,0.5,normalized_alignment,pooled,-0.0002548707907835004,1,0.0,
target_unlabeled_G2_Wz,target_unlabeled,rbf,0.5,normalized_alignment,within_target,0.04855295673758758,9,0.8888888888888888,
target_unlabeled_G2_Wz,target_unlabeled,rbf,0.5,normalized_alignment,within_target_x_trajectory,-0.297494762561429,54,0.18518518518518517,
target_unlabeled_G2_Wz,target_unlabeled,rbf,0.5,normalized_alignment,within_regime,-0.0002548707907835004,1,0.0,
target_unlabeled_G2_Wz,target_unlabeled,rbf,0.5,normalized_alignment,trajectory_template,-0.019643921022877483,6,0.16666666666666666,
target_unlabeled_G2_Wz,target_unlabeled,rbf,0.5,normalized_alignment,cross_regime_transfer,nan,1,nan,unavailable_single_regime
target_unlabeled_G2_Wz,target_unlabeled,rbf,0.5,centered_hsic,pooled,0.025016025368344547,1,1.0,
target_unlabeled_G2_Wz,target_unlabeled,rbf,0.5,centered_hsic,within_target,0.24712239133861327,9,1.0,
target_unlabeled_G2_Wz,target_unlabeled,rbf,0.5,centered_hsic,within_target_x_trajectory,0.573301135682372,54,1.0,
target_unlabeled_G2_Wz,target_unlabeled,rbf,0.5,centered_hsic,within_regime,0.025016025368344547,1,1.0,
target_unlabeled_G2_Wz,target_unlabeled,rbf,0.5,centered_hsic,trajectory_template,0.09888842574940297,6,1.0,
target_unlabeled_G2_Wz,target_unlabeled,rbf,0.5,centered_hsic,cross_regime_transfer,nan,1,nan,unavailable_single_regime
target_unlabeled_G2_Wz,target_unlabeled,rbf,1.0,normalized_alignment,pooled,-0.005708629466693826,1,0.0,
target_unlabeled_G2_Wz,target_unlabeled,rbf,1.0,normalized_alignment,within_target,-0.008901759004749562,9,0.3333333333333333,
target_unlabeled_G2_Wz,target_unlabeled,rbf,1.0,normalized_alignment,within_target_x_trajectory,-0.36747393357964847,54,0.0,
target_unlabeled_G2_Wz,target_unlabeled,rbf,1.0,normalized_alignment,within_regime,-0.005708629466693826,1,0.0,
target_unlabeled_G2_Wz,target_unlabeled,rbf,1.0,normalized_alignment,trajectory_template,-0.03232930514858116,6,0.0,
target_unlabeled_G2_Wz,target_unlabeled,rbf,1.0,normalized_alignment,cross_regime_transfer,nan,1,nan,unavailable_single_regime
target_unlabeled_G2_Wz,target_unlabeled,rbf,1.0,centered_hsic,pooled,0.006935624304184417,1,1.0,
target_unlabeled_G2_Wz,target_unlabeled,rbf,1.0,centered_hsic,within_target,0.22120823698540878,9,1.0,
target_unlabeled_G2_Wz,target_unlabeled,rbf,1.0,centered_hsic,within_target_x_trajectory,0.5426204983877067,54,1.0,
target_unlabeled_G2_Wz,target_unlabeled,rbf,1.0,centered_hsic,within_regime,0.006935624304184417,1,1.0,
target_unlabeled_G2_Wz,target_unlabeled,rbf,1.0,centered_hsic,trajectory_template,0.049851839163026206,6,1.0,
target_unlabeled_G2_Wz,target_unlabeled,rbf,1.0,centered_hsic,cross_regime_transfer,nan,1,nan,unavailable_single_regime
