model,condition,N_source,seed,task_gated,l6_target_delta
codebrain,fixed,2,8,True,0.0044
codebrain,growing,2,9,False,WEAK_TASK_NOT_INTERPRETED
codebrain,fixed,2,9,False,WEAK_TASK_NOT_INTERPRETED
codebrain,growing,4,0,False,WEAK_TASK_NOT_INTERPRETED
codebrain,fixed,4,0,True,-0.0015
codebrain,growing,4,1,True,-0.0015
codebrain,fixed,4,1,True,-0.0148
codebrain,growing,4,2,False,WEAK_TASK_NOT_INTERPRETED
codebrain,fixed,4,2,False,WEAK_TASK_NOT_INTERPRETED
codebrain,growing,4,3,False,WEAK_TASK_NOT_INTERPRETED
codebrain,fixed,4,3,True,0.0223
codebrain,growing,4,4,False,WEAK_TASK_NOT_INTERPRETED
codebrain,fixed,4,4,True,0.0044
codebrain,growing,4,5,False,WEAK_TASK_NOT_INTERPRETED
codebrain,fixed,4,5,False,WEAK_TASK_NOT_INTERPRETED
codebrain,growing,4,6,False,WEAK_TASK_NOT_INTERPRETED
codebrain,fixed,4,6,False,WEAK_TASK_NOT_INTERPRETED
codebrain,growing,4,7,False,WEAK_TASK_NOT_INTERPRETED
codebrain,fixed,4,7,False,WEAK_TASK_NOT_INTERPRETED
codebrain,growing,4,8,True,0.0
codebrain,fixed,4,8,True,0.0074
codebrain,growing,4,9,True,0.0
codebrain,fixed,4,9,False,WEAK_TASK_NOT_INTERPRETED
codebrain,growing,8,0,False,WEAK_TASK_NOT_INTERPRETED
codebrain,fixed,8,0,False,WEAK_TASK_NOT_INTERPRETED
codebrain,growing,8,1,False,WEAK_TASK_NOT_INTERPRETED
codebrain,fixed,8,1,False,WEAK_TASK_NOT_INTERPRETED
codebrain,growing,8,2,True,0.0015
codebrain,fixed,8,2,True,-0.0015
codebrain,growing,8,3,False,WEAK_TASK_NOT_INTERPRETED
codebrain,fixed,8,3,False,WEAK_TASK_NOT_INTERPRETED
codebrain,growing,8,4,False,WEAK_TASK_NOT_INTERPRETED
codebrain,fixed,8,4,False,WEAK_TASK_NOT_INTERPRETED
codebrain,growing,8,5,False,WEAK_TASK_NOT_INTERPRETED
codebrain,fixed,8,5,True,0.0044
codebrain,growing,8,6,False,WEAK_TASK_NOT_INTERPRETED
codebrain,fixed,8,6,True,-0.003
codebrain,growing,8,7,False,WEAK_TASK_NOT_INTERPRETED
codebrain,fixed,8,7,False,WEAK_TASK_NOT_INTERPRETED
codebrain,growing,8,8,False,WEAK_TASK_NOT_INTERPRETED
codebrain,fixed,8,8,False,WEAK_TASK_NOT_INTERPRETED
codebrain,growing,8,9,False,WEAK_TASK_NOT_INTERPRETED
codebrain,fixed,8,9,True,-0.0089
codebrain,growing,16,0,False,WEAK_TASK_NOT_INTERPRETED
codebrain,growing,16,1,True,-0.003
codebrain,growing,16,2,True,-0.0104
codebrain,growing,16,3,False,WEAK_TASK_NOT_INTERPRETED
codebrain,growing,16,4,True,0.0015
codebrain,growing,16,5,False,WEAK_TASK_NOT_INTERPRETED
codebrain,growing,16,6,False,WEAK_TASK_NOT_INTERPRETED
codebrain,growing,16,7,False,WEAK_TASK_NOT_INTERPRETED
codebrain,growing,16,8,False,WEAK_TASK_NOT_INTERPRETED
codebrain,growing,16,9,True,-0.003
codebrain,growing,104,0,True,-0.003
