subject,ok,n_left,n_right,total,ch_ok,sfreq_ok,runheldout_ok,r4,r8,r12
36,True,23,22,45,True,True,True,"(8, 7)","(7, 8)","(8, 7)"
37,True,23,22,45,True,True,True,"(8, 7)","(8, 7)","(7, 8)"
38,True,23,22,45,True,True,True,"(8, 7)","(8, 7)","(7, 8)"
39,True,23,22,45,True,True,True,"(8, 7)","(8, 7)","(7, 8)"
40,True,21,24,45,True,True,True,"(7, 8)","(7, 8)","(7, 8)"
41,True,24,21,45,True,True,True,"(8, 7)","(8, 7)","(8, 7)"
42,True,22,23,45,True,True,True,"(7, 8)","(8, 7)","(7, 8)"
43,True,23,22,45,True,True,True,"(8, 7)","(7, 8)","(8, 7)"
44,True,22,23,45,True,True,True,"(7, 8)","(7, 8)","(8, 7)"
45,True,23,22,45,True,True,True,"(8, 7)","(8, 7)","(7, 8)"
46,True,23,22,45,True,True,True,"(8, 7)","(7, 8)","(8, 7)"
47,True,24,21,45,True,True,True,"(8, 7)","(8, 7)","(8, 7)"
48,True,22,23,45,True,True,True,"(8, 7)","(7, 8)","(7, 8)"
49,True,23,22,45,True,True,True,"(7, 8)","(8, 7)","(8, 7)"
50,True,23,22,45,True,True,True,"(7, 8)","(8, 7)","(8, 7)"
51,True,24,21,45,True,True,True,"(8, 7)","(8, 7)","(8, 7)"
52,True,24,21,45,True,True,True,"(8, 7)","(8, 7)","(8, 7)"
53,True,22,23,45,True,True,True,"(7, 8)","(7, 8)","(8, 7)"
54,True,23,22,45,True,True,True,"(8, 7)","(7, 8)","(8, 7)"
55,True,23,22,45,True,True,True,"(8, 7)","(8, 7)","(7, 8)"
56,True,22,23,45,True,True,True,"(7, 8)","(7, 8)","(8, 7)"
57,True,24,21,45,True,True,True,"(8, 7)","(8, 7)","(8, 7)"
58,True,24,21,45,True,True,True,"(8, 7)","(8, 7)","(8, 7)"
59,True,24,21,45,True,True,True,"(8, 7)","(8, 7)","(8, 7)"
60,True,23,22,45,True,True,True,"(7, 8)","(8, 7)","(8, 7)"
61,True,22,23,45,True,True,True,"(7, 8)","(8, 7)","(7, 8)"
62,True,23,22,45,True,True,True,"(7, 8)","(8, 7)","(8, 7)"
63,True,22,23,45,True,True,True,"(7, 8)","(7, 8)","(8, 7)"
64,True,23,22,45,True,True,True,"(8, 7)","(8, 7)","(7, 8)"
65,True,24,21,45,True,True,True,"(8, 7)","(8, 7)","(8, 7)"
66,True,22,23,45,True,True,True,"(7, 8)","(8, 7)","(7, 8)"
67,True,22,23,45,True,True,True,"(8, 7)","(7, 8)","(7, 8)"
68,True,22,23,45,True,True,True,"(8, 7)","(7, 8)","(7, 8)"
69,True,24,21,45,True,True,True,"(8, 7)","(8, 7)","(8, 7)"
70,True,22,23,45,True,True,True,"(7, 8)","(8, 7)","(7, 8)"
71,True,22,23,45,True,True,True,"(8, 7)","(7, 8)","(7, 8)"
72,True,22,23,45,True,True,True,"(7, 8)","(7, 8)","(8, 7)"
73,True,23,22,45,True,True,True,"(8, 7)","(8, 7)","(7, 8)"
74,True,24,21,45,True,True,True,"(8, 7)","(8, 7)","(8, 7)"
75,True,22,23,45,True,True,True,"(7, 8)","(7, 8)","(8, 7)"
76,True,23,22,45,True,True,True,"(8, 7)","(8, 7)","(7, 8)"
77,True,21,24,45,True,True,True,"(7, 8)","(7, 8)","(7, 8)"
78,True,23,22,45,True,True,True,"(8, 7)","(7, 8)","(8, 7)"
79,True,22,23,45,True,True,True,"(8, 7)","(7, 8)","(7, 8)"
80,True,23,22,45,True,True,True,"(7, 8)","(8, 7)","(8, 7)"
81,True,22,23,45,True,True,True,"(7, 8)","(7, 8)","(8, 7)"
82,True,23,22,45,True,True,True,"(8, 7)","(7, 8)","(8, 7)"
83,True,22,23,45,True,True,True,"(8, 7)","(7, 8)","(7, 8)"
84,True,23,22,45,True,True,True,"(8, 7)","(8, 7)","(7, 8)"
85,True,23,22,45,True,True,True,"(8, 7)","(8, 7)","(7, 8)"
86,True,22,23,45,True,True,True,"(8, 7)","(7, 8)","(7, 8)"
87,True,22,23,45,True,True,True,"(8, 7)","(7, 8)","(7, 8)"
90,True,22,23,45,True,True,True,"(7, 8)","(7, 8)","(8, 7)"
91,True,22,23,45,True,True,True,"(8, 7)","(7, 8)","(7, 8)"
93,True,23,22,45,True,True,True,"(8, 7)","(8, 7)","(7, 8)"
94,True,22,23,45,True,True,True,"(7, 8)","(7, 8)","(8, 7)"
95,True,23,22,45,True,True,True,"(7, 8)","(8, 7)","(8, 7)"
96,True,23,22,45,True,True,True,"(7, 8)","(8, 7)","(8, 7)"
97,True,23,22,45,True,True,True,"(8, 7)","(7, 8)","(8, 7)"
98,True,23,22,45,True,True,True,"(8, 7)","(8, 7)","(7, 8)"
99,True,22,23,45,True,True,True,"(7, 8)","(8, 7)","(7, 8)"
101,True,22,23,45,True,True,True,"(8, 7)","(7, 8)","(7, 8)"
102,True,22,23,45,True,True,True,"(7, 8)","(7, 8)","(8, 7)"
103,True,22,23,45,True,True,True,"(7, 8)","(8, 7)","(7, 8)"
104,True,22,21,43,True,True,True,"(7, 8)","(7, 6)","(8, 7)"
105,True,23,22,45,True,True,True,"(8, 7)","(7, 8)","(8, 7)"
106,True,24,21,45,True,True,True,"(8, 7)","(8, 7)","(8, 7)"
107,True,24,21,45,True,True,True,"(8, 7)","(8, 7)","(8, 7)"
108,True,22,23,45,True,True,True,"(7, 8)","(7, 8)","(8, 7)"
109,True,23,22,45,True,True,True,"(7, 8)","(8, 7)","(8, 7)"
