model,dataset,target_subject,k,task_head_subject_alignment,subj_subspace_rank
cbramod,shu,22,8,0.0067,8
cbramod,shu,23,1,0.0009,1
cbramod,shu,23,2,0.0012,2
cbramod,shu,23,4,0.0021,4
cbramod,shu,23,8,0.0052,8
cbramod,shu,24,1,0.0005,1
cbramod,shu,24,2,0.0013,2
cbramod,shu,24,4,0.0028,4
cbramod,shu,24,8,0.0056,8
cbramod,shu,25,1,0.0012,1
cbramod,shu,25,2,0.0012,2
cbramod,shu,25,4,0.0022,4
cbramod,shu,25,8,0.0053,8
codebrain,shu,1,1,0.0,1
codebrain,shu,1,2,0.0,2
codebrain,shu,1,4,0.0001,4
codebrain,shu,1,8,0.0004,8
codebrain,shu,2,1,0.0,1
codebrain,shu,2,2,0.0,2
codebrain,shu,2,4,0.0001,4
codebrain,shu,2,8,0.0002,8
codebrain,shu,3,1,0.0,1
codebrain,shu,3,2,0.0,2
codebrain,shu,3,4,0.0001,4
codebrain,shu,3,8,0.0004,8
codebrain,shu,4,1,0.0,1
codebrain,shu,4,2,0.0,2
codebrain,shu,4,4,0.0,4
codebrain,shu,4,8,0.0003,8
codebrain,shu,5,1,0.0,1
codebrain,shu,5,2,0.0,2
codebrain,shu,5,4,0.0,4
codebrain,shu,5,8,0.0002,8
codebrain,shu,6,1,0.0,1
codebrain,shu,6,2,0.0,2
codebrain,shu,6,4,0.0001,4
codebrain,shu,6,8,0.0002,8
codebrain,shu,7,1,0.0,1
codebrain,shu,7,2,0.0,2
codebrain,shu,7,4,0.0,4
codebrain,shu,7,8,0.0001,8
codebrain,shu,8,1,0.0,1
codebrain,shu,8,2,0.0,2
codebrain,shu,8,4,0.0,4
codebrain,shu,8,8,0.0002,8
codebrain,shu,9,1,0.0,1
codebrain,shu,9,2,0.0,2
codebrain,shu,9,4,0.0,4
codebrain,shu,9,8,0.0004,8
codebrain,shu,10,1,0.0,1
codebrain,shu,10,2,0.0,2
codebrain,shu,10,4,0.0001,4
codebrain,shu,10,8,0.0002,8
codebrain,shu,11,1,0.0,1
codebrain,shu,11,2,0.0,2
codebrain,shu,11,4,0.0,4
codebrain,shu,11,8,0.0002,8
codebrain,shu,12,1,0.0,1
codebrain,shu,12,2,0.0,2
codebrain,shu,12,4,0.0001,4
codebrain,shu,12,8,0.0002,8
codebrain,shu,13,1,0.0,1
codebrain,shu,13,2,0.0,2
codebrain,shu,13,4,0.0,4
codebrain,shu,13,8,0.0002,8
codebrain,shu,14,1,0.0,1
codebrain,shu,14,2,0.0,2
codebrain,shu,14,4,0.0001,4
codebrain,shu,14,8,0.0003,8
codebrain,shu,15,1,0.0,1
codebrain,shu,15,2,0.0,2
codebrain,shu,15,4,0.0001,4
codebrain,shu,15,8,0.0002,8
codebrain,shu,16,1,0.0,1
codebrain,shu,16,2,0.0,2
codebrain,shu,16,4,0.0,4
codebrain,shu,16,8,0.0003,8
codebrain,shu,17,1,0.0,1
codebrain,shu,17,2,0.0,2
codebrain,shu,17,4,0.0,4
codebrain,shu,17,8,0.0002,8
codebrain,shu,18,1,0.0,1
codebrain,shu,18,2,0.0,2
codebrain,shu,18,4,0.0,4
codebrain,shu,18,8,0.0005,8
codebrain,shu,19,1,0.0,1
codebrain,shu,19,2,0.0,2
codebrain,shu,19,4,0.0,4
codebrain,shu,19,8,0.0003,8
codebrain,shu,20,1,0.0,1
codebrain,shu,20,2,0.0,2
codebrain,shu,20,4,0.0,4
codebrain,shu,20,8,0.0003,8
codebrain,shu,21,1,0.0,1
codebrain,shu,21,2,0.0,2
codebrain,shu,21,4,0.0,4
codebrain,shu,21,8,0.0002,8
codebrain,shu,22,1,0.0,1
codebrain,shu,22,2,0.0,2
codebrain,shu,22,4,0.0,4
codebrain,shu,22,8,0.0002,8
codebrain,shu,23,1,0.0,1
codebrain,shu,23,2,0.0,2
codebrain,shu,23,4,0.0,4
codebrain,shu,23,8,0.0001,8
codebrain,shu,24,1,0.0,1
codebrain,shu,24,2,0.0,2
codebrain,shu,24,4,0.0001,4
codebrain,shu,24,8,0.0003,8
codebrain,shu,25,1,0.0,1
codebrain,shu,25,2,0.0,2
codebrain,shu,25,4,0.0,4
codebrain,shu,25,8,0.0002,8
