dataset,seed,target_subject,balanced_acc,macro_f1,source_bacc,best_epoch,best_source_val_bacc,final_val_source_bacc,zero_graph,zero_temporal,zero_spatial,permute_nodes,gate_graph,gate_temporal,gate_spatial
BNCI2014_001,1,7,0.2691,0.2508,0.8245,86,0.3524,0.3142,0.2726,0.2656,0.3038,0.2656,0.5309,0.1155,0.3536
BNCI2014_001,2,7,0.2986,0.2871,0.8821,96,0.5799,0.5278,0.2969,0.2847,0.2691,0.2674,0.4519,0.2165,0.3316
BNCI2014_001,0,8,0.3993,0.3776,0.5589,21,0.5312,0.4028,0.3663,0.4635,0.2899,0.3889,0.2157,0.5193,0.265
BNCI2014_001,1,8,0.4983,0.4875,0.5828,22,0.3194,0.2847,0.5469,0.5451,0.3056,0.5087,0.1391,0.3861,0.4747
BNCI2014_001,2,8,0.3316,0.2836,0.359,1,0.3472,0.2656,0.3611,0.4236,0.2951,0.342,0.2224,0.3345,0.4432
BNCI2014_001,0,9,0.3802,0.3253,0.6138,20,0.5903,0.4514,0.375,0.3767,0.2865,0.3646,0.3473,0.1243,0.5284
BNCI2014_001,1,9,0.441,0.4061,0.7966,65,0.3264,0.2934,0.4358,0.4722,0.2656,0.4306,0.0219,0.357,0.621
BNCI2014_001,2,9,0.3351,0.2782,0.3792,2,0.3438,0.2986,0.3681,0.3299,0.2812,0.3333,0.2796,0.1708,0.5496
BNCI2015_001,0,1,0.6125,0.6088,0.6042,0,0.6125,0.5575,0.6275,0.7775,0.505,0.63,0.2962,0.3272,0.3766
BNCI2015_001,1,1,0.62,0.5578,0.7302,17,0.6675,0.62,0.67,0.575,0.4625,0.67,0.2347,0.1914,0.5739
BNCI2015_001,2,1,0.635,0.5989,0.6553,5,0.54,0.525,0.65,0.7025,0.5925,0.6725,0.2574,0.5375,0.205
BNCI2015_001,0,2,0.6575,0.6575,0.5827,0,0.625,0.545,0.68,0.6025,0.565,0.6575,0.3963,0.3157,0.288
BNCI2015_001,1,2,0.7825,0.7732,0.964,120,0.6625,0.6275,0.725,0.79,0.4725,0.805,0.228,0.1542,0.6178
BNCI2015_001,2,2,0.7725,0.7642,0.9159,137,0.5483,0.5133,0.8125,0.6525,0.5325,0.73,0.1068,0.1373,0.7559
BNCI2015_001,0,3,0.5575,0.4498,0.9118,63,0.81,0.75,0.5225,0.545,0.4775,0.5475,0.0808,0.0968,0.8223
BNCI2015_001,1,3,0.555,0.4482,0.7923,14,0.6675,0.6225,0.55,0.55,0.485,0.5575,0.0866,0.0438,0.8696
BNCI2015_001,2,3,0.55,0.4389,0.6135,0,0.5267,0.4983,0.59,0.535,0.655,0.5425,0.2841,0.2821,0.4338
BNCI2015_001,0,4,0.7275,0.7243,0.8358,28,0.88,0.8,0.7225,0.745,0.455,0.7625,0.1563,0.2248,0.6189
BNCI2015_001,1,4,0.785,0.7848,0.7454,8,0.655,0.6125,0.8175,0.7875,0.475,0.7875,0.2684,0.164,0.5676
BNCI2015_001,2,4,0.7875,0.7874,0.9365,135,0.56,0.5333,0.8225,0.78,0.465,0.815,0.1574,0.1375,0.7051
BNCI2015_001,0,5,0.7175,0.716,0.8699,35,0.87,0.7725,0.7375,0.745,0.56,0.6975,0.2848,0.1197,0.5955
BNCI2015_001,1,5,0.715,0.7089,0.8941,53,0.6925,0.6225,0.72,0.735,0.5125,0.7,0.2188,0.0979,0.6833
BNCI2015_001,2,5,0.765,0.7645,0.8693,48,0.5467,0.5383,0.7525,0.79,0.51,0.74,0.219,0.1509,0.6301
BNCI2015_001,0,6,0.605,0.5764,0.7863,13,0.87,0.745,0.635,0.635,0.53,0.59,0.2345,0.1955,0.57
BNCI2015_001,1,6,0.635,0.6173,0.7565,7,0.795,0.6725,0.6225,0.6475,0.53,0.64,0.2428,0.1618,0.5953
BNCI2015_001,2,6,0.6375,0.6243,0.8134,20,0.5383,0.4967,0.655,0.6475,0.5225,0.6225,0.275,0.1963,0.5287
BNCI2015_001,0,7,0.5225,0.4547,0.9369,78,0.8925,0.8125,0.555,0.52,0.5275,0.4825,0.2374,0.0846,0.678
BNCI2015_001,1,7,0.46,0.4026,0.709,5,0.7125,0.67,0.4925,0.4575,0.53,0.465,0.2421,0.1965,0.5615
BNCI2015_001,2,7,0.53,0.4745,0.9327,123,0.5383,0.5183,0.5175,0.52,0.54,0.5125,0.0983,0.2292,0.6726
BNCI2015_001,0,8,0.525,0.4739,0.8947,37,0.8875,0.845,0.5367,0.5267,0.5117,0.4933,0.2927,0.1889,0.5185
BNCI2015_001,1,8,0.5667,0.5603,0.9796,160,0.7375,0.6975,0.5383,0.58,0.5,0.5333,0.434,0.1079,0.4582
BNCI2015_001,2,8,0.4967,0.364,0.6643,1,0.5333,0.4983,0.505,0.4983,0.4967,0.5067,0.3331,0.25,0.4168
BNCI2015_001,0,9,0.595,0.5461,0.8588,30,0.895,0.8325,0.6417,0.595,0.505,0.6,0.1091,0.1004,0.7905
BNCI2015_001,1,9,0.625,0.6024,0.7499,7,0.795,0.675,0.6267,0.63,0.5283,0.6217,0.106,0.223,0.6709
BNCI2015_001,2,9,0.5717,0.5298,0.9158,85,0.565,0.535,0.6267,0.52,0.49,0.5617,0.1671,0.2527,0.5801
BNCI2015_001,0,10,0.6167,0.6167,0.944,140,0.65,0.575,0.6183,0.6233,0.555,0.595,0.2129,0.1958,0.5913
BNCI2015_001,1,10,0.5733,0.5729,0.9375,127,0.655,0.6275,0.5767,0.6,0.5067,0.5617,0.1775,0.2191,0.6034
BNCI2015_001,2,10,0.5917,0.5914,0.948,129,0.565,0.5375,0.585,0.5983,0.5117,0.555,0.3362,0.1571,0.5068
BNCI2015_001,0,11,0.5,0.399,0.9449,157,0.63,0.575,0.51,0.4917,0.54,0.5033,0.3395,0.0724,0.5882
BNCI2015_001,1,11,0.5183,0.4627,0.8832,30,0.6925,0.635,0.51,0.52,0.5133,0.5167,0.1956,0.1393,0.6651
BNCI2015_001,2,11,0.5167,0.4766,0.9586,149,0.5575,0.535,0.49,0.5267,0.5633,0.4933,0.1778,0.2156,0.6066
BNCI2015_001,0,12,0.515,0.4381,0.9015,77,0.6375,0.5675,0.51,0.505,0.55,0.5025,0.4352,0.1559,0.4089
BNCI2015_001,1,12,0.5,0.4449,0.7859,14,0.6575,0.595,0.4925,0.4875,0.5025,0.4925,0.2341,0.292,0.4739
BNCI2015_001,2,12,0.545,0.512,0.7868,17,0.5417,0.5117,0.52,0.5125,0.5425,0.515,0.4358,0.1916,0.3726
