method_id,method,information_class,registry_status,C81E_status,scientific_result_available
U2,Negative predictive entropy,IU,FEASIBLE_SECONDARY,SELECTION_FROZEN_EVALUATION_COMPUTED_IN_MEMORY_NOT_PERSISTED_BLOCKED,0
U3,Negative average energy,IU,FEASIBLE_SECONDARY,SELECTION_FROZEN_EVALUATION_COMPUTED_IN_MEMORY_NOT_PERSISTED_BLOCKED,0
U4,Information maximization,IU,FEASIBLE_SECONDARY,SELECTION_FROZEN_EVALUATION_COMPUTED_IN_MEMORY_NOT_PERSISTED_BLOCKED,0
U5,Normalized nuclear norm,IU,FEASIBLE_PRIMARY,SELECTION_FROZEN_EVALUATION_COMPUTED_IN_MEMORY_NOT_PERSISTED_BLOCKED,0
U6,Difference of Confidence,ISU,FEASIBLE_SECONDARY,SELECTION_FROZEN_EVALUATION_COMPUTED_IN_MEMORY_NOT_PERSISTED_BLOCKED,0
U7,Average Thresholded Confidence MC,ISU,FEASIBLE_PRIMARY,SELECTION_FROZEN_EVALUATION_COMPUTED_IN_MEMORY_NOT_PERSISTED_BLOCKED,0
U8,Importance-weighted cross-validation,ISU,EXCLUDED_INPUT_UNAVAILABLE,REGISTERED_INPUT_UNAVAILABLE_NOT_EXECUTED,0
U9,Deep Embedded Validation,ISU,EXCLUDED_INPUT_UNAVAILABLE,REGISTERED_INPUT_UNAVAILABLE_NOT_EXECUTED,0
U10,Importance-weighted group accuracy estimation,ISU,EXCLUDED_INPUT_UNAVAILABLE,REGISTERED_INPUT_UNAVAILABLE_NOT_EXECUTED,0
U11,MaNo p4,IU,FEASIBLE_PRIMARY,SELECTION_FROZEN_EVALUATION_COMPUTED_IN_MEMORY_NOT_PERSISTED_BLOCKED,0
U12,Confidence Optimal Transport,ISU,FEASIBLE_SECONDARY,SELECTION_FROZEN_EVALUATION_COMPUTED_IN_MEMORY_NOT_PERSISTED_BLOCKED,0
U13,Confidence Optimal Transport with Thresholding,ISU,FEASIBLE_PRIMARY,SELECTION_FROZEN_EVALUATION_COMPUTED_IN_MEMORY_NOT_PERSISTED_BLOCKED,0
U14,Soft Neighborhood Density,IU,FEASIBLE_PRIMARY,SELECTION_FROZEN_EVALUATION_COMPUTED_IN_MEMORY_NOT_PERSISTED_BLOCKED,0
U15,Agreement-on-the-Line,ISU,FEASIBLE_PRIMARY,SELECTION_FROZEN_EVALUATION_COMPUTED_IN_MEMORY_NOT_PERSISTED_BLOCKED,0
U16,Accuracy-on-the-Line diagnostic,DIAGNOSTIC,FEASIBLE_DIAGNOSTIC_ONLY,REGISTERED_DIAGNOSTIC_NOT_FROZEN_BEFORE_BLOCKER,0
L1,Frozen Q0 B=1,ILc,FEASIBLE_PRIMARY_FIXED_COMPARATOR,FROZEN_C80_COMPARATOR_AVAILABLE_C81_COMPARISON_BLOCKED,0
L2,Frozen Q0 B=2,ILc,FEASIBLE_SECONDARY_FIXED_COMPARATOR,FROZEN_C80_COMPARATOR_AVAILABLE_C81_COMPARISON_BLOCKED,0
L3,Frozen Q0 B=4,ILc,FEASIBLE_SECONDARY_FIXED_COMPARATOR,FROZEN_C80_COMPARATOR_AVAILABLE_C81_COMPARISON_BLOCKED,0
L4,Frozen Q0 B=8,ILc,FEASIBLE_SECONDARY_FIXED_COMPARATOR,FROZEN_C80_COMPARATOR_AVAILABLE_C81_COMPARISON_BLOCKED,0
L5,Frozen Q0 B=16,ILc,FEASIBLE_SECONDARY_FIXED_COMPARATOR,FROZEN_C80_COMPARATOR_AVAILABLE_C81_COMPARISON_BLOCKED,0
L6,Frozen Q0 B=32,ILc,FEASIBLE_SECONDARY_FIXED_COMPARATOR,FROZEN_C80_COMPARATOR_AVAILABLE_C81_COMPARISON_BLOCKED,0
L7,Frozen Q0 FULL,ILc,FEASIBLE_PRIMARY_FIXED_COMPARATOR,FROZEN_C80_COMPARATOR_AVAILABLE_C81_COMPARISON_BLOCKED,0
