seed,target,level,regime,singleton_rows,unique_checkpoint_ids,all_pt_json_verified,min_candidate_order,max_candidate_order
0,9,1,S2_rare_cells,19,19,1,0,18
0,9,1,S3_nonestimable_cells,19,19,1,0,18
1,1,0,S0_full_support,28,28,1,0,27
1,1,0,S2_rare_cells,28,28,1,0,27
1,1,0,S3_nonestimable_cells,28,28,1,0,27
1,1,1,S0_full_support,18,18,1,0,17
1,1,1,S2_rare_cells,18,18,1,0,17
1,1,1,S3_nonestimable_cells,18,18,1,0,17
1,2,0,S0_full_support,23,23,1,0,22
1,2,0,S2_rare_cells,23,23,1,0,22
1,2,0,S3_nonestimable_cells,23,23,1,0,22
1,2,1,S0_full_support,29,29,1,0,28
1,2,1,S2_rare_cells,29,29,1,0,28
1,2,1,S3_nonestimable_cells,29,29,1,0,28
1,3,0,S0_full_support,28,28,1,0,27
1,3,0,S2_rare_cells,28,28,1,0,27
1,3,0,S3_nonestimable_cells,28,28,1,0,27
1,3,1,S0_full_support,20,20,1,0,19
1,3,1,S2_rare_cells,20,20,1,0,19
1,3,1,S3_nonestimable_cells,20,20,1,0,19
1,4,0,S0_full_support,18,18,1,0,17
1,4,0,S2_rare_cells,18,18,1,0,17
1,4,0,S3_nonestimable_cells,18,18,1,0,17
1,4,1,S0_full_support,24,24,1,0,23
1,4,1,S2_rare_cells,24,24,1,0,23
1,4,1,S3_nonestimable_cells,24,24,1,0,23
1,5,0,S0_full_support,18,18,1,0,17
1,5,0,S2_rare_cells,18,18,1,0,17
1,5,0,S3_nonestimable_cells,18,18,1,0,17
1,5,1,S0_full_support,19,19,1,0,18
1,5,1,S2_rare_cells,19,19,1,0,18
1,5,1,S3_nonestimable_cells,19,19,1,0,18
1,6,0,S0_full_support,21,21,1,0,20
1,6,0,S2_rare_cells,21,21,1,0,20
1,6,0,S3_nonestimable_cells,21,21,1,0,20
1,6,1,S0_full_support,25,25,1,0,24
1,6,1,S2_rare_cells,25,25,1,0,24
1,6,1,S3_nonestimable_cells,25,25,1,0,24
1,7,0,S0_full_support,26,26,1,0,25
1,7,0,S2_rare_cells,26,26,1,0,25
1,7,0,S3_nonestimable_cells,26,26,1,0,25
1,7,1,S0_full_support,21,21,1,0,20
1,7,1,S2_rare_cells,21,21,1,0,20
1,7,1,S3_nonestimable_cells,21,21,1,0,20
1,8,0,S0_full_support,23,23,1,0,22
1,8,0,S2_rare_cells,23,23,1,0,22
1,8,0,S3_nonestimable_cells,23,23,1,0,22
1,8,1,S0_full_support,22,22,1,0,21
1,8,1,S2_rare_cells,22,22,1,0,21
1,8,1,S3_nonestimable_cells,22,22,1,0,21
1,9,0,S0_full_support,22,22,1,0,21
1,9,0,S2_rare_cells,22,22,1,0,21
1,9,0,S3_nonestimable_cells,22,22,1,0,21
1,9,1,S0_full_support,20,20,1,0,19
1,9,1,S2_rare_cells,20,20,1,0,19
1,9,1,S3_nonestimable_cells,20,20,1,0,19
2,1,0,S0_full_support,21,21,1,0,20
2,1,0,S2_rare_cells,21,21,1,0,20
2,1,0,S3_nonestimable_cells,21,21,1,0,20
2,1,1,S0_full_support,27,27,1,0,26
2,1,1,S2_rare_cells,27,27,1,0,26
2,1,1,S3_nonestimable_cells,27,27,1,0,26
2,2,0,S0_full_support,26,26,1,0,25
2,2,0,S2_rare_cells,26,26,1,0,25
2,2,0,S3_nonestimable_cells,26,26,1,0,25
2,2,1,S0_full_support,33,33,1,0,32
2,2,1,S2_rare_cells,33,33,1,0,32
2,2,1,S3_nonestimable_cells,33,33,1,0,32
2,3,0,S0_full_support,22,22,1,0,21
2,3,0,S2_rare_cells,22,22,1,0,21
2,3,0,S3_nonestimable_cells,22,22,1,0,21
2,3,1,S0_full_support,34,34,1,0,33
2,3,1,S2_rare_cells,34,34,1,0,33
2,3,1,S3_nonestimable_cells,34,34,1,0,33
2,4,0,S0_full_support,31,31,1,0,30
2,4,0,S2_rare_cells,31,31,1,0,30
2,4,0,S3_nonestimable_cells,31,31,1,0,30
2,4,1,S0_full_support,20,20,1,0,19
2,4,1,S2_rare_cells,20,20,1,0,19
2,4,1,S3_nonestimable_cells,20,20,1,0,19
2,5,0,S0_full_support,22,22,1,0,21
2,5,0,S2_rare_cells,22,22,1,0,21
2,5,0,S3_nonestimable_cells,22,22,1,0,21
2,5,1,S0_full_support,25,25,1,0,24
2,5,1,S2_rare_cells,25,25,1,0,24
2,5,1,S3_nonestimable_cells,25,25,1,0,24
2,6,0,S0_full_support,23,23,1,0,22
2,6,0,S2_rare_cells,23,23,1,0,22
2,6,0,S3_nonestimable_cells,23,23,1,0,22
2,6,1,S0_full_support,20,20,1,0,19
2,6,1,S2_rare_cells,20,20,1,0,19
2,6,1,S3_nonestimable_cells,20,20,1,0,19
2,7,0,S0_full_support,21,21,1,0,20
2,7,0,S2_rare_cells,21,21,1,0,20
2,7,0,S3_nonestimable_cells,21,21,1,0,20
2,7,1,S0_full_support,23,23,1,0,22
2,7,1,S2_rare_cells,23,23,1,0,22
2,7,1,S3_nonestimable_cells,23,23,1,0,22
2,8,0,S0_full_support,23,23,1,0,22
2,8,0,S2_rare_cells,23,23,1,0,22
2,8,0,S3_nonestimable_cells,23,23,1,0,22
2,8,1,S0_full_support,18,18,1,0,17
2,8,1,S2_rare_cells,18,18,1,0,17
2,8,1,S3_nonestimable_cells,18,18,1,0,17
2,9,0,S0_full_support,24,24,1,0,23
2,9,0,S2_rare_cells,24,24,1,0,23
2,9,0,S3_nonestimable_cells,24,24,1,0,23
2,9,1,S0_full_support,30,30,1,0,29
2,9,1,S2_rare_cells,30,30,1,0,29
2,9,1,S3_nonestimable_cells,30,30,1,0,29
