unit_index,hardware_group,hardware_group_index,dataset,target_subject,source_seed,expected_source_model_sha256,split_hash,n_adapt,n_eval
23,V100,23,BNCI2014_001,8,2,68e26156ff38ed6d1a7fa00a2ad9949f2a441bccde5badb526092d24f7d52d98,f981ba44768af85dd6f7eb63005f533c63a2db7ecd5d4bb1effab7fb2ac00352,72,72
24,V100,24,BNCI2014_001,9,0,10310982726ff9533466884009273e62e7db52147eac0b28e73c299826a49771,d9ab005355597e8ad609260acf7b161e2de445f3b2f735660bdda28ec9fdfa35,72,72
25,V100,25,BNCI2014_001,9,1,cc278febe078f21cfa1d171fef4a5b286002481973a1662319efb9966ed54cdd,c66c3c0a067dedf4bb0890bd47efa2a242a14f58128cf4ae3859c314822ef62a,72,72
26,V100,26,BNCI2014_001,9,2,43a4818317d406d5a198a52bd29caf73590e63881c6f20f3c68969d42d112b84,64fed5c4eae1fcfd3f65f60c300d7f0723f922ca1de8c4aa3410ebffe0e3d20b,72,72
27,V100,27,Lee2019_MI,1,0,6ff3bc39145ae8512e07cb38a68522410f179edcc2b5fc448f5bee0252c3319b,8b6a93dc10dda4fc16fe263dc39d119cfdaf3f5722155eb97fae8fce606deb48,50,50
28,V100,28,Lee2019_MI,1,1,71d24ab4ef819557c890a78a651dcfbd808ee1f0f5aaec1b7b5e5a33605f5893,b00f2ba508288e6fc634c8a0b8de3620d7b0a633501e917e09cc14761b498860,50,50
29,V100,29,Lee2019_MI,1,2,85b93096619c5cd97d55d0c7ef46066524e6bc55e072ba16a1cd899ccbc55873,eb85491c35858151941207a20678c68e4308c784a8611368a53d91f5a1e96bf3,50,50
30,V100,30,Lee2019_MI,2,0,1a57320e85e3ba0adb09cc218ecbc8df5423a7de3148a78e7aacbd928c6268f0,23525db53d418ed3c987c82cbd35ecdf1ae43c73006e5254ebb736e70218e100,50,50
31,V100,31,Lee2019_MI,2,1,58db33e24f6be0609cdc54778d1578e970f1900ec5b487c431500ac375c9eb4f,71915a0406c307a5d29cb92a9fa326cee4a9639bc97b5f47d97f6fa82d39edec,50,50
32,V100,32,Lee2019_MI,2,2,ddaa09a615c4020450b8bc1f66c2fcb9e57ca38b180a6a76d41b9b5c2aa90ddd,80070aeb406a30040d9fb30deff8ef95f488c3c898fc2a3a32b2db59c0a14b4c,50,50
33,V100,33,Lee2019_MI,3,0,11384f6b8f6b4e638e5c1d2aa1564bff3ecc366e7da4aaf1219cffa22b097f9e,b05c166837a81993ea60dd88f013eadd2b425ccb780ddf4068ac8110ffc23894,50,50
34,V100,34,Lee2019_MI,3,1,119addc3308899054cc6d4b79fa8defe7a1882ca72b3cbadfb6203815e1fe28a,5d723ee40f74e4cce29c11773d10c9749e27d2f873645d3c0ddcc0e745370cca,50,50
35,V100,35,Lee2019_MI,3,2,de299eeeb791887b6f39ab722a5c07fb568109d1b4bef693e68682b4768ab1aa,71fdce1f911f1df1ea5473ff9c0bc466104b9554312d9aebeec6e5a677c78512,50,50
36,V100,36,Lee2019_MI,4,0,da194641d5ccd643f8c682a101a7b7f1d4ca6ffe87016581735ad661a5827ed8,93cce7a4fd67ad93cc4cf4a54cd7ada39d575baf3123d53792ff9235c4d7877e,50,50
37,V100,37,Lee2019_MI,4,1,3981868e84ac58c087a1a9e52bff29f8ec1e0932ed92f146c62d72e576f5efca,9c9a239c0ddaf6e9d7547b58c13d1e1096ad188f78a5cf1adc711817e0c58fba,50,50
38,V100,38,Lee2019_MI,4,2,7ad0cbfe1dc5d4e3798422d1deb685a323c5c7edf30ffbc1ee689ae67e362cb6,c8e6993c7a64f3f44b17ef280a306c21d1f8f70f821e18609c92dfe5b05230d8,50,50
39,V100,39,Lee2019_MI,5,0,11029833ea1e0a1b6b7f0393b0c85cc8db0c1a0b3f1020a358764e5e4f017b08,f29e6fa4c52ee36d27fce631d6ca61aa4c2e3f9620ce53509d23161bbdd041fc,50,50
40,V100,40,Lee2019_MI,5,1,88beca9700ce9c508b64d28243c117ea6f12c4d577975ca3741ce5765a5d76c0,a7d74c84d8592d8cf387da5772bead98b0742bc6c90281374197addc2419e40d,50,50
41,V100,41,Lee2019_MI,5,2,2f57f2cdf73cf7569588e8ba216adb6130b1707ca33992b0f6607d31b401a332,96d2cec2d1b23fd2c18adae79c1d0fd79f2564a16722309a36ff6cedb7a069fa,50,50
42,V100,42,Lee2019_MI,6,0,0f43f0fa5704ab4bfc16ea6f7b1b5968c15acc6c27f38e8f9d8699af69d37412,eb67432fcacfea5f8df3eb97d33165fe72b9bce1cdb0eb88c11d21db268bbc3e,50,50
43,V100,43,Lee2019_MI,6,1,18c3d4e9998d8ee0405dcf1d0527ff0a0c1141bfcad18d760db5db786fb6d194,7af7440882ad4445b687b52c2529965695fc6c1b13bf64aefca3837f8201bcb0,50,50
44,V100,44,Lee2019_MI,6,2,ce426e127d2b1fc2344e84be67b4c693f21c9c2974be145e3b23997440a694a8,5d93a2968037bcb59ee4054e1ee3155c6e1fb9da19c2bac55551dbf985719752,50,50
45,V100,45,Lee2019_MI,7,0,4eed177cd1819a26323547dc0fd9d2861ea9851d67dc0d53a8fef93c2783b914,89c4c70d74f426c6e9dd048da4d0acbef8310a1eab50c10577083ada866bb9b2,50,50
46,V100,46,Lee2019_MI,7,1,997a56326e91abbcc198e429b07037bf427f53b68c3926ff364c7d057df72f41,c19544b91982b4039d127bcb39c95c5f22b5817cc744ab79fce8e039d36da283,50,50
47,V100,47,Lee2019_MI,7,2,c3d6693545862486307dbfcf20b088dbdca46fa904ce4d7f1122abfb4fcd7c5a,8937941c981d5c117e9b88cf20c2b538822579c33aa3df3b66d6199b264a1bd0,50,50
48,V100,48,Lee2019_MI,8,0,15c1ac79a2077c21c531ff2be2724b472699a3624c061b1a71483d55e3dde95b,56a3b650494ce0cc1909251cc77f8b4e401a711b7177870aee8cbd823c290bf7,50,50
49,V100,49,Lee2019_MI,8,1,b83727f3011ae3df95d098f30a51b4e228bc2ec9f23d0a854e189cb2e7d490ba,9f261c6bfc4f6b0c73162b9d2925fb0e4642d67af3b92988f80a093d71f593ca,50,50
50,V100,50,Lee2019_MI,8,2,7c954fb54602aa01063f54d58712da0980395ed3394a88e1a6ff723d5aaa73e3,3478b741c45e00e53d9505552ec9f23d4de542ebe3c144d243490ab56e66affd,50,50
51,V100,51,Lee2019_MI,9,0,4a3a522f79460f8001dcad37699cfc3411eb28d31c044b7c83a917bd33d723f1,506d2462b242f8ce7c6a9146dd55369170fd8b2e3c9e65329988ba51022f0faa,50,50
52,V100,52,Lee2019_MI,9,1,2c24f501d7fc8ad685181b5824cb8f4dccd69fbdab4a6fd79c496e01413e0372,350c2769929c045eea609c292df87c77505b23f11f9650dc1af5bb64c513d7b5,50,50
53,V100,53,Lee2019_MI,9,2,c0530a7c8ff3ebeea625c92d9dba6cd71660822c522a45edeae4be091830954e,f68a092a6f2b7bf0d0c95da97c3f9c18e15d45bb561cc2c0379708d4bf37c1e0,50,50
54,V100,54,Lee2019_MI,10,0,0190104cd06ecf590214d562bcb7f2c658d31ab15b1c345d3fc0f23571d361ba,747f78e1d7eecd46463d3db1bdd43cd716ffe455d665a7225360d51424bc697e,50,50
55,V100,55,Lee2019_MI,10,1,bcde17074b1cc8f550969c39aaf13ed0d10c2fcbb05261d67624ed62900e444b,64f562e9accbc8d43bd4f1396945c1c34eff861a8ebf5b64683390b4d2d09d99,50,50
56,V100,56,Lee2019_MI,10,2,d1e5858690e9c5dc3f903ba879846416321def880d0a718de28fa845e91d3ed8,d7aee58ef98fea68926691c9be36655c46f53fc335f14280a7d7a69505e77da8,50,50
57,V100,57,Lee2019_MI,11,0,0049f8b6d312359f2fcccfa1ea6369d62d5335564be8b361df138a8f1a40bac1,06b006cc0aa56c9199cc83a79b1a9176c9cc24e7fa88cd6a6fe90040827cda35,50,50
58,V100,58,Lee2019_MI,11,1,4c0b81b7e5be381f92ce53316cbd5315f100bc354dfac7db86065b1f2e30ae5e,9d982fc1f94c3252fee87def21fffcae2e00f5985abdce82738c7acbdb7001a2,50,50
59,V100,59,Lee2019_MI,11,2,01e5f95654b99d7b4b0823698c999e89e7dc2a4c69d36c9d8510b8edbbef2672,803f97cfd00c19c95087475a837a783a3756e50d72af705eef2440c2cb725ccb,50,50
60,V100,60,Lee2019_MI,12,0,b229f794ffbd57261ccffe318784f969998a11391b0dd2cc920a0f5606b07068,b27a1e6090ffff9edaf4c96d1d43bdbf8b78830d14196b75573889cead8f4f8d,50,50
61,V100,61,Lee2019_MI,12,1,951e0bc5a9bca597046a7be91274b9c92df397432168b47e05d054bdd38c09a5,06069fef5dfc922246e7268b69ed6356d2eb245631398d51833d240753e89969,50,50
62,V100,62,Lee2019_MI,12,2,267aa8aee3bdd39270e4d6e2b31d504c09c775bd8a494b81e7da2552a7165515,c3cc8de124d162434a04e78e81dfa610386085d50d42b3feef2436bda752a69b,50,50
63,V100,63,Lee2019_MI,13,0,27f78f4a6344b6e5b182fb1461734144a6aa4945cf6ec534f641ae675b46ac50,8d712daa224ab9359cc220fe766579ebf08f2d70cfdfe7a99ee4c9206b77180d,50,50
64,V100,64,Lee2019_MI,13,1,28dc6f9eef251ebfcb683d8f88c7a6ef6d511cfd23f881f2b0bf3769787ee1ac,df75b336673ea62741f864cf2c45291918f5a80ad05e7c60f2c815e73f51ed86,50,50
65,V100,65,Lee2019_MI,13,2,0fca1127110391439e9a3b498f66e853e846983d5877af91c087bdb922ed0251,577803d1b4630358fbca0d12c7392cc832baeb3037b6cd51a01bcda79955b50e,50,50
66,V100,66,Lee2019_MI,14,0,e9c6ddd7c7cdca4f233e72f6172942e20767b8cc2285d2b4fa04bb3e5188acaf,614e8288967aa54584f07d5c0c2be0988e0948d2b76afa0b1ce53076b860beff,50,50
67,V100,67,Lee2019_MI,14,1,25500ac45877b03d7bac313395f2cc42da1a7577dc7dcfa7c4897723c3008728,79f24910aa2c87731dd8966eec69e40ec6e3ab36bd1ad991866c8615adf8dde3,50,50
68,V100,68,Lee2019_MI,14,2,e4ade507607f69838881342980594aba0860c0d45d6050f275be0e53c44c9752,b394350128f25cedd4f12bd6b6dfccdf8059e98ac5b1c0aac6b793d181634253,50,50
69,V100,69,Lee2019_MI,15,0,b53fc6bc2eff84e55bdb07c5c6295f9035ecefd4d50dcdc725e6e12a69e4e1ff,efebcfdaf19df3b727554d94fc5ee53505a769b3d4e125b9cb4d6186cd8704ca,50,50
70,V100,70,Lee2019_MI,15,1,848d9702405755eac136f8d39f31422bda11ea5168f9f159cb9798e25afb5860,458a192c1eb645fe861b818fecd3fc8237b345e60e242b199f2f160d67b20ec8,50,50
71,V100,71,Lee2019_MI,15,2,41b54c219ed354cfd43338b4727295859842406e17649486e1183c87dcdad33e,cc8d8015d923b7aceb0607ddd23124cda2e770b39024c65d4ec85f4450195bb1,50,50
72,V100,72,Lee2019_MI,16,0,ea65f9e5b234e61070e328a25a8e19c5468cb4ec9f41cf4bfa10c85021a7e21d,3e6ebfdcf48262641ebb96cc242bb5fc75ea0abb5117c0b5ea0e578abba3b6d7,50,50
73,V100,73,Lee2019_MI,16,1,ce1f13006909351c836c1027584cd755ba1fa71abdaff796159d545a6c965daa,75e02e5a7117c830309b1529b4781806d0b8aa64c40b9a21f4a8971df72d05e6,50,50
74,V100,74,Lee2019_MI,16,2,14578ab29df3c750487ef77ff562c5b05ff0a55f29ad1438a6c8f070e625412b,1fed5c64380bc6c0aa3fe6200a78ea953d72310b29d0fef1cd546f9320bad41f,50,50
75,V100,75,Lee2019_MI,17,0,c6e0c0ad025ddfc3d294a117250de29e62ed69596566d3a5f22e72c07522c5b1,b78997d53d949b98f03827ab9ccffff8117e8a746552b73fa4da3936ce646257,50,50
76,V100,76,Lee2019_MI,17,1,32639131ab54b57d313b7fbe5e15dec3cc6a6291a4377bc446ddca40841759cd,ebc8814a0fb9f8fbf022fe7d299dac626a5f75a77ac0cb31910f204fa89e9d9f,50,50
77,V100,77,Lee2019_MI,17,2,536f5843d1af0bc77b40e5bb2ff9d189081b3bd3b2438ebe0f4e55c01842b43e,c5b07bed8ea3053545cd2ad0241041d318b2b03712c059715f3c03a767d25260,50,50
78,V100,78,Lee2019_MI,18,0,84309e786de36aa8e0cfcb4452ceac724601acf60e19d4d8fd01bd82a1abab31,9e3d4c187a8404b69189b469346209def1be4bf2d4a8ba5552fafda274360172,50,50
79,V100,79,Lee2019_MI,18,1,0dd2f203a77b5ddfed3ab319ba7c27cca0597370a8d48c3ecf8d2ef282dedf42,34b5cf7e7b99ee3f0dbe999bea90cb509a4a4e80232065a14ab6bbc981e33aec,50,50
80,V100,80,Lee2019_MI,18,2,4de8e4f02901d08bf151faad261459178ae8ab80182f277f8ff93c7f50dd5025,f9039486633519d74d43f7449c265322af6ae87f10128706fca8782df7bbaceb,50,50
81,V100,81,Lee2019_MI,19,0,ecbb6c6ff18f23003321b01f27f08bc28a4b6d0913d51b6a966933e425e68ce2,62c0339f4f61139988424b36beb37bc71f22c06f5a84c289c498bb12f20b06bc,50,50
82,V100,82,Lee2019_MI,19,1,baacec3f491dcb60f4aaf087df6ca30126bdf4795ccc3b96d936e954e00abb50,cc3abe68316ba445292406ff61a2ad3cf28b09771ccf3005a67c5d9860618ac2,50,50
83,V100,83,Lee2019_MI,19,2,00ab010274c7472eb093d4683ac5a6f57bff19923559a00f69b6e8157079f910,6396911aebad784c06655d847cf6fb8b9de533fefd71951703b0ee68d0758a23,50,50
84,V100,84,Lee2019_MI,20,0,ec58af90f285c90bd0352ac090609c979faa2187eedd18d72240764a43fe5f7b,8a0826fae90ebf6e08e4ccc9d49c400228ffc4578fee8dd98bbc364544ad07dd,50,50
85,V100,85,Lee2019_MI,20,1,14406ad3c08bfee3ec49b010451995f39aad74f8ad7354e75c5599b90820998c,3bf5c450b60e398ec595b8aeddd3a0ff25c94a8c04ebfcc0723485825c5845c2,50,50
86,V100,86,Lee2019_MI,20,2,454e6d5564d893e5f1a631538a64c5c37c8ebcc81fb8fa746e0a98a3668ea824,6f8575a5d1cf9e47272593e66ce31569c33e1218d83364286c01afa0c4f0f3ca,50,50
87,V100,87,Lee2019_MI,21,0,8ec6e51d4e15f3a9929b20ed10a7bd22d1d0990b4e2b81c0193bb4daaf0b05b4,623d4335f37f2fbd910784b00ff2c23c8007bc5568927f342e7d2dc828a82087,50,50
88,V100,88,Lee2019_MI,21,1,fb97eb6ddab7ef43fa8d8214c654075d5e153bc5fc66ab606553b9076f29af73,e777b9b1566e3ea733be0f56083986746cb66ad2c93a0c2b5b0a4be8721e5e7f,50,50
89,V100,89,Lee2019_MI,21,2,f0e6a979cebcd356c14cd3f41b16a9d90a7e25259ac346075aefa6b3c91492d3,000cbd5a0238b2520c89280ddbb0cb24ae97e69610c4e76d2368f4f46163d657,50,50
90,V100,90,Lee2019_MI,22,0,808353ea5ec04ef65e121b430b740954c03986d26f397f0bcb475a235544f256,d8792825b27892a6c241f9a79d663e0ca116fa71e462ab8d04234b81de70bd28,50,50
91,V100,91,Lee2019_MI,22,1,0ca75ac2dd4eb46ee75b6cec3ac63372bd380c0d3c31cfaf7ad83a800aaa5df8,f7492e012b91363e3499ff2bd2c0c0311267fa7025e5c001fb673056437c6357,50,50
92,V100,92,Lee2019_MI,22,2,1e217cca65703e47fc9c8dc1100efc4163c4362397e27bbaba8ce4efb1504b3b,8a831a8903d3081b98e360d90018cb63400fc0623ee5f795d0ac85abe7f8752f,50,50
93,V100,93,Lee2019_MI,23,0,77a5aa305f69fd84bfd492200c18c5b155f84679d910012bc436951a4f42f327,ec8f18039b4e7bd5b43f4948c6c31908caf4efeee1ae743040e028e9daacf2c2,50,50
94,V100,94,Lee2019_MI,23,1,8250ac4d92f34b9e20519148bb7169c6eabaa92b0c2cf71ff387a23fca8894e8,62c90f9e8ce9f1f6008a70c564b635bcf5b73087828a7a05722c12773c0b3d7d,50,50
95,V100,95,Lee2019_MI,23,2,f0269b5444b9efb8fded56e9be55c2d8096449b1c2df319fc1384727deaf959e,8a4b1b293281fa62619568f90f137a8638a23ca482635e682eb17b0cc8a82a2a,50,50
96,V100,96,Lee2019_MI,24,0,ad9a7fb0e063776f7b3b3355d1a024f95a2e735c316f5b0cfd0edfa2e4f87433,9ea12c880fffce8a906605d2ad04926c05722545d3cf874f1f8ce20c57f31f06,50,50
97,V100,97,Lee2019_MI,24,1,81909cfc3a124516fda90354c2fcf6f3ba18743fe9eefdd919968273b618472c,edcef030bd6b670b16eccce995c6653e88302b1b36c795e631ee69483d61c59f,50,50
98,V100,98,Lee2019_MI,24,2,1412403a6ead259d0b9aa61bb06403dab73e9b99de93ef5603a7cd9a478eabfa,c62cd999f472125a77de4941679fa4be9708f464e991ee1218d35fd8f7803672,50,50
99,V100,99,Lee2019_MI,25,0,a74ba3d11a25ed6c0da975f8ef55be549200197fb94576d2fd515930baf8e2f1,5c3c65dd0fda5e1ef0cc7e1820eefd7267dd4f64bd17e07fe3c8f024c2f41bd9,50,50
100,V100,100,Lee2019_MI,25,1,0444f11952623019304ce2c4467d764400477aa9f4351cd9f009151056278e2e,f5da1f66915bbaef9ba3307fb8c3b2590b128872f56496c7e58a6231da905332,50,50
101,V100,101,Lee2019_MI,25,2,f08b325f1f3dbe4a91a47b325af654ecfa59ebb5b3f9bf2448b66c5cc1f67407,9d67702bcd6c3ba62269a125a5a63fbde4a15949595d396c78aab1b2a366a364,50,50
102,V100,102,Lee2019_MI,26,0,04c128d330e39a26d2f4221c44a4f09ffe4b4e7a8181b3ed6eaa433247c0bfda,dc763d4fcdfe11f5298605df07603e474e42cdc43101038d47047caf437bc0f8,50,50
103,V100,103,Lee2019_MI,26,1,79359c61ed731e32015c74c31ab5e4bfb6fc7787d4162bb60a736777427b426a,efe2d09dd72e79eacacbfaff10a167b47cd37b175e1fd5474dd6df1f8ba4ad31,50,50
104,V100,104,Lee2019_MI,26,2,213cd09985b859c518ecd5c38287980f510cf42f3db6094a3425f481ce6e27c6,16d024e9f0ea111fa534ea5cea572455aba778f0accf88186cebc4bc43b4b2ca,50,50
105,V100,105,Lee2019_MI,27,0,6c1272c50c23103f0858519e999b18ff27a6df78e941372842fef7f08b6206fe,130e8940bd338531c3867f92b40867b053b881d8af5a6e26933017acf3a01685,50,50
106,V100,106,Lee2019_MI,27,1,e58f6ace63726218396223b76b84f2bc9e7385501d797b5f8e8b7d82aba32ffb,ac8f70adc469af0c70efc8b3e2770b7c94a097489a23a1706e9968d489bbcc2a,50,50
107,A100,0,Lee2019_MI,27,2,c691ef8e4ebd201c87be260c2df8569fb93d76bf1d9f5e7a0ed411e32634dbd7,7fadf619cd4c6e95cd9b0145b3a730144f05515deba5f71c09832c6358a96285,50,50
108,V100,107,Lee2019_MI,28,0,f97b90db0c10a2df4c30839c30da8a23f69a6bdb00c56a54355e94d8297c3c24,63c7ff8b97cf7f6225048ffa3610a27fc0e85a0f470eb2f254ec41801d2f1301,50,50
109,V100,108,Lee2019_MI,28,1,5ffa82b10d1fef78662504863c9a96fd606fd34e17e14b739ea1acb7a12b3d6f,6b5a4349605a0d7bda25cba72b5da87247c2051a6957150691af6cfcff58e8cb,50,50
110,A100,1,Lee2019_MI,28,2,ac22643fd5ea10b0cd7f10291d2435d1f34e6b0482b5c1f6603fc77ddf42dfea,b519ca0dd1f3fe8b9e858290467e1f028897fdffbff2308020e03fafa316e99f,50,50
111,V100,109,Lee2019_MI,29,0,7f51c77c6ed14b662875cb421f07c86c5051d07fd37187625e5c33881a02cd82,2e7f4455c09760a43e330942e711aa1b8f4e2d2cb16a2171d97c09e31c0de27c,50,50
112,V100,110,Lee2019_MI,29,1,d4713b14f6c7b47299da5f92e82a742846e672fb5aaf00c6f937e33e60f6b180,8c489e3d86298aeef7254fd10b6a4c684fa26e1164e878c463fc162697230b46,50,50
113,A100,2,Lee2019_MI,29,2,f79bea224e7e5dff0e3edf348d0b3a9e5fe1a10a5a86d95526c0378daa2ae402,7038a0ad5f7aab1e7aa9e35060ab8ac342c4150e9db02fd4ac5629c8f2ac408b,50,50
114,V100,111,Lee2019_MI,30,0,b27b0fb96d94a8da1f44cb6b9fbbf6c96559e822b4baeea34853c4b901a5bd73,2369d4625e1f1af04929dfd8fe1311b0459ba3f0ab9b7d4653b448274518e8f4,50,50
115,V100,112,Lee2019_MI,30,1,387b40c881f6f91b46fc113991de622156c840fa6969d17efe552d957d94b1ea,2ba8237ddce0b72b6e6b15b1b3314abbb24e1ad3469106e2753189bd9cec2e5b,50,50
116,A100,3,Lee2019_MI,30,2,9f98c48d30ee2a6b76d2139fddc5dfa51acd9b9136002d6c10f2956ad7019031,f190719af6a35c6af21ef687fc7e47a9adf0d82260fa801205bda69725b1e8c1,50,50
117,V100,113,Lee2019_MI,31,0,f9d5bd42b613ef5f9982541be163ec86e889fc297b3e554a0221eb8cc67ad7b7,e77c6262804379f4bae676f8993c2af40ba41b4b9fc27d56e66f0db080067f0e,50,50
118,V100,114,Lee2019_MI,31,1,5bdf25286f67f6a518a9ac6d3ef60973d739dccb771671ee0579183dc7002352,de679de973603a5089fad0a0c4b45589678829d9c7a45d68f74d3ae3d340dbf2,50,50
119,A100,4,Lee2019_MI,31,2,c463677e84c8264cb39a3737529ae628fe0393c5c67fd65e282c206b42f6a055,783dd1932c415fb68a2a84020c8d400c1f625ee041d55729af3b38740f2519cd,50,50
120,V100,115,Lee2019_MI,32,0,0ac7341d74c2088bc6f0e9a8c65529b5352daac400ed5075605bc8d7d0673690,a7e555cc30c8b421473a89a4e8687cad962b26208effd4e9ec81d4c8962fec9d,50,50
121,V100,116,Lee2019_MI,32,1,02365a89c355e6b63a912885135c1d475e3b0f1deacb3d9360389707cea40b3e,88d9d69ccc9ccc2e903f526d41c66451cf4f757d9f3b764ec238fc737980b0de,50,50
122,A100,5,Lee2019_MI,32,2,92c66c827cadd29d8f80d9f03c3af45cb0a92ced8cedfc9014bc5f48142aced7,c9a7e2595253e19fc727405e8603da82fc40e772d627115176c132a68918eac1,50,50
123,V100,117,Lee2019_MI,33,0,ccbca0eae68ecdd8b5bfb28da0de90058aeea52439b97658baf30f9e25fc147e,0e3127557799c31e4191487fdd5e917fd8392c62e66d937aa2d67fdd816861b9,50,50
124,V100,118,Lee2019_MI,33,1,cbd6ef074ac530d18f2834bc57f730ea8004e6d0288317202cf59af3bb157c99,45bd028bd2a4df5b3aa3e220f461224c80f075b834e3b37e74fd80a777e61ccd,50,50
125,A100,6,Lee2019_MI,33,2,f8300367b990cef0fe313351b053fa3dec52514fd5ba4e4d563f7a5a20ac2eda,49fa1c30c50362f03fbf7a96cde1dc8572a53c2c748658f755703346c269ef57,50,50
