metric,comparison,estimand,dataset,n_subjects,estimate,ci_low,ci_high,bootstrap_replicates,bootstrap_seed,cluster_unit
acc,FP-GEM minus source_only_tsmnet,per_dataset,BNCI2014_001,9,0.10288065843621408,0.04629629629629628,0.16563786008230463,10000,20260710,dataset x target_subject
acc,FP-GEM minus rct,per_dataset,BNCI2014_001,9,-0.014917695473251058,-0.029835390946502116,0.0005144032921812203,10000,20260710,dataset x target_subject
acc,FP-GEM minus spdim_geodesic,per_dataset,BNCI2014_001,9,-0.014917695473250947,-0.03240740740740733,0.0030864197530863224,10000,20260710,dataset x target_subject
acc,FP-GEM minus spdim_bias,per_dataset,BNCI2014_001,9,-0.011316872427983515,-0.031378600823045,0.00977366255144041,10000,20260710,dataset x target_subject
acc,FP-GEM minus Joint-GEM,per_dataset,BNCI2014_001,9,0.0030864197530864335,0.0005144032921811093,0.0051440329218108705,10000,20260710,dataset x target_subject
acc,FP-GEM minus source_only_tsmnet,per_dataset,Lee2019_MI,54,0.11703703703703727,0.09728395061728401,0.1375308641975307,10000,20260710,dataset x target_subject
acc,FP-GEM minus rct,per_dataset,Lee2019_MI,54,-0.016049382716049387,-0.02246913580246923,-0.009506172839506055,10000,20260710,dataset x target_subject
acc,FP-GEM minus spdim_geodesic,per_dataset,Lee2019_MI,54,-0.010987654320987694,-0.016666666666666496,-0.005061728395061693,10000,20260710,dataset x target_subject
acc,FP-GEM minus spdim_bias,per_dataset,Lee2019_MI,54,-0.008765432098765458,-0.015308641975308571,-0.0023456790123455003,10000,20260710,dataset x target_subject
acc,FP-GEM minus Joint-GEM,per_dataset,Lee2019_MI,54,0.0028395061728395676,-0.0007407407407407085,0.006666666666666712,10000,20260710,dataset x target_subject
acc,FP-GEM minus source_only_tsmnet,subject_weighted,ALL,63,0.1150146972369196,0.0963542034097588,0.13471494708994705,10000,20260710,dataset x target_subject
acc,FP-GEM minus rct,subject_weighted,ALL,63,-0.01588771310993542,-0.021828483245149667,-0.009867430922986538,10000,20260710,dataset x target_subject
acc,FP-GEM minus spdim_geodesic,subject_weighted,ALL,63,-0.011549088771311111,-0.01700778953556717,-0.005881760728983036,10000,20260710,dataset x target_subject
acc,FP-GEM minus spdim_bias,subject_weighted,ALL,63,-0.009129923574368148,-0.015385288065843869,-0.002874779541446429,10000,20260710,dataset x target_subject
acc,FP-GEM minus Joint-GEM,subject_weighted,ALL,63,0.002874779541446215,-0.0002351557907113222,0.0061875367430922505,10000,20260710,dataset x target_subject
acc,FP-GEM minus source_only_tsmnet,dataset_macro,ALL,63,0.10995884773662579,0.08004063786008242,0.14312834362139923,10000,20260710,dataset x target_subject
acc,FP-GEM minus rct,dataset_macro,ALL,63,-0.015483539094650167,-0.023662551440329138,-0.007067386831275737,10000,20260710,dataset x target_subject
acc,FP-GEM minus spdim_geodesic,dataset_macro,ALL,63,-0.012952674897119265,-0.022181069958847614,-0.003569701646090607,10000,20260710,dataset x target_subject
acc,FP-GEM minus spdim_bias,dataset_macro,ALL,63,-0.010041152263374431,-0.020463220164609112,0.0010187757201648292,10000,20260710,dataset x target_subject
acc,FP-GEM minus Joint-GEM,dataset_macro,ALL,63,0.002962962962963056,0.0007510288065843973,0.005206018518518859,10000,20260710,dataset x target_subject
