target,stage,SLURM_job_id,GPU_name,GPU_count,GPU_wall_hours,wall_seconds,CPU_seconds,peak_GPU_memory_bytes,external_storage_bytes,retry_or_requeue_count,manifest_path,manifest_file_sha256,passed
5,oaci_erm_training,893522,Tesla V100-PCIE-16GB,1,0.5644023699230618,2031.8485333919525,4705.8909493579995,8659497472,74765923,0,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-005/training/oaci_erm/FIELD_FROZEN.json,f588e31e3a1e3b6f2d462a60a7e7af1180af6922d37d9f988fdd820d3f49fe93,1
5,src_training,893571,Tesla V100-PCIE-16GB,1,0.4449552662505044,1601.8389644622803,2649.766212909,8658863616,39482228,0,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-005/training/src/FIELD_FROZEN.json,fed3c8fda78ffe969e8f6b2317e6a15895eab95e2c41b7baca837a8969bc21d8,1
5,instrumentation,893573,none,0,0,284.1406919956207,8970.228895880002,0,3345458698,0,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-005/instrumentation/INSTRUMENTATION_COMPLETE.json,d2b0108fbffbd27be2049f7b3eb6c97f80f498b1c0dcc4f179fc4dc810273550,1
2,oaci_erm_training,893523,Tesla V100S-PCIE-32GB,1,0.48670618004269073,1752.1422488689423,4395.292470883999,8659497472,74765917,0,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-002/training/oaci_erm/FIELD_FROZEN.json,1bc661fbf8842c1d820d8f0d146c3d8bd0cb6d9d9752d6acfe11c0f619da1d24,1
2,src_training,893572,Tesla V100S-PCIE-32GB,1,0.3816647822989358,1373.9932169914246,2135.325304361,8658863616,39482197,0,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-002/training/src/FIELD_FROZEN.json,a8cc6721cb581b43b61b61b5285cc1a8b5c57b7134dc72b5edcd8e7921045321,1
2,instrumentation,893574,none,0,0,590.946346282959,22354.69318267501,0,3345458677,0,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-002/instrumentation/INSTRUMENTATION_COMPLETE.json,8fdce4a462d5b9bf664c89e216e57a442c622d2196270676e82c8d6b1fc2b57b,1
7,oaci_erm_training,893524,Tesla V100S-PCIE-32GB,1,0.5489724958605237,1976.3009865283966,4646.439289678,8659497472,74766039,0,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-007/training/oaci_erm/FIELD_FROZEN.json,f7d7e225496eaa2e8ade7a3fdedbf01c7245831f77b75cc9ebfbcf4ff91407c8,1
7,src_training,893575,Tesla V100S-PCIE-32GB,1,0.43248096459441715,1556.9314749240875,2608.550601037,8658863616,39482060,0,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-007/training/src/FIELD_FROZEN.json,3dab7e57b8f1b1c54437726d05cbc90d477454d88bceb36fee8c44a27cad3132,1
7,instrumentation,893581,none,0,0,251.1992154121399,7258.219356748004,0,3345458643,0,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-007/instrumentation/INSTRUMENTATION_COMPLETE.json,622eb061ed2fc6b34ee480ef02a0decfafca60ae89a45de26e8b91f0bf7f8035,1
1,oaci_erm_training,893525,Tesla V100S-PCIE-32GB,1,0.5455367164479361,1963.9321808815002,4618.663654438,8659497472,74766181,0,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-001/training/oaci_erm/FIELD_FROZEN.json,cba2a9ed18d5b0d47614a5023c2be79da224cb0eaf3d05e2368c385c73d5162a,1
1,src_training,893576,Tesla V100S-PCIE-32GB,1,0.4290400034189224,1544.544017314911,2594.92896522,8658863616,39482144,0,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-001/training/src/FIELD_FROZEN.json,0cee0a04314f434ceb7163f1b7c0c34ca128ff274279a9db5dbcb3208f5931d4,1
1,instrumentation,893586,none,0,0,332.64445757865906,10479.040867160013,0,3345458839,0,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-001/instrumentation/INSTRUMENTATION_COMPLETE.json,9ba84dff6a6560fc36f326663a23910c57f329b4dd22d71e0c7f6109e9271ad2,1
