target,view_name,path,sha256,rows,allowed_columns,forbidden_columns,uses_target_labels,uses_evaluation_labels,same_label_oracle,physically_separate
5,target_unlabeled_input,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-005/views/primary_inputs/target_unlabeled/target_unlabeled_input_sha256_6e0a6bdfcbd6afed.npz,6e0a6bdfcbd6afed6a48abfd63e02985dffcc255aebfcf95bfdef32f435edd0a,576,"[""X"", ""target_id"", ""target_trial_id""]","[""target_class_label"", ""y_true"", ""correctness"", ""joint_good""]",0,0,0,1
5,target_construction_view,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-005/views/target_labels_no_oracle/construction/target_construction_sha256_31bb1979e7332c1f.npz,31bb1979e7332c1f0b88f1c7093290658a24231af56544f735c0eb8161dd0ca5,280,"[""split_role"", ""target_class_label"", ""target_trial_id""]",[],1,0,0,1
5,target_evaluation_view,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-005/views/target_labels_no_oracle/evaluation/target_evaluation_sha256_7645a5071d194c68.npz,7645a5071d194c68cd67dd971e2572c545061b17c56f8653dfae0243b65f26e9,296,"[""split_role"", ""target_class_label"", ""target_trial_id""]",[],1,1,0,1
6,strict_source_input,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-006/views/primary_inputs/strict_source/strict_source_input_sha256_a9ecca41f5048afc.npz,a9ecca41f5048afc591a67a9004e4286acf16320515c8968ef351a76a881b5a7,4608,"[""X"", ""source_class_label"", ""source_domain_id"", ""source_role"", ""source_trial_id""]","[""target_class_label"", ""y_true"", ""correctness"", ""joint_good""]",0,0,0,1
6,target_unlabeled_input,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-006/views/primary_inputs/target_unlabeled/target_unlabeled_input_sha256_37524fe08f2a935f.npz,37524fe08f2a935ffccf042c8daa2361f9f0e7aaf2ad4424183559d1a551866a,576,"[""X"", ""target_id"", ""target_trial_id""]","[""target_class_label"", ""y_true"", ""correctness"", ""joint_good""]",0,0,0,1
6,target_construction_view,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-006/views/target_labels_no_oracle/construction/target_construction_sha256_922e99ae972990d5.npz,922e99ae972990d572ac620d5c4e289295e2249f178aef7d9b0cfbd3e32b9aa4,291,"[""split_role"", ""target_class_label"", ""target_trial_id""]",[],1,0,0,1
6,target_evaluation_view,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-006/views/target_labels_no_oracle/evaluation/target_evaluation_sha256_f75fbf28c7d5cdf8.npz,f75fbf28c7d5cdf8fbf14e7e68568e1da02134d9e74f2b36292b51f0a1df3f95,285,"[""split_role"", ""target_class_label"", ""target_trial_id""]",[],1,1,0,1
7,strict_source_input,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-007/views/primary_inputs/strict_source/strict_source_input_sha256_8d5ded2f62c095f2.npz,8d5ded2f62c095f21ed3d01a5d8b77c62bb383104a3889a565418ebe723723f9,4608,"[""X"", ""source_class_label"", ""source_domain_id"", ""source_role"", ""source_trial_id""]","[""target_class_label"", ""y_true"", ""correctness"", ""joint_good""]",0,0,0,1
7,target_unlabeled_input,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-007/views/primary_inputs/target_unlabeled/target_unlabeled_input_sha256_8f58bc3323bc80a5.npz,8f58bc3323bc80a50e756638796014975e764e567d3cb6feddfe5983d8930ab6,576,"[""X"", ""target_id"", ""target_trial_id""]","[""target_class_label"", ""y_true"", ""correctness"", ""joint_good""]",0,0,0,1
7,target_construction_view,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-007/views/target_labels_no_oracle/construction/target_construction_sha256_470352bab9f24bf0.npz,470352bab9f24bf03f7b113f311e7593bd7f4a66776f414acfb5e7e904b408c0,264,"[""split_role"", ""target_class_label"", ""target_trial_id""]",[],1,0,0,1
7,target_evaluation_view,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-007/views/target_labels_no_oracle/evaluation/target_evaluation_sha256_efb1bfff7e0101ff.npz,efb1bfff7e0101ffe0ef16200538d69161f770e24b0abb5c8e96410dc7ac74a9,312,"[""split_role"", ""target_class_label"", ""target_trial_id""]",[],1,1,0,1
8,strict_source_input,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-008/views/primary_inputs/strict_source/strict_source_input_sha256_f3a6313f75f1c267.npz,f3a6313f75f1c267a6ecb56a42fbe0fc49b51b5c2e48f89494ca6ff030c693f9,4608,"[""X"", ""source_class_label"", ""source_domain_id"", ""source_role"", ""source_trial_id""]","[""target_class_label"", ""y_true"", ""correctness"", ""joint_good""]",0,0,0,1
8,target_unlabeled_input,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-008/views/primary_inputs/target_unlabeled/target_unlabeled_input_sha256_29bcbd135ccc30bd.npz,29bcbd135ccc30bd4a0f96c6fe22bf5283086b5ecae58221256c30abef664d6d,576,"[""X"", ""target_id"", ""target_trial_id""]","[""target_class_label"", ""y_true"", ""correctness"", ""joint_good""]",0,0,0,1
8,target_construction_view,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-008/views/target_labels_no_oracle/construction/target_construction_sha256_fb37c45c54a88b83.npz,fb37c45c54a88b83fe0883c35923e0616002e71b52688af34ad37ea2994690e5,282,"[""split_role"", ""target_class_label"", ""target_trial_id""]",[],1,0,0,1
8,target_evaluation_view,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-008/views/target_labels_no_oracle/evaluation/target_evaluation_sha256_271d23a9801ea53a.npz,271d23a9801ea53af8436a243d244f3aee42207b45aa05f0c296492ce3761342,294,"[""split_role"", ""target_class_label"", ""target_trial_id""]",[],1,1,0,1
9,strict_source_input,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-009/views/primary_inputs/strict_source/strict_source_input_sha256_0bf5fb883b137541.npz,0bf5fb883b137541a236aede9fc8abe3f04dcaa4afe4f17ea4306c5ad4555466,4608,"[""X"", ""source_class_label"", ""source_domain_id"", ""source_role"", ""source_trial_id""]","[""target_class_label"", ""y_true"", ""correctness"", ""joint_good""]",0,0,0,1
9,target_unlabeled_input,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-009/views/primary_inputs/target_unlabeled/target_unlabeled_input_sha256_199f9287c7a7277c.npz,199f9287c7a7277c874484d516b110822269ade23fefcb2e5d63664b33015b13,576,"[""X"", ""target_id"", ""target_trial_id""]","[""target_class_label"", ""y_true"", ""correctness"", ""joint_good""]",0,0,0,1
9,target_construction_view,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-009/views/target_labels_no_oracle/construction/target_construction_sha256_9484c5ae01425f6c.npz,9484c5ae01425f6ce0503a71e04718c5533808d85c03597602ed952725cd8c31,284,"[""split_role"", ""target_class_label"", ""target_trial_id""]",[],1,0,0,1
9,target_evaluation_view,/projects/EEG-foundation-model/yinghao/oaci-c79-seed4/protocol_e350b7f0c4ee3dfc/implementation_dd4043ad7dd67552/targets/target-009/views/target_labels_no_oracle/evaluation/target_evaluation_sha256_cd4e6cf44856c580.npz,cd4e6cf44856c5806f352bf7300736ec883c19ff3e4ac414892f38bb0b12bcbb,292,"[""split_role"", ""target_class_label"", ""target_trial_id""]",[],1,1,0,1
