check,passed,blocking,observed,expected,note
genealogy_complete,1,1,82,82,
ERM_OACI_asymmetry,1,1,"{0: 41, 1: 41}",1+40 per level,
postfreeze_primary_gate,1,1,35df9df31347a09fe6578c47e6c847ce0a7cba366f93a48b40b8afcdfce0bf5d,35df9df31347a09fe6578c47e6c847ce0a7cba366f93a48b40b8afcdfce0bf5d,
primary_target_fields_no_labels,1,1,"{'created_after_field_freeze': True, 'field_frozen_manifest_sha256': '35df9df31347a09fe6578c47e6c847ce0a7cba366f93a48b40b8afcdfce0bf5d', 'label_view_gate_path_in_primary_descriptor': False, 'primary_instrumentation_allowed_fields': {'source': ['X', 'source_class_label', 'source_domain_id', 'source_role', 'source_trial_id'], 'target_unlabeled': ['X', 'target_id', 'target_trial_id']}, 'protocol_sha256': 'ad6f4e034318b879755ca46a719d39cfd3d3c36d7ee8478771d08778a8b71afc', 'same_label_oracle_path_in_primary_descriptor': False, 'schema_version': 'c78_primary_input_views_v1', 'strict_source_input': {'fields': ['X', 'source_class_label', 'source_domain_id', 'source_role', 'source_trial_id'], 'kind': 'strict_source_input', 'path': '/projects/EEG-foundation-model/yinghao/oaci-c78-seed3-pilot/authorized_P1/protocol_ad6f4e034318b879/implementation_991c2927159a40fe/physical_views/primary_inputs/strict_source/strict_source_input_sha256_fa19d257d7bcf753.npz', 'row_count': 4608, 'sha256': 'fa19d257d7bcf7535ca8e12bada46a06c2d7bcafc1d08365787cf712e8b5e4a2', 'size_bytes': 157806772}, 'target_label_fields_present': False, 'target_unlabeled_input': {'fields': ['X', 'target_id', 'target_trial_id'], 'kind': 'target_unlabeled_input', 'path': '/projects/EEG-foundation-model/yinghao/oaci-c78-seed3-pilot/authorized_P1/protocol_ad6f4e034318b879/implementation_991c2927159a40fe/physical_views/primary_inputs/target_unlabeled/target_unlabeled_input_sha256_780cb051e538613e.npz', 'row_count': 576, 'sha256': '780cb051e538613e26b6a198240d513b18f7e84cfe3207fc59b690afb498156b', 'size_bytes': 19643460}, 'manifest_sha256': '2c39a1600f2b3b99b49f1816b8e18fc60fad473bc593272b3888e79bb5b4cc0c'}",all false,
target_input_schema,1,1,"['X', 'target_id', 'target_trial_id']","['X', 'target_id', 'target_trial_id']",
postfreeze_label_split,1,1,261+315,576,
oracle_not_primary,1,1,False,False,
physical_view_hash_source_input,1,1,fa19d257d7bcf7535ca8e12bada46a06c2d7bcafc1d08365787cf712e8b5e4a2,rehash pass,
physical_view_hash_target_input,1,1,780cb051e538613e26b6a198240d513b18f7e84cfe3207fc59b690afb498156b,rehash pass,
physical_view_hash_construction,1,1,9e2c828ef8fc6f7901102d78e1f6126c5d09aef72831d24fe3ba4d21f1d5b06c,rehash pass,
physical_view_hash_evaluation,1,1,6cf071bed95975a45cb466753031466a0d0a3297771112ce8d03b2dbd74bafaa,rehash pass,
physical_view_hash_oracle,1,1,1cd630f90c04794c1d6668ad13b2f26e8c9de605d0917e7b265258bf03c2f357,rehash pass,
instrumentation_82_unique,1,1,82/82,82/82,
instrumentation_row_counts,1,1,377856/47232,377856/47232,
instrumentation_identity_exact,1,1,"{'Wz_plus_b_logits_max_abs': 0.0, 'failed_units': 0, 'hook_z_max_abs': 0.0, 'repeat_max_abs': 0.0, 'softmax_max_abs': 0.0}",all zero,
instrumentation_physical_isolation,1,1,"{'construction_evaluation_oracle_separate': True, 'instrumentation_received_label_gate_path': False, 'instrumentation_received_oracle_path': False, 'source_and_target_input_views_separate': True, 'target_unlabeled_contains_labels': False}",unsafe visibility false; physical separation true,
all_instrumentation_payload_hashes,1,1,True,True,
all_target_unlabeled_payload_schemas,1,1,True,True,
feature_blocks_computable_not_tested,1,1,rows=5,5;computable;not tested,
smoke_only_no_scientific_claim,1,1,6,6,
endpoint_rows_postfreeze_diagnostic,1,1,82,82,
no_best_checkpoint_ID_emitted,1,1,"[{'level': '0', 'candidate_count': '41', 'uniform_random_top1': '0.024390243902439025', 'uniform_random_top5': '0.12195121951219512', 'best_minus_second_bAcc_gap': '0.0014314286466185489', 'epsilon': '0.01', 'epsilon_optimal_count': '2', 'bAcc_range': '0.11789290507644934', 'best_checkpoint_id_emitted': '0', 'scientific_replication_claim': '0'}, {'level': '1', 'candidate_count': '41', 'uniform_random_top1': '0.024390243902439025', 'uniform_random_top5': '0.12195121951219512', 'best_minus_second_bAcc_gap': '0.01622144818347354', 'epsilon': '0.01', 'epsilon_optimal_count': '1', 'bAcc_range': '0.1209420141382167', 'best_checkpoint_id_emitted': '0', 'scientific_replication_claim': '0'}]",two aggregate rows;no IDs,
random_baseline_context,1,1,"['0.024390243902439025', '0.024390243902439025']",0.024390243902439025,
trajectory_values_finite,1,1,"[{'level': '0', 'rows': '41', 'finite': '1', 'ERM_R_src': '0.6531374176517972', 'tau': '0.6831374176517973', 'OACI_risk_feasible_count': '23', 'OACI_count': '40', 'lambda_min': '0.0', 'lambda_max': '20.0', 'train_surrogate_min': '-0.6508455791899903', 'train_surrogate_max': '1.7917559855527971', 'passed': '1'}, {'level': '1', 'rows': '41', 'finite': '1', 'ERM_R_src': '0.7624890290455082', 'tau': '0.7924890290455082', 'OACI_risk_feasible_count': '23', 'OACI_count': '40', 'lambda_min': '0.0', 'lambda_max': '20.0', 'train_surrogate_min': '-49.69423320291416', 'train_surrogate_max': '1.7433980102502633', 'passed': '1'}]",two finite levels,
trajectory_risk_stress_disclosed,1,0,"[('23', '40'), ('23', '40')]",23/40 both,pipeline pass does not imply all checkpoints risk-feasible
lambda_cap_stress_disclosed,1,0,"['20.0', '20.0']","[20.0, 20.0]",
level1_surrogate_extreme_disclosed,1,0,-49.69423320291416,<-40,
measured_GPU_runtime,1,1,0.5436387952168783;8659497472,measured,
CPU_peak_RAM_unavailable_disclosed,1,0,unavailable_slurm_accounting_db_refused_connection,unavailable disclosed,
external_storage_measured,1,1,1798213676,1798213676,
failed_GPU_canary_retained,1,1,"{'attempt': '2', 'mode': 'authorized_GPU_preflight', 'job_id': '892830', 'status': 'blocked_before_data', 'authorization_exact': '1', 'training': '0', 'real_forward': '0', 'real_data_rows': '0', 'GPU': '1', 'checkpoint_count': '0', 'reason': 'missing CUBLAS_WORKSPACE_CONFIG; repaired prospectively'}",pre-data;zero rows/checkpoints,
successful_jobs_stderr_empty,1,1,all zero bytes,all zero bytes,
no_open_blocking_risk,1,1,0,0,
SRC_blocks_P2,1,1,SRC_not_exercised,blocks_P2,
state_claims_all_negative,1,1,"{'checkpoint_recommendation': False, 'cross_regime_transport': False, 'deployable': False, 'manuscript': False, 'measurement_control_replication': False, 'multiregime_replication': False, 'seed_level_confirmation': False, 'selector': False, 'strict_source_escape_hatch': False, 'target_population_generalization': False, 'target_unlabeled_representation_mechanism': False}",all false,
state_gate_conservative,1,1,PILOT_VALID_SRC_CANARY_REQUIRED_BEFORE_FULL_FIELD,PILOT_VALID_SRC_CANARY_REQUIRED_BEFORE_FULL_FIELD,
taxonomy_exact,1,1,"{'primary_active': ['C78-A_seed3_OACI_ERM_pilot_executed_and_validated'], 'primary_inactive': ['C78-B_training_or_instrumentation_blocker', 'C78-C_target_isolation_or_protocol_violation', 'C78-D_resource_or_storage_envelope_invalid', 'C78-E_historical_engine_reconstruction_mismatch'], 'secondary_active': ['C78-S1_exact_82_unit_field_manifested', 'C78-S2_level0_and_level1_passed', 'C78-S3_target_isolation_passed', 'C78-S4_trial_view_isolation_passed', 'C78-S5_zWz_identity_passed', 'C78-S6_checkpoint_cadence_and_genealogy_passed', 'C78-S7_actual_runtime_storage_measured', 'C78-S8_seed4_untouched', 'C78-S9_SRC_canary_required_before_full_field', 'C78-S11_full_seed3_expansion_not_ready']}",C78-A + S9,
no_raw_payload_in_git,1,1,[],[],
no_tracked_payload_over_50MiB,1,1,[],[],
