dataset,target,seed,level,regime,epoch,trajectory_order,unit_id,role,retention_rule,planned,executed,checkpoint_hash
BNCI2014_001,4,3,0,OACI,64,13,c78_bc943d21bf343732a80e,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,0,OACI,69,14,c78_91d45da142c2a96861a0,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,0,OACI,74,15,c78_5f6f19e3a371da3a9c97,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,0,OACI,79,16,c78_c86c27e79aaca54b9d4e,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,0,OACI,84,17,c78_0ccbd83dfdaa96d8c816,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,0,OACI,89,18,c78_c6fecc8049ac2743c0b4,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,0,OACI,94,19,c78_d9ba50b87d120202851d,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,0,OACI,99,20,c78_81ecfc71ed489566af41,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,0,OACI,104,21,c78_870e27f3395235b84774,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,0,OACI,109,22,c78_558f1c461335aca82157,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,0,OACI,114,23,c78_9661117823d5e6b84704,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,0,OACI,119,24,c78_ab55b7d251a40c57454f,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,0,OACI,124,25,c78_82d07c62e9b1f21bd757,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,0,OACI,129,26,c78_6fa63f59766b49c6a58b,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,0,OACI,134,27,c78_365b4ad106c76d589ddd,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,0,OACI,139,28,c78_3f198bbe4b3a02299676,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,0,OACI,144,29,c78_8d3c51412b3cfc3daa2a,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,0,OACI,149,30,c78_fbf52cbf22413c8a1288,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,0,OACI,154,31,c78_e050c55e4344d612714a,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,0,OACI,159,32,c78_9cf32c565e5c3f03c054,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,0,OACI,164,33,c78_b96ec861204d9b0ccd24,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,0,OACI,169,34,c78_1efcdbed9c200371062f,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,0,OACI,174,35,c78_e860d47ddc07e82dc8f9,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,0,OACI,179,36,c78_aca27dcdecc430c8ac0b,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,0,OACI,184,37,c78_5131c1dd5976a7508fab,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,0,OACI,189,38,c78_249daf9cfc104048df05,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,0,OACI,194,39,c78_0132e7d3a72a1a805b00,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,0,OACI,199,40,c78_506314566db0b3934624,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,1,ERM,199,0,c78_7f5e69edb1934d355a64,shared_stage1_final_anchor,stage1_final_only,1,0,not_created_without_authorization
BNCI2014_001,4,3,1,OACI,4,1,c78_dee11a00851012c4b208,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,1,OACI,9,2,c78_b9b3bd8e8cca37ee2389,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,1,OACI,14,3,c78_4da1e3875851a766630c,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,1,OACI,19,4,c78_fe7d711893e405fabafa,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,1,OACI,24,5,c78_396df7ae700f9f73cad4,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,1,OACI,29,6,c78_40607821a887ae42d05c,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,1,OACI,34,7,c78_091eb66dbdc1c8259587,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,1,OACI,39,8,c78_f09994e2e7296e92d92b,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,1,OACI,44,9,c78_e31b4fcf2053eddbf27d,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,1,OACI,49,10,c78_379979ff7729bc95bba8,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,1,OACI,54,11,c78_4537b65a5f15c097f610,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,1,OACI,59,12,c78_c21e437887d769cae94b,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,1,OACI,64,13,c78_fa8b56ed8d5b77624a58,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,1,OACI,69,14,c78_acf6b1f8a396e41a84e5,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,1,OACI,74,15,c78_51935db6c1e47c3fa650,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,1,OACI,79,16,c78_c35bc5d7bd807fefc33c,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,1,OACI,84,17,c78_200084d0267bc2344082,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,1,OACI,89,18,c78_96649fc6463b8f808566,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,1,OACI,94,19,c78_89496d376f4028b7d265,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,1,OACI,99,20,c78_a42885c094ec1ae7be10,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,1,OACI,104,21,c78_aee24e48d7ec3b1f17f0,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,1,OACI,109,22,c78_8340ce875bbcc73e99d5,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,1,OACI,114,23,c78_9f3beed3e0c282f4ebf6,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,1,OACI,119,24,c78_028e723722f25a7adf6c,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,1,OACI,124,25,c78_bfabd24bd94bc7826848,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,1,OACI,129,26,c78_f3e2a4d4936fe49e8442,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,1,OACI,134,27,c78_f6ae8c36dabdef37c3c3,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,1,OACI,139,28,c78_8b7e4be408692d15b53b,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,1,OACI,144,29,c78_c8993b24a16fc248c24b,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,1,OACI,149,30,c78_6b965249e4053a16219f,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,1,OACI,154,31,c78_58adb20dce79a8d020d2,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,1,OACI,159,32,c78_be82417f145b096763e1,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,1,OACI,164,33,c78_cf9f27a974ed5cf1979f,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,1,OACI,169,34,c78_620d54c90621cd3511e8,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,1,OACI,174,35,c78_1e39f280419a3b679221,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,1,OACI,179,36,c78_0102d84fb091a39c09c4,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,1,OACI,184,37,c78_b93a116e6f21f8005185,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,1,OACI,189,38,c78_cc52a567de335901dc8f,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,1,OACI,194,39,c78_3f3999e217283a5aa912,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
BNCI2014_001,4,3,1,OACI,199,40,c78_116a12ce71f77a7ad543,fixed_cadence_trajectory,every_5_epochs_complete_trajectory,1,0,not_created_without_authorization
