catalog_source_id,native_cohort,interface_variant,catalog_subjects,task_metadata,license_metadata,native_exact_binary_left_right_MI,healthy_participant_evidence,adult_subject_evidence,verified_adult_targets,minimum_trials_per_subject,compatible_channel_count,usable_event_seconds,public_repository_and_license,untouched_target_status,common_interface_status,public_metadata_identity,decision,selected_primary,outcome_fields_present
nm000141,nm000141,canonical_default,14,imagery,CC-BY-4.0,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,nm000141,FAIL_NATIVE_EXACT_BINARY_LEFT_RIGHT_MI_TASK,0,0
nm000142,nm000142,canonical_default,6,imagery,CC-BY-4.0,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,nm000142,FAIL_MINIMUM_TARGET_SUBJECT_COUNT,0,0
nm000143,nm000143,canonical_default,5,imagery,CC-BY-4.0,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,nm000143,FAIL_MINIMUM_TARGET_SUBJECT_COUNT,0,0
nm000144,nm000144,canonical_default,9,imagery,CC-BY-NC-ND-4.0,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,nm000144,FAIL_MINIMUM_TARGET_SUBJECT_COUNT,0,0
nm000145,nm000145,canonical_default,10,imagery,NOT_PRESENT,0,0,0,0,0,0,0,0,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,nm000145,FAIL_MINIMUM_TARGET_SUBJECT_COUNT,0,0
nm000146,nm000146,canonical_default,10,imagery,NOT_PRESENT,0,0,0,0,0,0,0,0,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,nm000146,FAIL_MINIMUM_TARGET_SUBJECT_COUNT,0,0
nm000148,nm000148,canonical_default,30,imagery,NOT_PRESENT,0,0,0,0,0,0,0,0,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,nm000148,FAIL_EXPLICIT_LICENSE_NOT_PRESENT_IN_FROZEN_CATALOG,0,0
nm000149,nm000149,canonical_default,10,imagery,NOT_PRESENT,0,0,0,0,0,0,0,0,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,nm000149,FAIL_MINIMUM_TARGET_SUBJECT_COUNT,0,0
nm000151,nm000151,canonical_default,12,imagery,CC0-1.0,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,nm000151,FAIL_CLOSED_CATALOG_DOES_NOT_PROVE_ALL_INTERFACE_CRITERIA,0,0
nm000152,nm000152,canonical_default,12,imagery,CC BY 4.0,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,nm000152,FAIL_NATIVE_EXACT_BINARY_LEFT_RIGHT_MI_TASK,0,0
nm000156,nm000156,canonical_default,37,imagery,NOT_PRESENT,0,0,0,0,0,0,0,0,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,nm000156,FAIL_EXPLICIT_LICENSE_NOT_PRESENT_IN_FROZEN_CATALOG,0,0
nm000158,nm000158,canonical_default,50,imagery,CC-BY-4.0,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,nm000158,FAIL_HEALTHY_PARTICIPANT_RULE,0,0
nm000160,nm000160,canonical_default,18,imagery,CC-BY-NC-ND-4.0,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,nm000160,FAIL_NATIVE_EXACT_BINARY_LEFT_RIGHT_MI_TASK,0,0
nm000161,nm000161,canonical_default,20,imagery,CC-BY-4.0,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,nm000161,FAIL_NATIVE_EXACT_BINARY_LEFT_RIGHT_MI_TASK,0,0
nm000162,nm000162,canonical_default,20,imagery,CC-BY-4.0,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,nm000162,FAIL_NATIVE_EXACT_BINARY_LEFT_RIGHT_MI_TASK,0,0
nm000167,nm000167,canonical_default,25,imagery,CC-BY-4.0,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,nm000167,FAIL_CLOSED_CATALOG_DOES_NOT_PROVE_ALL_INTERFACE_CRITERIA,0,0
nm000170,nm000170,canonical_default,10,imagery,CC-BY-4.0,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,nm000170,FAIL_MINIMUM_TARGET_SUBJECT_COUNT,0,0
nm000171,nm000171,canonical_default,14,imagery,CC-BY-ND-4.0,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,nm000171,FAIL_CLOSED_CATALOG_DOES_NOT_PROVE_ALL_INTERFACE_CRITERIA,0,0
nm000172,nm000172,canonical_default,14,imagery,CC-BY-4.0,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,nm000172,FAIL_CLOSED_CATALOG_DOES_NOT_PROVE_ALL_INTERFACE_CRITERIA,0,0
nm000173,nm000173,canonical_default,15,imagery,CC-BY-4.0,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,nm000173,FAIL_CLOSED_CATALOG_DOES_NOT_PROVE_ALL_INTERFACE_CRITERIA,0,0
nm000174,nm000174,canonical_default,15,imagery,CC-BY-NC-ND-4.0,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,nm000174,FAIL_NATIVE_EXACT_BINARY_LEFT_RIGHT_MI_TASK,0,0
nm000177,Kumar2024,canonical_default,18,imagery,CC-BY-4.0,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,nm000177,FAIL_ADULT_EVIDENCE,0,0
nm000178,nm000178,canonical_default,45,imagery,CC-BY-4.0,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,nm000178,FAIL_CLOSED_CATALOG_DOES_NOT_PROVE_ALL_INTERFACE_CRITERIA,0,0
nm000184,nm000184,canonical_default,15,p300,CC-BY-4.0,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,nm000184,FAIL_CLOSED_CATALOG_DOES_NOT_PROVE_ALL_INTERFACE_CRITERIA,0,0
nm000209,nm000209,canonical_default,25,imagery,CC-BY-4.0,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,nm000209,FAIL_CLOSED_CATALOG_DOES_NOT_PROVE_ALL_INTERFACE_CRITERIA,0,0
nm000220,nm000220,canonical_default,3,imagery,CC-BY-4.0,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,nm000220,FAIL_MINIMUM_TARGET_SUBJECT_COUNT,0,0
nm000224,nm000224,canonical_default,6,imagery,other-open,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,nm000224,FAIL_MINIMUM_TARGET_SUBJECT_COUNT,0,0
nm000226,nm000226,canonical_default,4,"[""imagery""]",CC-BY-4.0,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,nm000226,FAIL_MINIMUM_TARGET_SUBJECT_COUNT,0,0
nm000227,nm000227,canonical_default,31,imagery,CC0,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,nm000227,FAIL_NATIVE_EXACT_BINARY_LEFT_RIGHT_MI_TASK,0,0
nm000230,nm000230,canonical_default,30,imagery,CC-BY-4.0,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,nm000230,FAIL_HEALTHY_PARTICIPANT_RULE,0,0
nm000233,nm000233,canonical_default,14,imagery,CC-BY-4.0,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,nm000233,FAIL_NATIVE_EXACT_BINARY_LEFT_RIGHT_MI_TASK,0,0
nm000235,nm000235,canonical_default,31,imagery,CC0,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,nm000235,FAIL_CLOSED_CATALOG_DOES_NOT_PROVE_ALL_INTERFACE_CRITERIA,0,0
nm000237,nm000237,canonical_default,20,imagery,CC-BY-4.0,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,nm000237,FAIL_CLOSED_CATALOG_DOES_NOT_PROVE_ALL_INTERFACE_CRITERIA,0,0
nm000242,nm000242,canonical_default,22,imagery,CC-BY-NC-ND-4.0,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,nm000242,FAIL_NATIVE_EXACT_BINARY_LEFT_RIGHT_MI_TASK,0,0
nm000245,nm000245,canonical_default,52,imagery,CC-BY-4.0,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,nm000245,FAIL_PRIOR_PROJECT_TARGET_OR_OUTCOME_ACCESS,0,0
nm000246,Yang2025_2C,canonical_default,51,imagery,CC-BY-4.0,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,nm000246,FAIL_ADULT_EVIDENCE,0,0
nm000249,nm000249,canonical_default,13,imagery,CC-BY-4.0,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,nm000249,FAIL_CLOSED_CATALOG_DOES_NOT_PROVE_ALL_INTERFACE_CRITERIA,0,0
nm000250,Dreyer2023,canonical_default,87,imagery,CC-BY-4.0,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,nm000250,FAIL_HISTORICAL_PROJECT_ACCESS,0,0
nm000252,nm000252,canonical_default,6,imagery,other-open,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,nm000252,FAIL_MINIMUM_TARGET_SUBJECT_COUNT,0,0
nm000257,nm000257,canonical_default,6,imagery,other-open,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,nm000257,FAIL_MINIMUM_TARGET_SUBJECT_COUNT,0,0
nm000258,nm000258,canonical_default,15,imagery,other-open,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,nm000258,FAIL_NATIVE_EXACT_BINARY_LEFT_RIGHT_MI_TASK,0,0
nm000261,nm000261,canonical_default,8,imagery,other-open,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,nm000261,FAIL_MINIMUM_TARGET_SUBJECT_COUNT,0,0
nm000265,nm000265,canonical_default,31,imagery,CC0,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,nm000265,FAIL_CLOSED_CATALOG_DOES_NOT_PROVE_ALL_INTERFACE_CRITERIA,0,0
nm000267,nm000267,canonical_default,29,imagery,GPL-3.0,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,nm000267,FAIL_CLOSED_CATALOG_DOES_NOT_PROVE_ALL_INTERFACE_CRITERIA,0,0
nm000268,nm000268,canonical_default,29,imagery,GPL-3.0,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,nm000268,FAIL_CLOSED_CATALOG_DOES_NOT_PROVE_ALL_INTERFACE_CRITERIA,0,0
nm000270,nm000270,canonical_default,27,imagery,CC-BY-NC-ND-4.0,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,nm000270,FAIL_HEALTHY_PARTICIPANT_RULE,0,0
nm000271,nm000271,canonical_default,28,imagery,CC-BY-4.0,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,nm000271,FAIL_NATIVE_EXACT_BINARY_LEFT_RIGHT_MI_TASK,0,0
nm000274,nm000274,canonical_default,2,imagery,CC-BY-4.0,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,nm000274,FAIL_MINIMUM_TARGET_SUBJECT_COUNT,0,0
nm000311,nm000311,canonical_default,25,imagery,CC0-1.0,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,nm000311,FAIL_NATIVE_EXACT_BINARY_LEFT_RIGHT_MI_TASK,0,0
nm000329,Brandl2020,canonical_default,16,imagery,CC-BY-NC-ND-4.0,1,1,1,16,504,11,3,1,1,PASS,nm000329,PASS_REGISTERED_INTERFACE,1,0
nm000338,nm000338,canonical_default,23,imagery,GPL-3.0,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,nm000338,FAIL_PRIOR_PROJECT_TARGET_OR_OUTCOME_ACCESS,0,0
nm000339,nm000339,canonical_default,62,imagery,CC-BY-NC-4.0,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,nm000339,FAIL_CLOSED_CATALOG_DOES_NOT_PROVE_ALL_INTERFACE_CRITERIA,0,0
nm000347,nm000347,canonical_default,37,imagery,CC-BY-NC-ND-4.0,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,nm000347,FAIL_HEALTHY_PARTICIPANT_RULE,0,0
nm000348,Yang2025_2C,canonical_default,51,imagery,CC-BY-4.0,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,nm000348,FAIL_ADULT_EVIDENCE,0,0
on003810,on003810,canonical_default,10,"[""MIvsRest""]",CC0,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,on003810,FAIL_MINIMUM_TARGET_SUBJECT_COUNT,0,0
on004022,on004022,canonical_default,7,"[""motorimagery""]",CC0,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,on004022,FAIL_MINIMUM_TARGET_SUBJECT_COUNT,0,0
on004362,on004362,canonical_default,109,"[""motion""]",CC0,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,on004362,FAIL_NATIVE_EXACT_BINARY_LEFT_RIGHT_MI_TASK,0,0
on006126,on006126,canonical_default,5,"[""B1"",""B2"",""BM"",""KI"",""V1"",""V3""]",CC0,0,0,0,0,0,0,0,1,0,NOT_REACHED_AFTER_FAIL_CLOSED_GATE,on006126,FAIL_MINIMUM_TARGET_SUBJECT_COUNT,0,0
ds007221,OpenNeuro_ds007221,OpenNeuro_ds007221_GRAZ_V1,14,left_hand|right_hand|feet|rest,CC0,0,1,1,14,159,11,3,1,1,PASS,https://openneuro.org/datasets/ds007221|https://ww2.nemar.org/dataset/on007221,FAIL_MULTICLASS_NO_CLASS_FILTERING,0,0
ds007221,OpenNeuro_ds007221,OpenNeuro_ds007221_SSMVEPMI_V1,22,left_MI|right_MI|left_AO|right_AO,CC0,0,1,1,22,352,11,3,1,1,PASS,https://openneuro.org/datasets/ds007221|https://ww2.nemar.org/dataset/on007221,FAIL_MULTICLASS_NON_NATIVE_EXACT_TASK,0,0
ds007221,OpenNeuro_ds007221,OpenNeuro_ds007221_HYBRID_ADULT_V1,37,left_hand|right_hand,CC0,1,1,1,37,600,11,3,1,1,PASS,https://openneuro.org/datasets/ds007221|https://ww2.nemar.org/dataset/on007221,PASS_ALL_LOCKED_CRITERIA,1,0
ds007221,OpenNeuro_ds007221,OpenNeuro_ds007221_HYBRIDONLINE_ADULT_V1,11,left_hand|right_hand,CC0,1,1,1,11,959,11,3,1,1,PASS,https://openneuro.org/datasets/ds007221|https://ww2.nemar.org/dataset/on007221,FAIL_MINIMUM_TARGET_SUBJECT_COUNT,0,0
