null,candidate_count,label_budget,outcome_type,replicates_across_snr_shape,common_offset_false_rank_flip_rate,candidate_perturbation_rank_flip_rate_not_a_null_test,registered_alpha,identity_false_positive_passed
candidate_gauge_sd_zero,8,256,binary,1152,0.0,0.8506944444444444,0.05,1
candidate_gauge_sd_zero,8,256,multiclass4,1152,0.0,0.8428819444444444,0.05,1
candidate_gauge_sd_zero,16,4,binary,1152,0.0,0.9991319444444444,0.05,1
candidate_gauge_sd_zero,16,4,multiclass4,1152,0.0,0.9982638888888888,0.05,1
candidate_gauge_sd_zero,16,8,binary,1152,0.0,0.9956597222222222,0.05,1
candidate_gauge_sd_zero,16,8,multiclass4,1152,0.0,0.9965277777777778,0.05,1
candidate_gauge_sd_zero,16,16,binary,1152,0.0,0.9956597222222222,0.05,1
candidate_gauge_sd_zero,16,16,multiclass4,1152,0.0,0.9956597222222222,0.05,1
candidate_gauge_sd_zero,16,32,binary,1152,0.0,0.9904513888888888,0.05,1
candidate_gauge_sd_zero,16,32,multiclass4,1152,0.0,0.9982638888888888,0.05,1
candidate_gauge_sd_zero,16,64,binary,1152,0.0,0.9973958333333334,0.05,1
candidate_gauge_sd_zero,16,64,multiclass4,1152,0.0,0.9939236111111112,0.05,1
candidate_gauge_sd_zero,16,256,binary,1152,0.0,0.9939236111111112,0.05,1
candidate_gauge_sd_zero,16,256,multiclass4,1152,0.0,0.9947916666666666,0.05,1
candidate_gauge_sd_zero,32,4,binary,1152,0.0,1.0,0.05,1
candidate_gauge_sd_zero,32,4,multiclass4,1152,0.0,1.0,0.05,1
candidate_gauge_sd_zero,32,8,binary,1152,0.0,1.0,0.05,1
candidate_gauge_sd_zero,32,8,multiclass4,1152,0.0,1.0,0.05,1
candidate_gauge_sd_zero,32,16,binary,1152,0.0,1.0,0.05,1
candidate_gauge_sd_zero,32,16,multiclass4,1152,0.0,1.0,0.05,1
candidate_gauge_sd_zero,32,32,binary,1152,0.0,1.0,0.05,1
candidate_gauge_sd_zero,32,32,multiclass4,1152,0.0,1.0,0.05,1
candidate_gauge_sd_zero,32,64,binary,1152,0.0,1.0,0.05,1
candidate_gauge_sd_zero,32,64,multiclass4,1152,0.0,1.0,0.05,1
candidate_gauge_sd_zero,32,256,binary,1152,0.0,1.0,0.05,1
candidate_gauge_sd_zero,32,256,multiclass4,1152,0.0,1.0,0.05,1
candidate_gauge_sd_zero,64,4,binary,1152,0.0,1.0,0.05,1
candidate_gauge_sd_zero,64,4,multiclass4,1152,0.0,1.0,0.05,1
candidate_gauge_sd_zero,64,8,binary,1152,0.0,1.0,0.05,1
candidate_gauge_sd_zero,64,8,multiclass4,1152,0.0,1.0,0.05,1
candidate_gauge_sd_zero,64,16,binary,1152,0.0,1.0,0.05,1
candidate_gauge_sd_zero,64,16,multiclass4,1152,0.0,1.0,0.05,1
candidate_gauge_sd_zero,64,32,binary,1152,0.0,1.0,0.05,1
candidate_gauge_sd_zero,64,32,multiclass4,1152,0.0,1.0,0.05,1
candidate_gauge_sd_zero,64,64,binary,1152,0.0,1.0,0.05,1
candidate_gauge_sd_zero,64,64,multiclass4,1152,0.0,1.0,0.05,1
candidate_gauge_sd_zero,64,256,binary,1152,0.0,1.0,0.05,1
candidate_gauge_sd_zero,64,256,multiclass4,1152,0.0,1.0,0.05,1
