stage,field_level,target_id,trajectory,candidate_count,k_definition,k,hit,random_base_rate,enrichment
T2,trajectory_cell,2,1|2|0|S0_full_support,4,top5,4,1.0,1.0,1.0
T2,trajectory_cell,2,1|2|0|S0_full_support,4,top10pct,1,0.0,0.25,0.0
T2,trajectory_cell,2,1|2|1|S0_full_support,4,top1,1,0.0,0.25,0.0
T2,trajectory_cell,2,1|2|1|S0_full_support,4,top3,3,0.0,0.75,0.0
T2,trajectory_cell,2,1|2|1|S0_full_support,4,top5,4,1.0,1.0,1.0
T2,trajectory_cell,2,1|2|1|S0_full_support,4,top10pct,1,0.0,0.25,0.0
T2,trajectory_cell,2,2|2|0|S0_full_support,4,top1,1,0.0,0.25,0.0
T2,trajectory_cell,2,2|2|0|S0_full_support,4,top3,3,0.0,0.75,0.0
T2,trajectory_cell,2,2|2|0|S0_full_support,4,top5,4,1.0,1.0,1.0
T2,trajectory_cell,2,2|2|0|S0_full_support,4,top10pct,1,0.0,0.25,0.0
T2,trajectory_cell,2,2|2|1|S0_full_support,4,top1,1,1.0,0.25,4.0
T2,trajectory_cell,2,2|2|1|S0_full_support,4,top3,3,1.0,0.75,1.3333333333333333
T2,trajectory_cell,2,2|2|1|S0_full_support,4,top5,4,1.0,1.0,1.0
T2,trajectory_cell,2,2|2|1|S0_full_support,4,top10pct,1,1.0,0.25,4.0
T2,target_universe,3,ALL_TARGET_CANDIDATES,24,top1,1,1.0,0.041666666666666664,24.0
T2,target_universe,3,ALL_TARGET_CANDIDATES,24,top3,3,1.0,0.125,8.0
T2,target_universe,3,ALL_TARGET_CANDIDATES,24,top5,5,1.0,0.20833333333333334,4.8
T2,target_universe,3,ALL_TARGET_CANDIDATES,24,top10pct,3,1.0,0.125,8.0
T2,trajectory_cell,3,0|3|0|S0_full_support,4,top1,1,1.0,0.25,4.0
T2,trajectory_cell,3,0|3|0|S0_full_support,4,top3,3,1.0,0.75,1.3333333333333333
T2,trajectory_cell,3,0|3|0|S0_full_support,4,top5,4,1.0,1.0,1.0
T2,trajectory_cell,3,0|3|0|S0_full_support,4,top10pct,1,1.0,0.25,4.0
T2,trajectory_cell,3,0|3|1|S0_full_support,4,top1,1,1.0,0.25,4.0
T2,trajectory_cell,3,0|3|1|S0_full_support,4,top3,3,1.0,0.75,1.3333333333333333
T2,trajectory_cell,3,0|3|1|S0_full_support,4,top5,4,1.0,1.0,1.0
T2,trajectory_cell,3,0|3|1|S0_full_support,4,top10pct,1,1.0,0.25,4.0
T2,trajectory_cell,3,1|3|0|S0_full_support,4,top1,1,1.0,0.25,4.0
T2,trajectory_cell,3,1|3|0|S0_full_support,4,top3,3,1.0,0.75,1.3333333333333333
T2,trajectory_cell,3,1|3|0|S0_full_support,4,top5,4,1.0,1.0,1.0
T2,trajectory_cell,3,1|3|0|S0_full_support,4,top10pct,1,1.0,0.25,4.0
T2,trajectory_cell,3,1|3|1|S0_full_support,4,top1,1,0.0,0.25,0.0
T2,trajectory_cell,3,1|3|1|S0_full_support,4,top3,3,1.0,0.75,1.3333333333333333
T2,trajectory_cell,3,1|3|1|S0_full_support,4,top5,4,1.0,1.0,1.0
T2,trajectory_cell,3,1|3|1|S0_full_support,4,top10pct,1,0.0,0.25,0.0
T2,trajectory_cell,3,2|3|0|S0_full_support,4,top1,1,1.0,0.25,4.0
T2,trajectory_cell,3,2|3|0|S0_full_support,4,top3,3,1.0,0.75,1.3333333333333333
T2,trajectory_cell,3,2|3|0|S0_full_support,4,top5,4,1.0,1.0,1.0
T2,trajectory_cell,3,2|3|0|S0_full_support,4,top10pct,1,1.0,0.25,4.0
T2,trajectory_cell,3,2|3|1|S0_full_support,4,top1,1,0.0,0.25,0.0
T2,trajectory_cell,3,2|3|1|S0_full_support,4,top3,3,1.0,0.75,1.3333333333333333
T2,trajectory_cell,3,2|3|1|S0_full_support,4,top5,4,1.0,1.0,1.0
T2,trajectory_cell,3,2|3|1|S0_full_support,4,top10pct,1,0.0,0.25,0.0
T2,target_universe,4,ALL_TARGET_CANDIDATES,24,top1,1,1.0,0.041666666666666664,24.0
T2,target_universe,4,ALL_TARGET_CANDIDATES,24,top3,3,1.0,0.125,8.0
T2,target_universe,4,ALL_TARGET_CANDIDATES,24,top5,5,1.0,0.20833333333333334,4.8
T2,target_universe,4,ALL_TARGET_CANDIDATES,24,top10pct,3,1.0,0.125,8.0
T2,trajectory_cell,4,0|4|0|S0_full_support,4,top1,1,1.0,0.25,4.0
T2,trajectory_cell,4,0|4|0|S0_full_support,4,top3,3,1.0,0.75,1.3333333333333333
T2,trajectory_cell,4,0|4|0|S0_full_support,4,top5,4,1.0,1.0,1.0
T2,trajectory_cell,4,0|4|0|S0_full_support,4,top10pct,1,1.0,0.25,4.0
T2,trajectory_cell,4,0|4|1|S0_full_support,4,top1,1,1.0,0.25,4.0
T2,trajectory_cell,4,0|4|1|S0_full_support,4,top3,3,1.0,0.75,1.3333333333333333
T2,trajectory_cell,4,0|4|1|S0_full_support,4,top5,4,1.0,1.0,1.0
T2,trajectory_cell,4,0|4|1|S0_full_support,4,top10pct,1,1.0,0.25,4.0
T2,trajectory_cell,4,1|4|0|S0_full_support,4,top1,1,0.0,0.25,0.0
T2,trajectory_cell,4,1|4|0|S0_full_support,4,top3,3,1.0,0.75,1.3333333333333333
T2,trajectory_cell,4,1|4|0|S0_full_support,4,top5,4,1.0,1.0,1.0
T2,trajectory_cell,4,1|4|0|S0_full_support,4,top10pct,1,0.0,0.25,0.0
T2,trajectory_cell,4,1|4|1|S0_full_support,4,top1,1,1.0,0.25,4.0
T2,trajectory_cell,4,1|4|1|S0_full_support,4,top3,3,1.0,0.75,1.3333333333333333
T2,trajectory_cell,4,1|4|1|S0_full_support,4,top5,4,1.0,1.0,1.0
T2,trajectory_cell,4,1|4|1|S0_full_support,4,top10pct,1,1.0,0.25,4.0
T2,trajectory_cell,4,2|4|0|S0_full_support,4,top1,1,0.0,0.25,0.0
T2,trajectory_cell,4,2|4|0|S0_full_support,4,top3,3,1.0,0.75,1.3333333333333333
T2,trajectory_cell,4,2|4|0|S0_full_support,4,top5,4,1.0,1.0,1.0
T2,trajectory_cell,4,2|4|0|S0_full_support,4,top10pct,1,0.0,0.25,0.0
T2,trajectory_cell,4,2|4|1|S0_full_support,4,top1,1,1.0,0.25,4.0
T2,trajectory_cell,4,2|4|1|S0_full_support,4,top3,3,1.0,0.75,1.3333333333333333
T2,trajectory_cell,4,2|4|1|S0_full_support,4,top5,4,1.0,1.0,1.0
T2,trajectory_cell,4,2|4|1|S0_full_support,4,top10pct,1,1.0,0.25,4.0
T2,target_universe,5,ALL_TARGET_CANDIDATES,24,top1,1,0.0,0.041666666666666664,0.0
T2,target_universe,5,ALL_TARGET_CANDIDATES,24,top3,3,1.0,0.125,8.0
T2,target_universe,5,ALL_TARGET_CANDIDATES,24,top5,5,1.0,0.20833333333333334,4.8
T2,target_universe,5,ALL_TARGET_CANDIDATES,24,top10pct,3,1.0,0.125,8.0
T2,trajectory_cell,5,0|5|0|S0_full_support,4,top1,1,0.0,0.25,0.0
T2,trajectory_cell,5,0|5|0|S0_full_support,4,top3,3,1.0,0.75,1.3333333333333333
T2,trajectory_cell,5,0|5|0|S0_full_support,4,top5,4,1.0,1.0,1.0
T2,trajectory_cell,5,0|5|0|S0_full_support,4,top10pct,1,0.0,0.25,0.0
T2,trajectory_cell,5,0|5|1|S0_full_support,4,top1,1,1.0,0.25,4.0
T2,trajectory_cell,5,0|5|1|S0_full_support,4,top3,3,1.0,0.75,1.3333333333333333
T2,trajectory_cell,5,0|5|1|S0_full_support,4,top5,4,1.0,1.0,1.0
T2,trajectory_cell,5,0|5|1|S0_full_support,4,top10pct,1,1.0,0.25,4.0
T2,trajectory_cell,5,1|5|0|S0_full_support,4,top1,1,0.0,0.25,0.0
T2,trajectory_cell,5,1|5|0|S0_full_support,4,top3,3,0.0,0.75,0.0
T2,trajectory_cell,5,1|5|0|S0_full_support,4,top5,4,1.0,1.0,1.0
T2,trajectory_cell,5,1|5|0|S0_full_support,4,top10pct,1,0.0,0.25,0.0
T2,trajectory_cell,5,1|5|1|S0_full_support,4,top1,1,0.0,0.25,0.0
T2,trajectory_cell,5,1|5|1|S0_full_support,4,top3,3,1.0,0.75,1.3333333333333333
T2,trajectory_cell,5,1|5|1|S0_full_support,4,top5,4,1.0,1.0,1.0
T2,trajectory_cell,5,1|5|1|S0_full_support,4,top10pct,1,0.0,0.25,0.0
T2,trajectory_cell,5,2|5|0|S0_full_support,4,top1,1,1.0,0.25,4.0
T2,trajectory_cell,5,2|5|0|S0_full_support,4,top3,3,1.0,0.75,1.3333333333333333
T2,trajectory_cell,5,2|5|0|S0_full_support,4,top5,4,1.0,1.0,1.0
T2,trajectory_cell,5,2|5|0|S0_full_support,4,top10pct,1,1.0,0.25,4.0
T2,trajectory_cell,5,2|5|1|S0_full_support,4,top1,1,0.0,0.25,0.0
T2,trajectory_cell,5,2|5|1|S0_full_support,4,top3,3,0.0,0.75,0.0
T2,trajectory_cell,5,2|5|1|S0_full_support,4,top5,4,1.0,1.0,1.0
T2,trajectory_cell,5,2|5|1|S0_full_support,4,top10pct,1,0.0,0.25,0.0
T2,target_universe,6,ALL_TARGET_CANDIDATES,24,top1,1,0.0,0.041666666666666664,0.0
T2,target_universe,6,ALL_TARGET_CANDIDATES,24,top3,3,0.0,0.125,0.0
T2,target_universe,6,ALL_TARGET_CANDIDATES,24,top5,5,0.0,0.20833333333333334,0.0
T2,target_universe,6,ALL_TARGET_CANDIDATES,24,top10pct,3,0.0,0.125,0.0
T2,trajectory_cell,6,0|6|0|S0_full_support,4,top1,1,0.0,0.25,0.0
T2,trajectory_cell,6,0|6|0|S0_full_support,4,top3,3,0.0,0.75,0.0
T2,trajectory_cell,6,0|6|0|S0_full_support,4,top5,4,1.0,1.0,1.0
T2,trajectory_cell,6,0|6|0|S0_full_support,4,top10pct,1,0.0,0.25,0.0
T2,trajectory_cell,6,0|6|1|S0_full_support,4,top1,1,0.0,0.25,0.0
T2,trajectory_cell,6,0|6|1|S0_full_support,4,top3,3,1.0,0.75,1.3333333333333333
T2,trajectory_cell,6,0|6|1|S0_full_support,4,top5,4,1.0,1.0,1.0
T2,trajectory_cell,6,0|6|1|S0_full_support,4,top10pct,1,0.0,0.25,0.0
T2,trajectory_cell,6,1|6|0|S0_full_support,4,top1,1,0.0,0.25,0.0
T2,trajectory_cell,6,1|6|0|S0_full_support,4,top3,3,1.0,0.75,1.3333333333333333
T2,trajectory_cell,6,1|6|0|S0_full_support,4,top5,4,1.0,1.0,1.0
T2,trajectory_cell,6,1|6|0|S0_full_support,4,top10pct,1,0.0,0.25,0.0
T2,trajectory_cell,6,1|6|1|S0_full_support,4,top1,1,1.0,0.25,4.0
T2,trajectory_cell,6,1|6|1|S0_full_support,4,top3,3,1.0,0.75,1.3333333333333333
T2,trajectory_cell,6,1|6|1|S0_full_support,4,top5,4,1.0,1.0,1.0
T2,trajectory_cell,6,1|6|1|S0_full_support,4,top10pct,1,1.0,0.25,4.0
T2,trajectory_cell,6,2|6|0|S0_full_support,4,top1,1,1.0,0.25,4.0
T2,trajectory_cell,6,2|6|0|S0_full_support,4,top3,3,1.0,0.75,1.3333333333333333
T2,trajectory_cell,6,2|6|0|S0_full_support,4,top5,4,1.0,1.0,1.0
T2,trajectory_cell,6,2|6|0|S0_full_support,4,top10pct,1,1.0,0.25,4.0
T2,trajectory_cell,6,2|6|1|S0_full_support,4,top1,1,0.0,0.25,0.0
T2,trajectory_cell,6,2|6|1|S0_full_support,4,top3,3,1.0,0.75,1.3333333333333333
T2,trajectory_cell,6,2|6|1|S0_full_support,4,top5,4,1.0,1.0,1.0
T2,trajectory_cell,6,2|6|1|S0_full_support,4,top10pct,1,0.0,0.25,0.0
T2,target_universe,7,ALL_TARGET_CANDIDATES,24,top1,1,0.0,0.041666666666666664,0.0
T2,target_universe,7,ALL_TARGET_CANDIDATES,24,top3,3,0.0,0.125,0.0
T2,target_universe,7,ALL_TARGET_CANDIDATES,24,top5,5,0.0,0.20833333333333334,0.0
T2,target_universe,7,ALL_TARGET_CANDIDATES,24,top10pct,3,0.0,0.125,0.0
T2,trajectory_cell,7,0|7|0|S0_full_support,4,top1,1,1.0,0.25,4.0
T2,trajectory_cell,7,0|7|0|S0_full_support,4,top3,3,1.0,0.75,1.3333333333333333
T2,trajectory_cell,7,0|7|0|S0_full_support,4,top5,4,1.0,1.0,1.0
T2,trajectory_cell,7,0|7|0|S0_full_support,4,top10pct,1,1.0,0.25,4.0
T2,trajectory_cell,7,0|7|1|S0_full_support,4,top1,1,0.0,0.25,0.0
T2,trajectory_cell,7,0|7|1|S0_full_support,4,top3,3,0.0,0.75,0.0
T2,trajectory_cell,7,0|7|1|S0_full_support,4,top5,4,1.0,1.0,1.0
T2,trajectory_cell,7,0|7|1|S0_full_support,4,top10pct,1,0.0,0.25,0.0
T2,trajectory_cell,7,1|7|0|S0_full_support,4,top1,1,0.0,0.25,0.0
T2,trajectory_cell,7,1|7|0|S0_full_support,4,top3,3,0.0,0.75,0.0
T2,trajectory_cell,7,1|7|0|S0_full_support,4,top5,4,1.0,1.0,1.0
T2,trajectory_cell,7,1|7|0|S0_full_support,4,top10pct,1,0.0,0.25,0.0
T2,trajectory_cell,7,1|7|1|S0_full_support,4,top1,1,0.0,0.25,0.0
T2,trajectory_cell,7,1|7|1|S0_full_support,4,top3,3,1.0,0.75,1.3333333333333333
T2,trajectory_cell,7,1|7|1|S0_full_support,4,top5,4,1.0,1.0,1.0
T2,trajectory_cell,7,1|7|1|S0_full_support,4,top10pct,1,0.0,0.25,0.0
T2,trajectory_cell,7,2|7|0|S0_full_support,4,top1,1,0.0,0.25,0.0
T2,trajectory_cell,7,2|7|0|S0_full_support,4,top3,3,0.0,0.75,0.0
T2,trajectory_cell,7,2|7|0|S0_full_support,4,top5,4,1.0,1.0,1.0
T2,trajectory_cell,7,2|7|0|S0_full_support,4,top10pct,1,0.0,0.25,0.0
T2,trajectory_cell,7,2|7|1|S0_full_support,4,top1,1,0.0,0.25,0.0
T2,trajectory_cell,7,2|7|1|S0_full_support,4,top3,3,1.0,0.75,1.3333333333333333
T2,trajectory_cell,7,2|7|1|S0_full_support,4,top5,4,1.0,1.0,1.0
T2,trajectory_cell,7,2|7|1|S0_full_support,4,top10pct,1,0.0,0.25,0.0
T2,target_universe,8,ALL_TARGET_CANDIDATES,24,top1,1,0.0,0.041666666666666664,0.0
T2,target_universe,8,ALL_TARGET_CANDIDATES,24,top3,3,0.0,0.125,0.0
T2,target_universe,8,ALL_TARGET_CANDIDATES,24,top5,5,0.0,0.20833333333333334,0.0
T2,target_universe,8,ALL_TARGET_CANDIDATES,24,top10pct,3,0.0,0.125,0.0
T2,trajectory_cell,8,0|8|0|S0_full_support,4,top1,1,1.0,0.25,4.0
T2,trajectory_cell,8,0|8|0|S0_full_support,4,top3,3,1.0,0.75,1.3333333333333333
T2,trajectory_cell,8,0|8|0|S0_full_support,4,top5,4,1.0,1.0,1.0
T2,trajectory_cell,8,0|8|0|S0_full_support,4,top10pct,1,1.0,0.25,4.0
T2,trajectory_cell,8,0|8|1|S0_full_support,4,top1,1,1.0,0.25,4.0
T2,trajectory_cell,8,0|8|1|S0_full_support,4,top3,3,1.0,0.75,1.3333333333333333
T2,trajectory_cell,8,0|8|1|S0_full_support,4,top5,4,1.0,1.0,1.0
T2,trajectory_cell,8,0|8|1|S0_full_support,4,top10pct,1,1.0,0.25,4.0
T2,trajectory_cell,8,1|8|0|S0_full_support,4,top1,1,0.0,0.25,0.0
T2,trajectory_cell,8,1|8|0|S0_full_support,4,top3,3,1.0,0.75,1.3333333333333333
T2,trajectory_cell,8,1|8|0|S0_full_support,4,top5,4,1.0,1.0,1.0
T2,trajectory_cell,8,1|8|0|S0_full_support,4,top10pct,1,0.0,0.25,0.0
T2,trajectory_cell,8,1|8|1|S0_full_support,4,top1,1,0.0,0.25,0.0
T2,trajectory_cell,8,1|8|1|S0_full_support,4,top3,3,1.0,0.75,1.3333333333333333
T2,trajectory_cell,8,1|8|1|S0_full_support,4,top5,4,1.0,1.0,1.0
T2,trajectory_cell,8,1|8|1|S0_full_support,4,top10pct,1,0.0,0.25,0.0
T2,trajectory_cell,8,2|8|0|S0_full_support,4,top1,1,0.0,0.25,0.0
T2,trajectory_cell,8,2|8|0|S0_full_support,4,top3,3,1.0,0.75,1.3333333333333333
T2,trajectory_cell,8,2|8|0|S0_full_support,4,top5,4,1.0,1.0,1.0
T2,trajectory_cell,8,2|8|0|S0_full_support,4,top10pct,1,0.0,0.25,0.0
T2,trajectory_cell,8,2|8|1|S0_full_support,4,top1,1,1.0,0.25,4.0
T2,trajectory_cell,8,2|8|1|S0_full_support,4,top3,3,1.0,0.75,1.3333333333333333
T2,trajectory_cell,8,2|8|1|S0_full_support,4,top5,4,1.0,1.0,1.0
T2,trajectory_cell,8,2|8|1|S0_full_support,4,top10pct,1,1.0,0.25,4.0
T2,target_universe,9,ALL_TARGET_CANDIDATES,24,top1,1,0.0,0.041666666666666664,0.0
T2,target_universe,9,ALL_TARGET_CANDIDATES,24,top3,3,0.0,0.125,0.0
T2,target_universe,9,ALL_TARGET_CANDIDATES,24,top5,5,1.0,0.20833333333333334,4.8
T2,target_universe,9,ALL_TARGET_CANDIDATES,24,top10pct,3,0.0,0.125,0.0
T2,trajectory_cell,9,0|9|0|S0_full_support,4,top1,1,1.0,0.25,4.0
T2,trajectory_cell,9,0|9|0|S0_full_support,4,top3,3,1.0,0.75,1.3333333333333333
T2,trajectory_cell,9,0|9|0|S0_full_support,4,top5,4,1.0,1.0,1.0
T2,trajectory_cell,9,0|9|0|S0_full_support,4,top10pct,1,1.0,0.25,4.0
T2,trajectory_cell,9,0|9|1|S0_full_support,4,top1,1,1.0,0.25,4.0
T2,trajectory_cell,9,0|9|1|S0_full_support,4,top3,3,1.0,0.75,1.3333333333333333
T2,trajectory_cell,9,0|9|1|S0_full_support,4,top5,4,1.0,1.0,1.0
T2,trajectory_cell,9,0|9|1|S0_full_support,4,top10pct,1,1.0,0.25,4.0
T2,trajectory_cell,9,1|9|0|S0_full_support,4,top1,1,0.0,0.25,0.0
T2,trajectory_cell,9,1|9|0|S0_full_support,4,top3,3,1.0,0.75,1.3333333333333333
T2,trajectory_cell,9,1|9|0|S0_full_support,4,top5,4,1.0,1.0,1.0
T2,trajectory_cell,9,1|9|0|S0_full_support,4,top10pct,1,0.0,0.25,0.0
T2,trajectory_cell,9,1|9|1|S0_full_support,4,top1,1,1.0,0.25,4.0
T2,trajectory_cell,9,1|9|1|S0_full_support,4,top3,3,1.0,0.75,1.3333333333333333
T2,trajectory_cell,9,1|9|1|S0_full_support,4,top5,4,1.0,1.0,1.0
T2,trajectory_cell,9,1|9|1|S0_full_support,4,top10pct,1,1.0,0.25,4.0
T2,trajectory_cell,9,2|9|0|S0_full_support,4,top1,1,1.0,0.25,4.0
T2,trajectory_cell,9,2|9|0|S0_full_support,4,top3,3,1.0,0.75,1.3333333333333333
T2,trajectory_cell,9,2|9|0|S0_full_support,4,top5,4,1.0,1.0,1.0
T2,trajectory_cell,9,2|9|0|S0_full_support,4,top10pct,1,1.0,0.25,4.0
T2,trajectory_cell,9,2|9|1|S0_full_support,4,top1,1,1.0,0.25,4.0
T2,trajectory_cell,9,2|9|1|S0_full_support,4,top3,3,1.0,0.75,1.3333333333333333
T2,trajectory_cell,9,2|9|1|S0_full_support,4,top5,4,1.0,1.0,1.0
T2,trajectory_cell,9,2|9|1|S0_full_support,4,top10pct,1,1.0,0.25,4.0
T3-HO,target_universe,1,ALL_TARGET_CANDIDATES,110,top1,1,0.0,0.00909090909090909,0.0
T3-HO,target_universe,1,ALL_TARGET_CANDIDATES,110,top3,3,0.0,0.02727272727272727,0.0
T3-HO,target_universe,1,ALL_TARGET_CANDIDATES,110,top5,5,0.0,0.045454545454545456,0.0
T3-HO,target_universe,1,ALL_TARGET_CANDIDATES,110,top10pct,11,1.0,0.1,10.0
T3-HO,trajectory_cell,1,0|1|0|S0_full_support,16,top1,1,1.0,0.0625,16.0
T3-HO,trajectory_cell,1,0|1|0|S0_full_support,16,top3,3,1.0,0.1875,5.333333333333333
T3-HO,trajectory_cell,1,0|1|0|S0_full_support,16,top5,5,1.0,0.3125,3.2
T3-HO,trajectory_cell,1,0|1|0|S0_full_support,16,top10pct,2,1.0,0.125,8.0
T3-HO,trajectory_cell,1,0|1|1|S0_full_support,16,top1,1,0.0,0.0625,0.0
T3-HO,trajectory_cell,1,0|1|1|S0_full_support,16,top3,3,0.0,0.1875,0.0
T3-HO,trajectory_cell,1,0|1|1|S0_full_support,16,top5,5,1.0,0.3125,3.2
T3-HO,trajectory_cell,1,0|1|1|S0_full_support,16,top10pct,2,0.0,0.125,0.0
T3-HO,trajectory_cell,1,1|1|0|S0_full_support,24,top1,1,0.0,0.041666666666666664,0.0
T3-HO,trajectory_cell,1,1|1|0|S0_full_support,24,top3,3,1.0,0.125,8.0
T3-HO,trajectory_cell,1,1|1|0|S0_full_support,24,top5,5,1.0,0.20833333333333334,4.8
T3-HO,trajectory_cell,1,1|1|0|S0_full_support,24,top10pct,3,1.0,0.125,8.0
T3-HO,trajectory_cell,1,1|1|1|S0_full_support,14,top1,1,1.0,0.07142857142857142,14.0
T3-HO,trajectory_cell,1,1|1|1|S0_full_support,14,top3,3,1.0,0.21428571428571427,4.666666666666667
T3-HO,trajectory_cell,1,1|1|1|S0_full_support,14,top5,5,1.0,0.35714285714285715,2.8
T3-HO,trajectory_cell,1,1|1|1|S0_full_support,14,top10pct,2,1.0,0.14285714285714285,7.0
T3-HO,trajectory_cell,1,2|1|0|S0_full_support,17,top1,1,1.0,0.058823529411764705,17.0
T3-HO,trajectory_cell,1,2|1|0|S0_full_support,17,top3,3,1.0,0.17647058823529413,5.666666666666666
T3-HO,trajectory_cell,1,2|1|0|S0_full_support,17,top5,5,1.0,0.29411764705882354,3.4
T3-HO,trajectory_cell,1,2|1|0|S0_full_support,17,top10pct,2,1.0,0.11764705882352941,8.5
T3-HO,trajectory_cell,1,2|1|1|S0_full_support,23,top1,1,0.0,0.043478260869565216,0.0
T3-HO,trajectory_cell,1,2|1|1|S0_full_support,23,top3,3,0.0,0.13043478260869565,0.0
T3-HO,trajectory_cell,1,2|1|1|S0_full_support,23,top5,5,1.0,0.21739130434782608,4.6000000000000005
T3-HO,trajectory_cell,1,2|1|1|S0_full_support,23,top10pct,3,0.0,0.13043478260869565,0.0
T3-HO,target_universe,2,ALL_TARGET_CANDIDATES,142,top1,1,0.0,0.007042253521126761,0.0
T3-HO,target_universe,2,ALL_TARGET_CANDIDATES,142,top3,3,1.0,0.02112676056338028,47.333333333333336
T3-HO,target_universe,2,ALL_TARGET_CANDIDATES,142,top5,5,1.0,0.035211267605633804,28.4
T3-HO,target_universe,2,ALL_TARGET_CANDIDATES,142,top10pct,15,1.0,0.1056338028169014,9.466666666666667
T3-HO,trajectory_cell,2,0|2|0|S0_full_support,23,top1,1,0.0,0.043478260869565216,0.0
T3-HO,trajectory_cell,2,0|2|0|S0_full_support,23,top3,3,0.0,0.13043478260869565,0.0
T3-HO,trajectory_cell,2,0|2|0|S0_full_support,23,top5,5,0.0,0.21739130434782608,0.0
T3-HO,trajectory_cell,2,0|2|0|S0_full_support,23,top10pct,3,0.0,0.13043478260869565,0.0
T3-HO,trajectory_cell,2,0|2|1|S0_full_support,24,top1,1,0.0,0.041666666666666664,0.0
T3-HO,trajectory_cell,2,0|2|1|S0_full_support,24,top3,3,1.0,0.125,8.0
T3-HO,trajectory_cell,2,0|2|1|S0_full_support,24,top5,5,1.0,0.20833333333333334,4.8
