target_id,budget,candidate_count,source_rank_best_margin_median,gauge_sd,finite_measurement_sd,gaussian_pair_noise_sd,top1_error_union_bound,top1_hit_lower_bound,empirical_top1,bound_nontrivial,assumptions,theorem_scope
1,4,110,0.0020873978901659093,0.02803433936145826,0.10698605965745267,0.15640934207688126,1.0,0.0,0.016031901041666668,0,centered Gaussian candidate-specific gauge plus independent Gaussian finite-label error; union bound,stylized_model_only_not_EEG_minimax
5,64,102,0.0026360031485516615,0.012976402106605917,0.005513818623759525,0.019939368467834874,1.0,0.0,0.95703125,0,centered Gaussian candidate-specific gauge plus independent Gaussian finite-label error; union bound,stylized_model_only_not_EEG_minimax
5,full-construction,102,0.0026360031485516615,0.012976402106605917,0.0,0.01835140384996889,1.0,0.0,1.0,0,centered Gaussian candidate-specific gauge plus independent Gaussian finite-label error; union bound,stylized_model_only_not_EEG_minimax
6,4,108,0.0025555744196824274,0.02204948052531561,0.10072636419717548,0.14582167216033637,1.0,0.0,0.017469618055555556,0,centered Gaussian candidate-specific gauge plus independent Gaussian finite-label error; union bound,stylized_model_only_not_EEG_minimax
6,8,108,0.0025555744196824274,0.02204948052531561,0.07025303144562513,0.10413134032303882,1.0,0.0,0.02239583333333333,0,centered Gaussian candidate-specific gauge plus independent Gaussian finite-label error; union bound,stylized_model_only_not_EEG_minimax
6,16,108,0.0025555744196824274,0.02204948052531561,0.04736567527338229,0.07388757386110023,1.0,0.0,0.036848958333333334,0,centered Gaussian candidate-specific gauge plus independent Gaussian finite-label error; union bound,stylized_model_only_not_EEG_minimax
6,32,108,0.0025555744196824274,0.02204948052531561,0.02758305401971957,0.049940053273720884,1.0,0.0,0.014973958333333334,0,centered Gaussian candidate-specific gauge plus independent Gaussian finite-label error; union bound,stylized_model_only_not_EEG_minimax
6,64,108,0.0025555744196824274,0.02204948052531561,0.00944052795508951,0.03392058842376113,1.0,0.0,0.0,0,centered Gaussian candidate-specific gauge plus independent Gaussian finite-label error; union bound,stylized_model_only_not_EEG_minimax
6,full-construction,108,0.0025555744196824274,0.02204948052531561,0.0,0.031182674402182774,1.0,0.0,0.0,0,centered Gaussian candidate-specific gauge plus independent Gaussian finite-label error; union bound,stylized_model_only_not_EEG_minimax
7,4,112,0.002009967082951863,0.024924800070305432,0.10300468937049109,0.14987469226561273,1.0,0.0,0.010296737938596489,0,centered Gaussian candidate-specific gauge plus independent Gaussian finite-label error; union bound,stylized_model_only_not_EEG_minimax
7,8,112,0.002009967082951863,0.024924800070305432,0.06881606888509505,0.10350745862345229,1.0,0.0,0.007393973214285714,0,centered Gaussian candidate-specific gauge plus independent Gaussian finite-label error; union bound,stylized_model_only_not_EEG_minimax
7,16,112,0.002009967082951863,0.024924800070305432,0.04473210797656992,0.07241832837855633,1.0,0.0,0.0078125,0,centered Gaussian candidate-specific gauge plus independent Gaussian finite-label error; union bound,stylized_model_only_not_EEG_minimax
7,32,112,0.002009967082951863,0.024924800070305432,0.026001400203601935,0.05093757888028383,1.0,0.0,0.0,0,centered Gaussian candidate-specific gauge plus independent Gaussian finite-label error; union bound,stylized_model_only_not_EEG_minimax
7,64,112,0.002009967082951863,0.024924800070305432,0.004977146653382406,0.035944892470390656,1.0,0.0,0.0,0,centered Gaussian candidate-specific gauge plus independent Gaussian finite-label error; union bound,stylized_model_only_not_EEG_minimax
7,full-construction,112,0.002009967082951863,0.024924800070305432,0.0,0.035248990298863817,1.0,0.0,0.0,0,centered Gaussian candidate-specific gauge plus independent Gaussian finite-label error; union bound,stylized_model_only_not_EEG_minimax
8,4,106,0.002415631729643131,0.03155919156096483,0.10752844950209403,0.15848249129986605,1.0,0.0,0.007994707115800866,0,centered Gaussian candidate-specific gauge plus independent Gaussian finite-label error; union bound,stylized_model_only_not_EEG_minimax
8,8,106,0.002415631729643131,0.03155919156096483,0.07600629443148849,0.11638676355314458,1.0,0.0,0.0048847273284313725,0,centered Gaussian candidate-specific gauge plus independent Gaussian finite-label error; union bound,stylized_model_only_not_EEG_minimax
8,16,106,0.002415631729643131,0.03155919156096483,0.04855732800448295,0.08189989835056719,1.0,0.0,0.010416666666666666,0,centered Gaussian candidate-specific gauge plus independent Gaussian finite-label error; union bound,stylized_model_only_not_EEG_minimax
8,32,106,0.002415631729643131,0.03155919156096483,0.02861790752517718,0.06024893697155605,1.0,0.0,0.005859375,0,centered Gaussian candidate-specific gauge plus independent Gaussian finite-label error; union bound,stylized_model_only_not_EEG_minimax
8,64,106,0.002415631729643131,0.03155919156096483,0.007623400805174605,0.045915113237756704,1.0,0.0,0.0,0,centered Gaussian candidate-specific gauge plus independent Gaussian finite-label error; union bound,stylized_model_only_not_EEG_minimax
8,full-construction,106,0.002415631729643131,0.03155919156096483,0.0,0.04463143672304699,1.0,0.0,0.0,0,centered Gaussian candidate-specific gauge plus independent Gaussian finite-label error; union bound,stylized_model_only_not_EEG_minimax
9,4,115,0.001906380172434041,0.027494489285558546,0.1121288870890977,0.16327176278164765,1.0,0.0,0.019735863095238095,0,centered Gaussian candidate-specific gauge plus independent Gaussian finite-label error; union bound,stylized_model_only_not_EEG_minimax
9,8,115,0.001906380172434041,0.027494489285558546,0.07898048783474769,0.11826972900694768,1.0,0.0,0.02890625,0,centered Gaussian candidate-specific gauge plus independent Gaussian finite-label error; union bound,stylized_model_only_not_EEG_minimax
9,16,115,0.001906380172434041,0.027494489285558546,0.049880342974526926,0.08054806709450117,1.0,0.0,0.05546875,0,centered Gaussian candidate-specific gauge plus independent Gaussian finite-label error; union bound,stylized_model_only_not_EEG_minimax
9,32,115,0.001906380172434041,0.027494489285558546,0.03021302440640547,0.05777151174853824,1.0,0.0,0.051888020833333326,0,centered Gaussian candidate-specific gauge plus independent Gaussian finite-label error; union bound,stylized_model_only_not_EEG_minimax
9,64,115,0.001906380172434041,0.027494489285558546,0.008501477200340673,0.04069943625313761,1.0,0.0,0.0,0,centered Gaussian candidate-specific gauge plus independent Gaussian finite-label error; union bound,stylized_model_only_not_EEG_minimax
9,full-construction,115,0.001906380172434041,0.027494489285558546,0.0,0.038883079638158645,1.0,0.0,0.0,0,centered Gaussian candidate-specific gauge plus independent Gaussian finite-label error; union bound,stylized_model_only_not_EEG_minimax
