stage,target_id,budget,repeat_count,construction_score_variance,evaluation_score_variance_across_candidates,split_half_reliability,observed_construct_eval_spearman,noise_corrected_latent_correlation,noise_corrected_correlation_clipped,expected_pair_order_error,mean_score_eval_spearman
T2,3,full-construction,1,0.0,0.0024993421660212205,0.8573913043478262,0.8573913043478262,0.925954266877056,0.925954266877056,0.16666666666666663,0.8573913043478262
T2,4,4,256,0.008203882952920752,0.0008407494340134748,0.12638495343924688,0.25623204494887925,0.7207518341581445,0.7207518341581445,0.4139068161231884,0.7278260869565217
T2,4,8,256,0.0036901498931685302,0.0008407494340134748,0.234952637146362,0.3466859084654682,0.7152305024005217,0.7152305024005217,0.3793237658514492,0.7026086956521739
T2,4,16,256,0.0015773229349672405,0.0008407494340134748,0.39330757185610965,0.4668334038327977,0.7443818413938004,0.7443818413938004,0.33234969429347827,0.7226086956521739
T2,4,32,256,0.0005293806393941243,0.0008407494340134748,0.6423455425339979,0.5952511666426151,0.7427042308246347,0.7427042308246347,0.27817170516304346,0.7226086956521739
T2,4,64,256,1.7828177782445195e-05,0.0008407494340134748,0.9833886670255947,0.7182848743805168,0.724326078389624,0.724326078389624,0.21648550724637683,0.7339130434782608
T2,4,full-construction,1,0.0,0.0008407494340134748,0.7339130434782608,0.7339130434782608,0.8566872495130652,0.8566872495130652,0.2065217391304348,0.7339130434782608
T2,5,4,256,0.0034063077440448838,0.00017273871387830792,0.07607949104513803,0.09089858220306038,0.3295515131280223,0.3295515131280223,0.469924705615942,0.38608695652173913
T2,5,8,256,0.0015475522458942884,0.00017273871387830792,0.10757312956574182,0.12636572825314518,0.38528083176780864,0.38528083176780864,0.45724354619565216,0.3365217391304348
T2,5,16,256,0.0006868702134275748,0.00017273871387830792,0.27080646203789793,0.17078520912148262,0.3281865240660048,0.3281865240660048,0.44076936141304346,0.3382608695652174
T2,5,32,256,0.00024100066789614613,0.00017273871387830792,0.5010530495523418,0.23537890601200814,0.33252605893861437,0.33252605893861437,0.4149824501811594,0.3026086956521739
T2,5,64,256,2.7698531649471105e-05,0.00017273871387830792,0.9000238707413202,0.3356769170901625,0.3538298463579548,0.3538298463579548,0.37042855525362317,0.34521739130434786
T2,5,full-construction,1,0.0,0.00017273871387830792,0.34521739130434786,0.34521739130434786,0.5875520328484516,0.5875520328484516,0.3586956521739131,0.34521739130434786
T2,6,4,256,0.010172159531537224,0.0005392403151951485,0.04552797142358759,0.07130362848867916,0.33417386427019147,0.33417386427019147,0.47686679121376807,0.3770384955406299
T2,6,8,256,0.004796464458789701,0.0005392403151951485,0.05799941910643336,0.14180923453060734,0.588833745176282,0.588833745176282,0.4511011096014493,0.494020450904447
T2,6,16,256,0.0022576833862105227,0.0005392403151951485,0.224826384582725,0.22498985429334012,0.47450336443659935,0.47450336443659935,0.4235662930253623,0.5173913043478261
T2,6,32,256,0.0007198753310184852,0.0005392403151951485,0.460527581451699,0.2953305405797798,0.4351916335028084,0.4351916335028084,0.40022078804347827,0.42434782608695654
T2,6,64,256,8.688218453351187e-05,0.0005392403151951485,0.879195613689851,0.4342337954509883,0.4631064867821493,0.4631064867821493,0.35658684329710144,0.4121739130434783
T2,6,full-construction,1,0.0,0.0005392403151951485,0.4252173913043478,0.4252173913043478,0.6520869507238646,0.6520869507238646,0.3659420289855072,0.4252173913043478
T2,7,4,256,0.011180952483532477,0.0005095110203922703,0.05860014321726043,0.07037739786375095,0.29072599561138823,0.29072599561138823,0.4763360507246377,0.1943900893963801
T2,7,8,256,0.0047679190542183674,0.0005095110203922703,0.1546545639825084,0.08819454320303241,0.22426440314592877,0.22426440314592877,0.4705969769021739,0.20521739130434785
T2,7,16,256,0.001995455205830094,0.0005095110203922703,0.23509569899594626,0.11421236394247647,0.23555416006014238,0.23555416006014238,0.4609658061594203,0.21391304347826087
T2,7,32,256,0.00070446316712822,0.0005095110203922703,0.4533290014225255,0.14496337175080273,0.21530371823078537,0.21530371823078537,0.4499405570652174,0.21304347826086958
T2,7,64,256,2.5245810256284803e-05,0.0005095110203922703,0.9484986413043479,0.1917663043478261,0.19690372956129942,0.19690372956129942,0.43921252264492755,0.22869565217391308
T2,7,full-construction,1,0.0,0.0005095110203922703,0.22,0.22,0.4690415759823429,0.4690415759823429,0.4311594202898551,0.22
T2,8,4,256,0.011044959772646037,0.0025544909062885073,0.21332385290991285,0.3322030792763164,0.719256746548945,0.719256746548945,0.3864215353260869,0.665796928111539
T2,8,8,256,0.005333462260127847,0.0025544909062885073,0.3738037506743605,0.4297958833883124,0.7029758800855808,0.7029758800855808,0.3493687726449275,0.6791304347826087
T2,8,16,256,0.002216287531883888,0.0025544909062885073,0.575710082352564,0.5202560982563227,0.6856701794315059,0.6856701794315059,0.31187726449275366,0.6643478260869565
T2,8,32,256,0.00077628072570352,0.0025544909062885073,0.8017926732140193,0.6202659982934563,0.6927027838824714,0.6927027838824714,0.26773380887681164,0.6756521739130436
T2,8,64,256,5.482057340784011e-05,0.0025544909062885073,0.9794768054981249,0.6751747258034884,0.6822115984146578,0.6822115984146578,0.2342263926630435,0.671304347826087
T2,8,full-construction,1,0.0,0.0025544909062885073,0.6921739130434782,0.6921739130434782,0.8319698991210429,0.8319698991210429,0.2246376811594203,0.6921739130434782
T2,9,4,256,0.012713707817925348,0.0022852293959469837,0.20138572303934102,0.37686213469847163,0.8397850993581295,0.8397850993581295,0.3701808763586957,0.7782608695652173
T2,9,8,256,0.006133166169808582,0.0022852293959469837,0.31152545008165416,0.45748407375280903,0.8196514540280513,0.8196514540280513,0.33745187952898553,0.7495652173913043
T2,9,16,256,0.002478746183557448,0.0022852293959469837,0.5644910088080822,0.5907092630354283,0.7862221352000159,0.7862221352000159,0.28410184556159424,0.7443478260869565
T2,9,32,256,0.0009327442817438662,0.0022852293959469837,0.7858536064207866,0.7137305413838532,0.8051252663824993,0.8051252663824993,0.2267111073369565,0.7591304347826088
T2,9,64,256,7.406333887499145e-05,0.0022852293959469837,0.9624759528279029,0.7655901441827226,0.7803714820407733,0.7803714820407733,0.19345137001811596,0.7626086956521739
T2,9,full-construction,1,0.0,0.0022852293959469837,0.7591304347826088,0.7591304347826088,0.8712809161129427,0.8712809161129427,0.18840579710144922,0.7591304347826088
T3-HO,1,4,256,0.011446016961028021,0.0016053620905314685,0.12058962709785034,0.23106243496555373,0.6653870888679594,0.6653870888679594,0.4235001492584213,0.6524776530056593
T3-HO,1,8,256,0.005261665113044508,0.0016053620905314685,0.22512472319639543,0.3343907310386177,0.7047622523030749,0.7047622523030749,0.3865531255237138,0.6992391897818184
T3-HO,1,16,256,0.002184499308812215,0.0016053620905314685,0.39865527635130427,0.4462062304266695,0.7067028973314772,0.7067028973314772,0.34599051292525557,0.6986799661970684
T3-HO,1,32,256,0.000771757855134852,0.0016053620905314685,0.6338939057852782,0.5716677386199486,0.7180181058973045,0.7180181058973045,0.2978121203075247,0.7079342145511576
T3-HO,1,64,256,6.878284634540849e-05,0.0016053620905314685,0.9549729502847225,0.6902758068277444,0.7063616577057374,0.7063616577057374,0.25196687248617394,0.6957289437764361
T3-HO,1,full-construction,1,0.0,0.0016053620905314685,0.6941013984101678,0.6941013984101678,0.8331274802874814,0.8331274802874814,0.251466398525222,0.6941013984101678
T3-HO,2,4,256,0.007378994473697271,0.0005105157282933895,0.08833808046862038,0.057509049872841535,0.19349164349960804,0.19349164349960804,0.4807882976678626,0.1674424815662519
T3-HO,2,8,256,0.0038331298069610217,0.0005105157282933895,0.12117206951573553,-0.001259681723305213,-0.0036187582033038223,-0.0036187582033038223,0.5004112474372118,-0.021590060784840895
T3-HO,2,16,256,0.0015353003973066727,0.0005105157282933895,0.2664638148254298,-0.00479661132939565,-0.00929213280758081,-0.00929213280758081,0.501169672603793,-0.035986461939721555
T3-HO,2,32,256,0.0005348877826470494,0.0005105157282933895,0.46698890627831513,0.040300837774264076,0.058974028119478356,0.058974028119478356,0.48557810898257303,-0.023099517770679506
T3-HO,2,64,256,3.4534812664926406e-05,0.0005105157282933895,0.9169642990706763,-0.025008024743921206,-0.026115790542471613,-0.026115790542471613,0.5030603296386469,-0.03013350639629606
T3-HO,2,full-construction,1,0.0,0.0005105157282933895,-0.008894937812345996,-0.008894937812345996,,,0.4951307022039979,-0.008894937812345996
T3-HO,3,4,256,0.010365027072382908,0.004719163418195004,0.2836663885373214,0.4759624297585506,0.8936526203462388,0.8936526203462388,0.3369719211899143,0.8737321355935117
T3-HO,3,8,256,0.0048767605248619525,0.004719163418195004,0.47464000811689677,0.6148606414024713,0.8924718412614444,0.8924718412614444,0.27982354676437704,0.8732515421780616
T3-HO,3,16,256,0.0021376253343095967,0.004719163418195004,0.6809233690647084,0.7361018577270353,0.8920491713761219,0.8920491713761219,0.22442864240467025,0.8743465083290087
T3-HO,3,32,256,0.0007415145708649766,0.004719163418195004,0.854978768529093,0.8258688256542902,0.8931685201420069,0.8931685201420069,0.17811233658862252,0.870923411975909
T3-HO,3,64,256,3.498923033475875e-05,0.004719163418195004,0.9882307942661598,0.8741510103035033,0.8793408976799818,0.8793408976799818,0.15138987004719912,0.8724299149650332
T3-HO,3,full-construction,1,0.0,0.004719163418195004,0.8720289445876998,0.8720289445876998,0.9338249003896285,0.9338249003896285,0.1548875916035275,0.8720289445876998
T3-HO,4,4,256,0.00941343016130871,0.0006459310839283948,0.11801487666076753,0.1554401611574222,0.4524752820681402,0.4524752820681402,0.44938385358988553,0.4581851402529233
T3-HO,4,8,256,0.004343964564689732,0.0006459310839283948,0.1646496217422147,0.21137396361474542,0.5209201087661451,0.5209201087661451,0.4282988995016611,0.46128094381755047
T3-HO,4,16,256,0.0017731322871096717,0.0006459310839283948,0.3502374670439815,0.3145283414416481,0.5314696675312137,0.5314696675312137,0.3912234103912883,0.4946410417063003
T3-HO,4,32,256,0.0005898236902239548,0.0006459310839283948,0.6374847725417099,0.3895445559498837,0.4878903537518863,0.4878903537518863,0.3651952019502892,0.47457535103870074
T3-HO,4,64,256,2.2081664529392513e-05,0.0006459310839283948,0.9792780727944985,0.477980324993474,0.48301098184935765,0.48301098184935765,0.33096396463947336,0.47811908750764903
T3-HO,4,full-construction,1,0.0,0.0006459310839283948,0.47669424015147827,0.47669424015147827,0.6904304745240307,0.6904304745240307,0.3318567737172389,0.47669424015147827
T3-HO,5,4,256,0.003680623489726008,0.00016643968809358268,0.038077929889880666,0.0722164047846516,0.37008305355250387,0.37008305355250387,0.47773536123519134,0.22661637635832704
T3-HO,5,8,256,0.001728779881883245,0.00016643968809358268,0.10969115468617258,0.09935659510545722,0.29999284450930414,0.29999284450930414,0.46748268777918045,0.23408484323214812
T3-HO,5,16,256,0.000741828308340129,0.00016643968809358268,0.21811159032740426,0.1383823763478037,0.2963066592485929,0.2963066592485929,0.4533601791610022,0.25897673685913103
T3-HO,5,32,256,0.0002643240639357693,0.00016643968809358268,0.44433740467753885,0.18989227541315484,0.284872719483616,0.284872719483616,0.4353583523499709,0.2614037964591262
T3-HO,5,64,256,3.040219581571738e-05,0.00016643968809358268,0.8598025476630291,0.2526682782185457,0.2724904945326163,0.2724904945326163,0.4136281771946009,0.26521495739303025
T3-HO,5,full-construction,1,0.0,0.00016643968809358268,0.2640685786706471,0.2640685786706471,0.5138760343415979,0.5138760343415979,0.41056515828316176,0.2640685786706471
T3-HO,6,4,256,0.010145800444382035,0.0007941564881269238,0.08319828146866189,0.18737799065694902,0.649623010314861,0.649623010314861,0.43832837215365894,0.5957228858869038
T3-HO,6,8,256,0.004935488427299993,0.0007941564881269238,0.15179765650861973,0.2373501299639395,0.6091958560031571,0.6091958560031571,0.4208341028593777,0.5649252123610259
T3-HO,6,16,256,0.002243507194103499,0.0007941564881269238,0.30511591097976937,0.34024900937032937,0.6159769224871662,0.6159769224871662,0.38527453067964545,0.5762690885987063
T3-HO,6,32,256,0.0007608248690547679,0.0007941564881269238,0.5660453252581734,0.46378957054726766,0.6164464759530898,0.6164464759530898,0.3423258109899183,0.6068015299400479
T3-HO,6,64,256,8.912356807082654e-05,0.0007941564881269238,0.9101391199911484,0.5806484228569812,0.6086384148755333,0.6086384148755333,0.3026267545193812,0.5984073045305367
T3-HO,6,full-construction,1,0.0,0.0007941564881269238,0.5961585664610766,0.5961585664610766,0.7721130529016309,0.7721130529016309,0.2998435598818008,0.5961585664610766
T3-HO,7,4,256,0.010609966032311362,0.0008055161482002014,0.14664354956250433,0.20775856517051616,0.5425346183651412,0.5425346183651412,0.430886616202287,0.5152538971268349
T3-HO,7,8,256,0.004735651336798147,0.0008055161482002014,0.26704402264733085,0.27900918725718615,0.5399170886259907,0.5399170886259907,0.40562087292639715,0.5366106284699094
T3-HO,7,16,256,0.0020009614840275102,0.0008055161482002014,0.4473559023565538,0.3637354755714489,0.5438248823037433,0.5438248823037433,0.37553853277500404,0.552559305678054
T3-HO,7,32,256,0.0006760728125478708,0.0008055161482002014,0.7213892303815418,0.4707933515329834,0.5543007854007896,0.5543007854007896,0.33579280077307133,0.5497099877441638
T3-HO,7,64,256,2.4771988809275684e-05,0.0008055161482002014,0.9842000533449518,0.542408798363794,0.5467452686014663,0.5467452686014663,0.3083647477452085,0.5496544625613533
T3-HO,7,full-construction,1,0.0,0.0008055161482002014,0.5465450523239628,0.5465450523239628,0.7392868538828232,0.7392868538828232,0.30705427605089386,0.5465450523239628
T3-HO,8,4,256,0.011562367452324385,0.003404081946737977,0.33391961970477646,0.46383039599078624,0.8026722283876901,0.8026722283876901,0.3416031418463612,0.8036043571619562
T3-HO,8,8,256,0.005776956793206117,0.003404081946737977,0.4936398985739303,0.5814605396413142,0.8275897817802049,0.8275897817802049,0.29545639600179696,0.8216712136238219
T3-HO,8,16,256,0.002357814102934944,0.003404081946737977,0.6947477834568027,0.6883328517412506,0.8258190795174716,0.8258190795174716,0.25094936264600176,0.822465173690707
T3-HO,8,32,256,0.0008189846311195928,0.003404081946737977,0.8680959914869067,0.7717934092171539,0.828356320143739,0.828356320143739,0.21282148472596585,0.8231666612321211
T3-HO,8,64,256,5.8116239836336816e-05,0.003404081946737977,0.9872812415407963,0.8196393533030526,0.824902005129018,0.824902005129018,0.18906811545372865,0.8230697533818676
T3-HO,8,full-construction,1,0.0,0.003404081946737977,0.8229589137718215,0.8229589137718215,0.9071708294317127,0.9071708294317127,0.18849955076370173,0.8229589137718215
T3-HO,9,4,256,0.01257288731983962,0.0019070632564679062,0.18770236535146562,0.3007881281985995,0.6942658738860217,0.6942658738860217,0.3985600207564576,0.7104471347735063
T3-HO,9,8,256,0.006237917458614729,0.0019070632564679062,0.28366089054508603,0.3982698401302927,0.7477866175709105,0.7477866175709105,0.3625365159901599,0.7398253238833937
T3-HO,9,16,256,0.002488048615256438,0.0019070632564679062,0.47715091069093973,0.5267394479526859,0.7625493684380799,0.7625493684380799,0.31357205661900367,0.7496694522579959
T3-HO,9,32,256,0.0009128268437820525,0.0019070632564679062,0.711635374595004,0.663602695902873,0.7866460704592596,0.7866460704592596,0.25690080142988936,0.7710109375279266
T3-HO,9,64,256,7.22751145879123e-05,0.0019070632564679062,0.9622155461902768,0.7517479322067286,0.7663656974941111,0.7663656974941111,0.21648426689345018,0.7557001324194426
T3-HO,9,full-construction,1,0.0,0.0019070632564679062,0.7534502948307521,0.7534502948307521,0.8680151466597528,0.8680151466597528,0.21586715867158668,0.7534502948307521
