seed,target,level,budget,ERM_fraction,OACI_fraction,SRC_fraction
3,3,1,32,0.0,0.99951171875,0.00048828125
3,3,1,FULL,0.0,1.0,0.0
3,5,0,1,0.0078125,0.57177734375,0.42041015625
3,5,0,2,0.0029296875,0.572265625,0.4248046875
3,5,0,4,0.0,0.5791015625,0.4208984375
3,5,0,8,0.0,0.52734375,0.47265625
3,5,0,16,0.0,0.4912109375,0.5087890625
3,5,0,32,0.0,0.38134765625,0.61865234375
3,5,0,FULL,0.0,0.0,1.0
3,5,1,1,0.0419921875,0.578125,0.3798828125
3,5,1,2,0.03271484375,0.62158203125,0.345703125
3,5,1,4,0.0234375,0.63232421875,0.34423828125
3,5,1,8,0.0107421875,0.654296875,0.3349609375
3,5,1,16,0.00244140625,0.693359375,0.30419921875
3,5,1,32,0.0009765625,0.77001953125,0.22900390625
3,5,1,FULL,0.0,1.0,0.0
3,6,0,1,0.00244140625,0.65234375,0.34521484375
3,6,0,2,0.0009765625,0.76025390625,0.23876953125
3,6,0,4,0.0,0.8017578125,0.1982421875
3,6,0,8,0.0,0.841796875,0.158203125
3,6,0,16,0.0,0.8916015625,0.1083984375
3,6,0,32,0.0,0.93798828125,0.06201171875
3,6,0,FULL,0.0,1.0,0.0
3,6,1,1,0.001953125,0.67431640625,0.32373046875
3,6,1,2,0.0009765625,0.779296875,0.2197265625
3,6,1,4,0.0009765625,0.8564453125,0.142578125
3,6,1,8,0.0,0.896484375,0.103515625
3,6,1,16,0.0,0.94580078125,0.05419921875
3,6,1,32,0.0,0.98974609375,0.01025390625
3,6,1,FULL,0.0,1.0,0.0
3,7,0,1,0.029296875,0.63720703125,0.33349609375
3,7,0,2,0.02880859375,0.771484375,0.19970703125
3,7,0,4,0.03173828125,0.8505859375,0.11767578125
3,7,0,8,0.02978515625,0.9072265625,0.06298828125
3,7,0,16,0.0205078125,0.9453125,0.0341796875
3,7,0,32,0.00390625,0.9853515625,0.0107421875
3,7,0,FULL,0.0,1.0,0.0
3,7,1,1,0.01513671875,0.609375,0.37548828125
3,7,1,2,0.01611328125,0.671875,0.31201171875
3,7,1,4,0.009765625,0.697265625,0.29296875
3,7,1,8,0.00830078125,0.724609375,0.26708984375
3,7,1,16,0.00146484375,0.73779296875,0.2607421875
3,7,1,32,0.0,0.74169921875,0.25830078125
3,7,1,FULL,0.0,1.0,0.0
3,8,0,1,0.0078125,0.3984375,0.59375
3,8,0,2,0.00341796875,0.494140625,0.50244140625
3,8,0,4,0.0009765625,0.5927734375,0.40625
3,8,0,8,0.0,0.6396484375,0.3603515625
3,8,0,16,0.0,0.64306640625,0.35693359375
3,8,0,32,0.0,0.60009765625,0.39990234375
3,8,0,FULL,0.0,1.0,0.0
3,8,1,1,0.0087890625,0.52294921875,0.46826171875
3,8,1,2,0.00732421875,0.54833984375,0.4443359375
3,8,1,4,0.005859375,0.62939453125,0.36474609375
3,8,1,8,0.0029296875,0.70751953125,0.28955078125
3,8,1,16,0.0,0.78125,0.21875
3,8,1,32,0.0,0.83935546875,0.16064453125
3,8,1,FULL,0.0,1.0,0.0
3,9,0,1,0.00439453125,0.5595703125,0.43603515625
3,9,0,2,0.00146484375,0.6630859375,0.33544921875
3,9,0,4,0.0009765625,0.7626953125,0.236328125
3,9,0,8,0.0,0.8828125,0.1171875
3,9,0,16,0.0,0.9423828125,0.0576171875
3,9,0,32,0.0,0.99169921875,0.00830078125
3,9,0,FULL,0.0,1.0,0.0
3,9,1,1,0.0087890625,0.580078125,0.4111328125
3,9,1,2,0.0087890625,0.640625,0.3505859375
3,9,1,4,0.00439453125,0.71435546875,0.28125
3,9,1,8,0.00146484375,0.76611328125,0.232421875
3,9,1,16,0.0,0.8681640625,0.1318359375
3,9,1,32,0.0,0.95361328125,0.04638671875
3,9,1,FULL,0.0,1.0,0.0
4,1,0,1,0.0107421875,0.5224609375,0.466796875
4,1,0,2,0.01123046875,0.57470703125,0.4140625
4,1,0,4,0.0078125,0.65185546875,0.34033203125
4,1,0,8,0.01025390625,0.712890625,0.27685546875
4,1,0,16,0.00439453125,0.76025390625,0.2353515625
4,1,0,32,0.0,0.75390625,0.24609375
4,1,0,FULL,0.0,0.0,1.0
4,1,1,1,0.02197265625,0.50244140625,0.4755859375
4,1,1,2,0.01953125,0.533203125,0.447265625
4,1,1,4,0.02587890625,0.53125,0.44287109375
4,1,1,8,0.02294921875,0.51220703125,0.46484375
4,1,1,16,0.00927734375,0.390625,0.60009765625
4,1,1,32,0.00244140625,0.1640625,0.83349609375
4,1,1,FULL,0.0,0.0,1.0
4,2,0,1,0.03369140625,0.52294921875,0.443359375
4,2,0,2,0.05224609375,0.5263671875,0.42138671875
4,2,0,4,0.056640625,0.5419921875,0.4013671875
4,2,0,8,0.05322265625,0.59912109375,0.34765625
4,2,0,16,0.0576171875,0.630859375,0.3115234375
4,2,0,32,0.046875,0.75830078125,0.19482421875
4,2,0,FULL,0.0,1.0,0.0
4,2,1,1,0.01513671875,0.4951171875,0.48974609375
4,2,1,2,0.01904296875,0.470703125,0.51025390625
4,2,1,4,0.0166015625,0.44287109375,0.54052734375
4,2,1,8,0.00830078125,0.41552734375,0.576171875
4,2,1,16,0.0068359375,0.33203125,0.6611328125
4,2,1,32,0.00244140625,0.19287109375,0.8046875
4,2,1,FULL,0.0,0.0,1.0
4,3,0,1,0.0263671875,0.53076171875,0.44287109375
4,3,0,2,0.046875,0.6083984375,0.3447265625
4,3,0,4,0.06396484375,0.6982421875,0.23779296875
4,3,0,8,0.08642578125,0.7177734375,0.19580078125
4,3,0,16,0.08544921875,0.70263671875,0.2119140625
4,3,0,32,0.0703125,0.6748046875,0.2548828125
4,3,0,FULL,0.0,1.0,0.0
4,3,1,1,0.0361328125,0.455078125,0.5087890625
4,3,1,2,0.06640625,0.5,0.43359375
4,3,1,4,0.10400390625,0.4658203125,0.43017578125
4,3,1,8,0.12548828125,0.41259765625,0.4619140625
4,3,1,16,0.1396484375,0.294921875,0.5654296875
4,3,1,32,0.1044921875,0.16259765625,0.73291015625
4,3,1,FULL,0.0,0.0,1.0
4,5,0,1,0.0,0.478515625,0.521484375
4,5,0,2,0.0,0.50537109375,0.49462890625
4,5,0,4,0.0,0.544921875,0.455078125
4,5,0,8,0.0,0.56982421875,0.43017578125
4,5,0,16,0.0,0.59521484375,0.40478515625
4,5,0,32,0.0,0.677734375,0.322265625
4,5,0,FULL,0.0,1.0,0.0
4,5,1,1,0.01904296875,0.4306640625,0.55029296875
4,5,1,2,0.01416015625,0.4482421875,0.53759765625
4,5,1,4,0.00244140625,0.45263671875,0.544921875
4,5,1,8,0.00146484375,0.43896484375,0.5595703125
4,5,1,16,0.0,0.45166015625,0.54833984375
4,5,1,32,0.0,0.43017578125,0.56982421875
4,5,1,FULL,0.0,1.0,0.0
4,6,0,1,0.00439453125,0.55615234375,0.439453125
4,6,0,2,0.00048828125,0.625,0.37451171875
4,6,0,4,0.0,0.69287109375,0.30712890625
4,6,0,8,0.0,0.71875,0.28125
4,6,0,16,0.0,0.78076171875,0.21923828125
4,6,0,32,0.0,0.87060546875,0.12939453125
4,6,0,FULL,0.0,1.0,0.0
4,6,1,1,0.0048828125,0.6259765625,0.369140625
4,6,1,2,0.00341796875,0.728515625,0.26806640625
4,6,1,4,0.00048828125,0.82177734375,0.177734375
4,6,1,8,0.0,0.91259765625,0.08740234375
4,6,1,16,0.0,0.97119140625,0.02880859375
4,6,1,32,0.0,0.998046875,0.001953125
4,6,1,FULL,0.0,1.0,0.0
4,7,0,1,0.044921875,0.56689453125,0.38818359375
4,7,0,2,0.05419921875,0.60009765625,0.345703125
4,7,0,4,0.07275390625,0.6083984375,0.31884765625
4,7,0,8,0.107421875,0.56298828125,0.32958984375
4,7,0,16,0.12548828125,0.48828125,0.38623046875
4,7,0,32,0.140625,0.427734375,0.431640625
4,7,0,FULL,0.0,0.0,1.0
4,7,1,1,0.03271484375,0.6630859375,0.30419921875
4,7,1,2,0.04736328125,0.771484375,0.18115234375
4,7,1,4,0.06396484375,0.8369140625,0.09912109375
4,7,1,8,0.095703125,0.8642578125,0.0400390625
4,7,1,16,0.123046875,0.865234375,0.01171875
4,7,1,32,0.1259765625,0.87060546875,0.00341796875
4,7,1,FULL,0.0,1.0,0.0
4,8,0,1,0.0107421875,0.46728515625,0.52197265625
4,8,0,2,0.0146484375,0.58984375,0.3955078125
4,8,0,4,0.00830078125,0.6923828125,0.29931640625
4,8,0,8,0.00390625,0.791015625,0.205078125
4,8,0,16,0.00146484375,0.87744140625,0.12109375
4,8,0,32,0.00048828125,0.95361328125,0.0458984375
4,8,0,FULL,0.0,1.0,0.0
4,8,1,1,0.00390625,0.474609375,0.521484375
4,8,1,2,0.0009765625,0.5927734375,0.40625
4,8,1,4,0.0009765625,0.697265625,0.3017578125
4,8,1,8,0.0009765625,0.7734375,0.2255859375
4,8,1,16,0.0,0.86181640625,0.13818359375
4,8,1,32,0.0,0.9248046875,0.0751953125
4,8,1,FULL,0.0,1.0,0.0
4,9,0,1,0.00634765625,0.46142578125,0.5322265625
4,9,0,2,0.0048828125,0.55908203125,0.43603515625
4,9,0,4,0.00341796875,0.626953125,0.36962890625
4,9,0,8,0.00146484375,0.67919921875,0.3193359375
4,9,0,16,0.0,0.73974609375,0.26025390625
4,9,0,32,0.0,0.82177734375,0.17822265625
4,9,0,FULL,0.0,1.0,0.0
4,9,1,1,0.01904296875,0.4794921875,0.50146484375
4,9,1,2,0.01953125,0.572265625,0.408203125
4,9,1,4,0.02197265625,0.69482421875,0.283203125
4,9,1,8,0.01025390625,0.81298828125,0.1767578125
4,9,1,16,0.00244140625,0.91552734375,0.08203125
4,9,1,32,0.0,0.98291015625,0.01708984375
4,9,1,FULL,0.0,1.0,0.0
