replicate,case,residual_block_correlation,permutation_p,detected_at_0.05,stable_descriptor,truly_incremental,redundant_with_functional
14,functionally_redundant,0.02215371877388464,0.32,0,0,0,1
15,stable_endpoint_irrelevant,0.02765245971658868,0.26,0,1,0,0
15,incremental_representation,0.6384483036864153,0.02,1,0,1,0
15,functionally_redundant,0.020046875839815764,0.48,0,0,0,1
16,stable_endpoint_irrelevant,-0.019897835908897873,0.68,0,1,0,0
16,incremental_representation,0.6235492021335034,0.02,1,0,1,0
16,functionally_redundant,-0.06973036663281529,0.98,0,0,0,1
17,stable_endpoint_irrelevant,0.005140879504691415,0.48,0,1,0,0
17,incremental_representation,0.6275423806966367,0.02,1,0,1,0
17,functionally_redundant,-0.024193128073390496,0.58,0,0,0,1
18,stable_endpoint_irrelevant,0.048788321009184045,0.18,0,1,0,0
18,incremental_representation,0.6442867962622814,0.02,1,0,1,0
18,functionally_redundant,-0.028418390968267745,0.68,0,0,0,1
19,stable_endpoint_irrelevant,0.027707085758217148,0.28,0,1,0,0
19,incremental_representation,0.6185270325841985,0.02,1,0,1,0
19,functionally_redundant,0.015905557234040052,0.34,0,0,0,1
20,stable_endpoint_irrelevant,-0.040879269461109695,0.88,0,1,0,0
20,incremental_representation,0.6768433279022393,0.02,1,0,1,0
20,functionally_redundant,-0.044249425662808435,0.84,0,0,0,1
21,stable_endpoint_irrelevant,-0.05729165576377716,0.86,0,1,0,0
21,incremental_representation,0.6591312131701406,0.02,1,0,1,0
21,functionally_redundant,0.12193009439407383,0.02,1,0,0,1
22,stable_endpoint_irrelevant,-0.010445939221761463,0.68,0,1,0,0
22,incremental_representation,0.661189489441199,0.02,1,0,1,0
22,functionally_redundant,-0.010905144734198768,0.56,0,0,0,1
23,stable_endpoint_irrelevant,-0.022830998780932567,0.72,0,1,0,0
23,incremental_representation,0.6763553794492312,0.02,1,0,1,0
23,functionally_redundant,-0.020123248706777896,0.64,0,0,0,1
24,stable_endpoint_irrelevant,0.06359701025584565,0.04,1,1,0,0
24,incremental_representation,0.6374320324445002,0.02,1,0,1,0
24,functionally_redundant,-0.021648458792881214,0.72,0,0,0,1
25,stable_endpoint_irrelevant,0.024316015356738344,0.22,0,1,0,0
25,incremental_representation,0.6820302640271616,0.02,1,0,1,0
25,functionally_redundant,0.007530488733422391,0.46,0,0,0,1
26,stable_endpoint_irrelevant,0.012373087296118591,0.48,0,1,0,0
26,incremental_representation,0.6449768894065853,0.02,1,0,1,0
26,functionally_redundant,0.04851444114135234,0.18,0,0,0,1
27,stable_endpoint_irrelevant,-0.04571893246275212,0.8,0,1,0,0
27,incremental_representation,0.659767812659883,0.02,1,0,1,0
27,functionally_redundant,-0.023959698626224258,0.78,0,0,0,1
28,stable_endpoint_irrelevant,-0.0107057932425676,0.52,0,1,0,0
28,incremental_representation,0.6165066111117612,0.02,1,0,1,0
28,functionally_redundant,0.025245176162925233,0.26,0,0,0,1
29,stable_endpoint_irrelevant,0.007083568787603783,0.5,0,1,0,0
29,incremental_representation,0.6612927855627304,0.02,1,0,1,0
29,functionally_redundant,0.057041608535425566,0.12,0,0,0,1
30,stable_endpoint_irrelevant,0.029452695322877323,0.42,0,1,0,0
30,incremental_representation,0.6899134838072924,0.02,1,0,1,0
30,functionally_redundant,0.07687521825101074,0.1,0,0,0,1
31,stable_endpoint_irrelevant,-0.015032885064780316,0.58,0,1,0,0
31,incremental_representation,0.6615827048822376,0.02,1,0,1,0
31,functionally_redundant,0.037521824991324226,0.22,0,0,0,1
32,stable_endpoint_irrelevant,0.06536316862919445,0.06,0,1,0,0
32,incremental_representation,0.6259242798878485,0.02,1,0,1,0
32,functionally_redundant,-0.030721607605621665,0.7,0,0,0,1
33,stable_endpoint_irrelevant,-0.004379827103011984,0.56,0,1,0,0
33,incremental_representation,0.6005314529687928,0.02,1,0,1,0
33,functionally_redundant,0.10764015994061016,0.02,1,0,0,1
34,stable_endpoint_irrelevant,-0.0019398722780609489,0.48,0,1,0,0
34,incremental_representation,0.6514930031079569,0.02,1,0,1,0
34,functionally_redundant,-0.07310452474028944,0.94,0,0,0,1
35,stable_endpoint_irrelevant,0.08552325207797279,0.06,0,1,0,0
35,incremental_representation,0.6358514490793732,0.02,1,0,1,0
35,functionally_redundant,0.01766170290318518,0.28,0,0,0,1
36,stable_endpoint_irrelevant,0.025493620272880164,0.3,0,1,0,0
36,incremental_representation,0.666270451010972,0.02,1,0,1,0
36,functionally_redundant,-0.04944316563231476,0.8,0,0,0,1
37,stable_endpoint_irrelevant,-0.012302285833244352,0.74,0,1,0,0
37,incremental_representation,0.6402977874799525,0.02,1,0,1,0
37,functionally_redundant,0.04051798182333743,0.14,0,0,0,1
38,stable_endpoint_irrelevant,-0.059897798113838906,0.92,0,1,0,0
38,incremental_representation,0.6151965757139675,0.02,1,0,1,0
38,functionally_redundant,0.07419239150698782,0.04,1,0,0,1
39,stable_endpoint_irrelevant,-0.053916293741627784,0.86,0,1,0,0
39,incremental_representation,0.6556327162521348,0.02,1,0,1,0
39,functionally_redundant,-0.030733220232019316,0.74,0,0,0,1
40,stable_endpoint_irrelevant,0.03019458236517446,0.22,0,1,0,0
40,incremental_representation,0.655464088223934,0.02,1,0,1,0
40,functionally_redundant,-0.017444571923472665,0.56,0,0,0,1
41,stable_endpoint_irrelevant,-0.006444845255234203,0.5,0,1,0,0
41,incremental_representation,0.6456522050602003,0.02,1,0,1,0
41,functionally_redundant,0.06557264076271818,0.02,1,0,0,1
42,stable_endpoint_irrelevant,0.02105790639179409,0.34,0,1,0,0
42,incremental_representation,0.6312415983607212,0.02,1,0,1,0
42,functionally_redundant,0.01635456924591943,0.38,0,0,0,1
43,stable_endpoint_irrelevant,0.02620951585280449,0.4,0,1,0,0
43,incremental_representation,0.6362766109172342,0.02,1,0,1,0
43,functionally_redundant,0.039654900622849105,0.18,0,0,0,1
44,stable_endpoint_irrelevant,0.028472526466959705,0.26,0,1,0,0
44,incremental_representation,0.7058707836729355,0.02,1,0,1,0
44,functionally_redundant,0.024987441890087687,0.26,0,0,0,1
45,stable_endpoint_irrelevant,-0.00040377975673261315,0.48,0,1,0,0
45,incremental_representation,0.6443583168263791,0.02,1,0,1,0
45,functionally_redundant,0.047139038719414786,0.14,0,0,0,1
46,stable_endpoint_irrelevant,0.03520578473743194,0.22,0,1,0,0
46,incremental_representation,0.6391218062566597,0.02,1,0,1,0
46,functionally_redundant,-0.00974516784653064,0.54,0,0,0,1
47,stable_endpoint_irrelevant,0.0742160218502304,0.04,1,1,0,0
47,incremental_representation,0.6440617390516139,0.02,1,0,1,0
47,functionally_redundant,0.06467628162065546,0.08,0,0,0,1
48,stable_endpoint_irrelevant,-0.049007324616590235,0.8,0,1,0,0
48,incremental_representation,0.6399733752621459,0.02,1,0,1,0
48,functionally_redundant,0.013651570893815457,0.34,0,0,0,1
49,stable_endpoint_irrelevant,-0.05259463712543186,0.9,0,1,0,0
49,incremental_representation,0.6389076587595393,0.02,1,0,1,0
49,functionally_redundant,0.010051234634421004,0.4,0,0,0,1
50,stable_endpoint_irrelevant,0.011115714249688253,0.44,0,1,0,0
50,incremental_representation,0.682369218058994,0.02,1,0,1,0
50,functionally_redundant,-0.038186719243907666,0.82,0,0,0,1
51,stable_endpoint_irrelevant,0.05041461986104956,0.1,0,1,0,0
51,incremental_representation,0.6020601990838779,0.02,1,0,1,0
51,functionally_redundant,-0.07144380554170791,0.88,0,0,0,1
52,stable_endpoint_irrelevant,-0.05873983315170589,1.0,0,1,0,0
52,incremental_representation,0.6513946347167341,0.02,1,0,1,0
52,functionally_redundant,-0.007082985799365189,0.56,0,0,0,1
53,stable_endpoint_irrelevant,0.017713259545392702,0.38,0,1,0,0
53,incremental_representation,0.6434536345040139,0.02,1,0,1,0
53,functionally_redundant,-0.05791640885225451,0.9,0,0,0,1
54,stable_endpoint_irrelevant,0.02728762188414644,0.24,0,1,0,0
54,incremental_representation,0.6589636547777487,0.02,1,0,1,0
54,functionally_redundant,0.005574324866081228,0.42,0,0,0,1
55,stable_endpoint_irrelevant,-0.06114098658112885,0.94,0,1,0,0
55,incremental_representation,0.6160713087130344,0.02,1,0,1,0
55,functionally_redundant,-0.030906955636814098,0.7,0,0,0,1
56,stable_endpoint_irrelevant,0.01998548317901986,0.28,0,1,0,0
56,incremental_representation,0.6664665471236692,0.02,1,0,1,0
56,functionally_redundant,0.006760931386204951,0.52,0,0,0,1
57,stable_endpoint_irrelevant,-0.012884078212780752,0.62,0,1,0,0
57,incremental_representation,0.6160404152474219,0.02,1,0,1,0
57,functionally_redundant,-0.09245141987490232,0.98,0,0,0,1
58,stable_endpoint_irrelevant,-0.12717198285797635,1.0,0,1,0,0
58,incremental_representation,0.6518692795692012,0.02,1,0,1,0
58,functionally_redundant,-0.030069598699386142,0.64,0,0,0,1
59,stable_endpoint_irrelevant,-0.003255655693471674,0.52,0,1,0,0
59,incremental_representation,0.7104484544720548,0.02,1,0,1,0
59,functionally_redundant,0.0640787402486558,0.14,0,0,0,1
60,stable_endpoint_irrelevant,0.018187200121863496,0.38,0,1,0,0
60,incremental_representation,0.6333587367498623,0.02,1,0,1,0
60,functionally_redundant,0.04873621820195842,0.14,0,0,0,1
61,stable_endpoint_irrelevant,0.0056693084501582384,0.42,0,1,0,0
61,incremental_representation,0.6588453833332366,0.02,1,0,1,0
61,functionally_redundant,0.043168462670673736,0.26,0,0,0,1
62,stable_endpoint_irrelevant,0.018663092514353583,0.42,0,1,0,0
62,incremental_representation,0.6434852036600693,0.02,1,0,1,0
62,functionally_redundant,-0.00026823118086889523,0.5,0,0,0,1
63,stable_endpoint_irrelevant,-0.029503858742281654,0.76,0,1,0,0
63,incremental_representation,0.6693050806233347,0.02,1,0,1,0
63,functionally_redundant,0.0725312032027976,0.08,0,0,0,1
64,stable_endpoint_irrelevant,-0.017269739012323097,0.64,0,1,0,0
64,incremental_representation,0.6813944573851288,0.02,1,0,1,0
64,functionally_redundant,-0.05772601447589232,0.92,0,0,0,1
65,stable_endpoint_irrelevant,0.02527189469103706,0.38,0,1,0,0
65,incremental_representation,0.6692480353790133,0.02,1,0,1,0
65,functionally_redundant,0.05045169315868591,0.14,0,0,0,1
66,stable_endpoint_irrelevant,-0.036791411990675635,0.74,0,1,0,0
66,incremental_representation,0.6659736903642848,0.02,1,0,1,0
66,functionally_redundant,-0.004309825396599125,0.5,0,0,0,1
67,stable_endpoint_irrelevant,0.030979684701844416,0.28,0,1,0,0
67,incremental_representation,0.6408908906485683,0.02,1,0,1,0
67,functionally_redundant,0.022350214308674586,0.22,0,0,0,1
68,stable_endpoint_irrelevant,-0.024401320636407202,0.68,0,1,0,0
68,incremental_representation,0.5716198441172895,0.02,1,0,1,0
68,functionally_redundant,-0.018343363036894364,0.72,0,0,0,1
69,stable_endpoint_irrelevant,-0.022761122526772946,0.66,0,1,0,0
69,incremental_representation,0.6635142894488981,0.02,1,0,1,0
69,functionally_redundant,-0.05131950287659648,0.78,0,0,0,1
70,stable_endpoint_irrelevant,-0.020641322044489308,0.78,0,1,0,0
70,incremental_representation,0.6172599674381456,0.02,1,0,1,0
70,functionally_redundant,0.04202533075942472,0.16,0,0,0,1
71,stable_endpoint_irrelevant,0.07019811543028513,0.08,0,1,0,0
71,incremental_representation,0.6574913058474696,0.02,1,0,1,0
71,functionally_redundant,0.03320106379713092,0.28,0,0,0,1
72,stable_endpoint_irrelevant,0.026283541296246864,0.28,0,1,0,0
72,incremental_representation,0.6008440522973189,0.02,1,0,1,0
72,functionally_redundant,-0.03757304583859568,0.76,0,0,0,1
73,stable_endpoint_irrelevant,-0.024485439039817432,0.8,0,1,0,0
73,incremental_representation,0.6794192450078754,0.02,1,0,1,0
73,functionally_redundant,0.02587153691633426,0.4,0,0,0,1
74,stable_endpoint_irrelevant,-0.02695839287701698,0.84,0,1,0,0
74,incremental_representation,0.6321746603550809,0.02,1,0,1,0
74,functionally_redundant,0.02187937581361012,0.32,0,0,0,1
75,stable_endpoint_irrelevant,-0.02022988957656919,0.74,0,1,0,0
75,incremental_representation,0.6509948514070676,0.02,1,0,1,0
75,functionally_redundant,-0.13325803601043704,1.0,0,0,0,1
76,stable_endpoint_irrelevant,0.07686354533301787,0.04,1,1,0,0
76,incremental_representation,0.6378673356584375,0.02,1,0,1,0
76,functionally_redundant,0.01279340447444428,0.42,0,0,0,1
77,stable_endpoint_irrelevant,-0.01935819078240801,0.62,0,1,0,0
77,incremental_representation,0.6786319324180036,0.02,1,0,1,0
77,functionally_redundant,0.08955680486692619,0.06,0,0,0,1
78,stable_endpoint_irrelevant,0.03597003575813777,0.3,0,1,0,0
78,incremental_representation,0.6536794648732815,0.02,1,0,1,0
78,functionally_redundant,-0.052256308841199695,0.9,0,0,0,1
79,stable_endpoint_irrelevant,0.04842370767215957,0.08,0,1,0,0
79,incremental_representation,0.6889548595025343,0.02,1,0,1,0
79,functionally_redundant,0.02514693818197745,0.22,0,0,0,1
80,stable_endpoint_irrelevant,0.01261780444135871,0.36,0,1,0,0
80,incremental_representation,0.659535093471892,0.02,1,0,1,0
80,functionally_redundant,0.05543649449506502,0.18,0,0,0,1
81,stable_endpoint_irrelevant,-0.014269670691567489,0.7,0,1,0,0
81,incremental_representation,0.6634192642528097,0.02,1,0,1,0
81,functionally_redundant,-0.022769923865336016,0.7,0,0,0,1
82,stable_endpoint_irrelevant,0.037275638877732734,0.34,0,1,0,0
82,incremental_representation,0.6637901468580687,0.02,1,0,1,0
82,functionally_redundant,0.019896948677861258,0.32,0,0,0,1
83,stable_endpoint_irrelevant,-0.07794409771715957,0.98,0,1,0,0
83,incremental_representation,0.6203683369944594,0.02,1,0,1,0
83,functionally_redundant,-0.0377053750150964,0.82,0,0,0,1
84,stable_endpoint_irrelevant,0.005768912133606689,0.46,0,1,0,0
84,incremental_representation,0.6236779635754389,0.02,1,0,1,0
84,functionally_redundant,0.005667224696381763,0.54,0,0,0,1
85,stable_endpoint_irrelevant,-0.038010815101888445,0.86,0,1,0,0
85,incremental_representation,0.6648296277103407,0.02,1,0,1,0
85,functionally_redundant,0.012028757915792145,0.36,0,0,0,1
86,stable_endpoint_irrelevant,-0.1011664211147412,1.0,0,1,0,0
86,incremental_representation,0.6941966814261242,0.02,1,0,1,0
86,functionally_redundant,-0.04944118921025187,0.9,0,0,0,1
87,stable_endpoint_irrelevant,-0.05315907092096153,0.92,0,1,0,0
87,incremental_representation,0.6697495334462067,0.02,1,0,1,0
87,functionally_redundant,-0.014912627383710662,0.76,0,0,0,1
88,stable_endpoint_irrelevant,-0.0025821144573105713,0.56,0,1,0,0
88,incremental_representation,0.618026710279452,0.02,1,0,1,0
88,functionally_redundant,0.007672633494078991,0.44,0,0,0,1
89,stable_endpoint_irrelevant,-0.040771500764886406,0.88,0,1,0,0
89,incremental_representation,0.69071593032687,0.02,1,0,1,0
89,functionally_redundant,-0.01912367551815199,0.6,0,0,0,1
90,stable_endpoint_irrelevant,-0.04966167830484321,0.88,0,1,0,0
90,incremental_representation,0.6527234870186092,0.02,1,0,1,0
90,functionally_redundant,-0.06431039713494084,0.86,0,0,0,1
91,stable_endpoint_irrelevant,0.025522331988861918,0.4,0,1,0,0
91,incremental_representation,0.6205326467867804,0.02,1,0,1,0
91,functionally_redundant,-0.007982945509682138,0.6,0,0,0,1
92,stable_endpoint_irrelevant,0.04443955018141073,0.18,0,1,0,0
92,incremental_representation,0.6586090872751653,0.02,1,0,1,0
92,functionally_redundant,0.09625302410853308,0.02,1,0,0,1
93,stable_endpoint_irrelevant,-0.007951516583919219,0.72,0,1,0,0
93,incremental_representation,0.6005175482188021,0.02,1,0,1,0
93,functionally_redundant,-0.02079413957259172,0.6,0,0,0,1
94,stable_endpoint_irrelevant,0.015707687293216914,0.54,0,1,0,0
94,incremental_representation,0.6665407001101994,0.02,1,0,1,0
94,functionally_redundant,-0.05911263147994443,0.92,0,0,0,1
95,stable_endpoint_irrelevant,-0.051882329724529525,0.96,0,1,0,0
95,incremental_representation,0.7066695129869385,0.02,1,0,1,0
95,functionally_redundant,0.058993382208426974,0.1,0,0,0,1
96,stable_endpoint_irrelevant,-0.06499386431794898,0.94,0,1,0,0
96,incremental_representation,0.6421933327548536,0.02,1,0,1,0
96,functionally_redundant,0.045252259905354,0.14,0,0,0,1
97,stable_endpoint_irrelevant,-0.06682505788912982,0.86,0,1,0,0
97,incremental_representation,0.6645689161607422,0.02,1,0,1,0
97,functionally_redundant,0.0015482289430654257,0.5,0,0,0,1
98,stable_endpoint_irrelevant,-0.03507314991437998,0.74,0,1,0,0
98,incremental_representation,0.6536267458899934,0.02,1,0,1,0
98,functionally_redundant,-0.04725624172936424,0.86,0,0,0,1
99,stable_endpoint_irrelevant,-0.03869230814182113,0.78,0,1,0,0
99,incremental_representation,0.6354733626421262,0.02,1,0,1,0
99,functionally_redundant,-0.03032541589381541,0.82,0,0,0,1
100,stable_endpoint_irrelevant,0.027485698727595733,0.28,0,1,0,0
100,incremental_representation,0.6435016942948182,0.02,1,0,1,0
100,functionally_redundant,0.0024548404047103553,0.62,0,0,0,1
101,stable_endpoint_irrelevant,0.08394710037236931,0.06,0,1,0,0
101,incremental_representation,0.6760743505910335,0.02,1,0,1,0
101,functionally_redundant,-0.027280821998099437,0.68,0,0,0,1
102,stable_endpoint_irrelevant,0.01893037247323811,0.4,0,1,0,0
102,incremental_representation,0.647780316581013,0.02,1,0,1,0
102,functionally_redundant,-0.08123101406925506,1.0,0,0,0,1
103,stable_endpoint_irrelevant,0.061938742408379974,0.08,0,1,0,0
103,incremental_representation,0.6700513747400527,0.02,1,0,1,0
103,functionally_redundant,0.06021554757283994,0.1,0,0,0,1
104,stable_endpoint_irrelevant,0.007010466870710573,0.52,0,1,0,0
104,incremental_representation,0.641853482614707,0.02,1,0,1,0
104,functionally_redundant,-0.017899839044608817,0.64,0,0,0,1
105,stable_endpoint_irrelevant,-0.035642600753002684,0.84,0,1,0,0
105,incremental_representation,0.6493343623599714,0.02,1,0,1,0
105,functionally_redundant,0.07264032811516682,0.04,1,0,0,1
106,stable_endpoint_irrelevant,-0.015019685257966021,0.8,0,1,0,0
106,incremental_representation,0.6336533479310493,0.02,1,0,1,0
106,functionally_redundant,-0.03949202356413732,0.82,0,0,0,1
107,stable_endpoint_irrelevant,-0.02101224158086573,0.62,0,1,0,0
107,incremental_representation,0.6673519840467288,0.02,1,0,1,0
107,functionally_redundant,-0.07572165039314,0.96,0,0,0,1
108,stable_endpoint_irrelevant,0.08574163609663175,0.06,0,1,0,0
108,incremental_representation,0.6069454998187361,0.02,1,0,1,0
108,functionally_redundant,-0.023152006330118855,0.68,0,0,0,1
109,stable_endpoint_irrelevant,0.010203454395211663,0.32,0,1,0,0
109,incremental_representation,0.6949917419318881,0.02,1,0,1,0
109,functionally_redundant,0.0181646661005549,0.4,0,0,0,1
110,stable_endpoint_irrelevant,0.019834519505721557,0.32,0,1,0,0
110,incremental_representation,0.6831025326683688,0.02,1,0,1,0
110,functionally_redundant,-0.03869887436017862,0.76,0,0,0,1
111,stable_endpoint_irrelevant,-0.008439251940745079,0.58,0,1,0,0
111,incremental_representation,0.6557602479523301,0.02,1,0,1,0
111,functionally_redundant,-0.01388144743134312,0.54,0,0,0,1
112,stable_endpoint_irrelevant,0.05627542896466084,0.08,0,1,0,0
112,incremental_representation,0.655246125824017,0.02,1,0,1,0
112,functionally_redundant,-0.03801089667940341,0.78,0,0,0,1
113,stable_endpoint_irrelevant,0.007306256268137214,0.6,0,1,0,0
113,incremental_representation,0.6391996873748604,0.02,1,0,1,0
113,functionally_redundant,-0.07851303674864157,0.88,0,0,0,1
114,stable_endpoint_irrelevant,0.005956254445858438,0.48,0,1,0,0
114,incremental_representation,0.647486435206089,0.02,1,0,1,0
114,functionally_redundant,0.007929637498496532,0.44,0,0,0,1
115,stable_endpoint_irrelevant,-0.03713769418357481,0.86,0,1,0,0
115,incremental_representation,0.6693972186274748,0.02,1,0,1,0
115,functionally_redundant,-0.0461380740238409,0.86,0,0,0,1
116,stable_endpoint_irrelevant,0.030091759901971875,0.28,0,1,0,0
116,incremental_representation,0.6252722794754586,0.02,1,0,1,0
116,functionally_redundant,-0.03646797263294502,0.76,0,0,0,1
117,stable_endpoint_irrelevant,0.001955714933837796,0.44,0,1,0,0
117,incremental_representation,0.6572868005318158,0.02,1,0,1,0
117,functionally_redundant,0.027534099293997378,0.24,0,0,0,1
118,stable_endpoint_irrelevant,-0.03479044497744273,0.68,0,1,0,0
118,incremental_representation,0.6597299446704834,0.02,1,0,1,0
118,functionally_redundant,0.011916309937600934,0.4,0,0,0,1
119,stable_endpoint_irrelevant,0.03414249531536474,0.24,0,1,0,0
119,incremental_representation,0.684634415538999,0.02,1,0,1,0
119,functionally_redundant,-0.023792873090536407,0.62,0,0,0,1
120,stable_endpoint_irrelevant,0.030327759714516504,0.26,0,1,0,0
120,incremental_representation,0.6671171106315481,0.02,1,0,1,0
120,functionally_redundant,-0.0222800357775665,0.74,0,0,0,1
121,stable_endpoint_irrelevant,-0.07414243585131736,0.98,0,1,0,0
121,incremental_representation,0.6015229529275843,0.02,1,0,1,0
121,functionally_redundant,-0.011256865596508505,0.68,0,0,0,1
122,stable_endpoint_irrelevant,0.03360678209639945,0.24,0,1,0,0
122,incremental_representation,0.6561892504515213,0.02,1,0,1,0
122,functionally_redundant,-0.05234978079744179,0.92,0,0,0,1
123,stable_endpoint_irrelevant,-0.006941140275157352,0.62,0,1,0,0
123,incremental_representation,0.5833844102751814,0.02,1,0,1,0
123,functionally_redundant,0.02007153118472296,0.26,0,0,0,1
124,stable_endpoint_irrelevant,-0.025441173999865375,0.76,0,1,0,0
124,incremental_representation,0.6761345832518341,0.02,1,0,1,0
124,functionally_redundant,0.0044745031671611785,0.34,0,0,0,1
125,stable_endpoint_irrelevant,0.0005704532477551205,0.46,0,1,0,0
125,incremental_representation,0.6473581719123584,0.02,1,0,1,0
125,functionally_redundant,0.04071346971217007,0.22,0,0,0,1
126,stable_endpoint_irrelevant,0.0650646696378861,0.08,0,1,0,0
126,incremental_representation,0.6196930793736567,0.02,1,0,1,0
126,functionally_redundant,0.0053974921046507345,0.38,0,0,0,1
127,stable_endpoint_irrelevant,-0.022909218512840418,0.5,0,1,0,0
127,incremental_representation,0.6507010644156932,0.02,1,0,1,0
127,functionally_redundant,0.018091619174763377,0.26,0,0,0,1
128,stable_endpoint_irrelevant,-0.017410899406891837,0.74,0,1,0,0
128,incremental_representation,0.6331106296502047,0.02,1,0,1,0
128,functionally_redundant,0.07368660331255668,0.04,1,0,0,1
129,stable_endpoint_irrelevant,0.03157011727750164,0.24,0,1,0,0
129,incremental_representation,0.682714868740572,0.02,1,0,1,0
129,functionally_redundant,-0.01618688851986277,0.66,0,0,0,1
130,stable_endpoint_irrelevant,-0.07392371224257012,0.94,0,1,0,0
130,incremental_representation,0.6486341493439705,0.02,1,0,1,0
130,functionally_redundant,-0.04995753200372249,0.9,0,0,0,1
131,stable_endpoint_irrelevant,-0.011137668277333437,0.54,0,1,0,0
131,incremental_representation,0.6443967039273722,0.02,1,0,1,0
131,functionally_redundant,-0.019910496782868325,0.54,0,0,0,1
132,stable_endpoint_irrelevant,0.04967470659398755,0.14,0,1,0,0
132,incremental_representation,0.6678472027661202,0.02,1,0,1,0
132,functionally_redundant,-0.04283999396899926,0.76,0,0,0,1
133,stable_endpoint_irrelevant,0.03177263427608214,0.3,0,1,0,0
133,incremental_representation,0.683748224769636,0.02,1,0,1,0
133,functionally_redundant,-0.06822155533655355,0.9,0,0,0,1
134,stable_endpoint_irrelevant,-0.006005434002795539,0.68,0,1,0,0
134,incremental_representation,0.6171598615355076,0.02,1,0,1,0
134,functionally_redundant,-0.03598023077314499,0.76,0,0,0,1
135,stable_endpoint_irrelevant,-0.033272153420030766,0.74,0,1,0,0
135,incremental_representation,0.6253301700867988,0.02,1,0,1,0
135,functionally_redundant,0.012826639814222544,0.46,0,0,0,1
136,stable_endpoint_irrelevant,-0.04748531493119497,0.84,0,1,0,0
136,incremental_representation,0.6715881182840189,0.02,1,0,1,0
136,functionally_redundant,0.017258570867512903,0.32,0,0,0,1
137,stable_endpoint_irrelevant,0.02725207828300554,0.32,0,1,0,0
137,incremental_representation,0.640092636360704,0.02,1,0,1,0
137,functionally_redundant,0.03275949982879329,0.34,0,0,0,1
138,stable_endpoint_irrelevant,0.001846021491389337,0.6,0,1,0,0
138,incremental_representation,0.691823156961936,0.02,1,0,1,0
138,functionally_redundant,-0.04595918240217017,0.82,0,0,0,1
139,stable_endpoint_irrelevant,0.04471966195614982,0.08,0,1,0,0
139,incremental_representation,0.6688786033338712,0.02,1,0,1,0
139,functionally_redundant,-0.08134611855155283,0.92,0,0,0,1
140,stable_endpoint_irrelevant,0.016197677929320628,0.32,0,1,0,0
