dataset,target_subject,token_seed,is_confirm4f,alpha_star,cos_u_S,captured_fraction,u_capture,v_capture
BNCI2014_001,4,0,False,1.0,0.2476,0.465,0.2476,0.4912
BNCI2014_001,4,20260721,True,1.5,0.5267,0.6776,0.5267,0.6226
BNCI2014_001,4,20260722,True,1.0,0.4465,0.6948,0.4465,0.6759
BNCI2014_001,4,20260723,True,2.0,0.6358,0.5763,0.6358,0.3247
BNCI2014_001,4,20260724,True,2.0,0.549,0.5417,0.549,0.8214
BNCI2014_001,4,20260725,True,1.0,0.2408,0.3787,0.2408,0.7276
BNCI2014_001,4,20260726,True,1.5,0.2341,0.3671,0.2341,0.4899
BNCI2014_001,4,20260727,True,1.0,0.3909,0.1597,0.3909,0.1688
BNCI2014_001,4,20260728,True,1.0,0.0848,0.3879,0.0848,0.6622
BNCI2014_001,5,0,False,1.0,0.0924,0.5963,0.0924,0.8497
BNCI2014_001,5,20260721,True,1.5,0.3564,0.5745,0.3564,0.7304
BNCI2014_001,5,20260722,True,1.5,0.5863,0.7416,0.5863,0.8193
BNCI2014_001,5,20260723,True,1.5,0.4355,0.6833,0.4355,0.8324
BNCI2014_001,5,20260724,True,1.0,0.29,0.6397,0.29,0.757
BNCI2014_001,5,20260725,True,1.5,0.5752,0.5975,0.5752,0.7852
BNCI2014_001,5,20260726,True,1.5,0.163,0.2925,0.163,0.2814
BNCI2014_001,5,20260727,True,1.0,0.3336,0.5991,0.3336,0.7872
BNCI2014_001,5,20260728,True,1.5,0.3805,0.6052,0.3805,0.6557
BNCI2014_001,6,0,False,1.5,0.4993,0.5463,0.4993,0.8911
BNCI2014_001,6,20260721,True,1.0,0.6079,0.6659,0.6079,0.9067
BNCI2014_001,6,20260722,True,1.0,0.0036,0.1484,0.0036,0.207
BNCI2014_001,6,20260723,True,1.0,0.0386,0.491,0.0386,0.652
BNCI2014_001,6,20260724,True,2.0,0.128,0.5307,0.128,0.6286
BNCI2014_001,6,20260725,True,1.0,0.286,0.3993,0.286,0.6847
BNCI2014_001,6,20260726,True,1.0,0.3412,0.1282,0.3412,0.2013
BNCI2014_001,6,20260727,True,1.0,0.1636,0.4866,0.1636,0.7456
BNCI2014_001,6,20260728,True,1.0,0.6383,0.5706,0.6383,0.165
BNCI2014_001,7,0,False,1.0,0.1773,0.3023,0.1773,0.4796
BNCI2014_001,7,20260721,True,1.5,0.2214,0.2842,0.2214,0.578
BNCI2014_001,7,20260722,True,1.5,0.6627,0.5427,0.6627,0.6113
BNCI2014_001,7,20260723,True,1.0,0.4961,0.7064,0.4961,0.8695
BNCI2014_001,7,20260724,True,1.0,0.1575,0.2058,0.1575,0.1557
BNCI2014_001,7,20260725,True,1.5,0.2096,0.4452,0.2096,0.5544
BNCI2014_001,7,20260726,True,1.0,0.5951,0.7498,0.5951,0.7352
BNCI2014_001,7,20260727,True,2.0,0.1035,0.3526,0.1035,0.5386
BNCI2014_001,7,20260728,True,1.0,0.1069,0.3164,0.1069,0.3791
BNCI2014_001,8,0,False,1.0,0.2229,0.3536,0.2229,0.2913
BNCI2014_001,8,20260721,True,1.0,0.2134,0.5185,0.2134,0.6818
BNCI2014_001,8,20260722,True,1.0,0.3781,0.5927,0.3781,0.6739
BNCI2014_001,8,20260723,True,1.0,0.2865,0.5959,0.2865,0.8492
BNCI2014_001,8,20260724,True,1.0,0.4114,0.8259,0.4114,0.8127
BNCI2014_001,8,20260725,True,1.5,0.2547,0.5719,0.2547,0.8842
BNCI2014_001,8,20260726,True,1.5,0.0628,0.4908,0.0628,0.7107
BNCI2014_001,8,20260727,True,1.0,0.1377,0.4214,0.1377,0.6172
BNCI2014_001,8,20260728,True,1.0,0.48,0.5302,0.48,0.576
BNCI2014_001,9,0,False,1.0,0.5537,0.6842,0.5537,0.8
BNCI2014_001,9,20260721,True,1.0,0.1826,0.4675,0.1826,0.8022
BNCI2014_001,9,20260722,True,1.0,0.6436,0.8041,0.6436,0.6899
BNCI2014_001,9,20260723,True,1.0,0.0571,0.417,0.0571,0.6051
BNCI2014_001,9,20260724,True,2.0,0.3521,0.7354,0.3521,0.8043
BNCI2014_001,9,20260725,True,1.0,0.0268,0.4486,0.0268,0.6606
BNCI2014_001,9,20260726,True,1.5,0.1491,0.6863,0.1491,0.858
BNCI2014_001,9,20260727,True,1.5,0.4128,0.6121,0.4128,0.8115
BNCI2014_001,9,20260728,True,1.0,0.343,0.4524,0.343,0.6738
BNCI2015_001,10,0,False,1.0,0.5443,0.6449,0.5443,0.883
BNCI2015_001,10,20260721,True,2.0,0.6777,0.8487,0.6777,0.8887
BNCI2015_001,10,20260722,True,1.5,0.7804,0.766,0.7804,0.8762
BNCI2015_001,10,20260723,True,2.0,0.6627,0.8836,0.6627,0.8965
BNCI2015_001,10,20260724,True,1.5,0.7869,0.8593,0.7869,0.9038
BNCI2015_001,10,20260725,True,1.0,0.0463,0.6836,0.0463,0.8708
BNCI2015_001,10,20260726,True,2.0,0.5174,0.4039,0.5174,0.9095
BNCI2015_001,10,20260727,True,1.0,0.4106,0.7341,0.4106,0.8987
BNCI2015_001,10,20260728,True,1.0,0.5784,0.8693,0.5784,0.9303
BNCI2015_001,11,0,False,1.5,0.1378,0.7264,0.1378,0.9468
BNCI2015_001,11,20260721,True,1.5,0.3446,0.6419,0.3446,0.9488
BNCI2015_001,11,20260722,True,1.0,0.2766,0.669,0.2766,0.9399
BNCI2015_001,11,20260723,True,2.0,0.4366,0.8362,0.4366,0.9504
BNCI2015_001,11,20260724,True,2.0,0.1956,0.7325,0.1956,0.9667
BNCI2015_001,11,20260725,True,2.0,0.3241,0.7527,0.3241,0.9409
BNCI2015_001,11,20260726,True,2.0,0.1607,0.5692,0.1607,0.9156
BNCI2015_001,11,20260727,True,1.5,0.4432,0.7462,0.4432,0.9547
BNCI2015_001,11,20260728,True,1.0,0.4064,0.7756,0.4064,0.9443
BNCI2015_001,12,0,False,1.5,0.5321,0.6466,0.5321,0.9302
BNCI2015_001,12,20260721,True,1.5,0.2003,0.5711,0.2003,0.9425
BNCI2015_001,12,20260722,True,1.0,0.3431,0.6488,0.3431,0.9325
BNCI2015_001,12,20260723,True,2.0,0.1954,0.654,0.1954,0.9428
BNCI2015_001,12,20260724,True,1.0,0.1912,0.7022,0.1912,0.973
BNCI2015_001,12,20260725,True,2.0,0.3357,0.793,0.3357,0.9417
BNCI2015_001,12,20260726,True,1.5,0.234,0.6986,0.234,0.9201
BNCI2015_001,12,20260727,True,1.0,0.4169,0.6829,0.4169,0.9518
BNCI2015_001,12,20260728,True,1.5,0.2676,0.624,0.2676,0.9238
BNCI2015_001,1,0,False,1.5,0.8514,0.8764,0.8514,0.8524
BNCI2015_001,1,20260721,True,1.0,0.442,0.6467,0.442,0.8409
BNCI2015_001,1,20260722,True,1.0,0.0423,0.621,0.0423,0.8104
BNCI2015_001,1,20260723,True,1.0,0.0372,0.5109,0.0372,0.8023
BNCI2015_001,1,20260724,True,1.0,0.5667,0.7439,0.5667,0.8395
BNCI2015_001,1,20260725,True,1.0,0.7231,0.8204,0.7231,0.8392
BNCI2015_001,1,20260726,True,1.5,0.0286,0.5307,0.0286,0.8236
BNCI2015_001,1,20260727,True,1.5,0.4469,0.7414,0.4469,0.8401
BNCI2015_001,1,20260728,True,1.5,0.2014,0.407,0.2014,0.794
BNCI2015_001,2,0,False,1.0,0.6638,0.5855,0.6638,0.7465
BNCI2015_001,2,20260721,True,1.5,0.2345,0.3465,0.2345,0.6976
BNCI2015_001,2,20260722,True,1.5,0.6242,0.4986,0.6242,0.6508
BNCI2015_001,2,20260723,True,1.5,0.7488,0.5152,0.7488,0.7327
BNCI2015_001,2,20260724,True,1.0,0.0934,0.4202,0.0934,0.6748
BNCI2015_001,2,20260725,True,1.5,0.5488,0.3598,0.5488,0.6973
BNCI2015_001,2,20260726,True,1.5,0.7806,0.7159,0.7806,0.7862
BNCI2015_001,2,20260727,True,1.0,0.614,0.8127,0.614,0.7691
BNCI2015_001,2,20260728,True,1.0,0.41,0.6138,0.41,0.7863
BNCI2015_001,3,0,False,1.0,0.6039,0.8163,0.6039,0.906
BNCI2015_001,3,20260721,True,1.5,0.5447,0.8462,0.5447,0.9338
BNCI2015_001,3,20260722,True,1.0,0.738,0.8215,0.738,0.956
BNCI2015_001,3,20260723,True,1.0,0.5854,0.817,0.5854,0.9322
BNCI2015_001,3,20260724,True,2.0,0.5838,0.7669,0.5838,0.9556
BNCI2015_001,3,20260725,True,1.5,0.6549,0.8686,0.6549,0.9329
BNCI2015_001,3,20260726,True,1.5,0.0135,0.7153,0.0135,0.9136
BNCI2015_001,3,20260727,True,1.0,0.7454,0.9143,0.7454,0.9233
BNCI2015_001,3,20260728,True,1.0,0.1861,0.6147,0.1861,0.9546
BNCI2015_001,4,0,False,1.0,0.4194,0.7489,0.4194,0.8658
BNCI2015_001,4,20260721,True,1.5,0.7077,0.7489,0.7077,0.919
BNCI2015_001,4,20260722,True,1.5,0.3905,0.8173,0.3905,0.8585
BNCI2015_001,4,20260723,True,1.0,0.6568,0.7569,0.6568,0.9
BNCI2015_001,4,20260724,True,2.0,0.4734,0.8383,0.4734,0.9397
BNCI2015_001,4,20260725,True,1.0,0.4366,0.781,0.4366,0.959
BNCI2015_001,4,20260726,True,2.0,0.4962,0.5326,0.4962,0.9187
BNCI2015_001,4,20260727,True,1.5,0.4651,0.8013,0.4651,0.9169
BNCI2015_001,4,20260728,True,2.0,0.5517,0.8026,0.5517,0.9013
BNCI2015_001,5,0,False,1.0,0.5244,0.8409,0.5244,0.87
BNCI2015_001,5,20260721,True,2.0,0.6564,0.7697,0.6564,0.9329
BNCI2015_001,5,20260722,True,1.5,0.6347,0.8515,0.6347,0.9549
BNCI2015_001,5,20260723,True,1.5,0.4538,0.6734,0.4538,0.9158
BNCI2015_001,5,20260724,True,1.5,0.3271,0.4993,0.3271,0.9523
BNCI2015_001,5,20260725,True,1.0,0.5944,0.8807,0.5944,0.9158
BNCI2015_001,5,20260726,True,1.5,0.7816,0.8878,0.7816,0.9163
BNCI2015_001,5,20260727,True,1.5,0.5212,0.8259,0.5212,0.9234
BNCI2015_001,5,20260728,True,1.5,0.823,0.8641,0.823,0.955
BNCI2015_001,6,0,False,1.0,0.8476,0.8323,0.8476,0.8918
BNCI2015_001,6,20260721,True,2.0,0.3864,0.6049,0.3864,0.9451
BNCI2015_001,6,20260722,True,1.5,0.6046,0.7912,0.6046,0.9203
BNCI2015_001,6,20260723,True,2.0,0.3859,0.8193,0.3859,0.9485
BNCI2015_001,6,20260724,True,1.0,0.3502,0.708,0.3502,0.9325
BNCI2015_001,6,20260725,True,1.0,0.2322,0.77,0.2322,0.9331
BNCI2015_001,6,20260726,True,1.0,0.3628,0.4637,0.3628,0.9201
BNCI2015_001,6,20260727,True,1.0,0.6864,0.7238,0.6864,0.9313
BNCI2015_001,6,20260728,True,2.0,0.4721,0.812,0.4721,0.9644
BNCI2015_001,7,0,False,1.0,0.1726,0.4621,0.1726,0.8472
BNCI2015_001,7,20260721,True,1.5,0.8351,0.8851,0.8351,0.9361
BNCI2015_001,7,20260722,True,2.0,0.4495,0.4847,0.4495,0.8949
BNCI2015_001,7,20260723,True,2.0,0.5624,0.79,0.5624,0.92
BNCI2015_001,7,20260724,True,1.0,0.7564,0.8755,0.7564,0.9468
BNCI2015_001,7,20260725,True,1.0,0.8205,0.9022,0.8205,0.919
BNCI2015_001,7,20260726,True,2.0,0.3052,0.5253,0.3052,0.9208
BNCI2015_001,7,20260727,True,2.0,0.4559,0.8014,0.4559,0.9466
BNCI2015_001,7,20260728,True,1.5,0.7922,0.832,0.7922,0.9576
BNCI2015_001,8,0,False,1.0,0.0939,0.6136,0.0939,0.798
BNCI2015_001,8,20260721,True,2.0,0.7458,0.8354,0.7458,0.879
BNCI2015_001,8,20260722,True,1.0,0.1185,0.6404,0.1185,0.7925
BNCI2015_001,8,20260723,True,1.5,0.3722,0.4295,0.3722,0.8488
BNCI2015_001,8,20260724,True,1.0,0.1972,0.5463,0.1972,0.8677
BNCI2015_001,8,20260725,True,1.5,0.1501,0.5581,0.1501,0.8916
BNCI2015_001,8,20260726,True,1.0,0.7186,0.7538,0.7186,0.8053
BNCI2015_001,8,20260727,True,1.5,0.106,0.5782,0.106,0.8255
BNCI2015_001,8,20260728,True,1.5,0.7703,0.7973,0.7703,0.9137
BNCI2015_001,9,0,False,2.0,0.2382,0.4987,0.2382,0.9241
BNCI2015_001,9,20260721,True,2.0,0.553,0.7041,0.553,0.9171
BNCI2015_001,9,20260722,True,1.0,0.0103,0.6951,0.0103,0.9535
BNCI2015_001,9,20260723,True,2.0,0.2972,0.7591,0.2972,0.9189
BNCI2015_001,9,20260724,True,1.5,0.0221,0.6306,0.0221,0.9275
BNCI2015_001,9,20260725,True,2.0,0.2534,0.7273,0.2534,0.9398
BNCI2015_001,9,20260726,True,1.0,0.0824,0.7087,0.0824,0.904
BNCI2015_001,9,20260727,True,1.5,0.7037,0.7221,0.7037,0.9246
BNCI2015_001,9,20260728,True,2.0,0.4801,0.6472,0.4801,0.9234
