dataset,target_subject,token_seed,is_confirm4f,ncls,alpha_star,stress_unmet,k_star,lam_star,margin,scale,c_target,sel_netted_rec,sel_clean_drop
BNCI2015_001,12,20260728,True,2,1.5,False,2,1.0,3.6324,3.7951,1,1.0786,-0.0842
BNCI2015_001,1,0,False,2,1.5,False,4,1.0,0.2,1.723,0,0.4036,-0.04
BNCI2015_001,1,20260721,True,2,1.0,False,4,1.0,0.2,1.647,0,0.9135,-0.0311
BNCI2015_001,1,20260722,True,2,1.0,False,1,1.0,0.2,1.7258,0,2.1429,-0.0219
BNCI2015_001,1,20260723,True,2,1.0,False,1,1.0,0.2,1.6947,0,0.9322,-0.0053
BNCI2015_001,1,20260724,True,2,1.0,False,4,1.0,0.2,1.6872,1,1.0238,-0.0167
BNCI2015_001,1,20260725,True,2,1.0,False,4,1.0,0.2,1.736,0,0.5144,-0.0392
BNCI2015_001,1,20260726,True,2,1.5,False,1,1.0,0.2,1.5525,1,1.7015,0.0006
BNCI2015_001,1,20260727,True,2,1.5,False,2,1.0,0.2,1.6483,0,1.0077,-0.0042
BNCI2015_001,1,20260728,True,2,1.5,False,1,1.0,0.2,1.647,0,0.8771,0.0058
BNCI2015_001,2,0,False,2,1.0,False,4,1.0,0.2,3.5109,1,1.1304,-0.0067
BNCI2015_001,2,20260721,True,2,1.5,False,1,0.5,0.2,3.447,0,1.3324,-0.0017
BNCI2015_001,2,20260722,True,2,1.5,False,4,1.0,0.2,3.3407,0,0.6915,-0.0053
BNCI2015_001,2,20260723,True,2,1.5,False,4,0.5,0.2,3.104,0,0.4894,-0.0003
BNCI2015_001,2,20260724,True,2,1.0,False,1,1.0,0.2,3.3079,0,1.135,-0.0106
BNCI2015_001,2,20260725,True,2,1.5,False,4,0.5,0.2,3.1678,0,0.9324,-0.0033
BNCI2015_001,2,20260726,True,2,1.5,False,4,1.0,0.2,3.1541,0,0.5233,-0.0014
BNCI2015_001,2,20260727,True,2,1.0,False,4,1.0,0.2,3.3411,0,0.7086,-0.01
BNCI2015_001,2,20260728,True,2,1.0,False,2,1.0,0.2,3.3247,0,0.8598,-0.0031
BNCI2015_001,3,0,False,2,1.0,False,4,1.0,0.8078,2.3851,0,1.1315,0.0078
BNCI2015_001,3,20260721,True,2,1.5,False,2,1.0,0.8078,2.6508,1,0.7707,0.0194
BNCI2015_001,3,20260722,True,2,1.0,False,4,1.0,0.8078,2.4265,1,0.9246,-0.0175
BNCI2015_001,3,20260723,True,2,1.0,False,4,1.0,0.8078,2.3844,1,0.8529,-0.0014
BNCI2015_001,3,20260724,True,2,2.0,False,4,1.0,0.8078,2.4089,1,0.8571,-0.0103
BNCI2015_001,3,20260725,True,2,1.5,False,4,1.0,0.8078,2.4331,1,0.5657,0.0036
BNCI2015_001,3,20260726,True,2,1.5,False,1,1.0,0.8078,2.3547,0,0.5071,0.0014
BNCI2015_001,3,20260727,True,2,1.0,False,4,1.0,0.8078,2.2628,1,1.1854,-0.0158
BNCI2015_001,3,20260728,True,2,1.0,False,2,1.0,0.8078,2.3024,0,0.8536,0.0022
BNCI2015_001,4,0,False,2,1.0,False,2,1.0,0.4236,1.8057,1,0.9761,-0.0158
BNCI2015_001,4,20260721,True,2,1.5,False,4,1.0,0.4236,2.0653,1,0.693,-0.0042
BNCI2015_001,4,20260722,True,2,1.5,False,1,1.0,0.4236,1.8883,0,1.4036,-0.0478
BNCI2015_001,4,20260723,True,2,1.0,False,4,1.0,0.4236,1.8879,0,0.6204,-0.0414
BNCI2015_001,4,20260724,True,2,2.0,True,4,1.0,0.4236,1.9175,1,0.9399,0.0067
BNCI2015_001,4,20260725,True,2,1.0,False,2,1.0,0.4236,1.9273,1,0.9641,0.0083
BNCI2015_001,4,20260726,True,2,2.0,True,4,1.0,0.4236,1.9152,0,0.7025,0.0089
BNCI2015_001,4,20260727,True,2,1.5,False,4,1.0,0.4236,1.6767,0,1.8741,-0.0256
BNCI2015_001,4,20260728,True,2,2.0,False,4,1.0,0.4236,1.8036,1,0.7404,-0.0064
BNCI2015_001,5,0,False,2,1.0,False,1,1.0,0.6372,2.2116,1,0.8685,-0.0014
BNCI2015_001,5,20260721,True,2,2.0,False,2,1.0,0.6372,2.6079,1,0.6104,-0.0178
BNCI2015_001,5,20260722,True,2,1.5,False,4,1.0,0.6372,2.3177,1,0.8128,-0.0089
BNCI2015_001,5,20260723,True,2,1.5,False,2,0.5,0.6372,2.3361,1,0.3313,-0.0083
BNCI2015_001,5,20260724,True,2,1.5,False,2,1.0,0.6372,2.3439,1,-0.6074,-0.0222
BNCI2015_001,5,20260725,True,2,1.0,False,4,1.0,0.6372,2.4049,0,0.6084,0.0053
BNCI2015_001,5,20260726,True,2,1.5,False,2,1.0,0.6372,2.2818,0,-1.5932,-0.0469
BNCI2015_001,5,20260727,True,2,1.5,False,4,0.5,0.6372,2.0904,1,-1.1371,-0.0006
BNCI2015_001,5,20260728,True,2,1.5,False,4,1.0,0.6372,2.2686,0,0.1933,-0.0039
BNCI2015_001,6,0,False,2,1.0,False,4,0.5,1.1581,2.0786,1,0.2982,0.0003
BNCI2015_001,6,20260721,True,2,2.0,True,2,1.0,1.1581,2.3161,1,0.8785,0.0
BNCI2015_001,6,20260722,True,2,1.5,False,2,1.0,1.1581,2.1219,0,0.9496,0.0039
BNCI2015_001,6,20260723,True,2,2.0,True,4,1.0,1.1581,2.1113,1,0.8694,-0.0161
BNCI2015_001,6,20260724,True,2,1.0,False,2,1.0,1.1581,2.1647,0,0.9311,0.0558
BNCI2015_001,6,20260725,True,2,1.0,False,1,1.0,1.1581,2.1513,0,0.9354,-0.0281
BNCI2015_001,6,20260726,True,2,1.0,False,2,1.0,1.1581,2.101,0,0.9542,-0.0144
BNCI2015_001,6,20260727,True,2,1.0,False,4,0.5,1.1581,1.964,0,0.1978,0.0044
BNCI2015_001,6,20260728,True,2,2.0,False,4,1.0,1.1581,2.0562,0,1.0196,0.0017
BNCI2015_001,7,0,False,2,1.0,False,1,0.5,0.729,2.6849,0,0.487,0.0083
BNCI2015_001,7,20260721,True,2,1.5,False,4,0.5,0.729,3.0929,1,0.4753,0.0064
BNCI2015_001,7,20260722,True,2,2.0,True,2,1.0,0.729,2.7907,0,0.9067,0.0036
BNCI2015_001,7,20260723,True,2,2.0,False,2,1.0,0.729,2.8386,1,0.8352,0.0494
BNCI2015_001,7,20260724,True,2,1.0,False,4,0.5,0.729,2.8509,1,0.371,0.0
BNCI2015_001,7,20260725,True,2,1.0,False,4,0.5,0.729,2.8873,0,0.3178,0.0075
BNCI2015_001,7,20260726,True,2,2.0,True,2,0.5,0.729,2.7976,0,0.4337,0.005
BNCI2015_001,7,20260727,True,2,2.0,False,4,1.0,0.729,2.5311,0,0.7216,0.0014
BNCI2015_001,7,20260728,True,2,1.5,False,4,0.5,0.729,2.7636,0,0.2882,0.0053
BNCI2015_001,8,0,False,2,1.0,False,2,1.0,0.2917,1.654,0,2.8946,-0.0233
BNCI2015_001,8,20260721,True,2,2.0,True,4,0.5,0.2917,1.7819,1,1.6077,-0.0258
BNCI2015_001,8,20260722,True,2,1.0,False,1,1.0,0.2917,1.6194,0,1.214,-0.0219
BNCI2015_001,8,20260723,True,2,1.5,False,4,1.0,0.2917,1.5634,1,0.8267,-0.0192
BNCI2015_001,8,20260724,True,2,1.0,False,1,0.5,0.2917,1.6864,1,2.1032,0.0081
BNCI2015_001,8,20260725,True,2,1.5,False,1,1.0,0.2917,1.6276,1,1.0647,-0.0186
BNCI2015_001,8,20260726,True,2,1.0,False,4,0.5,0.2917,1.5622,1,1.5623,0.0028
BNCI2015_001,8,20260727,True,2,1.5,False,1,1.0,0.2917,1.5712,1,0.9388,-0.0025
BNCI2015_001,8,20260728,True,2,1.5,False,4,1.0,0.2917,1.6577,0,0.6102,-0.0289
BNCI2015_001,9,0,False,2,2.0,False,1,0.5,1.2353,2.6585,1,-0.0068,0.0033
BNCI2015_001,9,20260721,True,2,2.0,True,2,0.5,1.2353,2.8651,0,-0.0057,-0.0042
BNCI2015_001,9,20260722,True,2,1.0,False,1,1.0,1.2353,2.6796,1,0.7063,-0.0222
BNCI2015_001,9,20260723,True,2,2.0,True,2,1.0,1.2353,2.7252,1,0.582,-0.0139
BNCI2015_001,9,20260724,True,2,1.5,False,1,1.0,1.2353,2.6622,0,1.0794,0.0075
BNCI2015_001,9,20260725,True,2,2.0,True,2,1.0,1.2353,2.6738,1,0.8306,-0.0064
BNCI2015_001,9,20260726,True,2,1.0,False,1,1.0,1.2353,2.6942,1,0.9183,0.0081
BNCI2015_001,9,20260727,True,2,1.5,False,4,1.0,1.2353,2.481,1,0.8672,0.0028
BNCI2015_001,9,20260728,True,2,2.0,True,2,1.0,1.2353,2.6376,1,-0.1223,-0.0211
