dataset,target_subject,token_seed,E3_inj_bacc,E3_cln_bacc,E3_raw_rec,E3_netted_rec,ERASE_inj_bacc,ERASE_cln_bacc,ERASE_raw_rec,ERASE_netted_rec
BNCI2014_001,3,20260723,0.4358,0.4844,0.0,-0.037,0.3646,0.4045,-1.5185,0.1481
BNCI2014_001,3,20260724,0.4601,0.4757,0.1333,0.4,0.3767,0.3941,-3.0667,0.3333
BNCI2014_001,3,20260725,0.4635,0.4792,0.0,0.1818,0.4253,0.441,-2.0,0.1818
BNCI2014_001,3,20260726,0.4983,0.4826,-0.0,-0.0,0.4688,0.4549,1.8889,0.1111
BNCI2014_001,3,20260727,0.4253,0.4774,0.2326,0.3023,0.3854,0.467,-0.3023,-0.093
BNCI2014_001,3,20260728,0.5052,0.4844,0.1875,0.25,0.3941,0.3906,4.1875,0.875
BNCI2014_001,4,20260721,0.3247,0.3524,0.3158,0.1579,0.2969,0.3507,-0.5263,-0.6316
BNCI2014_001,4,20260722,0.2622,0.3507,0.0,-0.0408,0.3056,0.3438,0.5102,0.551
BNCI2014_001,4,20260723,0.2587,0.3472,0.0556,0.0556,0.25,0.3559,-0.037,-0.1296
BNCI2014_001,4,20260724,0.3056,0.3368,-0.0435,0.2174,0.2951,0.3142,-0.3043,0.5217
BNCI2014_001,4,20260725,0.3976,0.3524,0.0333,0.1333,0.3316,0.3229,1.3,0.8333
BNCI2014_001,4,20260726,0.3003,0.3524,0.3721,0.3023,0.2708,0.3264,-0.0233,0.2558
BNCI2014_001,4,20260727,0.3177,0.3542,0.0,-0.2353,0.2899,0.3438,-0.9412,-0.8235
BNCI2014_001,4,20260728,0.3715,0.3524,0.0667,0.2667,0.3385,0.3351,1.3333,0.8667
BNCI2014_001,5,20260721,0.2396,0.2483,0.0,0.375,0.2569,0.2708,1.25,0.0
BNCI2014_001,5,20260722,0.2552,0.2517,1.1667,1.3333,0.2552,0.2587,1.1667,0.6667
BNCI2014_001,5,20260723,0.2517,0.2465,,,0.2778,0.2743,,
BNCI2014_001,5,20260724,0.2483,0.2483,-0.5,1.0,0.2691,0.2674,5.5,1.5
BNCI2014_001,5,20260725,0.2552,0.2552,0.5,1.0,0.2691,0.2517,-3.5,-4.0
BNCI2014_001,5,20260726,0.2604,0.2604,-1.0,1.0,0.2674,0.2517,-3.0,-3.5
BNCI2014_001,5,20260727,0.2535,0.2604,1.0,-0.3333,0.2656,0.2743,3.3333,-0.6667
BNCI2014_001,5,20260728,0.2483,0.2674,2.5,6.5,0.2604,0.2691,-1.0,3.5
BNCI2014_001,6,20260721,0.2882,0.3003,1.3333,-1.3333,0.2726,0.276,-1.6667,0.3333
BNCI2014_001,6,20260722,0.2865,0.2865,1.0,1.0,0.2847,0.2743,1.5,-2.0
BNCI2014_001,6,20260723,0.2917,0.2847,0.0,-0.3333,0.2743,0.2812,3.3333,2.3333
BNCI2014_001,6,20260724,0.283,0.2899,0.7143,0.4286,0.2865,0.276,1.0,1.8571
BNCI2014_001,6,20260725,0.2726,0.2899,-0.6,-1.0,0.2639,0.2674,-1.6,0.6
BNCI2014_001,6,20260726,0.2934,0.2865,-0.3333,-0.3333,0.2847,0.2778,1.3333,-0.3333
BNCI2014_001,6,20260727,0.2951,0.2882,-0.0,0.2,0.2639,0.2569,3.6,0.2
BNCI2014_001,6,20260728,0.2951,0.2899,-0.25,0.25,0.2865,0.283,1.0,0.5
BNCI2014_001,7,20260721,0.2899,0.2569,-0.0,-0.0556,0.2951,0.2812,-0.1667,0.5556
BNCI2014_001,7,20260722,0.2847,0.2604,-4.0,-3.6667,0.2639,0.2639,-0.0,1.0
BNCI2014_001,7,20260723,0.2865,0.2569,-0.0667,-0.1333,0.2656,0.2656,0.7333,1.0
BNCI2014_001,7,20260724,0.2795,0.2587,0.0769,0.0769,0.2865,0.2674,-0.2308,0.1538
BNCI2014_001,7,20260725,0.2552,0.2604,0.0,-0.5,0.2517,0.2726,-1.0,-5.0
BNCI2014_001,7,20260726,0.2604,0.2604,1.5,1.0,0.2569,0.2674,0.5,-2.0
BNCI2014_001,7,20260727,0.2517,0.2587,0.4286,0.4286,0.25,0.2622,0.2857,0.0
BNCI2014_001,7,20260728,0.2743,0.2587,-0.125,-0.125,0.2674,0.2726,0.375,1.375
BNCI2014_001,8,20260721,0.4983,0.4896,0.8,0.0,0.4271,0.4219,9.0,0.4
BNCI2014_001,8,20260722,0.5122,0.4913,-0.0,-0.3333,0.4705,0.4566,2.6667,0.1111
BNCI2014_001,8,20260723,0.4549,0.4983,0.0,-0.0417,0.4236,0.4306,-0.75,0.8333
BNCI2014_001,8,20260724,0.4566,0.4965,0.0,0.0,0.4705,0.4757,0.3478,0.8696
BNCI2014_001,8,20260725,0.4375,0.4965,0.15,0.15,0.3941,0.4115,-0.475,0.75
BNCI2014_001,8,20260726,0.526,0.5139,-1.125,0.125,0.4809,0.474,2.125,0.5
BNCI2014_001,8,20260727,0.5017,0.4931,-0.5,-1.5,0.4774,0.4653,6.5,-2.5
BNCI2014_001,8,20260728,0.5139,0.4931,-0.25,-0.5,0.4444,0.4479,4.75,1.25
BNCI2014_001,9,20260721,0.4149,0.4201,3.0,-2.0,0.3212,0.3316,-51.0,-5.0
BNCI2014_001,9,20260722,0.3767,0.4149,-0.1111,-0.2222,0.3281,0.3299,-1.6667,0.9444
BNCI2014_001,9,20260723,0.4184,0.4115,0.3333,0.3333,0.3264,0.3368,9.1667,2.0
BNCI2014_001,9,20260724,0.4184,0.4184,-0.3333,1.0,0.3385,0.3351,15.0,0.3333
BNCI2014_001,9,20260725,0.4219,0.4201,-0.2,0.8,0.3038,0.3073,13.4,1.4
BNCI2014_001,9,20260726,0.4149,0.4167,0.5,1.25,0.316,0.3056,14.75,-0.5
BNCI2014_001,9,20260727,0.4184,0.4115,-0.3333,-0.3333,0.3194,0.2917,18.6667,-4.3333
BNCI2014_001,9,20260728,0.3993,0.4253,0.6111,0.1667,0.3073,0.3021,-2.3333,1.1667
BNCI2015_001,10,20260721,0.5,0.6167,0.0,0.0,0.505,0.5117,0.0429,0.9429
BNCI2015_001,10,20260722,0.5017,0.6083,0.0143,0.0857,0.5783,0.5117,0.6714,1.5714
BNCI2015_001,10,20260723,0.5,0.615,0.0,0.0143,0.505,0.52,0.0429,0.8714
BNCI2015_001,10,20260724,0.5,0.6167,0.0,0.0,0.5733,0.51,0.6286,1.5429
BNCI2015_001,10,20260725,0.5667,0.6183,-0.0714,-0.1071,0.505,0.5217,-1.3929,0.6429
BNCI2015_001,10,20260726,0.505,0.615,0.0429,0.0571,0.5583,0.525,0.5,1.2857
BNCI2015_001,10,20260727,0.5933,0.6,0.7544,0.9298,0.5883,0.5467,0.7018,1.4386
BNCI2015_001,10,20260728,0.5717,0.6,0.4375,0.6458,0.52,0.5333,-0.2083,0.8333
BNCI2015_001,11,20260721,0.5433,0.5033,0.2222,0.1111,0.505,0.5367,1.0741,1.7037
BNCI2015_001,11,20260722,0.5183,0.5033,-0.2,-0.8,0.5367,0.5433,-2.4,1.8
BNCI2015_001,11,20260723,0.56,0.5033,-0.1071,-0.2143,0.55,0.5417,0.1071,0.8214
BNCI2015_001,11,20260724,0.495,0.505,-1.0,-0.5,0.515,0.5217,2.0,-0.0
BNCI2015_001,11,20260725,0.495,0.505,-0.6,-0.2,0.535,0.5267,4.2,2.0
BNCI2015_001,11,20260726,0.56,0.5067,-0.1481,-0.1852,0.52,0.515,0.7407,0.8889
BNCI2015_001,11,20260727,0.5033,0.5017,1.75,0.75,0.5033,0.525,1.75,4.25
BNCI2015_001,11,20260728,0.505,0.5067,1.2857,1.1429,0.52,0.5333,-0.0,2.1429
BNCI2015_001,12,20260721,0.5025,0.525,0.1818,0.1818,0.5025,0.5225,0.1818,0.2727
BNCI2015_001,12,20260722,0.51,0.525,0.25,0.25,0.5425,0.5175,1.875,2.25
BNCI2015_001,12,20260723,0.505,0.5325,-0.6,-1.2,0.5625,0.5175,4.0,4.6
BNCI2015_001,12,20260724,0.5075,0.525,0.0,0.0,0.5125,0.51,0.2857,1.1429
BNCI2015_001,12,20260725,0.51,0.5325,0.3333,0.0,0.5225,0.51,0.8889,1.5556
BNCI2015_001,12,20260726,0.51,0.535,0.0,-0.6667,0.505,0.51,-0.3333,0.6667
BNCI2015_001,12,20260727,0.5675,0.5325,6.6667,5.6667,0.545,0.5175,3.6667,4.6667
BNCI2015_001,12,20260728,0.51,0.5275,0.25,0.125,0.5075,0.5,0.125,1.375
BNCI2015_001,1,20260721,0.5825,0.5925,0.2,0.2,0.52,0.52,-4.8,1.0
BNCI2015_001,1,20260722,0.59,0.59,0.8333,1.0,0.525,0.5275,-3.5,0.8333
BNCI2015_001,1,20260723,0.575,0.5925,0.125,0.125,0.545,0.5375,-1.375,1.375
BNCI2015_001,1,20260724,0.665,0.5925,-0.16,-0.16,0.525,0.52,2.08,0.92
BNCI2015_001,1,20260725,0.5525,0.5875,0.0,0.125,0.5525,0.545,0.0,1.1875
BNCI2015_001,1,20260726,0.545,0.5875,-0.2667,-0.1333,0.54,0.5175,-0.4,1.6
BNCI2015_001,1,20260727,0.55,0.5925,0.15,0.15,0.5275,0.5175,-0.3,1.2
BNCI2015_001,1,20260728,0.55,0.5925,-0.0625,-0.0625,0.5425,0.54,-0.25,1.0625
BNCI2015_001,2,20260721,0.5875,0.6975,0.0,0.0,0.57,0.5825,-0.1591,0.8864
BNCI2015_001,2,20260722,0.575,0.695,0.0577,0.0769,0.59,0.5725,0.1731,1.1346
BNCI2015_001,2,20260723,0.64,0.6975,0.1154,0.1154,0.57,0.57,-0.9615,1.0
BNCI2015_001,2,20260724,0.645,0.6975,0.087,0.087,0.5975,0.575,-0.7391,1.3913
BNCI2015_001,2,20260725,0.665,0.695,-0.1818,-0.0909,0.59,0.5825,-2.9091,1.2727
BNCI2015_001,2,20260726,0.5875,0.6975,-1.0,-1.0,0.62,0.61,-0.4091,1.1818
BNCI2015_001,2,20260727,0.605,0.695,0.2128,0.234,0.5925,0.59,0.1064,1.0213
BNCI2015_001,2,20260728,0.6325,0.6975,-0.04,-0.04,0.575,0.56,-0.96,1.24
BNCI2015_001,3,20260721,0.525,0.7125,1.3636,7.8182,0.5025,0.5025,2.1818,1.0
BNCI2015_001,3,20260722,0.8275,0.5625,-0.0,0.094,0.4925,0.53,1.1453,1.1282
BNCI2015_001,3,20260723,0.8275,0.6175,0.0085,0.2881,0.6475,0.65,0.6186,1.0085
BNCI2015_001,3,20260724,0.5525,0.5525,-0.1667,1.0,0.5025,0.56,3.1667,4.8333
BNCI2015_001,3,20260725,0.7,0.5625,0.25,0.375,0.68,0.685,0.3409,1.0227
BNCI2015_001,3,20260726,0.5,0.535,0.0,0.0,0.655,0.7025,4.4286,-0.3571
BNCI2015_001,3,20260727,0.83,0.615,-0.0351,0.2456,0.6075,0.57,0.7456,0.8684
BNCI2015_001,3,20260728,0.5,0.56,0.0,-0.7143,0.6575,0.615,4.5,2.2143
BNCI2015_001,4,20260721,0.5475,0.7575,0.1075,0.0968,0.515,0.5425,-0.0323,0.8817
BNCI2015_001,4,20260722,0.5475,0.755,0.0119,0.0119,0.5525,0.5875,0.0357,0.8333
BNCI2015_001,4,20260723,0.795,0.755,-0.7778,-0.7778,0.5275,0.5425,11.1111,1.6667
BNCI2015_001,4,20260724,0.52,0.755,0.0505,0.0505,0.5175,0.5175,0.0404,1.0
BNCI2015_001,4,20260725,0.58,0.755,0.0,0.0,0.5125,0.51,-0.3857,1.0143
BNCI2015_001,4,20260726,0.655,0.76,0.375,0.3438,0.5975,0.55,0.0156,1.2969
BNCI2015_001,4,20260727,0.675,0.76,0.3043,0.2609,0.5275,0.5375,-0.9783,0.913
BNCI2015_001,4,20260728,0.52,0.755,0.0208,0.0208,0.5375,0.55,0.0937,0.9479
BNCI2015_001,5,20260721,0.505,0.7225,0.033,0.044,0.5225,0.5175,0.1099,1.022
BNCI2015_001,5,20260722,0.51,0.715,0.0227,0.0682,0.52,0.52,0.0682,1.0
BNCI2015_001,5,20260723,0.5125,0.7225,0.0,0.0118,0.5225,0.515,0.0471,1.0353
BNCI2015_001,5,20260724,0.51,0.7225,0.0,0.0116,0.515,0.52,0.0233,0.9767
BNCI2015_001,5,20260725,0.5025,0.7225,0.0,0.0112,0.5225,0.5025,0.0899,1.0899
BNCI2015_001,5,20260726,0.5,0.7325,0.0,-0.0333,0.5925,0.54,0.4111,1.2333
BNCI2015_001,5,20260727,0.505,0.7125,0.0,0.0568,0.5275,0.5175,0.1023,1.0455
BNCI2015_001,5,20260728,0.505,0.7125,0.0,0.0568,0.52,0.515,0.0682,1.0227
BNCI2015_001,6,20260721,0.52,0.625,0.0,0.0,0.5225,0.545,0.0238,0.7857
BNCI2015_001,6,20260722,0.54,0.625,0.2444,0.2444,0.5175,0.5475,0.0444,0.7333
BNCI2015_001,6,20260723,0.5225,0.6275,-0.0789,-0.1053,0.5425,0.54,0.1316,1.0263
BNCI2015_001,6,20260724,0.6175,0.63,0.7273,0.5455,0.5475,0.5325,-1.8182,1.5455
BNCI2015_001,6,20260725,0.5775,0.625,-0.2667,-0.2667,0.54,0.535,-1.2667,1.1333
BNCI2015_001,6,20260726,0.6275,0.625,0.5,0.5,0.515,0.575,23.0,13.0
BNCI2015_001,6,20260727,0.6325,0.625,1.75,1.75,0.5575,0.5425,-5.75,2.5
BNCI2015_001,6,20260728,0.505,0.6275,0.0204,0.0,0.5475,0.5425,0.3673,1.0408
BNCI2015_001,7,20260721,0.48,0.485,-1.0,-1.0,0.485,0.4875,1.0,0.0
BNCI2015_001,7,20260722,0.5,0.4825,-0.0,-0.1667,0.4925,0.485,0.5,0.5
BNCI2015_001,7,20260723,0.485,0.485,1.0,1.0,0.4825,0.485,2.0,2.0
BNCI2015_001,7,20260724,0.4825,0.485,0.5,0.5,0.49,0.485,2.0,2.0
BNCI2015_001,7,20260725,0.6,0.4825,-0.2432,-0.2703,0.4925,0.485,0.9189,0.9189
BNCI2015_001,7,20260726,0.5,0.4825,-0.0,-0.1667,0.5075,0.4825,-0.5,-0.6667
BNCI2015_001,7,20260727,0.5025,0.485,-0.1667,-0.1667,0.4875,0.4825,0.8333,0.6667
BNCI2015_001,7,20260728,0.525,0.485,-0.0,-0.0,0.4925,0.485,0.8125,0.8125
BNCI2015_001,8,20260721,0.4983,0.5017,0.6,0.6,0.5117,0.5033,2.2,2.0
BNCI2015_001,8,20260722,0.555,0.5017,0.1351,0.1351,0.5233,0.5067,0.6486,0.7297
BNCI2015_001,8,20260723,0.5,0.5117,,,0.5017,0.5017,,
BNCI2015_001,8,20260724,0.5017,0.5083,,,0.495,0.5217,,
BNCI2015_001,8,20260725,0.5017,0.5017,,,0.5083,0.5017,,
BNCI2015_001,8,20260726,0.505,0.5083,-0.0,2.0,0.5,0.51,1.5,4.0
BNCI2015_001,8,20260727,0.5,0.5067,0.5,-1.0,0.5033,0.5017,1.5,1.5
BNCI2015_001,8,20260728,0.5567,0.5117,0.2326,0.3721,0.52,0.5,0.7442,0.7209
BNCI2015_001,9,20260721,0.5,0.6167,0.0,0.0,0.505,0.5033,0.0429,1.0143
BNCI2015_001,9,20260722,0.5,0.6167,0.0,0.0,0.5133,0.505,0.1143,1.0714
BNCI2015_001,9,20260723,0.5,0.6167,0.0,0.0,0.515,0.5583,0.1286,0.6286
BNCI2015_001,9,20260724,0.5,0.6167,0.0,0.0,0.5167,0.5,0.1429,1.1429
BNCI2015_001,9,20260725,0.5,0.615,0.0,0.0143,0.5067,0.5433,0.0571,0.6857
BNCI2015_001,9,20260726,0.5,0.6167,0.0,0.0,0.5617,0.5833,0.5286,0.8143
BNCI2015_001,9,20260727,0.5,0.62,0.0,-0.0286,0.5,0.54,0.0,0.6571
BNCI2015_001,9,20260728,0.5,0.615,0.0,0.0143,0.5,0.5167,0.0,0.8571
