rung,authorized_to_execute,forward_attempted_in_c68,physical_forward_units,logical_c50_rows_represented,target_count,seed_set,reserved_seed_used,bnci004_used,selection_rule,notes
T1_T2_stratification_cell,0,0,26,78,1,1,0,0,cell seed=1;target=7;level=0;candidate_order_stride,cell support for future stratified schedule; no endpoint/performance field used
T1_T2_stratification_cell,0,0,21,63,1,1,0,0,cell seed=1;target=7;level=1;candidate_order_stride,cell support for future stratified schedule; no endpoint/performance field used
T1_T2_stratification_cell,0,0,23,69,1,1,0,0,cell seed=1;target=8;level=0;candidate_order_stride,cell support for future stratified schedule; no endpoint/performance field used
T1_T2_stratification_cell,0,0,22,66,1,1,0,0,cell seed=1;target=8;level=1;candidate_order_stride,cell support for future stratified schedule; no endpoint/performance field used
T1_T2_stratification_cell,0,0,22,66,1,1,0,0,cell seed=1;target=9;level=0;candidate_order_stride,cell support for future stratified schedule; no endpoint/performance field used
T1_T2_stratification_cell,0,0,20,60,1,1,0,0,cell seed=1;target=9;level=1;candidate_order_stride,cell support for future stratified schedule; no endpoint/performance field used
T1_T2_stratification_cell,0,0,21,63,1,2,0,0,cell seed=2;target=1;level=0;candidate_order_stride,cell support for future stratified schedule; no endpoint/performance field used
T1_T2_stratification_cell,0,0,27,81,1,2,0,0,cell seed=2;target=1;level=1;candidate_order_stride,cell support for future stratified schedule; no endpoint/performance field used
T1_T2_stratification_cell,0,0,26,78,1,2,0,0,cell seed=2;target=2;level=0;candidate_order_stride,cell support for future stratified schedule; no endpoint/performance field used
T1_T2_stratification_cell,0,0,33,99,1,2,0,0,cell seed=2;target=2;level=1;candidate_order_stride,cell support for future stratified schedule; no endpoint/performance field used
T1_T2_stratification_cell,0,0,22,66,1,2,0,0,cell seed=2;target=3;level=0;candidate_order_stride,cell support for future stratified schedule; no endpoint/performance field used
T1_T2_stratification_cell,0,0,34,102,1,2,0,0,cell seed=2;target=3;level=1;candidate_order_stride,cell support for future stratified schedule; no endpoint/performance field used
T1_T2_stratification_cell,0,0,31,93,1,2,0,0,cell seed=2;target=4;level=0;candidate_order_stride,cell support for future stratified schedule; no endpoint/performance field used
T1_T2_stratification_cell,0,0,20,60,1,2,0,0,cell seed=2;target=4;level=1;candidate_order_stride,cell support for future stratified schedule; no endpoint/performance field used
T1_T2_stratification_cell,0,0,22,66,1,2,0,0,cell seed=2;target=5;level=0;candidate_order_stride,cell support for future stratified schedule; no endpoint/performance field used
T1_T2_stratification_cell,0,0,25,75,1,2,0,0,cell seed=2;target=5;level=1;candidate_order_stride,cell support for future stratified schedule; no endpoint/performance field used
T1_T2_stratification_cell,0,0,23,69,1,2,0,0,cell seed=2;target=6;level=0;candidate_order_stride,cell support for future stratified schedule; no endpoint/performance field used
T1_T2_stratification_cell,0,0,20,60,1,2,0,0,cell seed=2;target=6;level=1;candidate_order_stride,cell support for future stratified schedule; no endpoint/performance field used
T1_T2_stratification_cell,0,0,21,63,1,2,0,0,cell seed=2;target=7;level=0;candidate_order_stride,cell support for future stratified schedule; no endpoint/performance field used
T1_T2_stratification_cell,0,0,23,69,1,2,0,0,cell seed=2;target=7;level=1;candidate_order_stride,cell support for future stratified schedule; no endpoint/performance field used
T1_T2_stratification_cell,0,0,23,69,1,2,0,0,cell seed=2;target=8;level=0;candidate_order_stride,cell support for future stratified schedule; no endpoint/performance field used
T1_T2_stratification_cell,0,0,18,54,1,2,0,0,cell seed=2;target=8;level=1;candidate_order_stride,cell support for future stratified schedule; no endpoint/performance field used
T1_T2_stratification_cell,0,0,24,72,1,2,0,0,cell seed=2;target=9;level=0;candidate_order_stride,cell support for future stratified schedule; no endpoint/performance field used
T1_T2_stratification_cell,0,0,30,90,1,2,0,0,cell seed=2;target=9;level=1;candidate_order_stride,cell support for future stratified schedule; no endpoint/performance field used
