pipeline,pipeline_label,method,method_label,baseline_method,is_pipeline_baseline,metric,scope,dataset,mean_bacc,ci_low,ci_high,delta_vs_pipeline_baseline,delta_ci_low,delta_ci_high,n_target_subjects,n_datasets,n_source_seeds,bootstrap_replicates,bootstrap_seed,bootstrap_cluster,dataset_stratified,seeds_averaged_first,interval_label,status,provenance_artifact,result_sha256,result_commit
h2cmi,H2CMI repaired W1,frsc,FRSC,identity_uniform,False,bacc,per_dataset,BNCI2014_001,0.7078189300411523,0.6291152263374485,0.7890946502057613,0.018518518518518504,0.004629629629629626,0.03755144032921806,9,1,3,10000,20260710,dataset_x_target_subject,True,True,posthoc_cross_pipeline_comparability_audit,ok,h2cmi/results/review_completion/w1_repaired_h2cmi_results.csv,6d5106a78dad9ce852c8e01ca292ef5b4a37bbeaaaac810a177dccb8b6b9089c,bc61ee11d21e023966fa9be637e960fdaf77a9c1
h2cmi,H2CMI repaired W1,frsc,FRSC,identity_uniform,False,bacc,per_dataset,Cho2017,0.6416773504273505,0.6194869123931623,0.6653955662393165,0.00790598290598293,0.00163381410256412,0.014209401709401732,52,1,3,10000,20260710,dataset_x_target_subject,True,True,posthoc_cross_pipeline_comparability_audit,ok,h2cmi/results/review_completion/w1_repaired_h2cmi_results.csv,6d5106a78dad9ce852c8e01ca292ef5b4a37bbeaaaac810a177dccb8b6b9089c,bc61ee11d21e023966fa9be637e960fdaf77a9c1
h2cmi,H2CMI repaired W1,frsc,FRSC,identity_uniform,False,bacc,per_dataset,Lee2019_MI,0.7182716049382714,0.6890123456790123,0.7479012345679013,0.008888888888888884,0.001851851851851843,0.01604938271604938,54,1,3,10000,20260710,dataset_x_target_subject,True,True,posthoc_cross_pipeline_comparability_audit,ok,h2cmi/results/review_completion/w1_repaired_h2cmi_results.csv,6d5106a78dad9ce852c8e01ca292ef5b4a37bbeaaaac810a177dccb8b6b9089c,bc61ee11d21e023966fa9be637e960fdaf77a9c1
h2cmi,H2CMI repaired W1,frsc,FRSC,identity_uniform,False,bacc,subject_weighted,ALL,0.6828196457326892,0.664524919484702,0.7012419082125604,0.009198067632850249,0.004594202898550743,0.013819685990338166,115,3,3,10000,20260710,dataset_x_target_subject,True,True,posthoc_cross_pipeline_comparability_audit,ok,h2cmi/results/review_completion/w1_repaired_h2cmi_results.csv,6d5106a78dad9ce852c8e01ca292ef5b4a37bbeaaaac810a177dccb8b6b9089c,bc61ee11d21e023966fa9be637e960fdaf77a9c1
h2cmi,H2CMI repaired W1,frsc,FRSC,identity_uniform,False,bacc,dataset_macro,ALL,0.6892559618022581,0.6601217223277408,0.7194898075604095,0.011771130104463437,0.005998803023108589,0.018727860873694203,115,3,3,10000,20260710,dataset_x_target_subject,True,True,posthoc_cross_pipeline_comparability_audit,ok,h2cmi/results/review_completion/w1_repaired_h2cmi_results.csv,6d5106a78dad9ce852c8e01ca292ef5b4a37bbeaaaac810a177dccb8b6b9089c,bc61ee11d21e023966fa9be637e960fdaf77a9c1
h2cmi,H2CMI repaired W1,fixed_prior_iterative_uniform,"fixed-prior iterative, uniform decision prior",identity_uniform,False,bacc,per_dataset,BNCI2014_001,0.7134773662551441,0.6306584362139918,0.7952674897119342,0.024176954732510247,0.004629629629629613,0.050925925925925854,9,1,3,10000,20260710,dataset_x_target_subject,True,True,posthoc_cross_pipeline_comparability_audit,ok,h2cmi/results/review_completion/w1_repaired_h2cmi_results.csv,6d5106a78dad9ce852c8e01ca292ef5b4a37bbeaaaac810a177dccb8b6b9089c,bc61ee11d21e023966fa9be637e960fdaf77a9c1
h2cmi,H2CMI repaired W1,fixed_prior_iterative_uniform,"fixed-prior iterative, uniform decision prior",identity_uniform,False,bacc,per_dataset,Cho2017,0.6401816239316239,0.6176386217948717,0.664113782051282,0.006410256410256433,-0.0006303418803418584,0.013429487179487196,52,1,3,10000,20260710,dataset_x_target_subject,True,True,posthoc_cross_pipeline_comparability_audit,ok,h2cmi/results/review_completion/w1_repaired_h2cmi_results.csv,6d5106a78dad9ce852c8e01ca292ef5b4a37bbeaaaac810a177dccb8b6b9089c,bc61ee11d21e023966fa9be637e960fdaf77a9c1
h2cmi,H2CMI repaired W1,fixed_prior_iterative_uniform,"fixed-prior iterative, uniform decision prior",identity_uniform,False,bacc,per_dataset,Lee2019_MI,0.7222222222222222,0.69320987654321,0.7514814814814814,0.012839506172839507,0.00469135802469136,0.021358024691358033,54,1,3,10000,20260710,dataset_x_target_subject,True,True,posthoc_cross_pipeline_comparability_audit,ok,h2cmi/results/review_completion/w1_repaired_h2cmi_results.csv,6d5106a78dad9ce852c8e01ca292ef5b4a37bbeaaaac810a177dccb8b6b9089c,bc61ee11d21e023966fa9be637e960fdaf77a9c1
h2cmi,H2CMI repaired W1,fixed_prior_iterative_uniform,"fixed-prior iterative, uniform decision prior",identity_uniform,False,bacc,subject_weighted,ALL,0.6844412238325281,0.6659001207729467,0.7029194041867954,0.010819645732689218,0.0054571658615136884,0.01623683574879227,115,3,3,10000,20260710,dataset_x_target_subject,True,True,posthoc_cross_pipeline_comparability_audit,ok,h2cmi/results/review_completion/w1_repaired_h2cmi_results.csv,6d5106a78dad9ce852c8e01ca292ef5b4a37bbeaaaac810a177dccb8b6b9089c,bc61ee11d21e023966fa9be637e960fdaf77a9c1
h2cmi,H2CMI repaired W1,fixed_prior_iterative_uniform,"fixed-prior iterative, uniform decision prior",identity_uniform,False,bacc,dataset_macro,ALL,0.6919604041363301,0.6622274981534241,0.7223215383296402,0.014475572438535395,0.006719383111744224,0.024027114988920517,115,3,3,10000,20260710,dataset_x_target_subject,True,True,posthoc_cross_pipeline_comparability_audit,ok,h2cmi/results/review_completion/w1_repaired_h2cmi_results.csv,6d5106a78dad9ce852c8e01ca292ef5b4a37bbeaaaac810a177dccb8b6b9089c,bc61ee11d21e023966fa9be637e960fdaf77a9c1
h2cmi,H2CMI repaired W1,joint_fit_geometry_uniform,"joint-fit geometry, uniform decision prior",identity_uniform,False,bacc,per_dataset,BNCI2014_001,0.7021604938271605,0.6193287037037037,0.7875514403292181,0.012860082304526732,-0.004115226337448578,0.03396347736625495,9,1,3,10000,20260710,dataset_x_target_subject,True,True,posthoc_cross_pipeline_comparability_audit,ok,h2cmi/results/review_completion/w1_repaired_h2cmi_results.csv,6d5106a78dad9ce852c8e01ca292ef5b4a37bbeaaaac810a177dccb8b6b9089c,bc61ee11d21e023966fa9be637e960fdaf77a9c1
h2cmi,H2CMI repaired W1,joint_fit_geometry_uniform,"joint-fit geometry, uniform decision prior",identity_uniform,False,bacc,per_dataset,Cho2017,0.6405235042735042,0.6178408119658119,0.6646797542735045,0.0067521367521367675,-0.0002884615384615163,0.013985309829059833,52,1,3,10000,20260710,dataset_x_target_subject,True,True,posthoc_cross_pipeline_comparability_audit,ok,h2cmi/results/review_completion/w1_repaired_h2cmi_results.csv,6d5106a78dad9ce852c8e01ca292ef5b4a37bbeaaaac810a177dccb8b6b9089c,bc61ee11d21e023966fa9be637e960fdaf77a9c1
h2cmi,H2CMI repaired W1,joint_fit_geometry_uniform,"joint-fit geometry, uniform decision prior",identity_uniform,False,bacc,per_dataset,Lee2019_MI,0.7174074074074073,0.6876512345679012,0.7475308641975308,0.008024691358024688,-0.0002469135802468865,0.017037037037037035,54,1,3,10000,20260710,dataset_x_target_subject,True,True,posthoc_cross_pipeline_comparability_audit,ok,h2cmi/results/review_completion/w1_repaired_h2cmi_results.csv,6d5106a78dad9ce852c8e01ca292ef5b4a37bbeaaaac810a177dccb8b6b9089c,bc61ee11d21e023966fa9be637e960fdaf77a9c1
h2cmi,H2CMI repaired W1,joint_fit_geometry_uniform,"joint-fit geometry, uniform decision prior",identity_uniform,False,bacc,subject_weighted,ALL,0.6814492753623188,0.6627908212560387,0.7002888486312399,0.007827697262479874,0.002552294685990349,0.01326900161030596,115,3,3,10000,20260710,dataset_x_target_subject,True,True,posthoc_cross_pipeline_comparability_audit,ok,h2cmi/results/review_completion/w1_repaired_h2cmi_results.csv,6d5106a78dad9ce852c8e01ca292ef5b4a37bbeaaaac810a177dccb8b6b9089c,bc61ee11d21e023966fa9be637e960fdaf77a9c1
h2cmi,H2CMI repaired W1,joint_fit_geometry_uniform,"joint-fit geometry, uniform decision prior",identity_uniform,False,bacc,dataset_macro,ALL,0.6866971351693575,0.6563281695156695,0.7181640023214096,0.00921230347156273,0.0022876866360662562,0.017118926084203852,115,3,3,10000,20260710,dataset_x_target_subject,True,True,posthoc_cross_pipeline_comparability_audit,ok,h2cmi/results/review_completion/w1_repaired_h2cmi_results.csv,6d5106a78dad9ce852c8e01ca292ef5b4a37bbeaaaac810a177dccb8b6b9089c,bc61ee11d21e023966fa9be637e960fdaf77a9c1
h2cmi,H2CMI repaired W1,latent_im_diag,Latent-IM-Diag,identity_uniform,False,bacc,per_dataset,BNCI2014_001,0.7119341563786007,0.6286008230452675,0.7952674897119342,0.022633744855967048,0.0020576131687242583,0.04732510288065839,9,1,3,10000,20260710,dataset_x_target_subject,True,True,posthoc_cross_pipeline_comparability_audit,ok,h2cmi/results/review_completion/w1_repaired_h2cmi_results.csv,6d5106a78dad9ce852c8e01ca292ef5b4a37bbeaaaac810a177dccb8b6b9089c,bc61ee11d21e023966fa9be637e960fdaf77a9c1
h2cmi,H2CMI repaired W1,latent_im_diag,Latent-IM-Diag,identity_uniform,False,bacc,per_dataset,Cho2017,0.6401068376068377,0.6173279914529916,0.6641036324786325,0.006335470085470097,-0.0003418803418803136,0.012927884615384593,52,1,3,10000,20260710,dataset_x_target_subject,True,True,posthoc_cross_pipeline_comparability_audit,ok,h2cmi/results/review_completion/w1_repaired_h2cmi_results.csv,6d5106a78dad9ce852c8e01ca292ef5b4a37bbeaaaac810a177dccb8b6b9089c,bc61ee11d21e023966fa9be637e960fdaf77a9c1
h2cmi,H2CMI repaired W1,latent_im_diag,Latent-IM-Diag,identity_uniform,False,bacc,per_dataset,Lee2019_MI,0.7198765432098767,0.6906172839506174,0.7495061728395063,0.010493827160493815,0.0017283950617283958,0.019629629629629605,54,1,3,10000,20260710,dataset_x_target_subject,True,True,posthoc_cross_pipeline_comparability_audit,ok,h2cmi/results/review_completion/w1_repaired_h2cmi_results.csv,6d5106a78dad9ce852c8e01ca292ef5b4a37bbeaaaac810a177dccb8b6b9089c,bc61ee11d21e023966fa9be637e960fdaf77a9c1
h2cmi,H2CMI repaired W1,latent_im_diag,Latent-IM-Diag,identity_uniform,False,bacc,subject_weighted,ALL,0.6831851851851853,0.6645360708534621,0.701734541062802,0.009563607085346214,0.004152979066022537,0.014961473429951688,115,3,3,10000,20260710,dataset_x_target_subject,True,True,posthoc_cross_pipeline_comparability_audit,ok,h2cmi/results/review_completion/w1_repaired_h2cmi_results.csv,6d5106a78dad9ce852c8e01ca292ef5b4a37bbeaaaac810a177dccb8b6b9089c,bc61ee11d21e023966fa9be637e960fdaf77a9c1
h2cmi,H2CMI repaired W1,latent_im_diag,Latent-IM-Diag,identity_uniform,False,bacc,dataset_macro,ALL,0.6906391790651051,0.6605346035137701,0.7214386013506383,0.01315434736731032,0.005232691648200906,0.021977969689775233,115,3,3,10000,20260710,dataset_x_target_subject,True,True,posthoc_cross_pipeline_comparability_audit,ok,h2cmi/results/review_completion/w1_repaired_h2cmi_results.csv,6d5106a78dad9ce852c8e01ca292ef5b4a37bbeaaaac810a177dccb8b6b9089c,bc61ee11d21e023966fa9be637e960fdaf77a9c1
spdim,Official SPDIM repaired W1,source_only_tsmnet,source-only TSMNet,source_only_tsmnet,True,bacc,per_dataset,BNCI2014_001,0.6095679012345678,0.5478395061728395,0.6790252057613168,0.0,0.0,0.0,9,1,3,10000,20260710,dataset_x_target_subject,True,True,posthoc_cross_pipeline_comparability_audit,ok,h2cmi/results/review_completion/spdim_w1_repaired_three_seed_results.csv,95b8f69556a140dc020415753c9694cf9ebdeed1abb0766dd24f523c491289c3,8972de878a93e00a5b6cf6b8118bc32adc05eb48
spdim,Official SPDIM repaired W1,source_only_tsmnet,source-only TSMNet,source_only_tsmnet,True,bacc,per_dataset,Cho2017,0.5234935897435897,0.5158012820512821,0.5325,0.0,0.0,0.0,52,1,3,10000,20260710,dataset_x_target_subject,True,True,posthoc_cross_pipeline_comparability_audit,ok,h2cmi/results/review_completion/spdim_w1_repaired_three_seed_results.csv,95b8f69556a140dc020415753c9694cf9ebdeed1abb0766dd24f523c491289c3,8972de878a93e00a5b6cf6b8118bc32adc05eb48
spdim,Official SPDIM repaired W1,source_only_tsmnet,source-only TSMNet,source_only_tsmnet,True,bacc,per_dataset,Lee2019_MI,0.5485185185185185,0.5361728395061728,0.5617283950617284,0.0,0.0,0.0,54,1,3,10000,20260710,dataset_x_target_subject,True,True,posthoc_cross_pipeline_comparability_audit,ok,h2cmi/results/review_completion/spdim_w1_repaired_three_seed_results.csv,95b8f69556a140dc020415753c9694cf9ebdeed1abb0766dd24f523c491289c3,8972de878a93e00a5b6cf6b8118bc32adc05eb48
spdim,Official SPDIM repaired W1,source_only_tsmnet,source-only TSMNet,source_only_tsmnet,True,bacc,subject_weighted,ALL,0.5419806763285024,0.5334459742351046,0.5508985507246376,0.0,0.0,0.0,115,3,3,10000,20260710,dataset_x_target_subject,True,True,posthoc_cross_pipeline_comparability_audit,ok,h2cmi/results/review_completion/spdim_w1_repaired_three_seed_results.csv,95b8f69556a140dc020415753c9694cf9ebdeed1abb0766dd24f523c491289c3,8972de878a93e00a5b6cf6b8118bc32adc05eb48
spdim,Official SPDIM repaired W1,source_only_tsmnet,source-only TSMNet,source_only_tsmnet,True,bacc,dataset_macro,ALL,0.5605266698322254,0.5394246827846364,0.584110468106996,0.0,0.0,0.0,115,3,3,10000,20260710,dataset_x_target_subject,True,True,posthoc_cross_pipeline_comparability_audit,ok,h2cmi/results/review_completion/spdim_w1_repaired_three_seed_results.csv,95b8f69556a140dc020415753c9694cf9ebdeed1abb0766dd24f523c491289c3,8972de878a93e00a5b6cf6b8118bc32adc05eb48
spdim,Official SPDIM repaired W1,rct,RCT,source_only_tsmnet,False,bacc,per_dataset,BNCI2014_001,0.7268518518518519,0.6424897119341564,0.8024819958847735,0.11728395061728397,0.054012345679012363,0.1841563786008231,9,1,3,10000,20260710,dataset_x_target_subject,True,True,posthoc_cross_pipeline_comparability_audit,ok,h2cmi/results/review_completion/spdim_w1_repaired_three_seed_results.csv,95b8f69556a140dc020415753c9694cf9ebdeed1abb0766dd24f523c491289c3,8972de878a93e00a5b6cf6b8118bc32adc05eb48
spdim,Official SPDIM repaired W1,rct,RCT,source_only_tsmnet,False,bacc,per_dataset,Cho2017,0.5976068376068377,0.5781837606837607,0.6195085470085469,0.07411324786324787,0.058781784188034224,0.09165624999999998,52,1,3,10000,20260710,dataset_x_target_subject,True,True,posthoc_cross_pipeline_comparability_audit,ok,h2cmi/results/review_completion/spdim_w1_repaired_three_seed_results.csv,95b8f69556a140dc020415753c9694cf9ebdeed1abb0766dd24f523c491289c3,8972de878a93e00a5b6cf6b8118bc32adc05eb48
spdim,Official SPDIM repaired W1,rct,RCT,source_only_tsmnet,False,bacc,per_dataset,Lee2019_MI,0.6816049382716047,0.6550617283950616,0.7083950617283953,0.1330864197530864,0.11197530864197532,0.15469135802469133,54,1,3,10000,20260710,dataset_x_target_subject,True,True,posthoc_cross_pipeline_comparability_audit,ok,h2cmi/results/review_completion/spdim_w1_repaired_three_seed_results.csv,95b8f69556a140dc020415753c9694cf9ebdeed1abb0766dd24f523c491289c3,8972de878a93e00a5b6cf6b8118bc32adc05eb48
spdim,Official SPDIM repaired W1,rct,RCT,source_only_tsmnet,False,bacc,subject_weighted,ALL,0.6471642512077294,0.6304244363929148,0.663767190016103,0.10518357487922704,0.09184367954911432,0.11899066022544283,115,3,3,10000,20260710,dataset_x_target_subject,True,True,posthoc_cross_pipeline_comparability_audit,ok,h2cmi/results/review_completion/spdim_w1_repaired_three_seed_results.csv,95b8f69556a140dc020415753c9694cf9ebdeed1abb0766dd24f523c491289c3,8972de878a93e00a5b6cf6b8118bc32adc05eb48
spdim,Official SPDIM repaired W1,rct,RCT,source_only_tsmnet,False,bacc,dataset_macro,ALL,0.6686878759100982,0.6393431333755408,0.6964688390313389,0.10816120607787276,0.08531181083148676,0.13257395536562205,115,3,3,10000,20260710,dataset_x_target_subject,True,True,posthoc_cross_pipeline_comparability_audit,ok,h2cmi/results/review_completion/spdim_w1_repaired_three_seed_results.csv,95b8f69556a140dc020415753c9694cf9ebdeed1abb0766dd24f523c491289c3,8972de878a93e00a5b6cf6b8118bc32adc05eb48
spdim,Official SPDIM repaired W1,spdim_geodesic,SPDIM geodesic,source_only_tsmnet,False,bacc,per_dataset,BNCI2014_001,0.727880658436214,0.6435185185185185,0.8040123456790123,0.1183127572016461,0.05555555555555555,0.1846707818930041,9,1,3,10000,20260710,dataset_x_target_subject,True,True,posthoc_cross_pipeline_comparability_audit,ok,h2cmi/results/review_completion/spdim_w1_repaired_three_seed_results.csv,95b8f69556a140dc020415753c9694cf9ebdeed1abb0766dd24f523c491289c3,8972de878a93e00a5b6cf6b8118bc32adc05eb48
spdim,Official SPDIM repaired W1,spdim_geodesic,SPDIM geodesic,source_only_tsmnet,False,bacc,per_dataset,Cho2017,0.5959829059829059,0.5766233974358974,0.6177777777777779,0.07248931623931625,0.057467948717948726,0.09006410256410256,52,1,3,10000,20260710,dataset_x_target_subject,True,True,posthoc_cross_pipeline_comparability_audit,ok,h2cmi/results/review_completion/spdim_w1_repaired_three_seed_results.csv,95b8f69556a140dc020415753c9694cf9ebdeed1abb0766dd24f523c491289c3,8972de878a93e00a5b6cf6b8118bc32adc05eb48
spdim,Official SPDIM repaired W1,spdim_geodesic,SPDIM geodesic,source_only_tsmnet,False,bacc,per_dataset,Lee2019_MI,0.6771604938271606,0.6509876543209876,0.7034598765432097,0.12864197530864194,0.10790123456790122,0.1498765432098765,54,1,3,10000,20260710,dataset_x_target_subject,True,True,posthoc_cross_pipeline_comparability_audit,ok,h2cmi/results/review_completion/spdim_w1_repaired_three_seed_results.csv,95b8f69556a140dc020415753c9694cf9ebdeed1abb0766dd24f523c491289c3,8972de878a93e00a5b6cf6b8118bc32adc05eb48
spdim,Official SPDIM repaired W1,spdim_geodesic,SPDIM geodesic,source_only_tsmnet,False,bacc,subject_weighted,ALL,0.6444235104669886,0.6277307971014493,0.6610387681159421,0.1024428341384863,0.08949911433172304,0.11610958132045089,115,3,3,10000,20260710,dataset_x_target_subject,True,True,posthoc_cross_pipeline_comparability_audit,ok,h2cmi/results/review_completion/spdim_w1_repaired_three_seed_results.csv,95b8f69556a140dc020415753c9694cf9ebdeed1abb0766dd24f523c491289c3,8972de878a93e00a5b6cf6b8118bc32adc05eb48
spdim,Official SPDIM repaired W1,spdim_geodesic,SPDIM geodesic,source_only_tsmnet,False,bacc,dataset_macro,ALL,0.6670080194154268,0.6373649097815764,0.695011389416482,0.10648134958320143,0.08398472617917062,0.1305148649361612,115,3,3,10000,20260710,dataset_x_target_subject,True,True,posthoc_cross_pipeline_comparability_audit,ok,h2cmi/results/review_completion/spdim_w1_repaired_three_seed_results.csv,95b8f69556a140dc020415753c9694cf9ebdeed1abb0766dd24f523c491289c3,8972de878a93e00a5b6cf6b8118bc32adc05eb48
spdim,Official SPDIM repaired W1,spdim_bias,SPDIM bias,source_only_tsmnet,False,bacc,per_dataset,BNCI2014_001,0.7232510288065843,0.6373456790123457,0.7988683127572016,0.11368312757201643,0.050925925925925916,0.1805555555555555,9,1,3,10000,20260710,dataset_x_target_subject,True,True,posthoc_cross_pipeline_comparability_audit,ok,h2cmi/results/review_completion/spdim_w1_repaired_three_seed_results.csv,95b8f69556a140dc020415753c9694cf9ebdeed1abb0766dd24f523c491289c3,8972de878a93e00a5b6cf6b8118bc32adc05eb48
spdim,Official SPDIM repaired W1,spdim_bias,SPDIM bias,source_only_tsmnet,False,bacc,per_dataset,Cho2017,0.596923076923077,0.5773392094017095,0.6188042200854701,0.07342948717948719,0.05808733974358977,0.0913357371794872,52,1,3,10000,20260710,dataset_x_target_subject,True,True,posthoc_cross_pipeline_comparability_audit,ok,h2cmi/results/review_completion/spdim_w1_repaired_three_seed_results.csv,95b8f69556a140dc020415753c9694cf9ebdeed1abb0766dd24f523c491289c3,8972de878a93e00a5b6cf6b8118bc32adc05eb48
spdim,Official SPDIM repaired W1,spdim_bias,SPDIM bias,source_only_tsmnet,False,bacc,per_dataset,Lee2019_MI,0.674320987654321,0.6483950617283951,0.7007407407407408,0.12580246913580245,0.10530864197530863,0.14679012345679013,54,1,3,10000,20260710,dataset_x_target_subject,True,True,posthoc_cross_pipeline_comparability_audit,ok,h2cmi/results/review_completion/spdim_w1_repaired_three_seed_results.csv,95b8f69556a140dc020415753c9694cf9ebdeed1abb0766dd24f523c491289c3,8972de878a93e00a5b6cf6b8118bc32adc05eb48
spdim,Official SPDIM repaired W1,spdim_bias,SPDIM bias,source_only_tsmnet,False,bacc,subject_weighted,ALL,0.6431529790660225,0.6264632850241547,0.6599215378421899,0.10117230273752012,0.08829464573268922,0.11486179549114328,115,3,3,10000,20260710,dataset_x_target_subject,True,True,posthoc_cross_pipeline_comparability_audit,ok,h2cmi/results/review_completion/spdim_w1_repaired_three_seed_results.csv,95b8f69556a140dc020415753c9694cf9ebdeed1abb0766dd24f523c491289c3,8972de878a93e00a5b6cf6b8118bc32adc05eb48
spdim,Official SPDIM repaired W1,spdim_bias,SPDIM bias,source_only_tsmnet,False,bacc,dataset_macro,ALL,0.6648316977946608,0.6344579013664662,0.6929125217632163,0.10430502796243535,0.08155686464598502,0.12869779136330062,115,3,3,10000,20260710,dataset_x_target_subject,True,True,posthoc_cross_pipeline_comparability_audit,ok,h2cmi/results/review_completion/spdim_w1_repaired_three_seed_results.csv,95b8f69556a140dc020415753c9694cf9ebdeed1abb0766dd24f523c491289c3,8972de878a93e00a5b6cf6b8118bc32adc05eb48
