row_id,cluster,route,source_branch,source_sha,dataset,backbone,method,info_regime,unit_id,seed,fold_or_subject,representation_or_branch,L1_metric,L1_value,L2_metric,L2_value,L3_metric,L3_value,L4_metric,L4_value,L5_metric,L5_value,L6_metric,L6_value,task_safety_metric,task_safety_value,collapse_guard,random_control,target_labels_used_for_fit,target_labels_used_for_eval,artifact_path,include_rq1,include_rq2,include_rq3,include_rq4,support_only_reason,notes
11,TOS_erasure,TOS_LEACE,tos,1c65d79,2a(+Lee/Cho/HGD/2b),TSMNet+EEGNet,leace_eraser,source_only_frozen_feature,TOS_LEACE::route_level,"0,1,2",9 folds+129 subj,frozen_latent_Z,subject_decodable,yes,,not_applicable,subject_removed_lin/mlp,lin->0.115 chance; MLP residual 0.740/0.393,task_preserved_4class,0.743/0.606 (binary EEGNet -> chance),,not_measured,target_bacc_delta,2a ~0; binary Lee/Cho EEGNet -0.15..-0.19,task_bacc_delta,FAIL on binary EEGNet,conditional,valid (random_k),NO,YES,tos_cmi/results/tos_cmi_eeg_frozen/erasure_target_deploy/erasure_target_deploy_summary.json,NO,YES,NO,NO,,linear subj->0.115 chance both; MLP residual 0.740/0.393; target ~0 on 2a; HARMS -0.15..-0.19 binary Lee/Cho EEGNet
12,TOS_erasure,TOS_INLP,tos,1c65d79,2a(+Lee/Cho/HGD/2b),TSMNet+EEGNet,inlp_eraser,source_only_frozen_feature,TOS_INLP::route_level,"0,1,2",9 folds+129 subj,frozen_latent_Z,subject_decodable,yes,,not_applicable,subject_removed,->chance both,task_destroyed,EEGNet 0.639->0.246 (over-erasure),,not_measured,target_bacc_delta,-0.062 / -0.160 (task collapse),task_bacc_delta,FAIL over-erasure,FAIL,valid,NO,YES,tos_cmi/results/tos_cmi_eeg_frozen/BNCI2014_001_EEGNet_LOSO/erasure_report.json,NO,YES,NO,NO,,over-erasure: subj->chance but task destroyed (EEGNet 0.639->0.246=chance); target -0.062/-0.160; negative control
13,TOS_erasure,TOS_RLACE,tos,1c65d79,2a(+Lee/Cho/HGD/2b),TSMNet+EEGNet,rlace_eraser,source_only_frozen_feature,TOS_RLACE::route_level,"0,1,2",9 folds+129 subj,frozen_latent_Z,subject_decodable,yes,,not_applicable,subject_removed_lin,TSMNet 0.856 weak; EEGNet 0.293,task_preserved_4class,0.739/0.611 (binary -> chance),,not_measured,target_bacc_delta,2a -0.004..-0.012; binary -0.15..-0.19,task_bacc_delta,FAIL on binary EEGNet,conditional,valid,NO,YES,tos_cmi/results/tos_cmi_eeg_frozen/erasure_target_deploy/erasure_target_deploy_summary.json,NO,YES,NO,NO,,partial removal (TSMNet weak 0.856lin); 4-class task preserved; HARMS binary Lee/Cho EEGNet -0.15..-0.19
14,TOS_erasure,TOS_random_k,tos,1c65d79,2a,TSMNet+EEGNet,random_k control,source_only_frozen_feature,TOS_random_k::route_level,"0,1,2",9 folds,frozen_latent_Z,,not_applicable,,not_applicable,subject_removed,NOT removed (0.734/0.808; TSMNet 0.998),,not_applicable,,not_measured,target_nll_delta,-0.034 matches LEACE -0.031 (non-specific),task_bacc_delta,N/A control,N/A,is the control,NO,YES,tos_cmi/results/tos_cmi_eeg_frozen/BNCI2014_001_EEGNet_LOSO/erasure_report.json,NO,YES,NO,NO,,falsifier: does NOT remove subject; dNLL -0.034 matches LEACE -0.031 while subj_dec 0.998 => non-specific regularization
15,TOS_erasure,TOS_refusal_gate,tos,1c65d79,synthetic+2a,gaussian_oracle+TSMNet,power_floor cert + task_risk_ucb,source_only,TOS_refusal_gate::route_level,"0,1,2 + R=50",cert grid + 9 folds,score-Fisher subspace,domain_gate/accept-refuse,accept 5/9 vacuous; DOMAIN_GATE_CLOSED 9/9 high-lambda,,not_applicable,,not_applicable,,not_applicable,,not_applicable,refusal_accept_decision,0 unsafe-accepts (floor) vs 6; default-on NOT certified,refuse_when_unsafe,PASS by design,N/A,N/A,NO,YES,tos_cmi/notes/PHASE131_CERTIFICATION.md,NO,NO,NO,NO,decision/certification evidence; L6 is a refusal decision not a target-metric endpoint,UNSAFE_ACCEPT 0 w/floor vs 6; default-on NOT certified (power_ok=False); EEG accept 5/9 VACUOUS (certified_accept=False)
16,TOS_erasure,TOS_global_LPC_collapse,tos,1c65d79,2a,TSMNet+EEGNet,global_LPC_in_loss,source_only_in_loss,TOS_global_LPC_collapse::route_level,"0,1,2",9 folds; lambda 0/0.3/1/3,latent_Z,subject_decodable,yes,penalty_effect,TSMNet feat_norm 1.09->0.00 CE->ln4,,not_applicable,,not_applicable,,not_measured,target_bacc_delta_EEGNet,0.43->0.39 (p<=0.001 harm),representation_collapse,FAIL (TSMNet),FAIL,N/A,NO,YES,tos_cmi/notes/PHASE21_LPC_COLLAPSE_MECHANISM.md,NO,NO,NO,NO,"in-loss global penalty boundary result (collapse/harm), not a controlled erasure route for RQ2",TSMNet feat_norm 1.09->0.00 CE->ln4 collapse (adv-verified wf_c2880caf); EEGNet target 0.43->0.39 paired-t p<=0.001 (harm); numeric per-backbone JSON not commit
17,TOS_erasure,TOS_task_preserving_erasure,tos,1c65d79,2a,TSMNet,lpc_warm_ramp/scale_invariant,source_only_in_loss,TOS_task_preserving_erasure::route_level,"0,1,2","9 folds; lambda 1,3",latent_Z,subject_decodable,yes,collapse_free_penalty,warm_ramp collapse 0/9,subject_removed,collapse-free subj_dec ~0.997 = ERM (removes nothing),,not_applicable,,not_measured,,not_measured,task_preserved,PASS,PASS,N/A,NO,YES,tos_cmi/CLAIMS_LEDGER.md,NO,NO,NO,NO,in-loss boundary result (removes nothing when collapse-free); no target endpoint,warm_ramp avoids collapse (0/9); collapse-free subj_dec ~0.997 = ERM => removes nothing; collapsing-run drop was the collapse; C6 numbers in CLAIMS_LEDGER (vari
18,TOS_erasure,TOS_capacity_factorial,tos,1c65d79,2a,TSMNet(dz21-210)+EEGNet(dz16-210),LEACE_residual_vs_dz,source_only_frozen_feature,TOS_capacity_factorial::route_level,"0,1,2",9 folds,frozen_latent_Z,,not_applicable,,not_applicable,nonlinear_residual_vs_dz,OLS log(d_z)=+0.089; matched-dim -68% gap,,not_applicable,,not_applicable,,not_applicable,N/A,N/A,N/A,N/A,NO,YES,tos_cmi/results/tos_cmi_eeg_frozen/factorial/factorial_multiseed.json,NO,NO,NO,NO,mechanism (removability vs capacity); no endpoint level,OLS log(d_z)=+0.089; matched-dim removes ~68% gap; capacity dominant; arch-type REFUTED at high d_z (+0.11 SPD@210)
19,FBCSP_branch,FBCSP_LGG_branch_ablation,project/fbcsp-lgg-spatial-cmi-fusion,39c245a,2a+2015,FBCSPLGGGraph,erm+branch_ablation,source_only_LOSO,FBCSP_LGG_branch_ablation::route_level,"0,1,2",9+12 folds,graph/temporal/spatial branches,fused_leakage_kl,fused-Z only (e.g. 0.645); NO per-branch probe,,not_applicable,,not_applicable,zero_spatial_ablation & gate,2a 0.349->0.275 (-7.4pp); 2015 -8.8pp; gate_spatial 0.489/0.572,,needs_small_frozen_probe,,not_applicable,N/A,N/A,N/A,permute_nodes null,NO,YES,results/fbcsp_lgg_f0_full_s012/FBCSP_F0_AGGREGATE.csv,NO,NO,NO,NO,L4 branch-load only; per-branch leakage(L1) + per-branch reliance(L5) missing -> cannot enter RQ4,spatial load-bearing: zero_spatial 2a 0.349->0.275 / 2015 0.608->0.520; subj1 FBCSP 0.474~CSP 0.483 vs FBLGG 0.306; NO node branch
20,FBCSP_branch,FBCSP_LGG_gate_summary,project/fbcsp-lgg-spatial-cmi-fusion,39c245a,2a+2015,FBCSPLGGGraph,fbdualpc spatial-CMI vs erm,source_only_LOSO,FBCSP_LGG_gate_summary::route_level,"0,1,2",9+12 folds,spatial branch,,not_applicable,spatial_CMI_delta,+0.0082 (sd 0.0285) fragile,,not_applicable,,not_applicable,,not_measured,2a_decodable_delta,+0.0082 (2/3 seeds neg; seed2 collapsed-ERM artifact),N/A,N/A,N/A,N/A,NO,YES,results/p6_fbdualpc_seeds12/SEEDS12_REPORT.md,NO,NO,NO,NO,fragile-survive/not-promoted spatial-CMI outcome; effectively null,"fragile survive +0.0082 (sd 0.0285), 2/3 seeds neg, seed2 +0.048=collapsed-ERM artifact; not promoted, effectively null"
21,FBCSP_branch,FBCSP_LGG_bottleneck_analysis,project/fblgg-2a-bottleneck-analysis,787fcc7,2a+2015,CSP+DGCNN+FBLGG,source_only_LOSO baselines,source_only_LOSO,FBCSP_LGG_bottleneck_analysis::route_level,"0,1,2",F0 subj1/subj2,spatial/graph,,not_applicable,,not_applicable,,not_applicable,CSP_vs_DGCNN_vs_FBLGG,subj1 0.483/0.403/0.306 (feature bottleneck),,not_applicable,,not_applicable,N/A,N/A,N/A,N/A,NO,YES,results/fblgg_f0/F0_CSP_BASELINE.json,NO,NO,NO,NO,branch-locality background (accuracy diagnostic); no leakage/reliance endpoint,"subj1 CSP 0.483>DGCNN 0.403>FBLGG 0.306; spatial-spectral feature bottleneck (not data/split); 2a FAILS FBLGG gate, 2015 PASSES"
22,FBCSP_branch,FBCSP_LGG_graph_starvation,project/fblgg-2a-bottleneck-analysis,787fcc7,2a+2015,FBLGG+FBCSPLGGGraph,branch_ablation,source_only_LOSO,FBCSP_LGG_graph_starvation::route_level,"0,1,2",9+12 folds,graph/temporal/spatial,,not_applicable,,not_applicable,,not_applicable,branch_ablation_deltas,2a graph ~+0.02 (no signal); 2015 +0.085/+0.114,,not_applicable,,not_applicable,N/A,N/A,N/A,N/A,NO,YES,results/fblgg_f0/F0_DIAGNOSTICS.md,NO,NO,NO,NO,branch-locality background; no endpoint,2a graph ablations ~+0.02 (no transferable 4-class signal); 2015 graph load-bearing +0.085/+0.114; spatial starves graph post-fusion
23,background,CIGL_35_blueprint,project/fblgg-2a-bottleneck-analysis,787fcc7,2a+2015,dgcnn,cigl_graph_node,source_only_DG,CIGL_35_blueprint::route_level,"0,1,2",9+12 folds,graph_z/node_z,graph/node_KL_perm,~8x/15x,leakage_reduction_pct,-35..-77%,,not_applicable,,not_applicable,,not_applicable,,not_applicable,N/A,N/A,N/A,N/A,NO,YES,docs/CIGL_35_PAPER_BLUEPRINT.md,NO,NO,NO,NO,claim-boundary contract for the DGCNN CIGL line (background),DGCNN CIGL leakage line claim contract (SEPARATE from FBCSP track); graph KL ~8x/node ~15x perm; reduction -35..-77%; partial not elimination
24,FBCSP_branch,P6_spatial_CMI_scaffold,project/fbcsp-lgg-dualcmi-scaffold,eb47bd0,2a+2015,FBCSPLGGGraph,fbdualpc_scaffold,source_only_LOSO,P6_spatial_CMI_scaffold::route_level,none,none,spatial+graph,,not_measured,,not_measured,,not_applicable,,not_applicable,,not_measured,,not_measured,N/A,N/A,N/A,N/A,NO,NO,docs/CIGL_49_FBCSP_LGG_DUALCMI_ROADMAP.md,NO,NO,NO,NO,"scaffold only, never run (red-flag 11); nothing measured","roadmap only; F1/graphcmi/GPU frozen, never run; NOT a real-EEG CMI result (red-flag 11)"
25,observability,OACI_selection_leakage_not_target,oaci,afc8f50,BNCI2014_001,oaci_selector,support_aware_leakage_selection,source_only_DG,OACI_selection_leakage_not_target::route_level,"0,1,2",9-subj LOSO (n=54),selection/audit leakage,selection_leakage_delta,-0.3261 54/54,audit_leakage_delta,+0.0076 (25/54),,not_applicable,,not_applicable,,not_applicable,target_worst_bacc_delta,"-0.0024 (harmed 28/54); corr(audit,tgt)~0",N/A,N/A,N/A,N/A,NO,YES,oaci/reports/C10_OACI_FAILURE_DIAGNOSTICS.json,NO,NO,NO,NO,observability failure (selection vs audit vs target); corroborates but not a CIGL/TOS RQ regression,sel leakage -0.3261 54/54; audit +0.0076 only 25/54; corr sel-audit ~0; tgt worst bAcc -0.0024; orthogonal to target
26,observability,OACI_source_audit_oracle_failure,oaci,afc8f50,BNCI2014_001,oaci_selector,counterfactual_selector_replay,source_only_DG,OACI_source_audit_oracle_failure::route_level,"0,1,2",9-subj LOSO (n=54),checkpoint trajectory,selector_replay,216/216 exact,,not_applicable,,not_applicable,,not_applicable,,not_applicable,oracle_reproducible,False (S5 oracle -> ERM 3/54),N/A,N/A,N/A,valid,NO,YES,oaci/reports/C10_OACI_FAILURE_DIAGNOSTICS.json,NO,NO,NO,NO,oracle-robust negative; corroboration,6 selectors incl S5 source-audit ORACLE all stop_no_reproducible_gain; replay 216/216 exact; oracle_reproducible=False
27,observability,OACI_multivariate_weak_identifiability,oaci,afc8f50,BNCI2014_001,oaci_probe,LOTO_competence_probe,source_only_DG,OACI_multivariate_weak_identifiability::route_level,"0,1,2",9-subj LOSO,source observables (12-d),LOTO_probe_AUC,0.602 vs perm 0.537 (p=0.008),,not_applicable,,not_applicable,,not_applicable,,not_applicable,deployable,no (diagnostic-only; scalar rho +0.12),N/A,N/A,N/A,permutation,AUDIT_ONLY,YES,oaci/reports/C17_SOURCE_SIGNAL_IDENTIFIABILITY.json,NO,NO,NO,NO,,LOTO AUC 0.602 vs perm 0.537 p=0.008; 0/12 strong scalar; oracle scalar rho +0.12; DIAGNOSTIC-only non-deployable
28,observability,OACI_endpoint_estimability_limit,oaci,afc8f50,BNCI2014_001,oaci_selector,controlled_support_stress,source_only_DG,OACI_endpoint_estimability_limit::route_level,"0,1,2",9-subj LOSO,worst-domain endpoint,,not_applicable,,not_applicable,,not_applicable,,not_applicable,,not_applicable,worst_domain_estimability,bAcc->NaN under cell deletion (C18),N/A,N/A,N/A,N/A,NO,YES,oaci/reports/C18_CONTROLLED_SUPPORT_MISMATCH_STRESS.json,NO,NO,NO,NO,,"signal survives cell-present stress; collapses under cell DELETION via worst-domain bAcc->NaN (estimator-level, not signal loss); exact numbers in C18"
29,deployment,ACAR_paired_action_risk_design,acar,d287635,PD+SCZ,label_free_paired,action_conditional_risk,target_unlabeled_deploy,ACAR_paired_action_risk_design::route_level,20260711-13,PD230+SCZ226 subj,paired_pre_post_phi,,not_applicable,,not_applicable,,not_applicable,,not_applicable,,not_applicable,,not_measured,8_leakage_guards,PASS (design),N/A,N/A,NO,NO,acar/README.md,NO,NO,NO,NO,design/estimand only; no efficacy,DeltaR_a(B)=R_B(f_a)-R_B(f_0) action-conditional; conformal router; 8 leakage guards; design not efficacy
30,deployment,ACAR_v5_protocol_substrate_success,acar,d287635,PD+SCZ,external_compat_encoder,stage1b_substrate+stage2b_auth,target_unlabeled_deploy,ACAR_v5_protocol_substrate_success::route_level,20260711-13,30 refs / 22 candidates,label_free_embedding_256,,not_applicable,,not_applicable,,not_applicable,,not_applicable,,not_applicable,,not_measured,firewall,PASS 30/30 refs,N/A,N/A,AUDIT_ONLY,YES,notes/ACAR_V5_STAGE1B_REALRUN_RESULT_C4412B4_R1.md,NO,NO,NO,NO,"engineering/protocol success, not efficacy",Stage-1B 30/30 admitted hash-verified (SLURM881227 rc0); Stage-2B authorization bound; ENGINEERING success NOT efficacy; package bytes on cluster
31,deployment,ACAR_stage2b_dev_stop,acar,d287635,PD+SCZ,external_compat_encoder,stage2b_selection G1-G5/H1-H3,target_unlabeled_deploy,ACAR_stage2b_dev_stop::route_level,20260711,22 candidates x 2 diseases,label_free_features,,not_applicable,,not_applicable,,not_applicable,coverage_G1,"PD 13/22, SCZ 19/22 (adapt ok)",,not_applicable,eligible / EVAL_red,0/22 eligible; DEV_STOP; router refuted; harm UCB 0.61-0.87,harm_control_G3/G4,FAIL 0/22,N/A,v2_replay,AUDIT_ONLY,YES,notes/ACAR_V5_STAGE2B_REAL_SELECTION_RESULT_acar-v5-stage2b-ba09777-r1.md,NO,NO,NO,NO,completed DEV_STOP (deployment corroboration; not pending),"CORRECTION: NOT pending. Stage-2B RAN (SLURM885395 rc0) => pre-registered DEV_STOP; 0/22 eligible; router REFUTED on DEV; coverage fine, harm-control fails; not"
32,information_contract,CSC_Z_only_unidentifiable,csc,72085b7,synthetic+Lee2019(semisynth),residual_decoder,three_state_certificate,source_only,CSC_Z_only_unidentifiable::route_level,"0,1,2",65 clusters,Z_only,residual_decoder_T,dev power 0.83 -> confirmatory 28/65,,not_applicable,,not_applicable,,not_applicable,,not_applicable,false_cert / power,forbidden 1/65 CP-UB 0.0709>0.05; power 28/65<0.50 (FAILED both),abstention,valid (Prop1),N/A,permutation,NO,YES,csc/results/confirmatory.json,NO,NO,NO,NO,"information-contract boundary; simulator+semisynth, unidentifiability proven",Prop1 unidentifiable PROVEN; frozen confirmatory FAILED both (forbidden 1/65 CP-UB 0.0709>0.05; power 28/65 cond 0.431<0.50); local 1 ahead of remote 7f64a49
33,information_contract,CSC_dual_witness_candidate,csc,72085b7,Lee2019(semisynth),residual_decoder,B6_condrand+B7_dual_witness,source_only,CSC_dual_witness_candidate::route_level,"0,1,2",50/cond,Z + covariate C,B6/B7_witness,B6 strong-cov 18/28->0/0; B7.0 dev-only,,not_applicable,,not_applicable,,not_applicable,,not_applicable,,not_measured,abstention,dev-only,N/A,condition-randomization,NO,YES,csc/results/b7_stage0_dual_witness/,NO,NO,NO,NO,B7.1 confirmatory committed-but-UNRUN (protocol-only),B6 fixes strong-cov mechanism 18/28->0/0 but opens prior-shift gap (NULL_label 0->25/50); B7.0 dev-only; B7.1 confirmatory committed-but-UNRUN (unpushed)
34,information_contract,CSC_information_contract_boundary,csc,72085b7,Lee2019(semisynth),SSL/random/tangent,router_R1 + fitted_null,source_only,CSC_information_contract_boundary::route_level,"0,1,2",300/cond,Z,fitted_null_dispersion,under-dispersed ~7-10x under strong cov,,not_applicable,,not_applicable,,not_applicable,,not_applicable,router_breach,weak-cov masks; strong-cov SOUND FAIL 7.3%/26%,abstention,valid,N/A,oracle-null,NO,YES,csc/results/router_stage1_validation/scaleup/README.md,NO,NO,NO,NO,the publishable partial-identification boundary; corroboration,"unlabeled marginal insufficient (Prop1); fitted-null under-dispersed ~7-10x; router masks only weak-cov; SOUND FAIL strong-cov 7.3%/26%; B4 closed, B5 features "
35,legacy_boundary,LPC_CMI_legacy_boundary,exp/lpc-cmi,050d3a4,multi(incl TUAB),SPD/EEGNet,lpc_cmi/cita/source-free-gate,mixed,LPC_CMI_legacy_boundary::route_level,multi,130 datasets,Z,extractable_domain_info,reduced (measurement only; beats CDANN),deployment_regularizer,DROP_LPC_COLLAPSE all lambda,,not_applicable,,not_applicable,,not_measured,deployment/calibration,calibration=temperature (oracle-T 123/130); accuracy=matched-CORAL,N/A,N/A,N/A,N/A,YES_FORBIDDEN,YES,CLOSEOUT.md,NO,NO,NO,NO,"closed legacy; measurement survives, control/calibration/accuracy dropped; do NOT restart",LPC survives ONLY as measurement; deployment DROP_LPC_COLLAPSE all lambda; calibration=temperature (oracle-T beats 123/130); batch-rollback RETRACTED (target-la
36,background,PriorDecoupled_four_branch_protocol,exp/h2cmi-wave0-mechanism,60db118,Sleep-EDF+MI,TTA,four_branch_geometry_x_prior,target_unlabeled,PriorDecoupled_four_branch_protocol::route_level,multi,W2 75subj/W1 115subj,prediction,,not_applicable,,not_applicable,,not_applicable,,not_applicable,,not_applicable,G/P decomposition,W2 P=-0.1439 sig; G=-0.0201 NS,N/A,N/A,N/A,N/A,NO,YES,h2cmi/results/wave0_w2.report.json,NO,NO,NO,NO,prior-decoupled TTA; NOT FSR leakage/reliance evidence,"exact decomposition (residual<=1.85e-17); W2 sleep P=-0.1439 sig dominates, G=-0.0201 NS; W1 inverts (prevalence-dependent); NOT FSR leakage/reliance evidence"
