dataset,backbone,eraser,chance_task,subj_lin_2a,subj_mlp_2a,subj_dec_after,tgt_bacc,dtgt_bacc,tgt_nll,dtgt_nll,worst_subject_tgt_bacc,raw_improves_target_flag,benefit_claimable,benefit_block_reason,verdict,note
BNCI2014_001,TSMNet,random_k,0.25,0.99725,0.9969,0.99771,0.39516,-0.0001,2.86051,-0.03404,0.27141,True,NO,nll_nonspecific_randomk,no_target_gain,
Lee2019_MI,EEGNet,full,0.5,,,0.26242,0.68546,,0.63869,,0.495,,NO,baseline,baseline,
Lee2019_MI,EEGNet,TOS_VD,0.5,,,0.05889,0.68494,-0.00052,0.64092,0.00223,0.485,False,NO,no_bacc_gain,no_target_gain,
Lee2019_MI,EEGNet,LEACE,0.5,,,0.01516,0.5,-0.18546,0.69315,0.05446,0.5,False,NO,task_collapse,task_collapse,
Lee2019_MI,EEGNet,RLACE,0.5,,,0.01516,0.5,-0.18546,0.69315,0.05446,0.5,False,NO,task_collapse,task_collapse,
Lee2019_MI,EEGNet,INLP,0.5,,,0.01516,0.5,-0.18546,0.69315,0.05446,0.5,False,NO,task_collapse,task_collapse,
Lee2019_MI,EEGNet,random_k,0.5,,,0.17173,0.67823,-0.00723,0.63251,-0.00618,0.48875,False,NO,no_bacc_gain,no_target_gain,
Lee2019_MI,TSMNet,full,0.5,,,0.9904,0.66824,,2.63589,,0.5,,NO,baseline,baseline,
Lee2019_MI,TSMNet,TOS_VD,0.5,,,0.96122,0.66812,-0.00012,2.66739,0.03151,0.5,False,NO,no_bacc_gain,no_target_gain,
Lee2019_MI,TSMNet,LEACE,0.5,,,0.01088,0.66654,-0.0017,2.59983,-0.03605,0.495,True,NO,no_bacc_gain,no_target_gain,
Lee2019_MI,TSMNet,RLACE,0.5,,,0.39763,0.66512,-0.00312,1.44363,-1.19226,0.515,True,NO,no_bacc_gain,no_target_gain,
Lee2019_MI,TSMNet,INLP,0.5,,,0.01512,0.51435,-0.15389,0.6934,-1.94249,0.45,True,NO,task_collapse,task_collapse,
Lee2019_MI,TSMNet,random_k,0.5,,,0.98955,0.66829,5e-05,2.13994,-0.49595,0.50437,True,NO,no_bacc_gain,no_target_gain,
Cho2017,EEGNet,full,0.5,,,0.32382,0.64957,,0.70122,,0.47333,,NO,baseline,baseline,
Cho2017,EEGNet,TOS_VD,0.5,,,0.07656,0.64825,-0.00131,0.70563,0.00441,0.47,False,NO,no_bacc_gain,no_target_gain,
Cho2017,EEGNet,LEACE,0.5,,,0.02094,0.5,-0.14957,0.69315,-0.00807,0.5,False,NO,task_collapse,task_collapse,
Cho2017,EEGNet,RLACE,0.5,,,0.02105,0.5,-0.14957,0.69315,-0.00807,0.5,False,NO,task_collapse,task_collapse,
Cho2017,EEGNet,INLP,0.5,,,0.02099,0.5,-0.14957,0.69315,-0.00807,0.5,False,NO,task_collapse,task_collapse,
Cho2017,EEGNet,random_k,0.5,,,0.20185,0.64262,-0.00694,0.68056,-0.02065,0.47667,True,NO,no_bacc_gain,no_target_gain,
Cho2017,TSMNet,full,0.5,,,0.99579,0.62508,,3.4071,,0.46667,,NO,baseline,baseline,
Cho2017,TSMNet,TOS_VD,0.5,,,0.98107,0.62505,-3e-05,3.44489,0.0378,0.46667,False,NO,no_bacc_gain,no_target_gain,
Cho2017,TSMNet,LEACE,0.5,,,0.0045,0.62378,-0.0013,3.50307,0.09598,0.47333,False,NO,no_bacc_gain,no_target_gain,
Cho2017,TSMNet,RLACE,0.5,,,0.49242,0.62501,-7e-05,1.62877,-1.77832,0.48667,True,NO,no_bacc_gain,no_target_gain,
Cho2017,TSMNet,INLP,0.5,,,0.02003,0.51997,-0.10511,0.69865,-2.70845,0.46833,True,NO,task_collapse,task_collapse,
Cho2017,TSMNet,random_k,0.5,,,0.9954,0.62503,-5e-05,2.81614,-0.59095,0.47667,True,NO,no_bacc_gain,no_target_gain,
Schirrmeister2017,EEGNet,full,0.25,,,0.80955,0.64031,,1.42006,,0.44931,,NO,baseline,baseline,
Schirrmeister2017,EEGNet,TOS_VD,0.25,,,0.27318,0.64104,0.00072,1.43655,0.01649,0.44861,False,NO,no_bacc_gain,no_target_gain,
Schirrmeister2017,EEGNet,LEACE,0.25,,,0.08538,0.54909,-0.09122,1.3833,-0.03676,0.3158,False,NO,no_bacc_gain,harms_target,
Schirrmeister2017,EEGNet,RLACE,0.25,,,0.15278,0.60279,-0.03753,1.25947,-0.16059,0.42153,True,NO,no_bacc_gain,no_target_gain,
Schirrmeister2017,EEGNet,INLP,0.25,,,0.08025,0.25,-0.39031,1.38629,-0.03377,0.25,False,NO,task_collapse,task_collapse,
Schirrmeister2017,EEGNet,random_k,0.25,,,0.64847,0.61513,-0.02518,1.4171,-0.00297,0.42155,False,NO,no_bacc_gain,no_target_gain,
Schirrmeister2017,TSMNet,full,0.25,,,0.99946,0.63013,,2.83173,,0.42596,,NO,baseline,baseline,
Schirrmeister2017,TSMNet,TOS_VD,0.25,,,0.99945,0.63013,0.0,2.83648,0.00475,0.42596,False,NO,no_bacc_gain,no_target_gain,
Schirrmeister2017,TSMNet,LEACE,0.25,,,0.07284,0.62933,-0.0008,3.03601,0.20428,0.42436,False,NO,no_bacc_gain,no_target_gain,
Schirrmeister2017,TSMNet,RLACE,0.25,,,0.93814,0.62663,-0.00349,3.167,0.33527,0.43173,False,NO,no_bacc_gain,no_target_gain,
Schirrmeister2017,TSMNet,INLP,0.25,,,0.06411,0.37017,-0.25996,1.56252,-1.26921,0.24776,True,NO,no_bacc_gain,harms_target,
Schirrmeister2017,TSMNet,random_k,0.25,,,0.99946,0.62991,-0.00022,2.83374,0.00201,0.42596,False,NO,no_bacc_gain,no_target_gain,
2a,TSMNet(in-loss),LPC_global_collapse,,,,,,,,,,,NO,boundary_route,,"TSMNet feat_norm 1.09->0.00, CE->ln4 collapse (source: notes/PHASE21 + CLAIMS_LEDGER C5; not a deploy cell)"
2a,TSMNet(in-loss),collapse_free_removes_nothing,,,,,,,,,,,NO,boundary_route,,warm_ramp collapse 0/9; collapse-free subj_dec ~0.997 = ERM (source: CLAIMS_LEDGER C6; variant_compare.json not committed on tos)
2a,TSMNet,refusal_gate,,,,,,,,,,,NO,boundary_route,,source-only gate: 0 unsafe-accepts w/ power floor vs 6; EEG accept 5/9 VACUOUS (certified_accept=False); default-on NOT certified (source: PHASE131 + PHASE2_EEG_FROZEN_PILOT)
