dataset,component,check,status,detail
FACED,subject,cluster_support_recompute_H500_s1,PASS,
FACED,subject,cluster_support_recompute_H1000_s0,PASS,
FACED,subject,cluster_support_recompute_H1000_s1,PASS,
FACED,subject,cluster_support_recompute_H2000_s0,PASS,
FACED,subject,cluster_support_recompute_H2000_s1,PASS,
FACED,inference,support_tags,PASS,
FACED,inference,bootstrap_cluster_counts,PASS,
FACED,geometry,rank8_point_recompute_random,PASS,
FACED,geometry,rank8_point_recompute_released,PASS,
FACED,geometry,rank8_point_recompute_H200_s0,PASS,
FACED,geometry,rank8_point_recompute_H200_s1,PASS,
FACED,geometry,rank8_point_recompute_H500_s0,PASS,
FACED,geometry,rank8_point_recompute_H500_s1,PASS,
FACED,geometry,rank8_point_recompute_H1000_s0,PASS,
FACED,geometry,rank8_point_recompute_H1000_s1,PASS,
FACED,geometry,rank8_point_recompute_H2000_s0,PASS,
FACED,geometry,rank8_point_recompute_H2000_s1,PASS,
FACED,inference,primary_contrast_1,PASS,
FACED,inference,primary_contrast_2,PASS,
FACED,inference,primary_contrast_3,PASS,
FACED,L5,removed_energy_and_holm,PASS,
FACED,independent_history,existing_adversarial_verifiers,PASS,
SEED-V,bootstrap,support_hash,PASS,
SEED-V,split,trial_groups_and_nested_sessions,PASS,
SEED-V,features,payload_hash_random,PASS,
SEED-V,features,payload_hash_released,PASS,
SEED-V,features,payload_hash_H200_s0,PASS,
SEED-V,features,payload_hash_H200_s1,PASS,
SEED-V,features,payload_hash_H500_s0,PASS,
SEED-V,features,payload_hash_H500_s1,PASS,
SEED-V,features,payload_hash_H1000_s0,PASS,
SEED-V,features,payload_hash_H1000_s1,PASS,
SEED-V,features,payload_hash_H2000_s0,PASS,
SEED-V,features,payload_hash_H2000_s1,PASS,
SEED-V,bootstrap,5000_subject_cluster_counts,PASS,
SEED-V,bootstrap,no_window_level_resampling,PASS,
SEED-V,point_metrics,all_ten_refit_from_features,PASS,
SEED-V,L5,energy_match_holm_and_cell_inclusion,PASS,
SEED-V,claims,no_unseen_subject_claim,PASS,
ISRUC_S3,predictions,payload_hash_random,PASS,
ISRUC_S3,task,prediction_recompute_random,PASS,
ISRUC_S3,predictions,payload_hash_released,PASS,
ISRUC_S3,predictions,identity_released,PASS,
ISRUC_S3,task,prediction_recompute_released,PASS,
ISRUC_S3,predictions,payload_hash_H200_s0,PASS,
ISRUC_S3,predictions,identity_H200_s0,PASS,
ISRUC_S3,task,prediction_recompute_H200_s0,PASS,
ISRUC_S3,predictions,payload_hash_H200_s1,PASS,
ISRUC_S3,predictions,identity_H200_s1,PASS,
ISRUC_S3,task,prediction_recompute_H200_s1,PASS,
ISRUC_S3,predictions,payload_hash_H500_s0,PASS,
ISRUC_S3,predictions,identity_H500_s0,PASS,
ISRUC_S3,task,prediction_recompute_H500_s0,PASS,
ISRUC_S3,predictions,payload_hash_H500_s1,PASS,
ISRUC_S3,predictions,identity_H500_s1,PASS,
ISRUC_S3,task,prediction_recompute_H500_s1,PASS,
ISRUC_S3,predictions,payload_hash_H1000_s0,PASS,
ISRUC_S3,predictions,identity_H1000_s0,PASS,
ISRUC_S3,task,prediction_recompute_H1000_s0,PASS,
ISRUC_S3,predictions,payload_hash_H1000_s1,PASS,
ISRUC_S3,predictions,identity_H1000_s1,PASS,
ISRUC_S3,task,prediction_recompute_H1000_s1,PASS,
ISRUC_S3,predictions,payload_hash_H2000_s0,PASS,
ISRUC_S3,predictions,identity_H2000_s0,PASS,
ISRUC_S3,task,prediction_recompute_H2000_s0,PASS,
ISRUC_S3,predictions,payload_hash_H2000_s1,PASS,
ISRUC_S3,predictions,identity_H2000_s1,PASS,
ISRUC_S3,task,prediction_recompute_H2000_s1,PASS,
ISRUC_S3,split,sequence_and_rotation_contract,PASS,
ISRUC_S3,geometry,ten_rotation_support_and_stability,PASS,
ISRUC_S3,L5,null_recompute_H500_s0,PASS,
ISRUC_S3,L5,null_recompute_H500_s1,PASS,
ISRUC_S3,L5,null_recompute_H1000_s0,PASS,
ISRUC_S3,L5,null_recompute_H1000_s1,PASS,
ISRUC_S3,L5,null_recompute_H2000_s0,PASS,
ISRUC_S3,L5,null_recompute_H2000_s1,PASS,
ISRUC_S3,L5,three_of_six_and_paired_seed_inconsistency,PASS,
ISRUC_S3,L5,leave_one_subject_support,PASS,
ALL,firewall,target_labels_final_scoring_only,PASS,
ALL,claims,no_best_seed_or_budget_claim,PASS,
ALL,claims,no_cross_dataset_pvalue,PASS,
ALL,claims,isruc_l5_scoped,PASS,
