dataset,target_subject,alpha,branch,bacc_orig,bacc_injected,R0_exact_bacc,R0_recovery,R1_oracle_bacc,R1_recovery,R2_source_est_bacc,R2_recovery,R3_random_bacc,R3_recovery
BNCI2014_001,8,1.0,spatial_z,0.4965,0.4566,0.4965,1.0,0.4549,-0.0435,0.3854,-1.7826,0.4757,0.4783
BNCI2014_001,8,2.0,spatial_z,0.4965,0.4184,0.4965,1.0,0.4549,0.4667,0.3663,-0.6667,0.4115,-0.0889
BNCI2014_001,9,1.0,spatial_z,0.4115,0.3785,0.4115,1.0,0.4045,0.7895,0.3003,-2.3684,0.3802,0.0526
BNCI2014_001,9,2.0,spatial_z,0.4115,0.3594,0.4115,1.0,0.4045,0.8667,0.3108,-0.9333,0.3681,0.1667
BNCI2015_001,10,1.0,spatial_z,0.6167,0.5033,0.6167,1.0,0.5067,0.0294,0.5517,0.4265,0.5017,-0.0147
BNCI2015_001,10,2.0,spatial_z,0.6167,0.5,0.6167,1.0,0.5067,0.0571,0.5783,0.6714,0.5,0.0
BNCI2015_001,11,1.0,spatial_z,0.5083,0.5067,0.5083,1.0,0.55,26.0,0.5117,3.0,0.5067,0.0
BNCI2015_001,11,2.0,spatial_z,0.5083,0.555,0.5083,1.0,0.55,0.1071,0.5167,0.8214,0.55,0.1071
BNCI2015_001,12,1.0,spatial_z,0.525,0.5125,0.525,1.0,0.515,0.2,0.5125,0.0,0.5125,0.0
BNCI2015_001,12,2.0,spatial_z,0.525,0.505,0.525,1.0,0.515,0.5,0.5075,0.125,0.5125,0.375
BNCI2015_001,1,1.0,spatial_z,0.5925,0.6575,0.5925,1.0,0.5375,1.8462,0.53,1.9615,0.645,0.1923
BNCI2015_001,1,2.0,spatial_z,0.5925,0.5075,0.5925,1.0,0.5375,0.3529,0.5225,0.1765,0.51,0.0294
BNCI2015_001,2,1.0,spatial_z,0.6975,0.545,0.6975,1.0,0.5925,0.3115,0.5675,0.1475,0.55,0.0328
BNCI2015_001,2,2.0,spatial_z,0.6975,0.5,0.6975,1.0,0.5925,0.4684,0.5025,0.0127,0.5,0.0
BNCI2015_001,3,1.0,spatial_z,0.535,0.5,0.535,1.0,0.6375,3.9286,0.7125,6.0714,0.5,0.0
BNCI2015_001,3,2.0,spatial_z,0.535,0.5,0.535,1.0,0.6375,3.9286,0.64,4.0,0.5,0.0
BNCI2015_001,4,1.0,spatial_z,0.755,0.73,0.755,1.0,0.535,-7.8,0.5375,-7.7,0.7225,-0.3
BNCI2015_001,4,2.0,spatial_z,0.755,0.5075,0.755,1.0,0.535,0.1111,0.565,0.2323,0.5025,-0.0202
BNCI2015_001,5,1.0,spatial_z,0.725,0.505,0.725,1.0,0.5175,0.0568,0.5225,0.0795,0.51,0.0227
BNCI2015_001,5,2.0,spatial_z,0.725,0.5,0.725,1.0,0.5175,0.0778,0.52,0.0889,0.5,0.0
BNCI2015_001,6,1.0,spatial_z,0.625,0.525,0.625,1.0,0.525,0.0,0.525,0.0,0.5275,0.025
BNCI2015_001,6,2.0,spatial_z,0.625,0.5125,0.625,1.0,0.525,0.1111,0.515,0.0222,0.515,0.0222
BNCI2015_001,7,1.0,spatial_z,0.485,0.4825,0.485,1.0,0.4875,2.0,0.485,1.0,0.48,-1.0
BNCI2015_001,7,2.0,spatial_z,0.485,0.485,0.485,nan,0.4875,nan,0.48,nan,0.485,nan
BNCI2015_001,8,1.0,spatial_z,0.5017,0.54,0.5017,1.0,0.51,0.7826,0.505,0.913,0.5283,0.3043
BNCI2015_001,8,2.0,spatial_z,0.5017,0.575,0.5017,1.0,0.51,0.8864,0.5,1.0227,0.58,-0.0682
BNCI2015_001,9,1.0,spatial_z,0.6167,0.5017,0.6167,1.0,0.4983,-0.029,0.5,-0.0145,0.5017,0.0
BNCI2015_001,9,2.0,spatial_z,0.6167,0.5,0.6167,1.0,0.4983,-0.0143,0.5,0.0,0.5,0.0
