dataset,target_subject,alpha,bacc_orig,bacc_injected,induced_harm,l5_task_drop,l6_harmful
BNCI2015_001,1,0.25,0.5925,0.5975,-0.005,0.0575,False
BNCI2015_001,1,0.5,0.5925,0.6325,-0.04,0.1,False
BNCI2015_001,1,1.0,0.5925,0.6575,-0.065,0.1275,False
BNCI2015_001,1,2.0,0.5925,0.5075,0.085,-0.015,True
BNCI2015_001,2,0.0,0.6975,0.6975,0.0,0.11,False
BNCI2015_001,2,0.25,0.6975,0.69,0.0075,0.125,False
BNCI2015_001,2,0.5,0.6975,0.6525,0.045,0.07,False
BNCI2015_001,2,1.0,0.6975,0.545,0.1525,-0.0225,True
BNCI2015_001,2,2.0,0.6975,0.5,0.1975,-0.0025,True
BNCI2015_001,3,0.0,0.535,0.535,0.0,-0.0125,True
BNCI2015_001,3,0.25,0.535,0.5125,0.0225,-0.095,True
BNCI2015_001,3,0.5,0.535,0.5025,0.0325,-0.15,True
BNCI2015_001,3,1.0,0.535,0.5,0.035,-0.2125,True
BNCI2015_001,3,2.0,0.535,0.5,0.035,-0.14,True
BNCI2015_001,4,0.0,0.755,0.755,0.0,0.1525,False
BNCI2015_001,4,0.25,0.755,0.77,-0.015,0.1925,False
BNCI2015_001,4,0.5,0.755,0.8,-0.045,0.25,False
BNCI2015_001,4,1.0,0.755,0.73,0.025,0.1925,False
BNCI2015_001,4,2.0,0.755,0.5075,0.2475,-0.0575,True
BNCI2015_001,5,0.0,0.725,0.725,0.0,0.13,False
BNCI2015_001,5,0.25,0.725,0.7475,-0.0225,0.185,False
BNCI2015_001,5,0.5,0.725,0.6625,0.0625,0.1375,False
BNCI2015_001,5,1.0,0.725,0.505,0.22,-0.0175,True
BNCI2015_001,5,2.0,0.725,0.5,0.225,-0.02,True
BNCI2015_001,6,0.0,0.625,0.625,0.0,0.0575,False
BNCI2015_001,6,0.25,0.625,0.6,0.025,0.045,False
BNCI2015_001,6,0.5,0.625,0.5725,0.0525,0.035,False
BNCI2015_001,6,1.0,0.625,0.525,0.1,0.0,False
BNCI2015_001,6,2.0,0.625,0.5125,0.1125,-0.0025,True
BNCI2015_001,7,0.0,0.485,0.485,0.0,-0.01,True
BNCI2015_001,7,0.25,0.485,0.4825,0.0025,-0.005,True
BNCI2015_001,7,0.5,0.485,0.4825,0.0025,-0.005,True
BNCI2015_001,7,1.0,0.485,0.4825,0.0025,-0.0025,True
BNCI2015_001,7,2.0,0.485,0.485,0.0,0.005,False
BNCI2015_001,8,0.0,0.5017,0.5017,0.0,-0.025,True
BNCI2015_001,8,0.25,0.5017,0.515,-0.0133,-0.015,True
BNCI2015_001,8,0.5,0.5017,0.5233,-0.0217,0.0067,False
BNCI2015_001,8,1.0,0.5017,0.54,-0.0383,0.035,False
BNCI2015_001,8,2.0,0.5017,0.575,-0.0733,0.075,False
BNCI2015_001,9,0.0,0.6167,0.6167,0.0,0.1133,False
BNCI2015_001,9,0.25,0.6167,0.575,0.0417,0.075,False
BNCI2015_001,9,0.5,0.6167,0.5283,0.0883,0.0283,False
BNCI2015_001,9,1.0,0.6167,0.5017,0.115,0.0017,False
BNCI2015_001,9,2.0,0.6167,0.5,0.1167,0.0,False
