dataset,target_subject,branch,alpha,bacc_orig,bacc_injected,induced_harm,l1_subject_bacc,l5_task_drop,l5_task_drop_random,l5_symkl,l5_symkl_random
BNCI2014_001,9,spatial_z,0.5,0.4115,0.3976,0.0139,0.9852,0.0816,0.0104,0.3114,0.0075
BNCI2014_001,9,spatial_z,1.0,0.4115,0.3785,0.033,0.998,0.0781,-0.0035,0.2765,0.006
BNCI2014_001,9,spatial_z,2.0,0.4115,0.3594,0.0521,1.0,0.0486,0.026,0.2598,0.0084
BNCI2014_001,9,graph_z,1.0,0.4115,0.3872,0.0243,1.0,-0.0243,-0.0122,0.0444,0.0032
BNCI2014_001,9,temporal_z,1.0,0.4115,0.3906,0.0208,0.9616,-0.0052,0.0052,0.051,0.0018
BNCI2015_001,10,spatial_z,0.0,0.6167,0.6167,0.0,0.7891,0.0833,-0.0033,0.161,0.0051
BNCI2015_001,10,spatial_z,0.25,0.6167,0.59,0.0267,0.999,0.0833,0.0083,0.0919,0.0014
BNCI2015_001,10,spatial_z,0.5,0.6167,0.5567,0.06,0.9995,0.0333,-0.0017,0.0747,0.0
BNCI2015_001,10,spatial_z,1.0,0.6167,0.5033,0.1133,1.0,-0.0483,0.0,0.1119,0.0001
BNCI2015_001,10,spatial_z,2.0,0.6167,0.5,0.1167,1.0,-0.0783,0.0,0.1495,0.0
BNCI2015_001,10,graph_z,1.0,0.6167,0.6033,0.0133,1.0,-0.0267,-0.0033,0.0711,0.0002
BNCI2015_001,10,temporal_z,1.0,0.6167,0.5767,0.04,1.0,-0.025,-0.0033,0.1263,0.0001
BNCI2015_001,11,spatial_z,0.0,0.5083,0.5083,0.0,0.8445,-0.025,0.005,0.6802,0.0025
BNCI2015_001,11,spatial_z,0.25,0.5083,0.5117,-0.0033,0.9995,0.0033,-0.0017,1.1196,0.0001
BNCI2015_001,11,spatial_z,0.5,0.5083,0.515,-0.0067,1.0,0.0083,0.0017,1.2289,0.001
BNCI2015_001,11,spatial_z,1.0,0.5083,0.5067,0.0017,1.0,-0.005,-0.0017,1.4027,0.0001
BNCI2015_001,11,spatial_z,2.0,0.5083,0.555,-0.0467,1.0,0.0383,0.025,2.8639,0.7818
BNCI2015_001,11,graph_z,1.0,0.5083,0.4967,0.0117,1.0,0.01,0.0,0.548,0.0006
BNCI2015_001,11,temporal_z,1.0,0.5083,0.515,-0.0067,1.0,-0.0067,0.0,0.206,0.0233
BNCI2015_001,12,spatial_z,0.0,0.525,0.525,0.0,0.8249,-0.0275,0.0,0.3563,0.0003
BNCI2015_001,12,spatial_z,0.25,0.525,0.5125,0.0125,0.999,0.0,0.0025,0.309,0.0018
BNCI2015_001,12,spatial_z,0.5,0.525,0.505,0.02,1.0,-0.0075,-0.0025,0.2549,0.0027
BNCI2015_001,12,spatial_z,1.0,0.525,0.5125,0.0125,1.0,-0.0,0.0,0.1417,0.0012
BNCI2015_001,12,spatial_z,2.0,0.525,0.505,0.02,1.0,-0.0025,0.005,0.2134,0.0099
BNCI2015_001,12,graph_z,1.0,0.525,0.51,0.015,1.0,0.0025,-0.0025,0.0631,0.0002
BNCI2015_001,12,temporal_z,1.0,0.525,0.515,0.01,1.0,0.005,0.005,0.1228,0.0091
BNCI2015_001,1,spatial_z,0.0,0.5925,0.5925,0.0,0.8351,0.0525,0.0025,0.003,0.0
BNCI2015_001,1,spatial_z,0.25,0.5925,0.5975,-0.005,0.9957,0.0575,0.005,0.005,0.0001
BNCI2015_001,1,spatial_z,0.5,0.5925,0.6325,-0.04,0.9995,0.1,0.0475,0.0065,0.0004
BNCI2015_001,1,spatial_z,1.0,0.5925,0.6575,-0.065,0.9998,0.1275,0.01,0.012,0.0
BNCI2015_001,1,spatial_z,2.0,0.5925,0.5075,0.085,1.0,-0.015,-0.0075,0.0726,0.0005
BNCI2015_001,1,graph_z,1.0,0.5925,0.6075,-0.015,1.0,0.02,-0.015,0.0131,0.0008
BNCI2015_001,1,temporal_z,1.0,0.5925,0.615,-0.0225,1.0,-0.035,-0.005,0.0381,0.0001
BNCI2015_001,2,spatial_z,0.0,0.6975,0.6975,0.0,0.822,0.11,0.0,0.0052,0.0
BNCI2015_001,2,spatial_z,0.25,0.6975,0.69,0.0075,0.9989,0.125,0.0075,0.0013,0.0001
BNCI2015_001,2,spatial_z,0.5,0.6975,0.6525,0.045,0.9995,0.07,-0.0125,0.0011,0.0
BNCI2015_001,2,spatial_z,1.0,0.6975,0.545,0.1525,1.0,-0.0225,0.015,0.0029,0.0003
BNCI2015_001,2,spatial_z,2.0,0.6975,0.5,0.1975,1.0,-0.0025,0.0,0.0066,0.0
BNCI2015_001,2,graph_z,1.0,0.6975,0.6875,0.01,1.0,-0.04,-0.01,0.0032,0.0001
BNCI2015_001,2,temporal_z,1.0,0.6975,0.61,0.0875,0.9998,0.0675,-0.0025,0.0114,0.0
BNCI2015_001,3,spatial_z,0.0,0.535,0.535,0.0,0.8221,-0.0125,-0.0075,1.7044,0.0011
BNCI2015_001,3,spatial_z,0.25,0.535,0.5125,0.0225,0.9973,-0.095,0.0025,1.317,0.0004
BNCI2015_001,3,spatial_z,0.5,0.535,0.5025,0.0325,0.9995,-0.15,0.0025,2.6342,0.0292
BNCI2015_001,3,spatial_z,1.0,0.535,0.5,0.035,0.9998,-0.2125,0.0,3.2187,0.0022
BNCI2015_001,3,spatial_z,2.0,0.535,0.5,0.035,1.0,-0.14,0.0,5.383,0.0
BNCI2015_001,3,graph_z,1.0,0.535,0.5175,0.0175,1.0,-0.0025,-0.005,0.0143,0.0001
BNCI2015_001,3,temporal_z,1.0,0.535,0.51,0.025,1.0,-0.0225,-0.0075,0.0207,0.0016
BNCI2015_001,4,spatial_z,0.0,0.755,0.755,0.0,0.8052,0.1525,0.0075,0.1304,0.0004
BNCI2015_001,4,spatial_z,0.25,0.755,0.77,-0.015,0.9939,0.1925,0.005,0.1593,0.0012
BNCI2015_001,4,spatial_z,0.5,0.755,0.8,-0.045,0.9992,0.25,0.005,0.2173,0.0002
BNCI2015_001,4,spatial_z,1.0,0.755,0.73,0.025,0.9998,0.1925,-0.0225,0.3797,0.0096
BNCI2015_001,4,spatial_z,2.0,0.755,0.5075,0.2475,1.0,-0.0575,-0.0025,1.0032,0.0002
BNCI2015_001,4,graph_z,1.0,0.755,0.62,0.135,1.0,-0.1475,-0.0075,0.0465,0.0001
BNCI2015_001,4,temporal_z,1.0,0.755,0.7375,0.0175,0.9998,-0.01,0.0,0.0705,0.0
BNCI2015_001,5,spatial_z,0.0,0.725,0.725,0.0,0.7942,0.13,0.0525,0.0898,0.0042
BNCI2015_001,5,spatial_z,0.25,0.725,0.7475,-0.0225,0.9967,0.185,0.0175,0.1282,0.0018
BNCI2015_001,5,spatial_z,0.5,0.725,0.6625,0.0625,0.9994,0.1375,-0.06,0.3511,0.0073
BNCI2015_001,5,spatial_z,1.0,0.725,0.505,0.22,0.9998,-0.0175,0.0,1.1412,0.0059
BNCI2015_001,5,spatial_z,2.0,0.725,0.5,0.225,1.0,-0.02,0.0,2.9747,0.0001
BNCI2015_001,5,graph_z,1.0,0.725,0.58,0.145,1.0,-0.1575,0.015,0.1533,0.0003
BNCI2015_001,5,temporal_z,1.0,0.725,0.655,0.07,1.0,-0.0675,0.0075,0.134,0.0003
BNCI2015_001,6,spatial_z,0.0,0.625,0.625,0.0,0.8379,0.0575,0.005,0.3013,0.0004
BNCI2015_001,6,spatial_z,0.25,0.625,0.6,0.025,0.9961,0.045,-0.0025,0.3046,0.0005
BNCI2015_001,6,spatial_z,0.5,0.625,0.5725,0.0525,0.9992,0.035,0.0075,0.2865,0.0013
BNCI2015_001,6,spatial_z,1.0,0.625,0.525,0.1,0.9998,0.0,0.0075,0.2303,0.001
BNCI2015_001,6,spatial_z,2.0,0.625,0.5125,0.1125,0.9998,-0.0025,0.005,0.1322,0.001
BNCI2015_001,6,graph_z,1.0,0.625,0.6225,0.0025,1.0,-0.01,0.0,0.1731,0.0001
BNCI2015_001,6,temporal_z,1.0,0.625,0.535,0.09,1.0,-0.0675,0.0,0.3042,0.0003
BNCI2015_001,7,spatial_z,0.0,0.485,0.485,0.0,0.8302,-0.01,0.005,0.0681,0.0001
BNCI2015_001,7,spatial_z,0.25,0.485,0.4825,0.0025,0.9986,-0.005,0.0,0.09,0.0001
BNCI2015_001,7,spatial_z,0.5,0.485,0.4825,0.0025,0.9996,-0.005,0.0,0.0828,0.0002
BNCI2015_001,7,spatial_z,1.0,0.485,0.4825,0.0025,0.9998,-0.0025,0.0,0.069,0.0
BNCI2015_001,7,spatial_z,2.0,0.485,0.485,0.0,1.0,0.005,0.0,0.038,0.0
BNCI2015_001,7,graph_z,1.0,0.485,0.5025,-0.0175,1.0,0.0,0.0025,0.361,0.0041
BNCI2015_001,7,temporal_z,1.0,0.485,0.4875,-0.0025,1.0,0.0,-0.0025,0.0288,0.0001
BNCI2015_001,8,spatial_z,0.0,0.5017,0.5017,0.0,0.8139,-0.025,-0.0033,0.0841,0.0001
BNCI2015_001,8,spatial_z,0.25,0.5017,0.515,-0.0133,0.9927,-0.015,0.01,0.0818,0.0004
BNCI2015_001,8,spatial_z,0.5,0.5017,0.5233,-0.0217,0.9994,0.0067,-0.0117,0.0586,0.0004
BNCI2015_001,8,spatial_z,1.0,0.5017,0.54,-0.0383,0.9998,0.035,0.005,0.0148,0.0001
BNCI2015_001,8,spatial_z,2.0,0.5017,0.575,-0.0733,0.9998,0.075,-0.0133,0.0308,0.0008
BNCI2015_001,8,graph_z,1.0,0.5017,0.5183,-0.0167,1.0,0.0167,0.005,0.0488,0.0
BNCI2015_001,8,temporal_z,1.0,0.5017,0.5133,-0.0117,1.0,0.01,0.0,0.0043,0.0002
BNCI2015_001,9,spatial_z,0.0,0.6167,0.6167,0.0,0.8333,0.1133,-0.0117,0.231,0.0188
BNCI2015_001,9,spatial_z,0.25,0.6167,0.575,0.0417,0.9987,0.075,-0.0083,0.1712,0.0028
BNCI2015_001,9,spatial_z,0.5,0.6167,0.5283,0.0883,0.9996,0.0283,-0.0283,0.2283,0.0654
BNCI2015_001,9,spatial_z,1.0,0.6167,0.5017,0.115,0.9998,0.0017,0.0,0.3856,0.0072
BNCI2015_001,9,spatial_z,2.0,0.6167,0.5,0.1167,1.0,0.0,0.0,0.4369,0.0002
BNCI2015_001,9,graph_z,1.0,0.6167,0.6167,0.0,1.0,-0.0033,0.005,0.1048,0.0012
BNCI2015_001,9,temporal_z,1.0,0.6167,0.51,0.1067,1.0,-0.03,-0.0033,0.0905,0.0005
