scope,dataset,level,method_id,component,signed_distance,normalized_deficit,boundary_class,frozen_decision,analysis_status,source_artifacts,source_row_keys,confirmatory_gate_changed
FULL_PANEL,Lee2019_MI,ALL,U15,Q2_target_count,-2,0.11764705882352941,MODERATE,False,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/dataset_Q1_Q2.csv,dataset=Lee2019_MI|method_id=U15,0
LEVEL_SPECIFIC_DESCRIPTIVE_COMPONENT,Cho2017,1,U15,Q2_target_count_descriptive,-2,0.13333333333333333,MODERATE,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/level_specific_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv,dataset=Cho2017|level=1|method_id=U15,0
LEVEL_SPECIFIC_DESCRIPTIVE_COMPONENT,PhysionetMI,0,U11,Q1_favorable_descriptive,-10,0.17543859649122806,MODERATE,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/level_specific_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv,dataset=PhysionetMI|level=0|method_id=U11,0
LEVEL_SPECIFIC_DESCRIPTIVE_COMPONENT,PhysionetMI,0,U11,Q2_target_count_descriptive,-10,0.17543859649122806,MODERATE,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/level_specific_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv,dataset=PhysionetMI|level=0|method_id=U11,0
LEVEL_SPECIFIC_DESCRIPTIVE_COMPONENT,Lee2019_MI,1,U11,Q2_worst_descriptive,-0.037010659661391,0.185053298306955,MODERATE,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/level_specific_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv,dataset=Lee2019_MI|level=1|method_id=U11,0
LEVEL_SPECIFIC_DESCRIPTIVE_COMPONENT,PhysionetMI,1,U15,Q2_target_count_descriptive,-11,0.19298245614035087,MODERATE,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/level_specific_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv,dataset=PhysionetMI|level=1|method_id=U15,0
FULL_PANEL,Lee2019_MI,ALL,U15,Q2_upper,-0.010904179429480826,0.21808358858961652,MODERATE,False,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/dataset_Q1_Q2.csv,dataset=Lee2019_MI|method_id=U15,0
FULL_PANEL,PhysionetMI,ALL,U15,Q2_target_count,-15,0.2631578947368421,MODERATE,False,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/dataset_Q1_Q2.csv,dataset=PhysionetMI|method_id=U15,0
LEVEL_SPECIFIC_DESCRIPTIVE_COMPONENT,Cho2017,0,U15,Q2_target_count_descriptive,-4,0.26666666666666666,MODERATE,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/level_specific_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv,dataset=Cho2017|level=0|method_id=U15,0
LEVEL_SPECIFIC_DESCRIPTIVE_COMPONENT,PhysionetMI,1,U15,Q2_maxT,-0.013963867738834554,0.2792773547766911,MODERATE,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/level_specific_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv,dataset=PhysionetMI|level=1|method_id=U15,0
LEVEL_SPECIFIC_DESCRIPTIVE_COMPONENT,PhysionetMI,0,U13,Q2_worst_descriptive,-0.061917292867814944,0.3095864643390747,MODERATE,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/level_specific_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv,dataset=PhysionetMI|level=0|method_id=U13,0
FULL_PANEL,PhysionetMI,ALL,U15,Q2_upper,-0.01640678923990542,0.3281357847981084,MODERATE,False,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/dataset_Q1_Q2.csv,dataset=PhysionetMI|method_id=U15,0
LEVEL_SPECIFIC_DESCRIPTIVE_COMPONENT,Cho2017,1,U15,Q2_panel_seed_descriptive,-1,0.3333333333333333,MODERATE,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/level_specific_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv,dataset=Cho2017|level=1|method_id=U15,0
FULL_PANEL,Cho2017,ALL,U15,Q2_target_count,-5,0.3333333333333333,MODERATE,False,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/dataset_Q1_Q2.csv,dataset=Cho2017|method_id=U15,0
LEVEL_SPECIFIC_DESCRIPTIVE_COMPONENT,Lee2019_MI,0,U15,Q2_panel_seed_descriptive,-1,0.3333333333333333,MODERATE,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/level_specific_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv,dataset=Lee2019_MI|level=0|method_id=U15,0
LEVEL_SPECIFIC_DESCRIPTIVE_COMPONENT,Lee2019_MI,0,U7,Q2_panel_seed_descriptive,-1,0.3333333333333333,MODERATE,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/level_specific_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv,dataset=Lee2019_MI|level=0|method_id=U7,0
LEVEL_SPECIFIC_DESCRIPTIVE_COMPONENT,PhysionetMI,0,U15,Q2_panel_seed_descriptive,-1,0.3333333333333333,MODERATE,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/level_specific_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv,dataset=PhysionetMI|level=0|method_id=U15,0
LEVEL_SPECIFIC_DESCRIPTIVE_COMPONENT,PhysionetMI,0,U5,Q1_panel_seed_descriptive,-1,0.3333333333333333,MODERATE,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/level_specific_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv,dataset=PhysionetMI|level=0|method_id=U5,0
LEVEL_SPECIFIC_DESCRIPTIVE_COMPONENT,PhysionetMI,0,U5,Q2_panel_seed_descriptive,-1,0.3333333333333333,MODERATE,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/level_specific_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv,dataset=PhysionetMI|level=0|method_id=U5,0
LEVEL_SPECIFIC_DESCRIPTIVE_COMPONENT,PhysionetMI,0,U7,Q1_panel_seed_descriptive,-1,0.3333333333333333,MODERATE,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/level_specific_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv,dataset=PhysionetMI|level=0|method_id=U7,0
LEVEL_SPECIFIC_DESCRIPTIVE_COMPONENT,PhysionetMI,0,U7,Q2_panel_seed_descriptive,-1,0.3333333333333333,MODERATE,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/level_specific_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv,dataset=PhysionetMI|level=0|method_id=U7,0
LEVEL_SPECIFIC_DESCRIPTIVE_COMPONENT,Lee2019_MI,1,U15,Q2_worst_descriptive,-0.07677599816949543,0.38387999084747715,MODERATE,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/level_specific_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv,dataset=Lee2019_MI|level=1|method_id=U15,0
LEVEL_SPECIFIC_DESCRIPTIVE_COMPONENT,PhysionetMI,0,U15,Q2_target_count_descriptive,-22,0.38596491228070173,MODERATE,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/level_specific_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv,dataset=PhysionetMI|level=0|method_id=U15,0
FULL_PANEL,PhysionetMI,ALL,U15,Q2_worst,-0.07725404210753617,0.38627021053768085,MODERATE,False,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/dataset_Q1_Q2.csv,dataset=PhysionetMI|method_id=U15,0
LEVEL_SPECIFIC_DESCRIPTIVE_COMPONENT,Cho2017,0,U15,Q2_worst_descriptive,-0.07734168965803823,0.38670844829019113,MODERATE,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/level_specific_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv,dataset=Cho2017|level=0|method_id=U15,0
LEVEL_SPECIFIC_DESCRIPTIVE_COMPONENT,Cho2017,1,U14,Q2_target_count_descriptive,-6,0.4,MODERATE,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/level_specific_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv,dataset=Cho2017|level=1|method_id=U14,0
LEVEL_SPECIFIC_DESCRIPTIVE_COMPONENT,Cho2017,0,U7,Q1_favorable_descriptive,-6,0.4,MODERATE,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/level_specific_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv,dataset=Cho2017|level=0|method_id=U7,0
LEVEL_SPECIFIC_DESCRIPTIVE_COMPONENT,Lee2019_MI,0,U7,Q1_favorable_descriptive,-7,0.4117647058823529,MODERATE,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/level_specific_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv,dataset=Lee2019_MI|level=0|method_id=U7,0
LEVEL_SPECIFIC_DESCRIPTIVE_COMPONENT,Lee2019_MI,0,U7,Q2_target_count_descriptive,-7,0.4117647058823529,MODERATE,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/level_specific_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv,dataset=Lee2019_MI|level=0|method_id=U7,0
LEVEL_SPECIFIC_DESCRIPTIVE_COMPONENT,PhysionetMI,0,U5,Q1_favorable_descriptive,-24,0.42105263157894735,MODERATE,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/level_specific_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv,dataset=PhysionetMI|level=0|method_id=U5,0
LEVEL_SPECIFIC_DESCRIPTIVE_COMPONENT,Lee2019_MI,0,U15,Q2_worst_descriptive,-0.08777390470104901,0.43886952350524505,MODERATE,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/level_specific_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv,dataset=Lee2019_MI|level=0|method_id=U15,0
LEVEL_SPECIFIC_DESCRIPTIVE_COMPONENT,PhysionetMI,0,U7,Q1_favorable_descriptive,-26,0.45614035087719296,MODERATE,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/level_specific_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv,dataset=PhysionetMI|level=0|method_id=U7,0
LEVEL_SPECIFIC_DESCRIPTIVE_COMPONENT,PhysionetMI,1,U7,Q2_target_count_descriptive,-26,0.45614035087719296,MODERATE,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/level_specific_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv,dataset=PhysionetMI|level=1|method_id=U7,0
LEVEL_SPECIFIC_DESCRIPTIVE_COMPONENT,Cho2017,1,U7,Q2_target_count_descriptive,-7,0.4666666666666667,MODERATE,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/level_specific_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv,dataset=Cho2017|level=1|method_id=U7,0
FULL_PANEL,Cho2017,ALL,U7,Q2_target_count,-7,0.4666666666666667,MODERATE,False,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/dataset_Q1_Q2.csv,dataset=Cho2017|method_id=U7,0
LEVEL_SPECIFIC_DESCRIPTIVE_COMPONENT,PhysionetMI,0,U5,Q2_target_count_descriptive,-27,0.47368421052631576,MODERATE,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/level_specific_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv,dataset=PhysionetMI|level=0|method_id=U5,0
FULL_PANEL,PhysionetMI,ALL,U5,Q2_target_count,-27,0.47368421052631576,MODERATE,False,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/dataset_Q1_Q2.csv,dataset=PhysionetMI|method_id=U5,0
FULL_PANEL,PhysionetMI,ALL,U5,Q1_favorable,-28,0.49122807017543857,MODERATE,False,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/dataset_Q1_Q2.csv,dataset=PhysionetMI|method_id=U5,0
FULL_PANEL,PhysionetMI,ALL,U7,Q2_target_count,-28,0.49122807017543857,MODERATE,False,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/dataset_Q1_Q2.csv,dataset=PhysionetMI|method_id=U7,0
LEVEL_SPECIFIC_DESCRIPTIVE_COMPONENT,PhysionetMI,1,U13,Q2_worst_descriptive,-0.10056047616258912,0.5028023808129456,MATERIAL,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/level_specific_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv,dataset=PhysionetMI|level=1|method_id=U13,0
LEVEL_SPECIFIC_DESCRIPTIVE_COMPONENT,PhysionetMI,0,U7,Q2_target_count_descriptive,-29,0.5087719298245614,MATERIAL,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/level_specific_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv,dataset=PhysionetMI|level=0|method_id=U7,0
LEVEL_SPECIFIC_DESCRIPTIVE_COMPONENT,PhysionetMI,1,U5,Q2_target_count_descriptive,-30,0.5263157894736842,MATERIAL,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/level_specific_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv,dataset=PhysionetMI|level=1|method_id=U5,0
LEVEL_SPECIFIC_DESCRIPTIVE_COMPONENT,Cho2017,1,U14,Q1_favorable_descriptive,-8,0.5333333333333333,MATERIAL,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/level_specific_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv,dataset=Cho2017|level=1|method_id=U14,0
FULL_PANEL,Cho2017,ALL,U7,Q1_favorable,-8,0.5333333333333333,MATERIAL,False,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/dataset_Q1_Q2.csv,dataset=Cho2017|method_id=U7,0
LEVEL_SPECIFIC_DESCRIPTIVE_COMPONENT,PhysionetMI,1,U5,Q1_favorable_descriptive,-31,0.543859649122807,MATERIAL,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/level_specific_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv,dataset=PhysionetMI|level=1|method_id=U5,0
LEVEL_SPECIFIC_DESCRIPTIVE_COMPONENT,PhysionetMI,1,U7,Q1_favorable_descriptive,-31,0.543859649122807,MATERIAL,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/level_specific_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv,dataset=PhysionetMI|level=1|method_id=U7,0
FULL_PANEL,PhysionetMI,ALL,U7,Q1_favorable,-31,0.543859649122807,MATERIAL,False,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/dataset_Q1_Q2.csv,dataset=PhysionetMI|method_id=U7,0
