source_milestone,cohort_or_seed,method_id,method_name,mean_standardized_regret,mean_direction_vs_S1,registered_p_or_gate,Q1_or_source_gate_status,worst_target_or_tail_status,Q2_status,top1,top5,top10,rank_association,level_or_seed_effect,LOTO_status,epistemic_role,analysis_status,source_artifacts,source_row_keys,confirmatory_gate_changed
C82,BNCI2014_001_seed4,U5,NuclearNorm,0.7661732914334574,POSITIVE,1.0,FAIL,-0.07688466215042555,FAIL,0.0,0.0,0.0,-0.5205920077857925,seed-specific row; compare paired seed rows without pooled p-value,global_C82_method_aware_rule_7_of_16; not per-method panel ledger,post_C81_outcome_access_same_field_recovery,POST_C84S_EXPLORATORY_DESCRIPTIVE,oaci/reports/c82e_tables/seed_specific_method_results.csv|oaci/reports/c82e_tables/seed_method_Q1_Q2.csv|oaci/reports/c82e_tables/measurement_vs_decision_separation.csv|oaci/reports/c82e_tables/leave_one_target_method_stability.csv,seed=4|method_id=U5,0
C82,BNCI2014_001_seed4,U7,ATC,0.7209056660389691,POSITIVE,0.9727626459143969,FAIL,-0.15844473733760134,FAIL,0.0,0.0,0.0,-0.3694303452419798,seed-specific row; compare paired seed rows without pooled p-value,global_C82_method_aware_rule_7_of_16; not per-method panel ledger,post_C81_outcome_access_same_field_recovery,POST_C84S_EXPLORATORY_DESCRIPTIVE,oaci/reports/c82e_tables/seed_specific_method_results.csv|oaci/reports/c82e_tables/seed_method_Q1_Q2.csv|oaci/reports/c82e_tables/measurement_vs_decision_separation.csv|oaci/reports/c82e_tables/leave_one_target_method_stability.csv,seed=4|method_id=U7,0
C82,BNCI2014_001_seed4,U11,MaNo,0.8741790516622012,NEGATIVE,1.0,FAIL,-0.27121069478440984,FAIL,0.0,0.0,0.0,-0.4144676085973219,seed-specific row; compare paired seed rows without pooled p-value,global_C82_method_aware_rule_7_of_16; not per-method panel ledger,post_C81_outcome_access_same_field_recovery,POST_C84S_EXPLORATORY_DESCRIPTIVE,oaci/reports/c82e_tables/seed_specific_method_results.csv|oaci/reports/c82e_tables/seed_method_Q1_Q2.csv|oaci/reports/c82e_tables/measurement_vs_decision_separation.csv|oaci/reports/c82e_tables/leave_one_target_method_stability.csv,seed=4|method_id=U11,0
C82,BNCI2014_001_seed4,U13,COTT,0.4653350333230629,POSITIVE,0.10116731517509728,FAIL,-0.07688466215042555,FAIL,0.0,0.25,0.3125,0.18423166857231696,seed-specific row; compare paired seed rows without pooled p-value,global_C82_method_aware_rule_7_of_16; not per-method panel ledger,post_C81_outcome_access_same_field_recovery,POST_C84S_EXPLORATORY_DESCRIPTIVE,oaci/reports/c82e_tables/seed_specific_method_results.csv|oaci/reports/c82e_tables/seed_method_Q1_Q2.csv|oaci/reports/c82e_tables/measurement_vs_decision_separation.csv|oaci/reports/c82e_tables/leave_one_target_method_stability.csv,seed=4|method_id=U13,0
C82,BNCI2014_001_seed4,U14,SND,0.6610950733080356,POSITIVE,0.6264591439688716,FAIL,-0.06988326115609111,FAIL,0.0625,0.1875,0.1875,0.1631734429098003,seed-specific row; compare paired seed rows without pooled p-value,global_C82_method_aware_rule_7_of_16; not per-method panel ledger,post_C81_outcome_access_same_field_recovery,POST_C84S_EXPLORATORY_DESCRIPTIVE,oaci/reports/c82e_tables/seed_specific_method_results.csv|oaci/reports/c82e_tables/seed_method_Q1_Q2.csv|oaci/reports/c82e_tables/measurement_vs_decision_separation.csv|oaci/reports/c82e_tables/leave_one_target_method_stability.csv,seed=4|method_id=U14,0
C82,BNCI2014_001_seed4,U15,Agreement-on-the-Line,0.8048232601796825,ZERO,1.0,FAIL,0.0,FAIL,0.0,0.0,0.0,-0.46000257857505034,seed-specific row; compare paired seed rows without pooled p-value,global_C82_method_aware_rule_7_of_16; not per-method panel ledger,post_C81_outcome_access_same_field_recovery,POST_C84S_EXPLORATORY_DESCRIPTIVE,oaci/reports/c82e_tables/seed_specific_method_results.csv|oaci/reports/c82e_tables/seed_method_Q1_Q2.csv|oaci/reports/c82e_tables/measurement_vs_decision_separation.csv|oaci/reports/c82e_tables/leave_one_target_method_stability.csv,seed=4|method_id=U15,0
C80,BNCI2014_001_seed4,Q0_B1,Q0 B=1,0.3737050812998979,POSITIVE,0.042801556420233464,PASS,0,NOT_APPLICABLE,0.03839111328125,0.164825439453125,0.29412841796875,NOT_FROZEN_AS_COMPARABLE_SPEARMAN,source_regret=0.8048232601796825; paired seed frontier,frontier_LOTO_sensitive_2_to_4_envelope,construction_label_source_relative_policy,POST_C84S_EXPLORATORY_DESCRIPTIVE,oaci/reports/c80e_tables/seed4_budget_frontier.csv|oaci/reports/c80e_tables/topk_coverage_summary.csv|oaci/reports/c80e_tables/leave_one_target_out_sensitivity.csv,seed=4|budget=1,0
C80,BNCI2014_001_seed4,Q0_FULL,Q0 FULL,0.1106669682773286,POSITIVE,0.007782101167315175,PASS,0,NOT_APPLICABLE,0.125,0.5,0.6875,NOT_FROZEN_AS_COMPARABLE_SPEARMAN,source_regret=0.8048232601796825; paired seed frontier,frontier_LOTO_sensitive_2_to_4_envelope,construction_label_source_relative_policy,POST_C84S_EXPLORATORY_DESCRIPTIVE,oaci/reports/c80e_tables/seed4_budget_frontier.csv|oaci/reports/c80e_tables/topk_coverage_summary.csv|oaci/reports/c80e_tables/leave_one_target_out_sensitivity.csv,seed=4|budget=FULL,0
C84,Lee2019_MI,S1,Strict source,0.4251634880359768,COMPARATOR,NOT_APPLICABLE,STRICT_SOURCE_COMPARATOR,NOT_APPLICABLE,NOT_APPLICABLE,0.0625,0.1534090909090909,0.1875,-0.07413724536549521,panel_seed_level_repeated_factor_comparator,category_preserved_21_of_22,harmonized_binary_MI_external_cohort_frozen_policy,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/selected_utility_summary.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/topk_decision_summary.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/measurement_vs_decision.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/dataset_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/level_specific_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/leave_one_target_out.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_frontier.csv,dataset=Lee2019_MI|method_id=S1,0
C84,Lee2019_MI,U5,NuclearNorm,0.6054626709971695,NEGATIVE,1.0,FAIL,-0.5120031718072694,FAIL,0.011363636363636364,0.022727272727272728,0.022727272727272728,-0.101819145365066,level0_Q1=0;level1_Q1=0;level_heterogeneity=0,category_preserved_21_of_22,harmonized_binary_MI_external_cohort_frozen_policy,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/selected_utility_summary.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/topk_decision_summary.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/measurement_vs_decision.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/dataset_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/level_specific_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/leave_one_target_out.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_frontier.csv,dataset=Lee2019_MI|method_id=U5,0
C84,Lee2019_MI,U7,ATC,0.5804035444836942,NEGATIVE,1.0,FAIL,-0.5021153501255503,FAIL,0.03977272727272727,0.10227272727272728,0.14204545454545456,-0.16239093175202512,level0_Q1=0;level1_Q1=0;level_heterogeneity=0,category_preserved_21_of_22,harmonized_binary_MI_external_cohort_frozen_policy,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/selected_utility_summary.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/topk_decision_summary.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/measurement_vs_decision.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/dataset_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/level_specific_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/leave_one_target_out.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_frontier.csv,dataset=Lee2019_MI|method_id=U7,0
C84,Lee2019_MI,U11,MaNo,0.3007868128734381,POSITIVE,0.14854204495170667,FAIL,-0.29559922064449745,FAIL,0.13636363636363635,0.3409090909090909,0.4431818181818182,-0.001387492005515341,level0_Q1=0;level1_Q1=0;level_heterogeneity=1,category_preserved_21_of_22,harmonized_binary_MI_external_cohort_frozen_policy,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/selected_utility_summary.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/topk_decision_summary.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/measurement_vs_decision.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/dataset_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/level_specific_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/leave_one_target_out.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_frontier.csv,dataset=Lee2019_MI|method_id=U11,0
C84,Lee2019_MI,U13,COTT,0.2771250013777152,POSITIVE,0.006759540412286189,FAIL,-0.10787324378695262,PASS,0.125,0.3465909090909091,0.4715909090909091,0.28352377736249373,level0_Q1=1;level1_Q1=0;level_heterogeneity=1,category_preserved_21_of_22,harmonized_binary_MI_external_cohort_frozen_policy,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/selected_utility_summary.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/topk_decision_summary.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/measurement_vs_decision.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/dataset_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/level_specific_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/leave_one_target_out.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_frontier.csv,dataset=Lee2019_MI|method_id=U13,0
C84,Lee2019_MI,U14,SND,0.7684869445649735,NEGATIVE,1.0,FAIL,-0.7353731184338401,FAIL,0.005681818181818182,0.056818181818181816,0.07954545454545454,-0.308004667309609,level0_Q1=0;level1_Q1=0;level_heterogeneity=0,category_preserved_21_of_22,harmonized_binary_MI_external_cohort_frozen_policy,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/selected_utility_summary.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/topk_decision_summary.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/measurement_vs_decision.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/dataset_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/level_specific_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/leave_one_target_out.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_frontier.csv,dataset=Lee2019_MI|method_id=U14,0
C84,Lee2019_MI,U15,Agreement-on-the-Line,0.42394910249424034,POSITIVE,1.0,FAIL,0.0,FAIL,0.0625,0.1534090909090909,0.1875,-0.07413680885360704,level0_Q1=0;level1_Q1=0;level_heterogeneity=1,category_preserved_21_of_22,harmonized_binary_MI_external_cohort_frozen_policy,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/selected_utility_summary.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/topk_decision_summary.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/measurement_vs_decision.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/dataset_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/level_specific_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/leave_one_target_out.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_frontier.csv,dataset=Lee2019_MI|method_id=U15,0
C84,Lee2019_MI,Q0_B1,Q0 B=1,0.4324230767755673,NEGATIVE,0.9999542243312938,FAIL,-0.24822878209014865,NOT_APPLICABLE,0.07168856534090909,0.19519597833806818,0.2675226384943182,0.10532718206751544,level0_Bstar=NONE;level1_Bstar=NONE,category_preserved_21_of_22,harmonized_binary_MI_external_cohort_frozen_policy,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/selected_utility_summary.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/topk_decision_summary.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/measurement_vs_decision.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/dataset_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/level_specific_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/leave_one_target_out.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_frontier.csv,dataset=Lee2019_MI|method_id=Q0_B1,0
C84,Lee2019_MI,Q0_FULL,Q0 FULL,0.28649818317726,POSITIVE,0.010162198452782397,FAIL,-0.15165956401773928,NOT_APPLICABLE,0.08522727272727272,0.2897727272727273,0.4431818181818182,0.34574769068795325,level0_Bstar=NONE;level1_Bstar=NONE,category_preserved_21_of_22,harmonized_binary_MI_external_cohort_frozen_policy,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/selected_utility_summary.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/topk_decision_summary.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/measurement_vs_decision.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/dataset_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/level_specific_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/leave_one_target_out.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_frontier.csv,dataset=Lee2019_MI|method_id=Q0_FULL,0
C84,Cho2017,S1,Strict source,0.537782157649936,COMPARATOR,NOT_APPLICABLE,STRICT_SOURCE_COMPARATOR,NOT_APPLICABLE,NOT_APPLICABLE,0.01875,0.05,0.0875,-0.25439846415775896,panel_seed_level_repeated_factor_comparator,category_preserved_20_of_20,harmonized_binary_MI_external_cohort_frozen_policy,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/selected_utility_summary.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/topk_decision_summary.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/measurement_vs_decision.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/dataset_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/level_specific_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/leave_one_target_out.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_frontier.csv,dataset=Cho2017|method_id=S1,0
C84,Cho2017,U5,NuclearNorm,0.7177594273709238,NEGATIVE,1.0,FAIL,-0.33627814839364034,FAIL,0.0,0.0,0.0,-0.4420136812255208,level0_Q1=0;level1_Q1=0;level_heterogeneity=0,category_preserved_20_of_20,harmonized_binary_MI_external_cohort_frozen_policy,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/selected_utility_summary.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/topk_decision_summary.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/measurement_vs_decision.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/dataset_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/level_specific_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/leave_one_target_out.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_frontier.csv,dataset=Cho2017|method_id=U5,0
C84,Cho2017,U7,ATC,0.6456951033659634,NEGATIVE,1.0,FAIL,-0.47099152144396067,FAIL,0.01875,0.05,0.06875,-0.1676955664232864,level0_Q1=0;level1_Q1=0;level_heterogeneity=0,category_preserved_20_of_20,harmonized_binary_MI_external_cohort_frozen_policy,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/selected_utility_summary.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/topk_decision_summary.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/measurement_vs_decision.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/dataset_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/level_specific_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/leave_one_target_out.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_frontier.csv,dataset=Cho2017|method_id=U7,0
C84,Cho2017,U11,MaNo,0.3400789637152223,POSITIVE,4.577566870622702e-05,PASS,-0.01676452407346407,PASS,0.05,0.15625,0.24375,0.0009604159822539928,level0_Q1=1;level1_Q1=1;level_heterogeneity=0,category_preserved_20_of_20,harmonized_binary_MI_external_cohort_frozen_policy,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/selected_utility_summary.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/topk_decision_summary.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/measurement_vs_decision.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/dataset_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/level_specific_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/leave_one_target_out.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_frontier.csv,dataset=Cho2017|method_id=U11,0
