dataset,method,seed,fold,task_head_alignment_k2,task_head_alignment_k8
BNCI2015_001,fcigl_align_eta0.05,0,7,0.19358845304407285,0.4732539326141793
BNCI2015_001,fcigl_align_eta0.05,0,8,0.1371219527558968,0.4115584697258738
BNCI2015_001,fcigl_align_eta0.05,0,9,0.16559836268880873,0.5624088306308371
BNCI2015_001,fcigl_align_eta0.05,0,10,0.18692723070491518,0.457117743514166
BNCI2015_001,fcigl_align_eta0.05,0,11,0.24563468138171377,0.3291366161051837
BNCI2015_001,fcigl_align_eta0.05,1,0,0.10131432904544532,0.5128314830930782
BNCI2015_001,fcigl_align_eta0.05,1,1,0.044699276781522974,0.585349618853344
BNCI2015_001,fcigl_align_eta0.05,1,2,0.17229564484747673,0.2776593562454476
BNCI2015_001,fcigl_align_eta0.05,1,3,0.11122577925500654,0.3582277238187242
BNCI2015_001,fcigl_align_eta0.05,1,4,0.10643987856311408,0.33944394845110726
BNCI2015_001,fcigl_align_eta0.05,1,5,0.08727302094852421,0.4522645914606451
BNCI2015_001,fcigl_align_eta0.05,1,6,0.09879109511795874,0.43876398271319994
BNCI2015_001,fcigl_align_eta0.05,1,7,0.09651306745897635,0.41882613608776736
BNCI2015_001,fcigl_align_eta0.05,1,8,0.125341952204892,0.439374023709587
BNCI2015_001,fcigl_align_eta0.05,1,9,0.11198928608451086,0.5084286276563191
BNCI2015_001,fcigl_align_eta0.05,1,10,0.08545627222999704,0.6009767172898994
BNCI2015_001,fcigl_align_eta0.05,1,11,0.05733761796622974,0.4720818911294695
BNCI2015_001,fcigl_align_eta0.05,2,0,0.08330907708839247,0.5494505135081343
BNCI2015_001,fcigl_align_eta0.05,2,1,0.07215256937531697,0.48487358045864554
BNCI2015_001,fcigl_align_eta0.05,2,2,0.3367797965171227,0.475372561702664
BNCI2015_001,fcigl_align_eta0.05,2,3,0.05549624895938299,0.40912682980721177
BNCI2015_001,fcigl_align_eta0.05,2,4,0.07307898413221536,0.46167913388483567
BNCI2015_001,fcigl_align_eta0.05,2,5,0.06701457384047016,0.3873959894190629
BNCI2015_001,fcigl_align_eta0.05,2,6,0.04348072858992221,0.4274512884811175
BNCI2015_001,fcigl_align_eta0.05,2,7,0.10025457402063533,0.36593888351057313
BNCI2015_001,fcigl_align_eta0.05,2,8,0.17577764756649236,0.24043058359957872
BNCI2015_001,fcigl_align_eta0.05,2,9,0.1003343730780124,0.3788220843485265
BNCI2015_001,fcigl_align_eta0.05,2,10,0.0289374353117776,0.44351544608541504
BNCI2015_001,fcigl_align_eta0.05,2,11,0.13294372924319398,0.46757281936343875
