unit_id,dataset,target,seed,level,regime,smooth_temperature,epoch,trajectory_order,retention_rule,target_outcome_used_for_retention,executed
c78r_0c564da90d247b41452e,BNCI2014_001,4,3,0,SRC,0.1,159,32,every_5_epochs_complete_SRC_trajectory,0,0
c78r_f494c417a563e10ffdf3,BNCI2014_001,4,3,0,SRC,0.1,164,33,every_5_epochs_complete_SRC_trajectory,0,0
c78r_1d8a7a2e4e4866dcbd37,BNCI2014_001,4,3,0,SRC,0.1,169,34,every_5_epochs_complete_SRC_trajectory,0,0
c78r_7553c289222815b25c3e,BNCI2014_001,4,3,0,SRC,0.1,174,35,every_5_epochs_complete_SRC_trajectory,0,0
c78r_42f6796a6cc7147673b0,BNCI2014_001,4,3,0,SRC,0.1,179,36,every_5_epochs_complete_SRC_trajectory,0,0
c78r_02dff4b4e03c14d39e45,BNCI2014_001,4,3,0,SRC,0.1,184,37,every_5_epochs_complete_SRC_trajectory,0,0
c78r_1793efb4b7c7e7dcaa52,BNCI2014_001,4,3,0,SRC,0.1,189,38,every_5_epochs_complete_SRC_trajectory,0,0
c78r_7af3bd1c68b24f3d2650,BNCI2014_001,4,3,0,SRC,0.1,194,39,every_5_epochs_complete_SRC_trajectory,0,0
c78r_5daa6819dd99cada4cdb,BNCI2014_001,4,3,0,SRC,0.1,199,40,every_5_epochs_complete_SRC_trajectory,0,0
c78r_f1f7bccb9c8e9094d02d,BNCI2014_001,4,3,1,SRC,0.1,4,1,every_5_epochs_complete_SRC_trajectory,0,0
c78r_d57c41e59a7b7487899e,BNCI2014_001,4,3,1,SRC,0.1,9,2,every_5_epochs_complete_SRC_trajectory,0,0
c78r_d913123f714bffed77dc,BNCI2014_001,4,3,1,SRC,0.1,14,3,every_5_epochs_complete_SRC_trajectory,0,0
c78r_dade2debd55eaf0c2907,BNCI2014_001,4,3,1,SRC,0.1,19,4,every_5_epochs_complete_SRC_trajectory,0,0
c78r_ae1664697bd9c6b42355,BNCI2014_001,4,3,1,SRC,0.1,24,5,every_5_epochs_complete_SRC_trajectory,0,0
c78r_e1640750018199837316,BNCI2014_001,4,3,1,SRC,0.1,29,6,every_5_epochs_complete_SRC_trajectory,0,0
c78r_06c7a829d2675d735407,BNCI2014_001,4,3,1,SRC,0.1,34,7,every_5_epochs_complete_SRC_trajectory,0,0
c78r_39c647878502e4cd9291,BNCI2014_001,4,3,1,SRC,0.1,39,8,every_5_epochs_complete_SRC_trajectory,0,0
c78r_6994bc3df363601febd1,BNCI2014_001,4,3,1,SRC,0.1,44,9,every_5_epochs_complete_SRC_trajectory,0,0
c78r_a6bf4c06a91f07384153,BNCI2014_001,4,3,1,SRC,0.1,49,10,every_5_epochs_complete_SRC_trajectory,0,0
c78r_0bf8c170756f98ff5c60,BNCI2014_001,4,3,1,SRC,0.1,54,11,every_5_epochs_complete_SRC_trajectory,0,0
c78r_ee15e89e9886aebced87,BNCI2014_001,4,3,1,SRC,0.1,59,12,every_5_epochs_complete_SRC_trajectory,0,0
c78r_5e66e9d274b6ede0c2da,BNCI2014_001,4,3,1,SRC,0.1,64,13,every_5_epochs_complete_SRC_trajectory,0,0
c78r_4f8e1a472e10f136e870,BNCI2014_001,4,3,1,SRC,0.1,69,14,every_5_epochs_complete_SRC_trajectory,0,0
c78r_a60cdd6bdcee1633fb12,BNCI2014_001,4,3,1,SRC,0.1,74,15,every_5_epochs_complete_SRC_trajectory,0,0
c78r_1e72a8799ebf2d360cf0,BNCI2014_001,4,3,1,SRC,0.1,79,16,every_5_epochs_complete_SRC_trajectory,0,0
c78r_4540ab25ecd4ee800295,BNCI2014_001,4,3,1,SRC,0.1,84,17,every_5_epochs_complete_SRC_trajectory,0,0
c78r_3a828edc53b4e3629f27,BNCI2014_001,4,3,1,SRC,0.1,89,18,every_5_epochs_complete_SRC_trajectory,0,0
c78r_131aa78843e80f18cf2b,BNCI2014_001,4,3,1,SRC,0.1,94,19,every_5_epochs_complete_SRC_trajectory,0,0
c78r_6b0572e87948cfc92854,BNCI2014_001,4,3,1,SRC,0.1,99,20,every_5_epochs_complete_SRC_trajectory,0,0
c78r_070d7ef76eebc6220d11,BNCI2014_001,4,3,1,SRC,0.1,104,21,every_5_epochs_complete_SRC_trajectory,0,0
c78r_90b70d61836d92b568f2,BNCI2014_001,4,3,1,SRC,0.1,109,22,every_5_epochs_complete_SRC_trajectory,0,0
c78r_43c98351b607512e445c,BNCI2014_001,4,3,1,SRC,0.1,114,23,every_5_epochs_complete_SRC_trajectory,0,0
c78r_933f619863d47609644d,BNCI2014_001,4,3,1,SRC,0.1,119,24,every_5_epochs_complete_SRC_trajectory,0,0
c78r_4be1e536ca789520e364,BNCI2014_001,4,3,1,SRC,0.1,124,25,every_5_epochs_complete_SRC_trajectory,0,0
c78r_571bfd608f3d352461fa,BNCI2014_001,4,3,1,SRC,0.1,129,26,every_5_epochs_complete_SRC_trajectory,0,0
c78r_9986a5c54e01348b37ab,BNCI2014_001,4,3,1,SRC,0.1,134,27,every_5_epochs_complete_SRC_trajectory,0,0
c78r_6bd13e211521449c1d9e,BNCI2014_001,4,3,1,SRC,0.1,139,28,every_5_epochs_complete_SRC_trajectory,0,0
c78r_e31b8be998ae77b93e36,BNCI2014_001,4,3,1,SRC,0.1,144,29,every_5_epochs_complete_SRC_trajectory,0,0
c78r_0491f82ee5c0bbab4660,BNCI2014_001,4,3,1,SRC,0.1,149,30,every_5_epochs_complete_SRC_trajectory,0,0
c78r_df4d8aa0065030546e98,BNCI2014_001,4,3,1,SRC,0.1,154,31,every_5_epochs_complete_SRC_trajectory,0,0
c78r_1acd4260aab96edc3eaa,BNCI2014_001,4,3,1,SRC,0.1,159,32,every_5_epochs_complete_SRC_trajectory,0,0
c78r_d20af56baee0a9ab7b6e,BNCI2014_001,4,3,1,SRC,0.1,164,33,every_5_epochs_complete_SRC_trajectory,0,0
c78r_37784d3a4908585c9076,BNCI2014_001,4,3,1,SRC,0.1,169,34,every_5_epochs_complete_SRC_trajectory,0,0
c78r_a7f73941b392bbadbd54,BNCI2014_001,4,3,1,SRC,0.1,174,35,every_5_epochs_complete_SRC_trajectory,0,0
c78r_841ed202fca1da0af56c,BNCI2014_001,4,3,1,SRC,0.1,179,36,every_5_epochs_complete_SRC_trajectory,0,0
c78r_7ee67efe7a9ec6371138,BNCI2014_001,4,3,1,SRC,0.1,184,37,every_5_epochs_complete_SRC_trajectory,0,0
c78r_b75f457855c6bf66c7dd,BNCI2014_001,4,3,1,SRC,0.1,189,38,every_5_epochs_complete_SRC_trajectory,0,0
c78r_a5a6c8aff530445d86c7,BNCI2014_001,4,3,1,SRC,0.1,194,39,every_5_epochs_complete_SRC_trajectory,0,0
c78r_d63d4b29ab3cff21f6d9,BNCI2014_001,4,3,1,SRC,0.1,199,40,every_5_epochs_complete_SRC_trajectory,0,0
