dataset,outer_seed,fold,recording,subject,label,role
eegmat,42,1,63,31,1,heldout_final_score
eegmat,42,1,64,32,0,source
eegmat,42,1,65,32,1,source
eegmat,42,1,66,33,0,source
eegmat,42,1,67,33,1,source
eegmat,42,1,68,34,0,source
eegmat,42,1,69,34,1,source
eegmat,42,1,70,35,0,source
eegmat,42,1,71,35,1,source
eegmat,42,2,0,0,0,source
eegmat,42,2,1,0,1,source
eegmat,42,2,2,1,0,source
eegmat,42,2,3,1,1,source
eegmat,42,2,4,2,0,heldout_final_score
eegmat,42,2,5,2,1,heldout_final_score
eegmat,42,2,6,3,0,source
eegmat,42,2,7,3,1,source
eegmat,42,2,8,4,0,source
eegmat,42,2,9,4,1,source
eegmat,42,2,10,5,0,source
eegmat,42,2,11,5,1,source
eegmat,42,2,12,6,0,source
eegmat,42,2,13,6,1,source
eegmat,42,2,14,7,0,heldout_final_score
eegmat,42,2,15,7,1,heldout_final_score
eegmat,42,2,16,8,0,source
eegmat,42,2,17,8,1,source
eegmat,42,2,18,9,0,source
eegmat,42,2,19,9,1,source
eegmat,42,2,20,10,0,heldout_final_score
eegmat,42,2,21,10,1,heldout_final_score
eegmat,42,2,22,11,0,source
eegmat,42,2,23,11,1,source
eegmat,42,2,24,12,0,source
eegmat,42,2,25,12,1,source
eegmat,42,2,26,13,0,source
eegmat,42,2,27,13,1,source
eegmat,42,2,28,14,0,source
eegmat,42,2,29,14,1,source
eegmat,42,2,30,15,0,source
eegmat,42,2,31,15,1,source
eegmat,42,2,32,16,0,heldout_final_score
eegmat,42,2,33,16,1,heldout_final_score
eegmat,42,2,34,17,0,source
eegmat,42,2,35,17,1,source
eegmat,42,2,36,18,0,source
eegmat,42,2,37,18,1,source
eegmat,42,2,38,19,0,source
eegmat,42,2,39,19,1,source
eegmat,42,2,40,20,0,source
eegmat,42,2,41,20,1,source
eegmat,42,2,42,21,0,source
eegmat,42,2,43,21,1,source
eegmat,42,2,44,22,0,heldout_final_score
eegmat,42,2,45,22,1,heldout_final_score
eegmat,42,2,46,23,0,source
eegmat,42,2,47,23,1,source
eegmat,42,2,48,24,0,source
eegmat,42,2,49,24,1,source
eegmat,42,2,50,25,0,source
eegmat,42,2,51,25,1,source
eegmat,42,2,52,26,0,source
eegmat,42,2,53,26,1,source
eegmat,42,2,54,27,0,heldout_final_score
eegmat,42,2,55,27,1,heldout_final_score
eegmat,42,2,56,28,0,source
eegmat,42,2,57,28,1,source
eegmat,42,2,58,29,0,source
eegmat,42,2,59,29,1,source
eegmat,42,2,60,30,0,source
eegmat,42,2,61,30,1,source
eegmat,42,2,62,31,0,source
eegmat,42,2,63,31,1,source
eegmat,42,2,64,32,0,heldout_final_score
eegmat,42,2,65,32,1,heldout_final_score
eegmat,42,2,66,33,0,source
eegmat,42,2,67,33,1,source
eegmat,42,2,68,34,0,source
eegmat,42,2,69,34,1,source
eegmat,42,2,70,35,0,source
eegmat,42,2,71,35,1,source
eegmat,42,3,0,0,0,source
eegmat,42,3,1,0,1,source
eegmat,42,3,2,1,0,source
eegmat,42,3,3,1,1,source
eegmat,42,3,4,2,0,source
eegmat,42,3,5,2,1,source
eegmat,42,3,6,3,0,heldout_final_score
eegmat,42,3,7,3,1,heldout_final_score
eegmat,42,3,8,4,0,source
eegmat,42,3,9,4,1,source
eegmat,42,3,10,5,0,source
eegmat,42,3,11,5,1,source
eegmat,42,3,12,6,0,source
eegmat,42,3,13,6,1,source
eegmat,42,3,14,7,0,source
eegmat,42,3,15,7,1,source
eegmat,42,3,16,8,0,heldout_final_score
eegmat,42,3,17,8,1,heldout_final_score
eegmat,42,3,18,9,0,source
eegmat,42,3,19,9,1,source
eegmat,42,3,20,10,0,source
eegmat,42,3,21,10,1,source
eegmat,42,3,22,11,0,heldout_final_score
eegmat,42,3,23,11,1,heldout_final_score
eegmat,42,3,24,12,0,source
eegmat,42,3,25,12,1,source
eegmat,42,3,26,13,0,source
eegmat,42,3,27,13,1,source
eegmat,42,3,28,14,0,source
eegmat,42,3,29,14,1,source
eegmat,42,3,30,15,0,source
eegmat,42,3,31,15,1,source
eegmat,42,3,32,16,0,source
eegmat,42,3,33,16,1,source
eegmat,42,3,34,17,0,source
eegmat,42,3,35,17,1,source
eegmat,42,3,36,18,0,heldout_final_score
eegmat,42,3,37,18,1,heldout_final_score
eegmat,42,3,38,19,0,source
eegmat,42,3,39,19,1,source
eegmat,42,3,40,20,0,source
eegmat,42,3,41,20,1,source
eegmat,42,3,42,21,0,source
eegmat,42,3,43,21,1,source
eegmat,42,3,44,22,0,source
eegmat,42,3,45,22,1,source
eegmat,42,3,46,23,0,heldout_final_score
eegmat,42,3,47,23,1,heldout_final_score
eegmat,42,3,48,24,0,source
eegmat,42,3,49,24,1,source
eegmat,42,3,50,25,0,source
eegmat,42,3,51,25,1,source
eegmat,42,3,52,26,0,source
eegmat,42,3,53,26,1,source
eegmat,42,3,54,27,0,source
eegmat,42,3,55,27,1,source
eegmat,42,3,56,28,0,heldout_final_score
eegmat,42,3,57,28,1,heldout_final_score
eegmat,42,3,58,29,0,source
eegmat,42,3,59,29,1,source
eegmat,42,3,60,30,0,source
eegmat,42,3,61,30,1,source
eegmat,42,3,62,31,0,source
eegmat,42,3,63,31,1,source
eegmat,42,3,64,32,0,source
eegmat,42,3,65,32,1,source
eegmat,42,3,66,33,0,heldout_final_score
eegmat,42,3,67,33,1,heldout_final_score
eegmat,42,3,68,34,0,source
eegmat,42,3,69,34,1,source
eegmat,42,3,70,35,0,source
eegmat,42,3,71,35,1,source
eegmat,42,4,0,0,0,source
eegmat,42,4,1,0,1,source
eegmat,42,4,2,1,0,source
eegmat,42,4,3,1,1,source
eegmat,42,4,4,2,0,source
eegmat,42,4,5,2,1,source
eegmat,42,4,6,3,0,source
eegmat,42,4,7,3,1,source
eegmat,42,4,8,4,0,heldout_final_score
eegmat,42,4,9,4,1,heldout_final_score
eegmat,42,4,10,5,0,source
eegmat,42,4,11,5,1,source
eegmat,42,4,12,6,0,source
eegmat,42,4,13,6,1,source
eegmat,42,4,14,7,0,source
eegmat,42,4,15,7,1,source
eegmat,42,4,16,8,0,source
eegmat,42,4,17,8,1,source
eegmat,42,4,18,9,0,heldout_final_score
eegmat,42,4,19,9,1,heldout_final_score
eegmat,42,4,20,10,0,source
eegmat,42,4,21,10,1,source
eegmat,42,4,22,11,0,source
eegmat,42,4,23,11,1,source
eegmat,42,4,24,12,0,source
eegmat,42,4,25,12,1,source
eegmat,42,4,26,13,0,source
eegmat,42,4,27,13,1,source
eegmat,42,4,28,14,0,heldout_final_score
eegmat,42,4,29,14,1,heldout_final_score
eegmat,42,4,30,15,0,source
eegmat,42,4,31,15,1,source
eegmat,42,4,32,16,0,source
eegmat,42,4,33,16,1,source
eegmat,42,4,34,17,0,source
eegmat,42,4,35,17,1,source
eegmat,42,4,36,18,0,source
eegmat,42,4,37,18,1,source
eegmat,42,4,38,19,0,heldout_final_score
eegmat,42,4,39,19,1,heldout_final_score
eegmat,42,4,40,20,0,source
eegmat,42,4,41,20,1,source
eegmat,42,4,42,21,0,source
eegmat,42,4,43,21,1,source
eegmat,42,4,44,22,0,source
eegmat,42,4,45,22,1,source
eegmat,42,4,46,23,0,source
eegmat,42,4,47,23,1,source
eegmat,42,4,48,24,0,heldout_final_score
eegmat,42,4,49,24,1,heldout_final_score
eegmat,42,4,50,25,0,source
eegmat,42,4,51,25,1,source
eegmat,42,4,52,26,0,source
eegmat,42,4,53,26,1,source
eegmat,42,4,54,27,0,source
eegmat,42,4,55,27,1,source
eegmat,42,4,56,28,0,source
eegmat,42,4,57,28,1,source
eegmat,42,4,58,29,0,heldout_final_score
eegmat,42,4,59,29,1,heldout_final_score
eegmat,42,4,60,30,0,source
eegmat,42,4,61,30,1,source
eegmat,42,4,62,31,0,source
eegmat,42,4,63,31,1,source
eegmat,42,4,64,32,0,source
eegmat,42,4,65,32,1,source
eegmat,42,4,66,33,0,source
eegmat,42,4,67,33,1,source
eegmat,42,4,68,34,0,heldout_final_score
eegmat,42,4,69,34,1,heldout_final_score
eegmat,42,4,70,35,0,source
eegmat,42,4,71,35,1,source
eegmat,123,0,0,0,0,heldout_final_score
eegmat,123,0,1,0,1,heldout_final_score
eegmat,123,0,2,1,0,source
eegmat,123,0,3,1,1,source
eegmat,123,0,4,2,0,source
eegmat,123,0,5,2,1,source
eegmat,123,0,6,3,0,source
eegmat,123,0,7,3,1,source
eegmat,123,0,8,4,0,source
eegmat,123,0,9,4,1,source
eegmat,123,0,10,5,0,heldout_final_score
eegmat,123,0,11,5,1,heldout_final_score
eegmat,123,0,12,6,0,source
eegmat,123,0,13,6,1,source
eegmat,123,0,14,7,0,source
eegmat,123,0,15,7,1,source
eegmat,123,0,16,8,0,source
eegmat,123,0,17,8,1,source
eegmat,123,0,18,9,0,source
eegmat,123,0,19,9,1,source
eegmat,123,0,20,10,0,source
eegmat,123,0,21,10,1,source
eegmat,123,0,22,11,0,source
eegmat,123,0,23,11,1,source
eegmat,123,0,24,12,0,heldout_final_score
eegmat,123,0,25,12,1,heldout_final_score
eegmat,123,0,26,13,0,source
eegmat,123,0,27,13,1,source
eegmat,123,0,28,14,0,source
eegmat,123,0,29,14,1,source
eegmat,123,0,30,15,0,heldout_final_score
eegmat,123,0,31,15,1,heldout_final_score
eegmat,123,0,32,16,0,source
eegmat,123,0,33,16,1,source
eegmat,123,0,34,17,0,source
eegmat,123,0,35,17,1,source
eegmat,123,0,36,18,0,source
eegmat,123,0,37,18,1,source
eegmat,123,0,38,19,0,source
eegmat,123,0,39,19,1,source
eegmat,123,0,40,20,0,heldout_final_score
eegmat,123,0,41,20,1,heldout_final_score
eegmat,123,0,42,21,0,source
eegmat,123,0,43,21,1,source
eegmat,123,0,44,22,0,source
eegmat,123,0,45,22,1,source
eegmat,123,0,46,23,0,source
eegmat,123,0,47,23,1,source
eegmat,123,0,48,24,0,source
eegmat,123,0,49,24,1,source
eegmat,123,0,50,25,0,heldout_final_score
eegmat,123,0,51,25,1,heldout_final_score
eegmat,123,0,52,26,0,source
eegmat,123,0,53,26,1,source
eegmat,123,0,54,27,0,source
eegmat,123,0,55,27,1,source
eegmat,123,0,56,28,0,source
eegmat,123,0,57,28,1,source
eegmat,123,0,58,29,0,source
eegmat,123,0,59,29,1,source
eegmat,123,0,60,30,0,heldout_final_score
eegmat,123,0,61,30,1,heldout_final_score
eegmat,123,0,62,31,0,source
eegmat,123,0,63,31,1,source
eegmat,123,0,64,32,0,source
eegmat,123,0,65,32,1,source
eegmat,123,0,66,33,0,source
eegmat,123,0,67,33,1,source
eegmat,123,0,68,34,0,source
eegmat,123,0,69,34,1,source
eegmat,123,0,70,35,0,heldout_final_score
eegmat,123,0,71,35,1,heldout_final_score
eegmat,123,1,0,0,0,source
eegmat,123,1,1,0,1,source
eegmat,123,1,2,1,0,heldout_final_score
eegmat,123,1,3,1,1,heldout_final_score
eegmat,123,1,4,2,0,source
eegmat,123,1,5,2,1,source
eegmat,123,1,6,3,0,source
eegmat,123,1,7,3,1,source
eegmat,123,1,8,4,0,source
eegmat,123,1,9,4,1,source
eegmat,123,1,10,5,0,source
eegmat,123,1,11,5,1,source
eegmat,123,1,12,6,0,heldout_final_score
eegmat,123,1,13,6,1,heldout_final_score
eegmat,123,1,14,7,0,source
eegmat,123,1,15,7,1,source
eegmat,123,1,16,8,0,source
eegmat,123,1,17,8,1,source
eegmat,123,1,18,9,0,source
eegmat,123,1,19,9,1,source
eegmat,123,1,20,10,0,source
eegmat,123,1,21,10,1,source
eegmat,123,1,22,11,0,source
eegmat,123,1,23,11,1,source
eegmat,123,1,24,12,0,source
eegmat,123,1,25,12,1,source
eegmat,123,1,26,13,0,heldout_final_score
eegmat,123,1,27,13,1,heldout_final_score
eegmat,123,1,28,14,0,source
eegmat,123,1,29,14,1,source
eegmat,123,1,30,15,0,source
eegmat,123,1,31,15,1,source
eegmat,123,1,32,16,0,source
eegmat,123,1,33,16,1,source
eegmat,123,1,34,17,0,heldout_final_score
eegmat,123,1,35,17,1,heldout_final_score
eegmat,123,1,36,18,0,source
eegmat,123,1,37,18,1,source
eegmat,123,1,38,19,0,source
eegmat,123,1,39,19,1,source
eegmat,123,1,40,20,0,source
eegmat,123,1,41,20,1,source
eegmat,123,1,42,21,0,heldout_final_score
eegmat,123,1,43,21,1,heldout_final_score
eegmat,123,1,44,22,0,source
eegmat,123,1,45,22,1,source
eegmat,123,1,46,23,0,source
eegmat,123,1,47,23,1,source
eegmat,123,1,48,24,0,source
eegmat,123,1,49,24,1,source
eegmat,123,1,50,25,0,source
eegmat,123,1,51,25,1,source
eegmat,123,1,52,26,0,heldout_final_score
eegmat,123,1,53,26,1,heldout_final_score
eegmat,123,1,54,27,0,source
eegmat,123,1,55,27,1,source
eegmat,123,1,56,28,0,source
eegmat,123,1,57,28,1,source
eegmat,123,1,58,29,0,source
eegmat,123,1,59,29,1,source
eegmat,123,1,60,30,0,source
eegmat,123,1,61,30,1,source
eegmat,123,1,62,31,0,heldout_final_score
eegmat,123,1,63,31,1,heldout_final_score
eegmat,123,1,64,32,0,source
eegmat,123,1,65,32,1,source
eegmat,123,1,66,33,0,source
eegmat,123,1,67,33,1,source
eegmat,123,1,68,34,0,source
eegmat,123,1,69,34,1,source
eegmat,123,1,70,35,0,source
eegmat,123,1,71,35,1,source
eegmat,123,2,0,0,0,source
eegmat,123,2,1,0,1,source
eegmat,123,2,2,1,0,source
eegmat,123,2,3,1,1,source
eegmat,123,2,4,2,0,heldout_final_score
eegmat,123,2,5,2,1,heldout_final_score
eegmat,123,2,6,3,0,source
eegmat,123,2,7,3,1,source
eegmat,123,2,8,4,0,source
eegmat,123,2,9,4,1,source
eegmat,123,2,10,5,0,source
eegmat,123,2,11,5,1,source
eegmat,123,2,12,6,0,source
eegmat,123,2,13,6,1,source
eegmat,123,2,14,7,0,heldout_final_score
eegmat,123,2,15,7,1,heldout_final_score
eegmat,123,2,16,8,0,source
eegmat,123,2,17,8,1,source
eegmat,123,2,18,9,0,source
eegmat,123,2,19,9,1,source
eegmat,123,2,20,10,0,heldout_final_score
eegmat,123,2,21,10,1,heldout_final_score
eegmat,123,2,22,11,0,source
eegmat,123,2,23,11,1,source
eegmat,123,2,24,12,0,source
eegmat,123,2,25,12,1,source
eegmat,123,2,26,13,0,source
eegmat,123,2,27,13,1,source
eegmat,123,2,28,14,0,source
eegmat,123,2,29,14,1,source
eegmat,123,2,30,15,0,source
eegmat,123,2,31,15,1,source
eegmat,123,2,32,16,0,heldout_final_score
eegmat,123,2,33,16,1,heldout_final_score
eegmat,123,2,34,17,0,source
eegmat,123,2,35,17,1,source
eegmat,123,2,36,18,0,source
eegmat,123,2,37,18,1,source
eegmat,123,2,38,19,0,source
eegmat,123,2,39,19,1,source
eegmat,123,2,40,20,0,source
eegmat,123,2,41,20,1,source
eegmat,123,2,42,21,0,source
eegmat,123,2,43,21,1,source
eegmat,123,2,44,22,0,heldout_final_score
eegmat,123,2,45,22,1,heldout_final_score
eegmat,123,2,46,23,0,source
eegmat,123,2,47,23,1,source
eegmat,123,2,48,24,0,source
eegmat,123,2,49,24,1,source
eegmat,123,2,50,25,0,source
eegmat,123,2,51,25,1,source
eegmat,123,2,52,26,0,source
eegmat,123,2,53,26,1,source
eegmat,123,2,54,27,0,heldout_final_score
eegmat,123,2,55,27,1,heldout_final_score
eegmat,123,2,56,28,0,source
eegmat,123,2,57,28,1,source
eegmat,123,2,58,29,0,source
eegmat,123,2,59,29,1,source
eegmat,123,2,60,30,0,source
eegmat,123,2,61,30,1,source
eegmat,123,2,62,31,0,source
eegmat,123,2,63,31,1,source
eegmat,123,2,64,32,0,heldout_final_score
eegmat,123,2,65,32,1,heldout_final_score
eegmat,123,2,66,33,0,source
eegmat,123,2,67,33,1,source
eegmat,123,2,68,34,0,source
eegmat,123,2,69,34,1,source
eegmat,123,2,70,35,0,source
eegmat,123,2,71,35,1,source
eegmat,123,3,0,0,0,source
eegmat,123,3,1,0,1,source
eegmat,123,3,2,1,0,source
eegmat,123,3,3,1,1,source
eegmat,123,3,4,2,0,source
eegmat,123,3,5,2,1,source
eegmat,123,3,6,3,0,heldout_final_score
eegmat,123,3,7,3,1,heldout_final_score
eegmat,123,3,8,4,0,source
eegmat,123,3,9,4,1,source
eegmat,123,3,10,5,0,source
eegmat,123,3,11,5,1,source
eegmat,123,3,12,6,0,source
eegmat,123,3,13,6,1,source
eegmat,123,3,14,7,0,source
eegmat,123,3,15,7,1,source
eegmat,123,3,16,8,0,heldout_final_score
eegmat,123,3,17,8,1,heldout_final_score
eegmat,123,3,18,9,0,source
eegmat,123,3,19,9,1,source
eegmat,123,3,20,10,0,source
eegmat,123,3,21,10,1,source
eegmat,123,3,22,11,0,heldout_final_score
eegmat,123,3,23,11,1,heldout_final_score
eegmat,123,3,24,12,0,source
eegmat,123,3,25,12,1,source
eegmat,123,3,26,13,0,source
eegmat,123,3,27,13,1,source
eegmat,123,3,28,14,0,source
eegmat,123,3,29,14,1,source
eegmat,123,3,30,15,0,source
eegmat,123,3,31,15,1,source
eegmat,123,3,32,16,0,source
eegmat,123,3,33,16,1,source
eegmat,123,3,34,17,0,source
eegmat,123,3,35,17,1,source
eegmat,123,3,36,18,0,heldout_final_score
eegmat,123,3,37,18,1,heldout_final_score
eegmat,123,3,38,19,0,source
eegmat,123,3,39,19,1,source
eegmat,123,3,40,20,0,source
eegmat,123,3,41,20,1,source
eegmat,123,3,42,21,0,source
eegmat,123,3,43,21,1,source
eegmat,123,3,44,22,0,source
eegmat,123,3,45,22,1,source
eegmat,123,3,46,23,0,heldout_final_score
eegmat,123,3,47,23,1,heldout_final_score
eegmat,123,3,48,24,0,source
eegmat,123,3,49,24,1,source
eegmat,123,3,50,25,0,source
eegmat,123,3,51,25,1,source
eegmat,123,3,52,26,0,source
eegmat,123,3,53,26,1,source
eegmat,123,3,54,27,0,source
eegmat,123,3,55,27,1,source
eegmat,123,3,56,28,0,heldout_final_score
eegmat,123,3,57,28,1,heldout_final_score
eegmat,123,3,58,29,0,source
eegmat,123,3,59,29,1,source
eegmat,123,3,60,30,0,source
eegmat,123,3,61,30,1,source
eegmat,123,3,62,31,0,source
eegmat,123,3,63,31,1,source
eegmat,123,3,64,32,0,source
eegmat,123,3,65,32,1,source
eegmat,123,3,66,33,0,heldout_final_score
eegmat,123,3,67,33,1,heldout_final_score
eegmat,123,3,68,34,0,source
eegmat,123,3,69,34,1,source
eegmat,123,3,70,35,0,source
eegmat,123,3,71,35,1,source
eegmat,123,4,0,0,0,source
eegmat,123,4,1,0,1,source
eegmat,123,4,2,1,0,source
eegmat,123,4,3,1,1,source
eegmat,123,4,4,2,0,source
eegmat,123,4,5,2,1,source
eegmat,123,4,6,3,0,source
eegmat,123,4,7,3,1,source
eegmat,123,4,8,4,0,heldout_final_score
eegmat,123,4,9,4,1,heldout_final_score
eegmat,123,4,10,5,0,source
eegmat,123,4,11,5,1,source
eegmat,123,4,12,6,0,source
eegmat,123,4,13,6,1,source
eegmat,123,4,14,7,0,source
eegmat,123,4,15,7,1,source
eegmat,123,4,16,8,0,source
eegmat,123,4,17,8,1,source
eegmat,123,4,18,9,0,heldout_final_score
eegmat,123,4,19,9,1,heldout_final_score
eegmat,123,4,20,10,0,source
eegmat,123,4,21,10,1,source
eegmat,123,4,22,11,0,source
eegmat,123,4,23,11,1,source
eegmat,123,4,24,12,0,source
eegmat,123,4,25,12,1,source
eegmat,123,4,26,13,0,source
eegmat,123,4,27,13,1,source
eegmat,123,4,28,14,0,heldout_final_score
eegmat,123,4,29,14,1,heldout_final_score
eegmat,123,4,30,15,0,source
eegmat,123,4,31,15,1,source
eegmat,123,4,32,16,0,source
eegmat,123,4,33,16,1,source
eegmat,123,4,34,17,0,source
eegmat,123,4,35,17,1,source
eegmat,123,4,36,18,0,source
eegmat,123,4,37,18,1,source
eegmat,123,4,38,19,0,heldout_final_score
eegmat,123,4,39,19,1,heldout_final_score
eegmat,123,4,40,20,0,source
eegmat,123,4,41,20,1,source
eegmat,123,4,42,21,0,source
eegmat,123,4,43,21,1,source
eegmat,123,4,44,22,0,source
eegmat,123,4,45,22,1,source
eegmat,123,4,46,23,0,source
eegmat,123,4,47,23,1,source
eegmat,123,4,48,24,0,heldout_final_score
eegmat,123,4,49,24,1,heldout_final_score
eegmat,123,4,50,25,0,source
eegmat,123,4,51,25,1,source
eegmat,123,4,52,26,0,source
eegmat,123,4,53,26,1,source
eegmat,123,4,54,27,0,source
eegmat,123,4,55,27,1,source
eegmat,123,4,56,28,0,source
eegmat,123,4,57,28,1,source
eegmat,123,4,58,29,0,heldout_final_score
eegmat,123,4,59,29,1,heldout_final_score
eegmat,123,4,60,30,0,source
eegmat,123,4,61,30,1,source
eegmat,123,4,62,31,0,source
eegmat,123,4,63,31,1,source
eegmat,123,4,64,32,0,source
eegmat,123,4,65,32,1,source
eegmat,123,4,66,33,0,source
eegmat,123,4,67,33,1,source
eegmat,123,4,68,34,0,heldout_final_score
eegmat,123,4,69,34,1,heldout_final_score
eegmat,123,4,70,35,0,source
eegmat,123,4,71,35,1,source
eegmat,2024,0,0,0,0,heldout_final_score
eegmat,2024,0,1,0,1,heldout_final_score
eegmat,2024,0,2,1,0,source
eegmat,2024,0,3,1,1,source
eegmat,2024,0,4,2,0,source
eegmat,2024,0,5,2,1,source
eegmat,2024,0,6,3,0,source
eegmat,2024,0,7,3,1,source
eegmat,2024,0,8,4,0,source
eegmat,2024,0,9,4,1,source
eegmat,2024,0,10,5,0,heldout_final_score
eegmat,2024,0,11,5,1,heldout_final_score
eegmat,2024,0,12,6,0,source
eegmat,2024,0,13,6,1,source
eegmat,2024,0,14,7,0,source
eegmat,2024,0,15,7,1,source
eegmat,2024,0,16,8,0,source
eegmat,2024,0,17,8,1,source
eegmat,2024,0,18,9,0,source
eegmat,2024,0,19,9,1,source
eegmat,2024,0,20,10,0,source
eegmat,2024,0,21,10,1,source
eegmat,2024,0,22,11,0,source
eegmat,2024,0,23,11,1,source
eegmat,2024,0,24,12,0,heldout_final_score
eegmat,2024,0,25,12,1,heldout_final_score
eegmat,2024,0,26,13,0,source
eegmat,2024,0,27,13,1,source
eegmat,2024,0,28,14,0,source
eegmat,2024,0,29,14,1,source
eegmat,2024,0,30,15,0,heldout_final_score
eegmat,2024,0,31,15,1,heldout_final_score
eegmat,2024,0,32,16,0,source
eegmat,2024,0,33,16,1,source
eegmat,2024,0,34,17,0,source
eegmat,2024,0,35,17,1,source
eegmat,2024,0,36,18,0,source
eegmat,2024,0,37,18,1,source
eegmat,2024,0,38,19,0,source
eegmat,2024,0,39,19,1,source
eegmat,2024,0,40,20,0,heldout_final_score
eegmat,2024,0,41,20,1,heldout_final_score
eegmat,2024,0,42,21,0,source
