protocol,scalar_name,threshold_mode,hit,min_target_hit,min_trajectory_hit,cell_hit_ge_0_70_count,mean_train_cells,mean_threshold,min_threshold,max_threshold,requires_test_endpoint_scalar,uses_other_cell_target_labels_for_template,uses_same_cell_target_labels_for_template,diagnostic_only,no_selection_artifact,transfer_gain_over_key,same_cell_gain_over_key,transfer_closed_fraction,same_cell_minus_transfer_gap
leave_target_out,target_joint_margin_raw:high,train_q75_threshold,0.7160718851620949,0.3122053872053872,0.0,108,144.0,0.02450273456885306,0.01909722122222221,0.02951388788888884,1,1,0,1,1,0.22841756417444053,0.4567901234567901,0.500049262111613,0.22837255928234956
leave_target_out,target_joint_margin_raw:high,tertile_bins,0.870186654908877,0.5092592592592592,0.0,138,144.0,-0.007826400317963608,-0.029513889888888895,0.015624999000000056,1,1,0,1,1,0.3825323339212227,0.4567901234567901,0.8374356499356498,0.07425778953556739
leave_target_out,target_joint_margin_raw:high,quartile_bins,0.8537918871252205,0.46111111111111114,0.0,132,144.0,-0.006792023357345479,-0.045138889888888784,0.02951388788888884,1,1,0,1,1,0.36613756613756615,0.4567901234567901,0.8015444015444017,0.09065255731922395
leave_target_out,target_joint_margin_raw:high,decile_bins,0.9296296296296296,0.5333333333333333,0.0,150,144.0,-0.008945633109917845,-0.08506944544444442,0.05729166566666674,1,1,0,1,1,0.44197530864197526,0.4567901234567901,0.9675675675675676,0.014814814814814836
leave_target_out,target_joint_margin_raw:high,rank_only_within_cell,0.9444444444444444,0.6666666666666666,0.0,153,144.0,,,,1,1,0,1,1,0.4567901234567901,0.4567901234567901,1.0,0.0
leave_target_out,target_joint_margin_raw:high,continuous_raw,0.9444444444444444,0.6666666666666666,0.0,153,144.0,,,,1,1,0,1,1,0.4567901234567901,0.4567901234567901,1.0,0.0
leave_trajectory_out,target_joint_margin_raw:high,binary_sign,0.9444444444444444,0.6666666666666666,0.0,153,161.0,,,,1,1,0,1,1,0.4567901234567901,0.4567901234567901,1.0,0.0
leave_trajectory_out,target_joint_margin_raw:high,train_median_threshold,0.7825776866656639,0.42133520074696545,0.0,117,161.0,-0.005515231257909967,-0.0064504739774686745,-0.005208334333333371,1,1,0,1,1,0.29492336567800953,0.4567901234567901,0.6456430437815884,0.16186675777878057
leave_trajectory_out,target_joint_margin_raw:high,train_q75_threshold,0.7160718851620949,0.3122053872053872,0.0,108,161.0,0.025888952189300422,0.02430555455555558,0.026041665666666686,1,1,0,1,1,0.22841756417444053,0.4567901234567901,0.500049262111613,0.22837255928234956
leave_trajectory_out,target_joint_margin_raw:high,tertile_bins,0.8775940623162846,0.5092592592592592,0.0,141,161.0,-0.007600281401755842,-0.027189163208846262,0.012152776777777735,1,1,0,1,1,0.38993974132863024,0.4567901234567901,0.8536518661518663,0.06685038212815986
leave_trajectory_out,target_joint_margin_raw:high,quartile_bins,0.8433979147214441,0.406454248366013,0.0,123,161.0,-0.005939970681313812,-0.038194445444444475,0.026041665666666686,1,1,0,1,1,0.3557435937337898,0.4567901234567901,0.7787900295253236,0.10104652972300032
leave_trajectory_out,target_joint_margin_raw:high,decile_bins,0.9351851851851852,0.6666666666666666,0.0,150,161.0,-0.009003461898666071,-0.08321219470883898,0.05555555455555558,1,1,0,1,1,0.4475308641975309,0.4567901234567901,0.9797297297297299,0.00925925925925919
leave_trajectory_out,target_joint_margin_raw:high,rank_only_within_cell,0.9444444444444444,0.6666666666666666,0.0,153,161.0,,,,1,1,0,1,1,0.4567901234567901,0.4567901234567901,1.0,0.0
leave_trajectory_out,target_joint_margin_raw:high,continuous_raw,0.9444444444444444,0.6666666666666666,0.0,153,161.0,,,,1,1,0,1,1,0.4567901234567901,0.4567901234567901,1.0,0.0
