stage,field_level,target_id,trajectory,field_index,candidate_count,random_top1,random_top3,random_top5,random_top10pct,joint_good_prevalence,observed_top1,observed_top3,observed_top1_enrichment,reliable_control_inferred
T2,target_universe,5,ALL_TARGET_CANDIDATES,0,24,0.041666666666666664,0.125,0.20833333333333334,0.125,0.08333333333333333,0.0,1.0,0.0,0
T2,trajectory_cell,5,0|5|0|S0_full_support,0,4,0.25,0.75,1.0,0.25,0.0,0.0,1.0,0.0,0
T2,trajectory_cell,5,0|5|1|S0_full_support,1,4,0.25,0.75,1.0,0.25,0.0,1.0,1.0,4.0,0
T2,trajectory_cell,5,1|5|0|S0_full_support,2,4,0.25,0.75,1.0,0.25,0.0,0.0,0.0,0.0,0
T2,trajectory_cell,5,1|5|1|S0_full_support,3,4,0.25,0.75,1.0,0.25,0.0,0.0,1.0,0.0,0
T2,trajectory_cell,5,2|5|0|S0_full_support,4,4,0.25,0.75,1.0,0.25,0.25,1.0,1.0,4.0,0
T2,trajectory_cell,5,2|5|1|S0_full_support,5,4,0.25,0.75,1.0,0.25,0.25,0.0,0.0,0.0,0
T2,target_universe,6,ALL_TARGET_CANDIDATES,0,24,0.041666666666666664,0.125,0.20833333333333334,0.125,0.041666666666666664,0.0,0.0,0.0,0
T2,trajectory_cell,6,0|6|0|S0_full_support,0,4,0.25,0.75,1.0,0.25,0.0,0.0,0.0,0.0,0
T2,trajectory_cell,6,0|6|1|S0_full_support,1,4,0.25,0.75,1.0,0.25,0.0,0.0,1.0,0.0,0
T2,trajectory_cell,6,1|6|0|S0_full_support,2,4,0.25,0.75,1.0,0.25,0.0,0.0,1.0,0.0,0
T2,trajectory_cell,6,1|6|1|S0_full_support,3,4,0.25,0.75,1.0,0.25,0.0,1.0,1.0,4.0,0
T2,trajectory_cell,6,2|6|0|S0_full_support,4,4,0.25,0.75,1.0,0.25,0.25,1.0,1.0,4.0,0
T2,trajectory_cell,6,2|6|1|S0_full_support,5,4,0.25,0.75,1.0,0.25,0.0,0.0,1.0,0.0,0
T2,target_universe,7,ALL_TARGET_CANDIDATES,0,24,0.041666666666666664,0.125,0.20833333333333334,0.125,0.125,0.0,0.0,0.0,0
T2,trajectory_cell,7,0|7|0|S0_full_support,0,4,0.25,0.75,1.0,0.25,0.0,1.0,1.0,4.0,0
T2,trajectory_cell,7,0|7|1|S0_full_support,1,4,0.25,0.75,1.0,0.25,0.0,0.0,0.0,0.0,0
T2,trajectory_cell,7,1|7|0|S0_full_support,2,4,0.25,0.75,1.0,0.25,0.0,0.0,0.0,0.0,0
T2,trajectory_cell,7,1|7|1|S0_full_support,3,4,0.25,0.75,1.0,0.25,0.25,0.0,1.0,0.0,0
T2,trajectory_cell,7,2|7|0|S0_full_support,4,4,0.25,0.75,1.0,0.25,0.0,0.0,0.0,0.0,0
T2,trajectory_cell,7,2|7|1|S0_full_support,5,4,0.25,0.75,1.0,0.25,0.5,0.0,1.0,0.0,0
T2,target_universe,8,ALL_TARGET_CANDIDATES,0,24,0.041666666666666664,0.125,0.20833333333333334,0.125,0.041666666666666664,0.0,0.0,0.0,0
T2,trajectory_cell,8,0|8|0|S0_full_support,0,4,0.25,0.75,1.0,0.25,0.0,1.0,1.0,4.0,0
T2,trajectory_cell,8,0|8|1|S0_full_support,1,4,0.25,0.75,1.0,0.25,0.0,1.0,1.0,4.0,0
T2,trajectory_cell,8,1|8|0|S0_full_support,2,4,0.25,0.75,1.0,0.25,0.0,0.0,1.0,0.0,0
T2,trajectory_cell,8,1|8|1|S0_full_support,3,4,0.25,0.75,1.0,0.25,0.0,0.0,1.0,0.0,0
T2,trajectory_cell,8,2|8|0|S0_full_support,4,4,0.25,0.75,1.0,0.25,0.25,0.0,1.0,0.0,0
T2,trajectory_cell,8,2|8|1|S0_full_support,5,4,0.25,0.75,1.0,0.25,0.0,1.0,1.0,4.0,0
T2,target_universe,9,ALL_TARGET_CANDIDATES,0,24,0.041666666666666664,0.125,0.20833333333333334,0.125,0.16666666666666666,0.0,0.0,0.0,0
T2,trajectory_cell,9,0|9|0|S0_full_support,0,4,0.25,0.75,1.0,0.25,0.25,1.0,1.0,4.0,0
T2,trajectory_cell,9,0|9|1|S0_full_support,1,4,0.25,0.75,1.0,0.25,0.0,1.0,1.0,4.0,0
T2,trajectory_cell,9,1|9|0|S0_full_support,2,4,0.25,0.75,1.0,0.25,0.25,0.0,1.0,0.0,0
T2,trajectory_cell,9,1|9|1|S0_full_support,3,4,0.25,0.75,1.0,0.25,0.0,1.0,1.0,4.0,0
T2,trajectory_cell,9,2|9|0|S0_full_support,4,4,0.25,0.75,1.0,0.25,0.5,1.0,1.0,4.0,0
T2,trajectory_cell,9,2|9|1|S0_full_support,5,4,0.25,0.75,1.0,0.25,0.0,1.0,1.0,4.0,0
T3-HO,target_universe,1,ALL_TARGET_CANDIDATES,0,110,0.00909090909090909,0.02727272727272727,0.045454545454545456,0.1,0.11818181818181818,0.0,0.0,0.0,0
T3-HO,trajectory_cell,1,0|1|0|S0_full_support,0,16,0.0625,0.1875,0.3125,0.125,0.0,1.0,1.0,16.0,0
T3-HO,trajectory_cell,1,0|1|1|S0_full_support,1,16,0.0625,0.1875,0.3125,0.125,0.25,0.0,0.0,0.0,0
T3-HO,trajectory_cell,1,1|1|0|S0_full_support,2,24,0.041666666666666664,0.125,0.20833333333333334,0.125,0.0,0.0,1.0,0.0,0
T3-HO,trajectory_cell,1,1|1|1|S0_full_support,3,14,0.07142857142857142,0.21428571428571427,0.35714285714285715,0.14285714285714285,0.07142857142857142,1.0,1.0,14.0,0
T3-HO,trajectory_cell,1,2|1|0|S0_full_support,4,17,0.058823529411764705,0.17647058823529413,0.29411764705882354,0.11764705882352941,0.29411764705882354,1.0,1.0,17.0,0
T3-HO,trajectory_cell,1,2|1|1|S0_full_support,5,23,0.043478260869565216,0.13043478260869565,0.21739130434782608,0.13043478260869565,0.13043478260869565,0.0,0.0,0.0,0
T3-HO,target_universe,2,ALL_TARGET_CANDIDATES,0,142,0.007042253521126761,0.02112676056338028,0.035211267605633804,0.1056338028169014,0.06338028169014084,0.0,1.0,0.0,0
T3-HO,trajectory_cell,2,0|2|0|S0_full_support,0,23,0.043478260869565216,0.13043478260869565,0.21739130434782608,0.13043478260869565,0.0,0.0,0.0,0.0,0
T3-HO,trajectory_cell,2,0|2|1|S0_full_support,1,24,0.041666666666666664,0.125,0.20833333333333334,0.125,0.25,0.0,1.0,0.0,0
T3-HO,trajectory_cell,2,1|2|0|S0_full_support,2,19,0.05263157894736842,0.15789473684210525,0.2631578947368421,0.10526315789473684,0.05263157894736842,0.0,1.0,0.0,0
T3-HO,trajectory_cell,2,1|2|1|S0_full_support,3,25,0.04,0.12,0.2,0.12,0.04,0.0,0.0,0.0,0
T3-HO,trajectory_cell,2,2|2|0|S0_full_support,4,22,0.045454545454545456,0.13636363636363635,0.22727272727272727,0.13636363636363635,0.045454545454545456,0.0,0.0,0.0,0
T3-HO,trajectory_cell,2,2|2|1|S0_full_support,5,29,0.034482758620689655,0.10344827586206896,0.1724137931034483,0.10344827586206896,0.0,0.0,0.0,0.0,0
T3-HO,target_universe,3,ALL_TARGET_CANDIDATES,0,128,0.0078125,0.0234375,0.0390625,0.1015625,0.015625,0.0,0.0,0.0,0
T3-HO,trajectory_cell,3,0|3|0|S0_full_support,0,19,0.05263157894736842,0.15789473684210525,0.2631578947368421,0.10526315789473684,0.0,0.0,0.0,0.0,0
T3-HO,trajectory_cell,3,0|3|1|S0_full_support,1,21,0.047619047619047616,0.14285714285714285,0.23809523809523808,0.14285714285714285,0.047619047619047616,0.0,0.0,0.0,0
T3-HO,trajectory_cell,3,1|3|0|S0_full_support,2,24,0.041666666666666664,0.125,0.20833333333333334,0.125,0.0,1.0,1.0,24.0,0
T3-HO,trajectory_cell,3,1|3|1|S0_full_support,3,16,0.0625,0.1875,0.3125,0.125,0.0,0.0,0.0,0.0,0
T3-HO,trajectory_cell,3,2|3|0|S0_full_support,4,18,0.05555555555555555,0.16666666666666666,0.2777777777777778,0.1111111111111111,0.0,0.0,1.0,0.0,0
T3-HO,trajectory_cell,3,2|3|1|S0_full_support,5,30,0.03333333333333333,0.1,0.16666666666666666,0.1,0.03333333333333333,1.0,1.0,30.0,0
T3-HO,target_universe,4,ALL_TARGET_CANDIDATES,0,129,0.007751937984496124,0.023255813953488372,0.03875968992248062,0.10077519379844961,0.15503875968992248,1.0,1.0,129.0,0
T3-HO,trajectory_cell,4,0|4|0|S0_full_support,0,20,0.05,0.15,0.25,0.1,0.15,1.0,1.0,20.0,0
T3-HO,trajectory_cell,4,0|4|1|S0_full_support,1,32,0.03125,0.09375,0.15625,0.125,0.1875,1.0,1.0,32.0,0
T3-HO,trajectory_cell,4,1|4|0|S0_full_support,2,14,0.07142857142857142,0.21428571428571427,0.35714285714285715,0.14285714285714285,0.21428571428571427,0.0,0.0,0.0,0
T3-HO,trajectory_cell,4,1|4|1|S0_full_support,3,20,0.05,0.15,0.25,0.1,0.15,0.0,1.0,0.0,0
T3-HO,trajectory_cell,4,2|4|0|S0_full_support,4,27,0.037037037037037035,0.1111111111111111,0.18518518518518517,0.1111111111111111,0.0,1.0,1.0,27.0,0
T3-HO,trajectory_cell,4,2|4|1|S0_full_support,5,16,0.0625,0.1875,0.3125,0.125,0.3125,1.0,1.0,16.0,0
T3-HO,target_universe,5,ALL_TARGET_CANDIDATES,0,102,0.00980392156862745,0.029411764705882353,0.049019607843137254,0.10784313725490197,0.049019607843137254,1.0,1.0,102.0,0
T3-HO,trajectory_cell,5,0|5|0|S0_full_support,0,16,0.0625,0.1875,0.3125,0.125,0.0,0.0,1.0,0.0,0
T3-HO,trajectory_cell,5,0|5|1|S0_full_support,1,18,0.05555555555555555,0.16666666666666666,0.2777777777777778,0.1111111111111111,0.05555555555555555,0.0,0.0,0.0,0
T3-HO,trajectory_cell,5,1|5|0|S0_full_support,2,14,0.07142857142857142,0.21428571428571427,0.35714285714285715,0.14285714285714285,0.07142857142857142,0.0,0.0,0.0,0
T3-HO,trajectory_cell,5,1|5|1|S0_full_support,3,15,0.06666666666666667,0.2,0.3333333333333333,0.13333333333333333,0.0,1.0,1.0,15.0,0
T3-HO,trajectory_cell,5,2|5|0|S0_full_support,4,18,0.05555555555555555,0.16666666666666666,0.2777777777777778,0.1111111111111111,0.16666666666666666,0.0,0.0,0.0,0
T3-HO,trajectory_cell,5,2|5|1|S0_full_support,5,21,0.047619047619047616,0.14285714285714285,0.23809523809523808,0.14285714285714285,0.0,0.0,0.0,0.0,0
T3-HO,target_universe,6,ALL_TARGET_CANDIDATES,0,108,0.009259259259259259,0.027777777777777776,0.046296296296296294,0.10185185185185185,0.05555555555555555,0.0,0.0,0.0,0
T3-HO,trajectory_cell,6,0|6|0|S0_full_support,0,18,0.05555555555555555,0.16666666666666666,0.2777777777777778,0.1111111111111111,0.0,0.0,1.0,0.0,0
T3-HO,trajectory_cell,6,0|6|1|S0_full_support,1,17,0.058823529411764705,0.17647058823529413,0.29411764705882354,0.11764705882352941,0.23529411764705882,1.0,1.0,17.0,0
T3-HO,trajectory_cell,6,1|6|0|S0_full_support,2,17,0.058823529411764705,0.17647058823529413,0.29411764705882354,0.11764705882352941,0.058823529411764705,1.0,1.0,17.0,0
T3-HO,trajectory_cell,6,1|6|1|S0_full_support,3,21,0.047619047619047616,0.14285714285714285,0.23809523809523808,0.14285714285714285,0.0,0.0,0.0,0.0,0
T3-HO,trajectory_cell,6,2|6|0|S0_full_support,4,19,0.05263157894736842,0.15789473684210525,0.2631578947368421,0.10526315789473684,0.0,1.0,1.0,19.0,0
T3-HO,trajectory_cell,6,2|6|1|S0_full_support,5,16,0.0625,0.1875,0.3125,0.125,0.0625,0.0,0.0,0.0,0
T3-HO,target_universe,7,ALL_TARGET_CANDIDATES,0,112,0.008928571428571428,0.026785714285714284,0.044642857142857144,0.10714285714285714,0.125,0.0,0.0,0.0,0
T3-HO,trajectory_cell,7,0|7|0|S0_full_support,0,17,0.058823529411764705,0.17647058823529413,0.29411764705882354,0.11764705882352941,0.0,0.0,0.0,0.0,0
T3-HO,trajectory_cell,7,0|7|1|S0_full_support,1,20,0.05,0.15,0.25,0.1,0.05,1.0,1.0,20.0,0
T3-HO,trajectory_cell,7,1|7|0|S0_full_support,2,22,0.045454545454545456,0.13636363636363635,0.22727272727272727,0.13636363636363635,0.045454545454545456,0.0,0.0,0.0,0
T3-HO,trajectory_cell,7,1|7|1|S0_full_support,3,17,0.058823529411764705,0.17647058823529413,0.29411764705882354,0.11764705882352941,0.29411764705882354,0.0,1.0,0.0,0
T3-HO,trajectory_cell,7,2|7|0|S0_full_support,4,17,0.058823529411764705,0.17647058823529413,0.29411764705882354,0.11764705882352941,0.11764705882352941,0.0,1.0,0.0,0
T3-HO,trajectory_cell,7,2|7|1|S0_full_support,5,19,0.05263157894736842,0.15789473684210525,0.2631578947368421,0.10526315789473684,0.2631578947368421,0.0,0.0,0.0,0
T3-HO,target_universe,8,ALL_TARGET_CANDIDATES,0,106,0.009433962264150943,0.02830188679245283,0.04716981132075472,0.10377358490566038,0.07547169811320754,0.0,0.0,0.0,0
T3-HO,trajectory_cell,8,0|8|0|S0_full_support,0,16,0.0625,0.1875,0.3125,0.125,0.25,0.0,1.0,0.0,0
T3-HO,trajectory_cell,8,0|8|1|S0_full_support,1,20,0.05,0.15,0.25,0.1,0.1,0.0,0.0,0.0,0
T3-HO,trajectory_cell,8,1|8|0|S0_full_support,2,19,0.05263157894736842,0.15789473684210525,0.2631578947368421,0.10526315789473684,0.0,1.0,1.0,19.0,0
T3-HO,trajectory_cell,8,1|8|1|S0_full_support,3,18,0.05555555555555555,0.16666666666666666,0.2777777777777778,0.1111111111111111,0.0,0.0,0.0,0.0,0
T3-HO,trajectory_cell,8,2|8|0|S0_full_support,4,19,0.05263157894736842,0.15789473684210525,0.2631578947368421,0.10526315789473684,0.10526315789473684,0.0,0.0,0.0,0
T3-HO,trajectory_cell,8,2|8|1|S0_full_support,5,14,0.07142857142857142,0.21428571428571427,0.35714285714285715,0.14285714285714285,0.0,0.0,1.0,0.0,0
T3-HO,target_universe,9,ALL_TARGET_CANDIDATES,0,115,0.008695652173913044,0.02608695652173913,0.043478260869565216,0.10434782608695652,0.13043478260869565,0.0,0.0,0.0,0
T3-HO,trajectory_cell,9,0|9|0|S0_full_support,0,20,0.05,0.15,0.25,0.1,0.3,0.0,1.0,0.0,0
T3-HO,trajectory_cell,9,0|9|1|S0_full_support,1,15,0.06666666666666667,0.2,0.3333333333333333,0.13333333333333333,0.0,1.0,1.0,15.0,0
T3-HO,trajectory_cell,9,1|9|0|S0_full_support,2,18,0.05555555555555555,0.16666666666666666,0.2777777777777778,0.1111111111111111,0.2222222222222222,0.0,1.0,0.0,0
T3-HO,trajectory_cell,9,1|9|1|S0_full_support,3,16,0.0625,0.1875,0.3125,0.125,0.0,1.0,1.0,16.0,0
T3-HO,trajectory_cell,9,2|9|0|S0_full_support,4,20,0.05,0.15,0.25,0.1,0.2,0.0,0.0,0.0,0
T3-HO,trajectory_cell,9,2|9|1|S0_full_support,5,26,0.038461538461538464,0.11538461538461539,0.19230769230769232,0.11538461538461539,0.038461538461538464,0.0,1.0,0.0,0
