scalarization_id,grid_family,weight_leakage,weight_source_rank,weight_source_risk,weight_audit_leakage,grid_step,source_only,hindsight_diagnostic_only
leakage_rank_risk__leakage_0.1__rank_0.6__risk_0.3,leakage_source_rank_source_risk,0.1,0.6,0.3,0.0,0.1,1,1
leakage_rank_risk__leakage_0.1__rank_0.7__risk_0.2,leakage_source_rank_source_risk,0.1,0.7,0.2,0.0,0.1,1,1
leakage_rank_risk__leakage_0.1__rank_0.8__risk_0.1,leakage_source_rank_source_risk,0.1,0.8,0.1,0.0,0.1,1,1
leakage_rank_risk__leakage_0.1__rank_0.9__risk_0.0,leakage_source_rank_source_risk,0.1,0.9,0.0,0.0,0.1,1,1
leakage_rank_risk__leakage_0.2__rank_0.0__risk_0.8,leakage_source_rank_source_risk,0.2,0.0,0.8,0.0,0.1,1,1
leakage_rank_risk__leakage_0.2__rank_0.1__risk_0.7,leakage_source_rank_source_risk,0.2,0.1,0.7,0.0,0.1,1,1
leakage_rank_risk__leakage_0.2__rank_0.2__risk_0.6,leakage_source_rank_source_risk,0.2,0.2,0.6,0.0,0.1,1,1
leakage_rank_risk__leakage_0.2__rank_0.3__risk_0.5,leakage_source_rank_source_risk,0.2,0.3,0.5,0.0,0.1,1,1
leakage_rank_risk__leakage_0.2__rank_0.4__risk_0.4,leakage_source_rank_source_risk,0.2,0.4,0.4,0.0,0.1,1,1
leakage_rank_risk__leakage_0.2__rank_0.5__risk_0.3,leakage_source_rank_source_risk,0.2,0.5,0.3,0.0,0.1,1,1
leakage_rank_risk__leakage_0.2__rank_0.6__risk_0.2,leakage_source_rank_source_risk,0.2,0.6,0.2,0.0,0.1,1,1
leakage_rank_risk__leakage_0.2__rank_0.7__risk_0.1,leakage_source_rank_source_risk,0.2,0.7,0.1,0.0,0.1,1,1
leakage_rank_risk__leakage_0.2__rank_0.8__risk_0.0,leakage_source_rank_source_risk,0.2,0.8,0.0,0.0,0.1,1,1
leakage_rank_risk__leakage_0.3__rank_0.0__risk_0.7,leakage_source_rank_source_risk,0.3,0.0,0.7,0.0,0.1,1,1
leakage_rank_risk__leakage_0.3__rank_0.1__risk_0.6,leakage_source_rank_source_risk,0.3,0.1,0.6,0.0,0.1,1,1
leakage_rank_risk__leakage_0.3__rank_0.2__risk_0.5,leakage_source_rank_source_risk,0.3,0.2,0.5,0.0,0.1,1,1
leakage_rank_risk__leakage_0.3__rank_0.3__risk_0.4,leakage_source_rank_source_risk,0.3,0.3,0.4,0.0,0.1,1,1
leakage_rank_risk__leakage_0.3__rank_0.4__risk_0.3,leakage_source_rank_source_risk,0.3,0.4,0.3,0.0,0.1,1,1
leakage_rank_risk__leakage_0.3__rank_0.5__risk_0.2,leakage_source_rank_source_risk,0.3,0.5,0.2,0.0,0.1,1,1
leakage_rank_risk__leakage_0.3__rank_0.6__risk_0.1,leakage_source_rank_source_risk,0.3,0.6,0.1,0.0,0.1,1,1
leakage_rank_risk__leakage_0.3__rank_0.7__risk_0.0,leakage_source_rank_source_risk,0.3,0.7,0.0,0.0,0.1,1,1
leakage_rank_risk__leakage_0.4__rank_0.0__risk_0.6,leakage_source_rank_source_risk,0.4,0.0,0.6,0.0,0.1,1,1
leakage_rank_risk__leakage_0.4__rank_0.1__risk_0.5,leakage_source_rank_source_risk,0.4,0.1,0.5,0.0,0.1,1,1
leakage_rank_risk__leakage_0.4__rank_0.2__risk_0.4,leakage_source_rank_source_risk,0.4,0.2,0.4,0.0,0.1,1,1
leakage_rank_risk__leakage_0.4__rank_0.3__risk_0.3,leakage_source_rank_source_risk,0.4,0.3,0.3,0.0,0.1,1,1
leakage_rank_risk__leakage_0.4__rank_0.4__risk_0.2,leakage_source_rank_source_risk,0.4,0.4,0.2,0.0,0.1,1,1
leakage_rank_risk__leakage_0.4__rank_0.5__risk_0.1,leakage_source_rank_source_risk,0.4,0.5,0.1,0.0,0.1,1,1
leakage_rank_risk__leakage_0.4__rank_0.6__risk_0.0,leakage_source_rank_source_risk,0.4,0.6,0.0,0.0,0.1,1,1
leakage_rank_risk__leakage_0.5__rank_0.0__risk_0.5,leakage_source_rank_source_risk,0.5,0.0,0.5,0.0,0.1,1,1
leakage_rank_risk__leakage_0.5__rank_0.1__risk_0.4,leakage_source_rank_source_risk,0.5,0.1,0.4,0.0,0.1,1,1
leakage_rank_risk__leakage_0.5__rank_0.2__risk_0.3,leakage_source_rank_source_risk,0.5,0.2,0.3,0.0,0.1,1,1
leakage_rank_risk__leakage_0.5__rank_0.3__risk_0.2,leakage_source_rank_source_risk,0.5,0.3,0.2,0.0,0.1,1,1
leakage_rank_risk__leakage_0.5__rank_0.4__risk_0.1,leakage_source_rank_source_risk,0.5,0.4,0.1,0.0,0.1,1,1
leakage_rank_risk__leakage_0.5__rank_0.5__risk_0.0,leakage_source_rank_source_risk,0.5,0.5,0.0,0.0,0.1,1,1
leakage_rank_risk__leakage_0.6__rank_0.0__risk_0.4,leakage_source_rank_source_risk,0.6,0.0,0.4,0.0,0.1,1,1
leakage_rank_risk__leakage_0.6__rank_0.1__risk_0.3,leakage_source_rank_source_risk,0.6,0.1,0.3,0.0,0.1,1,1
leakage_rank_risk__leakage_0.6__rank_0.2__risk_0.2,leakage_source_rank_source_risk,0.6,0.2,0.2,0.0,0.1,1,1
leakage_rank_risk__leakage_0.6__rank_0.3__risk_0.1,leakage_source_rank_source_risk,0.6,0.3,0.1,0.0,0.1,1,1
leakage_rank_risk__leakage_0.6__rank_0.4__risk_0.0,leakage_source_rank_source_risk,0.6,0.4,0.0,0.0,0.1,1,1
leakage_rank_risk__leakage_0.7__rank_0.0__risk_0.3,leakage_source_rank_source_risk,0.7,0.0,0.3,0.0,0.1,1,1
leakage_rank_risk__leakage_0.7__rank_0.1__risk_0.2,leakage_source_rank_source_risk,0.7,0.1,0.2,0.0,0.1,1,1
leakage_rank_risk__leakage_0.7__rank_0.2__risk_0.1,leakage_source_rank_source_risk,0.7,0.2,0.1,0.0,0.1,1,1
leakage_rank_risk__leakage_0.7__rank_0.3__risk_0.0,leakage_source_rank_source_risk,0.7,0.3,0.0,0.0,0.1,1,1
leakage_rank_risk__leakage_0.8__rank_0.0__risk_0.2,leakage_source_rank_source_risk,0.8,0.0,0.2,0.0,0.1,1,1
leakage_rank_risk__leakage_0.8__rank_0.1__risk_0.1,leakage_source_rank_source_risk,0.8,0.1,0.1,0.0,0.1,1,1
leakage_rank_risk__leakage_0.8__rank_0.2__risk_0.0,leakage_source_rank_source_risk,0.8,0.2,0.0,0.0,0.1,1,1
leakage_rank_risk__leakage_0.9__rank_0.0__risk_0.1,leakage_source_rank_source_risk,0.9,0.0,0.1,0.0,0.1,1,1
leakage_rank_risk__leakage_0.9__rank_0.1__risk_0.0,leakage_source_rank_source_risk,0.9,0.1,0.0,0.0,0.1,1,1
leakage_rank_risk__leakage_1.0__rank_0.0__risk_0.0,leakage_source_rank_source_risk,1.0,0.0,0.0,0.0,0.1,1,1
