scalarization_id,grid_family,n_trajectories,observed_top1_joint_good_rate,expected_random_top1_joint_good_rate,top1_joint_good_gain_vs_random,p_value_vs_trajectory_random,holm_p_value,bh_q_value,per_target_auc_sign_consistency,passes_bh_0_05,positive_scalarization_claim_allowed,hindsight_diagnostic_only
leakage_source_risk__leakage_0.5__source_risk_0.5,leakage_source_risk,162,0.5185185185185185,0.4297233780360411,0.08879514048247739,0.0018640359352638035,0.18267552165585274,0.01476890010247475,0.7777777777777778,1,0,1
leakage_source_risk__leakage_0.6__source_risk_0.4,leakage_source_risk,162,0.4444444444444444,0.4297233780360411,0.014721066408403316,0.3446510601421107,1.0,0.42769950836912535,1.0,0,0,1
leakage_source_risk__leakage_0.7__source_risk_0.3,leakage_source_risk,162,0.4074074074074074,0.4297233780360411,-0.02231597062863372,0.8064726715199421,1.0,0.8143792663387651,0.8888888888888888,0,0,1
leakage_source_risk__leakage_0.8__source_risk_0.2,leakage_source_risk,162,0.42592592592592593,0.4297233780360411,-0.0037974521101151737,0.5913188025646559,1.0,0.6620199637408647,0.5555555555555556,0,0,1
leakage_source_risk__leakage_0.9__source_risk_0.1,leakage_source_risk,162,0.4074074074074074,0.4297233780360411,-0.02231597062863372,0.8064726715199421,1.0,0.8143792663387651,0.5555555555555556,0,0,1
leakage_source_risk__leakage_1.0__source_risk_0.0,leakage_source_risk,162,0.4074074074074074,0.4297233780360411,-0.02231597062863372,0.8064726715199421,1.0,0.8143792663387651,0.5555555555555556,0,0,1
rank_source_risk__source_rank_0.0__source_risk_1.0,rank_source_risk,162,0.48148148148148145,0.4297233780360411,0.05175810344544035,0.04910930922122872,1.0,0.11240575221747906,0.6666666666666666,0,0,1
rank_source_risk__source_rank_0.1__source_risk_0.9,rank_source_risk,162,0.4506172839506173,0.4297233780360411,0.020893905914576183,0.27112545958927664,1.0,0.3989417476813642,0.6666666666666666,0,0,1
rank_source_risk__source_rank_0.2__source_risk_0.8,rank_source_risk,162,0.4444444444444444,0.4297233780360411,0.014721066408403316,0.3446510601421107,1.0,0.42769950836912535,0.6666666666666666,0,0,1
rank_source_risk__source_rank_0.3__source_risk_0.7,rank_source_risk,162,0.4444444444444444,0.4297233780360411,0.014721066408403316,0.3446510601421107,1.0,0.42769950836912535,0.6666666666666666,0,0,1
rank_source_risk__source_rank_0.4__source_risk_0.6,rank_source_risk,162,0.4444444444444444,0.4297233780360411,0.014721066408403316,0.3446510601421107,1.0,0.42769950836912535,0.6666666666666666,0,0,1
rank_source_risk__source_rank_0.5__source_risk_0.5,rank_source_risk,162,0.4506172839506173,0.4297233780360411,0.020893905914576183,0.27112545958927664,1.0,0.3989417476813642,0.7777777777777778,0,0,1
rank_source_risk__source_rank_0.6__source_risk_0.4,rank_source_risk,162,0.46296296296296297,0.4297233780360411,0.03323958492692186,0.15202315106707776,1.0,0.26539634847303406,0.7777777777777778,0,0,1
rank_source_risk__source_rank_0.7__source_risk_0.3,rank_source_risk,162,0.47530864197530864,0.4297233780360411,0.04558526393926754,0.0742031102777218,1.0,0.14986118350206562,0.7777777777777778,0,0,1
rank_source_risk__source_rank_0.8__source_risk_0.2,rank_source_risk,162,0.4876543209876543,0.4297233780360411,0.05793094295161322,0.031320883319564605,1.0,0.08719056707878796,0.8888888888888888,0,0,1
rank_source_risk__source_rank_0.9__source_risk_0.1,rank_source_risk,162,0.5123456790123457,0.4297233780360411,0.08262230097630463,0.003542389516683914,0.31881505650155223,0.020270340012135728,0.8888888888888888,1,0,1
rank_source_risk__source_rank_1.0__source_risk_0.0,rank_source_risk,162,0.5061728395061729,0.4297233780360411,0.07644946147013176,0.006472848629673461,0.5501921335222442,0.02564243880216794,1.0,1,0,1
leakage_rank_risk__leakage_0.0__rank_0.0__risk_1.0,leakage_source_rank_source_risk,162,0.48148148148148145,0.4297233780360411,0.05175810344544035,0.04910930922122872,1.0,0.11240575221747906,0.6666666666666666,0,0,1
leakage_rank_risk__leakage_0.0__rank_0.1__risk_0.9,leakage_source_rank_source_risk,162,0.4506172839506173,0.4297233780360411,0.020893905914576183,0.27112545958927664,1.0,0.3989417476813642,0.6666666666666666,0,0,1
leakage_rank_risk__leakage_0.0__rank_0.2__risk_0.8,leakage_source_rank_source_risk,162,0.4444444444444444,0.4297233780360411,0.014721066408403316,0.3446510601421107,1.0,0.42769950836912535,0.6666666666666666,0,0,1
leakage_rank_risk__leakage_0.0__rank_0.3__risk_0.7,leakage_source_rank_source_risk,162,0.4444444444444444,0.4297233780360411,0.014721066408403316,0.3446510601421107,1.0,0.42769950836912535,0.6666666666666666,0,0,1
leakage_rank_risk__leakage_0.0__rank_0.4__risk_0.6,leakage_source_rank_source_risk,162,0.4444444444444444,0.4297233780360411,0.014721066408403316,0.3446510601421107,1.0,0.42769950836912535,0.6666666666666666,0,0,1
leakage_rank_risk__leakage_0.0__rank_0.5__risk_0.5,leakage_source_rank_source_risk,162,0.4506172839506173,0.4297233780360411,0.020893905914576183,0.27112545958927664,1.0,0.3989417476813642,0.7777777777777778,0,0,1
leakage_rank_risk__leakage_0.0__rank_0.6__risk_0.4,leakage_source_rank_source_risk,162,0.46296296296296297,0.4297233780360411,0.03323958492692186,0.15202315106707776,1.0,0.26539634847303406,0.7777777777777778,0,0,1
leakage_rank_risk__leakage_0.0__rank_0.7__risk_0.3,leakage_source_rank_source_risk,162,0.47530864197530864,0.4297233780360411,0.04558526393926754,0.0742031102777218,1.0,0.14986118350206562,0.7777777777777778,0,0,1
leakage_rank_risk__leakage_0.0__rank_0.8__risk_0.2,leakage_source_rank_source_risk,162,0.4876543209876543,0.4297233780360411,0.05793094295161322,0.031320883319564605,1.0,0.08719056707878796,0.8888888888888888,0,0,1
leakage_rank_risk__leakage_0.0__rank_0.9__risk_0.1,leakage_source_rank_source_risk,162,0.5123456790123457,0.4297233780360411,0.08262230097630463,0.003542389516683914,0.31881505650155223,0.020270340012135728,0.8888888888888888,1,0,1
leakage_rank_risk__leakage_0.0__rank_1.0__risk_0.0,leakage_source_rank_source_risk,162,0.5061728395061729,0.4297233780360411,0.07644946147013176,0.006472848629673461,0.5501921335222442,0.02564243880216794,1.0,1,0,1
leakage_rank_risk__leakage_0.1__rank_0.0__risk_0.9,leakage_source_rank_source_risk,162,0.5,0.4297233780360411,0.0702766219639589,0.011376336557185576,0.8759779149032894,0.03550795955727619,0.6666666666666666,1,0,1
leakage_rank_risk__leakage_0.1__rank_0.1__risk_0.8,leakage_source_rank_source_risk,162,0.4567901234567901,0.4297233780360411,0.027066745420748994,0.20646816868591342,1.0,0.3375590694388743,0.6666666666666666,0,0,1
leakage_rank_risk__leakage_0.1__rank_0.2__risk_0.7,leakage_source_rank_source_risk,162,0.4506172839506173,0.4297233780360411,0.020893905914576183,0.27112545958927664,1.0,0.3989417476813642,0.6666666666666666,0,0,1
leakage_rank_risk__leakage_0.1__rank_0.3__risk_0.6,leakage_source_rank_source_risk,162,0.4444444444444444,0.4297233780360411,0.014721066408403316,0.3446510601421107,1.0,0.42769950836912535,0.6666666666666666,0,0,1
leakage_rank_risk__leakage_0.1__rank_0.4__risk_0.5,leakage_source_rank_source_risk,162,0.4444444444444444,0.4297233780360411,0.014721066408403316,0.3446510601421107,1.0,0.42769950836912535,0.7777777777777778,0,0,1
leakage_rank_risk__leakage_0.1__rank_0.5__risk_0.4,leakage_source_rank_source_risk,162,0.46296296296296297,0.4297233780360411,0.03323958492692186,0.15202315106707776,1.0,0.26539634847303406,0.7777777777777778,0,0,1
leakage_rank_risk__leakage_0.1__rank_0.6__risk_0.3,leakage_source_rank_source_risk,162,0.4691358024691358,0.4297233780360411,0.03941242443309467,0.10811699683049805,1.0,0.19885804774180893,0.7777777777777778,0,0,1
leakage_rank_risk__leakage_0.1__rank_0.7__risk_0.2,leakage_source_rank_source_risk,162,0.4691358024691358,0.4297233780360411,0.03941242443309467,0.10811699683049805,1.0,0.19885804774180893,0.8888888888888888,0,0,1
leakage_rank_risk__leakage_0.1__rank_0.8__risk_0.1,leakage_source_rank_source_risk,162,0.49382716049382713,0.4297233780360411,0.06410378245778603,0.01923912975378668,1.0,0.05828324601882435,1.0,0,0,1
leakage_rank_risk__leakage_0.1__rank_0.9__risk_0.0,leakage_source_rank_source_risk,162,0.5,0.4297233780360411,0.0702766219639589,0.011376336557185576,0.8759779149032894,0.03550795955727619,1.0,1,0,1
leakage_rank_risk__leakage_0.2__rank_0.0__risk_0.8,leakage_source_rank_source_risk,162,0.48148148148148145,0.4297233780360411,0.05175810344544035,0.04910930922122872,1.0,0.11240575221747906,0.6666666666666666,0,0,1
leakage_rank_risk__leakage_0.2__rank_0.1__risk_0.7,leakage_source_rank_source_risk,162,0.4691358024691358,0.4297233780360411,0.03941242443309467,0.10811699683049805,1.0,0.19885804774180893,0.6666666666666666,0,0,1
leakage_rank_risk__leakage_0.2__rank_0.2__risk_0.6,leakage_source_rank_source_risk,162,0.4567901234567901,0.4297233780360411,0.027066745420748994,0.20646816868591342,1.0,0.3375590694388743,0.6666666666666666,0,0,1
leakage_rank_risk__leakage_0.2__rank_0.3__risk_0.5,leakage_source_rank_source_risk,162,0.4506172839506173,0.4297233780360411,0.020893905914576183,0.27112545958927664,1.0,0.3989417476813642,0.7777777777777778,0,0,1
leakage_rank_risk__leakage_0.2__rank_0.4__risk_0.4,leakage_source_rank_source_risk,162,0.4567901234567901,0.4297233780360411,0.027066745420748994,0.20646816868591342,1.0,0.3375590694388743,0.7777777777777778,0,0,1
leakage_rank_risk__leakage_0.2__rank_0.5__risk_0.3,leakage_source_rank_source_risk,162,0.47530864197530864,0.4297233780360411,0.04558526393926754,0.0742031102777218,1.0,0.14986118350206562,0.8888888888888888,0,0,1
leakage_rank_risk__leakage_0.2__rank_0.6__risk_0.2,leakage_source_rank_source_risk,162,0.4691358024691358,0.4297233780360411,0.03941242443309467,0.10811699683049805,1.0,0.19885804774180893,1.0,0,0,1
leakage_rank_risk__leakage_0.2__rank_0.7__risk_0.1,leakage_source_rank_source_risk,162,0.4876543209876543,0.4297233780360411,0.05793094295161322,0.031320883319564605,1.0,0.08719056707878796,1.0,0,0,1
leakage_rank_risk__leakage_0.2__rank_0.8__risk_0.0,leakage_source_rank_source_risk,162,0.47530864197530864,0.4297233780360411,0.04558526393926754,0.0742031102777218,1.0,0.14986118350206562,1.0,0,0,1
leakage_rank_risk__leakage_0.3__rank_0.0__risk_0.7,leakage_source_rank_source_risk,162,0.5185185185185185,0.4297233780360411,0.08879514048247739,0.0018640359352638035,0.18267552165585274,0.01476890010247475,0.7777777777777778,1,0,1
leakage_rank_risk__leakage_0.3__rank_0.1__risk_0.6,leakage_source_rank_source_risk,162,0.5061728395061729,0.4297233780360411,0.07644946147013176,0.006472848629673461,0.5501921335222442,0.02564243880216794,0.7777777777777778,1,0,1
leakage_rank_risk__leakage_0.3__rank_0.2__risk_0.5,leakage_source_rank_source_risk,162,0.48148148148148145,0.4297233780360411,0.05175810344544035,0.04910930922122872,1.0,0.11240575221747906,0.7777777777777778,0,0,1
leakage_rank_risk__leakage_0.3__rank_0.3__risk_0.4,leakage_source_rank_source_risk,162,0.4691358024691358,0.4297233780360411,0.03941242443309467,0.10811699683049805,1.0,0.19885804774180893,0.7777777777777778,0,0,1
leakage_rank_risk__leakage_0.3__rank_0.4__risk_0.3,leakage_source_rank_source_risk,162,0.47530864197530864,0.4297233780360411,0.04558526393926754,0.0742031102777218,1.0,0.14986118350206562,1.0,0,0,1
leakage_rank_risk__leakage_0.3__rank_0.5__risk_0.2,leakage_source_rank_source_risk,162,0.48148148148148145,0.4297233780360411,0.05175810344544035,0.04910930922122872,1.0,0.11240575221747906,1.0,0,0,1
leakage_rank_risk__leakage_0.3__rank_0.6__risk_0.1,leakage_source_rank_source_risk,162,0.5,0.4297233780360411,0.0702766219639589,0.011376336557185576,0.8759779149032894,0.03550795955727619,1.0,1,0,1
leakage_rank_risk__leakage_0.3__rank_0.7__risk_0.0,leakage_source_rank_source_risk,162,0.5123456790123457,0.4297233780360411,0.08262230097630463,0.003542389516683914,0.31881505650155223,0.020270340012135728,1.0,1,0,1
leakage_rank_risk__leakage_0.4__rank_0.0__risk_0.6,leakage_source_rank_source_risk,162,0.5185185185185185,0.4297233780360411,0.08879514048247739,0.0018640359352638035,0.18267552165585274,0.01476890010247475,0.7777777777777778,1,0,1
leakage_rank_risk__leakage_0.4__rank_0.1__risk_0.5,leakage_source_rank_source_risk,162,0.5308641975308642,0.4297233780360411,0.10114081949482312,0.0004582536558652894,0.04582536558652894,0.011800031638531203,0.7777777777777778,1,0,1
leakage_rank_risk__leakage_0.4__rank_0.2__risk_0.4,leakage_source_rank_source_risk,162,0.5,0.4297233780360411,0.0702766219639589,0.011376336557185576,0.8759779149032894,0.03550795955727619,1.0,1,0,1
leakage_rank_risk__leakage_0.4__rank_0.3__risk_0.3,leakage_source_rank_source_risk,162,0.5,0.4297233780360411,0.0702766219639589,0.011376336557185576,0.8759779149032894,0.03550795955727619,1.0,1,0,1
leakage_rank_risk__leakage_0.4__rank_0.4__risk_0.2,leakage_source_rank_source_risk,162,0.5123456790123457,0.4297233780360411,0.08262230097630463,0.003542389516683914,0.31881505650155223,0.020270340012135728,1.0,1,0,1
leakage_rank_risk__leakage_0.4__rank_0.5__risk_0.1,leakage_source_rank_source_risk,162,0.5061728395061729,0.4297233780360411,0.07644946147013176,0.006472848629673461,0.5501921335222442,0.02564243880216794,1.0,1,0,1
leakage_rank_risk__leakage_0.4__rank_0.6__risk_0.0,leakage_source_rank_source_risk,162,0.5185185185185185,0.4297233780360411,0.08879514048247739,0.0018640359352638035,0.18267552165585274,0.01476890010247475,0.8888888888888888,1,0,1
leakage_rank_risk__leakage_0.5__rank_0.0__risk_0.5,leakage_source_rank_source_risk,162,0.5185185185185185,0.4297233780360411,0.08879514048247739,0.0018640359352638035,0.18267552165585274,0.01476890010247475,0.7777777777777778,1,0,1
leakage_rank_risk__leakage_0.5__rank_0.1__risk_0.4,leakage_source_rank_source_risk,162,0.5740740740740741,0.4297233780360411,0.14435069603803297,9.421184772383773e-07,9.703820315555286e-05,9.703820315555286e-05,1.0,1,0,1
leakage_rank_risk__leakage_0.5__rank_0.2__risk_0.3,leakage_source_rank_source_risk,162,0.5493827160493827,0.4297233780360411,0.11965933801334161,4.131988919867513e-05,0.004214628698264863,0.0021279742937317693,1.0,1,0,1
leakage_rank_risk__leakage_0.5__rank_0.3__risk_0.2,leakage_source_rank_source_risk,162,0.5432098765432098,0.4297233780360411,0.11348649850716874,9.595703507791193e-05,0.009691660542869105,0.0032945248710083094,0.8888888888888888,1,0,1
leakage_rank_risk__leakage_0.5__rank_0.4__risk_0.1,leakage_source_rank_source_risk,162,0.5246913580246914,0.4297233780360411,0.09496797998865025,0.0009428284062602053,0.09334001221976032,0.01476890010247475,0.8888888888888888,1,0,1
leakage_rank_risk__leakage_0.5__rank_0.5__risk_0.0,leakage_source_rank_source_risk,162,0.5061728395061729,0.4297233780360411,0.07644946147013176,0.006472848629673461,0.5501921335222442,0.02564243880216794,0.8888888888888888,1,0,1
leakage_rank_risk__leakage_0.6__rank_0.0__risk_0.4,leakage_source_rank_source_risk,162,0.4444444444444444,0.4297233780360411,0.014721066408403316,0.3446510601421107,1.0,0.42769950836912535,1.0,0,0,1
leakage_rank_risk__leakage_0.6__rank_0.1__risk_0.3,leakage_source_rank_source_risk,162,0.4444444444444444,0.4297233780360411,0.014721066408403316,0.3446510601421107,1.0,0.42769950836912535,0.8888888888888888,0,0,1
leakage_rank_risk__leakage_0.6__rank_0.2__risk_0.2,leakage_source_rank_source_risk,162,0.4567901234567901,0.4297233780360411,0.027066745420748994,0.20646816868591342,1.0,0.3375590694388743,0.8888888888888888,0,0,1
leakage_rank_risk__leakage_0.6__rank_0.3__risk_0.1,leakage_source_rank_source_risk,162,0.4506172839506173,0.4297233780360411,0.020893905914576183,0.27112545958927664,1.0,0.3989417476813642,0.7777777777777778,0,0,1
leakage_rank_risk__leakage_0.6__rank_0.4__risk_0.0,leakage_source_rank_source_risk,162,0.4444444444444444,0.4297233780360411,0.014721066408403316,0.3446510601421107,1.0,0.42769950836912535,0.7777777777777778,0,0,1
leakage_rank_risk__leakage_0.7__rank_0.0__risk_0.3,leakage_source_rank_source_risk,162,0.4074074074074074,0.4297233780360411,-0.02231597062863372,0.8064726715199421,1.0,0.8143792663387651,0.8888888888888888,0,0,1
leakage_rank_risk__leakage_0.7__rank_0.1__risk_0.2,leakage_source_rank_source_risk,162,0.4382716049382716,0.4297233780360411,0.008548226902230505,0.4246989167580251,1.0,0.5207617669771023,0.8888888888888888,0,0,1
leakage_rank_risk__leakage_0.7__rank_0.2__risk_0.1,leakage_source_rank_source_risk,162,0.42592592592592593,0.4297233780360411,-0.0037974521101151737,0.5913188025646559,1.0,0.6620199637408647,0.7777777777777778,0,0,1
leakage_rank_risk__leakage_0.7__rank_0.3__risk_0.0,leakage_source_rank_source_risk,162,0.41358024691358025,0.4297233780360411,-0.016143131122460852,0.7431948031284763,1.0,0.8143517523641814,0.7777777777777778,0,0,1
leakage_rank_risk__leakage_0.8__rank_0.0__risk_0.2,leakage_source_rank_source_risk,162,0.42592592592592593,0.4297233780360411,-0.0037974521101151737,0.5913188025646559,1.0,0.6620199637408647,0.5555555555555556,0,0,1
leakage_rank_risk__leakage_0.8__rank_0.1__risk_0.1,leakage_source_rank_source_risk,162,0.42592592592592593,0.4297233780360411,-0.0037974521101151737,0.5913188025646559,1.0,0.6620199637408647,0.6666666666666666,0,0,1
leakage_rank_risk__leakage_0.8__rank_0.2__risk_0.0,leakage_source_rank_source_risk,162,0.42592592592592593,0.4297233780360411,-0.0037974521101151737,0.5913188025646559,1.0,0.6620199637408647,0.7777777777777778,0,0,1
leakage_rank_risk__leakage_0.9__rank_0.0__risk_0.1,leakage_source_rank_source_risk,162,0.4074074074074074,0.4297233780360411,-0.02231597062863372,0.8064726715199421,1.0,0.8143792663387651,0.5555555555555556,0,0,1
leakage_rank_risk__leakage_0.9__rank_0.1__risk_0.0,leakage_source_rank_source_risk,162,0.42592592592592593,0.4297233780360411,-0.0037974521101151737,0.5913188025646559,1.0,0.6620199637408647,0.5555555555555556,0,0,1
leakage_rank_risk__leakage_1.0__rank_0.0__risk_0.0,leakage_source_rank_source_risk,162,0.4074074074074074,0.4297233780360411,-0.02231597062863372,0.8064726715199421,1.0,0.8143792663387651,0.5555555555555556,0,0,1
