dataset,target_subject,token_seed,injtype,is_confirm,alpha,is_alpha_star,lam,k,bacc_orig,bacc_injected,induced_harm,mean_disp,E4_inj_bacc,E4_cln_bacc,E4_raw_rec,E4_netted_rec,E4b_inj_bacc,E4b_cln_bacc,E4b_raw_rec,E4b_netted_rec,E4bO_inj_bacc,E4bO_cln_bacc,E4bO_netted_rec,inj_dominance,vc_overlap,arm_overlap,E3_inj_bacc,E3_cln_bacc,E3_raw_rec,E3_netted_rec,ERASE_inj_bacc,ERASE_cln_bacc,ERASE_raw_rec,ERASE_netted_rec
BNCI2014_001,1,20260727,covtoken,True,1.0,True,1.0,2,0.4045,0.3681,0.0365,0.0,0.3924,0.4392,0.6667,-0.2857,0.3715,0.3906,0.0952,0.4762,0.3698,0.4028,0.0952,0.4549,0.4885,0.8207,0.3681,0.4045,0.0,0.0,0.2865,0.2847,-2.2381,1.0476
BNCI2014_001,1,20260727,covtoken,True,2.0,False,1.0,2,0.4045,0.3368,0.0677,0.0,0.3663,0.4392,0.4359,-0.0769,0.3403,0.3906,0.0513,0.2564,0.3472,0.4028,0.1795,0.499,0.685,0.531,0.3385,0.4045,0.0256,0.0256,0.3108,0.2847,-0.3846,1.3846
BNCI2014_001,1,20260727,covtoken,True,3.0,False,1.0,2,0.4045,0.3194,0.0851,0.0,0.3316,0.4392,0.1429,-0.2653,0.3524,0.3906,0.3878,0.551,0.3455,0.4028,0.3265,0.5045,0.631,0.5944,0.3073,0.401,-0.1429,-0.102,0.3125,0.2847,-0.0816,1.3265
BNCI2014_001,1,20260728,varmod,True,1.0,False,1.0,1,0.4045,0.3611,0.0434,0.0,0.3802,0.4392,0.44,-0.36,0.3646,0.3958,0.08,0.28,0.3576,0.4028,-0.04,0.8464,0.967,0.796,0.3611,0.4045,0.0,0.0,0.3021,0.3333,-1.36,0.28
BNCI2014_001,1,20260728,varmod,True,2.0,True,1.0,1,0.4045,0.3299,0.0747,0.0,0.342,0.4392,0.1628,-0.3023,0.3351,0.3958,0.0698,0.186,0.3385,0.4028,0.1395,0.9652,0.9951,0.6933,0.3299,0.4045,0.0,0.0,0.309,0.3333,-0.2791,0.6744
BNCI2014_001,1,20260728,varmod,True,3.0,False,1.0,1,0.4045,0.3212,0.0833,0.0,0.3229,0.4392,0.0208,-0.3958,0.3368,0.3958,0.1875,0.2917,0.3385,0.4028,0.2292,0.9876,0.9994,0.65,0.3125,0.4045,-0.1042,-0.1042,0.3003,0.3333,-0.25,0.6042
BNCI2014_001,1,20260728,covtoken,True,1.0,False,1.0,2,0.4045,0.3438,0.0608,0.0,0.3733,0.4392,0.4857,-0.0857,0.3438,0.3906,0.0,0.2286,0.3455,0.4028,0.0571,0.4542,0.5279,0.7836,0.3438,0.4045,0.0,0.0,0.3003,0.2847,-0.7143,1.2571
BNCI2014_001,1,20260728,covtoken,True,2.0,True,1.0,2,0.4045,0.3212,0.0833,0.0,0.3212,0.4392,0.0,-0.4167,0.3229,0.3906,0.0208,0.1875,0.3438,0.4028,0.2917,0.4962,0.6873,0.642,0.3194,0.4045,-0.0208,-0.0208,0.3021,0.2847,-0.2292,1.2083
BNCI2014_001,1,20260728,covtoken,True,3.0,False,1.0,2,0.4045,0.283,0.1215,0.0,0.2917,0.4392,0.0714,-0.2143,0.3316,0.3906,0.4,0.5143,0.342,0.4028,0.5,0.4961,0.7056,0.5444,0.2917,0.4045,0.0714,0.0714,0.3038,0.2847,0.1714,1.1571
BNCI2014_001,2,0,varmod,False,1.0,False,0.5,2,0.283,0.2656,0.0174,0.0,0.2778,0.2812,0.7,0.8,0.2708,0.2812,0.3,0.4,0.2656,0.283,0.0,0.9237,0.4766,0.9903,0.2656,0.283,0.0,0.0,0.2587,0.2604,-0.4,0.9
BNCI2014_001,2,0,varmod,False,2.0,True,0.5,2,0.283,0.276,0.0069,0.0,0.2795,0.2812,0.5,0.75,0.2743,0.2812,-0.25,0.0,0.2726,0.283,-0.5,1.1165,0.5084,0.168,0.276,0.283,0.0,0.0,0.2483,0.2604,-4.0,-0.75
BNCI2014_001,2,0,varmod,False,3.0,False,0.5,2,0.283,0.2535,0.0295,0.0,0.2587,0.2812,0.1765,0.2353,0.2535,0.2812,0.0,0.0588,0.25,0.283,-0.1176,1.0672,0.5143,0.1387,0.2569,0.283,0.1176,0.1176,0.2448,0.2604,-0.2941,0.4706
BNCI2014_001,2,0,covtoken,False,1.0,True,0.5,2,0.283,0.2604,0.0226,0.0,0.2726,0.2812,0.5385,0.6154,0.2587,0.2812,-0.0769,0.0,0.2604,0.283,0.0,0.4484,0.1164,0.0561,0.2604,0.283,0.0,0.0,0.2413,0.2604,-0.8462,0.1538
BNCI2014_001,2,0,covtoken,False,2.0,False,0.5,2,0.283,0.276,0.0069,0.0,0.2865,0.2812,1.5,1.75,0.2795,0.2812,0.5,0.75,0.2795,0.283,0.5,0.5605,0.5765,0.0242,0.2812,0.283,0.75,0.75,0.2569,0.2604,-2.75,0.5
BNCI2014_001,2,0,covtoken,False,3.0,False,0.5,2,0.283,0.2656,0.0174,0.0,0.2708,0.2812,0.3,0.4,0.2674,0.2812,0.1,0.2,0.2674,0.283,0.1,0.5382,0.63,0.03,0.2691,0.283,0.2,0.2,0.2604,0.2604,-0.3,1.0
BNCI2014_001,2,20260721,varmod,True,1.0,False,0.5,1,0.283,0.2708,0.0122,0.0,0.2656,0.2812,-0.4286,-0.2857,0.276,0.2812,0.4286,0.5714,0.2708,0.283,0.0,1.0024,0.616,0.9052,0.2708,0.283,0.0,0.0,0.2569,0.2604,-1.1429,0.7143
BNCI2014_001,2,20260721,varmod,True,2.0,True,0.5,1,0.283,0.2517,0.0312,0.0,0.2552,0.2812,0.1111,0.1667,0.2639,0.2812,0.3889,0.4444,0.2639,0.283,0.3889,1.0667,0.9893,0.3327,0.2517,0.283,0.0,0.0,0.2691,0.2604,0.5556,1.2778
BNCI2014_001,2,20260721,varmod,True,3.0,False,0.5,1,0.283,0.2726,0.0104,0.0,0.2726,0.2812,0.0,0.1667,0.2708,0.2812,-0.1667,0.0,0.2691,0.283,-0.3333,1.0373,0.9984,0.2619,0.2726,0.283,0.0,0.0,0.2795,0.2604,0.6667,2.8333
BNCI2014_001,2,20260721,covtoken,True,1.0,False,0.5,2,0.283,0.2691,0.0139,0.0,0.2865,0.2812,1.25,1.375,0.2743,0.2812,0.375,0.5,0.2691,0.283,0.0,0.519,0.3824,0.8341,0.2691,0.283,0.0,0.0,0.2656,0.2604,-0.25,1.375
BNCI2014_001,2,20260721,covtoken,True,2.0,True,0.5,2,0.283,0.2604,0.0226,0.0,0.276,0.2812,0.6923,0.7692,0.2604,0.2812,0.0,0.0769,0.2622,0.283,0.0769,0.5713,0.6989,0.2694,0.2604,0.283,0.0,0.0,0.2708,0.2604,0.4615,1.4615
BNCI2014_001,2,20260721,covtoken,True,3.0,False,0.5,2,0.283,0.2656,0.0174,0.0,0.2517,0.2812,-0.8,-0.7,0.2917,0.2812,1.5,1.6,0.283,0.283,1.0,0.5404,0.7009,0.2403,0.2656,0.283,0.0,0.0,0.276,0.2604,0.6,1.9
BNCI2014_001,2,20260722,varmod,True,1.0,False,0.5,2,0.283,0.2726,0.0104,0.0,0.2726,0.2812,0.0,0.1667,0.2778,0.2812,0.5,0.6667,0.2726,0.283,0.0,0.8427,0.4705,0.9954,0.2726,0.283,0.0,0.0,0.2656,0.2604,-0.6667,1.5
BNCI2014_001,2,20260722,varmod,True,2.0,True,0.5,2,0.283,0.2552,0.0278,0.0,0.2569,0.2812,0.0625,0.125,0.2691,0.2812,0.5,0.5625,0.2639,0.283,0.3125,1.0741,0.5689,0.3202,0.2552,0.283,0.0,0.0,0.2517,0.2604,-0.125,0.6875
BNCI2014_001,2,20260722,varmod,True,3.0,False,0.5,2,0.283,0.2292,0.0538,0.0,0.2361,0.2812,0.129,0.1613,0.2448,0.2812,0.2903,0.3226,0.2413,0.283,0.2258,1.0361,0.5129,0.185,0.2292,0.283,0.0,0.0,0.2569,0.2604,0.5161,0.9355
BNCI2014_001,2,20260722,covtoken,True,1.0,True,0.5,2,0.283,0.2656,0.0174,0.0,0.2656,0.2812,0.0,0.1,0.2674,0.2812,0.1,0.2,0.2622,0.283,-0.2,0.5844,0.3305,0.3277,0.2656,0.283,0.0,0.0,0.2604,0.2604,-0.3,1.0
BNCI2014_001,2,20260722,covtoken,True,2.0,False,0.5,2,0.283,0.2413,0.0417,0.0,0.2448,0.2812,0.0833,0.125,0.2448,0.2812,0.0833,0.125,0.2517,0.283,0.25,0.627,0.6962,0.1016,0.2413,0.283,0.0,0.0,0.2622,0.2604,0.5,1.0417
BNCI2014_001,2,20260722,covtoken,True,3.0,False,0.5,2,0.283,0.2326,0.0503,0.0,0.2344,0.2812,0.0345,0.069,0.2309,0.2812,-0.0345,0.0,0.2378,0.283,0.1034,0.5491,0.7021,0.041,0.2326,0.283,0.0,0.0,0.2622,0.2604,0.5862,1.0345
BNCI2014_001,2,20260723,varmod,True,1.0,True,0.5,2,0.283,0.2622,0.0208,0.0,0.2708,0.2812,0.4167,0.5,0.2604,0.2812,-0.0833,0.0,0.2622,0.283,0.0,0.944,0.5331,0.9721,0.2622,0.283,0.0,0.0,0.2656,0.2604,0.1667,1.25
BNCI2014_001,2,20260723,varmod,True,2.0,False,0.5,2,0.283,0.2726,0.0104,0.0,0.2882,0.2812,1.5,1.6667,0.2847,0.2812,1.1667,1.3333,0.2795,0.283,0.6667,1.0603,0.5298,0.2393,0.2726,0.283,0.0,0.0,0.25,0.2604,-2.1667,0.0
BNCI2014_001,2,20260723,varmod,True,3.0,False,0.5,2,0.283,0.2448,0.0382,0.0,0.2448,0.2812,0.0,0.0455,0.2517,0.2812,0.1818,0.2273,0.25,0.283,0.1364,1.0328,0.503,0.1626,0.2448,0.283,0.0,0.0,0.2569,0.2604,0.3182,0.9091
BNCI2014_001,2,20260723,covtoken,True,1.0,False,0.5,2,0.283,0.2691,0.0139,0.0,0.2795,0.2812,0.75,0.875,0.2656,0.2812,-0.25,-0.125,0.2708,0.283,0.125,0.5909,0.249,0.1277,0.2691,0.283,0.0,0.0,0.2674,0.2604,-0.125,1.5
BNCI2014_001,2,20260723,covtoken,True,2.0,True,0.5,2,0.283,0.2656,0.0174,0.0,0.2708,0.2812,0.3,0.4,0.2708,0.2812,0.3,0.4,0.2656,0.283,0.0,0.5721,0.6178,0.0681,0.2639,0.283,-0.1,-0.1,0.2517,0.2604,-0.8,0.5
BNCI2014_001,2,20260723,covtoken,True,3.0,False,0.5,2,0.283,0.2691,0.0139,0.0,0.2674,0.2812,-0.125,0.0,0.2622,0.2812,-0.5,-0.375,0.2552,0.283,-1.0,0.5206,0.668,0.0759,0.2656,0.283,-0.25,-0.25,0.2517,0.2604,-1.25,0.375
BNCI2014_001,2,20260724,varmod,True,1.0,True,0.5,1,0.283,0.2708,0.0122,0.0,0.2795,0.2812,0.7143,0.8571,0.276,0.2812,0.4286,0.5714,0.2691,0.283,-0.1429,0.9777,0.7045,0.847,0.2708,0.283,0.0,0.0,0.2691,0.2604,-0.1429,1.7143
BNCI2014_001,2,20260724,varmod,True,2.0,False,0.5,1,0.283,0.2691,0.0139,0.0,0.2639,0.2812,-0.375,-0.25,0.2708,0.2812,0.125,0.25,0.2691,0.283,-0.0,1.0595,0.9826,0.3695,0.2691,0.283,0.0,0.0,0.2622,0.2604,-0.5,1.125
BNCI2014_001,2,20260724,varmod,True,3.0,False,0.5,1,0.283,0.25,0.033,0.0,0.2517,0.2812,0.0526,0.1053,0.2552,0.2812,0.1579,0.2105,0.2535,0.283,0.1053,1.0414,0.9984,0.2543,0.2465,0.283,-0.1053,-0.1053,0.276,0.2604,0.7895,1.4737
BNCI2014_001,2,20260724,covtoken,True,1.0,False,0.5,2,0.283,0.2708,0.0122,0.0,0.2622,0.2812,-0.7143,-0.5714,0.2743,0.2812,0.2857,0.4286,0.276,0.283,0.4286,0.4854,0.4462,0.8693,0.2708,0.283,0.0,0.0,0.2604,0.2604,-0.8571,1.0
BNCI2014_001,2,20260724,covtoken,True,2.0,True,0.5,2,0.283,0.2847,-0.0017,0.0,0.276,0.2812,5.0,4.0,0.276,0.2812,5.0,4.0,0.2743,0.283,6.0,0.5208,0.6503,0.1633,0.2847,0.283,-0.0,-0.0,0.2726,0.2604,7.0,-6.0
BNCI2014_001,2,20260724,covtoken,True,3.0,False,0.5,2,0.283,0.2656,0.0174,0.0,0.2587,0.2812,-0.4,-0.3,0.2691,0.2812,0.2,0.3,0.2743,0.283,0.5,0.5082,0.6635,0.2198,0.2674,0.283,0.1,0.1,0.2674,0.2604,0.1,1.4
