dataset,target_subject,token_seed,injtype,E3_inj_bacc,E3_netted_rec,ERASE_inj_bacc,ERASE_netted_rec
BNCI2014_001,8,20260724,covtoken,0.4965,,0.3125,
BNCI2014_001,8,20260725,varmod,0.4861,0.0,0.3316,1.0
BNCI2014_001,8,20260725,covtoken,0.4653,0.0,0.3264,0.8333
BNCI2014_001,8,20260726,varmod,0.4601,0.0,0.3125,0.5909
BNCI2014_001,8,20260726,covtoken,0.4792,0.0,0.3316,1.0
BNCI2014_001,8,20260727,varmod,0.4861,0.0,0.3229,0.5
BNCI2014_001,8,20260727,covtoken,0.4965,,0.3212,
BNCI2014_001,8,20260728,varmod,0.4861,0.0,0.342,2.0
BNCI2014_001,8,20260728,covtoken,0.4913,0.0,0.3299,0.6667
BNCI2014_001,9,0,varmod,0.4132,0.5,0.3715,8.5
BNCI2014_001,9,0,covtoken,0.4062,0.0,0.401,1.6667
BNCI2014_001,9,20260721,varmod,0.4062,0.0,0.3698,0.6667
BNCI2014_001,9,20260721,covtoken,0.4045,0.0,0.375,1.5
BNCI2014_001,9,20260722,varmod,0.3976,0.0,0.3681,0.75
BNCI2014_001,9,20260722,covtoken,0.4062,0.0,0.4219,5.6667
BNCI2014_001,9,20260723,varmod,0.4097,0.0,0.3733,-13.0
BNCI2014_001,9,20260723,covtoken,0.3993,-0.1667,0.3681,0.6667
BNCI2014_001,9,20260724,varmod,0.4045,0.0,0.375,1.5
BNCI2014_001,9,20260724,covtoken,0.408,0.0,0.3854,5.0
BNCI2014_001,9,20260725,varmod,0.4045,0.0,0.3941,0.5
BNCI2014_001,9,20260725,covtoken,0.4115,,0.3802,
BNCI2014_001,9,20260726,varmod,0.4149,-0.0,0.3663,2.5
BNCI2014_001,9,20260726,covtoken,0.4062,0.0,0.3698,0.6667
BNCI2014_001,9,20260727,varmod,0.401,0.0,0.3542,-0.6667
BNCI2014_001,9,20260727,covtoken,0.4028,0.0,0.3819,2.2
BNCI2014_001,9,20260728,varmod,0.3976,0.0,0.3819,1.75
BNCI2014_001,9,20260728,covtoken,0.401,0.0,0.3993,1.1667
BNCI2015_001,10,0,varmod,0.4933,0.0263,0.555,0.4737
BNCI2015_001,10,0,covtoken,0.5017,0.0143,0.5567,0.4429
BNCI2015_001,10,20260721,varmod,0.5283,-0.0192,0.5667,0.3654
BNCI2015_001,10,20260721,covtoken,0.4917,0.0,0.55,0.4267
BNCI2015_001,10,20260722,varmod,0.505,0.0147,0.5517,0.3382
BNCI2015_001,10,20260722,covtoken,0.5917,0.0,0.5983,0.0667
BNCI2015_001,10,20260723,varmod,0.5767,-0.0435,0.595,0.1739
BNCI2015_001,10,20260723,covtoken,0.5817,0.0,0.58,-0.3333
BNCI2015_001,10,20260724,varmod,0.4817,0.0,0.55,0.4321
BNCI2015_001,10,20260724,covtoken,0.5567,0.0,0.5383,-0.3889
BNCI2015_001,10,20260725,varmod,0.57,0.0,0.605,0.6429
BNCI2015_001,10,20260725,covtoken,0.57,0.0,0.5683,-0.25
BNCI2015_001,10,20260726,varmod,0.5567,0.0,0.5817,0.25
BNCI2015_001,10,20260726,covtoken,0.6067,0.1429,0.605,-0.8571
BNCI2015_001,10,20260727,varmod,0.4967,0.0,0.53,0.2361
BNCI2015_001,10,20260727,covtoken,0.5833,0.0476,0.5817,-0.1429
BNCI2015_001,10,20260728,varmod,0.5583,0.0,0.6017,0.5714
BNCI2015_001,10,20260728,covtoken,0.5833,-0.0526,0.6117,0.6842
BNCI2015_001,11,0,varmod,0.5383,-0.0,0.55,-0.4444
BNCI2015_001,11,0,covtoken,0.4933,0.0,0.5317,2.5556
BNCI2015_001,11,20260721,varmod,0.5117,0.6,0.5533,-4.6
BNCI2015_001,11,20260721,covtoken,0.5317,0.125,0.53,0.1875
BNCI2015_001,11,20260722,varmod,0.4983,0.1429,0.5317,3.1429
BNCI2015_001,11,20260722,covtoken,0.5433,-0.1667,0.5333,0.1667
BNCI2015_001,11,20260723,varmod,0.5283,0.1429,0.5517,-0.9286
BNCI2015_001,11,20260723,covtoken,0.465,0.0,0.5333,1.5769
BNCI2015_001,11,20260724,varmod,0.525,-0.0,0.53,-0.3
BNCI2015_001,11,20260724,covtoken,0.5017,0.2,0.5333,4.0
BNCI2015_001,11,20260725,varmod,0.5367,-0.0625,0.5317,0.0625
BNCI2015_001,11,20260725,covtoken,0.5317,0.1765,0.5167,0.7059
BNCI2015_001,11,20260726,varmod,0.5,-0.25,0.555,8.25
BNCI2015_001,11,20260726,covtoken,0.5433,-0.1053,0.545,-0.1579
BNCI2015_001,11,20260727,varmod,0.515,-0.0,0.5517,-5.75
BNCI2015_001,11,20260727,covtoken,0.5067,,0.535,
BNCI2015_001,11,20260728,varmod,0.5133,2.5,0.555,15.5
BNCI2015_001,11,20260728,covtoken,0.4783,0.0,0.5367,1.9444
BNCI2015_001,12,0,varmod,0.4975,0.0,0.5125,0.4545
BNCI2015_001,12,0,covtoken,0.5375,-0.0,0.505,2.8
BNCI2015_001,12,20260721,varmod,0.5225,0.0,0.51,-6.0
BNCI2015_001,12,20260721,covtoken,0.505,0.2,0.51,0.3
BNCI2015_001,12,20260722,varmod,0.5025,0.0,0.5025,-0.1111
BNCI2015_001,12,20260722,covtoken,0.4625,0.0741,0.505,0.6667
BNCI2015_001,12,20260723,varmod,0.5075,-0.1667,0.5125,0.0
BNCI2015_001,12,20260723,covtoken,0.545,-0.1429,0.5125,1.8571
BNCI2015_001,12,20260724,varmod,0.505,0.0,0.51,0.125
BNCI2015_001,12,20260724,covtoken,0.5275,-0.0,0.51,8.0
BNCI2015_001,12,20260725,varmod,0.48,0.0,0.51,0.6111
BNCI2015_001,12,20260725,covtoken,0.5125,-0.25,0.51,-0.75
BNCI2015_001,12,20260726,varmod,0.5075,0.125,0.505,-0.125
BNCI2015_001,12,20260726,covtoken,0.525,,0.515,
BNCI2015_001,12,20260727,varmod,0.53,3.0,0.515,-4.0
BNCI2015_001,12,20260727,covtoken,0.54,-1.0,0.51,3.3333
BNCI2015_001,12,20260728,varmod,0.5375,-0.0,0.5125,2.2
BNCI2015_001,12,20260728,covtoken,0.5025,0.25,0.5125,0.5
BNCI2015_001,1,0,varmod,0.5325,0.0,0.535,0.375
BNCI2015_001,1,0,covtoken,0.52,0.0333,0.5775,1.0667
BNCI2015_001,1,20260721,varmod,0.6225,-0.0,0.5375,2.1667
BNCI2015_001,1,20260721,covtoken,0.5975,0.3333,0.54,5.3333
BNCI2015_001,1,20260722,varmod,0.545,0.0,0.54,0.3158
BNCI2015_001,1,20260722,covtoken,0.6275,0.0667,0.545,1.7333
BNCI2015_001,1,20260723,varmod,0.54,0.087,0.535,0.3478
BNCI2015_001,1,20260723,covtoken,0.605,-0.0,0.5925,-0.6
BNCI2015_001,1,20260724,varmod,0.62,-0.0,0.5375,2.2727
BNCI2015_001,1,20260724,covtoken,0.5975,-0.0,0.545,6.5
BNCI2015_001,1,20260725,varmod,0.6225,-0.0,0.5475,1.8333
BNCI2015_001,1,20260725,covtoken,0.61,-0.1667,0.5475,2.6667
BNCI2015_001,1,20260726,varmod,0.555,0.0,0.535,-0.0
BNCI2015_001,1,20260726,covtoken,0.595,,0.5475,
BNCI2015_001,1,20260727,varmod,0.6375,-0.0,0.535,1.8333
BNCI2015_001,1,20260727,covtoken,0.5625,0.0,0.5875,1.5
BNCI2015_001,1,20260728,varmod,0.555,0.0,0.5375,0.0667
BNCI2015_001,1,20260728,covtoken,0.6025,0.4286,0.54,2.8571
BNCI2015_001,2,0,varmod,0.5375,0.0,0.59,1.0469
BNCI2015_001,2,0,covtoken,0.5275,0.0,0.585,1.0147
BNCI2015_001,2,20260721,varmod,0.665,0.0,0.63,2.4615
BNCI2015_001,2,20260721,covtoken,0.635,0.0741,0.625,1.6296
BNCI2015_001,2,20260722,varmod,0.6225,0.0,0.63,1.6333
BNCI2015_001,2,20260722,covtoken,0.5325,0.0704,0.635,1.2958
BNCI2015_001,2,20260723,varmod,0.6275,0.0968,0.6325,1.6452
BNCI2015_001,2,20260723,covtoken,0.5175,-0.0435,0.6325,1.2899
BNCI2015_001,2,20260724,varmod,0.51,0.0132,0.59,1.0395
BNCI2015_001,2,20260724,covtoken,0.62,0.0606,0.6275,1.5455
BNCI2015_001,2,20260725,varmod,0.6325,0.0,0.6275,1.6923
BNCI2015_001,2,20260725,covtoken,0.62,-0.069,0.6175,1.4828
BNCI2015_001,2,20260726,varmod,0.6175,0.0,0.6325,1.625
BNCI2015_001,2,20260726,covtoken,0.6625,0.0,0.6175,2.0
BNCI2015_001,2,20260727,varmod,0.535,0.0299,0.59,1.0448
BNCI2015_001,2,20260727,covtoken,0.5875,0.0,0.63,1.4318
BNCI2015_001,2,20260728,varmod,0.63,0.0,0.6275,1.6667
BNCI2015_001,2,20260728,covtoken,0.6025,0.0256,0.6275,1.4615
BNCI2015_001,3,0,varmod,0.635,0.0244,0.7,-0.561
BNCI2015_001,3,0,covtoken,0.64,-0.0,0.66,-0.1905
BNCI2015_001,3,20260721,varmod,0.65,0.0417,0.6,0.4583
BNCI2015_001,3,20260721,covtoken,0.6,-0.0,0.54,0.9231
BNCI2015_001,3,20260722,varmod,0.5725,-0.3636,0.5225,1.6364
BNCI2015_001,3,20260722,covtoken,0.62,-0.0,0.6525,-0.3824
BNCI2015_001,3,20260723,varmod,0.69,-0.0164,0.52,1.1311
BNCI2015_001,3,20260723,covtoken,0.55,-0.5,0.5525,-0.75
BNCI2015_001,3,20260724,varmod,0.5225,0.0,0.535,0.6
BNCI2015_001,3,20260724,covtoken,0.635,-0.0,0.6475,-0.075
BNCI2015_001,3,20260725,varmod,0.6575,-0.0,0.5375,1.0204
BNCI2015_001,3,20260725,covtoken,0.6675,-0.1042,0.52,1.125
BNCI2015_001,3,20260726,varmod,0.6175,-0.0,0.6975,-0.9697
BNCI2015_001,3,20260726,covtoken,0.6225,-0.4,0.6475,-0.8
BNCI2015_001,3,20260727,varmod,0.5425,-0.0,0.525,3.0
BNCI2015_001,3,20260727,covtoken,0.6525,0.0408,0.55,0.8776
BNCI2015_001,3,20260728,varmod,0.6625,-0.0,0.6225,0.3137
BNCI2015_001,3,20260728,covtoken,0.5675,-0.0,0.67,-3.1538
BNCI2015_001,4,0,varmod,0.6925,0.0,0.53,-1.0
BNCI2015_001,4,0,covtoken,0.685,0.0,0.53,-0.7857
BNCI2015_001,4,20260721,varmod,0.6825,0.0,0.54,-0.5862
BNCI2015_001,4,20260721,covtoken,0.6825,0.0333,0.5325,-0.6333
BNCI2015_001,4,20260722,varmod,0.7,0.0435,0.535,-1.087
BNCI2015_001,4,20260722,covtoken,0.5675,0.026,0.5375,0.3896
BNCI2015_001,4,20260723,varmod,0.7025,0.0,0.5325,-1.381
BNCI2015_001,4,20260723,covtoken,0.72,0.0,0.535,-2.4286
BNCI2015_001,4,20260724,varmod,0.69,0.0,0.535,-0.8846
BNCI2015_001,4,20260724,covtoken,0.56,-0.013,0.5425,0.4156
BNCI2015_001,4,20260725,varmod,0.71,0.0,0.5425,-1.5556
BNCI2015_001,4,20260725,covtoken,0.715,0.0,0.65,0.8125
BNCI2015_001,4,20260726,varmod,0.6975,-0.0455,0.5325,-1.2273
BNCI2015_001,4,20260726,covtoken,0.545,-0.0633,0.5275,0.3544
BNCI2015_001,4,20260727,varmod,0.6625,0.0,0.53,-0.3514
BNCI2015_001,4,20260727,covtoken,0.59,0.0,0.5375,0.2879
BNCI2015_001,4,20260728,varmod,0.585,0.0145,0.5325,0.2899
BNCI2015_001,4,20260728,covtoken,0.665,0.0,0.5375,-0.3056
BNCI2015_001,5,0,varmod,0.49,0.0,0.5175,0.2234
BNCI2015_001,5,0,covtoken,0.575,-0.0169,0.565,0.0847
BNCI2015_001,5,20260721,varmod,0.49,0.0,0.52,0.2979
BNCI2015_001,5,20260721,covtoken,0.5525,0.0282,0.545,0.2113
BNCI2015_001,5,20260722,varmod,0.485,0.0,0.515,0.2292
BNCI2015_001,5,20260722,covtoken,0.525,0.0,0.5475,0.2375
BNCI2015_001,5,20260723,varmod,0.59,0.0,0.5575,-0.0556
BNCI2015_001,5,20260723,covtoken,0.555,0.0,0.5825,0.3088
BNCI2015_001,5,20260724,varmod,0.49,0.0,0.5175,0.2234
BNCI2015_001,5,20260724,covtoken,0.5075,0.0,0.515,0.2184
BNCI2015_001,5,20260725,varmod,0.5475,0.0,0.5175,-0.0282
BNCI2015_001,5,20260725,covtoken,0.5825,0.0,0.6075,0.3509
BNCI2015_001,5,20260726,varmod,0.5,0.0,0.5225,0.2778
BNCI2015_001,5,20260726,covtoken,0.56,0.0,0.5875,0.3182
BNCI2015_001,5,20260727,varmod,0.5,0.0,0.52,0.2
BNCI2015_001,5,20260727,covtoken,0.5225,0.0122,0.545,0.3171
BNCI2015_001,5,20260728,varmod,0.5625,0.0,0.5525,0.1846
BNCI2015_001,5,20260728,covtoken,0.5175,0.0,0.52,0.2048
BNCI2015_001,6,0,varmod,0.5825,0.0,0.5375,-0.7647
BNCI2015_001,6,0,covtoken,0.5775,0.0,0.5375,-0.5789
BNCI2015_001,6,20260721,varmod,0.6225,0.5,0.5375,-14.0
BNCI2015_001,6,20260721,covtoken,0.5775,0.05,0.5325,-0.6
BNCI2015_001,6,20260722,varmod,0.47,0.0159,0.535,0.5079
BNCI2015_001,6,20260722,covtoken,0.515,0.0222,0.5325,0.2889
BNCI2015_001,6,20260723,varmod,0.51,0.0,0.53,0.3043
BNCI2015_001,6,20260723,covtoken,0.545,0.0303,0.53,0.0
BNCI2015_001,6,20260724,varmod,0.5875,0.0,0.545,-0.8
BNCI2015_001,6,20260724,covtoken,0.6,0.0,0.54,-1.9
BNCI2015_001,6,20260725,varmod,0.6125,-0.25,0.5425,-6.0
BNCI2015_001,6,20260725,covtoken,0.5925,0.0,0.5425,-1.1538
BNCI2015_001,6,20260726,varmod,0.51,0.0,0.53,0.2826
BNCI2015_001,6,20260726,covtoken,0.585,0.2381,0.5425,-0.3333
BNCI2015_001,6,20260727,varmod,0.6025,0.0,0.54,-2.2222
BNCI2015_001,6,20260727,covtoken,0.5375,0.0278,0.5275,0.0556
BNCI2015_001,6,20260728,varmod,0.465,0.0,0.535,0.5313
BNCI2015_001,6,20260728,covtoken,0.57,0.0,0.535,-0.4091
BNCI2015_001,7,0,varmod,0.49,-0.0,0.485,1.0
BNCI2015_001,7,0,covtoken,0.5475,-0.0,0.4825,1.04
BNCI2015_001,7,20260721,varmod,0.55,-0.0,0.49,0.9231
BNCI2015_001,7,20260721,covtoken,0.495,0.2,0.49,0.6
BNCI2015_001,7,20260722,varmod,0.555,-0.0,0.485,1.0
BNCI2015_001,7,20260722,covtoken,0.535,-0.0,0.49,0.9
BNCI2015_001,7,20260723,varmod,0.5125,-0.0,0.485,1.0
BNCI2015_001,7,20260723,covtoken,0.525,-0.0,0.515,0.25
BNCI2015_001,7,20260724,varmod,0.535,-0.0,0.485,1.0
BNCI2015_001,7,20260724,covtoken,0.53,-0.0588,0.485,1.0
BNCI2015_001,7,20260725,varmod,0.5275,-0.0,0.48,1.1176
BNCI2015_001,7,20260725,covtoken,0.5325,-0.0,0.49,0.8947
BNCI2015_001,7,20260726,varmod,0.5275,-0.0,0.485,1.0
BNCI2015_001,7,20260726,covtoken,0.5225,-0.0,0.4875,0.9333
BNCI2015_001,7,20260727,varmod,0.5325,-0.0,0.4875,0.9474
BNCI2015_001,7,20260727,covtoken,0.5425,0.0417,0.4825,1.0417
BNCI2015_001,7,20260728,varmod,0.51,-0.0,0.4825,1.1
BNCI2015_001,7,20260728,covtoken,0.495,-0.3333,0.4875,0.6667
BNCI2015_001,8,0,varmod,0.5233,-0.0,0.5017,0.9231
BNCI2015_001,8,0,covtoken,0.555,-0.1852,0.5017,0.963
BNCI2015_001,8,20260721,varmod,0.54,-0.0,0.5033,1.087
BNCI2015_001,8,20260721,covtoken,0.5167,0.1818,0.5017,0.9091
BNCI2015_001,8,20260722,varmod,0.5283,-0.0,0.5017,1.1875
BNCI2015_001,8,20260722,covtoken,0.555,0.1111,0.5017,0.9722
BNCI2015_001,8,20260723,varmod,0.5567,-0.1379,0.51,0.7931
BNCI2015_001,8,20260723,covtoken,0.5117,-0.0,0.4983,1.1667
BNCI2015_001,8,20260724,varmod,0.53,-0.0,0.5017,1.1765
BNCI2015_001,8,20260724,covtoken,0.52,-0.1,0.5017,0.9
BNCI2015_001,8,20260725,varmod,0.5167,-0.0,0.5033,1.2222
BNCI2015_001,8,20260725,covtoken,0.52,-0.0,0.5233,0.0909
BNCI2015_001,8,20260726,varmod,0.5167,-0.0,0.5033,0.7778
BNCI2015_001,8,20260726,covtoken,0.505,-0.0,0.5033,2.0
BNCI2015_001,8,20260727,varmod,0.53,-0.0,0.4967,1.3529
BNCI2015_001,8,20260727,covtoken,0.5167,0.1,0.5017,0.9
BNCI2015_001,8,20260728,varmod,0.5183,-0.0,0.5017,1.3
BNCI2015_001,8,20260728,covtoken,0.5383,-0.0476,0.505,0.8571
BNCI2015_001,9,0,varmod,0.5317,0.0,0.52,-0.2549
BNCI2015_001,9,0,covtoken,0.5333,0.0,0.5117,-0.38
BNCI2015_001,9,20260721,varmod,0.5167,0.0,0.5683,0.4
BNCI2015_001,9,20260721,covtoken,0.5,0.0,0.5283,0.1571
BNCI2015_001,9,20260722,varmod,0.5283,0.0185,0.5467,0.1111
BNCI2015_001,9,20260722,covtoken,0.5467,0.0667,0.5617,0.1333
