dataset,target_subject,token_seed,injtype,is_confirm,alpha_star,stress_unmet,k_star,lam_star,margin,scale,c_target,sel_netted_rec,sel_clean_drop
BNCI2014_001,3,20260721,varmod,True,1.0,False,1,1.0,0.2,0.5654,1,0.2222,0.0098
BNCI2014_001,3,20260721,covtoken,True,1.0,False,1,0.5,0.2,0.5654,1,0.7173,-0.0012
BNCI2014_001,3,20260722,varmod,True,2.0,False,1,1.0,0.2,0.5566,3,0.1667,0.0098
BNCI2014_001,3,20260722,covtoken,True,1.0,False,1,1.0,0.2,0.5566,3,-0.7179,0.0093
BNCI2014_001,3,20260723,varmod,True,2.0,False,1,1.0,0.2,0.5629,3,0.4471,0.0006
BNCI2014_001,3,20260723,covtoken,True,1.0,False,1,0.5,0.2,0.5629,3,-1.0778,0.0012
BNCI2014_001,3,20260724,varmod,True,1.0,False,1,1.0,0.2,0.6392,1,0.2667,0.0012
BNCI2014_001,3,20260724,covtoken,True,1.0,False,2,0.5,0.2,0.6392,1,-0.1717,0.0
BNCI2014_001,3,20260725,varmod,True,2.0,False,1,1.0,0.2,0.6292,3,0.3144,-0.0006
BNCI2014_001,3,20260725,covtoken,True,1.0,False,1,1.0,0.2,0.6292,3,0.1726,-0.0006
BNCI2014_001,3,20260726,varmod,True,2.0,False,1,0.5,0.2,0.5486,2,-0.1985,-0.0006
BNCI2014_001,3,20260726,covtoken,True,2.0,False,2,1.0,0.2,0.5486,2,0.5321,0.0017
BNCI2014_001,3,20260727,varmod,True,2.0,False,1,1.0,0.2,0.5762,1,0.2607,0.0006
BNCI2014_001,3,20260727,covtoken,True,1.0,False,2,1.0,0.2,0.5762,1,2.6667,0.0093
BNCI2014_001,3,20260728,varmod,True,2.0,False,2,1.0,0.2,0.5613,2,0.0815,0.0098
BNCI2014_001,3,20260728,covtoken,True,1.0,False,2,1.0,0.2,0.5613,2,0.3288,0.0006
BNCI2014_001,4,0,varmod,False,1.0,False,1,1.0,1.5454,1.0208,3,0.3327,0.0069
BNCI2014_001,4,0,covtoken,False,2.0,False,2,1.0,1.5454,1.0208,3,0.536,0.0006
BNCI2014_001,4,20260721,varmod,True,1.0,False,2,1.0,1.5454,1.0181,3,0.1645,-0.0017
BNCI2014_001,4,20260721,covtoken,True,1.0,False,2,1.0,1.5454,1.0181,3,0.2025,0.0035
BNCI2014_001,4,20260722,varmod,True,2.0,False,1,1.0,1.5454,0.9865,0,0.4341,0.0041
BNCI2014_001,4,20260722,covtoken,True,1.0,False,2,1.0,1.5454,0.9865,0,0.183,0.0046
BNCI2014_001,4,20260723,varmod,True,2.0,False,2,0.5,1.5454,0.9767,2,0.4533,-0.0029
BNCI2014_001,4,20260723,covtoken,True,2.0,False,2,0.5,1.5454,0.9767,2,0.4911,-0.0017
BNCI2014_001,4,20260724,varmod,True,2.0,False,1,1.0,1.5454,1.0398,1,0.5497,0.0069
BNCI2014_001,4,20260724,covtoken,True,2.0,False,2,1.0,1.5454,1.0398,1,0.628,0.0035
BNCI2014_001,4,20260725,varmod,True,2.0,False,1,1.0,1.5454,1.0136,1,0.3746,0.0017
BNCI2014_001,4,20260725,covtoken,True,3.0,False,2,1.0,1.5454,1.0136,1,0.6775,0.0017
BNCI2014_001,4,20260726,varmod,True,1.0,False,2,1.0,1.5454,0.9679,2,0.2897,0.0017
BNCI2014_001,4,20260726,covtoken,True,2.0,False,2,1.0,1.5454,0.9679,2,0.6221,0.0017
BNCI2014_001,4,20260727,varmod,True,1.0,False,1,1.0,1.5454,1.0015,2,0.4149,0.0069
BNCI2014_001,4,20260727,covtoken,True,1.0,False,2,1.0,1.5454,1.0015,2,0.2712,0.0023
BNCI2014_001,4,20260728,varmod,True,1.0,False,2,1.0,1.5454,1.013,1,0.4237,0.0006
BNCI2014_001,4,20260728,covtoken,True,2.0,False,2,1.0,1.5454,1.013,1,0.4194,0.0052
BNCI2014_001,5,0,varmod,False,1.0,False,1,0.5,0.2,0.2114,3,-1.1667,0.0052
BNCI2014_001,5,0,covtoken,False,2.0,False,2,0.5,0.2,0.2114,3,0.7143,0.0052
BNCI2014_001,5,20260721,varmod,True,1.0,False,2,0.5,0.2,0.2213,1,0.4722,0.0052
BNCI2014_001,5,20260721,covtoken,True,1.0,False,1,0.5,0.2,0.2213,1,0.3333,-0.0
BNCI2014_001,5,20260722,varmod,True,2.0,False,2,1.0,0.2,0.2369,1,0.4429,0.0087
BNCI2014_001,5,20260722,covtoken,True,1.0,False,2,0.5,0.2,0.2369,1,0.3333,0.0046
BNCI2014_001,5,20260723,varmod,True,2.0,False,2,0.5,0.2,0.2464,3,0.1481,0.0012
BNCI2014_001,5,20260723,covtoken,True,1.0,False,2,1.0,0.2,0.2464,3,2.1667,0.0081
BNCI2014_001,5,20260724,varmod,True,2.0,False,2,0.5,0.2,0.244,3,0.2635,0.0046
BNCI2014_001,5,20260724,covtoken,True,1.0,False,1,0.5,0.2,0.244,3,0.8833,0.0035
BNCI2014_001,5,20260725,varmod,True,1.0,False,2,1.0,0.2,0.2368,0,0.0333,0.0035
BNCI2014_001,5,20260725,covtoken,True,1.0,False,2,1.0,0.2,0.2368,0,1.881,0.0052
BNCI2014_001,5,20260726,varmod,True,2.0,False,2,1.0,0.2,0.2428,2,0.293,0.0098
BNCI2014_001,5,20260726,covtoken,True,1.0,False,2,0.5,0.2,0.2428,2,0.1111,0.0058
BNCI2014_001,5,20260727,varmod,True,1.0,False,2,1.0,0.2,0.2228,3,-0.4111,0.0029
BNCI2014_001,5,20260727,covtoken,True,2.0,False,2,1.0,0.2,0.2228,3,-0.1333,0.0046
BNCI2014_001,5,20260728,varmod,True,1.0,False,2,0.5,0.2,0.2173,0,0.1778,0.0035
BNCI2014_001,5,20260728,covtoken,True,1.0,False,2,1.0,0.2,0.2173,0,0.0,0.0046
BNCI2014_001,6,0,varmod,False,2.0,False,1,0.5,0.2201,0.2368,3,0.3968,0.0064
BNCI2014_001,6,0,covtoken,False,3.0,False,2,0.5,0.2201,0.2368,3,0.1583,0.0023
BNCI2014_001,6,20260721,varmod,True,2.0,False,1,0.5,0.2201,0.2488,3,0.3889,0.0093
BNCI2014_001,6,20260721,covtoken,True,2.0,False,1,0.5,0.2201,0.2488,3,0.4556,0.0081
BNCI2014_001,6,20260722,varmod,True,1.0,False,2,1.0,0.2201,0.2401,2,0.4167,-0.0017
BNCI2014_001,6,20260722,covtoken,True,1.0,False,2,1.0,0.2201,0.2401,2,0.7063,-0.0017
BNCI2014_001,6,20260723,varmod,True,2.0,False,2,0.5,0.2201,0.2561,3,-0.125,0.0006
BNCI2014_001,6,20260723,covtoken,True,2.0,False,2,1.0,0.2201,0.2561,3,0.6704,0.0052
BNCI2014_001,6,20260724,varmod,True,2.0,False,2,0.5,0.2201,0.2536,2,-0.4167,0.0052
BNCI2014_001,6,20260724,covtoken,True,1.0,False,1,0.5,0.2201,0.2536,2,0.5556,-0.0017
BNCI2014_001,6,20260725,varmod,True,1.0,False,1,1.0,0.2201,0.254,0,1.8519,0.0017
BNCI2014_001,6,20260725,covtoken,True,2.0,False,1,0.5,0.2201,0.254,0,1.119,0.0006
BNCI2014_001,6,20260726,varmod,True,2.0,False,2,0.5,0.2201,0.2698,2,-0.2778,0.0012
BNCI2014_001,6,20260726,covtoken,True,1.0,False,1,1.0,0.2201,0.2698,2,0.75,0.0098
BNCI2014_001,6,20260727,varmod,True,1.0,False,1,1.0,0.2201,0.2629,2,2.3333,0.0075
BNCI2014_001,6,20260727,covtoken,True,1.0,False,1,0.5,0.2201,0.2629,2,-0.5833,0.0017
BNCI2014_001,6,20260728,varmod,True,2.0,False,2,1.0,0.2201,0.2264,2,0.6806,0.0046
BNCI2014_001,6,20260728,covtoken,True,1.0,False,1,0.5,0.2201,0.2264,2,0.119,0.0064
BNCI2014_001,7,0,varmod,False,1.0,False,2,1.0,0.7771,0.6675,0,0.6399,0.0093
BNCI2014_001,7,0,covtoken,False,2.0,False,2,1.0,0.7771,0.6675,0,0.4851,0.0035
BNCI2014_001,7,20260721,varmod,True,1.0,False,1,1.0,0.7771,0.7122,3,0.381,0.0098
BNCI2014_001,7,20260721,covtoken,True,1.0,False,2,0.5,0.7771,0.7122,3,0.1611,0.0029
BNCI2014_001,7,20260722,varmod,True,1.0,False,2,1.0,0.7771,0.6781,0,0.4615,0.0029
BNCI2014_001,7,20260722,covtoken,True,1.0,False,1,1.0,0.7771,0.6781,0,0.2497,0.0098
BNCI2014_001,7,20260723,varmod,True,2.0,False,2,0.5,0.7771,0.7302,3,0.3491,-0.0012
BNCI2014_001,7,20260723,covtoken,True,2.0,False,2,0.5,0.7771,0.7302,3,0.251,0.0093
BNCI2014_001,7,20260724,varmod,True,1.0,False,2,0.5,0.7771,0.6887,3,1.0578,0.0017
BNCI2014_001,7,20260724,covtoken,True,1.0,False,2,0.5,0.7771,0.6887,3,0.0446,0.0017
BNCI2014_001,7,20260725,varmod,True,2.0,False,1,1.0,0.7771,0.7184,2,0.5111,-0.0006
BNCI2014_001,7,20260725,covtoken,True,2.0,False,2,1.0,0.7771,0.7184,2,0.4001,0.0041
BNCI2014_001,7,20260726,varmod,True,1.0,False,2,0.5,0.7771,0.7166,2,-0.0556,0.0075
BNCI2014_001,7,20260726,covtoken,True,2.0,False,2,0.5,0.7771,0.7166,2,0.2659,0.0093
BNCI2014_001,7,20260727,varmod,True,2.0,False,2,0.5,0.7771,0.6913,0,0.226,0.0046
BNCI2014_001,7,20260727,covtoken,True,1.0,False,2,1.0,0.7771,0.6913,0,0.6,0.0093
BNCI2014_001,7,20260728,varmod,True,2.0,False,1,1.0,0.7771,0.6437,0,0.5137,0.0046
BNCI2014_001,7,20260728,covtoken,True,1.0,False,1,1.0,0.7771,0.6437,0,0.4111,0.0052
BNCI2014_001,8,0,varmod,False,1.0,False,1,0.5,0.2,0.3098,2,-0.3667,0.0029
BNCI2014_001,8,0,covtoken,False,1.0,False,2,1.0,0.2,0.3098,2,-1.0,0.0046
BNCI2014_001,8,20260721,varmod,True,1.0,False,1,0.5,0.2,0.3069,1,-0.1842,0.0017
BNCI2014_001,8,20260721,covtoken,True,1.0,False,1,0.5,0.2,0.3069,1,0.1111,0.0046
BNCI2014_001,8,20260722,varmod,True,2.0,False,1,0.5,0.2,0.3137,2,-0.0046,0.0023
BNCI2014_001,8,20260722,covtoken,True,2.0,False,1,1.0,0.2,0.3137,2,0.5035,0.0041
BNCI2014_001,8,20260723,varmod,True,1.0,False,1,0.5,0.2,0.3221,3,0.1491,0.0017
BNCI2014_001,8,20260723,covtoken,True,1.0,False,1,0.5,0.2,0.3221,3,-0.2667,0.0046
BNCI2014_001,8,20260724,varmod,True,2.0,False,1,1.0,0.2,0.341,3,0.5,0.0069
BNCI2014_001,8,20260724,covtoken,True,1.0,False,2,1.0,0.2,0.341,3,0.2172,-0.0023
BNCI2014_001,8,20260725,varmod,True,1.0,False,1,1.0,0.2,0.343,3,-0.3651,-0.0029
BNCI2014_001,8,20260725,covtoken,True,2.0,False,1,0.5,0.2,0.343,3,0.1731,-0.0
BNCI2014_001,8,20260726,varmod,True,2.0,False,2,1.0,0.2,0.3312,1,0.2992,-0.0029
BNCI2014_001,8,20260726,covtoken,True,2.0,False,1,1.0,0.2,0.3312,1,0.1392,0.0098
BNCI2014_001,8,20260727,varmod,True,1.0,False,2,0.5,0.2,0.3222,1,-0.1425,-0.0006
BNCI2014_001,8,20260727,covtoken,True,1.0,False,1,0.5,0.2,0.3222,1,1.25,0.0017
BNCI2014_001,8,20260728,varmod,True,1.0,False,1,0.5,0.2,0.3063,2,-0.25,0.0017
BNCI2014_001,8,20260728,covtoken,True,1.0,False,1,0.5,0.2,0.3063,2,0.3889,-0.0006
BNCI2014_001,9,0,varmod,False,2.0,False,1,0.5,0.321,0.3563,1,0.0139,0.0
BNCI2014_001,9,0,covtoken,False,1.0,False,1,1.0,0.321,0.3563,1,0.5556,0.0006
BNCI2014_001,9,20260721,varmod,True,1.0,False,2,0.5,0.321,0.3945,2,0.3476,-0.0023
BNCI2014_001,9,20260721,covtoken,True,2.0,False,2,0.5,0.321,0.3945,2,0.1615,-0.0006
BNCI2014_001,9,20260722,varmod,True,2.0,False,2,0.5,0.321,0.3941,3,0.1783,0.0023
BNCI2014_001,9,20260722,covtoken,True,2.0,False,1,1.0,0.321,0.3941,3,0.2583,0.0029
BNCI2014_001,9,20260723,varmod,True,1.0,False,1,0.5,0.321,0.4364,1,0.3333,0.0012
BNCI2014_001,9,20260723,covtoken,True,2.0,False,2,1.0,0.321,0.4364,1,0.1695,0.0075
BNCI2014_001,9,20260724,varmod,True,2.0,False,2,1.0,0.321,0.4151,2,0.2254,0.0069
BNCI2014_001,9,20260724,covtoken,True,2.0,False,2,1.0,0.321,0.4151,2,0.1553,0.0029
BNCI2014_001,9,20260725,varmod,True,1.0,False,1,1.0,0.321,0.4235,1,0.2619,0.0041
BNCI2014_001,9,20260725,covtoken,True,1.0,False,1,1.0,0.321,0.4235,1,0.1389,0.0029
BNCI2014_001,9,20260726,varmod,True,1.0,False,2,1.0,0.321,0.4181,1,-0.0407,-0.0017
BNCI2014_001,9,20260726,covtoken,True,1.0,False,2,1.0,0.321,0.4181,1,0.455,0.0046
BNCI2014_001,9,20260727,varmod,True,2.0,False,2,1.0,0.321,0.3401,1,0.216,0.0046
BNCI2014_001,9,20260727,covtoken,True,1.0,False,2,0.5,0.321,0.3401,1,0.6333,0.0006
BNCI2014_001,9,20260728,varmod,True,2.0,False,2,0.5,0.321,0.3416,3,-0.209,-0.0
BNCI2014_001,9,20260728,covtoken,True,2.0,False,1,1.0,0.321,0.3416,3,0.2723,0.0075
BNCI2015_001,10,0,varmod,False,2.0,False,2,1.0,0.5426,1.3908,0,0.9062,0.0036
BNCI2015_001,10,0,covtoken,False,2.0,False,2,1.0,0.5426,1.3908,0,0.6831,0.0011
BNCI2015_001,10,20260721,varmod,True,2.0,False,2,1.0,0.5426,1.4081,0,1.0066,0.0025
BNCI2015_001,10,20260721,covtoken,True,2.0,False,2,0.5,0.5426,1.4081,0,5.9159,0.0017
BNCI2015_001,10,20260722,varmod,True,2.0,False,1,0.5,0.5426,1.4977,0,2.7814,0.0
BNCI2015_001,10,20260722,covtoken,True,1.0,False,2,1.0,0.5426,1.4977,0,0.3781,0.0028
BNCI2015_001,10,20260723,varmod,True,1.0,False,1,1.0,0.5426,1.3655,0,-0.1333,0.0017
BNCI2015_001,10,20260723,covtoken,True,1.0,False,1,1.0,0.5426,1.3655,0,0.119,0.0003
BNCI2015_001,10,20260724,varmod,True,2.0,False,1,1.0,0.5426,1.4163,0,-0.2203,0.0008
BNCI2015_001,10,20260724,covtoken,True,2.0,False,2,0.5,0.5426,1.4163,0,3.034,0.0017
BNCI2015_001,10,20260725,varmod,True,1.0,False,2,1.0,0.5426,1.3169,0,-0.1667,0.0025
BNCI2015_001,10,20260725,covtoken,True,1.0,False,1,0.5,0.5426,1.3169,0,-0.1778,0.0
BNCI2015_001,10,20260726,varmod,True,1.0,False,1,1.0,0.5426,1.2672,0,1.0635,0.0
BNCI2015_001,10,20260726,covtoken,True,1.0,False,1,1.0,0.5426,1.2672,0,2.2,0.0036
BNCI2015_001,10,20260727,varmod,True,3.0,False,2,1.0,0.5426,1.4005,0,1.558,0.0
BNCI2015_001,10,20260727,covtoken,True,1.0,False,2,1.0,0.5426,1.4005,0,0.2361,0.0019
BNCI2015_001,10,20260728,varmod,True,1.0,False,1,1.0,0.5426,1.3862,0,0.0111,0.0011
BNCI2015_001,10,20260728,covtoken,True,1.0,False,2,1.0,0.5426,1.3862,0,0.5,0.0017
BNCI2015_001,11,0,varmod,False,2.0,False,1,0.5,5.3539,3.0146,1,0.155,0.0075
BNCI2015_001,11,0,covtoken,False,1.0,False,2,1.0,5.3539,3.0146,1,0.2113,0.0075
BNCI2015_001,11,20260721,varmod,True,2.0,False,1,1.0,5.3539,3.0013,1,0.1948,0.0092
BNCI2015_001,11,20260721,covtoken,True,1.0,False,2,1.0,5.3539,3.0013,1,0.3388,0.005
BNCI2015_001,11,20260722,varmod,True,1.0,False,1,0.5,5.3539,2.9951,0,0.1005,0.0067
BNCI2015_001,11,20260722,covtoken,True,2.0,False,2,1.0,5.3539,2.9951,0,0.496,0.0083
BNCI2015_001,11,20260723,varmod,True,2.0,False,1,1.0,5.3539,2.9697,1,0.2391,0.0075
BNCI2015_001,11,20260723,covtoken,True,1.0,False,2,1.0,5.3539,2.9697,1,0.3432,0.0067
BNCI2015_001,11,20260724,varmod,True,1.0,False,2,1.0,5.3539,3.0077,0,0.2777,0.0061
BNCI2015_001,11,20260724,covtoken,True,1.0,False,2,1.0,5.3539,3.0077,0,0.225,0.0067
BNCI2015_001,11,20260725,varmod,True,2.0,False,1,1.0,5.3539,2.9722,0,0.407,0.0086
BNCI2015_001,11,20260725,covtoken,True,1.0,False,2,1.0,5.3539,2.9722,0,0.3655,0.0017
BNCI2015_001,11,20260726,varmod,True,2.0,False,1,1.0,5.3539,2.9377,1,0.3939,0.005
BNCI2015_001,11,20260726,covtoken,True,2.0,False,2,1.0,5.3539,2.9376,1,0.2762,0.0058
BNCI2015_001,11,20260727,varmod,True,2.0,False,1,0.5,5.3539,3.0239,1,0.126,0.0067
BNCI2015_001,11,20260727,covtoken,True,2.0,False,2,1.0,5.3539,3.0239,1,0.5896,0.0008
BNCI2015_001,11,20260728,varmod,True,2.0,False,1,1.0,5.3539,3.0005,1,0.267,0.0058
BNCI2015_001,11,20260728,covtoken,True,1.0,False,2,1.0,5.3539,3.0005,1,0.4589,0.0
BNCI2015_001,12,0,varmod,False,2.0,False,1,1.0,3.6324,2.423,1,0.1307,0.0025
BNCI2015_001,12,0,covtoken,False,1.0,False,2,1.0,3.6324,2.423,1,0.5859,0.0069
BNCI2015_001,12,20260721,varmod,True,1.0,False,1,1.0,3.6324,2.4361,1,0.2979,-0.0006
BNCI2015_001,12,20260721,covtoken,True,1.0,False,2,1.0,3.6324,2.4361,1,0.194,0.0011
BNCI2015_001,12,20260722,varmod,True,2.0,False,1,1.0,3.6324,2.4045,0,0.1219,0.0011
BNCI2015_001,12,20260722,covtoken,True,1.0,False,2,1.0,3.6324,2.4045,0,0.5954,0.0006
BNCI2015_001,12,20260723,varmod,True,2.0,False,1,1.0,3.6324,2.3341,1,0.4776,0.005
BNCI2015_001,12,20260723,covtoken,True,2.0,False,2,1.0,3.6324,2.3341,1,0.3101,0.0028
BNCI2015_001,12,20260724,varmod,True,2.0,False,2,1.0,3.6324,2.4247,1,0.1487,0.0019
BNCI2015_001,12,20260724,covtoken,True,1.0,False,2,1.0,3.6324,2.4247,1,0.3239,0.0008
BNCI2015_001,12,20260725,varmod,True,1.0,False,2,1.0,3.6324,2.3424,1,0.5052,-0.0011
BNCI2015_001,12,20260725,covtoken,True,2.0,False,2,0.5,3.6324,2.3424,1,0.2499,0.0047
BNCI2015_001,12,20260726,varmod,True,1.0,False,2,1.0,3.6324,2.279,1,0.3004,-0.0003
BNCI2015_001,12,20260726,covtoken,True,2.0,False,2,1.0,3.6324,2.279,1,0.3163,0.0022
BNCI2015_001,12,20260727,varmod,True,1.0,False,2,1.0,3.6324,2.4523,0,0.333,-0.0006
BNCI2015_001,12,20260727,covtoken,True,1.0,False,2,0.5,3.6324,2.4523,0,0.4927,0.0047
BNCI2015_001,12,20260728,varmod,True,1.0,False,2,1.0,3.6324,2.3714,1,0.6278,0.005
BNCI2015_001,12,20260728,covtoken,True,1.0,False,2,1.0,3.6324,2.3714,1,0.1699,0.0033
BNCI2015_001,1,0,varmod,False,2.0,False,2,1.0,0.2,1.1566,0,1.0612,0.0067
BNCI2015_001,1,0,covtoken,False,2.0,False,1,1.0,0.2,1.1566,0,1.0345,-0.0003
BNCI2015_001,1,20260721,varmod,True,1.0,False,1,0.5,0.2,1.1449,0,-0.1128,0.0008
BNCI2015_001,1,20260721,covtoken,True,1.0,False,2,1.0,0.2,1.1449,0,0.9835,0.0067
BNCI2015_001,1,20260722,varmod,True,2.0,False,1,1.0,0.2,1.1341,0,0.6867,0.0033
BNCI2015_001,1,20260722,covtoken,True,1.0,False,2,1.0,0.2,1.1341,0,0.4536,0.0022
BNCI2015_001,1,20260723,varmod,True,2.0,False,2,1.0,0.2,1.1267,0,0.9813,0.0014
BNCI2015_001,1,20260723,covtoken,True,1.0,False,1,0.5,0.2,1.1267,0,0.5667,0.0
BNCI2015_001,1,20260724,varmod,True,1.0,False,1,0.5,0.2,1.1491,1,0.3394,0.0008
BNCI2015_001,1,20260724,covtoken,True,1.0,False,2,1.0,0.2,1.1491,1,1.1452,0.0075
BNCI2015_001,1,20260725,varmod,True,1.0,False,2,0.5,0.2,1.1378,0,0.5058,0.0028
BNCI2015_001,1,20260725,covtoken,True,1.0,False,2,1.0,0.2,1.1378,0,0.9476,0.0072
BNCI2015_001,1,20260726,varmod,True,2.0,False,1,1.0,0.2,1.1173,1,0.9706,0.0011
BNCI2015_001,1,20260726,covtoken,True,1.0,False,2,1.0,0.2,1.1173,1,0.1974,0.0006
BNCI2015_001,1,20260727,varmod,True,1.0,False,2,1.0,0.2,1.1577,0,3.6333,0.0003
BNCI2015_001,1,20260727,covtoken,True,2.0,False,1,1.0,0.2,1.1577,0,1.0585,0.0061
BNCI2015_001,1,20260728,varmod,True,2.0,False,2,0.5,0.2,1.155,0,0.5933,-0.0006
BNCI2015_001,1,20260728,covtoken,True,1.0,False,2,1.0,0.2,1.155,0,1.2013,0.0033
BNCI2015_001,2,0,varmod,False,1.0,False,1,1.0,0.2,2.3139,1,1.6057,0.0033
BNCI2015_001,2,0,covtoken,False,2.0,False,2,0.5,0.2,2.3139,1,4.3062,0.0008
BNCI2015_001,2,20260721,varmod,True,1.0,False,1,1.0,0.2,2.2649,0,1.5345,0.0042
BNCI2015_001,2,20260721,covtoken,True,1.0,False,2,0.5,0.2,2.2649,0,1.2993,0.0
BNCI2015_001,2,20260722,varmod,True,1.0,False,1,0.5,0.2,2.239,0,0.5476,0.0
BNCI2015_001,2,20260722,covtoken,True,2.0,False,2,1.0,0.2,2.239,0,0.8194,0.0
BNCI2015_001,2,20260723,varmod,True,1.0,False,1,1.0,0.2,2.1458,0,0.8444,0.0
BNCI2015_001,2,20260723,covtoken,True,2.0,False,2,1.0,0.2,2.1458,0,3.388,0.0014
BNCI2015_001,2,20260724,varmod,True,2.0,False,2,1.0,0.2,2.2583,0,1.0461,0.0008
BNCI2015_001,2,20260724,covtoken,True,1.0,False,2,0.5,0.2,2.2583,0,1.104,0.0058
BNCI2015_001,2,20260725,varmod,True,1.0,False,1,1.0,0.2,2.1586,0,1.6414,-0.0008
BNCI2015_001,2,20260725,covtoken,True,1.0,False,2,1.0,0.2,2.1586,0,0.8959,0.0014
BNCI2015_001,2,20260726,varmod,True,1.0,False,1,0.5,0.2,2.0729,0,5.4214,0.0058
BNCI2015_001,2,20260726,covtoken,True,1.0,False,1,0.5,0.2,2.0729,0,1.0901,0.0042
BNCI2015_001,2,20260727,varmod,True,2.0,False,2,1.0,0.2,2.3852,0,1.2409,0.0025
BNCI2015_001,2,20260727,covtoken,True,2.0,False,2,0.5,0.2,2.3852,0,0.5292,0.0067
BNCI2015_001,2,20260728,varmod,True,1.0,False,1,0.5,0.2,2.3007,0,0.6692,0.01
BNCI2015_001,2,20260728,covtoken,True,1.0,False,2,0.5,0.2,2.3007,0,0.958,0.0
