dataset,target_subject,token_seed,injtype,excess_var_along_vc,inj_dominance,vc_overlap,arm_overlap,E4bO_netted_rec,harm
BNCI2014_001,3,20260724,varmod,0.3798,0.4801,0.8434,0.991,0.0,0.0174
BNCI2014_001,3,20260724,covtoken,0.38952,0.3285,0.5074,0.9569,0.1429,0.0122
BNCI2014_001,3,20260725,varmod,1.66074,1.3247,0.924,0.0727,0.4615,0.0226
BNCI2014_001,3,20260725,covtoken,0.509,0.8748,0.0947,0.9668,0.1,0.0174
BNCI2014_001,3,20260726,varmod,1.33836,0.8124,0.9366,0.9431,0.2,-0.0087
BNCI2014_001,3,20260726,covtoken,1.30723,0.4834,0.6204,0.8967,-1.4286,0.0122
BNCI2014_001,3,20260727,varmod,1.43561,0.8728,0.9115,0.9599,0.0667,0.026
BNCI2014_001,3,20260727,covtoken,0.4491,0.3762,0.441,0.9842,-0.1,0.0174
BNCI2014_001,3,20260728,varmod,1.32804,0.7823,0.5399,0.9379,-1.3333,0.0104
BNCI2014_001,3,20260728,covtoken,0.41696,0.3682,0.4413,0.9719,,-0.0
BNCI2014_001,4,0,varmod,1.0873,1.2132,0.9712,0.5405,0.9,-0.0174
BNCI2014_001,4,0,covtoken,4.69914,0.5722,0.6975,0.138,0.0476,0.0365
BNCI2014_001,4,20260721,varmod,1.17554,1.1321,0.5314,0.5395,-1.5,0.0035
BNCI2014_001,4,20260721,covtoken,0.99003,0.5454,0.5251,0.0415,-1.2,0.0087
BNCI2014_001,4,20260722,varmod,3.88565,1.0879,0.9955,0.0688,1.125,0.0278
BNCI2014_001,4,20260722,covtoken,1.08607,0.6404,0.69,0.0564,-0.5,-0.0069
BNCI2014_001,4,20260723,varmod,3.7378,1.0717,0.5117,0.3304,0.0,0.0573
BNCI2014_001,4,20260723,covtoken,4.11292,0.5597,0.7041,0.2073,0.0465,0.0747
BNCI2014_001,4,20260724,varmod,4.41232,1.1863,0.9857,0.0681,0.6897,0.0503
BNCI2014_001,4,20260724,covtoken,4.6119,0.5848,0.6962,0.2876,0.8333,0.0417
BNCI2014_001,4,20260725,varmod,4.33435,1.1888,0.9853,0.0616,0.9667,0.0521
BNCI2014_001,4,20260725,covtoken,9.63048,0.5403,0.7041,0.1111,0.8333,0.0729
BNCI2014_001,4,20260726,varmod,0.95682,1.297,0.5314,0.4533,-0.3333,0.0208
BNCI2014_001,4,20260726,covtoken,3.80535,0.5305,0.6685,0.3149,0.3261,0.0799
BNCI2014_001,4,20260727,varmod,1.07594,1.3866,0.976,0.4064,-0.375,0.0139
BNCI2014_001,4,20260727,covtoken,0.85154,0.557,0.5423,0.4388,-0.5714,0.0122
BNCI2014_001,4,20260728,varmod,1.05704,1.5015,0.5022,0.1633,-0.4286,-0.0122
BNCI2014_001,4,20260728,covtoken,4.02566,0.5442,0.6773,0.0293,0.8095,0.0365
BNCI2014_001,5,0,varmod,0.02937,0.6274,0.1562,0.9974,0.0,0.0035
BNCI2014_001,5,0,covtoken,0.18156,0.8196,0.2465,0.1065,0.2,0.0087
BNCI2014_001,5,20260721,varmod,0.05368,0.6333,0.0878,0.9997,0.0,0.0052
BNCI2014_001,5,20260721,covtoken,0.03906,0.7629,0.1156,0.7537,0.0,0.0017
BNCI2014_001,5,20260722,varmod,0.22846,2.3967,0.1912,0.8959,0.0,0.0035
BNCI2014_001,5,20260722,covtoken,0.04494,0.4597,0.0704,0.6157,-0.0,-0.0035
BNCI2014_001,5,20260723,varmod,0.22139,2.0451,0.2947,0.7348,,0.0
BNCI2014_001,5,20260723,covtoken,0.07227,0.6551,0.1456,0.6226,-0.0,-0.0017
BNCI2014_001,5,20260724,varmod,0.17986,1.836,0.3248,0.7633,-0.0,-0.0017
BNCI2014_001,5,20260724,covtoken,0.05587,0.9916,0.126,0.7247,,0.0
BNCI2014_001,5,20260725,varmod,0.05029,0.5535,0.2939,0.9725,-0.0,-0.0069
BNCI2014_001,5,20260725,covtoken,0.05904,0.5586,0.3256,0.8404,0.5,-0.0035
BNCI2014_001,5,20260726,varmod,0.27031,2.2785,0.2563,0.8012,0.0,0.0017
BNCI2014_001,5,20260726,covtoken,0.05517,0.5195,0.1248,0.7946,-0.0,-0.0087
BNCI2014_001,5,20260727,varmod,0.04743,0.5513,0.1336,0.9973,,0.0
BNCI2014_001,5,20260727,covtoken,0.19516,0.7643,0.2538,0.1594,0.0,0.0017
BNCI2014_001,5,20260728,varmod,0.03874,0.4306,0.283,0.9808,-0.0,-0.0069
BNCI2014_001,5,20260728,covtoken,0.04677,0.4698,0.312,0.8557,-0.0,-0.0035
BNCI2014_001,6,0,varmod,0.23145,1.1481,0.4842,0.9463,-0.0,-0.0087
BNCI2014_001,6,0,covtoken,0.56679,0.7065,0.5296,0.5528,0.0,0.0017
BNCI2014_001,6,20260721,varmod,0.24018,1.1968,0.4944,0.9402,-0.0,-0.0191
BNCI2014_001,6,20260721,covtoken,0.2451,0.8446,0.1574,0.7729,0.1818,-0.0191
BNCI2014_001,6,20260722,varmod,0.05761,0.2895,0.1835,0.9998,-0.0,-0.0156
BNCI2014_001,6,20260722,covtoken,0.05336,0.2342,0.1386,0.9938,0.2857,-0.0122
BNCI2014_001,6,20260723,varmod,0.27517,0.9733,0.5025,0.9229,-0.0,-0.0052
BNCI2014_001,6,20260723,covtoken,0.24486,0.5674,0.3547,0.507,0.25,-0.0069
BNCI2014_001,6,20260724,varmod,0.26707,1.1415,0.3025,0.9786,0.0,0.0069
BNCI2014_001,6,20260724,covtoken,0.07995,0.448,0.1444,0.989,-0.0,-0.0122
BNCI2014_001,6,20260725,varmod,0.0622,0.3167,0.7137,0.9918,-0.0,-0.0035
BNCI2014_001,6,20260725,covtoken,0.26905,0.8622,0.8324,0.9294,1.0,0.0035
BNCI2014_001,6,20260726,varmod,0.26462,1.1567,0.3119,0.9844,0.0,0.0174
BNCI2014_001,6,20260726,covtoken,0.107,0.5936,0.2115,0.9861,-0.0,-0.0035
BNCI2014_001,6,20260727,varmod,0.07487,0.4525,0.1693,1.0,-0.0,-0.0017
BNCI2014_001,6,20260727,covtoken,0.06568,0.3934,0.1651,0.9967,-0.0,-0.0156
BNCI2014_001,6,20260728,varmod,0.22488,1.0532,0.2752,0.9945,0.0,0.0052
BNCI2014_001,6,20260728,covtoken,0.06369,0.3906,0.1624,0.9998,0.0,0.0017
BNCI2014_001,7,0,varmod,0.4193,1.5572,0.4501,0.0717,-0.0,-0.0139
BNCI2014_001,7,0,covtoken,1.7951,0.5719,0.6441,0.0873,0.75,0.0139
BNCI2014_001,7,20260721,varmod,0.5025,2.3627,0.8506,0.0836,-0.0,-0.0104
BNCI2014_001,7,20260721,covtoken,0.53347,0.7833,0.4653,0.0347,0.5,-0.0104
BNCI2014_001,7,20260722,varmod,0.43511,1.5673,0.454,0.0639,0.0,0.0035
BNCI2014_001,7,20260722,covtoken,0.46389,1.2613,0.2897,0.0146,0.4286,-0.0122
BNCI2014_001,7,20260723,varmod,2.06073,1.2679,0.4861,0.0527,3.5,-0.0035
BNCI2014_001,7,20260723,covtoken,2.36529,0.626,0.69,0.0783,0.5789,-0.033
BNCI2014_001,7,20260724,varmod,0.4561,2.705,0.4119,0.0736,-0.0,-0.0035
BNCI2014_001,7,20260724,covtoken,0.45514,0.7513,0.4879,0.5104,-0.0,-0.0104
BNCI2014_001,7,20260725,varmod,1.95508,1.8165,0.9539,0.0595,0.2143,0.0243
BNCI2014_001,7,20260725,covtoken,2.11606,0.6652,0.5421,0.3474,-0.5,-0.0069
BNCI2014_001,7,20260726,varmod,0.57952,6.9267,0.2744,0.1468,-0.0,-0.0156
BNCI2014_001,7,20260726,covtoken,2.37118,0.7258,0.6784,0.1879,-0.3333,-0.0156
BNCI2014_001,7,20260727,varmod,1.93892,1.2285,0.4814,0.0579,0.75,0.0139
BNCI2014_001,7,20260727,covtoken,0.50481,0.7152,0.6299,0.2047,0.1667,-0.0104
BNCI2014_001,7,20260728,varmod,1.56963,1.2478,0.9506,0.0605,1.3333,0.0052
BNCI2014_001,7,20260728,covtoken,0.4305,1.1104,0.0648,0.2794,0.3333,0.0052
BNCI2014_001,8,0,varmod,0.08574,0.0968,0.8622,0.9995,-0.1429,0.0122
BNCI2014_001,8,0,covtoken,0.10412,0.1044,0.4415,0.9994,-1.5,0.0069
BNCI2014_001,8,20260721,varmod,0.10054,0.1161,0.6692,0.9993,,0.0
BNCI2014_001,8,20260721,covtoken,0.10907,0.1201,0.6745,0.9987,0.3333,-0.0052
BNCI2014_001,8,20260722,varmod,0.42376,0.3685,0.9026,0.9922,-0.2857,0.0122
BNCI2014_001,8,20260722,covtoken,0.5068,0.4018,0.9024,0.9918,-2.25,0.0069
BNCI2014_001,8,20260723,varmod,0.09256,0.1107,0.1885,0.9998,0.0,0.0087
BNCI2014_001,8,20260723,covtoken,0.08201,0.0975,0.1954,0.9996,0.0,0.0278
BNCI2014_001,8,20260724,varmod,0.54232,0.6352,0.2647,0.9948,0.0,0.0295
BNCI2014_001,8,20260724,covtoken,0.13244,0.1411,0.1993,0.9999,,0.0
BNCI2014_001,8,20260725,varmod,0.07888,0.0959,0.1585,0.9999,0.0,0.0122
BNCI2014_001,8,20260725,covtoken,0.45955,0.5435,0.2396,0.9901,-0.0556,0.0312
BNCI2014_001,8,20260726,varmod,0.4714,0.4162,0.5495,0.9862,0.0909,0.0382
BNCI2014_001,8,20260726,covtoken,0.33748,0.3489,0.7225,0.9925,-0.3,0.0174
BNCI2014_001,8,20260727,varmod,0.13347,0.1427,0.4738,0.9987,0.0,0.0104
BNCI2014_001,8,20260727,covtoken,0.14763,0.1587,0.6736,0.998,,0.0
BNCI2014_001,8,20260728,varmod,0.17279,0.1799,0.8728,0.9986,-0.3333,0.0104
BNCI2014_001,8,20260728,covtoken,0.13548,0.1471,0.8713,0.9981,-0.6667,0.0052
BNCI2014_001,9,0,varmod,0.51515,0.9785,0.8074,0.5884,0.5,-0.0035
BNCI2014_001,9,0,covtoken,0.15286,0.3859,0.2995,0.9704,-0.6667,0.0052
BNCI2014_001,9,20260721,varmod,0.13291,0.2067,0.5443,0.9597,0.3333,0.0052
BNCI2014_001,9,20260721,covtoken,0.64946,0.4394,0.4987,0.8404,0.5,0.0069
BNCI2014_001,9,20260722,varmod,0.63857,0.7023,0.5115,0.7914,0.0,0.0139
BNCI2014_001,9,20260722,covtoken,0.68672,0.9521,0.8942,0.7921,0.0,0.0052
BNCI2014_001,9,20260723,varmod,0.18424,0.4884,0.4958,0.9286,0.0,0.0017
BNCI2014_001,9,20260723,covtoken,0.83576,0.5493,0.6188,0.0282,0.0,0.0104
BNCI2014_001,9,20260724,varmod,0.82521,0.6554,0.5429,0.8568,1.5,0.0069
BNCI2014_001,9,20260724,covtoken,0.69768,0.449,0.6037,0.7815,1.5,0.0035
BNCI2014_001,9,20260725,varmod,0.14189,0.424,0.245,0.9998,0.0,0.0069
BNCI2014_001,9,20260725,covtoken,0.14797,0.4019,0.4715,0.9397,,0.0
BNCI2014_001,9,20260726,varmod,0.19468,0.3145,0.5035,0.9555,-0.0,-0.0035
BNCI2014_001,9,20260726,covtoken,0.1669,0.2719,0.466,0.9761,0.0,0.0052
BNCI2014_001,9,20260727,varmod,0.42461,0.5437,0.5357,0.6799,0.0,0.0104
BNCI2014_001,9,20260727,covtoken,0.153,0.2592,0.4219,0.9984,0.0,0.0087
BNCI2014_001,9,20260728,varmod,0.47056,0.5835,0.4771,0.866,-0.25,0.0139
BNCI2014_001,9,20260728,covtoken,0.39963,0.6378,0.5369,0.8424,0.1667,0.0104
BNCI2015_001,10,0,varmod,7.99029,1.1669,0.5018,0.3013,0.1447,0.1267
BNCI2015_001,10,0,covtoken,7.48546,0.5398,0.6776,0.0881,0.1143,0.1167
BNCI2015_001,10,20260721,varmod,8.16922,1.1648,0.498,0.2889,0.1154,0.0867
BNCI2015_001,10,20260721,covtoken,7.76873,0.5438,0.6873,0.3215,0.0267,0.125
BNCI2015_001,10,20260722,varmod,8.8784,1.1498,0.9946,0.2925,0.1029,0.1133
BNCI2015_001,10,20260722,covtoken,2.18921,0.6097,0.5904,0.1074,0.1333,0.025
BNCI2015_001,10,20260723,varmod,1.85252,1.7971,0.8894,0.3941,-0.087,0.0383
BNCI2015_001,10,20260723,covtoken,2.4655,1.0308,0.7083,0.3347,0.1905,0.035
BNCI2015_001,10,20260724,varmod,7.96424,1.1695,0.9938,0.292,0.1481,0.135
BNCI2015_001,10,20260724,covtoken,9.21785,0.6338,0.6962,0.0028,-0.25,0.06
BNCI2015_001,10,20260725,varmod,1.72918,1.801,0.4448,0.4272,-0.0714,0.0467
BNCI2015_001,10,20260725,covtoken,1.89162,1.0726,0.2926,0.0405,-0.1071,0.0467
BNCI2015_001,10,20260726,varmod,1.51628,1.8805,0.8485,0.4347,0.0556,0.06
BNCI2015_001,10,20260726,covtoken,2.21702,1.0767,0.7196,0.4399,1.7143,0.0117
BNCI2015_001,10,20260727,varmod,17.55797,1.0727,0.4999,0.2701,0.1389,0.12
BNCI2015_001,10,20260727,covtoken,2.20066,0.711,0.6219,0.1192,0.0952,0.035
BNCI2015_001,10,20260728,varmod,1.76059,1.7203,0.871,0.4122,-0.0571,0.0583
BNCI2015_001,10,20260728,covtoken,1.9366,0.6585,0.5989,0.1885,0.0,0.0317
BNCI2015_001,11,0,varmod,35.99998,1.0343,0.9997,0.0732,0.8333,-0.03
BNCI2015_001,11,0,covtoken,9.41061,0.5465,0.695,0.0942,1.1111,0.015
BNCI2015_001,11,20260721,varmod,36.3099,1.0343,0.9998,0.066,-3.0,-0.0083
BNCI2015_001,11,20260721,covtoken,9.09314,0.5397,0.6674,0.0271,-0.1875,-0.0267
BNCI2015_001,11,20260722,varmod,9.31705,1.1302,0.9967,0.1081,1.2857,0.0117
BNCI2015_001,11,20260722,covtoken,36.68834,0.5161,0.7069,0.003,0.9444,-0.03
BNCI2015_001,11,20260723,varmod,35.36876,1.035,0.9997,0.0712,-0.0714,-0.0233
BNCI2015_001,11,20260723,covtoken,9.97504,0.5938,0.7025,0.1577,0.7308,0.0433
BNCI2015_001,11,20260724,varmod,9.00375,1.1281,0.4992,0.116,0.3,-0.0167
BNCI2015_001,11,20260724,covtoken,9.45275,0.5433,0.698,0.0796,2.0,0.0083
BNCI2015_001,11,20260725,varmod,35.67457,1.0323,0.9997,0.1026,0.5,-0.0267
BNCI2015_001,11,20260725,covtoken,8.72186,0.5408,0.6953,0.0342,0.5882,-0.0283
BNCI2015_001,11,20260726,varmod,34.38577,1.0361,0.9997,0.0717,3.25,0.0067
BNCI2015_001,11,20260726,covtoken,35.02818,0.5139,0.7062,0.1594,0.7895,-0.0317
BNCI2015_001,11,20260727,varmod,36.64594,1.0337,0.9997,0.0723,-1.0,-0.0067
BNCI2015_001,11,20260727,covtoken,38.01176,0.5335,0.7045,0.0225,,0.0
BNCI2015_001,11,20260728,varmod,36.57198,1.034,0.9998,0.0666,5.5,0.0033
BNCI2015_001,11,20260728,covtoken,9.22189,0.5413,0.6861,0.1625,0.9444,0.03
BNCI2015_001,12,0,varmod,23.0697,1.0549,0.9994,0.1384,1.4545,0.0275
BNCI2015_001,12,0,covtoken,5.8682,0.5565,0.6745,0.1079,-0.8,-0.0125
BNCI2015_001,12,20260721,varmod,6.03262,1.2292,0.9905,0.1605,16.0,0.0025
BNCI2015_001,12,20260721,covtoken,6.06065,0.5707,0.683,0.064,1.7,0.025
BNCI2015_001,12,20260722,varmod,23.18152,1.0513,0.9993,0.1136,1.8889,0.0225
BNCI2015_001,12,20260722,covtoken,5.71446,0.555,0.6416,0.1446,1.0741,0.0675
BNCI2015_001,12,20260723,varmod,21.6749,1.0585,0.9992,0.1443,0.8333,0.015
BNCI2015_001,12,20260723,covtoken,23.08037,0.5502,0.7041,0.2378,1.2857,-0.0175
BNCI2015_001,12,20260724,varmod,24.2325,1.0504,0.5001,0.1375,1.375,0.02
BNCI2015_001,12,20260724,covtoken,5.88384,0.5524,0.5554,0.2075,-9.0,-0.0025
BNCI2015_001,12,20260725,varmod,5.65358,1.2355,0.4961,0.1612,1.0556,0.045
BNCI2015_001,12,20260725,covtoken,22.1387,0.5299,0.7064,0.1475,-0.25,0.01
BNCI2015_001,12,20260726,varmod,4.82409,1.2682,0.4981,0.1855,1.0,0.02
BNCI2015_001,12,20260726,covtoken,21.36618,0.5242,0.704,0.2482,,0.0
BNCI2015_001,12,20260727,varmod,5.91727,1.2026,0.4955,0.1293,18.0,0.0025
BNCI2015_001,12,20260727,covtoken,6.31718,0.5689,0.6961,0.1226,-4.3333,-0.0075
BNCI2015_001,12,20260728,varmod,5.51834,1.2343,0.4959,0.1683,-0.8,-0.0125
BNCI2015_001,12,20260728,covtoken,5.57692,0.553,0.606,0.0457,2.0,0.03
BNCI2015_001,1,0,varmod,5.23456,1.0041,0.5012,0.4045,0.0,0.06
BNCI2015_001,1,0,covtoken,5.20089,0.966,0.4714,0.1287,0.3333,0.075
BNCI2015_001,1,20260721,varmod,1.42385,1.0489,0.9949,0.4724,0.4167,-0.03
BNCI2015_001,1,20260721,covtoken,1.27866,0.5054,0.6955,0.4503,4.0,-0.0075
BNCI2015_001,1,20260722,varmod,5.21286,1.0153,0.9998,0.4102,0.1053,0.0475
BNCI2015_001,1,20260722,covtoken,1.28146,0.5173,0.6998,0.1321,1.4667,-0.0375
BNCI2015_001,1,20260723,varmod,5.13608,1.0046,0.5055,0.4143,0.2609,0.0575
BNCI2015_001,1,20260723,covtoken,1.22656,0.9573,0.4595,0.2091,0.4,-0.0125
BNCI2015_001,1,20260724,varmod,1.35294,1.0609,0.9972,0.3067,1.0,-0.0275
BNCI2015_001,1,20260724,covtoken,1.33741,0.5202,0.5672,0.2329,9.0,-0.005
BNCI2015_001,1,20260725,varmod,1.27317,1.0115,0.5093,0.4416,-0.25,-0.03
BNCI2015_001,1,20260725,covtoken,1.41485,0.565,0.6957,0.2534,4.0,-0.015
BNCI2015_001,1,20260726,varmod,5.10327,1.0166,0.9998,0.2861,0.2667,0.0375
BNCI2015_001,1,20260726,covtoken,1.2374,0.5327,0.7039,0.0826,,0.0
BNCI2015_001,1,20260727,varmod,1.45233,1.0157,0.5228,0.4539,1.3889,-0.045
BNCI2015_001,1,20260727,covtoken,5.51275,0.906,0.7697,0.3336,0.6667,0.03
BNCI2015_001,1,20260728,varmod,5.35746,1.0045,0.5067,0.4172,1.5333,0.0375
BNCI2015_001,1,20260728,covtoken,1.31056,0.508,0.6956,0.4496,2.5714,-0.0175
BNCI2015_001,2,0,varmod,5.32822,0.9872,0.9999,0.6325,0.5,0.16
BNCI2015_001,2,0,covtoken,21.24822,0.4997,0.707,0.4892,0.3676,0.17
BNCI2015_001,2,20260721,varmod,5.14945,0.9921,0.9997,0.5187,-0.0769,0.0325
BNCI2015_001,2,20260721,covtoken,5.15692,0.5009,0.7064,0.3956,0.4074,0.0675
BNCI2015_001,2,20260722,varmod,5.02245,0.9922,0.9998,0.5155,0.3,0.075
BNCI2015_001,2,20260722,covtoken,20.10064,0.4982,0.707,0.4922,0.7465,0.1775
BNCI2015_001,2,20260723,varmod,4.68432,0.9908,0.9994,0.5289,0.3548,0.0775
BNCI2015_001,2,20260723,covtoken,19.06101,0.5177,0.7031,0.4817,0.6812,0.1725
BNCI2015_001,2,20260724,varmod,20.40723,0.992,0.5022,0.507,0.7237,0.19
BNCI2015_001,2,20260724,covtoken,5.07072,0.4966,0.7069,0.3434,0.3939,0.0825
BNCI2015_001,2,20260725,varmod,4.72816,0.9909,0.9994,0.529,0.3846,0.065
BNCI2015_001,2,20260725,covtoken,4.79199,0.5098,0.7033,0.6234,0.1379,0.0725
BNCI2015_001,2,20260726,varmod,4.13954,0.9904,0.9998,0.5175,0.5312,0.08
BNCI2015_001,2,20260726,covtoken,4.51516,0.9343,0.8555,0.5204,-0.0714,0.035
BNCI2015_001,2,20260727,varmod,22.91494,0.9929,0.5034,0.5092,0.7015,0.1675
BNCI2015_001,2,20260727,covtoken,23.31711,0.5121,0.7037,0.5017,0.2955,0.11
BNCI2015_001,2,20260728,varmod,5.38058,0.9918,0.9994,0.5309,0.1111,0.0675
BNCI2015_001,2,20260728,covtoken,5.2429,0.4965,0.707,0.4076,0.359,0.0975
BNCI2015_001,3,0,varmod,1.77138,1.1987,0.9895,0.2201,0.8537,-0.1025
BNCI2015_001,3,0,covtoken,1.96584,0.5637,0.6515,0.131,0.4524,-0.105
BNCI2015_001,3,20260721,varmod,2.14086,1.0753,0.5411,0.3327,0.4167,-0.12
BNCI2015_001,3,20260721,covtoken,8.0985,0.5379,0.7054,0.3191,1.5,-0.065
BNCI2015_001,3,20260722,varmod,7.58394,1.0443,0.9993,0.2583,1.7273,-0.0275
BNCI2015_001,3,20260722,covtoken,1.65208,0.5161,0.5733,0.0119,0.4706,-0.085
BNCI2015_001,3,20260723,varmod,7.12977,1.0474,0.9993,0.2604,1.1311,-0.1525
BNCI2015_001,3,20260723,covtoken,6.80052,0.5185,0.706,0.0506,-9.25,-0.01
BNCI2015_001,3,20260724,varmod,7.47185,1.0452,0.9994,0.2399,1.0,0.0125
BNCI2015_001,3,20260724,covtoken,1.8321,0.9667,0.3365,0.2286,0.45,-0.1
BNCI2015_001,3,20260725,varmod,1.96832,1.1782,0.9898,0.3434,0.4082,-0.1225
BNCI2015_001,3,20260725,covtoken,7.13145,0.5171,0.6693,0.1309,-0.1042,-0.12
BNCI2015_001,3,20260726,varmod,1.5451,1.0775,0.5147,0.2345,0.4545,-0.0825
BNCI2015_001,3,20260726,covtoken,6.40873,0.5319,0.7062,0.2741,1.32,-0.0625
BNCI2015_001,3,20260727,varmod,8.23234,1.041,0.9995,0.2445,3.6667,-0.0075
BNCI2015_001,3,20260727,covtoken,2.18036,0.5528,0.584,0.1781,0.4694,-0.1225
BNCI2015_001,3,20260728,varmod,7.31162,1.0197,0.5032,0.1799,1.1176,-0.1275
BNCI2015_001,3,20260728,covtoken,6.84603,0.4971,0.6583,0.0736,-1.9231,-0.0325
BNCI2015_001,4,0,varmod,1.22169,0.9936,0.5221,0.736,0.12,0.0625
BNCI2015_001,4,0,covtoken,1.05976,0.4905,0.7007,0.3129,0.25,0.07
BNCI2015_001,4,20260721,varmod,1.44423,0.9964,0.5193,0.7227,-0.0345,0.0725
BNCI2015_001,4,20260721,covtoken,1.22018,0.4934,0.6983,0.4842,0.0667,0.075
BNCI2015_001,4,20260722,varmod,1.06976,0.9758,0.506,0.6603,-0.0435,0.0575
BNCI2015_001,4,20260722,covtoken,4.86576,0.5143,0.7052,0.5975,0.2987,0.1925
BNCI2015_001,4,20260723,varmod,0.99479,1.0081,0.9975,0.6676,0.2381,0.0525
BNCI2015_001,4,20260723,covtoken,1.23721,0.5666,0.694,0.4406,0.3571,0.035
BNCI2015_001,4,20260724,varmod,1.22118,1.0078,0.9967,0.734,-0.1538,0.065
BNCI2015_001,4,20260724,covtoken,5.82362,0.5649,0.6958,0.6955,0.039,0.1925
BNCI2015_001,4,20260725,varmod,1.01156,1.0077,0.9953,0.7332,-0.1667,0.045
BNCI2015_001,4,20260725,covtoken,1.06676,0.8824,0.685,0.3552,-0.125,0.04
BNCI2015_001,4,20260726,varmod,1.14158,0.9814,0.5336,0.6884,0.0455,0.055
BNCI2015_001,4,20260726,covtoken,4.307,0.5224,0.7029,0.6587,0.0759,0.1975
