dataset,target_subject,token_seed,injtype,alpha_star,harm,stress_unmet
BNCI2014_001,5,0,varmod,1.0,0.0035,False
BNCI2014_001,5,0,covtoken,2.0,0.0087,False
BNCI2014_001,5,20260721,varmod,1.0,0.0052,False
BNCI2014_001,5,20260721,covtoken,1.0,0.0017,False
BNCI2014_001,5,20260722,varmod,2.0,0.0035,False
BNCI2014_001,5,20260722,covtoken,1.0,-0.0035,False
BNCI2014_001,5,20260723,varmod,2.0,0.0,False
BNCI2014_001,5,20260723,covtoken,1.0,-0.0017,False
BNCI2014_001,5,20260724,varmod,2.0,-0.0017,False
BNCI2014_001,5,20260724,covtoken,1.0,0.0,False
BNCI2014_001,5,20260725,varmod,1.0,-0.0069,False
BNCI2014_001,5,20260725,covtoken,1.0,-0.0035,False
BNCI2014_001,5,20260726,varmod,2.0,0.0017,False
BNCI2014_001,5,20260726,covtoken,1.0,-0.0087,False
BNCI2014_001,5,20260727,varmod,1.0,0.0,False
BNCI2014_001,5,20260727,covtoken,2.0,0.0017,False
BNCI2014_001,5,20260728,varmod,1.0,-0.0069,False
BNCI2014_001,5,20260728,covtoken,1.0,-0.0035,False
BNCI2014_001,6,0,varmod,2.0,-0.0087,False
BNCI2014_001,6,0,covtoken,3.0,0.0017,False
BNCI2014_001,6,20260721,varmod,2.0,-0.0191,False
BNCI2014_001,6,20260721,covtoken,2.0,-0.0191,False
BNCI2014_001,6,20260722,varmod,1.0,-0.0156,False
BNCI2014_001,6,20260722,covtoken,1.0,-0.0122,False
BNCI2014_001,6,20260723,varmod,2.0,-0.0052,False
BNCI2014_001,6,20260723,covtoken,2.0,-0.0069,False
BNCI2014_001,6,20260724,varmod,2.0,0.0069,False
BNCI2014_001,6,20260724,covtoken,1.0,-0.0122,False
BNCI2014_001,6,20260725,varmod,1.0,-0.0035,False
BNCI2014_001,6,20260725,covtoken,2.0,0.0035,False
BNCI2014_001,6,20260726,varmod,2.0,0.0174,False
BNCI2014_001,6,20260726,covtoken,1.0,-0.0035,False
BNCI2014_001,6,20260727,varmod,1.0,-0.0017,False
BNCI2014_001,6,20260727,covtoken,1.0,-0.0156,False
BNCI2014_001,6,20260728,varmod,2.0,0.0052,False
BNCI2014_001,6,20260728,covtoken,1.0,0.0017,False
BNCI2014_001,7,0,varmod,1.0,-0.0139,False
BNCI2014_001,7,0,covtoken,2.0,0.0139,False
BNCI2014_001,7,20260721,varmod,1.0,-0.0104,False
BNCI2014_001,7,20260721,covtoken,1.0,-0.0104,False
BNCI2014_001,7,20260722,varmod,1.0,0.0035,False
BNCI2014_001,7,20260722,covtoken,1.0,-0.0122,False
BNCI2014_001,7,20260723,varmod,2.0,-0.0035,False
BNCI2014_001,7,20260723,covtoken,2.0,-0.033,False
BNCI2014_001,7,20260724,varmod,1.0,-0.0035,False
BNCI2014_001,7,20260724,covtoken,1.0,-0.0104,False
BNCI2014_001,7,20260725,varmod,2.0,0.0243,False
BNCI2014_001,7,20260725,covtoken,2.0,-0.0069,False
BNCI2014_001,7,20260726,varmod,1.0,-0.0156,False
BNCI2014_001,7,20260726,covtoken,2.0,-0.0156,False
BNCI2014_001,7,20260727,varmod,2.0,0.0139,False
BNCI2014_001,7,20260727,covtoken,1.0,-0.0104,False
BNCI2014_001,7,20260728,varmod,2.0,0.0052,False
BNCI2014_001,7,20260728,covtoken,1.0,0.0052,False
BNCI2014_001,8,0,varmod,1.0,0.0122,False
BNCI2014_001,8,0,covtoken,1.0,0.0069,False
BNCI2014_001,8,20260721,varmod,1.0,0.0,False
BNCI2014_001,8,20260721,covtoken,1.0,-0.0052,False
BNCI2014_001,8,20260722,varmod,2.0,0.0122,False
BNCI2014_001,8,20260722,covtoken,2.0,0.0069,False
BNCI2014_001,8,20260723,varmod,1.0,0.0087,False
BNCI2014_001,8,20260723,covtoken,1.0,0.0278,False
BNCI2014_001,8,20260724,varmod,2.0,0.0295,False
BNCI2014_001,8,20260724,covtoken,1.0,0.0,False
BNCI2014_001,8,20260725,varmod,1.0,0.0122,False
BNCI2014_001,8,20260725,covtoken,2.0,0.0312,False
BNCI2014_001,8,20260726,varmod,2.0,0.0382,False
BNCI2014_001,8,20260726,covtoken,2.0,0.0174,False
BNCI2014_001,8,20260727,varmod,1.0,0.0104,False
BNCI2014_001,8,20260727,covtoken,1.0,0.0,False
BNCI2014_001,8,20260728,varmod,1.0,0.0104,False
BNCI2014_001,8,20260728,covtoken,1.0,0.0052,False
BNCI2014_001,9,0,varmod,2.0,-0.0035,False
BNCI2014_001,9,0,covtoken,1.0,0.0052,False
BNCI2014_001,9,20260721,varmod,1.0,0.0052,False
BNCI2014_001,9,20260721,covtoken,2.0,0.0069,False
BNCI2014_001,9,20260722,varmod,2.0,0.0139,False
BNCI2014_001,9,20260722,covtoken,2.0,0.0052,False
BNCI2014_001,9,20260723,varmod,1.0,0.0017,False
BNCI2014_001,9,20260723,covtoken,2.0,0.0104,False
BNCI2014_001,9,20260724,varmod,2.0,0.0069,False
BNCI2014_001,9,20260724,covtoken,2.0,0.0035,False
BNCI2014_001,9,20260725,varmod,1.0,0.0069,False
BNCI2014_001,9,20260725,covtoken,1.0,0.0,False
BNCI2014_001,9,20260726,varmod,1.0,-0.0035,False
BNCI2014_001,9,20260726,covtoken,1.0,0.0052,False
BNCI2014_001,9,20260727,varmod,2.0,0.0104,False
BNCI2014_001,9,20260727,covtoken,1.0,0.0087,False
BNCI2014_001,9,20260728,varmod,2.0,0.0139,False
BNCI2014_001,9,20260728,covtoken,2.0,0.0104,False
BNCI2015_001,10,0,varmod,2.0,0.1267,False
BNCI2015_001,10,0,covtoken,2.0,0.1167,False
BNCI2015_001,10,20260721,varmod,2.0,0.0867,False
BNCI2015_001,10,20260721,covtoken,2.0,0.125,False
BNCI2015_001,10,20260722,varmod,2.0,0.1133,False
BNCI2015_001,10,20260722,covtoken,1.0,0.025,False
BNCI2015_001,10,20260723,varmod,1.0,0.0383,False
BNCI2015_001,10,20260723,covtoken,1.0,0.035,False
BNCI2015_001,10,20260724,varmod,2.0,0.135,False
BNCI2015_001,10,20260724,covtoken,2.0,0.06,False
BNCI2015_001,10,20260725,varmod,1.0,0.0467,False
BNCI2015_001,10,20260725,covtoken,1.0,0.0467,False
BNCI2015_001,10,20260726,varmod,1.0,0.06,False
BNCI2015_001,10,20260726,covtoken,1.0,0.0117,False
BNCI2015_001,10,20260727,varmod,3.0,0.12,False
BNCI2015_001,10,20260727,covtoken,1.0,0.035,False
BNCI2015_001,10,20260728,varmod,1.0,0.0583,False
BNCI2015_001,10,20260728,covtoken,1.0,0.0317,False
BNCI2015_001,11,0,varmod,2.0,-0.03,False
BNCI2015_001,11,0,covtoken,1.0,0.015,False
BNCI2015_001,11,20260721,varmod,2.0,-0.0083,False
BNCI2015_001,11,20260721,covtoken,1.0,-0.0267,False
BNCI2015_001,11,20260722,varmod,1.0,0.0117,False
BNCI2015_001,11,20260722,covtoken,2.0,-0.03,False
BNCI2015_001,11,20260723,varmod,2.0,-0.0233,False
BNCI2015_001,11,20260723,covtoken,1.0,0.0433,False
BNCI2015_001,11,20260724,varmod,1.0,-0.0167,False
BNCI2015_001,11,20260724,covtoken,1.0,0.0083,False
BNCI2015_001,11,20260725,varmod,2.0,-0.0267,False
BNCI2015_001,11,20260725,covtoken,1.0,-0.0283,False
BNCI2015_001,11,20260726,varmod,2.0,0.0067,False
BNCI2015_001,11,20260726,covtoken,2.0,-0.0317,False
BNCI2015_001,11,20260727,varmod,2.0,-0.0067,False
BNCI2015_001,11,20260727,covtoken,2.0,0.0,False
BNCI2015_001,11,20260728,varmod,2.0,0.0033,False
BNCI2015_001,11,20260728,covtoken,1.0,0.03,False
BNCI2015_001,12,0,varmod,2.0,0.0275,False
BNCI2015_001,12,0,covtoken,1.0,-0.0125,False
BNCI2015_001,12,20260721,varmod,1.0,0.0025,False
BNCI2015_001,12,20260721,covtoken,1.0,0.025,False
BNCI2015_001,12,20260722,varmod,2.0,0.0225,False
BNCI2015_001,12,20260722,covtoken,1.0,0.0675,False
BNCI2015_001,12,20260723,varmod,2.0,0.015,False
BNCI2015_001,12,20260723,covtoken,2.0,-0.0175,False
BNCI2015_001,12,20260724,varmod,2.0,0.02,False
BNCI2015_001,12,20260724,covtoken,1.0,-0.0025,False
BNCI2015_001,12,20260725,varmod,1.0,0.045,False
BNCI2015_001,12,20260725,covtoken,2.0,0.01,False
BNCI2015_001,12,20260726,varmod,1.0,0.02,False
BNCI2015_001,12,20260726,covtoken,2.0,0.0,False
BNCI2015_001,12,20260727,varmod,1.0,0.0025,False
BNCI2015_001,12,20260727,covtoken,1.0,-0.0075,False
BNCI2015_001,12,20260728,varmod,1.0,-0.0125,False
BNCI2015_001,12,20260728,covtoken,1.0,0.03,False
BNCI2015_001,1,0,varmod,2.0,0.06,False
BNCI2015_001,1,0,covtoken,2.0,0.075,False
BNCI2015_001,1,20260721,varmod,1.0,-0.03,False
BNCI2015_001,1,20260721,covtoken,1.0,-0.0075,False
BNCI2015_001,1,20260722,varmod,2.0,0.0475,False
BNCI2015_001,1,20260722,covtoken,1.0,-0.0375,False
BNCI2015_001,1,20260723,varmod,2.0,0.0575,False
BNCI2015_001,1,20260723,covtoken,1.0,-0.0125,False
BNCI2015_001,1,20260724,varmod,1.0,-0.0275,False
BNCI2015_001,1,20260724,covtoken,1.0,-0.005,False
BNCI2015_001,1,20260725,varmod,1.0,-0.03,False
BNCI2015_001,1,20260725,covtoken,1.0,-0.015,False
BNCI2015_001,1,20260726,varmod,2.0,0.0375,False
BNCI2015_001,1,20260726,covtoken,1.0,0.0,False
BNCI2015_001,1,20260727,varmod,1.0,-0.045,False
BNCI2015_001,1,20260727,covtoken,2.0,0.03,False
BNCI2015_001,1,20260728,varmod,2.0,0.0375,False
BNCI2015_001,1,20260728,covtoken,1.0,-0.0175,False
BNCI2015_001,2,0,varmod,1.0,0.16,False
BNCI2015_001,2,0,covtoken,2.0,0.17,False
BNCI2015_001,2,20260721,varmod,1.0,0.0325,False
BNCI2015_001,2,20260721,covtoken,1.0,0.0675,False
BNCI2015_001,2,20260722,varmod,1.0,0.075,False
BNCI2015_001,2,20260722,covtoken,2.0,0.1775,False
BNCI2015_001,2,20260723,varmod,1.0,0.0775,False
BNCI2015_001,2,20260723,covtoken,2.0,0.1725,False
BNCI2015_001,2,20260724,varmod,2.0,0.19,False
BNCI2015_001,2,20260724,covtoken,1.0,0.0825,False
BNCI2015_001,2,20260725,varmod,1.0,0.065,False
BNCI2015_001,2,20260725,covtoken,1.0,0.0725,False
BNCI2015_001,2,20260726,varmod,1.0,0.08,False
BNCI2015_001,2,20260726,covtoken,1.0,0.035,False
BNCI2015_001,2,20260727,varmod,2.0,0.1675,False
BNCI2015_001,2,20260727,covtoken,2.0,0.11,False
BNCI2015_001,2,20260728,varmod,1.0,0.0675,False
BNCI2015_001,2,20260728,covtoken,1.0,0.0975,False
BNCI2015_001,3,0,varmod,1.0,-0.1025,False
BNCI2015_001,3,0,covtoken,1.0,-0.105,False
BNCI2015_001,3,20260721,varmod,1.0,-0.12,False
BNCI2015_001,3,20260721,covtoken,2.0,-0.065,False
BNCI2015_001,3,20260722,varmod,2.0,-0.0275,False
BNCI2015_001,3,20260722,covtoken,1.0,-0.085,False
BNCI2015_001,3,20260723,varmod,2.0,-0.1525,False
BNCI2015_001,3,20260723,covtoken,2.0,-0.01,False
BNCI2015_001,3,20260724,varmod,2.0,0.0125,False
BNCI2015_001,3,20260724,covtoken,1.0,-0.1,False
BNCI2015_001,3,20260725,varmod,1.0,-0.1225,False
BNCI2015_001,3,20260725,covtoken,2.0,-0.12,False
BNCI2015_001,3,20260726,varmod,1.0,-0.0825,False
BNCI2015_001,3,20260726,covtoken,2.0,-0.0625,False
BNCI2015_001,3,20260727,varmod,2.0,-0.0075,False
BNCI2015_001,3,20260727,covtoken,1.0,-0.1225,False
BNCI2015_001,3,20260728,varmod,2.0,-0.1275,False
BNCI2015_001,3,20260728,covtoken,2.0,-0.0325,False
BNCI2015_001,4,0,varmod,1.0,0.0625,False
BNCI2015_001,4,0,covtoken,1.0,0.07,False
BNCI2015_001,4,20260721,varmod,1.0,0.0725,False
BNCI2015_001,4,20260721,covtoken,1.0,0.075,False
BNCI2015_001,4,20260722,varmod,1.0,0.0575,False
BNCI2015_001,4,20260722,covtoken,2.0,0.1925,False
BNCI2015_001,4,20260723,varmod,1.0,0.0525,False
BNCI2015_001,4,20260723,covtoken,1.0,0.035,False
BNCI2015_001,4,20260724,varmod,1.0,0.065,False
BNCI2015_001,4,20260724,covtoken,2.0,0.1925,False
BNCI2015_001,4,20260725,varmod,1.0,0.045,False
BNCI2015_001,4,20260725,covtoken,1.0,0.04,False
BNCI2015_001,4,20260726,varmod,1.0,0.055,False
BNCI2015_001,4,20260726,covtoken,2.0,0.1975,False
BNCI2015_001,4,20260727,varmod,1.0,0.0925,False
BNCI2015_001,4,20260727,covtoken,2.0,0.165,False
BNCI2015_001,4,20260728,varmod,2.0,0.1725,False
BNCI2015_001,4,20260728,covtoken,1.0,0.09,False
BNCI2015_001,5,0,varmod,2.0,0.235,False
BNCI2015_001,5,0,covtoken,1.0,0.1475,False
BNCI2015_001,5,20260721,varmod,2.0,0.235,False
BNCI2015_001,5,20260721,covtoken,1.0,0.1775,False
BNCI2015_001,5,20260722,varmod,2.0,0.24,False
BNCI2015_001,5,20260722,covtoken,1.0,0.2,False
BNCI2015_001,5,20260723,varmod,1.0,0.135,False
BNCI2015_001,5,20260723,covtoken,1.0,0.17,False
BNCI2015_001,5,20260724,varmod,2.0,0.235,False
BNCI2015_001,5,20260724,covtoken,2.0,0.2175,False
BNCI2015_001,5,20260725,varmod,2.0,0.1775,False
BNCI2015_001,5,20260725,covtoken,1.0,0.1425,False
BNCI2015_001,5,20260726,varmod,2.0,0.225,False
BNCI2015_001,5,20260726,covtoken,1.0,0.165,False
BNCI2015_001,5,20260727,varmod,2.0,0.225,False
BNCI2015_001,5,20260727,covtoken,1.0,0.205,False
BNCI2015_001,5,20260728,varmod,1.0,0.1625,False
BNCI2015_001,5,20260728,covtoken,2.0,0.2075,False
BNCI2015_001,6,0,varmod,1.0,0.0425,False
BNCI2015_001,6,0,covtoken,1.0,0.0475,False
BNCI2015_001,6,20260721,varmod,1.0,0.005,False
BNCI2015_001,6,20260721,covtoken,1.0,0.05,False
BNCI2015_001,6,20260722,varmod,2.0,0.1575,False
BNCI2015_001,6,20260722,covtoken,2.0,0.1125,False
BNCI2015_001,6,20260723,varmod,2.0,0.115,False
BNCI2015_001,6,20260723,covtoken,2.0,0.0825,False
BNCI2015_001,6,20260724,varmod,1.0,0.0375,False
BNCI2015_001,6,20260724,covtoken,1.0,0.025,False
BNCI2015_001,6,20260725,varmod,1.0,0.01,False
BNCI2015_001,6,20260725,covtoken,1.0,0.0325,False
BNCI2015_001,6,20260726,varmod,2.0,0.115,False
BNCI2015_001,6,20260726,covtoken,1.0,0.0525,False
BNCI2015_001,6,20260727,varmod,1.0,0.0225,False
BNCI2015_001,6,20260727,covtoken,2.0,0.09,False
BNCI2015_001,6,20260728,varmod,2.0,0.16,False
BNCI2015_001,6,20260728,covtoken,1.0,0.055,False
BNCI2015_001,7,0,varmod,3.0,-0.005,False
BNCI2015_001,7,0,covtoken,1.0,-0.0625,False
BNCI2015_001,7,20260721,varmod,1.0,-0.065,False
BNCI2015_001,7,20260721,covtoken,1.0,-0.0125,False
BNCI2015_001,7,20260722,varmod,1.0,-0.07,False
BNCI2015_001,7,20260722,covtoken,1.0,-0.05,False
BNCI2015_001,7,20260723,varmod,2.0,-0.0275,False
BNCI2015_001,7,20260723,covtoken,1.0,-0.04,False
BNCI2015_001,7,20260724,varmod,1.0,-0.05,False
BNCI2015_001,7,20260724,covtoken,1.0,-0.0425,False
BNCI2015_001,7,20260725,varmod,1.0,-0.0425,False
BNCI2015_001,7,20260725,covtoken,1.0,-0.0475,False
BNCI2015_001,7,20260726,varmod,1.0,-0.0425,False
BNCI2015_001,7,20260726,covtoken,2.0,-0.0375,False
BNCI2015_001,7,20260727,varmod,2.0,-0.0475,False
BNCI2015_001,7,20260727,covtoken,1.0,-0.06,False
BNCI2015_001,7,20260728,varmod,1.0,-0.025,False
BNCI2015_001,7,20260728,covtoken,2.0,-0.0075,False
BNCI2015_001,8,0,varmod,1.0,-0.0217,False
BNCI2015_001,8,0,covtoken,2.0,-0.045,False
BNCI2015_001,8,20260721,varmod,2.0,-0.0383,False
BNCI2015_001,8,20260721,covtoken,2.0,-0.0183,False
BNCI2015_001,8,20260722,varmod,1.0,-0.0267,False
BNCI2015_001,8,20260722,covtoken,2.0,-0.06,False
BNCI2015_001,8,20260723,varmod,2.0,-0.0483,False
BNCI2015_001,8,20260723,covtoken,1.0,-0.01,False
BNCI2015_001,8,20260724,varmod,1.0,-0.0283,False
BNCI2015_001,8,20260724,covtoken,2.0,-0.0167,False
BNCI2015_001,8,20260725,varmod,2.0,-0.015,False
BNCI2015_001,8,20260725,covtoken,1.0,-0.0183,False
BNCI2015_001,8,20260726,varmod,1.0,-0.015,False
BNCI2015_001,8,20260726,covtoken,1.0,-0.0033,False
BNCI2015_001,8,20260727,varmod,2.0,-0.0283,False
BNCI2015_001,8,20260727,covtoken,2.0,-0.0167,False
BNCI2015_001,8,20260728,varmod,2.0,-0.0167,False
BNCI2015_001,8,20260728,covtoken,1.0,-0.035,False
BNCI2015_001,9,0,varmod,2.0,0.085,False
BNCI2015_001,9,0,covtoken,2.0,0.0833,False
BNCI2015_001,9,20260721,varmod,1.0,0.1,False
BNCI2015_001,9,20260721,covtoken,2.0,0.1167,False
BNCI2015_001,9,20260722,varmod,1.0,0.09,False
BNCI2015_001,9,20260722,covtoken,1.0,0.075,False
BNCI2015_001,9,20260723,varmod,2.0,0.1283,False
BNCI2015_001,9,20260723,covtoken,2.0,0.1217,False
BNCI2015_001,9,20260724,varmod,2.0,0.1283,False
BNCI2015_001,9,20260724,covtoken,2.0,0.0967,False
BNCI2015_001,9,20260725,varmod,1.0,0.0833,False
BNCI2015_001,9,20260725,covtoken,1.0,0.0867,False
BNCI2015_001,9,20260726,varmod,2.0,0.0883,False
BNCI2015_001,9,20260726,covtoken,2.0,0.1067,False
BNCI2015_001,9,20260727,varmod,2.0,0.09,False
BNCI2015_001,9,20260727,covtoken,2.0,0.1183,False
BNCI2015_001,9,20260728,varmod,1.0,0.12,False
BNCI2015_001,9,20260728,covtoken,2.0,0.1317,False
