dataset,method,seed,fold,target_subject,representation,k,task_head_alignment,head_replay_ok
BNCI2014_001,erm,1,3,4,graph_z,4,0.012654360726433058,True
BNCI2014_001,erm,1,3,4,graph_z,8,0.188036259217722,True
BNCI2014_001,erm,1,4,5,graph_z,1,0.0014902350236998365,True
BNCI2014_001,erm,1,4,5,graph_z,2,0.002180058378137186,True
BNCI2014_001,erm,1,4,5,graph_z,4,0.008183432345716566,True
BNCI2014_001,erm,1,4,5,graph_z,8,0.1775171563800983,True
BNCI2014_001,erm,1,5,6,graph_z,1,0.002561687123840275,True
BNCI2014_001,erm,1,5,6,graph_z,2,0.005831146476974542,True
BNCI2014_001,erm,1,5,6,graph_z,4,0.018924698294261525,True
BNCI2014_001,erm,1,5,6,graph_z,8,0.19986891265567036,True
BNCI2014_001,erm,1,6,7,graph_z,1,0.002568424890628588,True
BNCI2014_001,erm,1,6,7,graph_z,2,0.004529662888391885,True
BNCI2014_001,erm,1,6,7,graph_z,4,0.006133993068496135,True
BNCI2014_001,erm,1,6,7,graph_z,8,0.1972458857980628,True
BNCI2014_001,erm,1,7,8,graph_z,1,0.005288853886826198,True
BNCI2014_001,erm,1,7,8,graph_z,2,0.007649113840492605,True
BNCI2014_001,erm,1,7,8,graph_z,4,0.015776072453170694,True
BNCI2014_001,erm,1,7,8,graph_z,8,0.15209890012054428,True
BNCI2014_001,erm,1,8,9,graph_z,1,0.007994618336643887,True
BNCI2014_001,erm,1,8,9,graph_z,2,0.009745936540318365,True
BNCI2014_001,erm,1,8,9,graph_z,4,0.02475416177452069,True
BNCI2014_001,erm,1,8,9,graph_z,8,0.13224410874252965,True
BNCI2014_001,erm,2,0,1,graph_z,1,0.0010449731785932073,True
BNCI2014_001,erm,2,0,1,graph_z,2,0.0017376829891870716,True
BNCI2014_001,erm,2,0,1,graph_z,4,0.007854447641390254,True
BNCI2014_001,erm,2,0,1,graph_z,8,0.1703774319085214,True
BNCI2014_001,erm,2,1,2,graph_z,1,0.0009358807413110545,True
BNCI2014_001,erm,2,1,2,graph_z,2,0.001493358603444315,True
BNCI2014_001,erm,2,1,2,graph_z,4,0.009986665459759844,True
BNCI2014_001,erm,2,1,2,graph_z,8,0.1517441230850745,True
BNCI2014_001,erm,2,2,3,graph_z,1,0.0014705079589771397,True
BNCI2014_001,erm,2,2,3,graph_z,2,0.0017166910127107563,True
BNCI2014_001,erm,2,2,3,graph_z,4,0.023210455227115775,True
BNCI2014_001,erm,2,2,3,graph_z,8,0.12012390883573337,True
BNCI2014_001,erm,2,3,4,graph_z,1,0.001097964629120884,True
BNCI2014_001,erm,2,3,4,graph_z,2,0.0014806890227654814,True
BNCI2014_001,erm,2,3,4,graph_z,4,0.02438809766037892,True
BNCI2014_001,erm,2,3,4,graph_z,8,0.08556802810199139,True
BNCI2014_001,erm,2,4,5,graph_z,1,0.004022106037082498,True
BNCI2014_001,erm,2,4,5,graph_z,2,0.005130946352496062,True
BNCI2014_001,erm,2,4,5,graph_z,4,0.008808925552984783,True
BNCI2014_001,erm,2,4,5,graph_z,8,0.17832552032796906,True
BNCI2014_001,erm,2,5,6,graph_z,1,0.0021806711699474675,True
BNCI2014_001,erm,2,5,6,graph_z,2,0.004843151287689233,True
BNCI2014_001,erm,2,5,6,graph_z,4,0.01571724331874322,True
BNCI2014_001,erm,2,5,6,graph_z,8,0.09542749550763686,True
BNCI2014_001,erm,2,6,7,graph_z,1,0.0011751987122203753,True
BNCI2014_001,erm,2,6,7,graph_z,2,0.0018830716460665202,True
BNCI2014_001,erm,2,6,7,graph_z,4,0.010814662869846604,True
BNCI2014_001,erm,2,6,7,graph_z,8,0.12536242809021705,True
BNCI2014_001,erm,2,7,8,graph_z,1,0.0026663463480540543,True
BNCI2014_001,erm,2,7,8,graph_z,2,0.0046257005978032045,True
BNCI2014_001,erm,2,7,8,graph_z,4,0.02005702092614971,True
BNCI2014_001,erm,2,7,8,graph_z,8,0.15819235866770417,True
BNCI2014_001,erm,2,8,9,graph_z,1,0.00045802276801821157,True
BNCI2014_001,erm,2,8,9,graph_z,2,0.004019230280895339,True
BNCI2014_001,erm,2,8,9,graph_z,4,0.03252044112622267,True
BNCI2014_001,erm,2,8,9,graph_z,8,0.19125424971892552,True
BNCI2014_001,cigl_graph_node,0,0,1,graph_z,1,0.016035625127576347,True
BNCI2014_001,cigl_graph_node,0,0,1,graph_z,2,0.016646606740176203,True
BNCI2014_001,cigl_graph_node,0,0,1,graph_z,4,0.025472714666467368,True
BNCI2014_001,cigl_graph_node,0,0,1,graph_z,8,0.4590884654046799,True
BNCI2014_001,cigl_graph_node,0,1,2,graph_z,1,0.003156963950134339,True
BNCI2014_001,cigl_graph_node,0,1,2,graph_z,2,0.006625995141973174,True
BNCI2014_001,cigl_graph_node,0,1,2,graph_z,4,0.028572134937487708,True
BNCI2014_001,cigl_graph_node,0,1,2,graph_z,8,0.3232882336871971,True
BNCI2014_001,cigl_graph_node,0,2,3,graph_z,1,0.028317111473034142,True
BNCI2014_001,cigl_graph_node,0,2,3,graph_z,2,0.049236356748330184,True
BNCI2014_001,cigl_graph_node,0,2,3,graph_z,4,0.0878220262476564,True
BNCI2014_001,cigl_graph_node,0,2,3,graph_z,8,0.3767019500961469,True
BNCI2014_001,cigl_graph_node,0,3,4,graph_z,1,0.0031282496608597984,True
BNCI2014_001,cigl_graph_node,0,3,4,graph_z,2,0.02949492684586832,True
BNCI2014_001,cigl_graph_node,0,3,4,graph_z,4,0.05226228794358448,True
BNCI2014_001,cigl_graph_node,0,3,4,graph_z,8,0.3182145082997246,True
BNCI2014_001,cigl_graph_node,0,4,5,graph_z,1,0.011792782340244416,True
BNCI2014_001,cigl_graph_node,0,4,5,graph_z,2,0.02441762045522593,True
BNCI2014_001,cigl_graph_node,0,4,5,graph_z,4,0.18851318573461082,True
BNCI2014_001,cigl_graph_node,0,4,5,graph_z,8,0.4040873014872885,True
BNCI2014_001,cigl_graph_node,0,5,6,graph_z,1,0.014820853335144168,True
BNCI2014_001,cigl_graph_node,0,5,6,graph_z,2,0.01870544533519162,True
BNCI2014_001,cigl_graph_node,0,5,6,graph_z,4,0.06805892683446776,True
BNCI2014_001,cigl_graph_node,0,5,6,graph_z,8,0.28391773394747977,True
BNCI2014_001,cigl_graph_node,0,6,7,graph_z,1,0.005408289158447048,True
BNCI2014_001,cigl_graph_node,0,6,7,graph_z,2,0.023928714150817872,True
BNCI2014_001,cigl_graph_node,0,6,7,graph_z,4,0.28750978473051,True
BNCI2014_001,cigl_graph_node,0,6,7,graph_z,8,0.49667468390702996,True
BNCI2014_001,cigl_graph_node,0,7,8,graph_z,1,0.034866215375081416,True
BNCI2014_001,cigl_graph_node,0,7,8,graph_z,2,0.03953831356826459,True
BNCI2014_001,cigl_graph_node,0,7,8,graph_z,4,0.15752065229525086,True
BNCI2014_001,cigl_graph_node,0,7,8,graph_z,8,0.4188324780921026,True
BNCI2014_001,cigl_graph_node,0,8,9,graph_z,1,0.046171760930878165,True
BNCI2014_001,cigl_graph_node,0,8,9,graph_z,2,0.11959304748877018,True
BNCI2014_001,cigl_graph_node,0,8,9,graph_z,4,0.18717910235879975,True
BNCI2014_001,cigl_graph_node,0,8,9,graph_z,8,0.48020952851788307,True
BNCI2014_001,cigl_graph_node,1,0,1,graph_z,1,0.0029867116780242886,True
BNCI2014_001,cigl_graph_node,1,0,1,graph_z,2,0.005286366776244905,True
BNCI2014_001,cigl_graph_node,1,0,1,graph_z,4,0.053619748855531654,True
BNCI2014_001,cigl_graph_node,1,0,1,graph_z,8,0.46025796227298343,True
BNCI2014_001,cigl_graph_node,1,1,2,graph_z,1,0.002524333574014376,True
BNCI2014_001,cigl_graph_node,1,1,2,graph_z,2,0.009693344715477463,True
BNCI2014_001,cigl_graph_node,1,1,2,graph_z,4,0.016125339415596938,True
BNCI2014_001,cigl_graph_node,1,1,2,graph_z,8,0.33759432790908495,True
BNCI2014_001,cigl_graph_node,1,2,3,graph_z,1,0.003414021174160307,True
BNCI2014_001,cigl_graph_node,1,2,3,graph_z,2,0.07014296190346779,True
BNCI2014_001,cigl_graph_node,1,2,3,graph_z,4,0.18409535209712066,True
BNCI2014_001,cigl_graph_node,1,2,3,graph_z,8,0.7144815730509742,True
BNCI2014_001,cigl_graph_node,1,3,4,graph_z,1,0.00431669571782276,True
BNCI2014_001,cigl_graph_node,1,3,4,graph_z,2,0.022743967413987543,True
BNCI2014_001,cigl_graph_node,1,3,4,graph_z,4,0.0560815298968478,True
BNCI2014_001,cigl_graph_node,1,3,4,graph_z,8,0.3419148220415904,True
BNCI2014_001,cigl_graph_node,1,4,5,graph_z,1,0.003670745232329389,True
BNCI2014_001,cigl_graph_node,1,4,5,graph_z,2,0.05397467939703612,True
BNCI2014_001,cigl_graph_node,1,4,5,graph_z,4,0.20359140973765597,True
BNCI2014_001,cigl_graph_node,1,4,5,graph_z,8,0.4368415953075546,True
BNCI2014_001,cigl_graph_node,1,5,6,graph_z,1,0.002779812307548028,True
BNCI2014_001,cigl_graph_node,1,5,6,graph_z,2,0.011157225227117354,True
BNCI2014_001,cigl_graph_node,1,5,6,graph_z,4,0.1550181358283899,True
BNCI2014_001,cigl_graph_node,1,5,6,graph_z,8,0.5022377106324774,True
BNCI2014_001,cigl_graph_node,1,6,7,graph_z,1,0.0027798588739424705,True
BNCI2014_001,cigl_graph_node,1,6,7,graph_z,2,0.016175257009531548,True
BNCI2014_001,cigl_graph_node,1,6,7,graph_z,4,0.09268603043207907,True
BNCI2014_001,cigl_graph_node,1,6,7,graph_z,8,0.5013244811786489,True
BNCI2014_001,cigl_graph_node,1,7,8,graph_z,1,0.002805151641924924,True
BNCI2014_001,cigl_graph_node,1,7,8,graph_z,2,0.024591863745848222,True
BNCI2014_001,cigl_graph_node,1,7,8,graph_z,4,0.16452117808622646,True
BNCI2014_001,cigl_graph_node,1,7,8,graph_z,8,0.34923184200664553,True
BNCI2014_001,cigl_graph_node,1,8,9,graph_z,1,0.017420516413379657,True
BNCI2014_001,cigl_graph_node,1,8,9,graph_z,2,0.01781659258572211,True
BNCI2014_001,cigl_graph_node,1,8,9,graph_z,4,0.11959155905441252,True
BNCI2014_001,cigl_graph_node,1,8,9,graph_z,8,0.40506615664259155,True
BNCI2014_001,cigl_graph_node,2,0,1,graph_z,1,0.004553961845106665,True
BNCI2014_001,cigl_graph_node,2,0,1,graph_z,2,0.04410968653127269,True
BNCI2014_001,cigl_graph_node,2,0,1,graph_z,4,0.15280430357923477,True
BNCI2014_001,cigl_graph_node,2,0,1,graph_z,8,0.525880042633482,True
BNCI2014_001,cigl_graph_node,2,1,2,graph_z,1,0.0053554803795116315,True
BNCI2014_001,cigl_graph_node,2,1,2,graph_z,2,0.0064026101049418456,True
BNCI2014_001,cigl_graph_node,2,1,2,graph_z,4,0.17941732712027703,True
BNCI2014_001,cigl_graph_node,2,1,2,graph_z,8,0.41505704917016933,True
BNCI2014_001,cigl_graph_node,2,2,3,graph_z,1,0.042346280698527736,True
BNCI2014_001,cigl_graph_node,2,2,3,graph_z,2,0.04279079955091989,True
BNCI2014_001,cigl_graph_node,2,2,3,graph_z,4,0.3816930459508786,True
BNCI2014_001,cigl_graph_node,2,2,3,graph_z,8,0.6696442005171082,True
BNCI2014_001,cigl_graph_node,2,3,4,graph_z,1,0.0034934090004552568,True
BNCI2014_001,cigl_graph_node,2,3,4,graph_z,2,0.006755505782884804,True
BNCI2014_001,cigl_graph_node,2,3,4,graph_z,4,0.17305558606792212,True
BNCI2014_001,cigl_graph_node,2,3,4,graph_z,8,0.4056302528647343,True
BNCI2014_001,cigl_graph_node,2,4,5,graph_z,1,0.006269867067166299,True
BNCI2014_001,cigl_graph_node,2,4,5,graph_z,2,0.028139034823501528,True
BNCI2014_001,cigl_graph_node,2,4,5,graph_z,4,0.16981545110057203,True
BNCI2014_001,cigl_graph_node,2,4,5,graph_z,8,0.3566107384509592,True
BNCI2014_001,cigl_graph_node,2,5,6,graph_z,1,0.022727244569833667,True
BNCI2014_001,cigl_graph_node,2,5,6,graph_z,2,0.04240062460464028,True
BNCI2014_001,cigl_graph_node,2,5,6,graph_z,4,0.10122125344765313,True
BNCI2014_001,cigl_graph_node,2,5,6,graph_z,8,0.4511754710930916,True
BNCI2014_001,cigl_graph_node,2,6,7,graph_z,1,0.00730575799159944,True
BNCI2014_001,cigl_graph_node,2,6,7,graph_z,2,0.06579532987456924,True
BNCI2014_001,cigl_graph_node,2,6,7,graph_z,4,0.27369477182912405,True
BNCI2014_001,cigl_graph_node,2,6,7,graph_z,8,0.5126461822653648,True
BNCI2014_001,cigl_graph_node,2,7,8,graph_z,1,0.0015360453823140365,True
BNCI2014_001,cigl_graph_node,2,7,8,graph_z,2,0.014926471106917766,True
BNCI2014_001,cigl_graph_node,2,7,8,graph_z,4,0.10386495078974421,True
BNCI2014_001,cigl_graph_node,2,7,8,graph_z,8,0.48094371239843614,True
BNCI2014_001,cigl_graph_node,2,8,9,graph_z,1,0.0023935882094177903,True
BNCI2014_001,cigl_graph_node,2,8,9,graph_z,2,0.05605175429444701,True
BNCI2014_001,cigl_graph_node,2,8,9,graph_z,4,0.16642907659836292,True
BNCI2014_001,cigl_graph_node,2,8,9,graph_z,8,0.37582457221467885,True
BNCI2014_001,cdan,0,0,1,graph_z,1,0.001646329233187985,True
BNCI2014_001,cdan,0,0,1,graph_z,2,0.011779471973504554,True
BNCI2014_001,cdan,0,0,1,graph_z,4,0.01579524767805795,True
BNCI2014_001,cdan,0,0,1,graph_z,8,0.09451553513051886,True
BNCI2014_001,cdan,0,1,2,graph_z,1,0.011508755605364566,True
BNCI2014_001,cdan,0,1,2,graph_z,2,0.012968343036818718,True
BNCI2014_001,cdan,0,1,2,graph_z,4,0.024605026811401698,True
BNCI2014_001,cdan,0,1,2,graph_z,8,0.07101810230151033,True
BNCI2014_001,cdan,0,2,3,graph_z,1,0.006427898573289888,True
BNCI2014_001,cdan,0,2,3,graph_z,2,0.008742916049802426,True
BNCI2014_001,cdan,0,2,3,graph_z,4,0.01425621977496956,True
BNCI2014_001,cdan,0,2,3,graph_z,8,0.049224548399490885,True
BNCI2014_001,cdan,0,3,4,graph_z,1,0.006463252912878722,True
BNCI2014_001,cdan,0,3,4,graph_z,2,0.007417609062500302,True
BNCI2014_001,cdan,0,3,4,graph_z,4,0.02172523670011146,True
BNCI2014_001,cdan,0,3,4,graph_z,8,0.07079886816562972,True
BNCI2014_001,cdan,0,4,5,graph_z,1,0.0025273048588138956,True
BNCI2014_001,cdan,0,4,5,graph_z,2,0.011067461363279942,True
BNCI2014_001,cdan,0,4,5,graph_z,4,0.013145352707174313,True
BNCI2014_001,cdan,0,4,5,graph_z,8,0.059418469648592265,True
BNCI2014_001,cdan,0,5,6,graph_z,1,0.0021549233557489355,True
BNCI2014_001,cdan,0,5,6,graph_z,2,0.005611300618535348,True
BNCI2014_001,cdan,0,5,6,graph_z,4,0.018282238371865777,True
BNCI2014_001,cdan,0,5,6,graph_z,8,0.08854104121800505,True
BNCI2014_001,cdan,0,6,7,graph_z,1,0.013037118078865604,True
BNCI2014_001,cdan,0,6,7,graph_z,2,0.01683666292638478,True
BNCI2014_001,cdan,0,6,7,graph_z,4,0.022539388804759603,True
BNCI2014_001,cdan,0,6,7,graph_z,8,0.04034102077242974,True
BNCI2014_001,cdan,0,7,8,graph_z,1,0.0004892070101954695,True
BNCI2014_001,cdan,0,7,8,graph_z,2,0.008209076568653361,True
BNCI2014_001,cdan,0,7,8,graph_z,4,0.010575872678402648,True
BNCI2014_001,cdan,0,7,8,graph_z,8,0.05322252041775656,True
BNCI2014_001,cdan,0,8,9,graph_z,1,0.02171496610000687,True
BNCI2014_001,cdan,0,8,9,graph_z,2,0.023099709565979575,True
BNCI2014_001,cdan,0,8,9,graph_z,4,0.02715634535510623,True
BNCI2014_001,cdan,0,8,9,graph_z,8,0.09086690703970433,True
BNCI2014_001,cdan,1,0,1,graph_z,1,0.009077691243618796,True
BNCI2014_001,cdan,1,0,1,graph_z,2,0.011912035431508185,True
BNCI2014_001,cdan,1,0,1,graph_z,4,0.018228684505264207,True
BNCI2014_001,cdan,1,0,1,graph_z,8,0.07546027658686107,True
BNCI2014_001,cdan,1,1,2,graph_z,1,0.001093611827039627,True
BNCI2014_001,cdan,1,1,2,graph_z,2,0.007668782707504059,True
BNCI2014_001,cdan,1,1,2,graph_z,4,0.012197129865684598,True
BNCI2014_001,cdan,1,1,2,graph_z,8,0.05378761692302869,True
BNCI2014_001,cdan,1,2,3,graph_z,1,0.004169373390567917,True
BNCI2014_001,cdan,1,2,3,graph_z,2,0.0050098832859645295,True
BNCI2014_001,cdan,1,2,3,graph_z,4,0.012159492340967129,True
BNCI2014_001,cdan,1,2,3,graph_z,8,0.072021446846668,True
BNCI2014_001,cdan,1,3,4,graph_z,1,0.002226213739814631,True
BNCI2014_001,cdan,1,3,4,graph_z,2,0.005330135969540533,True
BNCI2014_001,cdan,1,3,4,graph_z,4,0.009373233216145898,True
BNCI2014_001,cdan,1,3,4,graph_z,8,0.042359311708926935,True
BNCI2014_001,cdan,1,4,5,graph_z,1,0.005705621830388668,True
BNCI2014_001,cdan,1,4,5,graph_z,2,0.008237264313262447,True
BNCI2014_001,cdan,1,4,5,graph_z,4,0.020112031210930918,True
BNCI2014_001,cdan,1,4,5,graph_z,8,0.08531209904665854,True
BNCI2014_001,cdan,1,5,6,graph_z,1,0.002133041413021856,True
BNCI2014_001,cdan,1,5,6,graph_z,2,0.002435175275485943,True
BNCI2014_001,cdan,1,5,6,graph_z,4,0.004945173510925594,True
BNCI2014_001,cdan,1,5,6,graph_z,8,0.05675085032221967,True
BNCI2014_001,cdan,1,6,7,graph_z,1,0.00015223379516526078,True
BNCI2014_001,cdan,1,6,7,graph_z,2,0.011795638303926517,True
BNCI2014_001,cdan,1,6,7,graph_z,4,0.015906791628503593,True
BNCI2014_001,cdan,1,6,7,graph_z,8,0.11941373036707352,True
BNCI2014_001,cdan,1,7,8,graph_z,1,0.008944593463286472,True
BNCI2014_001,cdan,1,7,8,graph_z,2,0.01243723015990402,True
BNCI2014_001,cdan,1,7,8,graph_z,4,0.018511888004775493,True
BNCI2014_001,cdan,1,7,8,graph_z,8,0.0352898545426932,True
BNCI2014_001,cdan,1,8,9,graph_z,1,0.0014201562337663922,True
BNCI2014_001,cdan,1,8,9,graph_z,2,0.008823982518477822,True
BNCI2014_001,cdan,1,8,9,graph_z,4,0.013555528869257294,True
BNCI2014_001,cdan,1,8,9,graph_z,8,0.0397183854033508,True
BNCI2014_001,cdan,2,0,1,graph_z,1,0.0011363920201218915,True
BNCI2014_001,cdan,2,0,1,graph_z,2,0.0023101691668733293,True
BNCI2014_001,cdan,2,0,1,graph_z,4,0.025407346813798484,True
BNCI2014_001,cdan,2,0,1,graph_z,8,0.08972017322091122,True
BNCI2014_001,cdan,2,1,2,graph_z,1,0.005232442260378463,True
BNCI2014_001,cdan,2,1,2,graph_z,2,0.005429271157551615,True
BNCI2014_001,cdan,2,1,2,graph_z,4,0.013461363188096667,True
BNCI2014_001,cdan,2,1,2,graph_z,8,0.029240135452518835,True
BNCI2014_001,cdan,2,2,3,graph_z,1,0.01795261529893866,True
BNCI2014_001,cdan,2,2,3,graph_z,2,0.02169088615771438,True
BNCI2014_001,cdan,2,2,3,graph_z,4,0.03868983818501679,True
BNCI2014_001,cdan,2,2,3,graph_z,8,0.07520258276733018,True
BNCI2014_001,cdan,2,3,4,graph_z,1,0.00781954503850738,True
BNCI2014_001,cdan,2,3,4,graph_z,2,0.018892372976383492,True
BNCI2014_001,cdan,2,3,4,graph_z,4,0.02685405699176275,True
BNCI2014_001,cdan,2,3,4,graph_z,8,0.09559188379910907,True
BNCI2014_001,cdan,2,4,5,graph_z,1,0.0019283940990988133,True
BNCI2014_001,cdan,2,4,5,graph_z,2,0.008181228785354017,True
BNCI2014_001,cdan,2,4,5,graph_z,4,0.024647698086959956,True
BNCI2014_001,cdan,2,4,5,graph_z,8,0.07604590858616728,True
BNCI2014_001,cdan,2,5,6,graph_z,1,0.002849335949155391,True
BNCI2014_001,cdan,2,5,6,graph_z,2,0.00782639735150944,True
BNCI2014_001,cdan,2,5,6,graph_z,4,0.03327260985214927,True
BNCI2014_001,cdan,2,5,6,graph_z,8,0.1003319091559779,True
BNCI2014_001,cdan,2,6,7,graph_z,1,0.003973331751888731,True
BNCI2014_001,cdan,2,6,7,graph_z,2,0.008569778867091456,True
BNCI2014_001,cdan,2,6,7,graph_z,4,0.01358849164318017,True
BNCI2014_001,cdan,2,6,7,graph_z,8,0.04412387111014071,True
BNCI2014_001,cdan,2,7,8,graph_z,1,0.004914909485195381,True
BNCI2014_001,cdan,2,7,8,graph_z,2,0.023416553903105028,True
BNCI2014_001,cdan,2,7,8,graph_z,4,0.03643795315445387,True
BNCI2014_001,cdan,2,7,8,graph_z,8,0.06812364611021306,True
BNCI2014_001,cdan,2,8,9,graph_z,1,0.006089193425661244,True
BNCI2014_001,cdan,2,8,9,graph_z,2,0.009892568600409386,True
BNCI2014_001,cdan,2,8,9,graph_z,4,0.014063040792419676,True
BNCI2014_001,cdan,2,8,9,graph_z,8,0.04285369757778191,True
BNCI2015_001,erm,0,0,1,graph_z,1,0.022153974988052296,True
BNCI2015_001,erm,0,0,1,graph_z,2,0.029043379123239923,True
BNCI2015_001,erm,0,0,1,graph_z,4,0.09000865609356172,True
BNCI2015_001,erm,0,0,1,graph_z,8,0.5325723191036141,True
BNCI2015_001,erm,0,10,11,graph_z,1,0.03854754455796696,True
BNCI2015_001,erm,0,10,11,graph_z,2,0.040298456693185596,True
BNCI2015_001,erm,0,10,11,graph_z,4,0.07448272560090596,True
BNCI2015_001,erm,0,10,11,graph_z,8,0.3641985180469732,True
BNCI2015_001,erm,0,11,12,graph_z,1,0.05105391135002761,True
BNCI2015_001,erm,0,11,12,graph_z,2,0.05321242216174225,True
BNCI2015_001,erm,0,11,12,graph_z,4,0.16337991616445444,True
BNCI2015_001,erm,0,11,12,graph_z,8,0.36947096488253917,True
BNCI2015_001,erm,0,1,2,graph_z,1,0.025439529203079042,True
BNCI2015_001,erm,0,1,2,graph_z,2,0.0368397129971058,True
BNCI2015_001,erm,0,1,2,graph_z,4,0.17765528649891257,True
BNCI2015_001,erm,0,1,2,graph_z,8,0.3217256347088957,True
BNCI2015_001,erm,0,2,3,graph_z,1,0.005043484923468365,True
BNCI2015_001,erm,0,2,3,graph_z,2,0.04892753160262052,True
BNCI2015_001,erm,0,2,3,graph_z,4,0.26403342040608846,True
BNCI2015_001,erm,0,2,3,graph_z,8,0.33391929006024496,True
BNCI2015_001,erm,0,3,4,graph_z,1,0.04911374593118156,True
BNCI2015_001,erm,0,3,4,graph_z,2,0.07094497467152876,True
BNCI2015_001,erm,0,3,4,graph_z,4,0.17157741981608768,True
BNCI2015_001,erm,0,3,4,graph_z,8,0.3820565244575477,True
BNCI2015_001,erm,0,4,5,graph_z,1,0.03646777702325469,True
BNCI2015_001,erm,0,4,5,graph_z,2,0.05451698748786284,True
BNCI2015_001,erm,0,4,5,graph_z,4,0.12327717666515862,True
BNCI2015_001,erm,0,4,5,graph_z,8,0.35291634047442405,True
BNCI2015_001,erm,0,5,6,graph_z,1,0.034840788376432626,True
BNCI2015_001,erm,0,5,6,graph_z,2,0.034862071258044455,True
BNCI2015_001,erm,0,5,6,graph_z,4,0.11889557022664879,True
BNCI2015_001,erm,0,5,6,graph_z,8,0.3024117559053355,True
BNCI2015_001,erm,0,6,7,graph_z,1,0.047302746573498845,True
BNCI2015_001,erm,0,6,7,graph_z,2,0.047587602143725295,True
BNCI2015_001,erm,0,6,7,graph_z,4,0.1537166190865572,True
BNCI2015_001,erm,0,6,7,graph_z,8,0.21545240031538795,True
BNCI2015_001,erm,0,7,8,graph_z,1,0.02240967852446734,True
BNCI2015_001,erm,0,7,8,graph_z,2,0.024359154072068658,True
BNCI2015_001,erm,0,7,8,graph_z,4,0.06038669451979362,True
BNCI2015_001,erm,0,7,8,graph_z,8,0.4129213873679036,True
