scope,tag,budget_h,seed,fold,pca_dim,rank,projection_overlap,canonical_correlations,principal_angles_deg,max_canonical_correlation,median_principal_angle_deg,heldout_subject_self_capture,heldout_task_self_capture,heldout_subject_on_task_capture,heldout_task_on_subject_capture,subspace_stable
fold,H2000_s0,2000,0,1,128,8,0.009277932362263853,0.181784037586;0.114574894876;0.107852432615;0.0864862860755;0.0674228521209;0.0565374543119;0.0284516226896;0.0196665090719,79.5263077779;83.4208937483;83.8084675324;85.0385024306;86.1340223294;86.7589142375;88.3696220854;88.8731193836,0.18178403758648573,85.58626238001304,0.18048267652840436,0.3226099024290805,0.039808503503733585,0.01068951179368432,True
fold,H2000_s0,2000,0,2,128,8,0.00919818519156024,0.157756036629;0.144699670562;0.121168985229;0.0765612852524;0.0642354062419;0.0469562236583;0.0290625985125;0.00642319314924,80.9233275122;81.6801118322;83.0404271708;85.6090646618;86.3170466004;87.3086169114;88.3346012652;89.6319756109,0.15775603662904328,85.9630556310879,0.18408748291799945,0.21914934010186554,0.038802953921647565,0.011400500917720945,True
fold,H2000_s1,2000,1,0,128,8,0.011671940285019389,0.200789626117;0.147889881889;0.131623141926;0.0774075753994;0.0733746478296;0.0450507380209;0.0181801037377;0.0112748759127,78.4168619917;81.4953381305;82.4366024457;85.5604314777;85.7921608592;87.4179089227;88.9582993962;89.3539835079,0.2007896261172937,85.67629616843593,0.1734459955237999,0.28542094310308563,0.0410316811065642,0.009526481700207595,True
fold,H2000_s1,2000,1,1,128,8,0.011297608337113754,0.196515220487;0.156790755364;0.12515940593;0.0976390914016;0.031562670439;0.0263689265408;0.0168265187388;0.00252400449382,78.6667478359;80.979331015;82.8100386373;84.3967650078;88.1912918024;88.4889966592;89.0358659926;89.8553850415,0.19651522048741604,86.29402840508932,0.16821612704424863,0.28658508370136265,0.04341168579117211,0.010482852807403239,True
fold,H2000_s1,2000,1,2,128,8,0.013534850415265105,0.226327149681;0.176917618449;0.127023630512;0.0703740018582;0.0537166780319;0.0393437994115;0.0148542491859;0.00366241800998,76.9190683888;79.8097289924;82.7023670516;85.9645310767;86.9207790076;87.7451843705;89.1488829122;89.7901584361,0.22632714968130965,86.44265504219051,0.1760541355378205,0.24123423808334127,0.03774019495282179,0.012078546579924382,True
checkpoint_mean,random,,,mean_0_1_2,128,8,0.07420940242928808,,,0.5286494477632225,80.18781520970855,0.3862416524934023,0.11076586799702141,0.06129539792074867,0.0962315112783541,True
checkpoint_mean,released,,,mean_0_1_2,128,8,0.011847069862042958,,,0.2103696875858699,85.97322594769014,0.22530826931512815,0.19105465781960004,0.04688149338262551,0.01427448678431083,True
checkpoint_mean,H200_s0,200,0,mean_0_1_2,128,8,0.02631033902457065,,,0.313310454064875,84.32370526561373,0.27225864082509116,0.17092235986391036,0.057454961803063316,0.02351483443084673,True
checkpoint_mean,H200_s1,200,1,mean_0_1_2,128,8,0.025094481851839757,,,0.3004139509219919,83.79178624769271,0.28569853061362366,0.18166923939480287,0.05460919784392539,0.025994209673204625,True
checkpoint_mean,H500_s0,500,0,mean_0_1_2,128,8,0.008109915961977451,,,0.16895028567941392,86.175516367095,0.1862673135932941,0.26736550946782406,0.040268599817862134,0.008673976446081371,True
checkpoint_mean,H500_s1,500,1,mean_0_1_2,128,8,0.010673041914877427,,,0.20538809792699153,86.05061016348965,0.18707381599035725,0.2612087593812828,0.042160544269012994,0.011172706296950233,True
checkpoint_mean,H1000_s0,1000,0,mean_0_1_2,128,8,0.0062484595038880516,,,0.1405980670348087,86.95957788059012,0.16984714989814628,0.27209788750796954,0.037718072032562534,0.00645330028735049,True
checkpoint_mean,H1000_s1,1000,1,mean_0_1_2,128,8,0.00714284775880332,,,0.16064879221405867,86.65178135872748,0.17265838488435767,0.2720920801414396,0.037877330156713594,0.0069946869102630775,True
checkpoint_mean,H2000_s0,2000,0,mean_0_1_2,128,8,0.009178980898018803,,,0.16891549525538432,85.99175733399703,0.1810115552931381,0.2696268670801573,0.04118806256594578,0.010110611934785534,True
checkpoint_mean,H2000_s1,2000,1,mean_0_1_2,128,8,0.012168133012466081,,,0.2078773320953398,86.13765987190526,0.17257208603528965,0.27108008829592983,0.04072785395018604,0.010695960362511739,True
