replicate,p1_subject_delta,p2_task_nll_delta,p3_overlap_delta
246,3.619744483653502,-0.02838193453906701,-0.012946705501557444
247,3.6728975014387726,-0.035632241699552036,-0.017984981836240185
248,3.8256127006469445,-0.002565927086406017,-0.01992413550780012
249,3.642368554236022,-0.004318269974173727,-0.01462752655482432
250,3.4831965787705856,-0.018585702251877834,-0.01296921589114023
251,3.672424886194648,-0.01294877178793774,-0.01650894812520565
252,3.565282759138853,-0.005161357174615855,-0.011892032755752409
253,3.6707044879336364,-0.014645634075346692,-0.016217956606907218
254,3.5551167476899552,-0.039934522189049027,-0.017775084204668348
255,3.6035268725496308,-0.022830262257152345,-0.016187242095655852
256,3.7460211595145143,-0.050902093740812226,-0.02034191292997661
257,3.5952851377580757,-0.015220475890940666,-0.0036669910623054677
258,3.585296801503094,-0.005373546240909022,-0.016943075610082767
259,3.430543170892423,-0.015887184092724382,-0.00795752203575682
260,3.5645249403185737,0.004594281634563657,-0.01640883979835782
261,3.812621408527278,-0.0339110175684465,-0.0051359573868481195
262,3.471389353929003,-0.037084529350080775,-0.014973242674079894
263,3.5473513027624928,-0.014778474508884809,-0.014886706885284602
264,3.600101497085319,-0.04651768780866217,-0.01890204294790064
265,3.5612517973913187,-0.03576355086761174,-0.019940195358464433
266,3.541392398047079,-0.0442811915826149,-0.016612029172373265
267,3.660224882056808,-0.04868654116943372,-0.021845178821218763
268,3.752802556171188,-0.0341801712355152,-0.015252989506514717
269,3.7061684859576705,0.01124277557727682,-0.021865630991052758
270,3.6448076478497997,0.002075967213518659,-0.017936470597177102
271,3.568323401706836,-0.01535919472446956,-0.010518858479947546
272,3.487088331699308,-0.04942867089845571,-0.011869294383034582
273,3.6869160385194775,-0.03727223885518516,-0.014967712467542825
274,3.577767505810938,-0.0059465856569964615,-0.011373946387470892
275,3.5862405152361534,-0.05120239254225645,-0.023679696268017393
276,3.572414430364579,-0.07068578200937914,-0.016823278917324675
277,3.78668824921832,-0.008333701703756802,-0.029127071304993653
278,3.725250024079043,-0.03480690435652223,-0.017708255566921977
279,3.5364303341703547,0.0008217675905179966,-0.023599876630644254
280,3.6667834055252,0.01272505802799584,-0.022273266218069573
281,3.4287127186425908,-0.040673882576189424,-0.017389855467224036
282,3.6332258950133873,-0.007833124914326195,-0.013933257945316115
283,3.653149517511891,-0.0361806450128177,-0.020326567804530012
284,3.507409247775908,-0.020431239651695243,-0.012589478132583556
285,3.532254240239385,-0.03737840429567907,-0.013179438349409909
286,3.7071475282165065,-0.029721434462022245,-0.008906647775067701
287,3.531789243480547,-0.02349763760676682,-0.014353323109562669
288,3.3927116610559698,-0.037731938270444854,-0.019568746380792774
289,3.764181406003407,-0.05733751737090964,-0.015211150325714778
290,3.5154482974180294,-0.017597692063692882,-0.01621180097856272
291,3.6545098222025745,-0.0024845827928694497,-0.010986878768805518
292,3.5649013738703514,-0.028179858266317748,-0.02075835735176034
293,3.6738259873445327,0.0017727333566202041,-0.012553602749613622
294,3.441618505086603,-0.011205744089654246,-0.013815538704855596
295,3.704453808923134,-0.025213877694927334,-0.015407193280744937
296,3.772375465481906,0.011435423736539274,-0.007231715296462889
297,3.587035917158328,-0.021398080913896944,-0.004798036972930485
298,3.6841635515378,0.001950309438953024,-0.0131397854429794
299,3.582260724413173,-0.03404794905031494,-0.008520976961283476
300,3.654194453285581,-0.011347737051782048,-0.020137280417245697
301,3.823531931965338,0.0042976020251965785,-0.014731095450562608
302,3.4913039700685395,-0.02550816098234021,-0.016162402725835214
303,3.6375969850695196,-0.00801393064785616,-0.017524166314735412
304,3.6213515696442085,-0.01855038566116818,-0.0059401325987736495
305,3.400320878339367,-0.031396157576639716,-0.012860273463075625
306,3.5112071031104763,-0.003358062400566464,-0.020853499901119326
307,3.500819954796625,-0.01561854544688357,-0.01076522001961185
308,3.598750085346356,-0.01173239289476502,-0.009035931037984925
309,3.567015258440585,-0.0057182810794009775,-0.011062405858300685
310,3.5628710110028394,-0.019648419584963328,-0.011041914831167243
311,3.6842379406436265,-0.0072618068909986455,-0.0145554239847961
312,3.4413044881579267,-0.011691137870647683,-0.010982086530080759
313,3.453721183713203,-0.04316557600422133,-0.0035633618016042735
314,3.384869972232845,-0.04861650956582819,-0.009307443000486332
315,3.613149974876406,-0.05288117749752175,-0.026844729524828914
316,3.3839978910241086,-0.01950131888736273,-0.01772239792649081
317,3.637986996392895,-0.018416953149291704,-0.010168278868017903
318,3.5148897261526013,-0.020370316483356188,-0.010078350082954619
319,3.5352041478570015,0.0009982437341871098,-0.015272511167690891
320,3.588117552804538,-0.007801389626211908,-0.010728379597967491
321,3.6006233480361822,-0.035431745883689025,-0.017471273330155686
322,3.7217029447607786,0.009305265086555714,-0.008884630937923705
323,3.573920971937237,-0.01820040495905051,-0.01902723571698524
324,3.75363072900468,-0.022530350054298154,-0.018156405377399955
325,3.4284060101765292,-0.004998824663103196,-0.009869187143689853
326,3.485778020863507,-0.03756738542348215,-0.018251119323053552
327,3.704817790242366,-0.02296994709297051,-0.013449799046503112
328,3.5294559019327543,-0.02433445335835449,-0.01702025768331095
329,3.4686673604059406,-0.03250596596400612,-0.017433926689900094
330,3.637763692539814,0.019354369657201165,-0.015065503934209901
331,3.720417001539014,-0.010193513009811639,-0.014780493764479048
332,3.5185966311275294,-0.023530935991212143,0.000842975843535973
333,3.6454178824493653,0.01057596291798868,-0.01681445434767294
334,3.7018485236989873,-0.02624940428893474,-0.016568100236786808
335,3.5629271990288536,0.025335808738447874,-0.00809585710388698
336,3.5792625238524587,-0.0071397307425713485,-0.025373937710712245
337,3.5501127115827344,-0.06371464816725547,-0.018023802032066244
338,3.66663236097744,-0.0018329716836187337,-0.013220838227294526
339,3.598862879004554,-0.03407191864910564,-0.013703220761486869
340,3.7205286670443063,-0.004963026557532668,-0.00938624190867391
341,3.3218250849957744,0.0030493262674062827,-0.010071688589014801
342,3.21980399798437,-0.01725039749799029,-0.008282257447452965
343,3.6960186679819307,-0.041139021473646675,-0.017060632154086763
344,3.623620055106753,-0.03914784447792119,-0.009166150232765471
345,3.5866888901573803,-0.02626051497043891,-0.021961530876227365
346,3.378069679975934,-0.0090766783813514,-0.00876534987904479
347,3.5204919175994114,-0.01628985559423768,-0.010587328742707663
348,3.482396345982475,0.00797252016586203,-0.021840672654790852
349,3.5527684124027075,-0.040926763558694734,-0.011446550553714241
350,3.7061998683756494,-0.017903366774354446,-0.01830056052581068
351,3.7928435924243646,-0.004271462821074046,-0.024143057223173194
352,3.632133957523867,-0.014787633124673683,-0.01235754760131912
353,3.7056623557857797,-0.0352709393697781,-0.016660184659598527
354,3.630191689968507,-0.016123940925627966,-0.012303227440808272
355,3.5585607416439915,-0.019466758672512352,-0.016598844872246558
356,3.5453829727477997,-0.0163475376828619,-0.01908733148145268
357,3.7075213159872544,-0.02213137260880904,-0.015870211647896537
358,3.834384370139719,-0.03180930516483338,-0.022190649861183617
359,3.395399379015892,-0.023056103979858023,-0.013141703867684675
360,3.4582785788008055,-0.03702871129525809,-0.00666265607498049
361,3.5314031937025705,-0.028598202972798248,-0.023193760281159666
362,3.7843533460910765,-0.043919872121622294,-0.018521374595015943
363,3.579140523403263,-0.012922829387914003,-0.015543692778373471
364,3.6546152605930855,-0.06979215762849167,-0.001629724660717334
365,3.5796859136428534,0.0033506100826881102,-0.016362389172906878
366,3.616056695788268,9.115418888194782e-05,-0.01853910831097803
367,3.526029938395565,-0.017588025734543766,-0.010514681747452372
368,3.700577187768087,0.0005132660608277995,-0.018207775284047937
369,3.5691675106025027,-0.029894789620811935,-0.015162850955219971
370,3.5641129663253874,-0.04794060046220716,-0.012220608485717942
371,3.576147716901029,-0.033078748816164794,-0.00875173387237176
372,3.6732476299650796,-0.02508402349601946,-0.01083251744106166
373,3.583028252073623,-0.01012095193672602,-0.010331242138383333
374,3.735874777571698,-0.06480055453172939,-0.01892278164546389
375,3.5976382366287165,0.00406124394922136,-0.021225941824415187
376,3.838202521119183,-0.036747099896853985,-0.014695396144604859
377,3.7083437325802997,-0.052292531631426886,-0.01115616596288748
378,3.6178793524047617,-0.0031045887981600018,-0.012119267356955048
379,3.6257930175216613,-0.0408218064371666,-0.016822154792410195
380,3.604568784887692,-0.0582957398098336,-0.01070971830114864
381,3.5977376736326034,0.01753065242962748,-0.008160677286589528
382,3.7294313659639724,-0.011030363158112344,-0.020815460164890737
383,3.6111540064006267,0.011466385232024034,-0.022928991516394572
384,3.5454601849498055,-0.02043348565181624,-0.018408135778740155
385,3.6618820890458834,-0.03947269431594158,-0.016066605015855027
386,3.3542118838406245,-0.034830150733776044,-0.023740382118310574
387,3.690022333290083,-0.018962937452526862,-0.006400188175597184
388,3.4985640682076675,-0.02983630124164094,-0.01913770546195523
389,3.5718732799441777,-0.0065374011893371,-0.02040357532315599
390,3.6073950400564394,-0.012585002065372386,-0.013325598216092291
391,3.6625219933785758,-0.018521659311721006,-0.012605868540166053
392,3.4919784213236396,-0.01546231527077735,-0.017674154132551242
393,3.427824785791618,-0.01707243419430915,-0.017497886055191206
394,3.742176156836897,-0.0054218389723326155,-0.018059061955728862
395,3.592659330729995,-0.002556814242186789,-0.002615339992180412
396,3.711081302344781,-0.039875809217027935,-0.01643902837371141
397,3.3534387087321615,-0.025978037785297836,-0.014934182249266792
398,3.5164497062547184,-0.011706274190223631,-0.02013082864795752
399,3.6363525302010444,-0.03340615470821717,-0.0036841979035127995
400,3.600558929005604,0.01213318726591206,-0.023257037027156247
401,3.5674946241744987,-0.04658788193316887,-0.008177158196416068
402,3.3919193989636622,-0.019391316057103314,-0.003341685943740031
403,3.675734392001056,-0.0032498347663487692,-0.014559311760799235
404,3.514773345872503,-0.013234813479145568,-0.01361371254215895
405,3.3257505438954977,-0.03340544313059235,0.003114381487089285
406,3.535063077116346,-0.04235220178609689,-0.01319308433385737
407,3.6398958748402377,0.0020330226305178556,-0.015951567038270418
408,3.5789593426493673,-0.029630038459993013,-0.02073161019852919
409,3.640728975045353,-0.029026959383476214,-0.015122116714370724
410,3.6075512453716527,-0.024584558107992205,-0.011363889001458249
411,3.537220496501801,-0.0070283907954591385,-0.009956716230342551
412,3.6160954373842875,-0.017463994902438884,-0.01646689482302511
413,3.513060764282549,-0.02067091399975185,-0.023370086625356137
414,3.6486173149563337,-0.030386500727948018,-0.012624332328781174
415,3.583386076719202,-0.03455293174360374,-0.012906565340843609
416,3.580526675556805,-0.032106766611547766,-0.010376427158365013
417,3.6476246080339325,-0.023044062693219125,-0.01352990356308946
418,3.6189885660451364,-0.0077023887479441555,-0.001471080550367626
419,3.602502481218427,-0.027121200696823333,-0.010641740476111817
420,3.6795772176409316,-0.028177920859648875,-0.018207035750928177
421,3.3701087646548435,0.0018775795777195015,-0.005788656816636182
422,3.558846706283897,-0.015541873100073378,-0.012391574133245369
423,3.6193750750748896,-0.009467088205752372,-0.017119538834524505
424,3.5665994188057732,-0.061313778177519485,-0.005319548033653046
425,3.559452039950479,0.006979804384668498,-0.010459186604977272
426,3.5640148775691034,-0.010789552616528031,-0.012772610222161848
427,3.641882686453901,-0.0008325999818015184,-0.01492019641260867
428,3.467913062391173,-0.052016353168792495,-0.013677305111879853
429,3.6813497423633796,0.028283667420983427,-0.010443748602088288
430,3.6734275877220206,-0.016756059267220458,-0.011852908016339876
431,3.6399970201042895,-0.05659467971556564,-0.02289538493959003
432,3.7275960988824766,-0.019219235634654108,-0.009623443783189523
433,3.5882132235768056,-0.03774621436123082,-0.022961397615866828
434,3.655825449177129,-0.00909257898276472,-0.018587635153649588
435,3.638911977673655,-0.05153927945919934,-0.014367090621007286
436,3.3316914543415113,0.025598706547640848,-0.008631467354214353
437,3.3296816290733853,-0.03104925882997822,-0.013154994323991056
438,3.5929299713143292,-0.03247493388703626,-0.028728996917066384
439,3.6591814600846035,-0.0013396085679695524,-0.014666296110689397
440,3.638561537988169,-0.01502789197011456,-0.00918451740010071
441,3.544460798516813,-0.018650536893278336,-0.006182471598515392
442,3.5518710715659614,0.0051298807533521895,-0.01813088021714751
443,3.724959416927219,-0.02268285293856609,-0.012300806952524928
444,3.590564767758229,-0.04014037264757242,-0.019784320001187468
445,3.650830708976807,-0.018029476506081554,-0.02537861489758597
446,3.589916332114378,-0.02863465869784987,-0.0049217670467029545
447,3.6002229408172957,-0.01453265281580629,-0.014969812854573945
448,3.4735968785659175,-0.014801324425618656,-0.019144329106068936
449,3.5402185814882987,-0.004522022021024252,-0.016447424480188762
450,3.679630397198067,-0.013416761143006273,-0.01992295823498534
451,3.6351064163032145,-0.02145537103031847,-0.021828193587674696
452,3.6420333267043463,-0.0169509223293951,-0.013783391718766132
453,3.705324368579459,-0.023776285405854747,-0.02139771508018136
454,3.401866483627371,-0.01803793765627093,-0.019665046053547835
