group_type,group_key,n_queries,n_covered,coverage,hit_rate_if_covered,base_rate,absolute_lift,enrichment,max_neighbor_positive_rate,local_bayes_tie_count,mean_neighbor_count,median_neighbor_count,empty_fraction,min_neighbor_count,max_neighbor_count,actionability_pass,target_labels_diagnostic_only
trajectory,0|3|0|S2_rare_cells,23,23,1.0,1.0,0.7391304347826086,0.26086956521739135,1.3529411764705883,1.0,1,81.65217391304348,125.0,0.0,2,145,0,1
trajectory,0|3|0|S3_nonestimable_cells,23,23,1.0,1.0,0.7391304347826086,0.26086956521739135,1.3529411764705883,1.0,1,81.04347826086956,124.0,0.0,2,145,0,1
trajectory,0|3|1|S0_full_support,25,25,1.0,0.0,0.0,0.0,,0.504,1,64.8,74.0,0.0,2,200,0,1
trajectory,0|3|1|S2_rare_cells,25,25,1.0,0.0,0.0,0.0,,0.5040650406504065,1,62.4,55.0,0.0,2,203,0,1
trajectory,0|3|1|S3_nonestimable_cells,25,25,1.0,0.0,0.0,0.0,,0.5,1,63.0,57.0,0.0,2,203,0,1
trajectory,0|4|0|S0_full_support,24,24,1.0,1.0,0.625,0.375,1.6,1.0,6,47.375,27.5,0.0,2,160,1,1
trajectory,0|4|0|S2_rare_cells,24,24,1.0,1.0,0.625,0.375,1.6,1.0,6,48.125,27.5,0.0,2,164,1,1
trajectory,0|4|0|S3_nonestimable_cells,24,24,1.0,1.0,0.625,0.375,1.6,1.0,6,48.208333333333336,30.5,0.0,2,161,1,1
trajectory,0|4|1|S0_full_support,36,36,1.0,1.0,0.1111111111111111,0.8888888888888888,9.0,1.0,3,105.19444444444444,150.0,0.0,2,167,1,1
trajectory,0|4|1|S2_rare_cells,36,36,1.0,1.0,0.1111111111111111,0.8888888888888888,9.0,1.0,3,104.55555555555556,148.5,0.0,2,163,1,1
trajectory,0|4|1|S3_nonestimable_cells,36,36,1.0,1.0,0.1111111111111111,0.8888888888888888,9.0,1.0,3,104.52777777777777,148.5,0.0,2,163,1,1
trajectory,0|5|0|S0_full_support,20,20,1.0,1.0,0.55,0.44999999999999996,1.8181818181818181,0.3333333333333333,1,43.55,32.0,0.0,2,122,1,1
trajectory,0|5|0|S2_rare_cells,20,20,1.0,1.0,0.55,0.44999999999999996,1.8181818181818181,0.6666666666666666,1,42.55,31.0,0.0,3,121,1,1
trajectory,0|5|0|S3_nonestimable_cells,20,20,1.0,1.0,0.55,0.44999999999999996,1.8181818181818181,0.6666666666666666,1,42.75,33.0,0.0,3,123,1,1
trajectory,0|5|1|S0_full_support,22,22,1.0,1.0,0.045454545454545456,0.9545454545454546,22.0,0.4,1,49.36363636363637,38.5,0.0,2,118,1,1
trajectory,0|5|1|S2_rare_cells,22,22,1.0,1.0,0.045454545454545456,0.9545454545454546,22.0,0.5,1,49.63636363636363,39.5,0.0,2,119,1,1
trajectory,0|5|1|S3_nonestimable_cells,22,22,1.0,1.0,0.045454545454545456,0.9545454545454546,22.0,0.4,1,48.40909090909091,42.0,0.0,2,119,1,1
trajectory,0|6|0|S0_full_support,22,22,1.0,1.0,0.09090909090909091,0.9090909090909091,11.0,0.88,1,40.13636363636363,42.0,0.0,2,90,1,1
trajectory,0|6|0|S2_rare_cells,22,22,1.0,1.0,0.09090909090909091,0.9090909090909091,11.0,0.8958333333333334,1,42.40909090909091,46.5,0.0,2,81,1,1
trajectory,0|6|0|S3_nonestimable_cells,22,22,1.0,1.0,0.09090909090909091,0.9090909090909091,11.0,0.8333333333333334,1,40.04545454545455,39.5,0.0,2,83,1,1
trajectory,0|6|1|S0_full_support,21,21,1.0,0.0,0.09523809523809523,-0.09523809523809523,0.0,0.7692307692307693,1,40.333333333333336,37.0,0.0,2,81,0,1
trajectory,0|6|1|S2_rare_cells,21,21,1.0,0.0,0.09523809523809523,-0.09523809523809523,0.0,0.8064516129032258,1,39.76190476190476,31.0,0.0,2,106,0,1
trajectory,0|6|1|S3_nonestimable_cells,21,21,1.0,0.0,0.09523809523809523,-0.09523809523809523,0.0,0.7936507936507936,1,38.80952380952381,32.0,0.0,2,105,0,1
trajectory,0|7|0|S0_full_support,21,21,1.0,1.0,0.42857142857142855,0.5714285714285714,2.3333333333333335,1.0,1,41.333333333333336,35.0,0.0,2,91,1,1
trajectory,0|7|0|S2_rare_cells,21,21,1.0,1.0,0.42857142857142855,0.5714285714285714,2.3333333333333335,1.0,2,41.666666666666664,40.0,0.0,2,102,1,1
trajectory,0|7|0|S3_nonestimable_cells,21,21,1.0,1.0,0.42857142857142855,0.5714285714285714,2.3333333333333335,1.0,2,37.714285714285715,30.0,0.0,2,100,1,1
trajectory,0|7|1|S0_full_support,24,24,1.0,1.0,0.25,0.75,4.0,1.0,1,39.875,44.0,0.0,2,74,1,1
trajectory,0|7|1|S2_rare_cells,24,24,1.0,1.0,0.25,0.75,4.0,1.0,1,35.791666666666664,39.5,0.0,2,76,1,1
trajectory,0|7|1|S3_nonestimable_cells,24,24,1.0,1.0,0.25,0.75,4.0,1.0,1,37.25,43.5,0.0,2,76,1,1
trajectory,0|8|0|S0_full_support,20,20,1.0,1.0,0.65,0.35,1.5384615384615383,0.9090909090909091,1,42.85,35.0,0.0,10,103,1,1
trajectory,0|8|0|S2_rare_cells,20,20,1.0,1.0,0.65,0.35,1.5384615384615383,0.9166666666666666,1,42.15,36.0,0.0,11,96,1,1
trajectory,0|8|0|S3_nonestimable_cells,20,20,1.0,1.0,0.65,0.35,1.5384615384615383,0.6666666666666666,1,41.7,36.0,0.0,4,95,1,1
trajectory,0|8|1|S0_full_support,24,24,1.0,1.0,0.6666666666666666,0.33333333333333337,1.5,0.8333333333333334,1,41.916666666666664,40.5,0.0,2,86,1,1
trajectory,0|8|1|S2_rare_cells,24,24,1.0,1.0,0.6666666666666666,0.33333333333333337,1.5,0.7777777777777778,1,39.0,40.0,0.0,4,86,1,1
trajectory,0|8|1|S3_nonestimable_cells,24,24,1.0,1.0,0.6666666666666666,0.33333333333333337,1.5,0.7272727272727273,1,39.291666666666664,43.0,0.0,2,81,1,1
trajectory,0|9|0|S0_full_support,24,24,1.0,1.0,0.3333333333333333,0.6666666666666667,3.0,1.0,3,41.375,37.0,0.0,5,100,1,1
trajectory,0|9|0|S2_rare_cells,24,24,1.0,1.0,0.3333333333333333,0.6666666666666667,3.0,1.0,4,39.625,30.0,0.0,5,99,1,1
trajectory,0|9|0|S3_nonestimable_cells,24,24,1.0,1.0,0.3333333333333333,0.6666666666666667,3.0,1.0,4,39.083333333333336,29.0,0.0,5,98,1,1
trajectory,0|9|1|S0_full_support,19,19,1.0,1.0,0.5263157894736842,0.4736842105263158,1.9000000000000001,1.0,1,37.1578947368421,30.0,0.0,4,92,1,1
trajectory,0|9|1|S2_rare_cells,19,19,1.0,1.0,0.5263157894736842,0.4736842105263158,1.9000000000000001,1.0,1,36.10526315789474,31.0,0.0,6,83,1,1
trajectory,0|9|1|S3_nonestimable_cells,19,19,1.0,1.0,0.5263157894736842,0.4736842105263158,1.9000000000000001,1.0,1,35.31578947368421,32.0,0.0,6,80,1,1
trajectory,1|1|0|S0_full_support,28,28,1.0,1.0,0.9642857142857143,0.0357142857142857,1.037037037037037,1.0,4,59.75,83.0,0.0,2,106,0,1
trajectory,1|1|0|S2_rare_cells,28,28,1.0,1.0,0.9642857142857143,0.0357142857142857,1.037037037037037,1.0,5,59.92857142857143,82.0,0.0,2,109,0,1
trajectory,1|1|0|S3_nonestimable_cells,28,28,1.0,1.0,0.9642857142857143,0.0357142857142857,1.037037037037037,1.0,5,59.714285714285715,82.5,0.0,2,107,0,1
trajectory,1|1|1|S0_full_support,18,18,1.0,1.0,0.2222222222222222,0.7777777777777778,4.5,0.8378378378378378,1,41.77777777777778,46.5,0.0,2,86,1,1
trajectory,1|1|1|S2_rare_cells,18,18,1.0,1.0,0.2222222222222222,0.7777777777777778,4.5,0.8235294117647058,1,41.611111111111114,45.0,0.0,2,87,1,1
trajectory,1|1|1|S3_nonestimable_cells,18,18,1.0,1.0,0.2222222222222222,0.7777777777777778,4.5,0.8181818181818182,1,40.94444444444444,44.0,0.0,2,88,1,1
trajectory,1|2|0|S0_full_support,23,23,1.0,0.0,0.13043478260869565,-0.13043478260869565,0.0,0.6,1,37.26086956521739,20.0,0.0,2,140,0,1
trajectory,1|2|0|S2_rare_cells,23,23,1.0,0.0,0.13043478260869565,-0.13043478260869565,0.0,0.6428571428571429,1,43.95652173913044,20.0,0.0,2,143,0,1
trajectory,1|2|0|S3_nonestimable_cells,23,23,1.0,1.0,0.13043478260869565,0.8695652173913043,7.666666666666667,0.593103448275862,1,41.78260869565217,19.0,0.0,2,145,1,1
trajectory,1|2|1|S0_full_support,29,29,1.0,1.0,0.6551724137931034,0.3448275862068966,1.5263157894736843,1.0,1,106.13793103448276,150.0,0.0,2,255,1,1
trajectory,1|2|1|S2_rare_cells,29,29,1.0,1.0,0.6551724137931034,0.3448275862068966,1.5263157894736843,1.0,1,105.6896551724138,150.0,0.0,2,257,1,1
trajectory,1|2|1|S3_nonestimable_cells,29,29,1.0,1.0,0.6551724137931034,0.3448275862068966,1.5263157894736843,1.0,1,105.6896551724138,150.0,0.0,2,256,1,1
trajectory,1|3|0|S0_full_support,28,28,1.0,1.0,0.25,0.75,4.0,1.0,2,77.21428571428571,67.0,0.0,2,190,1,1
trajectory,1|3|0|S2_rare_cells,28,28,1.0,1.0,0.25,0.75,4.0,1.0,2,72.25,74.0,0.0,2,142,1,1
trajectory,1|3|0|S3_nonestimable_cells,28,28,1.0,1.0,0.25,0.75,4.0,1.0,2,72.03571428571429,72.0,0.0,2,142,1,1
trajectory,1|3|1|S0_full_support,20,20,1.0,1.0,0.1,0.9,10.0,0.6031746031746031,1,52.8,32.0,0.0,2,179,1,1
trajectory,1|3|1|S2_rare_cells,20,20,1.0,1.0,0.1,0.9,10.0,0.5757575757575758,1,57.15,32.5,0.0,2,203,1,1
trajectory,1|3|1|S3_nonestimable_cells,20,20,1.0,1.0,0.1,0.9,10.0,0.5846153846153846,1,57.35,32.0,0.0,2,201,1,1
trajectory,1|4|0|S0_full_support,18,18,1.0,1.0,0.9444444444444444,0.05555555555555558,1.0588235294117647,1.0,7,38.111111111111114,35.0,0.0,2,118,0,1
trajectory,1|4|0|S2_rare_cells,18,18,1.0,1.0,0.9444444444444444,0.05555555555555558,1.0588235294117647,1.0,7,40.77777777777778,34.5,0.0,2,133,0,1
trajectory,1|4|0|S3_nonestimable_cells,18,18,1.0,1.0,0.9444444444444444,0.05555555555555558,1.0588235294117647,1.0,7,41.0,35.5,0.0,2,133,0,1
trajectory,1|4|1|S0_full_support,24,24,1.0,1.0,0.5416666666666666,0.45833333333333337,1.8461538461538463,1.0,4,31.833333333333332,28.0,0.0,2,116,1,1
trajectory,1|4|1|S2_rare_cells,24,24,1.0,1.0,0.5416666666666666,0.45833333333333337,1.8461538461538463,1.0,4,32.541666666666664,28.0,0.0,2,129,1,1
trajectory,1|4|1|S3_nonestimable_cells,24,24,1.0,1.0,0.5416666666666666,0.45833333333333337,1.8461538461538463,1.0,4,32.625,27.5,0.0,2,129,1,1
trajectory,1|5|0|S0_full_support,18,18,1.0,0.0,0.2777777777777778,-0.2777777777777778,0.0,0.3048780487804878,1,41.333333333333336,31.0,0.0,2,103,0,1
trajectory,1|5|0|S2_rare_cells,18,18,1.0,1.0,0.2777777777777778,0.7222222222222222,3.5999999999999996,0.2898550724637681,1,42.666666666666664,28.0,0.0,2,107,1,1
trajectory,1|5|0|S3_nonestimable_cells,18,18,1.0,0.0,0.2777777777777778,-0.2777777777777778,0.0,0.29,1,42.72222222222222,31.5,0.0,2,113,0,1
trajectory,1|5|1|S0_full_support,19,19,1.0,0.0,0.10526315789473684,-0.10526315789473684,0.0,0.41025641025641024,1,33.526315789473685,29.0,0.0,4,78,0,1
trajectory,1|5|1|S2_rare_cells,19,19,1.0,0.0,0.10526315789473684,-0.10526315789473684,0.0,0.36,1,32.89473684210526,31.0,0.0,5,75,0,1
trajectory,1|5|1|S3_nonestimable_cells,19,19,1.0,0.0,0.10526315789473684,-0.10526315789473684,0.0,0.4155844155844156,1,33.10526315789474,30.0,0.0,5,77,0,1
trajectory,1|6|0|S0_full_support,21,21,1.0,1.0,1.0,0.0,1.0,1.0,1,43.095238095238095,37.0,0.0,8,107,0,1
trajectory,1|6|0|S2_rare_cells,21,21,1.0,1.0,1.0,0.0,1.0,1.0,1,41.904761904761905,30.0,0.0,7,113,0,1
trajectory,1|6|0|S3_nonestimable_cells,21,21,1.0,1.0,1.0,0.0,1.0,1.0,1,42.42857142857143,34.0,0.0,8,100,0,1
trajectory,1|6|1|S0_full_support,25,25,1.0,1.0,0.92,0.07999999999999996,1.0869565217391304,1.0,2,57.44,88.0,0.0,2,110,0,1
trajectory,1|6|1|S2_rare_cells,25,25,1.0,1.0,0.92,0.07999999999999996,1.0869565217391304,1.0,2,56.68,83.0,0.0,2,94,0,1
trajectory,1|6|1|S3_nonestimable_cells,25,25,1.0,1.0,0.92,0.07999999999999996,1.0869565217391304,1.0,2,56.04,80.0,0.0,2,92,0,1
trajectory,1|7|0|S0_full_support,26,26,1.0,1.0,0.2692307692307692,0.7307692307692308,3.7142857142857144,0.7692307692307693,1,44.19230769230769,37.5,0.0,2,95,1,1
trajectory,1|7|0|S2_rare_cells,26,26,1.0,1.0,0.2692307692307692,0.7307692307692308,3.7142857142857144,1.0,1,40.0,32.5,0.0,2,99,1,1
trajectory,1|7|0|S3_nonestimable_cells,26,26,1.0,1.0,0.2692307692307692,0.7307692307692308,3.7142857142857144,1.0,1,40.57692307692308,30.5,0.0,1,109,1,1
trajectory,1|7|1|S0_full_support,21,21,1.0,1.0,0.5238095238095238,0.47619047619047616,1.909090909090909,1.0,2,34.0,32.0,0.0,2,83,1,1
trajectory,1|7|1|S2_rare_cells,21,21,1.0,1.0,0.5238095238095238,0.47619047619047616,1.909090909090909,1.0,2,37.523809523809526,36.0,0.0,2,82,1,1
trajectory,1|7|1|S3_nonestimable_cells,21,21,1.0,1.0,0.5238095238095238,0.47619047619047616,1.909090909090909,1.0,2,36.95238095238095,31.0,0.0,2,79,1,1
trajectory,1|8|0|S0_full_support,23,23,1.0,1.0,0.5652173913043478,0.4347826086956522,1.7692307692307694,1.0,4,57.08695652173913,59.0,0.0,5,107,1,1
trajectory,1|8|0|S2_rare_cells,23,23,1.0,1.0,0.5652173913043478,0.4347826086956522,1.7692307692307694,1.0,3,52.26086956521739,59.0,0.0,4,105,1,1
trajectory,1|8|0|S3_nonestimable_cells,23,23,1.0,1.0,0.5652173913043478,0.4347826086956522,1.7692307692307694,1.0,3,54.56521739130435,62.0,0.0,5,103,1,1
trajectory,1|8|1|S0_full_support,22,22,1.0,0.0,0.045454545454545456,-0.045454545454545456,0.0,0.65625,1,45.54545454545455,47.0,0.0,6,105,0,1
trajectory,1|8|1|S2_rare_cells,22,22,1.0,0.0,0.045454545454545456,-0.045454545454545456,0.0,0.6774193548387096,1,44.45454545454545,47.5,0.0,2,104,0,1
trajectory,1|8|1|S3_nonestimable_cells,22,22,1.0,0.0,0.045454545454545456,-0.045454545454545456,0.0,0.6774193548387096,1,43.5,48.0,0.0,5,103,0,1
trajectory,1|9|0|S0_full_support,22,22,1.0,1.0,1.0,0.0,1.0,1.0,3,34.27272727272727,30.5,0.0,8,122,0,1
trajectory,1|9|0|S2_rare_cells,22,22,1.0,1.0,1.0,0.0,1.0,1.0,3,34.09090909090909,31.0,0.0,6,123,0,1
trajectory,1|9|0|S3_nonestimable_cells,22,22,1.0,1.0,1.0,0.0,1.0,1.0,5,32.68181818181818,30.5,0.0,6,125,0,1
trajectory,1|9|1|S0_full_support,20,20,1.0,1.0,0.7,0.30000000000000004,1.4285714285714286,1.0,3,41.75,41.5,0.0,2,90,0,1
trajectory,1|9|1|S2_rare_cells,20,20,1.0,1.0,0.7,0.30000000000000004,1.4285714285714286,1.0,4,42.75,41.0,0.0,2,90,0,1
trajectory,1|9|1|S3_nonestimable_cells,20,20,1.0,1.0,0.7,0.30000000000000004,1.4285714285714286,1.0,4,41.8,39.5,0.0,2,82,0,1
trajectory,2|1|0|S0_full_support,21,21,1.0,1.0,0.9047619047619048,0.09523809523809523,1.1052631578947367,1.0,1,39.904761904761905,43.0,0.0,2,96,0,1
trajectory,2|1|0|S2_rare_cells,21,21,1.0,1.0,0.9047619047619048,0.09523809523809523,1.1052631578947367,1.0,1,39.095238095238095,33.0,0.0,2,103,0,1
trajectory,2|1|0|S3_nonestimable_cells,21,21,1.0,1.0,0.9047619047619048,0.09523809523809523,1.1052631578947367,1.0,1,39.095238095238095,38.0,0.0,2,99,0,1
trajectory,2|1|1|S0_full_support,27,27,1.0,1.0,0.18518518518518517,0.8148148148148149,5.4,1.0,1,38.0,30.0,0.0,2,76,1,1
trajectory,2|1|1|S2_rare_cells,27,27,1.0,1.0,0.18518518518518517,0.8148148148148149,5.4,1.0,1,35.148148148148145,28.0,0.0,2,74,1,1
trajectory,2|1|1|S3_nonestimable_cells,27,27,1.0,1.0,0.18518518518518517,0.8148148148148149,5.4,1.0,1,33.0,29.0,0.0,2,69,1,1
trajectory,2|2|0|S0_full_support,26,26,1.0,1.0,0.23076923076923078,0.7692307692307692,4.333333333333333,1.0,1,63.57692307692308,73.0,0.0,2,161,1,1
trajectory,2|2|0|S2_rare_cells,26,26,1.0,1.0,0.23076923076923078,0.7692307692307692,4.333333333333333,1.0,1,69.07692307692308,77.5,0.0,2,172,1,1
trajectory,2|2|0|S3_nonestimable_cells,26,26,1.0,1.0,0.23076923076923078,0.7692307692307692,4.333333333333333,1.0,1,68.84615384615384,75.0,0.0,2,177,1,1
trajectory,2|2|1|S0_full_support,33,33,1.0,1.0,0.030303030303030304,0.9696969696969697,33.0,1.0,1,108.21212121212122,158.0,0.0,2,164,1,1
trajectory,2|2|1|S2_rare_cells,33,33,1.0,1.0,0.030303030303030304,0.9696969696969697,33.0,1.0,1,108.96969696969697,155.0,0.0,2,161,1,1
trajectory,2|2|1|S3_nonestimable_cells,33,33,1.0,1.0,0.030303030303030304,0.9696969696969697,33.0,1.0,1,109.54545454545455,155.0,0.0,2,162,1,1
trajectory,2|3|0|S0_full_support,22,22,1.0,1.0,0.5454545454545454,0.4545454545454546,1.8333333333333335,1.0,1,35.09090909090909,18.5,0.0,2,112,1,1
trajectory,2|3|0|S2_rare_cells,22,22,1.0,1.0,0.5454545454545454,0.4545454545454546,1.8333333333333335,1.0,1,36.13636363636363,21.0,0.0,2,112,1,1
trajectory,2|3|0|S3_nonestimable_cells,22,22,1.0,1.0,0.5454545454545454,0.4545454545454546,1.8333333333333335,1.0,1,35.45454545454545,22.0,0.0,2,112,1,1
trajectory,2|3|1|S0_full_support,34,34,1.0,1.0,0.029411764705882353,0.9705882352941176,34.0,1.0,1,73.41176470588235,105.0,0.0,2,147,1,1
trajectory,2|3|1|S2_rare_cells,34,34,1.0,1.0,0.029411764705882353,0.9705882352941176,34.0,1.0,1,72.61764705882354,103.5,0.0,2,150,1,1
trajectory,2|3|1|S3_nonestimable_cells,34,34,1.0,1.0,0.029411764705882353,0.9705882352941176,34.0,1.0,1,72.70588235294117,104.5,0.0,2,148,1,1
trajectory,2|4|0|S0_full_support,31,31,1.0,1.0,0.9354838709677419,0.06451612903225812,1.0689655172413794,1.0,6,90.96774193548387,142.0,0.0,2,176,0,1
trajectory,2|4|0|S2_rare_cells,31,31,1.0,1.0,0.9354838709677419,0.06451612903225812,1.0689655172413794,1.0,6,90.3225806451613,145.0,0.0,2,173,0,1
trajectory,2|4|0|S3_nonestimable_cells,31,31,1.0,1.0,0.9354838709677419,0.06451612903225812,1.0689655172413794,1.0,6,90.16129032258064,145.0,0.0,2,173,0,1
trajectory,2|4|1|S0_full_support,20,20,1.0,1.0,1.0,0.0,1.0,1.0,6,42.45,37.0,0.0,2,146,0,1
trajectory,2|4|1|S2_rare_cells,20,20,1.0,1.0,1.0,0.0,1.0,1.0,6,42.35,35.0,0.0,2,145,0,1
trajectory,2|4|1|S3_nonestimable_cells,20,20,1.0,1.0,1.0,0.0,1.0,1.0,5,43.3,36.5,0.0,2,145,0,1
trajectory,2|5|0|S0_full_support,22,22,1.0,0.0,0.0,0.0,,0.35135135135135137,1,54.5,49.0,0.0,2,134,0,1
trajectory,2|5|0|S2_rare_cells,22,22,1.0,0.0,0.0,0.0,,0.3888888888888889,1,53.18181818181818,48.5,0.0,2,129,0,1
trajectory,2|5|0|S3_nonestimable_cells,22,22,1.0,0.0,0.0,0.0,,0.34210526315789475,1,54.54545454545455,45.5,0.0,2,129,0,1
trajectory,2|5|1|S0_full_support,25,25,1.0,0.0,0.0,0.0,,0.3181818181818182,1,36.0,24.0,0.0,2,121,0,1
trajectory,2|5|1|S2_rare_cells,25,25,1.0,0.0,0.0,0.0,,0.6,1,37.48,23.0,0.0,2,106,0,1
trajectory,2|5|1|S3_nonestimable_cells,25,25,1.0,0.0,0.0,0.0,,0.42857142857142855,1,36.72,24.0,0.0,2,111,0,1
trajectory,2|6|0|S0_full_support,23,23,1.0,1.0,0.2608695652173913,0.7391304347826086,3.8333333333333335,0.8333333333333334,1,43.69565217391305,39.0,0.0,4,87,1,1
trajectory,2|6|0|S2_rare_cells,23,23,1.0,1.0,0.2608695652173913,0.7391304347826086,3.8333333333333335,0.8666666666666667,1,44.17391304347826,49.0,0.0,4,86,1,1
trajectory,2|6|0|S3_nonestimable_cells,23,23,1.0,1.0,0.2608695652173913,0.7391304347826086,3.8333333333333335,0.8666666666666667,1,42.47826086956522,45.0,0.0,5,86,1,1
trajectory,2|6|1|S0_full_support,20,20,1.0,1.0,0.9,0.09999999999999998,1.1111111111111112,1.0,2,36.55,37.5,0.0,2,87,0,1
trajectory,2|6|1|S2_rare_cells,20,20,1.0,1.0,0.9,0.09999999999999998,1.1111111111111112,1.0,2,38.8,39.5,0.0,2,85,0,1
trajectory,2|6|1|S3_nonestimable_cells,20,20,1.0,1.0,0.9,0.09999999999999998,1.1111111111111112,1.0,2,37.05,38.5,0.0,2,86,0,1
trajectory,2|7|0|S0_full_support,21,21,1.0,1.0,0.42857142857142855,0.5714285714285714,2.3333333333333335,1.0,1,37.95238095238095,33.0,0.0,5,88,1,1
trajectory,2|7|0|S2_rare_cells,21,21,1.0,1.0,0.42857142857142855,0.5714285714285714,2.3333333333333335,1.0,1,37.04761904761905,29.0,0.0,4,85,1,1
trajectory,2|7|0|S3_nonestimable_cells,21,21,1.0,1.0,0.42857142857142855,0.5714285714285714,2.3333333333333335,1.0,1,34.857142857142854,28.0,0.0,2,95,1,1
trajectory,2|7|1|S0_full_support,23,23,1.0,1.0,0.7391304347826086,0.26086956521739135,1.3529411764705883,0.6538461538461539,1,45.0,47.0,0.0,2,100,0,1
trajectory,2|7|1|S2_rare_cells,23,23,1.0,1.0,0.7391304347826086,0.26086956521739135,1.3529411764705883,0.71875,1,45.91304347826087,52.0,0.0,2,96,0,1
trajectory,2|7|1|S3_nonestimable_cells,23,23,1.0,1.0,0.7391304347826086,0.26086956521739135,1.3529411764705883,0.8888888888888888,1,44.47826086956522,31.0,0.0,2,118,0,1
trajectory,2|8|0|S0_full_support,23,23,1.0,0.0,0.08695652173913043,-0.08695652173913043,0.0,0.7,1,40.95652173913044,35.0,0.0,4,100,0,1
trajectory,2|8|0|S2_rare_cells,23,23,1.0,0.0,0.08695652173913043,-0.08695652173913043,0.0,0.7058823529411765,1,40.91304347826087,32.0,0.0,2,109,0,1
trajectory,2|8|0|S3_nonestimable_cells,23,23,1.0,0.0,0.08695652173913043,-0.08695652173913043,0.0,0.7058823529411765,1,41.95652173913044,33.0,0.0,2,103,0,1
trajectory,2|8|1|S0_full_support,18,18,1.0,0.0,0.2222222222222222,-0.2222222222222222,0.0,0.6857142857142857,1,47.72222222222222,40.0,0.0,2,105,0,1
trajectory,2|8|1|S2_rare_cells,18,18,1.0,0.0,0.2222222222222222,-0.2222222222222222,0.0,0.6944444444444444,1,48.05555555555556,40.5,0.0,3,111,0,1
