score_name,group_type,group_key,n_covered,oracle_hit_or_ceiling,score_hit_within_covered_set,underuse_gap,rank_of_oracle_positive_under_score,score_percentile_of_oracle_positive,source_score_orientation,target_labels_diagnostic_only,diagnostic_underuse_only,no_checkpoint_recommendation
C19_robust_core,trajectory,0|4|1|S3_nonestimable_cells,36,1.0,1.0,0.0,2,0.9714285714285714,higher,1,1,1
selection_leakage,trajectory,0|5|0|S0_full_support,20,1.0,1.0,0.0,19,0.052631578947368474,lower,1,1,1
R_src,trajectory,0|5|0|S0_full_support,20,1.0,0.0,1.0,5,0.7894736842105263,lower,1,1,1
C30_source_rank,trajectory,0|5|0|S0_full_support,20,1.0,0.0,1.0,4,0.8421052631578947,higher,1,1,1
C19_robust_core,trajectory,0|5|0|S0_full_support,20,1.0,0.0,1.0,4,0.8421052631578947,higher,1,1,1
selection_leakage,trajectory,0|5|0|S2_rare_cells,20,1.0,1.0,0.0,19,0.052631578947368474,lower,1,1,1
R_src,trajectory,0|5|0|S2_rare_cells,20,1.0,0.0,1.0,5,0.7894736842105263,lower,1,1,1
C30_source_rank,trajectory,0|5|0|S2_rare_cells,20,1.0,1.0,0.0,2,0.9473684210526316,higher,1,1,1
C19_robust_core,trajectory,0|5|0|S2_rare_cells,20,1.0,1.0,0.0,2,0.9473684210526316,higher,1,1,1
selection_leakage,trajectory,0|5|0|S3_nonestimable_cells,20,1.0,1.0,0.0,19,0.052631578947368474,lower,1,1,1
R_src,trajectory,0|5|0|S3_nonestimable_cells,20,1.0,0.0,1.0,5,0.7894736842105263,lower,1,1,1
C30_source_rank,trajectory,0|5|0|S3_nonestimable_cells,20,1.0,1.0,0.0,1,1.0,higher,1,1,1
C19_robust_core,trajectory,0|5|0|S3_nonestimable_cells,20,1.0,1.0,0.0,1,1.0,higher,1,1,1
selection_leakage,trajectory,0|5|1|S0_full_support,22,1.0,0.0,1.0,19,0.1428571428571429,lower,1,1,1
R_src,trajectory,0|5|1|S0_full_support,22,1.0,0.0,1.0,22,0.0,lower,1,1,1
C30_source_rank,trajectory,0|5|1|S0_full_support,22,1.0,0.0,1.0,15,0.33333333333333337,higher,1,1,1
C19_robust_core,trajectory,0|5|1|S0_full_support,22,1.0,0.0,1.0,15,0.33333333333333337,higher,1,1,1
selection_leakage,trajectory,0|5|1|S2_rare_cells,22,1.0,0.0,1.0,19,0.1428571428571429,lower,1,1,1
R_src,trajectory,0|5|1|S2_rare_cells,22,1.0,0.0,1.0,22,0.0,lower,1,1,1
C30_source_rank,trajectory,0|5|1|S2_rare_cells,22,1.0,0.0,1.0,16,0.2857142857142857,higher,1,1,1
C19_robust_core,trajectory,0|5|1|S2_rare_cells,22,1.0,0.0,1.0,16,0.2857142857142857,higher,1,1,1
selection_leakage,trajectory,0|5|1|S3_nonestimable_cells,22,1.0,0.0,1.0,19,0.1428571428571429,lower,1,1,1
R_src,trajectory,0|5|1|S3_nonestimable_cells,22,1.0,0.0,1.0,22,0.0,lower,1,1,1
C30_source_rank,trajectory,0|5|1|S3_nonestimable_cells,22,1.0,0.0,1.0,15,0.33333333333333337,higher,1,1,1
C19_robust_core,trajectory,0|5|1|S3_nonestimable_cells,22,1.0,0.0,1.0,15,0.33333333333333337,higher,1,1,1
selection_leakage,trajectory,0|6|0|S0_full_support,22,1.0,0.0,1.0,14,0.38095238095238093,lower,1,1,1
R_src,trajectory,0|6|0|S0_full_support,22,1.0,0.0,1.0,10,0.5714285714285714,lower,1,1,1
C30_source_rank,trajectory,0|6|0|S0_full_support,22,1.0,0.0,1.0,15,0.33333333333333337,higher,1,1,1
C19_robust_core,trajectory,0|6|0|S0_full_support,22,1.0,0.0,1.0,15,0.33333333333333337,higher,1,1,1
selection_leakage,trajectory,0|6|0|S2_rare_cells,22,1.0,0.0,1.0,14,0.38095238095238093,lower,1,1,1
R_src,trajectory,0|6|0|S2_rare_cells,22,1.0,0.0,1.0,10,0.5714285714285714,lower,1,1,1
C30_source_rank,trajectory,0|6|0|S2_rare_cells,22,1.0,0.0,1.0,14,0.38095238095238093,higher,1,1,1
C19_robust_core,trajectory,0|6|0|S2_rare_cells,22,1.0,0.0,1.0,14,0.38095238095238093,higher,1,1,1
selection_leakage,trajectory,0|6|0|S3_nonestimable_cells,22,1.0,0.0,1.0,14,0.38095238095238093,lower,1,1,1
R_src,trajectory,0|6|0|S3_nonestimable_cells,22,1.0,0.0,1.0,10,0.5714285714285714,lower,1,1,1
C30_source_rank,trajectory,0|6|0|S3_nonestimable_cells,22,1.0,0.0,1.0,16,0.2857142857142857,higher,1,1,1
C19_robust_core,trajectory,0|6|0|S3_nonestimable_cells,22,1.0,0.0,1.0,16,0.2857142857142857,higher,1,1,1
selection_leakage,trajectory,0|6|1|S0_full_support,21,0.0,0.0,0.0,18,0.15000000000000002,lower,1,1,1
R_src,trajectory,0|6|1|S0_full_support,21,0.0,0.0,0.0,7,0.7,lower,1,1,1
C30_source_rank,trajectory,0|6|1|S0_full_support,21,0.0,0.0,0.0,9,0.6,higher,1,1,1
C19_robust_core,trajectory,0|6|1|S0_full_support,21,0.0,0.0,0.0,9,0.6,higher,1,1,1
selection_leakage,trajectory,0|6|1|S2_rare_cells,21,0.0,0.0,0.0,17,0.19999999999999996,lower,1,1,1
R_src,trajectory,0|6|1|S2_rare_cells,21,0.0,0.0,0.0,4,0.85,lower,1,1,1
C30_source_rank,trajectory,0|6|1|S2_rare_cells,21,0.0,0.0,0.0,19,0.09999999999999998,higher,1,1,1
C19_robust_core,trajectory,0|6|1|S2_rare_cells,21,0.0,0.0,0.0,19,0.09999999999999998,higher,1,1,1
selection_leakage,trajectory,0|6|1|S3_nonestimable_cells,21,0.0,0.0,0.0,17,0.19999999999999996,lower,1,1,1
R_src,trajectory,0|6|1|S3_nonestimable_cells,21,0.0,0.0,0.0,4,0.85,lower,1,1,1
C30_source_rank,trajectory,0|6|1|S3_nonestimable_cells,21,0.0,0.0,0.0,19,0.09999999999999998,higher,1,1,1
C19_robust_core,trajectory,0|6|1|S3_nonestimable_cells,21,0.0,0.0,0.0,19,0.09999999999999998,higher,1,1,1
selection_leakage,trajectory,0|7|0|S0_full_support,21,1.0,1.0,0.0,20,0.050000000000000044,lower,1,1,1
R_src,trajectory,0|7|0|S0_full_support,21,1.0,1.0,0.0,15,0.30000000000000004,lower,1,1,1
C30_source_rank,trajectory,0|7|0|S0_full_support,21,1.0,1.0,0.0,20,0.050000000000000044,higher,1,1,1
C19_robust_core,trajectory,0|7|0|S0_full_support,21,1.0,1.0,0.0,20,0.050000000000000044,higher,1,1,1
selection_leakage,trajectory,0|7|0|S2_rare_cells,21,1.0,1.0,0.0,19,0.09999999999999998,lower,1,1,1
R_src,trajectory,0|7|0|S2_rare_cells,21,1.0,1.0,0.0,12,0.44999999999999996,lower,1,1,1
C30_source_rank,trajectory,0|7|0|S2_rare_cells,21,1.0,1.0,0.0,5,0.8,higher,1,1,1
C19_robust_core,trajectory,0|7|0|S2_rare_cells,21,1.0,1.0,0.0,5,0.8,higher,1,1,1
selection_leakage,trajectory,0|7|0|S3_nonestimable_cells,21,1.0,1.0,0.0,19,0.09999999999999998,lower,1,1,1
R_src,trajectory,0|7|0|S3_nonestimable_cells,21,1.0,1.0,0.0,12,0.44999999999999996,lower,1,1,1
C30_source_rank,trajectory,0|7|0|S3_nonestimable_cells,21,1.0,1.0,0.0,9,0.6,higher,1,1,1
C19_robust_core,trajectory,0|7|0|S3_nonestimable_cells,21,1.0,1.0,0.0,9,0.6,higher,1,1,1
selection_leakage,trajectory,0|7|1|S0_full_support,24,1.0,0.0,1.0,23,0.04347826086956519,lower,1,1,1
R_src,trajectory,0|7|1|S0_full_support,24,1.0,1.0,0.0,16,0.34782608695652173,lower,1,1,1
C30_source_rank,trajectory,0|7|1|S0_full_support,24,1.0,1.0,0.0,18,0.26086956521739135,higher,1,1,1
C19_robust_core,trajectory,0|7|1|S0_full_support,24,1.0,1.0,0.0,18,0.26086956521739135,higher,1,1,1
selection_leakage,trajectory,0|7|1|S2_rare_cells,24,1.0,0.0,1.0,23,0.04347826086956519,lower,1,1,1
R_src,trajectory,0|7|1|S2_rare_cells,24,1.0,1.0,0.0,16,0.34782608695652173,lower,1,1,1
C30_source_rank,trajectory,0|7|1|S2_rare_cells,24,1.0,0.0,1.0,14,0.4347826086956522,higher,1,1,1
C19_robust_core,trajectory,0|7|1|S2_rare_cells,24,1.0,0.0,1.0,14,0.4347826086956522,higher,1,1,1
selection_leakage,trajectory,0|7|1|S3_nonestimable_cells,24,1.0,0.0,1.0,23,0.04347826086956519,lower,1,1,1
R_src,trajectory,0|7|1|S3_nonestimable_cells,24,1.0,1.0,0.0,16,0.34782608695652173,lower,1,1,1
C30_source_rank,trajectory,0|7|1|S3_nonestimable_cells,24,1.0,0.0,1.0,22,0.08695652173913049,higher,1,1,1
C19_robust_core,trajectory,0|7|1|S3_nonestimable_cells,24,1.0,0.0,1.0,22,0.08695652173913049,higher,1,1,1
selection_leakage,trajectory,0|8|0|S0_full_support,20,1.0,1.0,0.0,11,0.4736842105263158,lower,1,1,1
R_src,trajectory,0|8|0|S0_full_support,20,1.0,1.0,0.0,13,0.368421052631579,lower,1,1,1
C30_source_rank,trajectory,0|8|0|S0_full_support,20,1.0,1.0,0.0,10,0.5263157894736843,higher,1,1,1
C19_robust_core,trajectory,0|8|0|S0_full_support,20,1.0,1.0,0.0,10,0.5263157894736843,higher,1,1,1
selection_leakage,trajectory,0|8|0|S2_rare_cells,20,1.0,1.0,0.0,11,0.4736842105263158,lower,1,1,1
R_src,trajectory,0|8|0|S2_rare_cells,20,1.0,1.0,0.0,13,0.368421052631579,lower,1,1,1
C30_source_rank,trajectory,0|8|0|S2_rare_cells,20,1.0,1.0,0.0,12,0.42105263157894735,higher,1,1,1
C19_robust_core,trajectory,0|8|0|S2_rare_cells,20,1.0,1.0,0.0,12,0.42105263157894735,higher,1,1,1
selection_leakage,trajectory,0|8|0|S3_nonestimable_cells,20,1.0,1.0,0.0,11,0.4736842105263158,lower,1,1,1
R_src,trajectory,0|8|0|S3_nonestimable_cells,20,1.0,1.0,0.0,13,0.368421052631579,lower,1,1,1
C30_source_rank,trajectory,0|8|0|S3_nonestimable_cells,20,1.0,1.0,0.0,14,0.3157894736842105,higher,1,1,1
C19_robust_core,trajectory,0|8|0|S3_nonestimable_cells,20,1.0,1.0,0.0,14,0.3157894736842105,higher,1,1,1
selection_leakage,trajectory,0|8|1|S0_full_support,24,1.0,1.0,0.0,24,0.0,lower,1,1,1
R_src,trajectory,0|8|1|S0_full_support,24,1.0,1.0,0.0,3,0.9130434782608696,lower,1,1,1
C30_source_rank,trajectory,0|8|1|S0_full_support,24,1.0,1.0,0.0,2,0.9565217391304348,higher,1,1,1
C19_robust_core,trajectory,0|8|1|S0_full_support,24,1.0,1.0,0.0,2,0.9565217391304348,higher,1,1,1
selection_leakage,trajectory,0|8|1|S2_rare_cells,24,1.0,1.0,0.0,12,0.5217391304347826,lower,1,1,1
R_src,trajectory,0|8|1|S2_rare_cells,24,1.0,1.0,0.0,1,1.0,lower,1,1,1
C30_source_rank,trajectory,0|8|1|S2_rare_cells,24,1.0,1.0,0.0,5,0.8260869565217391,higher,1,1,1
C19_robust_core,trajectory,0|8|1|S2_rare_cells,24,1.0,1.0,0.0,5,0.8260869565217391,higher,1,1,1
selection_leakage,trajectory,0|8|1|S3_nonestimable_cells,24,1.0,1.0,0.0,12,0.5217391304347826,lower,1,1,1
R_src,trajectory,0|8|1|S3_nonestimable_cells,24,1.0,1.0,0.0,1,1.0,lower,1,1,1
C30_source_rank,trajectory,0|8|1|S3_nonestimable_cells,24,1.0,0.0,1.0,3,0.9130434782608696,higher,1,1,1
C19_robust_core,trajectory,0|8|1|S3_nonestimable_cells,24,1.0,0.0,1.0,3,0.9130434782608696,higher,1,1,1
selection_leakage,trajectory,0|9|0|S0_full_support,24,1.0,0.0,1.0,11,0.5652173913043479,lower,1,1,1
R_src,trajectory,0|9|0|S0_full_support,24,1.0,1.0,0.0,1,1.0,lower,1,1,1
C30_source_rank,trajectory,0|9|0|S0_full_support,24,1.0,0.0,1.0,2,0.9565217391304348,higher,1,1,1
C19_robust_core,trajectory,0|9|0|S0_full_support,24,1.0,0.0,1.0,2,0.9565217391304348,higher,1,1,1
selection_leakage,trajectory,0|9|0|S2_rare_cells,24,1.0,0.0,1.0,11,0.5652173913043479,lower,1,1,1
R_src,trajectory,0|9|0|S2_rare_cells,24,1.0,1.0,0.0,1,1.0,lower,1,1,1
C30_source_rank,trajectory,0|9|0|S2_rare_cells,24,1.0,1.0,0.0,1,1.0,higher,1,1,1
C19_robust_core,trajectory,0|9|0|S2_rare_cells,24,1.0,1.0,0.0,1,1.0,higher,1,1,1
selection_leakage,trajectory,0|9|0|S3_nonestimable_cells,24,1.0,0.0,1.0,11,0.5652173913043479,lower,1,1,1
