figure_id,panel,seed,method_id,method_label,information_class,metric,value,number_id,display_role,claim_boundary
3,B_topk,3,U13,Confidence Optimal Transport with Thresholding,ISU,top5,0.3125,c82_seed3_U13_top5,fixed_registered_method,localization_endpoint_does_not_override_regret_or_stability
3,B_topk,3,U13,Confidence Optimal Transport with Thresholding,ISU,top10,0.375,c82_seed3_U13_top10,fixed_registered_method,localization_endpoint_does_not_override_regret_or_stability
3,B_topk,3,L1,Frozen Q0 B=1,ILc,top1,0.037841796875,c80_seed3_budget1_top1,fixed_registered_method,localization_endpoint_does_not_override_regret_or_stability
3,B_topk,3,L1,Frozen Q0 B=1,ILc,top5,0.159210205078125,c80_seed3_budget1_top5,fixed_registered_method,localization_endpoint_does_not_override_regret_or_stability
3,B_topk,3,L1,Frozen Q0 B=1,ILc,top10,0.280792236328125,c80_seed3_budget1_top10,fixed_registered_method,localization_endpoint_does_not_override_regret_or_stability
3,A_regret,4,B0,Uniform random candidate,I0,standardized_regret,0.4975837803416094,c82_seed4_B0_mean_standardized_regret,fixed_registered_method,lower_is_better; B5_ceiling_only; descriptive_best_is_not_inferential_winner
3,A_regret,4,B1,ERM anchor,I0,standardized_regret,0.4236039414725074,c82_seed4_B1_mean_standardized_regret,fixed_registered_method,lower_is_better; B5_ceiling_only; descriptive_best_is_not_inferential_winner
3,A_regret,4,B2,Final OACI checkpoint,I0,standardized_regret,0.35048034859056487,c82_seed4_B2_mean_standardized_regret,descriptive_best_within_fixed_class,lower_is_better; B5_ceiling_only; descriptive_best_is_not_inferential_winner
3,A_regret,4,B3,Final SRC checkpoint,I0,standardized_regret,0.5524925321886625,c82_seed4_B3_mean_standardized_regret,fixed_registered_method,lower_is_better; B5_ceiling_only; descriptive_best_is_not_inferential_winner
3,A_regret,4,B4O,OACI cadence midpoint,I0,standardized_regret,0.43622598833231857,c82_seed4_B4O_mean_standardized_regret,fixed_registered_method,lower_is_better; B5_ceiling_only; descriptive_best_is_not_inferential_winner
3,A_regret,4,B4S,SRC cadence midpoint,I0,standardized_regret,0.6653223898433219,c82_seed4_B4S_mean_standardized_regret,fixed_registered_method,lower_is_better; B5_ceiling_only; descriptive_best_is_not_inferential_winner
3,A_regret,4,S1,Source-validation balanced accuracy,IS,standardized_regret,0.8048232601796825,c82_seed4_S1_mean_standardized_regret,fixed_registered_method,lower_is_better; B5_ceiling_only; descriptive_best_is_not_inferential_winner
3,A_regret,4,U7,Average Thresholded Confidence MC,ISU,standardized_regret,0.7209056660389691,c82_seed4_U7_mean_standardized_regret,fixed_registered_method,lower_is_better; B5_ceiling_only; descriptive_best_is_not_inferential_winner
3,A_regret,4,U5,Normalized nuclear norm,IU,standardized_regret,0.7661732914334574,c82_seed4_U5_mean_standardized_regret,fixed_registered_method,lower_is_better; B5_ceiling_only; descriptive_best_is_not_inferential_winner
3,A_regret,4,U11,MaNo p4,IU,standardized_regret,0.8741790516622012,c82_seed4_U11_mean_standardized_regret,fixed_registered_method,lower_is_better; B5_ceiling_only; descriptive_best_is_not_inferential_winner
3,A_regret,4,U13,Confidence Optimal Transport with Thresholding,ISU,standardized_regret,0.4653350333230629,c82_seed4_U13_mean_standardized_regret,descriptive_best_within_fixed_class,lower_is_better; B5_ceiling_only; descriptive_best_is_not_inferential_winner
3,A_regret,4,U14,Soft Neighborhood Density,IU,standardized_regret,0.6610950733080356,c82_seed4_U14_mean_standardized_regret,fixed_registered_method,lower_is_better; B5_ceiling_only; descriptive_best_is_not_inferential_winner
3,A_regret,4,U15,Agreement-on-the-Line,ISU,standardized_regret,0.8048232601796825,c82_seed4_U15_mean_standardized_regret,fixed_registered_method,lower_is_better; B5_ceiling_only; descriptive_best_is_not_inferential_winner
3,A_regret,4,L1,Frozen Q0 B=1,ILc,standardized_regret,0.3737050812998979,c80_seed4_budget1_expected_standardized_regret,fixed_registered_method,lower_is_better; B5_ceiling_only; descriptive_best_is_not_inferential_winner
3,A_regret,4,L7,Frozen Q0 FULL,ILc,standardized_regret,0.1106669682773286,c80_seed4_budgetFULL_expected_standardized_regret,descriptive_best_within_fixed_class,lower_is_better; B5_ceiling_only; descriptive_best_is_not_inferential_winner
3,A_regret,4,B5,Oracle-best candidate,IOr,standardized_regret,0.0,c82_seed4_B5_mean_standardized_regret,fixed_registered_method,lower_is_better; B5_ceiling_only; descriptive_best_is_not_inferential_winner
3,B_topk,4,S1,Source-validation balanced accuracy,IS,top1,0.0,c82_seed4_S1_top1,fixed_registered_method,localization_endpoint_does_not_override_regret_or_stability
3,B_topk,4,S1,Source-validation balanced accuracy,IS,top5,0.0,c82_seed4_S1_top5,fixed_registered_method,localization_endpoint_does_not_override_regret_or_stability
3,B_topk,4,S1,Source-validation balanced accuracy,IS,top10,0.0,c82_seed4_S1_top10,fixed_registered_method,localization_endpoint_does_not_override_regret_or_stability
3,B_topk,4,U13,Confidence Optimal Transport with Thresholding,ISU,top1,0.0,c82_seed4_U13_top1,fixed_registered_method,localization_endpoint_does_not_override_regret_or_stability
3,B_topk,4,U13,Confidence Optimal Transport with Thresholding,ISU,top5,0.25,c82_seed4_U13_top5,fixed_registered_method,localization_endpoint_does_not_override_regret_or_stability
3,B_topk,4,U13,Confidence Optimal Transport with Thresholding,ISU,top10,0.3125,c82_seed4_U13_top10,fixed_registered_method,localization_endpoint_does_not_override_regret_or_stability
3,B_topk,4,L1,Frozen Q0 B=1,ILc,top1,0.03839111328125,c80_seed4_budget1_top1,fixed_registered_method,localization_endpoint_does_not_override_regret_or_stability
3,B_topk,4,L1,Frozen Q0 B=1,ILc,top5,0.164825439453125,c80_seed4_budget1_top5,fixed_registered_method,localization_endpoint_does_not_override_regret_or_stability
3,B_topk,4,L1,Frozen Q0 B=1,ILc,top10,0.29412841796875,c80_seed4_budget1_top10,fixed_registered_method,localization_endpoint_does_not_override_regret_or_stability
