number_id,value,units,seed,method,endpoint,aggregation,cluster,source_artifact,source_row_key,source_field,rounding_rule,allowed_interpretation
c80_loto_seed3_target3_Bstar,2,ordinal_budget,3,Q0,LOTO_Bstar,leave_target_3_out,target,oaci/reports/c80e_tables/leave_one_target_out_sensitivity.csv,seed=3|left_out_target=3,Bstar,exact_integer_from_committed_artifact,"Frozen-field, target-cluster summary only."
c80_loto_seed3_target5_Bstar,4,ordinal_budget,3,Q0,LOTO_Bstar,leave_target_5_out,target,oaci/reports/c80e_tables/leave_one_target_out_sensitivity.csv,seed=3|left_out_target=5,Bstar,exact_integer_from_committed_artifact,"Frozen-field, target-cluster summary only."
c80_loto_seed3_target6_Bstar,4,ordinal_budget,3,Q0,LOTO_Bstar,leave_target_6_out,target,oaci/reports/c80e_tables/leave_one_target_out_sensitivity.csv,seed=3|left_out_target=6,Bstar,exact_integer_from_committed_artifact,"Frozen-field, target-cluster summary only."
c80_loto_seed3_target7_Bstar,4,ordinal_budget,3,Q0,LOTO_Bstar,leave_target_7_out,target,oaci/reports/c80e_tables/leave_one_target_out_sensitivity.csv,seed=3|left_out_target=7,Bstar,exact_integer_from_committed_artifact,"Frozen-field, target-cluster summary only."
c80_loto_seed3_target8_Bstar,2,ordinal_budget,3,Q0,LOTO_Bstar,leave_target_8_out,target,oaci/reports/c80e_tables/leave_one_target_out_sensitivity.csv,seed=3|left_out_target=8,Bstar,exact_integer_from_committed_artifact,"Frozen-field, target-cluster summary only."
c80_loto_seed3_target9_Bstar,2,ordinal_budget,3,Q0,LOTO_Bstar,leave_target_9_out,target,oaci/reports/c80e_tables/leave_one_target_out_sensitivity.csv,seed=3|left_out_target=9,Bstar,exact_integer_from_committed_artifact,"Frozen-field, target-cluster summary only."
c80_loto_seed4_target1_Bstar,4,ordinal_budget,4,Q0,LOTO_Bstar,leave_target_1_out,target,oaci/reports/c80e_tables/leave_one_target_out_sensitivity.csv,seed=4|left_out_target=1,Bstar,exact_integer_from_committed_artifact,"Frozen-field, target-cluster summary only."
c80_loto_seed4_target2_Bstar,4,ordinal_budget,4,Q0,LOTO_Bstar,leave_target_2_out,target,oaci/reports/c80e_tables/leave_one_target_out_sensitivity.csv,seed=4|left_out_target=2,Bstar,exact_integer_from_committed_artifact,"Frozen-field, target-cluster summary only."
c80_loto_seed4_target3_Bstar,4,ordinal_budget,4,Q0,LOTO_Bstar,leave_target_3_out,target,oaci/reports/c80e_tables/leave_one_target_out_sensitivity.csv,seed=4|left_out_target=3,Bstar,exact_integer_from_committed_artifact,"Frozen-field, target-cluster summary only."
c80_loto_seed4_target5_Bstar,4,ordinal_budget,4,Q0,LOTO_Bstar,leave_target_5_out,target,oaci/reports/c80e_tables/leave_one_target_out_sensitivity.csv,seed=4|left_out_target=5,Bstar,exact_integer_from_committed_artifact,"Frozen-field, target-cluster summary only."
c80_loto_seed4_target6_Bstar,4,ordinal_budget,4,Q0,LOTO_Bstar,leave_target_6_out,target,oaci/reports/c80e_tables/leave_one_target_out_sensitivity.csv,seed=4|left_out_target=6,Bstar,exact_integer_from_committed_artifact,"Frozen-field, target-cluster summary only."
c80_loto_seed4_target7_Bstar,4,ordinal_budget,4,Q0,LOTO_Bstar,leave_target_7_out,target,oaci/reports/c80e_tables/leave_one_target_out_sensitivity.csv,seed=4|left_out_target=7,Bstar,exact_integer_from_committed_artifact,"Frozen-field, target-cluster summary only."
c80_loto_seed4_target8_Bstar,2,ordinal_budget,4,Q0,LOTO_Bstar,leave_target_8_out,target,oaci/reports/c80e_tables/leave_one_target_out_sensitivity.csv,seed=4|left_out_target=8,Bstar,exact_integer_from_committed_artifact,"Frozen-field, target-cluster summary only."
c80_loto_seed4_target9_Bstar,2,ordinal_budget,4,Q0,LOTO_Bstar,leave_target_9_out,target,oaci/reports/c80e_tables/leave_one_target_out_sensitivity.csv,seed=4|left_out_target=9,Bstar,exact_integer_from_committed_artifact,"Frozen-field, target-cluster summary only."
c80_seed3_budget1_expected_standardized_regret,0.35338318633180843,proportion,3,Q0,standardized_regret,budget_1_full_panel,target,oaci/reports/c80e_tables/seed3_budget_frontier.csv,seed=3|budget=1,expected_standardized_regret,preserve_full_artifact_precision; display_six_decimals_half_even,"Frozen-field, target-cluster summary only."
c80_seed3_budget1_mean_regret_reduction_vs_source,0.426092786538936,proportion,3,Q0,source_relative_gain,budget_1_full_panel,target,oaci/reports/c80e_tables/seed3_budget_frontier.csv,seed=3|budget=1,mean_regret_reduction_vs_source,preserve_full_artifact_precision; display_six_decimals_half_even,"Frozen-field, target-cluster summary only."
c80_seed3_budget1_positive_targets,8,targets,3,Q0,positive_targets,budget_1_full_panel,target,oaci/reports/c80e_tables/seed3_budget_frontier.csv,seed=3|budget=1,positive_targets,exact_integer_from_committed_artifact,"Frozen-field, target-cluster summary only."
c80_seed3_budget1_catastrophic_target,0,targets,3,Q0,catastrophic_target,budget_1_full_panel,target,oaci/reports/c80e_tables/seed3_budget_frontier.csv,seed=3|budget=1,catastrophic_target,exact_integer_from_committed_artifact,"Frozen-field, target-cluster summary only."
c80_seed3_budget1_maxT_p,0.042801556420233464,proportion,3,Q0,maxT_p,budget_1_full_panel,target,oaci/reports/c80e_tables/seed3_budget_frontier.csv,seed=3|budget=1,maxT_p,preserve_full_artifact_precision; display_six_decimals_half_even,"Frozen-field, target-cluster summary only."
c80_seed3_budget1_direct_qualification,1,proportion,3,Q0,direct_qualification,budget_1_full_panel,target,oaci/reports/c80e_tables/seed3_budget_frontier.csv,seed=3|budget=1,direct_qualification,exact_integer_from_committed_artifact,"Frozen-field, target-cluster summary only."
c80_seed3_budget1_closure_qualification,1,proportion,3,Q0,closure_qualification,budget_1_full_panel,target,oaci/reports/c80e_tables/seed3_budget_frontier.csv,seed=3|budget=1,closure_qualification,exact_integer_from_committed_artifact,"Frozen-field, target-cluster summary only."
c80_seed3_budget1_simultaneous_band_low,0.36138418508878095,proportion,3,Q0,simultaneous_band_low,budget_1_full_panel,target,oaci/reports/c80e_tables/seed3_budget_frontier.csv,seed=3|budget=1,simultaneous_band_low,preserve_full_artifact_precision; display_six_decimals_half_even,"Frozen-field, target-cluster summary only."
c80_seed3_budget1_simultaneous_band_high,0.49080138798909106,proportion,3,Q0,simultaneous_band_high,budget_1_full_panel,target,oaci/reports/c80e_tables/seed3_budget_frontier.csv,seed=3|budget=1,simultaneous_band_high,preserve_full_artifact_precision; display_six_decimals_half_even,"Frozen-field, target-cluster summary only."
c80_seed3_budget1_top1,0.037841796875,proportion,3,Q0,top1,budget_1_full_panel,target,oaci/reports/c80e_tables/topk_coverage_summary.csv,seed=3|budget=1,top1,preserve_full_artifact_precision; display_four_decimals_half_even,"Frozen-field, target-cluster summary only."
c80_seed3_budget1_top5,0.159210205078125,proportion,3,Q0,top5,budget_1_full_panel,target,oaci/reports/c80e_tables/topk_coverage_summary.csv,seed=3|budget=1,top5,preserve_full_artifact_precision; display_four_decimals_half_even,"Frozen-field, target-cluster summary only."
c80_seed3_budget1_top10,0.280792236328125,proportion,3,Q0,top10,budget_1_full_panel,target,oaci/reports/c80e_tables/topk_coverage_summary.csv,seed=3|budget=1,top10,preserve_full_artifact_precision; display_four_decimals_half_even,"Frozen-field, target-cluster summary only."
c80_seed3_budget1_coverage_top1,0.161865234375,proportion,3,Q0,coverage_top1,budget_1_full_panel,target,oaci/reports/c80e_tables/topk_coverage_summary.csv,seed=3|budget=1,coverage_top1,preserve_full_artifact_precision; display_four_decimals_half_even,"Frozen-field, target-cluster summary only."
c80_seed3_budget1_coverage_top5,0.480499267578125,proportion,3,Q0,coverage_top5,budget_1_full_panel,target,oaci/reports/c80e_tables/topk_coverage_summary.csv,seed=3|budget=1,coverage_top5,preserve_full_artifact_precision; display_four_decimals_half_even,"Frozen-field, target-cluster summary only."
c80_seed3_budget1_coverage_top10,0.652313232421875,proportion,3,Q0,coverage_top10,budget_1_full_panel,target,oaci/reports/c80e_tables/topk_coverage_summary.csv,seed=3|budget=1,coverage_top10,preserve_full_artifact_precision; display_four_decimals_half_even,"Frozen-field, target-cluster summary only."
c80_seed3_budget2_expected_standardized_regret,0.2782089536699878,proportion,3,Q0,standardized_regret,budget_2_full_panel,target,oaci/reports/c80e_tables/seed3_budget_frontier.csv,seed=3|budget=2,expected_standardized_regret,preserve_full_artifact_precision; display_six_decimals_half_even,"Frozen-field, target-cluster summary only."
c80_seed3_budget2_mean_regret_reduction_vs_source,0.5012670192007567,proportion,3,Q0,source_relative_gain,budget_2_full_panel,target,oaci/reports/c80e_tables/seed3_budget_frontier.csv,seed=3|budget=2,mean_regret_reduction_vs_source,preserve_full_artifact_precision; display_six_decimals_half_even,"Frozen-field, target-cluster summary only."
c80_seed3_budget2_positive_targets,8,targets,3,Q0,positive_targets,budget_2_full_panel,target,oaci/reports/c80e_tables/seed3_budget_frontier.csv,seed=3|budget=2,positive_targets,exact_integer_from_committed_artifact,"Frozen-field, target-cluster summary only."
c80_seed3_budget2_catastrophic_target,0,targets,3,Q0,catastrophic_target,budget_2_full_panel,target,oaci/reports/c80e_tables/seed3_budget_frontier.csv,seed=3|budget=2,catastrophic_target,exact_integer_from_committed_artifact,"Frozen-field, target-cluster summary only."
c80_seed3_budget2_maxT_p,0.03501945525291829,proportion,3,Q0,maxT_p,budget_2_full_panel,target,oaci/reports/c80e_tables/seed3_budget_frontier.csv,seed=3|budget=2,maxT_p,preserve_full_artifact_precision; display_six_decimals_half_even,"Frozen-field, target-cluster summary only."
c80_seed3_budget2_direct_qualification,1,proportion,3,Q0,direct_qualification,budget_2_full_panel,target,oaci/reports/c80e_tables/seed3_budget_frontier.csv,seed=3|budget=2,direct_qualification,exact_integer_from_committed_artifact,"Frozen-field, target-cluster summary only."
c80_seed3_budget2_closure_qualification,1,proportion,3,Q0,closure_qualification,budget_2_full_panel,target,oaci/reports/c80e_tables/seed3_budget_frontier.csv,seed=3|budget=2,closure_qualification,exact_integer_from_committed_artifact,"Frozen-field, target-cluster summary only."
c80_seed3_budget2_simultaneous_band_low,0.4405809802388368,proportion,3,Q0,simultaneous_band_low,budget_2_full_panel,target,oaci/reports/c80e_tables/seed3_budget_frontier.csv,seed=3|budget=2,simultaneous_band_low,preserve_full_artifact_precision; display_six_decimals_half_even,"Frozen-field, target-cluster summary only."
c80_seed3_budget2_simultaneous_band_high,0.5619530581626766,proportion,3,Q0,simultaneous_band_high,budget_2_full_panel,target,oaci/reports/c80e_tables/seed3_budget_frontier.csv,seed=3|budget=2,simultaneous_band_high,preserve_full_artifact_precision; display_six_decimals_half_even,"Frozen-field, target-cluster summary only."
c80_seed3_budget2_top1,0.053955078125,proportion,3,Q0,top1,budget_2_full_panel,target,oaci/reports/c80e_tables/topk_coverage_summary.csv,seed=3|budget=2,top1,preserve_full_artifact_precision; display_four_decimals_half_even,"Frozen-field, target-cluster summary only."
c80_seed3_budget2_top5,0.21142578125,proportion,3,Q0,top5,budget_2_full_panel,target,oaci/reports/c80e_tables/topk_coverage_summary.csv,seed=3|budget=2,top5,preserve_full_artifact_precision; display_four_decimals_half_even,"Frozen-field, target-cluster summary only."
c80_seed3_budget2_top10,0.354095458984375,proportion,3,Q0,top10,budget_2_full_panel,target,oaci/reports/c80e_tables/topk_coverage_summary.csv,seed=3|budget=2,top10,preserve_full_artifact_precision; display_four_decimals_half_even,"Frozen-field, target-cluster summary only."
c80_seed3_budget2_coverage_top1,0.216827392578125,proportion,3,Q0,coverage_top1,budget_2_full_panel,target,oaci/reports/c80e_tables/topk_coverage_summary.csv,seed=3|budget=2,coverage_top1,preserve_full_artifact_precision; display_four_decimals_half_even,"Frozen-field, target-cluster summary only."
c80_seed3_budget2_coverage_top5,0.5750732421875,proportion,3,Q0,coverage_top5,budget_2_full_panel,target,oaci/reports/c80e_tables/topk_coverage_summary.csv,seed=3|budget=2,coverage_top5,preserve_full_artifact_precision; display_four_decimals_half_even,"Frozen-field, target-cluster summary only."
c80_seed3_budget2_coverage_top10,0.73150634765625,proportion,3,Q0,coverage_top10,budget_2_full_panel,target,oaci/reports/c80e_tables/topk_coverage_summary.csv,seed=3|budget=2,coverage_top10,preserve_full_artifact_precision; display_four_decimals_half_even,"Frozen-field, target-cluster summary only."
c80_seed3_budget4_expected_standardized_regret,0.21660180756980868,proportion,3,Q0,standardized_regret,budget_4_full_panel,target,oaci/reports/c80e_tables/seed3_budget_frontier.csv,seed=3|budget=4,expected_standardized_regret,preserve_full_artifact_precision; display_six_decimals_half_even,"Frozen-field, target-cluster summary only."
c80_seed3_budget4_mean_regret_reduction_vs_source,0.5628741653009357,proportion,3,Q0,source_relative_gain,budget_4_full_panel,target,oaci/reports/c80e_tables/seed3_budget_frontier.csv,seed=3|budget=4,mean_regret_reduction_vs_source,preserve_full_artifact_precision; display_six_decimals_half_even,"Frozen-field, target-cluster summary only."
c80_seed3_budget4_positive_targets,8,targets,3,Q0,positive_targets,budget_4_full_panel,target,oaci/reports/c80e_tables/seed3_budget_frontier.csv,seed=3|budget=4,positive_targets,exact_integer_from_committed_artifact,"Frozen-field, target-cluster summary only."
c80_seed3_budget4_catastrophic_target,0,targets,3,Q0,catastrophic_target,budget_4_full_panel,target,oaci/reports/c80e_tables/seed3_budget_frontier.csv,seed=3|budget=4,catastrophic_target,exact_integer_from_committed_artifact,"Frozen-field, target-cluster summary only."
c80_seed3_budget4_maxT_p,0.011673151750972763,proportion,3,Q0,maxT_p,budget_4_full_panel,target,oaci/reports/c80e_tables/seed3_budget_frontier.csv,seed=3|budget=4,maxT_p,preserve_full_artifact_precision; display_six_decimals_half_even,"Frozen-field, target-cluster summary only."
c80_seed3_budget4_direct_qualification,1,proportion,3,Q0,direct_qualification,budget_4_full_panel,target,oaci/reports/c80e_tables/seed3_budget_frontier.csv,seed=3|budget=4,direct_qualification,exact_integer_from_committed_artifact,"Frozen-field, target-cluster summary only."
c80_seed3_budget4_closure_qualification,1,proportion,3,Q0,closure_qualification,budget_4_full_panel,target,oaci/reports/c80e_tables/seed3_budget_frontier.csv,seed=3|budget=4,closure_qualification,exact_integer_from_committed_artifact,"Frozen-field, target-cluster summary only."
c80_seed3_budget4_simultaneous_band_low,0.5096974819105135,proportion,3,Q0,simultaneous_band_low,budget_4_full_panel,target,oaci/reports/c80e_tables/seed3_budget_frontier.csv,seed=3|budget=4,simultaneous_band_low,preserve_full_artifact_precision; display_six_decimals_half_even,"Frozen-field, target-cluster summary only."
c80_seed3_budget4_simultaneous_band_high,0.616050848691358,proportion,3,Q0,simultaneous_band_high,budget_4_full_panel,target,oaci/reports/c80e_tables/seed3_budget_frontier.csv,seed=3|budget=4,simultaneous_band_high,preserve_full_artifact_precision; display_six_decimals_half_even,"Frozen-field, target-cluster summary only."
c80_seed3_budget4_top1,0.072479248046875,proportion,3,Q0,top1,budget_4_full_panel,target,oaci/reports/c80e_tables/topk_coverage_summary.csv,seed=3|budget=4,top1,preserve_full_artifact_precision; display_four_decimals_half_even,"Frozen-field, target-cluster summary only."
c80_seed3_budget4_top5,0.266265869140625,proportion,3,Q0,top5,budget_4_full_panel,target,oaci/reports/c80e_tables/topk_coverage_summary.csv,seed=3|budget=4,top5,preserve_full_artifact_precision; display_four_decimals_half_even,"Frozen-field, target-cluster summary only."
c80_seed3_budget4_top10,0.432403564453125,proportion,3,Q0,top10,budget_4_full_panel,target,oaci/reports/c80e_tables/topk_coverage_summary.csv,seed=3|budget=4,top10,preserve_full_artifact_precision; display_four_decimals_half_even,"Frozen-field, target-cluster summary only."
c80_seed3_budget4_coverage_top1,0.2774658203125,proportion,3,Q0,coverage_top1,budget_4_full_panel,target,oaci/reports/c80e_tables/topk_coverage_summary.csv,seed=3|budget=4,coverage_top1,preserve_full_artifact_precision; display_four_decimals_half_even,"Frozen-field, target-cluster summary only."
c80_seed3_budget4_coverage_top5,0.6590576171875,proportion,3,Q0,coverage_top5,budget_4_full_panel,target,oaci/reports/c80e_tables/topk_coverage_summary.csv,seed=3|budget=4,coverage_top5,preserve_full_artifact_precision; display_four_decimals_half_even,"Frozen-field, target-cluster summary only."
c80_seed3_budget4_coverage_top10,0.793792724609375,proportion,3,Q0,coverage_top10,budget_4_full_panel,target,oaci/reports/c80e_tables/topk_coverage_summary.csv,seed=3|budget=4,coverage_top10,preserve_full_artifact_precision; display_four_decimals_half_even,"Frozen-field, target-cluster summary only."
c80_seed3_budget8_expected_standardized_regret,0.16631014202055397,proportion,3,Q0,standardized_regret,budget_8_full_panel,target,oaci/reports/c80e_tables/seed3_budget_frontier.csv,seed=3|budget=8,expected_standardized_regret,preserve_full_artifact_precision; display_six_decimals_half_even,"Frozen-field, target-cluster summary only."
c80_seed3_budget8_mean_regret_reduction_vs_source,0.6131658308501906,proportion,3,Q0,source_relative_gain,budget_8_full_panel,target,oaci/reports/c80e_tables/seed3_budget_frontier.csv,seed=3|budget=8,mean_regret_reduction_vs_source,preserve_full_artifact_precision; display_six_decimals_half_even,"Frozen-field, target-cluster summary only."
c80_seed3_budget8_positive_targets,8,targets,3,Q0,positive_targets,budget_8_full_panel,target,oaci/reports/c80e_tables/seed3_budget_frontier.csv,seed=3|budget=8,positive_targets,exact_integer_from_committed_artifact,"Frozen-field, target-cluster summary only."
c80_seed3_budget8_catastrophic_target,0,targets,3,Q0,catastrophic_target,budget_8_full_panel,target,oaci/reports/c80e_tables/seed3_budget_frontier.csv,seed=3|budget=8,catastrophic_target,exact_integer_from_committed_artifact,"Frozen-field, target-cluster summary only."
c80_seed3_budget8_maxT_p,0.007782101167315175,proportion,3,Q0,maxT_p,budget_8_full_panel,target,oaci/reports/c80e_tables/seed3_budget_frontier.csv,seed=3|budget=8,maxT_p,preserve_full_artifact_precision; display_six_decimals_half_even,"Frozen-field, target-cluster summary only."
c80_seed3_budget8_direct_qualification,1,proportion,3,Q0,direct_qualification,budget_8_full_panel,target,oaci/reports/c80e_tables/seed3_budget_frontier.csv,seed=3|budget=8,direct_qualification,exact_integer_from_committed_artifact,"Frozen-field, target-cluster summary only."
c80_seed3_budget8_closure_qualification,1,proportion,3,Q0,closure_qualification,budget_8_full_panel,target,oaci/reports/c80e_tables/seed3_budget_frontier.csv,seed=3|budget=8,closure_qualification,exact_integer_from_committed_artifact,"Frozen-field, target-cluster summary only."
c80_seed3_budget8_simultaneous_band_low,0.563089911354181,proportion,3,Q0,simultaneous_band_low,budget_8_full_panel,target,oaci/reports/c80e_tables/seed3_budget_frontier.csv,seed=3|budget=8,simultaneous_band_low,preserve_full_artifact_precision; display_six_decimals_half_even,"Frozen-field, target-cluster summary only."
c80_seed3_budget8_simultaneous_band_high,0.6632417503462003,proportion,3,Q0,simultaneous_band_high,budget_8_full_panel,target,oaci/reports/c80e_tables/seed3_budget_frontier.csv,seed=3|budget=8,simultaneous_band_high,preserve_full_artifact_precision; display_six_decimals_half_even,"Frozen-field, target-cluster summary only."
c80_seed3_budget8_top1,0.09326171875,proportion,3,Q0,top1,budget_8_full_panel,target,oaci/reports/c80e_tables/topk_coverage_summary.csv,seed=3|budget=8,top1,preserve_full_artifact_precision; display_four_decimals_half_even,"Frozen-field, target-cluster summary only."
c80_seed3_budget8_top5,0.340057373046875,proportion,3,Q0,top5,budget_8_full_panel,target,oaci/reports/c80e_tables/topk_coverage_summary.csv,seed=3|budget=8,top5,preserve_full_artifact_precision; display_four_decimals_half_even,"Frozen-field, target-cluster summary only."
c80_seed3_budget8_top10,0.52423095703125,proportion,3,Q0,top10,budget_8_full_panel,target,oaci/reports/c80e_tables/topk_coverage_summary.csv,seed=3|budget=8,top10,preserve_full_artifact_precision; display_four_decimals_half_even,"Frozen-field, target-cluster summary only."
c80_seed3_budget8_coverage_top1,0.352569580078125,proportion,3,Q0,coverage_top1,budget_8_full_panel,target,oaci/reports/c80e_tables/topk_coverage_summary.csv,seed=3|budget=8,coverage_top1,preserve_full_artifact_precision; display_four_decimals_half_even,"Frozen-field, target-cluster summary only."
c80_seed3_budget8_coverage_top5,0.729736328125,proportion,3,Q0,coverage_top5,budget_8_full_panel,target,oaci/reports/c80e_tables/topk_coverage_summary.csv,seed=3|budget=8,coverage_top5,preserve_full_artifact_precision; display_four_decimals_half_even,"Frozen-field, target-cluster summary only."
c80_seed3_budget8_coverage_top10,0.8363037109375,proportion,3,Q0,coverage_top10,budget_8_full_panel,target,oaci/reports/c80e_tables/topk_coverage_summary.csv,seed=3|budget=8,coverage_top10,preserve_full_artifact_precision; display_four_decimals_half_even,"Frozen-field, target-cluster summary only."
c80_seed3_budget16_expected_standardized_regret,0.13453563321685552,proportion,3,Q0,standardized_regret,budget_16_full_panel,target,oaci/reports/c80e_tables/seed3_budget_frontier.csv,seed=3|budget=16,expected_standardized_regret,preserve_full_artifact_precision; display_six_decimals_half_even,"Frozen-field, target-cluster summary only."
c80_seed3_budget16_mean_regret_reduction_vs_source,0.644940339653889,proportion,3,Q0,source_relative_gain,budget_16_full_panel,target,oaci/reports/c80e_tables/seed3_budget_frontier.csv,seed=3|budget=16,mean_regret_reduction_vs_source,preserve_full_artifact_precision; display_six_decimals_half_even,"Frozen-field, target-cluster summary only."
c80_seed3_budget16_positive_targets,8,targets,3,Q0,positive_targets,budget_16_full_panel,target,oaci/reports/c80e_tables/seed3_budget_frontier.csv,seed=3|budget=16,positive_targets,exact_integer_from_committed_artifact,"Frozen-field, target-cluster summary only."
c80_seed3_budget16_catastrophic_target,0,targets,3,Q0,catastrophic_target,budget_16_full_panel,target,oaci/reports/c80e_tables/seed3_budget_frontier.csv,seed=3|budget=16,catastrophic_target,exact_integer_from_committed_artifact,"Frozen-field, target-cluster summary only."
c80_seed3_budget16_maxT_p,0.007782101167315175,proportion,3,Q0,maxT_p,budget_16_full_panel,target,oaci/reports/c80e_tables/seed3_budget_frontier.csv,seed=3|budget=16,maxT_p,preserve_full_artifact_precision; display_six_decimals_half_even,"Frozen-field, target-cluster summary only."
c80_seed3_budget16_direct_qualification,1,proportion,3,Q0,direct_qualification,budget_16_full_panel,target,oaci/reports/c80e_tables/seed3_budget_frontier.csv,seed=3|budget=16,direct_qualification,exact_integer_from_committed_artifact,"Frozen-field, target-cluster summary only."
c80_seed3_budget16_closure_qualification,1,proportion,3,Q0,closure_qualification,budget_16_full_panel,target,oaci/reports/c80e_tables/seed3_budget_frontier.csv,seed=3|budget=16,closure_qualification,exact_integer_from_committed_artifact,"Frozen-field, target-cluster summary only."
c80_seed3_budget16_simultaneous_band_low,0.5911748879576175,proportion,3,Q0,simultaneous_band_low,budget_16_full_panel,target,oaci/reports/c80e_tables/seed3_budget_frontier.csv,seed=3|budget=16,simultaneous_band_low,preserve_full_artifact_precision; display_six_decimals_half_even,"Frozen-field, target-cluster summary only."
c80_seed3_budget16_simultaneous_band_high,0.6987057913501604,proportion,3,Q0,simultaneous_band_high,budget_16_full_panel,target,oaci/reports/c80e_tables/seed3_budget_frontier.csv,seed=3|budget=16,simultaneous_band_high,preserve_full_artifact_precision; display_six_decimals_half_even,"Frozen-field, target-cluster summary only."
c80_seed3_budget16_top1,0.117034912109375,proportion,3,Q0,top1,budget_16_full_panel,target,oaci/reports/c80e_tables/topk_coverage_summary.csv,seed=3|budget=16,top1,preserve_full_artifact_precision; display_four_decimals_half_even,"Frozen-field, target-cluster summary only."
c80_seed3_budget16_top5,0.41961669921875,proportion,3,Q0,top5,budget_16_full_panel,target,oaci/reports/c80e_tables/topk_coverage_summary.csv,seed=3|budget=16,top5,preserve_full_artifact_precision; display_four_decimals_half_even,"Frozen-field, target-cluster summary only."
c80_seed3_budget16_top10,0.62774658203125,proportion,3,Q0,top10,budget_16_full_panel,target,oaci/reports/c80e_tables/topk_coverage_summary.csv,seed=3|budget=16,top10,preserve_full_artifact_precision; display_four_decimals_half_even,"Frozen-field, target-cluster summary only."
