figure_id,panel,object_id,seed,target,budget,metric,value,number_id,qualifier
4,A_budget_frontier,seed4_budget8,4,ALL,8,closure_qualification,1,c80_seed4_budget8_closure_qualification,FULL_is_cell_specific; no_interpolation_between_32_and_FULL
4,A_budget_frontier,seed4_budget16,4,ALL,16,standardized_regret,0.14462401480239961,c80_seed4_budget16_expected_standardized_regret,FULL_is_cell_specific; no_interpolation_between_32_and_FULL
4,A_budget_frontier,seed4_budget16,4,ALL,16,closure_qualification,1,c80_seed4_budget16_closure_qualification,FULL_is_cell_specific; no_interpolation_between_32_and_FULL
4,A_budget_frontier,seed4_budget32,4,ALL,32,standardized_regret,0.11768566212495614,c80_seed4_budget32_expected_standardized_regret,FULL_is_cell_specific; no_interpolation_between_32_and_FULL
4,A_budget_frontier,seed4_budget32,4,ALL,32,closure_qualification,1,c80_seed4_budget32_closure_qualification,FULL_is_cell_specific; no_interpolation_between_32_and_FULL
4,A_budget_frontier,seed4_budgetFULL,4,ALL,FULL,standardized_regret,0.1106669682773286,c80_seed4_budgetFULL_expected_standardized_regret,FULL_is_cell_specific; no_interpolation_between_32_and_FULL
4,A_budget_frontier,seed4_budgetFULL,4,ALL,FULL,closure_qualification,1,c80_seed4_budgetFULL_closure_qualification,FULL_is_cell_specific; no_interpolation_between_32_and_FULL
4,B_full_panel_Bstar,seed4_Bstar,4,ALL,1,Bstar,1,c80_seed4_Bstar,full_panel_source_relative_closure_rule
4,C_C80_LOTO,seed3_leave1,3,1,4,LOTO_Bstar,4,c80_loto_seed3_target1_Bstar,descriptive_sensitivity; envelope_2_to_4
4,C_C80_LOTO,seed3_leave2,3,2,2,LOTO_Bstar,2,c80_loto_seed3_target2_Bstar,descriptive_sensitivity; envelope_2_to_4
4,C_C80_LOTO,seed3_leave3,3,3,2,LOTO_Bstar,2,c80_loto_seed3_target3_Bstar,descriptive_sensitivity; envelope_2_to_4
4,C_C80_LOTO,seed3_leave5,3,5,4,LOTO_Bstar,4,c80_loto_seed3_target5_Bstar,descriptive_sensitivity; envelope_2_to_4
4,C_C80_LOTO,seed3_leave6,3,6,4,LOTO_Bstar,4,c80_loto_seed3_target6_Bstar,descriptive_sensitivity; envelope_2_to_4
4,C_C80_LOTO,seed3_leave7,3,7,4,LOTO_Bstar,4,c80_loto_seed3_target7_Bstar,descriptive_sensitivity; envelope_2_to_4
4,C_C80_LOTO,seed3_leave8,3,8,2,LOTO_Bstar,2,c80_loto_seed3_target8_Bstar,descriptive_sensitivity; envelope_2_to_4
4,C_C80_LOTO,seed3_leave9,3,9,2,LOTO_Bstar,2,c80_loto_seed3_target9_Bstar,descriptive_sensitivity; envelope_2_to_4
4,C_C80_LOTO,seed4_leave1,4,1,4,LOTO_Bstar,4,c80_loto_seed4_target1_Bstar,descriptive_sensitivity; envelope_2_to_4
4,C_C80_LOTO,seed4_leave2,4,2,4,LOTO_Bstar,4,c80_loto_seed4_target2_Bstar,descriptive_sensitivity; envelope_2_to_4
4,C_C80_LOTO,seed4_leave3,4,3,4,LOTO_Bstar,4,c80_loto_seed4_target3_Bstar,descriptive_sensitivity; envelope_2_to_4
4,C_C80_LOTO,seed4_leave5,4,5,4,LOTO_Bstar,4,c80_loto_seed4_target5_Bstar,descriptive_sensitivity; envelope_2_to_4
4,C_C80_LOTO,seed4_leave6,4,6,4,LOTO_Bstar,4,c80_loto_seed4_target6_Bstar,descriptive_sensitivity; envelope_2_to_4
4,C_C80_LOTO,seed4_leave7,4,7,4,LOTO_Bstar,4,c80_loto_seed4_target7_Bstar,descriptive_sensitivity; envelope_2_to_4
4,C_C80_LOTO,seed4_leave8,4,8,2,LOTO_Bstar,2,c80_loto_seed4_target8_Bstar,descriptive_sensitivity; envelope_2_to_4
4,C_C80_LOTO,seed4_leave9,4,9,2,LOTO_Bstar,2,c80_loto_seed4_target9_Bstar,descriptive_sensitivity; envelope_2_to_4
4,D_C82_stability,seed3_category,3,ALL,NA,seed_category,B,NA,B=Q1_any_and_no_Q2; C=no_Q1
4,D_C82_stability,seed4_category,4,ALL,NA,seed_category,C,NA,B=Q1_any_and_no_Q2; C=no_Q1
4,D_C82_stability,A_intersection,PAIRED,ALL,NA,method_intersection_count,0,NA,methods=NONE
4,D_C82_stability,B_intersection,PAIRED,ALL,NA,method_intersection_count,0,NA,methods=NONE
4,D_C82_stability,global_method_aware_LOTO_preserved,PAIRED,ALL,NA,global_method_aware_LOTO_preserved,7,c82_loto_preserved,global_cross_seed_common_method_rule; not_per_panel_COTT_Q1_ledger
4,D_C82_stability,global_method_aware_LOTO_total,PAIRED,ALL,NA,global_method_aware_LOTO_total,16,c82_loto_total,global_cross_seed_common_method_rule; not_per_panel_COTT_Q1_ledger
