source_branch,source_sha,component,route,dataset,backbone,method,info_regime,seeds,folds_or_subjects,representation_or_branch,artifact_path,artifact_exists,metrics_available,target_labels_used_for_fit,target_labels_used_for_eval,status,notes
tos,1c65d79,TOS_erasure,TOS_LEACE,2a(+Lee/Cho/HGD/2b),TSMNet+EEGNet,leace_eraser,source_only_frozen_feature,"0,1,2",9 folds+129 subj,frozen_latent_Z,tos_cmi/results/tos_cmi_eeg_frozen/erasure_target_deploy/erasure_target_deploy_summary.json,YES,"subj_lin/mlp,task,tgt_bacc,tgt_nll,worst_subject",NO,YES,FROZEN_NEGATIVE,"linear subj->0.115 chance both; MLP residual 0.740/0.393; target ~0 on 2a; HARMS -0.15..-0.19 binary Lee/Cho EEGNet"
tos,1c65d79,TOS_erasure,TOS_INLP,2a(+Lee/Cho/HGD/2b),TSMNet+EEGNet,inlp_eraser,source_only_frozen_feature,"0,1,2",9 folds+129 subj,frozen_latent_Z,tos_cmi/results/tos_cmi_eeg_frozen/BNCI2014_001_EEGNet_LOSO/erasure_report.json,YES,"subj_lin/mlp,task_lin/mlp,tgt_bacc",NO,YES,FROZEN_NEGATIVE,"over-erasure: subj->chance but task destroyed (EEGNet 0.639->0.246=chance); target -0.062/-0.160; negative control"
tos,1c65d79,TOS_erasure,TOS_RLACE,2a(+Lee/Cho/HGD/2b),TSMNet+EEGNet,rlace_eraser,source_only_frozen_feature,"0,1,2",9 folds+129 subj,frozen_latent_Z,tos_cmi/results/tos_cmi_eeg_frozen/erasure_target_deploy/erasure_target_deploy_summary.json,YES,"subj_lin/mlp,task,tgt_bacc,tgt_nll",NO,YES,FROZEN_NEGATIVE,"partial removal (TSMNet weak 0.856lin); 4-class task preserved; HARMS binary Lee/Cho EEGNet -0.15..-0.19"
tos,1c65d79,TOS_erasure,TOS_random_k,2a,TSMNet+EEGNet,random_k control,source_only_frozen_feature,"0,1,2",9 folds,frozen_latent_Z,tos_cmi/results/tos_cmi_eeg_frozen/BNCI2014_001_EEGNet_LOSO/erasure_report.json,YES,"subj_lin/mlp,task,tgt_nll",NO,YES,FROZEN_CONTROL,"falsifier: does NOT remove subject; dNLL -0.034 matches LEACE -0.031 while subj_dec 0.998 => non-specific regularization"
tos,1c65d79,TOS_erasure,TOS_refusal_gate,synthetic+2a,gaussian_oracle+TSMNet,power_floor cert + task_risk_ucb,source_only,"0,1,2 + R=50",cert grid + 9 folds,score-Fisher subspace,tos_cmi/notes/PHASE131_CERTIFICATION.md,YES,"unsafe_accept,LCB,accept/refuse,domain_gate",NO,YES,FROZEN_NEGATIVE,"UNSAFE_ACCEPT 0 w/floor vs 6; default-on NOT certified (power_ok=False); EEG accept 5/9 VACUOUS (certified_accept=False)"
tos,1c65d79,TOS_erasure,TOS_global_LPC_collapse,2a,TSMNet+EEGNet,global_LPC_in_loss,source_only_in_loss,"0,1,2","9 folds; lambda 0/0.3/1/3",latent_Z,tos_cmi/results/tos_cmi_eeg_frozen/lpc_collapse_curves/,YES,"feat_norm,top-SV,CE,subj,target",NO,YES,FROZEN_NEGATIVE,"TSMNet feat_norm 1.09->0.00 CE->ln4 collapse (adv-verified wf_c2880caf); EEGNet target 0.43->0.39 paired-t p<=0.001 (harm)"
tos,1c65d79,TOS_erasure,TOS_task_preserving_erasure,2a,TSMNet,lpc_warm_ramp/scale_invariant,source_only_in_loss,"0,1,2","9 folds; lambda 1,3",latent_Z,tos_cmi/results/tos_cmi_eeg_frozen/lpc_collapse_curves/TSMNet/variant_compare.json,YES,"collapse,subj_dec",NO,YES,FROZEN_NEGATIVE,"warm_ramp avoids collapse (0/9); collapse-free subj_dec ~0.997 = ERM => removes nothing; collapsing-run drop was the collapse"
tos,1c65d79,TOS_erasure,TOS_capacity_factorial,2a,TSMNet(dz21-210)+EEGNet(dz16-210),LEACE_residual_vs_dz,source_only_frozen_feature,"0,1,2",9 folds,frozen_latent_Z,tos_cmi/results/tos_cmi_eeg_frozen/factorial/factorial_multiseed.json,YES,"nonlinear_residual vs d_z,OLS,matched-dim",NO,YES,FROZEN_RESULT,"OLS log(d_z)=+0.089; matched-dim removes ~68% gap; capacity dominant; arch-type REFUTED at high d_z (+0.11 SPD@210)"
project/fbcsp-lgg-spatial-cmi-fusion,39c245a,FBCSP_branch,FBCSP_LGG_branch_ablation,2a+2015,FBCSPLGGGraph,erm+branch_ablation,source_only_LOSO,"0,1,2",9+12 folds,graph/temporal/spatial branches,results/fbcsp_lgg_f0_full_s012/FBCSP_F0_AGGREGATE.csv,YES,"balanced_acc,zero_{graph/temporal/spatial},gate_weights,leakage_kl(fused)",NO,YES,FROZEN_POSITIVE_BRANCHLOAD,"spatial load-bearing: zero_spatial 2a 0.349->0.275 / 2015 0.608->0.520; subj1 FBCSP 0.474~CSP 0.483 vs FBLGG 0.306; NO node branch"
project/fbcsp-lgg-spatial-cmi-fusion,39c245a,FBCSP_branch,FBCSP_LGG_gate_summary,2a+2015,FBCSPLGGGraph,fbdualpc spatial-CMI vs erm,source_only_LOSO,"0,1,2",9+12 folds,spatial branch,results/p6_fbdualpc_seeds12/SEEDS12_REPORT.md,YES,"2a decodable delta,2015 delta,PI decision",NO,YES,FROZEN_NEGATIVE,"fragile survive +0.0082 (sd 0.0285), 2/3 seeds neg, seed2 +0.048=collapsed-ERM artifact; not promoted, effectively null"
project/fblgg-2a-bottleneck-analysis,787fcc7,FBCSP_branch,FBCSP_LGG_bottleneck_analysis,2a+2015,CSP+DGCNN+FBLGG,source_only_LOSO baselines,source_only_LOSO,"0,1,2",F0 subj1/subj2,spatial/graph,results/fblgg_f0/F0_CSP_BASELINE.json,YES,"balanced_acc,CSP baseline,within-subj ceiling",NO,YES,FROZEN_RESULT,"subj1 CSP 0.483>DGCNN 0.403>FBLGG 0.306; spatial-spectral feature bottleneck (not data/split); 2a FAILS FBLGG gate, 2015 PASSES"
project/fblgg-2a-bottleneck-analysis,787fcc7,FBCSP_branch,FBCSP_LGG_graph_starvation,2a+2015,FBLGG+FBCSPLGGGraph,branch_ablation,source_only_LOSO,"0,1,2",9+12 folds,graph/temporal/spatial,results/fblgg_f0/F0_DIAGNOSTICS.md,YES,"zero_graph/temporal,permute_nodes,gate",NO,YES,FROZEN_RESULT,"2a graph ablations ~+0.02 (no transferable 4-class signal); 2015 graph load-bearing +0.085/+0.114; spatial starves graph post-fusion"
project/fblgg-2a-bottleneck-analysis,787fcc7,background,CIGL_35_blueprint,2a+2015,dgcnn,cigl_graph_node,source_only_DG,"0,1,2",9+12 folds,graph_z/node_z,docs/CIGL_35_PAPER_BLUEPRINT.md,YES,"claim_boundary,KL reduction",NO,YES,BACKGROUND,"DGCNN CIGL leakage line claim contract (SEPARATE from FBCSP track); graph KL ~8x/node ~15x perm; reduction -35..-77%; partial not elimination"
project/fbcsp-lgg-dualcmi-scaffold,eb47bd0,FBCSP_branch,P6_spatial_CMI_scaffold,2a+2015,FBCSPLGGGraph,fbdualpc_scaffold,source_only_LOSO,none,none,spatial+graph,docs/CIGL_49_FBCSP_LGG_DUALCMI_ROADMAP.md,YES,none (scaffold),NO,NO,DESIGN_ONLY,"roadmap only; F1/graphcmi/GPU frozen, never run; NOT a real-EEG CMI result (red-flag 11)"
oaci,afc8f50,observability,OACI_selection_leakage_not_target,BNCI2014_001,oaci_selector,support_aware_leakage_selection,source_only_DG,"0,1,2",9-subj LOSO (n=54),selection/audit leakage,oaci/reports/C10_OACI_FAILURE_DIAGNOSTICS.json,YES,"dsel,daudit,dtgt_worst_bacc,corr",NO,YES,CLOSED_NEGATIVE,"sel leakage -0.3261 54/54; audit +0.0076 only 25/54; corr sel-audit ~0; tgt worst bAcc -0.0024; orthogonal to target"
oaci,afc8f50,observability,OACI_source_audit_oracle_failure,BNCI2014_001,oaci_selector,counterfactual_selector_replay,source_only_DG,"0,1,2",9-subj LOSO (n=54),checkpoint trajectory,oaci/reports/C10_OACI_FAILURE_DIAGNOSTICS.json,YES,"selector_replay,oracle_choice,K2",NO,YES,CLOSED_NEGATIVE,"6 selectors incl S5 source-audit ORACLE all stop_no_reproducible_gain; replay 216/216 exact; oracle_reproducible=False"
oaci,afc8f50,observability,OACI_multivariate_weak_identifiability,BNCI2014_001,oaci_probe,LOTO_competence_probe,source_only_DG,"0,1,2",9-subj LOSO,source observables (12-d),oaci/reports/C17_SOURCE_SIGNAL_IDENTIFIABILITY.json,YES,"LOTO_AUC,perm_p,scalar_rho",AUDIT_ONLY,YES,CLOSED_NEGATIVE,"LOTO AUC 0.602 vs perm 0.537 p=0.008; 0/12 strong scalar; oracle scalar rho +0.12; DIAGNOSTIC-only non-deployable"
oaci,afc8f50,observability,OACI_endpoint_estimability_limit,BNCI2014_001,oaci_selector,controlled_support_stress,source_only_DG,"0,1,2",9-subj LOSO,worst-domain endpoint,oaci/reports/C18_CONTROLLED_SUPPORT_MISMATCH_STRESS.json,YES,"support_stress,worst_domain_bAcc",NO,YES,CLOSED_NEGATIVE,"signal survives cell-present stress; collapses under cell DELETION via worst-domain bAcc->NaN (estimator-level, not signal loss); exact numbers in C18"
acar,d287635,deployment,ACAR_paired_action_risk_design,PD+SCZ,label_free_paired,action_conditional_risk,target_unlabeled_deploy,"20260711-13",PD230+SCZ226 subj,paired_pre_post_phi,acar/README.md,YES,"estimand,7 features,8 leakage guards",NO,NO,DESIGN_ONLY,"DeltaR_a(B)=R_B(f_a)-R_B(f_0) action-conditional; conformal router; 8 leakage guards; design not efficacy"
acar,d287635,deployment,ACAR_v5_protocol_substrate_success,PD+SCZ,external_compat_encoder,stage1b_substrate+stage2b_auth,target_unlabeled_deploy,"20260711-13",30 refs / 22 candidates,label_free_embedding_256,notes/ACAR_V5_STAGE1B_REALRUN_RESULT_C4412B4_R1.md,PARTIAL,"30/30 refs,registry_sha256,auth binds",AUDIT_ONLY,YES,PROTOCOL_ONLY,"Stage-1B 30/30 admitted hash-verified (SLURM881227 rc0); Stage-2B authorization bound; ENGINEERING success NOT efficacy; package bytes on cluster"
acar,d287635,deployment,ACAR_stage2b_dev_stop,PD+SCZ,external_compat_encoder,stage2b_selection G1-G5/H1-H3,target_unlabeled_deploy,"20260711",22 candidates x 2 diseases,label_free_features,notes/ACAR_V5_STAGE2B_REAL_SELECTION_RESULT_acar-v5-stage2b-ba09777-r1.md,PARTIAL,"G1-G5 gate table,cert_pass,EVAL red",AUDIT_ONLY,YES,CLOSED_NEGATIVE,"CORRECTION: NOT pending. Stage-2B RAN (SLURM885395 rc0) => pre-registered DEV_STOP; 0/22 eligible; router REFUTED on DEV; coverage fine, harm-control fails; notes-only committed"
csc,72085b7,information_contract,CSC_Z_only_unidentifiable,synthetic+Lee2019(semisynth),residual_decoder,three_state_certificate,source_only,"0,1,2",65 clusters,Z_only,csc/results/confirmatory.json,YES,"false_cert,power,CP-UB",NO,YES,CLOSED_NEGATIVE,"Prop1 unidentifiable PROVEN; frozen confirmatory FAILED both (forbidden 1/65 CP-UB 0.0709>0.05; power 28/65 cond 0.431<0.50); local 1 ahead of remote 7f64a49"
csc,72085b7,information_contract,CSC_dual_witness_candidate,Lee2019(semisynth),residual_decoder,B6_condrand+B7_dual_witness,source_only,"0,1,2",50/cond,Z + covariate C,csc/results/b7_stage0_dual_witness/,YES,"B7.0 dev screen,B6 canary,B3 real-feature",NO,YES,PENDING,"B6 fixes strong-cov mechanism 18/28->0/0 but opens prior-shift gap (NULL_label 0->25/50); B7.0 dev-only; B7.1 confirmatory committed-but-UNRUN (unpushed)"
csc,72085b7,information_contract,CSC_information_contract_boundary,Lee2019(semisynth),SSL/random/tangent,router_R1 + fitted_null,source_only,"0,1,2",300/cond,Z,csc/results/router_stage1_validation/scaleup/README.md,YES,"router breach,under-dispersion,oracle-null",NO,YES,DESIGN_ONLY,"unlabeled marginal insufficient (Prop1); fitted-null under-dispersed ~7-10x; router masks only weak-cov; SOUND FAIL strong-cov 7.3%/26%; B4 closed, B5 features dont fix"
exp/lpc-cmi,050d3a4,legacy_boundary,LPC_CMI_legacy_boundary,multi(incl TUAB),SPD/EEGNet,lpc_cmi/cita/source-free-gate,mixed,multi,130 datasets,Z,CLOSEOUT.md,YES,"survivor_matrix,p15,calibration_deconfound,a0_pilot",YES_FORBIDDEN,YES,CLOSED_NEGATIVE,"LPC survives ONLY as measurement; deployment DROP_LPC_COLLAPSE all lambda; calibration=temperature (oracle-T beats 123/130); batch-rollback RETRACTED (target-label leak = YES_FORBIDDEN scope); TUAB retracted; DO NOT restart"
exp/h2cmi-wave0-mechanism,60db118,background,PriorDecoupled_four_branch_protocol,Sleep-EDF+MI,TTA,four_branch_geometry_x_prior,target_unlabeled,multi,W2 75subj/W1 115subj,prediction,h2cmi/results/wave0_w2.report.json,YES,"G,P,Interaction bAcc",NO,YES,BACKGROUND,"exact decomposition (residual<=1.85e-17); W2 sleep P=-0.1439 sig dominates, G=-0.0201 NS; W1 inverts (prevalence-dependent); NOT FSR leakage/reliance evidence"
exp/h2cmi-wave0-mechanism,60db118,background,PriorDecoupled_geometry_vs_prevalence,Sleep-EDF,TTA,prevalence_three_way_decomp,target_unlabeled,10k boot,75 subj,prediction,h2cmi/results/wave0_priordecomp.report.json,YES,"metric_mismatch,transfer,estimation",AUDIT_ONLY,YES,BACKGROUND,"metric-prior mismatch -0.16 dominates; transfer NS; oracle rho_E non-deployable; no h2cmi manuscript exists; NOT FSR evidence"
